livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
1SA.1.1," Il y avait un homme de Ramathaïm-Sophim, de la montagne d'Ephraïm, nommé Elcana, fils de Jéroham, fils d'Eliu, fils de Thohu, fils de Suph, Ephratéen. ","Now there was a certain man of Ramathaim–zophim, of mount Ephraim, and his name was Elkanah, the son of Jeroham, the son of Elihu, the son of Tohu, the son of Zuph, an Ephrathite:","San kepe ay hay Ramatayim-Sofim, kulo kay hiɗiyta vi Efrayim, semda valam Elkana, namu mi goora vi Yeroham, goora vi Elihu, goora vi Tohu, goora vi Suf, ma Efratana. ","Môt éziñ a nga too Ramatayim-Sôfim, si minkôle ya Efrayim jôé na Elkana, e mona Yérôham ndaé Elihu, ndile Tôhu, ôwuabañe Suf, môte ya ayoñ Efrayim. ","Mbur ada a Rama, hirwuy Suf, a muwã Efrayim, a zilaka Elkana, mangal ngi Yeroˀam, naŋ vuna i dideˀ ngi Elihu, i dideˀ ngi poprok ngi Tohu, yo i dideˀ ngi mukutur ti kutur ngi Suf mbur Efrat. ","Ɓooyma woodi goɗɗo haa Ramatayim-Cofim nder kooseeje Efrayim. Innde maako Elkaana ɓii Yeroham ɓii Elihu ɓii Toku ɓii Cuuf, nder lenyol Efrayim. ","Ɓooyma woodi goɗɗo haa Ramatayim-Cofim nder kooseeje Efrayim. Innde maako Elkaana ɓii Yeroham ɓii Elihu ɓii Toku ɓii Cuuf, nder lenyol Efrayim. ","Ŋma bíí duka so sɛn Ramatayim, mgbara o kaya Efraim; nin wi’ɛi nɛ́ Ɛlkana, bem ko Yeroam, bem ko Eliud, bem ko Tohu, bem ko Suf. ","Ŋma bíí duka so sɛn Ramatayim, mgbara o kaya Efraim; nin wi’ɛi nɛ́ Ɛlkana, bem ko Yeroam, bem ko Eliud, bem ko Tohu, bem ko Suf. ","Kwete wəndə ya shɛ kese mbe Rama, meleme nya hwa ghweme ta Ɛfrayim, te hɛɗia Səwf, nya nza sləa ŋkɛ kaƐlkana. Wəzege ta Yerowam nya kawəzege ta Ɛlihəw, wəzege ta Tohəw ba'a wəzege ta Səwf, nde Ɛfrayim ŋkɛ. ","Blo po hay we äi leege Ramatayim-Sofim ti huuli ma Efrayim no, aè hay ëege äe ga Elkana je ni Yehoram, je ni Elihu, je ni Tohu, je ni Suf, je Efrata no. "
1SA.1.2," Il avait deux femmes, dont l'une s'appelait Anne, et l'autre Phénenna; et Phénenna avait des enfants, mais Anne était sans enfants. ","And he had two wives; the name of the one was Hannah, and the name of the other Peninnah: and Peninnah had children, but Hannah had no children.","Boyna valam ka ma', ta kepta ya' Anna, ta heta ya' Peninna; Peninna gurona va' ka'a, may Anna goor va' mayɗi. ","A nga bili binga bebaé: nyô ôsu a mbe jôé na Anna, nyô baa ke jôé na Pénina. Pénina a nga bili bon , ve Anna a nji bi bon . ","Elkana naŋ ti ngwasay cuw. A zilaka mekeleme Ana, yo mucuw naŋ, Penina. Penina naŋ da ti ziriy, amma Ana naŋ anta ti ziriy ta. ","Elkaana woodi rewɓe ɗiɗo. Innde oo Hanna, innde oya boo Peninna. Peninna woodi ɓikkoy, ammaa Hanna woodaa ɓikkoy. ","Elkaana woodi rewɓe ɗiɗo. Innde oo Hanna, innde oya boo Peninna. Peninna woodi ɓikkoy, ammaa Hanna woodaa ɓikkoy. ","A̧ a̧a̧ so nɛ̀ kóò yiitoo; nin ɛ̧ɛ̧ kpɔk’ɛ nɛ́ Ana, nin ɓii-aa nɛ́ Pɛnina. Pɛnina a̧a̧ so nɛ̀ o bem, ɓɛɛ Ana bo so kɔ‘i nɛ̀ bem na.","A̧ a̧a̧ so nɛ̀ kóò yiitoo; nin ɛ̧ɛ̧ kpɔk’ɛ nɛ́ Ana, nin ɓii-aa nɛ́ Pɛnina. Pɛnina a̧a̧ so nɛ̀ o bem, ɓɛɛ Ana bo so kɔ‘i nɛ̀ bem na.","Bake wəmeve mi ŋkɛ: Ane sləa kwa ghate, Penina sləa kwa bake. Ŋwale ya va Penina, ama wəzege va Ane we.","Naare äe hay äoge: Ëu ma boñ hay ga Ana, ma lan ga Penina. Penina hay de weere ama Ana hay bay de biñgi wa. "
1SA.1.3," Cet homme montait de sa ville, chaque année, pour adorer Yahweh des armées et lui offrir des sacrifices à Silo. Là étaient les deux fils d'Héli, Ophni et Phinées, prêtres de Yahweh. ","And this man went up out of his city yearly to worship and to sacrifice unto the  Lord  of hosts in Shiloh. And the two sons of Eli, Hophni and Phinehas, the priests of the  Lord , were there.","Hay busat kaf, san kayni fokay hay hoyok-ziyna valam pa, kal hay Silo kay tuɗ girif gaa vok Ma-Vatɗina vi vok-ma-duura, kay li ɗifin talamu kaw. Gurona vi Eli sa ma'na ka li lop hay liy namna, kayni si Hofni hiɗi Fineyas, nisi si muliyan-sa-ɗifinna vi Ma-Vatɗina.","Mbu ôse a nga kôlô tisone jé a ke e Silô na a kañe Nti ya minsamba mewosan a tyiʼi nye biyem. Bone bʼEli bebaé, Ofni a Finéas, be mbe e Silô valé be too betuni be Nti.","Vi gar na, Elkana a slikiɗ baɗ ar walahay naŋ Rama, aru nga Silo ɓa a huruk huruk a mbuŋ Buymisemuŋ, misi gidaŋ wãˀ, yo ɓa a gaŋ mikuli. Zir ngi Elihey ada cuw, i masay migi mikulihey da Buymisemuŋ a diga, i ti Hofni ati Pinas. ","Hitaande fuu Elkaana ɗon yaha bee saare mum haa Silo ngam sujidango Jawmiraawo honooɓe asama e lii'ango mo kirseteeŋga. Zamanu man Hofni e Pinehas, ɓiɓɓe Eeli ngonno liman'en Jawmiraawo ton. ","Hitaande fuu Elkaana ɗon yaha bee saare mum haa Silo ngam sujidango Jawmiraawo honooɓe asama e lii'ango mo kirseteeŋga. Zamanu man Hofni e Pinehas, ɓiɓɓe Eeli ngonno liman'en Jawmiraawo ton. ","Ti pɛ kpɔk kpɔk, Ɛlkana daŋ so nɛ̀ ye kɔ‘i mɛ nɛ̀ɛ́ gasi GASA WAN ko o gíí wi-biro, ɗafi nɛ̀ a̧ sɛn Silo. O wi-ɗafi GASA WAN nɛ yaa so hi̧i̧ nɛ́ o bem ko Elii yiitoo, Hofni in Pinas. ","Ti pɛ kpɔk kpɔk, Ɛlkana daŋ so nɛ̀ ye kɔ‘i mɛ nɛ̀ɛ́ gasi GASA WAN ko o gíí wi-biro, ɗafi nɛ̀ a̧ sɛn Silo. O wi-ɗafi GASA WAN nɛ yaa so hi̧i̧ nɛ́ o bem ko Elii yiitoo, Hofni in Pinas. ","Keva keva slə Ɛlkana se mbe meleme ta ŋkɛ kadzeme Silo kahawe va Mahwətə, Shala nde berete ba'a kadzeghe nda melɛ. Nahe ŋwale tezhilia Hɛli nyi bake kenza kaka dzeghe nda melɛ ke Mahwətə: yɛ Hofni le Pinhas. ","Tum ti kiñgi blo sen la ur le äi leege äe ma woge Silo le' mondra pel Manwur Pantway no, ma sië jag ne hene. Hofni wo de Fineyas, jar ni Eli ma äog hay wo Silo ni diñ jar sië jag ne Manwuri."
1SA.1.4," Le jour où Elcana offrait son sacrifice, il donnait des portions de la victime à Phénenna, sa femme, et à tous ses fils et à toutes ses filles; ","And when the time was that Elkanah offered, he gave to Peninnah his wife, and to all her sons and her daughters, portions:","Hay buur ma Elkana ka li ɗifinna valamu, nam vul galla mi cata valam Peninna, mi guro-jufayna hiɗi guro-boyna va' kafe, ","E môs ôse Elkana a tyiʼi biyem, a nga ve Pénina e minga wé ba be bone bé bese befam a binga, mengap. ","Tapas Elkana mira ga mikuli na, Penina ati ziri naŋ mizilehey waɗ mongosohoyo gar, a sirik le, ngi vula taŋ useˀ ngi mikuli laŋ laŋ. ","Nde ɓe kawti ngam nyaamugo kusel ndabbaawa kirsaaŋga fuu, Elkaana ɗon hokka Peninna, debbo mum e ɓiɓɓe mum worɓe e rewɓe fuu geɗal gootal. ","Nde ɓe kawti ngam nyaamugo kusel ndabbaawa kirsaaŋga fuu, Elkaana ɗon hokka Peninna, debbo mum e ɓiɓɓe mum worɓe e rewɓe fuu geɗal gootal. ","Ŋgimbi lɛŋ nɛ Ɛlkana ɗafi sɔ̧, a̧ ha̧ nɛ ŋma war kpoo-sɔ̧ ha̧ kóò kɔ̧-a̧ Pɛnina in ha̧ o be-wiwii in o be-okoo ko Pɛnina dam wa kpɔk kpɔk, ","Ŋgimbi lɛŋ nɛ Ɛlkana ɗafi sɔ̧, a̧ ha̧ nɛ ŋma war kpoo-sɔ̧ ha̧ kóò kɔ̧-a̧ Pɛnina in ha̧ o be-wiwii in o be-okoo ko Pɛnina dam wa kpɔk kpɔk, ","Ma vəa ŋkwa nya dzeghe Shala Ɛlkana, kaŋa nda slia wəsə keseɗa nya dzeghe melɛa shɛ ŋkɛ le ŋkɛ ke Penina kala nya seneve ŋkɛ, tsagha ke pɛtɛa ŋwale tezhili ba'a pɛtɛa ŋwalea kwɛa nta. ","Ti wur maga Elkana wo joñ siigi jag äen mono, se raw caa naèy go ne waçy äe Penina, go ne weere äen wo de mayre äen wo äuy. "
1SA.1.5," et il donnait à Anne une double portion, car il aimait Anne, et Yahweh l'avait rendue stérile. ",But unto Hannah he gave a worthy portion; for he loved Hannah: but the  Lord  had shut up her womb.,"may Anna nam vula' galla va' ŋol suw sem ma', kay Anna Ma-Vatɗin geta'a, may jufa' mina' ŋol suwa. ",Vʼa nga ve Anna ngap ja yiane bôte bebaé amu a nga nyeʼe nye akôsa bo na Nti a nga dibe nye abum abiaé. ,"Buymisemuŋ a ga Ana le i dirlay ngbaŋ, amma Elkana a vulaŋ nga naŋ makaw cuw, asi a wuɗaŋ haɗa. ","Ammaa Hanna, o ɗon hokka mo geɗe ɗiɗi, ngam o yiɗi mo masin, koo nde Jawmiraawo laatini mo dimaro. ","Ammaa Hanna, o ɗon hokka mo geɗe ɗiɗi, ngam o yiɗi mo masin, koo nde Jawmiraawo laatini mo dimaro. ","ɓɛɛ a̧ ha̧a̧ war gasa-a ha̧ Ana wen nɛ́ à̧ á̧ see-aa baa batɛ, kóó zu dea-a nɛ GASA WAN dee ha̧ a̧ mɛ yar ndɔra'i. ","ɓɛɛ a̧ ha̧a̧ war gasa-a ha̧ Ana wen nɛ́ à̧ á̧ see-aa baa batɛ, kóó zu dea-a nɛ GASA WAN dee ha̧ a̧ mɛ yar ndɔra'i. ","Ama pa ŋkɛ ndeke nda bela nya za ma ke Ane, kwa nza nde kwele kwele ɗehwe ŋkɛ ŋkɛ ya Mahwətə zhɛrete ŋkɛ kajɛŋa. ",Ama se caa ne Ana ti äen ni werga aà hay da Ana maga Manwur hay gedn go mono. 
1SA.1.6," Sa rivale l'affligeait encore extrêmement, afin de l'aigrir de ce que Yahweh l'avait rendue stérile. ","And her adversary also provoked her sore, for to make her fret, because the  Lord  had shut up her womb.","Hina'ta da' vun ma galakŋa, kay muɗa' a dika' ɓulak kuɗ hin ma Ma-Vatɗin hina' getayna. ",Mvane jé (Pénina) é nga ve nye ôlune nlem éyoñ ése a jeñe na a yaa amu Nti a nga dibe nye abum abiaé. ,"Penina ati giseˀe naŋ Ana i misi suloŋhoy, Penina a jigin mi ndrehhe avu Ana, ɓa a tikaŋ ˀay asi Buymisemuŋ migaŋ i dirlay tuwaŋ. ",Nawliiko ɓilli mo tum ngam mettingo mo ngam o dimaro. ,Nawliiko ɓilli mo tum ngam mettingo mo ngam o dimaro. ,"Zu mɔ‘i, gɔya a̧ kii nɛ́ nú a̧ pi̧ nɛ foe tɛ-a wen nɛ̀ GASA WAN dee ha̧ a̧ mɛ yar ndɔra. ","Zu mɔ‘i, gɔya a̧ kii nɛ́ nú a̧ pi̧ nɛ foe tɛ-a wen nɛ̀ GASA WAN dee ha̧ a̧ mɛ yar ndɔra. ","Ma Penina perə ne, kefɛa nde kebeze nda wənə ke Ane laka ghena nyi geze nde we. Kwa nza ŋkɛ ne, nahe Mahwətə keveyi ŋkɛ kajɛŋa. ",Mangeçeçne Anan hay go tum car jiili äe nen maga aà mo joñ ti grañ go see Manwur maga hay gedn go mono. 
1SA.1.7," Et chaque année Elcana faisait ainsi, toutes les fois qu'elle montait à la maison de Yahweh, et Phénenna la mortifiait de la même manière. Alors elle pleurait et ne mangeait point. ","And as he did so year by year, when she went up to the house of the  Lord , so she provoked her; therefore she wept, and did not eat.","Hay busat kaf slen ka li ki kayn nala. Hay buur kaf ma Anna tuɗ kulo hay ziyna vi Ma-Vatɗina, Peninna ka da' law ma galakŋa dok-doko. Ki kayn nala na' ka tiya, min ti fu noŋɗi. ","Nalé a nga boban mimbu mise na éyoñe Anna a ke e nda Nti, Pénina a nga ve nye ôlune nlem avale da. Ajô te a mbe ve yôn a teke fe di bidi. ","Naŋ kine, vur vi gar, tapas Ana muru le ng'ar hay ngi Buymisemuŋ gar na, Elkana ara ga kanah. Penina a zaŋ ɓa a tikaŋ ˀay. Dar Ana a zla a tuwuy, a ngum zuma gwata ta. ","Bana nii ɗum laatori hitaande fuu to Hanna yehi haa suudu Jawmiraawo. Peninna mettini mo haa o woyi, o sali nyaamugo. ","Bana nii ɗum laatori hitaande fuu to Hanna yehi haa suudu Jawmiraawo. Peninna mettini mo haa o woyi, o sali nyaamugo. ","Tɛ pɛ lɛŋ, ŋgimbi nɛ̀ wa nɛ́ kɔ̧ Tua ko GASA WAN, gɔya a̧ kii so kànà nɛ́ nú a̧. Hegɔ Ana hi̧i̧ nɛ kɔ̧a̧ bɛ̧ nɛ nyɔŋmɔ mbɛt. ","Tɛ pɛ lɛŋ, ŋgimbi nɛ̀ wa nɛ́ kɔ̧ Tua ko GASA WAN, gɔya a̧ kii so kànà nɛ́ nú a̧. Hegɔ Ana hi̧i̧ nɛ kɔ̧a̧ bɛ̧ nɛ nyɔŋmɔ mbɛt. ","Keva keva mene Ɛlkana kala nyagha. Kala və nya dzembe ghɛa Mahwətə Ane ne, tsagha shɛ beze nda wənə Penina. Ma te kwete va kwa nza Ane kanehwene ba'a kaɗema wəsə kezeme ne, ","Nen kiñgin wo äuy se joñ dosen nono. Tum de maga Ana wo äil tiñ mani Manwurn mono, Penina car jiili äe go dosen ne tum no. Wersen mokay Ana raw rage, day reege gaa lay. "
1SA.1.8," Elcana, son mari, lui disait: « Anne, pourquoi pleures-tu et ne manges-tu pas? Pourquoi ton coeur est-il triste? Est-ce que je ne suis pas pour toi mieux que dix fils? »","Then said Elkanah her husband to her, Hannah, why weepest thou? and why eatest thou not? and why is thy heart grieved? am not I better to thee than ten sons?","Jufa' Elkana ka di ta'a: Anna, nak tiy kay mige? Nak min ti fuɗi kay mige? Dikag muɗi yor ŋolo kay mige? Nan may kirag suw guro sa doogonɗi su?","Ane Elkana, nnôme wé, a nga jô nye na: Amu jé wo yôn a tabe te di? Amu jé e nleme wôé ô nʼéyôé? Ye me nji dañe bon awôm be wo?",Zil naŋ Elkana a cufuɗaŋ: «Ki tuwuy vur mike Ana? Ka malik na vur mike? Ya puɗaw avu ka fineˀ ziri mizilehey kuruˀo ta kwa?» ,"Goriiko ƴami mo: “Ko waɗi a ɗon woya, a nyaamataa? Ko sakli ma? Mi ɓurantaa ma ɓiɓɓe worɓe sappo na?”","Goriiko ƴami mo: “Ko waɗi a ɗon woya, a nyaamataa? Ko sakli ma? Mi ɓurantaa ma ɓiɓɓe worɓe sappo na?”","Ɓɛɛ wíì kɔ̧-a̧ Ɛlkana ak a̧: «Ana, wen ge mɛ hi̧i̧ kɔ̧a̧ ge? Mɛ nyɔŋ mɔ na wen ge? Mɛ duk nɛ̀ ɗaŋsee wen ge? Mi gan bem ɓu sɛn yí-mɛ na nde?»","Ɓɛɛ wíì kɔ̧-a̧ Ɛlkana ak a̧: «Ana, wen ge mɛ hi̧i̧ kɔ̧a̧ ge? Mɛ nyɔŋ mɔ na wen ge? Mɛ duk nɛ̀ ɗaŋsee wen ge? Mi gan bem ɓu sɛn yí-mɛ na nde?»","ma ke za nta Ɛlkana shɛ: «Ane, yitea wa nehwene na wa? Va wa ɗema na kazeme wəsə wa? Yitea wa nza na le kema teheɗe wa? Kenza 'ya za ma kaŋa ŋa ke ŋwale tezhili meŋe wəka?»","Elkana war äen kal riñgi äe gana: Ana, wer mayse ga ndo ra day ndo day reege gaa la? Wer mayse ga ndo car jiili go la? Ndi bay ba nen äo de dañ weere hwal wa yawla?"
1SA.1.9," Anne se leva, après qu'on eut mangé et bu à Silo, --Héli, le grand prêtre, était assis sur un siège devant un des poteaux du temple de Yahweh.-- ","So Hannah rose up after they had eaten in Shiloh, and after they had drunk. Now Eli the priest sat upon a seat by a post of the temple of the  Lord .","Hay Silo nisi ti'e ci'e kaw, bugol kayni Anna fok kulo'o. Mul-ma-ɗifinna Eli ka musi kay kuroŋgolla, goboy hiɗi vun-ziyna mara kepe vi Ma-Vatɗina. ",Ane Anna a nga kôlô éyoñe ndian a nyuan bi maneya e Silô. Eli ntuni a nga to éto jé anyiine mbé ya Nda Zambe Nti. ,"A dirba taŋ muzumam gwat, yo taŋ misam gwat a Silo na, Ana a slikiɗi. Naɓa Eli, masay naŋ da ar gwat ngi cifi naŋ a miviŋ ngi hay ngi li ngi Bumbulvuŋ. ","Ɓaawo ɓe nyaami e ɓe njari haa Silo, Hanna ummi. Eeli, limanjo ɗon jooɗi dow koromwal mum baŋnge nastirde suudu Jawmiraawo. ","Ɓaawo ɓe nyaami e ɓe njari haa Silo, Hanna ummi. Eeli, limanjo ɗon jooɗi dow koromwal mum baŋnge nastirde suudu Jawmiraawo. ","Ɗoŋ nɛ wa nyɔŋa mɔ in nɔɔ mɔ sɛn Silo kaɗi, Ana kura. Elii wi-ɗafi-sɔ̧ duk so kɔ‘i nɛ́ nù zu kiti kɔ‘i sɛn nú tua ko GASA WAN. ","Ɗoŋ nɛ wa nyɔŋa mɔ in nɔɔ mɔ sɛn Silo kaɗi, Ana kura. Elii wi-ɗafi-sɔ̧ duk so kɔ‘i nɛ́ nù zu kiti kɔ‘i sɛn nú tua ko GASA WAN. ","Ma kwa zehwe wəshi kezeme ba'a kwa sahwe wəshi mbeli pelɛ Silo ne, pa Ane sate nda te ŋkwa. Mentishɛ nde dzeghe Shala Hɛli te tsəkwələa ŋkɛ vare gelembe nya mɛa ghɛa Mahwətə. ",Ana kal urgi go ciñ blam maga aè ree go day aè joo go Silo ni lay mono. Eli je sië jagn hay de hayle ye' ti jeñ ngeel maga aè ëii wo kalge äil tiñ mani Manwurn ni mono. 
1SA.1.10," L'âme pleine d'amertume, elle pria Yahweh et versa beaucoup de larmes; ","And she was in bitterness of soul, and prayed unto the  Lord , and wept sore.","Hiɗi yorta hay dika'a, Anna siɗaw tam Ma-Vatɗina, zimiy ma kira'na ka jaŋ goyo. ","Ane Anna, nleme ntyaʼan a ôlun, a nga yeʼelane Nti a dañe yôn. ",Ɓi ara gira Ana haɗa teˀe a mevele. A tumbulo Buymisemuŋ ti tuwuy kol kol haɗa. ,"Ɓernde Hanna metti masin, o tori Jawmiraawo bee bojji ɗuuɗɗi. ","Ɓernde Hanna metti masin, o tori Jawmiraawo bee bojji ɗuuɗɗi. ","Hee mɔ'ɔ nɛ see Ana ɗaŋa hɔ tɛ fio ga, a̧ kɔfa GASA WAN ɓɛɛ a̧ hi̧i̧ kɔ̧a̧ nɛ̀ dɔka-a nyɛmna. ","Hee mɔ'ɔ nɛ see Ana ɗaŋa hɔ tɛ fio ga, a̧ kɔfa GASA WAN ɓɛɛ a̧ hi̧i̧ kɔ̧a̧ nɛ̀ dɔka-a nyɛmna. ","Ma kwa bezenyɛ wənəa Ane kwele kwele, ntake nde kasəkwə Mahwətə le nehwene sərəɓə sərəɓə. ","Ana raw tos Manwuri, ra debañ de lawge jiili. "
