livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
2CH.1.1," Salomon, fils de David, s'affermit dans sa royauté; Yahweh, son Dieu, était avec lui, et il l'éleva à un très haut degré. ","And Solomon the son of David was strengthened in his kingdom, and the  Lord  his God was with him, and magnified him exceedingly.","Mulda vi Salomon goora vi David muɗi dono'o; Ma-Vatɗina Lawna valamu ay hiɗi namu, nam wulum kulo ŋolo. ","Ane Solômon, e mone David, a nga yemete émien éjôé jé été; Nti, e Zambe wé, a nga too be nye, a nga nene nye a dañe bete nye yôp. ","Salomoŋ mangal ngi Davite, ara nih ar zumabuy naŋ muduba. Bumbulvuŋ Buymisemuŋ naŋ naŋ da ati naŋ, a tiraŋ le ɗongor haɗa.","Suleymaanu ɓii Daawuda tabitini laamu muuɗum. Allah Jawmiraawo wondi bee maako, mawnini maŋngu maako masin.","Suleymaanu ɓii Daawuda tabitini laamu muuɗum. Allah Jawmiraawo wondi bee maako, mawnini maŋngu maako masin.","Salomɔŋ bem ko David yora nɛ̀ nɔa-a tɛ wan. GASA WAN Sɔ̧ kɔ̧-a̧ duka so in a̧, ɓɛɛ de ha̧ a̧ mɛ duk nɛ́ tu̧u̧-tɛ wannu.","Salomɔŋ bem ko David yora nɛ̀ nɔa-a tɛ wan. GASA WAN Sɔ̧ kɔ̧-a̧ duka so in a̧, ɓɛɛ de ha̧ a̧ mɛ duk nɛ́ tu̧u̧-tɛ wannu.","Pa Salomon, wəzege ta David zhɛrete meghea ŋkɛ berete. Nahe Shala Mahwətə ta ŋkɛ kenza kənə ba'a kezhɛrete ŋkɛ kameghe nya wəba.","Wañ mani Salomoñ je ni Dafidn raw joñge de ooge ne hen do. Manwuri, Baa äen hay de äe, day hay geçeçn go ciñ de el haçaç tu lay."
2CH.1.2," Salomon donna des ordres à tout Israël, aux chefs de milliers et de centaines, aux juges et à tous les princes de tout Israël, aux chefs de familles; ","Then Solomon spake unto all Israel, to the captains of thousands and of hundreds, and to the judges, and to every governor in all Israel, the chief of the fathers.","Salomon di tam sum sa Israyel kaf, tam sa ŋulona vi vok ma birimna, tam sa ŋulona vi vok ma kisna, tam sa ka kitata, tam sa ŋulona vi Israyel kaf, tam sa ŋulona vi jafna. ","Solômon a nga kobô Israél ase, bivete betoyini a mintet, betyiʼi mejô, betebʼôsu ya Israél ase a bivete ya menda me bôt. ","Salomoŋ a zila Israyeleye gar, buy miwi soje durmuk durmuk ati skat skatay, migi kiitahay, buyɓi ngi Israyeley gar, mbiɗˀvra, buy ngi hayay. ","Suleymaanu hawti yimɓe Isra'iila fuu, ardiiɓe dow honooɓe ujineere e ardiiɓe dow honooɓe teemerre e hiitooɓe e ardiiɓe Isra'iila fuu, waato baaba-ci'e'en fuu. ","Suleymaanu hawti yimɓe Isra'iila fuu, ardiiɓe dow honooɓe ujineere e ardiiɓe dow honooɓe teemerre e hiitooɓe e ardiiɓe Isra'iila fuu, waato baaba-ci'e'en fuu. ","Salomɔŋ saa o be  Israɛl  lɛŋ, o gasawi zu o wi-biro booro in gɔmŋmaa, o wi-gɔn-kita in o gasawi  Israɛl  lɛŋ; o wi nɔ‘i nɛ́ o gasawi nutua. ","Salomɔŋ saa o be  Israɛl  lɛŋ, o gasawi zu o wi-biro booro in gɔmŋmaa, o wi-gɔn-kita in o gasawi  Israɛl  lɛŋ; o wi nɔ‘i nɛ́ o gasawi nutua. ","Pa Salomon hekakɛ pɛtɛa ka Israyɛl, mbelia jama ta ka sewajɛ ba'a nyi te ghəa wəvəsəa ka sewajɛ, ka meha ghwə ba'a mbelia jama nyi te ghəa pɛtɛa ka Israyɛl. ","Salomoñ kal fer waçaçre ne Israyel äuy. Ne wañre ma waçë waçaçre jar ndar ndar wo no, ne ma waçë waçaçre jar kiskis wo no, ne jar car kiidan wo no, ne jar maga wo pel mo äuy, ne wañre ma ti feelen wo lag lag mo äuy no. "
2CH.1.3," et Salomon se rendit avec toute l'assemblée au haut lieu qui était à Gabaon. Là se trouvait la tente de réunion de Dieu, que Moïse, serviteur de Yahweh, avait faite dans le désert; ","So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tabernacle of the congregation of God, which Moses the servant of the  Lord  had made in the wilderness.","Salomon kali hiɗi tokŋa kaf kulo kay liyn ma ɗiŋiriŋŋa ma ka hay Gabawon, kay guɗuk ma fi-tuwna vi Lawna, ma Musus sa ma sunda vi Ma-Vatɗina kotom hay fulda ka kayni hay liy namna; ","Nde Solômon a ékôane bôt ése be nga ke éto ya ékôndôʼô yôp, nje é mbe Gabaoñ, amu e nne nda éndelé bendôbaʼane Zambe é mbe wé, nje Môze, mbo ésaé Nti, a nga bo e nkôte si; ","Salomoŋ ati mizli mukusom a cikeˀe gar, a ram ng'ar li miɗigir misi a Gabaˀoŋ, asi guɗuk ngi zlir ti Buymisevuŋ naŋ a diga, i guɗuk Moyis gawla ngi Buymisemuŋ miɗiya a wuzla ɓuh mikirɗak kirɗak tuwa. ","Nden ɓe njehi haa nokkuure townde haa Gibiyon, Suleymaanu e jama'aare fuu. Laymaaru fottirde Allah ndu Muusa jaggiiɗo Jawmiraawo waɗno ɗum nder ladde ɗon ton. ","Nden ɓe njehi haa nokkuure townde haa Gibiyon, Suleymaanu e jama'aare fuu. Laymaaru fottirde Allah ndu Muusa jaggiiɗo Jawmiraawo waɗno ɗum nder ladde ɗon ton. ","A̧ yaka in giiwi lɛŋ si  kusa-fara  nɛ̀ duk so sɛn Gabaɔŋ, wen mɛ̀ nɛ́ sɛn hi̧i̧ a̧  Tua-kpa-ŋmaa  in Sɔ̧ duk so sɛnɛ; mɛ̀ nɛ́ tua-laa nɛ̀ Moisɛ wi-de-tom ko GASA WAN dee so sɛn ŋga-gbárà. ","A̧ yaka in giiwi lɛŋ si  kusa-fara  nɛ̀ duk so sɛn Gabaɔŋ, wen mɛ̀ nɛ́ sɛn hi̧i̧ a̧  Tua-kpa-ŋmaa  in Sɔ̧ duk so sɛnɛ; mɛ̀ nɛ́ tua-laa nɛ̀ Moisɛ wi-de-tom ko GASA WAN dee so sɛn ŋga-gbárà. ","Le yɛ mbeli nyi ketsene yitea hɛ, pa hɛ lə kadzete ŋkwa nya keveyi geva kaŋa Shala mbe Gabawon. Kwa nza ŋkɛ tagha cɛ lekwesa kebegeme geva, nya slate Moyize nde mene slene ta Mahwətə kwamte te ɓerama.","Salomoñ kal rawge de ngaäan äuy ti ngeel sië jag ma de mañge ciñ ma Gabawoñ no, werga Tiñ Yiñgi de Baa maga Moyis weejoçoç mani Manwurn hay joñn le ti puuli mono hay le diñ ni. "
2CH.1.4," quant à l'arche de Dieu, David l'avait transportée de Cariathiarim à la place qu'il lui avait préparée, car il avait dressé pour elle une tente à Jérusalem. ",But the ark of God had David brought up from Kirjath–jearim to the place which David had prepared for it: for he had pitched a tent for it at Jerusalem.,"may David tuɗ sli timgilla vi Lawna ay hay Kiryat-Yeyarim pa maram hay liyn ma nam kotomna, kay nam kot guɗukŋa kay timgilla hay Yerusalem. ","ve éwolo Zambe nje David a nga beʼe akôlô Kiryat-Yearim a kui e vôm a nga kôme na ja ye bômbô, amu a nga lame je nda éndelé e Yérusalém. ",Davit a zuɓa akoti ngi Buymisemuŋ ti Kiriyat-Yeˀarime ng'ar li Buymisemuŋ mibigaŋ di. Asi Davit a ɗiyi guɗuk le hĩˀĩ vurˀe a Zeruzaleme. ,"Ammaa sundukru alkawal Allah, Daawuda yahruno ndu diga Kiriyat-Ye'arim haa Urusaliima haa nokkuure nde o taaskanino ndu. O darnuno suudu laymaaru ngam maaru ton . ","Ammaa sundukru alkawal Allah, Daawuda yahruno ndu diga Kiriyat-Ye'arim haa Urusaliima haa nokkuure nde o taaskanino ndu. O darnuno suudu laymaaru ngam maaru ton . ","Ɓɛɛ nɛ̀ ko kuɓa ko Sɔ̧, David foo so daŋnɛ nɛ̀ Kiriat-Yearim si fara n'aa ɗafa so e wen-aa, wen a̧ dee so tua-laa ha̧ a̧ sɛn Jerusalɛm.  ","Ɓɛɛ nɛ̀ ko kuɓa ko Sɔ̧, David foo so daŋnɛ nɛ̀ Kiriat-Yearim si fara n'aa ɗafa so e wen-aa, wen a̧ dee so tua-laa ha̧ a̧ sɛn Jerusalɛm.  ",Nahe David kekeleke səndəkwə nya keveyi geva kaŋa Shala se mbe Kiriyat-Yɛyarim kadzeme Zhɛrəzalɛm ba'a keveyi ŋkɛ te ŋkwa nya hite nda mbeli mbe cɛ lekwesa. ,"Ama ma komrom tayge jag mani Baan mono, sen Dafid hay mañn le Kiryat-Yearim day hay wo go de äe kañge Jerusalem ti ngeel maga Dafid hay kne'n go ne hen ni mono, werga aà hay baa mburyug wo go ne hen Jerusalem. "
2CH.1.5," L'autel d'airain qu'avait fait Béséléel, fils d'Uri, fils de Hur, se trouvait aussi là, devant le tabernacle de Yahweh. Salomon et l'assemblée cherchèrent Yahweh. ","Moreover the brasen altar, that Bezaleel the son of Uri, the son of Hur, had made, he put before the tabernacle of the  Lord : and Solomon and the congregation sought unto it.","Ɗawni kaw, vok tabernaklena, giwin-ma-ɗifinna ma wayna ma Betsaleel goora vi Uriyas, goora vi Hur kotomna ka zaw. Salomon hiɗi tokŋa job tam Ma-Vatɗina. ","E nne fe ataʼa metunaʼa mvot Betsalél e mone Uri, e mone Ur a nga lôñ, é mbe valé, ôsu tabernakel . Ane Solômon a ékôane bôt be nga sili nkômbane Zambe. ","Amma li gi mikuli ngi ɓiri gaza, Basalel mangal ngi Uri, dideˀ ngi Hur miɗiya na, naŋ a mbuŋ guɗuk ngi Bumbulvuŋ vuna. Salomoŋ ati mizli mukusom gar na, a sipam di i naŋ. ","Hirsirde njamndi mboɗeeri nde Becaleel ɓii Uuri ɓii Huuru waɗno ɗum, ɗon dari haa Gibiyon yeeso jooɗorde Jawmiraawo. Suleymaanu e jama'aare fuu njehi ton ngam ƴamugo Jawmiraawo . ","Hirsirde njamndi mboɗeeri nde Becaleel ɓii Uuri ɓii Huuru waɗno ɗum, ɗon dari haa Gibiyon yeeso jooɗorde Jawmiraawo. Suleymaanu e jama'aare fuu njehi ton ngam ƴamugo Jawmiraawo . ","Ɓɛɛ  fara-ɗafi-sɔ̧  nɛ̀‘i dee nɛ̀ ndɛrɛ, nɛ̀ Bɛsalɛl bem ko Urii, be-koo Hur dee so, duka hi̧i̧, ti fara-duk ko GASA WAN. Mɛ̀ nɛ́ fara'i a̧ Salomɔŋ in giiwi kɔ̧ɔ̧ so mɛ gasi GASA WAN sɛnɛ.  ","Ɓɛɛ  fara-ɗafi-sɔ̧  nɛ̀‘i dee nɛ̀ ndɛrɛ, nɛ̀ Bɛsalɛl bem ko Urii, be-koo Hur dee so, duka hi̧i̧, ti fara-duk ko GASA WAN. Mɛ̀ nɛ́ fara'i a̧ Salomɔŋ in giiwi kɔ̧ɔ̧ so mɛ gasi GASA WAN sɛnɛ.  ","Ama pa veyi reghwetɛ nya kwa mze nya vɛsəte Basalɛl, wəzege ta Əwri shia Həwr, te kema ta cɛ lekwesa ta Mahwətə mbe Gabawon. Te ŋkwa shɛ lə Salomon le mbeli nyi kebeghe ŋkɛ ka'yɛwe ghena va Mahwətə. ","Ti ngeel ni mo lay no, ngeel sië jag boo dob maga Betsalel je ni Uri no, je ni Hurn hay joñn mono hay pel mburyugn ni lay. Salomoñ de tayge ngaäan äuy kal wo wii ëiggi Manwuri. "
2CH.1.6," Là, sur l'autel d'airain qui était devant Yahweh, près de la tente de réunion, Salomon offrit mille holocaustes. ","And Solomon went up thither to the brasen altar before the  Lord , which was at the tabernacle of the congregation, and offered a thousand burnt offerings upon it.","Salomon jik kulo kay giwin-ma-ɗifinna ma wayna hay liy namna, vok ir Ma-Vatɗina, ma ka hay guɗuk ma fi-tuwna, ɗawni nam li ɗifin hiɗi farayn birim ɗaw'.","Valé ate nye Solômon a nga bet e ataʼa metunaʼa mvot e mbe e nda éndelé bendôbaʼan, Nti a too, a ve mimvean ba diʼi ngumba tañe toyini.","Li gi mikuli ngi ɓiri gaza misi a mbuŋ Bumbulvuŋ, migweˀ avu guɗuk ngi zlir ati Buymisemuŋ tuwa, Salomoŋ a jiɗ ng'ara, a gi mikuli mizlam zlamay durmuk mbeˀ mbeˀe.","Suleymaanu wa'i dow hirsirde man, lii'ani Jawmiraawo guleteeɗi ujineere.","Suleymaanu wa'i dow hirsirde man, lii'ani Jawmiraawo guleteeɗi ujineere.","Sɛn hi̧i̧, Salomɔŋ daŋa si  fara-ɗafi-sɔ̧  nɛ̀‘i dee nɛ̀ ndɛrɛ, ti GASA WAN, ká̧  Tua-kpa-ŋmaa , ɓɛɛ a̧  dɔ  kpoo-sɔ̧ tɛ duk-aa booro ɗafi nɛ̀ sɔ̧.","Sɛn hi̧i̧, Salomɔŋ daŋa si  fara-ɗafi-sɔ̧  nɛ̀‘i dee nɛ̀ ndɛrɛ, ti GASA WAN, ká̧  Tua-kpa-ŋmaa , ɓɛɛ a̧  dɔ  kpoo-sɔ̧ tɛ duk-aa booro ɗafi nɛ̀ sɔ̧.","Tagha, tarame Salomon pelɛ reghwetɛa mze kwa tɛawetɛa te kema ta Mahwətə, pa dzeghekɛ nda melɛ le wəshi keseɗa slibə takwa takwa yitea cɛ lekwesa nya kebegeme mbeli mbe le Shala. ","Diñ ti ngeel ni ga Salomoñ wo ti ngeel sië jag boo dobn pel Manwuri, maga hay ti Tiñ Yiñgi de Baa no, day aà kal joñ siëgi jag maga aè roë mo äen go äuy ndare."
2CH.1.7," La nuit suivante, Dieu apparut à Salomon et lui dit : ""Demande ce que tu veux que je te donne."" ","In that night did God appear unto Solomon, and said unto him, Ask what I shall give thee.","Hay henjet na'ta, Lawn vul tuwam kir Salomon, nam di talam ala: Jobaŋ va ma naŋ mina, kay nan min vulaŋga. ",Zambe a nga yené be Solômon alu te a jô nye na: Siliʼi jôm wo kômbô na me ve wo. ,"Ngi duvuɗ nah vuna, Buymisemuŋ a biga vu da Salomoŋ, a ɓaŋ: «Ki wuɗ i vuluw mike? Cufuɗiy.» ","Jemma man Allah waŋgani Suleymaanu, wi'i mo: “Tora ko ngiɗɗa fuu, mi hokkete!” ","Jemma man Allah waŋgani Suleymaanu, wi'i mo: “Tora ko ngiɗɗa fuu, mi hokkete!” ","Mɛ zɛ‘i, Sɔ̧ hɔɔ zu ha̧ Salomɔŋ, ɓɛɛ tɔ̧ ha̧ a̧: «Mɛ̀ ák mɔ nɛ̀ mɛ kɔ̧ɔ̧ er-am.» ","Mɛ zɛ‘i, Sɔ̧ hɔɔ zu ha̧ Salomɔŋ, ɓɛɛ tɔ̧ ha̧ a̧: «Mɛ̀ ák mɔ nɛ̀ mɛ kɔ̧ɔ̧ er-am.» ","Ma heviɗia shɛ ne, pa Shala ncɛte nda geva ke Salomon, ma ke shɛ: «Wa wəsə nya nza 'ya kandeke ŋa wa? 'Yɛwete ŋkɛ va 'ya.» ",Wursen de suñ ni mono Baa raw naa nen see äe ne Salomoñ day wiin ga: Wii fen maga ndo de saçy äe ti ga ndi mo haçn ne ndo mono. 
2CH.1.8," Salomon répondit à Dieu : ""Vous avez montré une grande bienveillance envers David, mon père, et vous m'avez fait régner à sa place. ","And Solomon said unto God, Thou hast shewed great mercy unto David my father, and hast made me to reign in his stead.","Salomon hot dit tam Lawna: Naŋ li ŋaat ŋolo kat bunu David, nan tunanawa mulu hay baŋalamu. ","Ane Solômon a nga yalane Zambe na: Wo ô nga liti David ésaa wome mvam abui, wo fe wo bo na me jôʼô éjiane jé. ","Salomoŋ a mbiɗaŋ di: «Buymisemuŋ ɗu, ki ga mezle le haɗa da baha Davite, yo ki cifi ti ya buy le ar li naŋ ma. ","Suleymaanu jaabi mo: “A woonani baaba am Daawuda bee mbooɗeeŋga ɗuuɗŋga, a laamini yam haa pellel maako boo. ","Suleymaanu jaabi mo: “A woonani baaba am Daawuda bee mbooɗeeŋga ɗuuɗŋga, a laamini yam haa pellel maako boo. ","Salomɔŋ kifa nú ha̧ Sɔ̧: «Nɛ́ ɛ́nɛ́ a̧ usa so gasa  kɔ̧ɔ̧mɔ  ha̧ dáà kɔ‘m David, ɓɛɛ ɛnɛ de ha̧‘m mɛ ɔ wan oi-aa. ","Salomɔŋ kifa nú ha̧ Sɔ̧: «Nɛ́ ɛ́nɛ́ a̧ usa so gasa  kɔ̧ɔ̧mɔ  ha̧ dáà kɔ‘m David, ɓɛɛ ɛnɛ de ha̧‘m mɛ ɔ wan oi-aa. ","Ma ke Salomon zhɛnete nda: «Kwele kwele menete nda ganyɛ na ke yiteyɛ ɗa David, tsetsenya tse, pa na veyi ɗa kameghe te ŋkwa ŋkɛ. ","Salomoñ kal fer waçaçre ne Baa: Ga ndo joñ äil de el see pan äi Dafid kluu debañ, day ndo kañ me joñ wañ ti ngeel äe. "
2CH.1.9," Maintenant, Yahweh Dieu, que s'accomplisse votre parole que vous avez dite à David, mon père, puisque vous m'avez fait régner sur un peuple nombreux comme la poussière de la terre ! ","Now, O  Lord  God, let thy promise unto David my father be established: for thou hast made me king over a people like the dust of the earth in multitude.","Wulin kayni, Ma-Vatɗina Lawna, yoboy ma naŋ dum kat bun Davidna hinim vunam hob goyo, kay naŋ hinan ti mulda kay jaf-sumun ŋolo ki ŋeslna ma goloŋ kel niyna nala. ","Ajô te a Nti, nyô a ne Zambe, nkobô ô nga kobô David ésaa wom ô ntoo ve tôéban, amu wo ô boya na me jôô ayoñe bôt e ne abui ane mbuluʼu ya si. ","Bumbulvuŋ Buymisemuŋ, wurenna ga gwat ka miɓa da baha Davit tuwa muduba, asi micifi ti ya buy ngi mizli misikinih kaɓa murɓuk ngi ruwuy na, i ka vuna. ","Yaa Jawmiraawo Allah, tabitin wolde nde mbi'ɗa baaba am Daawuda, ngam a laamini yam dow ummaatoore ɗuuɗnde bana njaareendi . ","Yaa Jawmiraawo Allah, tabitin wolde nde mbi'ɗa baaba am Daawuda, ngam a laamini yam dow ummaatoore ɗuuɗnde bana njaareendi . ","Kinii, GASA WAN Sɔ̧, wen n’ɛnɛ tɔ̧ɔ̧ ha̧ dáà kɔ‘m David a̧ hɔ́ gba̧a̧, wen nɛ́ ɛ́nɛ́ a̧ dee ha̧‘m mɛ ɔ wan zu dukbíí'ɛ nɛ̀ ɔ dɔka hee fuunu ga’ɛ.  ","Kinii, GASA WAN Sɔ̧, wen n’ɛnɛ tɔ̧ɔ̧ ha̧ dáà kɔ‘m David a̧ hɔ́ gba̧a̧, wen nɛ́ ɛ́nɛ́ a̧ dee ha̧‘m mɛ ɔ wan zu dukbíí'ɛ nɛ̀ ɔ dɔka hee fuunu ga’ɛ.  ","Tsetsenya tse gɛ Shala Mahwətə, nahe na keyipəte meɗe mɛ nya meɗeyi nda na ke yiteyɛ ɗa. Pa na veyi ɗa kameghea mbeli kwele kwele kala ndaleghe. ","Patalam no, Manwuri, Baa, daga waçaçre maga ndo hay waçaçn ne pan äi Dafië mono, mo le' jag go, werga ndo kañ me wañ ma waçaç waçaçre jar maga wo ngaäa do äurgi ma nen sir no mono. "
2CH.1.10," Accordez-moi donc la sagesse et l'intelligence, afin que je sache me conduire devant votre peuple. Car qui pourrait juger votre peuple, ce peuple si grand?"" ","Give me now wisdom and knowledge, that I may go out and come in before this people: for who can judge this thy people, that is so great?","Wulin kayni naŋ vulan yalla hiɗi wida, kay nan ma wi yal ma tun vok sumun kayni, kay sumuna vaŋ nisi sa ŋol zututn kayni, sa ma as ŋomsin ɗawni mi gige? ","Eyoñe ji a ntoo ñhe ve ve ma fek a ñyemane mam, nalé ma ye yeme wulu e bôte bana ôsu. Amu na, za nye a ne nguleya jôô e beta ayoñe bôte wôé nyô? ","Wurenna, vuliy sinmijileŋ ati sli wala ngi ɓi, ɓa i si na gi gwat a mbuŋ mizli hanayna. Da kanah ta na, mizli ɗikey, mizli misikinih haɗa hana, majigina taŋ gu i waka?»",Hokkam hikma e hakkiilo ngam ɗowugo yimɓe ɓe'e. Ngam moy foti laamanaago ummaatoore ma ɗuuɗnde nde'e?” ,Hokkam hikma e hakkiilo ngam ɗowugo yimɓe ɓe'e. Ngam moy foti laamanaago ummaatoore ma ɗuuɗnde nde'e?” ,"Kinii, ɛ̀nɛ̀ há̧ iŋa-mgbara-mɔ in de taamɔ ha̧‘m, ha̧‘m mɛ iŋ nɛ́ɛ́ nɔ̀ nɛ̀ yuwar-a ti dukbíí'ɛ. Nɛ́ o'o nyɛma mɛ ɔ wan zu dukbíí k’ɛ́nɛ́ nɛ̀ dɔka hegɔ'ɔ o?»","Kinii, ɛ̀nɛ̀ há̧ iŋa-mgbara-mɔ in de taamɔ ha̧‘m, ha̧‘m mɛ iŋ nɛ́ɛ́ nɔ̀ nɛ̀ yuwar-a ti dukbíí'ɛ. Nɛ́ o'o nyɛma mɛ ɔ wan zu dukbíí k’ɛ́nɛ́ nɛ̀ dɔka hegɔ'ɔ o?»","Ndeke ɗa ntsehwele le ɗepe neheve nza ta ghena nda nza 'ya kamenete nza te ghəa mbelia shɛhɛ. Ma keɗema tsagha ne, kanzate nza wəndə te ghəa mbelia ŋa nyi kwele kwele nyi we.»","Do kay nono, haç koge ree wo de koge me, nen maga ndi mo hay de ko koë see äi pel jar sen wo no! Werga wose kaçaç ge yañ ma seege de jar äon wo la, jar se ma ngaäan wo mo ti' äuy no. "
