livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
2KI.1.1," Moab se révolta contre Israël, après la mort d'Achab. ",Then Moab rebelled against Israel after the death of Ahab.,Sum sa Mowabna yaw kulo'o kat sa Israyella bugol mitta vi Akab. ,"Eyoñ Akab a wuya, Môab a nga ben éjôé ya Israél.","A dirba buy Akap mumuc na, Moˀapay a slikiɗam ɓi avu Israyeley mawaka taŋ na. ","Ɓaawo maayde Akab, Mo'abi'en tuurtani Isra'iila. ","Ɓaawo maayde Akab, Mo'abi'en tuurtani Isra'iila. ","Ɗoŋ fio ko Akab, Mɔab dee ŋgazu in *Israɛl.","Ɗoŋ fio ko Akab, Mɔab dee ŋgazu in *Israɛl.","Ma kwa sebe ta mte ta Akab, pa ka Mowab ɗema sleke nya sleke hɛ ka Israyɛl. ","Blam huli Akab mono, Mowab kal giñ Israyele. "
2KI.1.2," Ochozias tomba par la fenêtre en treillis de sa chambre haute à Samarie, et il fut malade. Il envoya des messagers et leur dit: « Allez consulter Béel-Zébub, dieu d'Accaron, pour savoir si je guérirai de cette maladie. » ","And Ahaziah fell down through a lattice in his upper chamber that was in Samaria, and was sick: and he sent messengers, and said unto them, Go, enquire of Baal–zebub the god of Ekron whether I shall recover of this disease.","Fat tara kep Akasiya nigay kulo hay ir kaway-ciliyna vi ziyda valam ta kulota pa hay Samariya, nam cap li moyo. Nam cuk sa sunda, ka di tisi ala: Tuɗgi kuɗ Baal-Zebub Lawna vi Ekron jobom tige, nan as yer goy kay moyna van su? ","Akazia a nga koo e nkaʼalé ya étune nda jé ya yôp a ku si, ve balé mbia mbalan. E nde a nga lôme minlôman a jô mie na: Kele silane nkômbane Baal-zébul, zambe yʼEkroñ, me yem nge ma ye yet ôkone vi! ","Ngi pas numuŋ ada na, buy Ahaziya a ro ar viŋ ngi hay naŋ mijirngasl a hirnga cala a Samari. A diɗo tir fenetir na, a gaŋ waˀa le haɗa. Akẽh na, buy a slin mizli nga cufuɗa  Baˀal Zebub  ar walahay Ekroŋ. Asi buy a wuɗ ɓa a sina, zliv a sa mbul gu tir naŋ mulum mendere hana vuna kwa mbrike na, kini. ","Nyannde feere, laamiiɗo Ahaziya do'i gal wurdere cabbi gaafindiraaɗi haa suudu muuɗum dowru haa Samariya, o naawni. Nden o neli nelaaɓe haa ɓe njaha ɓe ƴama Ba'al-Zebub, lawru haa berniwol Ekuruun, ngam anndugo to o yamɗitan e naawnere do'ere nde'e. ","Nyannde feere, laamiiɗo Ahaziya do'i gal wurdere cabbi gaafindiraaɗi haa suudu muuɗum dowru haa Samariya, o naawni. Nden o neli nelaaɓe haa ɓe njaha ɓe ƴama Ba'al-Zebub, lawru haa berniwol Ekuruun, ngam anndugo to o yamɗitan e naawnere do'ere nde'e. ","Akazias hɔ̧fa̧ so tik nù nɛ kɔ̧ bɛr-tua mɛ ŋgɔn sɛn Samarii, ɓɛɛ tɛ-a nyim nyim nɛ̀ ŋgaya-a. A̧ toma o betom tɔ̧ nɛnɛ ha̧ wa hee mɔ'ɔ ga: «Ɛ̀nɛ̀ nɛ́ɛ̀ zɔk Bal-Zebub, sɔ̧ ko o be Ekrɔŋ; a̧ a̧ tɔ̧́ ha̧‘m, mi tɛ kpasi tɛ zɛɛ kɔ‘m’ɛ nde?»","Akazias hɔ̧fa̧ so tik nù nɛ kɔ̧ bɛr-tua mɛ ŋgɔn sɛn Samarii, ɓɛɛ tɛ-a nyim nyim nɛ̀ ŋgaya-a. A̧ toma o betom tɔ̧ nɛnɛ ha̧ wa hee mɔ'ɔ ga: «Ɛ̀nɛ̀ nɛ́ɛ̀ zɔk Bal-Zebub, sɔ̧ ko o be Ekrɔŋ; a̧ a̧ tɔ̧́ ha̧‘m, mi tɛ kpasi tɛ zɛɛ kɔ‘m’ɛ nde?»","Ma te kwete hɛ pelɛ cɛ nya pelɛ ghəa cɛa meghe Ahaziya, nya mbe Samari ne, pa teɗenyɛ sawa te wəfela ta cɛ kadzete hɛɗi, pa zhi ɗakɛ kwele kwele. Pa ŋkɛ ghwenakɛ wəndə, ma ke shɛ: «Kwiɗi 'yɛwakɛ ɗa ghena va Ba'al-Zebəwb, shala ta ka Ɛkron, kenza nde kanza 'ya te ghweme va zhi nya.» ","Wañ Ahasiya kal le'ge le go jag feneder ti tiñ äe ma ciñ ti keçeç ma Samari no, day da' waçaçge de eegre debañ. AÀ kal laa jar wo day wii ra ga: Wo wee ko Baal-Sebud baa ma Ekron no, ma koge ga ndi peçeç yañ mbi go de waçaçge sen yawla bay wa yawla. "
2KI.1.3," Mais l'ange de Yahweh dit à Elie, le Thesbite: « Lève-toi, monte à la rencontre des messagers du roi de Samarie, et dis-leur: Est-ce parce qu'il n'y a point de Dieu en Israël que vous allez consulter Béel-Zébub, dieu d'Accaron? » ","But the angel of the  Lord  said to Elijah the Tishbite, Arise, go up to meet the messengers of the king of Samaria, and say unto them, Is it not because there is not a God in Israel, that ye go to enquire of Baal–zebub the god of Ekron?","May sunda-wuralawna vi Ma-Vatɗina di tam Eliyas ma Tikbina ala: Fokaŋ kulo'o, tuɗaŋ ŋaf ir sa sunda vi mul ma Samariyana, naŋ ma disi ala: Nigi tuɗ job kuɗ Baal-Zebub lawayna vi Ekron kayn kay lawn mara may hay Israyelɗit su? ","Eyoñe te éngele Nti a nga kobô Elie mone Tisbite na: Kôlôʼô si ô ke tôbane minlômane njô bôte ya Samari a jô mie na: Ye amu Zambe a nji fe bo Israél, nde mia ke sili nkômbane Baal-zébul zambe ya Ekroñ? ","Ar nah na, modro ngi Buymisemuŋ a ɓa Eli, mbur Tisebe: «Slikiɗ, ara ji hirnga ti gawla ngi buy Samarihey ani, ɓa ki ɓa taŋ: ‹Bumbulvuŋ anta ar hirwuy Israyele takwa? Ki ram nga cufuɗa ɓi avu Baˀal Zebub, kuli ngi Ekroŋ vur mike?›» ","Ammaa malaa'ikaajo Jawmiraawo wari wolwani Eliya Tisbeejo, wi'i mo: “Umma, yah fottu bee nelaaɓe laamiiɗo Samariya. Yeccu ɓe: Kadi Allah walaa haa Isra'iila na? Koni njahoton ƴamugo Ba'al-Zebub, lawru Ekuruun'en? ","Ammaa malaa'ikaajo Jawmiraawo wari wolwani Eliya Tisbeejo, wi'i mo: “Umma, yah fottu bee nelaaɓe laamiiɗo Samariya. Yeccu ɓe: Kadi Allah walaa haa Isra'iila na? Koni njahoton ƴamugo Ba'al-Zebub, lawru Ekuruun'en? ","Tɛ ŋgimbi'i betom ko GASA WAN tɔ̧ɔ̧ ha̧ Elii be Tisbe: «Mɛ̀ kúr ŋgɔn, ɓɛɛ mɛ̀ wé ti o betom ko wannu Samarii. Mɛ̀ tɔ̧́ ha̧ wa'e ndé, ŋma Sɔ̧ bo *Israɛl na, sa wa nɛ́ɛ̀ ak nɛ́ Bal-Zebub, sɔ̧ ko o be Ekrɔŋ nde? ","Tɛ ŋgimbi'i betom ko GASA WAN tɔ̧ɔ̧ ha̧ Elii be Tisbe: «Mɛ̀ kúr ŋgɔn, ɓɛɛ mɛ̀ wé ti o betom ko wannu Samarii. Mɛ̀ tɔ̧́ ha̧ wa'e ndé, ŋma Sɔ̧ bo *Israɛl na, sa wa nɛ́ɛ̀ ak nɛ́ Bal-Zebub, sɔ̧ ko o be Ekrɔŋ nde? ","Ma ke nde ghwene ta Mahwətə sha nde mɛ ŋkwa Ɛli, nde Tishebɛ: «Dzeme begeme mə le mbeli nyi ghwenakɛ meghea ka Samari, ma pa na sha hɛ: ‹Ashɛ Shala va ka Israyɛl nda lə yɛ ka'yɛwe ghena va Ba'al-Zebəwb shala ta ka Ɛkron na?› ","Ama je peele Manwur kal wii Eli je Tisben ga: Ur go ciñ see wo yiñgi de jar peele mani wañ Samarin wo mo ti' no, day ni ndo wii ra ga: Sen na diñ wer maga Baa bay Israyel wa mo so yaw, ga nday raw le ma woge ko Baal-Sebud baa ma Ekronn mo äa? "
2KI.1.4," C'est pourquoi ainsi dit Yahweh: « Du lit sur lequel tu es monté, tu ne descendras pas, tu mourras certainement. » Et Elie s'en alla.","Now therefore thus saith the  Lord , Thou shalt not come down from that bed on which thou art gone up, but shalt surely die. And Elijah departed.","Ki kayn nala Ma-Vatɗina di'e: Ezekiyas ma fok kulo kay va ma buura valamɗi, nam ma cap mita. Nala Eliyas kali malamu.",Ajô te Nti a kobô avale di na: Wo ye bo te sis a kôlô énoñ ô nga bet amu wo ye foʼo wu. Ane Elie a nga ke.,"Naŋ kine, Buymisemuŋ a ɓa buy Israyel kum ani: «Arngawo, naŋ mutup ara na, naŋ anta pi sar cak le ti ra mata, a sa mucu.» ","Ngam maajum, ndaa nii Jawmiraawo wi'i: A ummataako diga be'itte ɗe mbaaliiɗa, a maayan fakat.” Nden Eliya dilli.","Ngam maajum, ndaa nii Jawmiraawo wi'i: A ummataako diga be'itte ɗe mbaaliiɗa, a maayan fakat.” Nden Eliya dilli.","Hee mɔ'ɔ nɛ̀ wa dee hegɔ ga, GASA WAN'e ndé: ‹Mɛ beka kur ŋgɔn gɔn gado-zɛɛ kɔ-mɛ‘i na, mɛ tɛ fe nɛ̀ mbetɛ!› » Ɓɛɛ Elii si kɔ‘i ɗoŋ. ","Hee mɔ'ɔ nɛ̀ wa dee hegɔ ga, GASA WAN'e ndé: ‹Mɛ beka kur ŋgɔn gɔn gado-zɛɛ kɔ-mɛ‘i na, mɛ tɛ fe nɛ̀ mbetɛ!› » Ɓɛɛ Elii si kɔ‘i ɗoŋ. ","Ma pa na mtsehete: ‹Wa nya ghena nya geze nda Mahwətə ke meghea ka Israyɛl nya: Kasate na te gezle nya nza na te meɓelahe we, katemte na!›» Pa Ɛli menete wəsə nya gezave nda Mahwətə. ","Diñ wersen ga Manwur waçaç do kay nono: Fen suli maga ndo ni mo ti' ndo ur gi go ciñ gaa, werga ko go tinoo ti äo ga ndo hu gi go. Blam äe Eli kal mbe rawge so."
2KI.1.5," Les messagers retournèrent auprès d'Ochozias, et il leur dit: « Pourquoi revenez-vous? » ","And when the messengers turned back unto him, he said unto them, Why are ye now turned back?",Sa sunda hotay kat Akasiya. Nam ka jobsi ala nigi hotay kay mige? ,"Ane minlôman mi nga bulane be njô bôt, nye ve jô be na: Amu jé mia te bulan? ","Misliney a moko ng'avu buyo, dar buy tuwa, a ɓa taŋ: «Ki moko a muŋ vur mike?» ",Nelaaɓe ngarti haa laamiiɗo. O ƴami ɓe: Koni ngartuɗon? ,Nelaaɓe ngarti haa laamiiɗo. O ƴami ɓe: Koni ngartuɗon? ,"O betom pia ɗoŋ tɛ Akazias, ɓɛɛ a̧ ak wa: «Ɛnɛ pia ɗoŋ wen ge nde?»","O betom pia ɗoŋ tɛ Akazias, ɓɛɛ a̧ ak wa: «Ɛnɛ pia ɗoŋ wen ge nde?»",Pa mbeli nyighɛ zhɛneke geva kase sha meghe. Pa ka'yɛwe va hɛ: «Wa raberə nda zhɛneke geva yɛ wa?» ,Jar peelen kal wo le ferge äiñ Ahasiya maga kal wii rage ga: Diñ wer may ga nday fer le äa? 
2KI.1.6," Ils lui répondirent: « Un homme est monté à notre rencontre et nous a dit: Allez, retournez vers le roi qui vous a envoyés, et dites-lui: Ainsi dit Yahweh: Est-ce parce qu'il n'y a point de Dieu en Israël que tu envoies consulter Béel-Zébub, dieu d'Accaron? C'est pourquoi du lit sur lequel tu es monté, tu ne descendras pas, mais tu mourras certainement. » ","And they said unto him, There came a man up to meet us, and said unto us, Go, turn again unto the king that sent you, and say unto him, Thus saith the  Lord , Is it not because there is not a God in Israel, that thou sendest to enquire of Baal–zebub the god of Ekron? therefore thou shalt not come down from that bed on which thou art gone up, but shalt surely die.","Nisi ka dum ala sa mara kep co ŋafma irma'a, nam duma ala: Hotgi kat mulla ma cukgiyayna, digit ala, Ma-Vatɗin di'e: Naŋ cuk sumun kay tuɗ job kuɗ Baal-Zebub lawayna vi Ekron kayni, Lawn may hay Israyelɗi su? Ki kayn nala naŋ ma fok kulo kay va ma buura vaŋɗi, naŋ ma cap mita. ","Be nga yalane nye na: Môt éziñ a te zu tôbane bia a jô bia na: Bulaʼane be njô bôt a te lôme mia, a jô nye na: Avale di nde Nti a jô na: Ye amu Zambe a nji fe bo Israél, nde wo lôme bôt be ke sili nkômbane Baal-zébul, zambe yʼEkroñ? Ajô te, wo ye bo te sis, a kôlô énoñ ô nga bet, amu wo ye foʼo wu. ","«Misliney a mbiɗakaŋ di: mbur ada, a kiroho ng'avu ndra, a ɓa ndra ɓa i moko ng'avu ka a muŋ, ɓa i ɓukuw na, Buymisemuŋ a ɓuw ani: ‹Bumbulvuŋ anta ar hirwuy Israyele takwa kini? Ki slin mizli ɓa nga cufuɗa ɓi avu Baˀal Zebub, kuli Ekroŋ vur mike? Vurˀe, arngawo ka mihin tup ara na, k'anta sa pi sar cak le ti ra ta, kisa mucu.›» ","Ɓe njaabi mo: “Goɗɗo wari, fotti bee amin, wi'i: Lorte haa laamiiɗo nelɗo on. Mbi'e mo: Ndaa nii Jawmiraawo wi'i: Allah walaa haa Isra'iila na? Koni a neli nelaaɓe haa ɓe ƴamane Ba'al-Zebub, lawru Ekuruun'en? Ngam maajum a ummataako diga be'itte ɗe mbaaliiɗa, a maayan fakat.” ","Ɓe njaabi mo: “Goɗɗo wari, fotti bee amin, wi'i: Lorte haa laamiiɗo nelɗo on. Mbi'e mo: Ndaa nii Jawmiraawo wi'i: Allah walaa haa Isra'iila na? Koni a neli nelaaɓe haa ɓe ƴamane Ba'al-Zebub, lawru Ekuruun'en? Ngam maajum a ummataako diga be'itte ɗe mbaaliiɗa, a maayan fakat.” ","Wa kifa nú-wa: «Ŋma wiwii kpaa ŋmaa in yɛɛ, ɓɛɛ nɛ́ mɔ'ɔ n'aa tɔ̧ɔ̧ h’ɛ́ɛ́‘e, ɛ̀ɛ̀ sí ɗoŋ tɔ̧́ ha̧ wannu nɛ̀ toma yɛ tɛnɛ‘i, GASA WAN tɔ̧ɔ̧ ndé: ‹Ŋma Sɔ̧ bo sɛn *Israɛl na, sa mɛ tom nɛ bíí mɛ nɛ̀ɛ́ ak nɛ́ Bal-Zebub, sɔ̧ ko o be Ekrɔŋ'ɛ nde? Mɛ̀ nɛ́ hegɔ nɛ mɛ beka kur ŋgɔn sɛn gɔn gado-zɛɛ kɔ-mɛ‘i ɓɔna; mɛ tɛ fe nɛ̀ mbetɛ!› »","Wa kifa nú-wa: «Ŋma wiwii kpaa ŋmaa in yɛɛ, ɓɛɛ nɛ́ mɔ'ɔ n'aa tɔ̧ɔ̧ h’ɛ́ɛ́‘e, ɛ̀ɛ̀ sí ɗoŋ tɔ̧́ ha̧ wannu nɛ̀ toma yɛ tɛnɛ‘i, GASA WAN tɔ̧ɔ̧ ndé: ‹Ŋma Sɔ̧ bo sɛn *Israɛl na, sa mɛ tom nɛ bíí mɛ nɛ̀ɛ́ ak nɛ́ Bal-Zebub, sɔ̧ ko o be Ekrɔŋ'ɛ nde? Mɛ̀ nɛ́ hegɔ nɛ mɛ beka kur ŋgɔn sɛn gɔn gado-zɛɛ kɔ-mɛ‘i ɓɔna; mɛ tɛ fe nɛ̀ mbetɛ!› »","Ma ke hɛ zhɛnete nda: «Kwete wəndə dzeme kabegeme le ghen'yɛ, ma ke sha ghen'yɛ: ‹Zhɛnete mə geva kalə sha meghe nya keghweneke ŋayɛ, ma pe yɛ: Ma ke Mahwətə ne, va nya ɗema Shala mbe ka Israyɛl nda lə na ka'yɛwe ghena va Ba'al-Zebəwb, shala ta ka Ɛkron na? Va wəsə nya kala nya gɛ, kasate na te gezle nya nza na we. Kamte na.›» ","AÀ kal wo fer waçaçre ne hen ga: Blo po ur le caa pel wuuri: Ga see wee, fer wee, wo wee äiñ wañ maga laa nday le ni nday wiin wee ga: Waçaç do kay nono diñ Manwuri: Sen na diñ wer maga Baa bay Israyel la wa mo so yaw, ga ndo laa jar wo ko Baal-Sebud baa ma Ekron mo äa? Diñ wersen ga fen suli maga ndo de suli ni mo ti' no ndo ur gi go ciñ gaa, werga ko go tinoo ti äo ga ndo hu gi go. "
2KI.1.7, Ochozias leur dit: « Quel était l'aspect de l'homme qui est monté à votre rencontre et qui vous a dit ces paroles? » ,"And he said unto them, What manner of man was he which came up to meet you, and told you these words?","Akasiya di tisiya: Sa namna ma ŋafgi irgiya kay kus yoboy namna hiɗi nigin kayni, jifna valam ir nanige? ",Nde njô bôt a nga jô be na: Môt a te zu tôbane mia a kobô mia mejô mete a too aya? ,"Akẽh na, buy tuwa, a cufuɗa taŋ: «Mbur muso nga ji hirnga ti kum, yo muɓukum ɓi hana vuna, naŋ mbrike?» ","O ƴami ɓe: “Goɗɗo pottuɗo bee mooɗon, bolwanɗo on bolle ɗe'e, o moyeejo?” ","O ƴami ɓe: “Goɗɗo pottuɗo bee mooɗon, bolwanɗo on bolle ɗe'e, o moyeejo?” ",Wannu aka wa: «Wi nɛ̀ wee ti'nɛ́ ɓɛɛ nɛ̀ tɔ̧ɔ̧ o wen nɔ‘i h’ɛ́nɛ́‘i duk hee ge?»,Wannu aka wa: «Wi nɛ̀ wee ti'nɛ́ ɓɛɛ nɛ̀ tɔ̧ɔ̧ o wen nɔ‘i h’ɛ́nɛ́‘i duk hee ge?»,"Ma ke meghe sha hɛ: «Tsema nza ta wəndə nya begemea shɛ yɛ le, nya kegezete ŋayɛ ghena wa?» ","Ahasiya kal wii rage ga: Blo se maga ur le caa pel äay day fer waçaçre ma kay ne nday mono, nday kon see äay caw äen eçne? "
2KI.1.8," Ils lui répondirent: « C'était un homme velu, avec une ceinture de cuir autour des reins. » Et Ochozias dit: « C'est Elie, le Thesbite. »","And they answered him, He was an hairy man, and girt with a girdle of leather about his loins. And he said, It is Elijah the Tishbite.","Nisi hotom dita: San kayni cuki talam mi bakŋa, kanti ma furamna mi ɗigiya kaw. Akasiya di'e: Kayni mi Eliyas ma Tikbina.",Be nga yalane nye na: Môt ate a too a beʼe ngômesan mimvote mi tit a sandé ékôbe tit ntiñetan angeteñ. Nde a nga jô na: Elie mone Tisbite le!,"Misliney a mbiɗakaŋ di: «Naŋ ti zana ɓaˀ avu vu, zana mija ti ngwic ngi zlogomo, waɗ a juwa kwacaya wak ti kanda.» Akẽh na, buy a si na le, a ɓi: «Ey, i Eli, mbur Tisebe.»","Ɓe njaabi mo: “O ɓorniiɗo limce gaasa, o taadiiɗo bee taadorgol laral haa keeci maako.” Laamiiɗo wi'i: “Ɗum Eliya Tisbeejo .”","Ɓe njaabi mo: “O ɓorniiɗo limce gaasa, o taadiiɗo bee taadorgol laral haa keeci maako.” Laamiiɗo wi'i: “Ɗum Eliya Tisbeejo .”","Wa kifa nú ha̧ a̧‘e: «Nɛ́ ŋma bíí nɛ̀ pi̧i̧ nɛ́ buma-a a̧a̧ sɛnɛ, ɓɛɛ a̧ mar ŋma laa-ndàrá guntir-aa.» Ɓɛɛ wannu tɔ̧: «Mɛ̀ nɛ́ Elii be Tisbe!»","Wa kifa nú ha̧ a̧‘e: «Nɛ́ ŋma bíí nɛ̀ pi̧i̧ nɛ́ buma-a a̧a̧ sɛnɛ, ɓɛɛ a̧ mar ŋma laa-ndàrá guntir-aa.» Ɓɛɛ wannu tɔ̧: «Mɛ̀ nɛ́ Elii be Tisbe!»","Ma ke hɛ shɛ: «Wəndə le zleke ta hweta ta zlegwemə ya kənə, pa hətə hwa hwə ve.» Ma ke meghe tsate lewela: «Ɛli ŋkɛ nde Tishebɛ!»","AÀ kal wo fer waçaçre ne hen ga: AÀ hay diñ blo po de oçoçbe ma de fuçy see ti, day samdir hoçoçge hay de sa'ge sag äe. Do kay nono, Ahasiya day ga: AÀ diñ Eli je Tisbe no."
2KI.1.9," Aussitôt il envoya vers lui un chef de cinquante avec ses cinquante hommes. Ce chef monta auprès d'Elie, et voici qu'il était assis sur le sommet de la montagne, et il lui dit: « Homme de Dieu, le roi a dit: Descends! » ","Then the king sent unto him a captain of fifty with his fifty. And he went up to him: and, behold, he sat on the top of an hill. And he spake unto him, Thou man of God, the king hath said, Come down.","Nam gi soje ma ŋolla ma sumun kalam dok-vasln talamu, hiɗi sum sa dok-vasln kuɗum kaw. San kayni kali kat Eliyas. Eliyas ka musi kulo kay sin-hiɗiyta, nam ka di talam ala: Sana vi Lawna, mulla di ay ala naŋ naysa. ","Ane njô bôt a nga lôm évete nsamba bezimbi mewôm metan e bʼElie ba be bôte bé mewôm metan. E nde évet éte é nga ke be nye. Elie a nga too abôbône nkôle yôp. Evete nsamba bezimbi é nga jô nye na: A môta Zambe, njô bôt a jô na ô sise nkôle si!  ","Ar nah na, buy a slin madiɗa ngi sojehey ti mizli kukur zlum aseˀe, ɓa nga jo Eli. A jiɗam ng'avi Eli a hirnga muwã ar li naŋ muro angaŋ. Madiɗa ngi sojehey a ɓaŋ: «Mijiviɗ ngi Buymisemuŋ, buy a ɓuw ɓa ki po sar.» ","Nden o neli ardiiɗo dow honooɓe cappanɗe njowo bee yimɓe muuɗum cappanɗe njowo haa Eliya. Ardiiɗo go wa'i haa maako, kaŋko o ɗon jooɗi haa yeereere hooseere. O wi'i mo: “An, goɗɗo Allah, laamiiɗo wi'i sey a jippo.” ","Nden o neli ardiiɗo dow honooɓe cappanɗe njowo bee yimɓe muuɗum cappanɗe njowo haa Eliya. Ardiiɗo go wa'i haa maako, kaŋko o ɗon jooɗi haa yeereere hooseere. O wi'i mo: “An, goɗɗo Allah, laamiiɗo wi'i sey a jippo.” ","Wannu toma ŋma wi-duk-zu o wi-biro ɓu-mɔɔrɔ in o wi-biro kɔ̧-a̧ mbɛt nɛnɛ tɛ Elii. Elii duk so nɛ nù zu kaya, ɓɛɛ wi’ɛi tɔ̧ ha̧ Elii: «Bíí ko Sɔ̧! Wannu'e ndé, mɛ̀ zìr!»","Wannu toma ŋma wi-duk-zu o wi-biro ɓu-mɔɔrɔ in o wi-biro kɔ̧-a̧ mbɛt nɛnɛ tɛ Elii. Elii duk so nɛ nù zu kaya, ɓɛɛ wi’ɛi tɔ̧ ha̧ Elii: «Bíí ko Sɔ̧! Wannu'e ndé, mɛ̀ zìr!»","Pa ghweneghe meghea ka sewajɛ nya te ghəa ka sewajɛ mcɛfemsə kezha kese Ɛli. Nahe Ɛli kentishɛnyɛ pelɛ ghəa ghweme, ma ke meghea ka sewajɛa shɛhɛ shɛ: «Wəndəa Shala, sawa ke meghe!» ","AÀ kal äo' wañ po ma waçaç waçaçre jar do dwee wo de jar äe ma do dween wo. Wañ sen kal rawge äiñ Eli, kal woge da'ge äe de hayle ciñ ti ti peçeçge huuli, day kal wii gi äe ga: Je mani Baa no, wañ waçaç ga: Ëii le go! "
2KI.1.10," Elie répondit et dit au chef de cinquante: « Si je suis un homme de Dieu, que le feu descende du ciel et vous consume, toi et tes cinquante hommes? » Et le feu descendit du ciel et les consuma, lui et ses cinquante hommes. ","And Elijah answered and said to the captain of fifty, If I be a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty.","Eliyas hot dit tam sa ŋol ma sojen kalam dok-vasln ala: La nan mi sana vi Lawna, kut ma jikay kulo hay wuralawn pa kay ŋalaŋ goyo, naŋ hiɗi sum sa kuɗaŋ dok-vaslna. Kut jikay kulo hay wuralawn pa ŋalam goyo, nam hiɗi sum sa kuɗum dok-vaslna.","Ve Elie a nga yalan évete nsamba bezimbi mewôm metane na: Nge me ne môta Zambe, nduan é soʼo yôb a diʼi wo, womien a bôte bôé mewôm metan! Eyoñe te nduan é nga so yôb a diʼi nye, émien a e bôte bé mewôm metan.","Amma, Eli a mbiɗa da madiɗa ngi mizli kukur zlum tuwa: «Da yi mijiviɗ ngi Buymisemuŋ na, anja vu a po sar ti muŋ, a zumukum, ka ati mizli mizli ngir zlum na.» Dar vu a po sar paɗ ti muŋ, a zuma taŋ kap ati mizli naŋhay mizli ngir zlumo.","Eliya jaabi: “Nde mi goɗɗo Allah, sey yiite do'o diga asama, nge nyaame an e honooɓe ma cappanɗe njowo fuu.” Saa'i man nden yiite Allah do'i diga asama, nyaami mo bee honooɓe maako cappanɗe njowo go fuu . ","Eliya jaabi: “Nde mi goɗɗo Allah, sey yiite do'o diga asama, nge nyaame an e honooɓe ma cappanɗe njowo fuu.” Saa'i man nden yiite Allah do'i diga asama, nyaami mo bee honooɓe maako cappanɗe njowo go fuu . ","Elii kifa nú ha̧ wan ko o wi-biro ɓu-mɔɔrɔ‘i: «Kà‘m nɛ́ bòò nɛ́ bíí ko Sɔ̧, wee a̧ tík nù nɛ̀ yiwese, ɓɛɛ a̧ a̧ dɔ́ mɛ in o bíí kɔ-mɛ ɓu-mɔɔrɔ'ɛ lɛŋ.» Wee ko Sɔ̧ tika nù nɛ̀ yiwese, ɓɛɛ dɔ wi’ɛi in o bíí kɔ̧-a̧ ɓu-mɔɔrɔ‘i.","Elii kifa nú ha̧ wan ko o wi-biro ɓu-mɔɔrɔ‘i: «Kà‘m nɛ́ bòò nɛ́ bíí ko Sɔ̧, wee a̧ tík nù nɛ̀ yiwese, ɓɛɛ a̧ a̧ dɔ́ mɛ in o bíí kɔ-mɛ ɓu-mɔɔrɔ'ɛ lɛŋ.» Wee ko Sɔ̧ tika nù nɛ̀ yiwese, ɓɛɛ dɔ wi’ɛi in o bíí kɔ̧-a̧ ɓu-mɔɔrɔ‘i.","Ma ke Ɛli sha meghea ka sewajɛ: «Ma nda wəndəa Shala 'ya ne, kageze 'ya kezha sawa ghwə pelɛ ghweme katere ŋayɛ, gha le ka sewajɛa ŋa!» Taghanyɛ, pa ghwə sawa pelɛ ghweme kateremte ŋkɛ zlaɓe ka sewajɛa ŋkɛ nyi mcɛfemsə.","Eli kal fer waçaçre ne wañ ma waçaç waçaçre jar do dween ga: Hayga ndi yañ diñ je mani Baa no, daga wuu mo cwaa le ciñ day mo roë nday go. Ndo de jar äo ma do dwee no! Day wuu kal le cwaage ciñ, kal roëge äe go de jar äe ma do dwee wo no."
