livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
AMO.1.1," Paroles d'Amos, qui fut parmi les bergers de Thécué. Ce qu'il a vu au sujet d'Israël, dans les jours d'Ozias, roi de Juda, et dans les jours de Jéroboam, fils de Joas, roi d'Israël, deux ans avant le tremblement de terre. Il dit :","The words of Amos, who was among the herdmen of Tekoa, which he saw concerning Israel in the days of Uzziah king of Judah, and in the days of Jeroboam the son of Joash king of Israel, two years before the earthquake.","Kayni ti dita vi Amos, san kep jar sum sa ŋom farayna hay Tekowa, van vul tuwam kiramu kay nam ma law sa Israyella, kayni hay buur ma Oziyas ka ti mulda hay Yuda, buur ma Yerobowam goora vi Yowas ka ti mulda hay Israyel, busat ma' jew wiira vi nagata.","Minkulan mejô Amôs, a mbe wua ya bebii mimbam biyem ya Tison Tekôa, mmie mi nga litiban e be nye me wosaʼan Israél, melu Ozias a nga too njô bôte ya Yuda a melu Yérôbôam, mone Yôaz, a nga too njô bôte ya Israél, mimbu mibaé ôsu, mfôʼôsane si ô ngenane te boban.","Ɗerewol hana, a ɓi di i ɓi ngi Amos mbur misi ginewey a ruwuy Tekoˀa. A ndir vi cuw ɓa ruwuy a jijik na, Buymisemuŋ a ɓaŋ ɓi vur zumabuy ngi Israyel, a ɓaŋ hirak ti Oziyas ma zum buy a ruwuy Zuda, yo Zeroboˀam mangal ngi Yoˀas i buy angi hirwuy Israyel. ","Ndaa bolle Amos gooto caka waynaaɓe baali haa lesdi Teko'a. Ndaa ko Jawmiraawo yi'ni mo dow Isra'iila nder zamanu Uzziya, laamiiɗo Yahuuda e Yerobo'am ɓii Yo'as, laamiiɗo Isra'iila, duuɓi ɗiɗi diga lesdi dimmbaaki tawon . ","Ndaa bolle Amos gooto caka waynaaɓe baali haa lesdi Teko'a. Ndaa ko Jawmiraawo yi'ni mo dow Isra'iila nder zamanu Uzziya, laamiiɗo Yahuuda e Yerobo'am ɓii Yo'as, laamiiɗo Isra'iila, duuɓi ɗiɗi diga lesdi dimmbaaki tawon . ","Kalata’ɛ tɔ̧ nɛ wen ko Amɔs, ŋma wi-dai-sami sɛn Tɛkɔa. Mɛ nɛ hɔɔ-zu nɛ GASA WAN hɔɔ ha̧ a̧ wen zu  Israɛl  tɛ ŋgimbi nɛ Ozias ɔɔ nɛ wan sɛn Juda, in tɛ ŋgimbi nɛ Jeroboam, bem ko Jɔas ɔɔ nɛ wan sɛn  Israɛl . Hɔɔ-zu'i hɔɔ yak pɛ yiitoo kaɗi sɛka nu be tɛ nak.","Kalata’ɛ tɔ̧ nɛ wen ko Amɔs, ŋma wi-dai-sami sɛn Tɛkɔa. Mɛ nɛ hɔɔ-zu nɛ GASA WAN hɔɔ ha̧ a̧ wen zu  Israɛl  tɛ ŋgimbi nɛ Ozias ɔɔ nɛ wan sɛn Juda, in tɛ ŋgimbi nɛ Jeroboam, bem ko Jɔas ɔɔ nɛ wan sɛn  Israɛl . Hɔɔ-zu'i hɔɔ yak pɛ yiitoo kaɗi sɛka nu be tɛ nak.","Ghena ta Amos, kwete wəndə hwa ka ya wəshi nyi mbe meleme ta Tɛkowa yageze palepa nya. Wəshi nyi nakɛ ŋkɛ te ghəa ka Israyɛl te vəa yɛ Oziyas, meghea ka Zhəwda le Zhɛrobowam, wəzege ta Zhowas nya kameghea ka Israyɛl, va bake nda tegaŋkəɗə hɛɗi. ","Mokay diñ waçaçre Amos maga diñ je geçeç horog yoo jar geçë horog ma äi leege Tekowa wo mono. Baa naa nen waçaçre sen go ne hen ti Israyel ti wur maga Osiyas diñ wañ Juda, Jerobowam je ni Jowasn diñ wañ Israyel mo lay no, sen kiñgi äog tañgu daëge sir no. "
AMO.1.2," Yahweh rugira de Sion ; de Jérusalem il fera entendre sa voix ; les pâturages des bergers seront en deuil, et le sommet du Carmel sera desséché.","And he said, The  Lord  will roar from Zion, and utter his voice from Jerusalem; and the habitations of the shepherds shall mourn, and the top of Carmel shall wither.","Nam di'e: Ma-Vatɗina, ka ci gumu hay Siyon pa, goy hay Yerusalem pa nam ka di delemu; liyn ma farayn ti hayamna soy goyo, yam hiɗiyt Karmel kaw soy goyo.","Ane a nga jô na: mvam ayoʼo Nti ja so Sioñ yôp, a tyiñe jé ja wôʼé é soʼo Yérusalém. Amu ajô te, mevôm mimbam biyem mia di a ne e beta ôlun été, a abôbône karmel é maneya kôt.","Amos a ɓi na: «Bumbulvuŋ ara buco ti Siyoŋ kaɓa mobor, yo ˀay naŋ a cino kaˀ ti Zeruzaleme. Li zum ngi ginewey a hiryam le, yo hirnga muwã Karmel a muˀul le cay.»","O wi'i: “Jawmiraawo ɗon ubba bana mbarooga diga Siyona, ɗon hoola diga Urusaliima. Ngam maajum durduɗe waynaaɓe ɗaylan, yeereere hooseere Karmel boo yooran .”","O wi'i: “Jawmiraawo ɗon ubba bana mbarooga diga Siyona, ɗon hoola diga Urusaliima. Ngam maajum durduɗe waynaaɓe ɗaylan, yeereere hooseere Karmel boo yooran .”","Wen nɛ Amɔs tɔ̧a̧ nɛ mɔ'ɔ: GASA WAN tuɓa nɛ  Siɔŋ  mɛ tɛnɛ, wi zii nɛ ger-a tɛnɛ nɛ Jerusalɛm. Nɛ mɔ'ɔ nɛ fara-dai-mɔ kifa ŋga-gbárà, mɔ gbɛ̧ɛ̧ zu kaya Karmɛl ŋgaoo!","Wen nɛ Amɔs tɔ̧a̧ nɛ mɔ'ɔ: GASA WAN tuɓa nɛ  Siɔŋ  mɛ tɛnɛ, wi zii nɛ ger-a tɛnɛ nɛ Jerusalɛm. Nɛ mɔ'ɔ nɛ fara-dai-mɔ kifa ŋga-gbárà, mɔ gbɛ̧ɛ̧ zu kaya Karmɛl ŋgaoo!","Ma ke Amos: «Mahwətə kaghwəghwə mbe Zhɛrəzalɛm, kafefa ŋwələa ŋkɛ mbeli sawa pelɛ Siyon. Nahe ŋkwa kezeme gwəzə ta wəshi kebezemte geva, keghwele ghwele ŋkwa nya pelɛ ghəa ghweme ta Karmɛl.»","Amos ga: Manwur le de buçygi Siyoñ, Le Jerusalem, aè laa geçeçge äe wo go. Ngeel koë horog mani jar horogn wo go nen lawge, Day tipeçeçge ti huuli ma Karmel go de heege."
AMO.1.3," Ainsi parle Yahweh : A cause de trois crimes de Damas, et à cause de quatre, – je ne le révoquerai point. Parce qu'ils ont broyé Galaad avec des traîneaux de fer,","Thus saith the  Lord ; For three transgressions of Damascus, and for four, I will not turn away the punishment thereof; because they have threshed Gilead with threshing instruments of iron:","Ki kayn nala Ma-Vatɗina di'e: Kuɗ jiw-zlata ɦidita vi sum sa Damasna, kuɗ jiw-zlata visi ta fiɗita kaw, nan min hot bugolan tam ɦiyda vanɗi, kay nisi sab sum sa Galaadna gaa kuɗsiya, hiɗi silik ma tuwam jarkayna.","Avale di Nti a jô na: amu bôte ya Damas be boya abé da dañ biyoñ bilaa, binyin, ma ye bo te bulan ayaa dame mvus: amu be nga tibi bôte ya Galad yôp a mintoñ bityé ba tyaʼa mie bidi:","Bumbulvuŋ a ɓi ani: «I ra mbiɗa hirnga da mizli Siri ngi Damasay, asi a gam mungra madiɗahay le haɗa, wãˀ naŋ asi hana: a musukuɗoko mizli Galaˀataya le musukuɗ musukuɗ ti ɓiri ngi musukuɗo li. Vurˀe, y'anta sa pula ɓi ɗu ya mujuwa a mevel ɗu ngi gi na teˀ mata. ","Ndaa nii Jawmiraawo wi'i: “Yimɓe Damas mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe mbonni lesdi Gile'at bee corɓirɗum njamndi. ","Ndaa nii Jawmiraawo wi'i: “Yimɓe Damas mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe mbonni lesdi Gile'at bee corɓirɗum njamndi. ","GASA WAN tɔ̧a̧: «Mi beka kpai taamɔ kɔ‘m zu o bíí Damas na, wen dee ŋgamɔ kɔ-wa yaka zale; wa mbɔla o be Galad lɔɛ-lɔɛ.","GASA WAN tɔ̧a̧: «Mi beka kpai taamɔ kɔ‘m zu o bíí Damas na, wen dee ŋgamɔ kɔ-wa yaka zale; wa mbɔla o be Galad lɔɛ-lɔɛ.",Wa nya ghena nya geze Mahwətə nya: «Kwele kwele fete nyi ŋele ka Siri nyi mbe Damas 'ya yite. Wa nya fete nya ndiremi ma nya: nahe hɛ kerahakawa Gala'ad le lɛ nya njaŋa ŋa. Vatse ɗema 'ya katezhɛre zəzə ta ɗa:,"Manwur waçaç do kay nono: Ga diñ wer älagge maga Damas joñ ra swa'a, Koh ba naa ëa yaw, ndi fer ge le ti waçaçre äi maga ndi sa'n go mo gaè. Diñ wer maga aà kog wo boore ma de coçoç, De poçoçre de äod sañ lay ne jar Galaad wo ti mono."
AMO.1.4," j'enverrai le feu dans la maison d'Hazaël, et il dévorera les palais de Ben-Hadad ;","But I will send a fire into the house of Hazael, which shall devour the palaces of Ben–hadad.","Nan min gi kuta hay ziyna vi Hazayel, kut na'ta ma ŋal ziy ma mulda vi Ben-Hadad goyo.","ma ye lôme nduan é diʼi nda njô bôt Azaél, a ja ye kôñelane biwôlô menda me njô bôt Ben-Adad asup:","I saka vu da hay ngi buy Hazayele, yo i sa wura hay ngi buy Ben-Hadataya.","Ngam maajum nelanmi yiite nder saare Hazayel, nge nyaama cuuɗi Benhadat cemmbiɗɗi. ","Ngam maajum nelanmi yiite nder saare Hazayel, nge nyaama cuuɗi Benhadat cemmbiɗɗi. ","Hegɔ, mi tɛ pi̧ wee tɛ nutua ko wannu Hazaɛl, ɓɛɛ wee'i tɛ ndar tua-wan ko Bɛn-Hadad a nu;","Hegɔ, mi tɛ pi̧ wee tɛ nutua ko wannu Hazaɛl, ɓɛɛ wee'i tɛ ndar tua-wan ko Bɛn-Hadad a nu;","Katendə ghwə 'ya yitea ghɛ meghea Hazayɛl, katetere ghɛ nya wəba ta meghe Bɛn-Hadad ŋkɛ.","Ndi äo' ge wuu yañ le ne tiñ mani Hasayeln ti, Day aà roë ge tiñ wañre mani Ben-Hadadn wo yañ go"
AMO.1.5," je briserai le verrou de Damas, j'exterminerai de Biqath-Aven l'habitant, et de Beth-Eden, celui qui tient le sceptre ; et le peuple de Syrie ira captif à Qir, dit Yahweh.","I will break also the bar of Damascus, and cut off the inhabitant from the plain of Aven, and him that holdeth the sceptre from the house of Eden: and the people of Syria shall go into captivity unto Kir, saith the  Lord .","Nan min kus gulmun ma tam Damasna goyo, sum sa hay Bikat-Aven nan min vatsi goyo, nam ma vi zugulda-mulda vi Bet-Eden hay ɓalamna kaw, sum sa Siriyana ma kal goy gorvo'o hay Kir, Din mi Ma-Vatɗina.","a ma ye buʼu ôlé étyé wo dipe mbé akaʼa ya Damas a jiane bôt be too mbiʼili Aven, a nyô a bili ntum éjôé ya nda njô bôt Eden, a ba ye kee bôte ya Siri minkôm e si ya Kir, nalé Nti a jô.","I sa ngila gwat ngi kilika mizlingreŋ ngi Damasa. Buy ngi Bikat-Avene, i sa kiɗa vagay, waɗ buy Bet-Eden mikaw ti ganday ngi ɓiri na. Akẽh so na, mizli Sirihey a sa jaka taŋ nga Kir. I ya Bumbulvuŋ maɓi.»","Mi yewan jamɗe palduɗe dammugal Damas, mi nattinan jooɗiiɓe haa Waadiwol-Hakke e laamiiɗo Saare-Welwelo, Siriya'en ɓe ndaheteeɓe haa Kiir.” Non Jawmiraawo wi'i .","Mi yewan jamɗe palduɗe dammugal Damas, mi nattinan jooɗiiɓe haa Waadiwol-Hakke e laamiiɗo Saare-Welwelo, Siriya'en ɓe ndaheteeɓe haa Kiir.” Non Jawmiraawo wi'i .","mi tɛ gbin gasa boi nu garo Damas a nu, mi tɛ ndak o bíí Bikeat-Avɛn lɛŋ in o wi-kasi dɔ́rá-wan Bɛt-Edɛn; ɓɛɛ wa tɛ kai dukbíí Aram nɛ bara-biro yaknɛ si sɛn Kir mɛ», nɛ GASA WAN a̧ tɔ̧ wen'i.","mi tɛ gbin gasa boi nu garo Damas a nu, mi tɛ ndak o bíí Bikeat-Avɛn lɛŋ in o wi-kasi dɔ́rá-wan Bɛt-Edɛn; ɓɛɛ wa tɛ kai dukbíí Aram nɛ bara-biro yaknɛ si sɛn Kir mɛ», nɛ GASA WAN a̧ tɔ̧ wen'i.","Katenteɗe wəbəzli nyi te gelembe nyi mɛa Damas 'ya. Katekelemte meghe nya kwa zlərəa Mpə ŋkwa 'ya, katekelemte meghe nya kesleke Bɛt-Ɛdɛn 'ya. Ma ka Siri le ŋa nci ne, katefə hɛ mbeli kadzembe Kir.» 'Ya Mahwətə nde gezete.","Ndi yoor ge gar boore maga wo de bag wer jag tiñ ma Damas wo yañ go. Ndi taw ge jar ma äi leege Bikat-Afen wo yañ go, De je maga de hayle ti paale wañ ma Bet-Eden mono. Day aè hoo ge jar Siri wo yañ wo go Kiri, Waçaçn diñ Manwuri."
AMO.1.6," Ainsi parle Yahweh : A cause de trois crimes de Gaza, et à cause de quatre, – je ne le révoquerai point. Parce qu'ils ont déporté des convois entiers de captifs, pour les livrer à Edom,","Thus saith the  Lord ; For three transgressions of Gaza, and for four, I will not turn away the punishment thereof; because they carried away captive the whole captivity, to deliver them up to Edom:","Ma-Vatɗina di'e: Kuɗ jiw-zlata ɦidita vi sum sa hay Gazana, kuɗ jiw-zlata visi ta fiɗit kaw, nan min hot bugolan tam ɦiyda vanɗi, kay nisi yaw sumun gorvo ŋolo, kay tuɗ vulsi mi sa Edomna.","Avale di Nti a jô na: amu bôte ya tisone Gaza be boya abé da dañ biyoñ bilaa, binyin, ma ye bo te bulan ayaa dame mvus: amu be nga kee mingumba minsamba mi bôte minkôm e be bôte ya Edom.","Bumbulvuŋ a ɓi na: «I ra mbiɗa hirnga da mizli Filisti ngi Gazahaya, asi a gam mungra madiɗahay le haɗa, wãˀ naŋ asi hana: a fucaka mizli ngir walahaya taˀ gar nga Edom. Vurˀe, y'anta sa pula ɓi ɗu ya mujuwa a mevel ɗu ngi gi na teˀ mata.","Ndaa nii Jawmiraawo wi'i: “Yimɓe Gaaza mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe ndahi naŋngaaɓe fuu, ɓe ndokki ɓe haa juuɗe Edoomi'en. ","Ndaa nii Jawmiraawo wi'i: “Yimɓe Gaaza mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe ndahi naŋngaaɓe fuu, ɓe ndokki ɓe haa juuɗe Edoomi'en. ","GASA WAN tɔ̧a̧: «Mi beka kpai taamɔ kɔ‘m zu o bíí Filistii nu Gaza na, wen ɗaŋmɔ kɔ-wa yaka zale nyɛmna; wa kaia o bíí nɛ oi-aa lɛŋ nɛ bara-biro yaknɛ nɛ́ɛ̀ ɗɔr sɛn Edɔm mɛ.","GASA WAN tɔ̧a̧: «Mi beka kpai taamɔ kɔ‘m zu o bíí Filistii nu Gaza na, wen ɗaŋmɔ kɔ-wa yaka zale nyɛmna; wa kaia o bíí nɛ oi-aa lɛŋ nɛ bara-biro yaknɛ nɛ́ɛ̀ ɗɔr sɛn Edɔm mɛ.",Wa nya ghena nya geze Mahwətə nya: «Kwele kwele fete nyi ŋele ka Filisti nyi mbe Gaza 'ya yite. Wa nya fete nya ndiremi ma nya: Nahe hɛ kefəmte mbeli nyi mbe meleme pɛtɛ kezha fə nda hɛ ke ka Ɛdom. Vatse ɗema 'ya katezhɛre zəzə ta ɗa:,"Manwur waçaç do kay nono: Ga diñ wer älagge maga Gasa joñ ra swa'a, Koh ba naa ëa yaw, ndi fer ge le ti waçaçre äi maga ndi waçaçn go mo gaè. Diñ wer maga aà hoo wo jar po wo go ti' äuy, Ma haç rage go ne Edom mono,"
AMO.1.7," j'enverrai le feu dans les murs de Gaza, et il dévorera ses palais ;","But I will send a fire on the wall of Gaza, which shall devour the palaces thereof:","Nan min gi kut kuɗ gulmunna vi Gaza, na' ma ŋal ziy ma mulda.","Ma ye lôme nduan é diʼi mekaʼa ya tisone Gaza, a bo beta biwôlô menda ya été ve asup.","I saka vu da dalam ngi Gazahaya, joˀ vu a sa zuma hay mimezle ngi raˀahaya.","Ngam maajum nelanmi yiite dow mahi taariiɗi Gaaza, nge nyaama cuuɗi maagol cemmbiɗɗi. ","Ngam maajum nelanmi yiite dow mahi taariiɗi Gaaza, nge nyaama cuuɗi maagol cemmbiɗɗi. ","Hegɔ, mi tɛ pi̧ wee tɛ garo Gaza, ɓɛɛ wee'i tɛ ndar o tua-wan ye'i a nu gbuɗuk.","Hegɔ, mi tɛ pi̧ wee tɛ garo Gaza, ɓɛɛ wee'i tɛ ndar o tua-wan ye'i a nu gbuɗuk.","Katendə ghwə 'ya yitea zlia meleme ta Gaza, katetere ghɛ ganjia ŋkɛ ŋkɛ.","Ndi äo' ge wuu yañ le ne kor ma Gasan ti, Day aà roë ge tiñ wañre maga wo ni yañ go."
AMO.1.8," j'exterminerai d'Azot l'habitant, et d'Ascalon celui qui tient le sceptre, et je tournerai ma main sur Accaron ; et le reste des Philistins périra, dit le Seigneur Yahweh.","And I will cut off the inhabitant from Ashdod, and him that holdeth the sceptre from Ashkelon, and I will turn mine hand against Ekron: and the remnant of the Philistines shall perish, saith the Lord  God .","Nan min vat sum sa hay Asdod goyo, sa ma zugulda-mulda hay ɓalamu hay Askalon kaw. Nan min muɗ iran tam sum sa Ekronna, dir sum sa Filistina ma hinna ma vat goyo, Din mi Bum-Sumuna Ma-Vatɗina.","Ma ye jiane bôte bese ya tison Asdôd, a nyô a bili ntum éjôé ya tison Askalôn, a wo wom wo ye ke tison Ekroñ e ngame yat, a mebukaʼa ya Befilisteñ (éyoñ ayaa dam e lôteya) ma ye jañ, nalé Nti nyô a ne Nti a jô.","I sa susuyumo buy ngi Asdoto, waɗ buy mikaw ti ganday ngi buyoy a Askaloŋ. I sa ma mevele hirik ng'ar Ekroŋ, dar Filistihey mindiram ti siifa, a sa zizam. I ya Bumbulvuŋ Buymisemuŋ maɓi.»","Mi nattinan jooɗiiɓe haa Asdod e laamiiɗo Askalon. Mi waylitan juŋngo am dow Ekuruun, luttuɓe Filisti'en kalkan.” Non Allah Jawmiraawo wi'i .","Mi nattinan jooɗiiɓe haa Asdod e laamiiɗo Askalon. Mi waylitan juŋngo am dow Ekuruun, luttuɓe Filisti'en kalkan.” Non Allah Jawmiraawo wi'i .","Mi tɛ ndak o bíí Asdod lɛŋ in wi-kasi dɔ́rá-wan Askelɔŋ; mi tɛ zik er-am mɛ gbɛ o bíí Ekrɔŋ, ɓɛɛ oi ndaa bíí Filistii lɛŋ tɛ kum», nɛ GASA WAN Sɔ̧ a̧ tɔ̧ wen'i.","Mi tɛ ndak o bíí Asdod lɛŋ in wi-kasi dɔ́rá-wan Askelɔŋ; mi tɛ zik er-am mɛ gbɛ o bíí Ekrɔŋ, ɓɛɛ oi ndaa bíí Filistii lɛŋ tɛ kum», nɛ GASA WAN Sɔ̧ a̧ tɔ̧ wen'i.","Kateza sebe 'ya te ka Asdod ba'a te meghe nya kesleke hɛɗia Askalon. Kateɗa meleme ta Ɛkron 'ya, mɛke tempə ka Filisti nyi ketene teghweme.» 'Ya Mahwətə nde gezete.","Ndi hoor ge jar ma äi sir Asdod wo yañ go äuy, Day, ndi ba ge je maga de hayle ti paale wañ ma Askalonn yañ go. Ndi ngië gi nen yañ de Ekone, Day jar Filisteçeç maga gwa' wo mono huë gi wo yañ go, Waçaçn diñ Wañkluu, Manwuri."
AMO.1.9," Ainsi parle Yahweh : A cause de trois crimes de Tyr, et à cause de quatre, – je ne le révoquerai point. Parce qu'ils ont livré des convois entiers de captifs à Edom, et ne se sont pas souvenus de l'alliance fraternelle,","Thus saith the  Lord ; For three transgressions of Tyre, and for four, I will not turn away the punishment thereof; because they delivered up the whole captivity to Edom, and remembered not the brotherly covenant:","Ma-Vatɗina di ki kayn nala: Kuɗ jiw-zlata ta ɦidita vi sum sa Tirusna, kuɗ ta fiɗit kaw, nan min hot dita van goy bugola'ɗi, kay nisi yaw sumun ŋolo kay tuɗ vulsi mi sa Edomna, humsi may gisi kay bonota ta jar ɓosiyom-tuwsin noŋɗi.","Avale di Nti a jô na: amu bôte ya tisone Tir be boya abé da dañ biyoñ bilaa, binyin, ma ye bo te bulan ayaa dame mvus: amu be nga kuane mingumba minsamba minkôm e be bôte ya Edom, teke simesan élat e zañe bobenyañ.","Bumbulvuŋ a ɓi ani: «I ra mbiɗa hirnga da mizli Fenisi ngi Tirey, asi a gam mungra madiɗahay le haɗa, wãˀ naŋ asi hana: Taŋ i mizli Israyeley mupurla ngbaŋ, ko a kam slimiɗ neˀ le kaɓa i sukum taŋhaya ta. A fucaka mizli ngir walahaya taˀ gar fec fec nga Edom. Vurˀe, y'anta sa pula ɓi ɗu ya mujuwa a mevel ɗu ngi gi na teˀ mata.","Ndaa nii Jawmiraawo wi'i: “Yimɓe Tirus mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe ndokki naŋngaaɓe fuu haa juuɗe Edoomi'en, ɓe ciftoraay alkawal deerɗiraagu. ","Ndaa nii Jawmiraawo wi'i: “Yimɓe Tirus mbaɗi aybe dow aybe, fakat mi hiitoto ɓe ngam ɓe ndokki naŋngaaɓe fuu haa juuɗe Edoomi'en, ɓe ciftoraay alkawal deerɗiraagu. ","GASA WAN'e: «Mi beka kpai taamɔ kɔ‘m zu o bíí Edɔm na, wen dee ŋgamɔ kɔ-wa yaka zale nyɛmna; wa ndaka o nya-wa nɛ gba-paa, gee be ko de wa ha̧ nya-wa na.","GASA WAN'e: «Mi beka kpai taamɔ kɔ‘m zu o bíí Edɔm na, wen dee ŋgamɔ kɔ-wa yaka zale nyɛmna; wa ndaka o nya-wa nɛ gba-paa, gee be ko de wa ha̧ nya-wa na.",Wa nya ghena nya geze Mahwətə nya: «Kwele kwele fete nyi ŋele ka Fɛnisi nyi mbe Tir 'ya yite. Wa nya fete nya ndiremi ma nya: keyate jikə geva nya keveyi hɛ kaka kesaka ma le ka Israyɛl hɛ we. Nahe ŋkɛ kefəmte mbeli nyi mbe meleme pɛtɛ kezha fə nda hɛ ke ka Ɛdom. Vatse ɗema 'ya katezhɛre zəzə ta ɗa:,"Manwur waçaç do kay nono: Ga diñ wer älagge maga Tir joñ ra swa'a mono, Koh ba naa ëa yaw, ndi fer ge le ti waçaçre maga ndi sa'n go mo gaè. Diñ wer maga aà hoo wo jar po wo go ti' äuy, Haç wo ra go ne Edom mono. AÀ laa wo dayge ëiggi ti tayge jag maga hay de tay rage Do heçeçrebe nono mo gaè."
AMO.1.10," j'enverrai le feu sur le mur de Tyr, et il dévorera ses palais.","But I will send a fire on the wall of Tyre, which shall devour the palaces thereof.","Nan min gi kuta kat gulmunna vi Tirus, na' ma ŋal ziy ma mulda goyo.",Ajô te ma ye lôme nduan é diʼi mekaʼa ya tisone Tir a bo biwôlô menda ya été vʼasup.,"I sa nduvuɗa vu da walahay Tire, dar vu a sa zuma hay mimezle ngi raˀahaya.»","Ngam maajum nelanmi yiite dow mahi taariiɗi Tirus, nge nyaama cuuɗi maagol cemmbiɗɗi .”","Ngam maajum nelanmi yiite dow mahi taariiɗi Tirus, nge nyaama cuuɗi maagol cemmbiɗɗi .”","Hegɔ mi tɛ pi̧ wee tɛ garo Tir, ɓɛɛ wee'i tɛ ndar o tua-wan ye'i a nu.»","Hegɔ mi tɛ pi̧ wee tɛ garo Tir, ɓɛɛ wee'i tɛ ndar o tua-wan ye'i a nu.»","Katendə ghwə 'ya yitea zlia meleme ta Tir, katetere ghɛ ganjia ŋkɛ ŋkɛ.»","Ndi äo' ge wuu yañ go ne kor ma Tirn ti, Day aà roë ge tiñ wañre maga wo ni yañ go."
