livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
DAN.1.1,"Pendant la troisième année du règne de Joaquim, roi de Juda , le roi de Babylone, Nabucodonosor, vint assiéger Jérusalem. ","In the third year of the reign of  Jehoiakim king of Judah,  Nebuchadnezzar king of Babylon came to Jerusalem and besieged it. ","Hay busata ɦidita vi Yehoyakim hay mulda vi Yuda, Nebukadnesar mul ma Babilon co'o, nam mot Yerusalem. ","Mbu lale Yeôyakim, njô bôte ya Yuda a nga jôô, ñwô Nébukatnétzar; njô bôte ya Babilôn a nga soo nkane mewosane wé a dili tisone Yérusalém a bita. ","Ti Zoˀakiŋ, buy Zuda mazum buy ngi vi mimakir naŋ na, Nabukodonozor, buy madiɗa ngi Babiloŋ a sawa, a tiɓa Zeruzaleme. ","Nder nduuɓu laamu Yehoyakim, laamiiɗo Yahuuda, tataɓu, Nabukodonosor, laamiiɗo Baabila, wari, hippi Urusaliima . ","Nder nduuɓu laamu Yehoyakim, laamiiɗo Yahuuda, tataɓu, Nabukodonosor, laamiiɗo Baabila, wari, hippi Urusaliima . ","Ɗoŋ taar pɛ ɔɔ-wan ko Jɔakim wannu Juda, Nabukɔdɔnɔsɔr wannu Babilɔŋ tɛɛ kɛr Jerusalɛm e nu.  ","Ɗoŋ taar pɛ ɔɔ-wan ko Jɔakim wannu Juda, Nabukɔdɔnɔsɔr wannu Babilɔŋ tɛɛ kɛr Jerusalɛm e nu.  ","Ma mbe kwa mahekene ta va ta Zhowakim, meghe nya mbe Zhəwda mbe meghe ne, pa Nabəkodonozor, meghe nya mbe Babilone se kahave nda mpa ke Zhɛrəzalɛm. ","Nen kiñgi ma de swa' maga Yehoyakim wañ Juda hay joñ wañ mono, Nebukanetsar wañ Babilon raw urgi wo le' Jerusalem day raw kañge ne hen jag go de cir ti äe go de sode wo."
DAN.1.2,"Le Seigneur livra Joaquim en son pouvoir, et le laissa s’emparer d’une partie des ustensiles sacrés du temple de Dieu. Nabucodonosor emmena des prisonniers en Babylonie et déposa le butin dans le temple de ses dieux, dans la salle du trésor .","The Lord gave Jehoiakim king of Judah into his hand, along with some of the articles of the house of God; and he brought them into the land of  Shinar, to the house of his god, and brought the articles into the treasury of his god.","Bum-Sumuna vul Yehoyakim mulla vi Yuda hay ɓalamu, hiɗi galla vi slen ma ka hay ziyda vi Lawna kaw. Nam jokom hay nagata Sineyar,  hay ziyna vi lawayna valamu. Nam lak jakŋa hay timgilla vi ziyda vi lawayna valamu.","Nti a nga ve Yeôyakim, njô bôte ya Yuda, e mo me njô bôte ya Babilôn, a ve fe nye éfase bisua a bilaé ya nda Zambe, nye ve kee bie e si ya Sinéar, e nda zambe wé; a nga futi bisua a bilaé bite e ndaa énaan akume zambe wé.","Bumbulvuŋ a vula Zoˀakiŋ asi haŋ ngi Nabukodonozor. Joˀ Nabukodonozor a hil cah avu gazlanga ngir hay ngi Buymisemuŋ. A ji mizli ng'ar dangay ngi Babiloŋ, yo a pa gwat mitiɓa ar vurumo ng'ar hay ngi kuli naŋhay, ar hay ngi pi zlili. ","Jawmiraawo hokki mo Yehoyakim, laamiiɗo Yahuuda, non boo yeɓre kuuwruɗe gonɗe nder haykaliiru Allah. Nabukodonosor yahri ɗe haa suudu ɗowanteeɓe muuɗum haa lesdi Sine'ar, nastini ɗe nder ndesaari ɗowanteeɓe mum. ","Jawmiraawo hokki mo Yehoyakim, laamiiɗo Yahuuda, non boo yeɓre kuuwruɗe gonɗe nder haykaliiru Allah. Nabukodonosor yahri ɗe haa suudu ɗowanteeɓe muuɗum haa lesdi Sine'ar, nastini ɗe nder ndesaari ɗowanteeɓe mum. ","GASA WAN ee Jɔakim wannu Juda kɔ̧ er-a in o ŋma nyɛk mɛ kɔ̧ Tua ko Sɔ̧. A̧ baa a̧ in o mɔɔ nɔ‘i lɛŋ sinɛ sɛn nu Sinɛar, ɓɛɛ a̧ a o mɔɔ-ɗafi-sɔ̧ nɔ‘i sɛn kɔ̧ tua ko o sɔ̧ kɔ̧-a̧.","GASA WAN ee Jɔakim wannu Juda kɔ̧ er-a in o ŋma nyɛk mɛ kɔ̧ Tua ko Sɔ̧. A̧ baa a̧ in o mɔɔ nɔ‘i lɛŋ sinɛ sɛn nu Sinɛar, ɓɛɛ a̧ a o mɔɔ-ɗafi-sɔ̧ nɔ‘i sɛn kɔ̧ tua ko o sɔ̧ kɔ̧-a̧.","Pa Mahwətə vame Zhowakim, meghe nya mbe Zhəwda ba'a bela ta wəshi kemene slene nyi mbe ghɛa Shala mbe dzeve ta ŋkɛ. Pa ŋkɛ fəghe ka mavashi kajive Babilone ba'a beteyi wəshi kemene slene mbe ghɛa yɛ shala ta ŋkɛ, mbe cɛ kebete yɛ shala ta ŋkɛ. ","Manwur raw haç Yehoyakim wañ Juda go ne hen do de te feçeçre ma äil tiñ Baa no. Se kal rawge de äaara äil sir Sineyar, äil tiñ mani baa äe no."
DAN.1.3,"Nabucodonosor ordonna au chef de son personnel, Achepénaz, de choisir parmi les Israélites quelques garçons de la famille royale ou de familles nobles. ","And the [Babylonian] king told Ashpenaz, the chief of his  officials, to bring in some of the sons of Israel, including some from the royal family and from the nobles, ","Mulla di tam Aspenaz, ma tuni ŋol kay sa sunna sa patayna, kay nam ma maram sa as jar sa Israyella, hay jafna vi mulda, kuɗ jafna vi sum sa ŋulona kaw. ","Njô bôte ya Babilôn a nga bendé Aspenaz, évete ya biwôlô bebo bisaé bié na a top, e bone bʼIsraél été, bendôman ba so mvoñe bejôô, nge so menda bingoʼo yʼayoñ. ","A ɓa Asepenas, madiɗa ngi mizli naŋhay, ɓa a wini gawlahay cah ar tizer ngi buyoy waɗ a wuzla ziri ngi mizli madiɗahay. ","Nden o umri Aspenas, mawɗo saraaki'en maako, o suɓa caka Isra'iila'en, derke'en woɗɓe diga danygol laamiiɗo e tedda-asli'en. ","Nden o umri Aspenas, mawɗo saraaki'en maako, o suɓa caka Isra'iila'en, derke'en woɗɓe diga danygol laamiiɗo e tedda-asli'en. ","Wannu ha̧a̧ nú ha̧ Aspɛnaz gasawi zu o wi-de-tom kɔ̧ tua kɔ‘i mɛ kai o ŋma be  Israɛl  tɛnɛ, kóó nɛ́ bezaŋ wannu, kóó nɛ́ bezaŋ o ŋma gasawi mbɛt. ","Wannu ha̧a̧ nú ha̧ Aspɛnaz gasawi zu o wi-de-tom kɔ̧ tua kɔ‘i mɛ kai o ŋma be  Israɛl  tɛnɛ, kóó nɛ́ bezaŋ wannu, kóó nɛ́ bezaŋ o ŋma gasawi mbɛt. ","Kwa sebe ta ŋkɛ, pa meghe gezave nda ke Ashepɛnaz, wəndə nya te ghəa mbeli nyi yite, kezha tseha ŋwale tezhili ɓɛhwɛ mbe hwelefe ta meghe keɗema hwa hwelefefia mbeli ganji: ","Wañ Babilon raw riñ Aspenas wañ jar äe ma de ndar äayn wo ga aà mo hoo jar Israyel po ma ti wer mani wañn wo de ma ti moobe ma tinoo po wo mbagge, "
DAN.1.4,"Ces jeunes gens ne devaient présenter aucun défaut physique ; ils devaient avoir bonne apparence et être remplis de sagesse, de connaissance et de discernement, afin de pouvoir entrer au service du roi, dans son palais. On leur enseignerait la langue et l’écriture des Babyloniens . ","young men without blemish and handsome in appearance, skillful in all wisdom, endowed with intelligence  and  discernment, and quick to understand, competent to stand [in the presence of the king]  and  able to serve in the king’s palace. He also  ordered Ashpenaz  to teach them the literature and language of the  Chaldeans. ","Guro-jufay nisina may tisiɗi, sa ɗuw jifiy ŋolo, sa yalla visi asay ŋaa'a ŋolo, wida visi asay ŋolo, asay kay hat ŋolo kaw, sa nagay kay sun hay ziyna vi mulla, a nisi ma hat ɗota hiɗi vunna vi Kaldeena kaw. ","Bendôman bete be too mvoʼé ne selem, abeñe ya yen, njalan a fek, ñyeman a mfasan bi too fe be be, ndemben ba ye saane njô bôt e nda jé été. Ba ye yeʼele be ane ba kobô a tili nkobô ya Babilôn. ","A wuzla ziri gawla taŋhay manja hereweɗ ko neˀ. Deŋ taŋ naŋ kuy, taŋ ti sinmijileŋ, a sinam haɗa, yo taŋ ti sin ngi gi gwata ma. Taŋ, a sa gam a hay ngi buy. A sa dubunaka taŋ mingiɓi ati toho gwat ngi mizli Babiloŋhoy. ","Ɓen ngalaa batte, ŋarniiɓe, marɓe faamu e hikma fuu, jaŋnguɓe, hakkilɓe, fotanɓe ngam kuugal nder saare laamiiɗo. Sey ɓe ekkito boo wolde e binndol Kaldiya'en . ","Ɓen ngalaa batte, ŋarniiɓe, marɓe faamu e hikma fuu, jaŋnguɓe, hakkilɓe, fotanɓe ngam kuugal nder saare laamiiɗo. Sey ɓe ekkito boo wolde e binndol Kaldiya'en . ","Wa tɛ ya nɛ o bíí nɛ yora ŋgaiwi; ká‘i zɔk wa ɓɛɛ ɔ dee tɛ-wi. Wa tɛ ya nɛ o haya wi-iŋ-mɔ nɛ yamba mɔ nɛtɛ nɛtɛ, nɛ taamɔ kɔ-wa nyɛma wen dee tom tɛ ko wannu. Wi tɛ usi nú ko o be Kaldee ha̧ wa in yuwar yɔra-a mbɛt. ","Wa tɛ ya nɛ o bíí nɛ yora ŋgaiwi; ká‘i zɔk wa ɓɛɛ ɔ dee tɛ-wi. Wa tɛ ya nɛ o haya wi-iŋ-mɔ nɛ yamba mɔ nɛtɛ nɛtɛ, nɛ taamɔ kɔ-wa nyɛma wen dee tom tɛ ko wannu. Wi tɛ usi nú ko o be Kaldee ha̧ wa in yuwar yɔra-a mbɛt. ","ŋwale tezhili nyi ɗema beze te hɛ, nyi ndeɗe ndeɗe, nya kentsehwele ntsehwele, nyi keɗepe wəshi ba'a nyi nza zəzə va hɛ, yitea mene slene hɛ ki ghɛa meghe. Kateteke rafe wəshi ba'a ghena ta ka Babilone hɛ. ","mo hoo weere ma joçoçre ma bay ëarge wo see ga wo de wore lay, wo de ko ree lay, wo de ti ngeel lay, car wo äil feçeçre go lay day wo de kaçaçge ma joñ peele liñ ni wañ lay mono, nen maga aè mo had ra de feçeçre ma de yerge mani jar Kalden wo lay, de jag äaran lay. "
DAN.1.5,"Le roi prescrivit qu’on leur fournisse chaque jour la nourriture et le vin de la table royale, et qu’on les instruise durant trois ans. A la fin de cette période, ils entreraient à son service.",The king assigned a daily ration for them from his finest food and from the wine which he drank. They were to be educated  and  nourished this way for three years so that at the end of that time they were [prepared] to enter the king’s service. ,"Mulla ɗeksi goy kay tina ma nisi as kay tum hay buurta buurta kafna, hiɗi vinna ma nisi as cumna. Kay nisi min hatsi ir busat ɦidi. Hay li ma busat ɦidi vatawana, nisi ma lak sun vok mulla. ","Môs ôse njô bôt a nga tiñeti be ngabe yʼavale bidi a mbe a jaʼak, a nyô ya avale woon a mbe a nyaʼak. Njô bôt a kômbôʼô na be yeʼele be tañe mimbu mila, mvus éte nje ba ye saane nye. ","Buy a juwa le, ɓa vur hin gar na, a vulaka taŋ gwat ngi zum ati gwat ngi si kaɓa nga naŋ buy vuna, yo a dubunaka taŋ gwat ngi gi hã vi makir. A dirba nah, a sa gam slra ngi buy. ","Laamiiɗo darni: Kala nyalaade fuu o yeɗi ɓe diga nyaamdu e njaram maako, ɓe njaŋnga duuɓi tati, ɓaawoɗon ɓe puɗɗan kuugal yeeso laamiiɗo.","Laamiiɗo darni: Kala nyalaade fuu o yeɗi ɓe diga nyaamdu e njaram maako, ɓe njaŋnga duuɓi tati, ɓaawoɗon ɓe puɗɗan kuugal yeeso laamiiɗo.",Wannu ha̧a̧ nú wen ha̧ wa mɛ ha̧ nɛ pɛrti nyɔŋmɔ n'aa nyɔŋ in pɛrti dɔ̧ɔ̧ n'aa nɔ ha̧ wa mɛ nɔ mbɛt. Wa tɛ usi mɔ ha̧ wa tɛ pɛ taar. Mɛ̀ nɛ́ sɛn ɗoŋ ŋgimbi'i a̧ o be-ŋgaiwi nɔ‘i tɛ ye nɛnɛ tɛ tom ko wannu.,Wannu ha̧a̧ nú wen ha̧ wa mɛ ha̧ nɛ pɛrti nyɔŋmɔ n'aa nyɔŋ in pɛrti dɔ̧ɔ̧ n'aa nɔ ha̧ wa mɛ nɔ mbɛt. Wa tɛ usi mɔ ha̧ wa tɛ pɛ taar. Mɛ̀ nɛ́ sɛn ɗoŋ ŋgimbi'i a̧ o be-ŋgaiwi nɔ‘i tɛ ye nɛnɛ tɛ tom ko wannu.,"Pa meghe gezete kezha ve nda wəshi kezeme ta ŋkɛ ba'a wəshi kesa ta ŋkɛ mbeli ke hɛ keveci keveci, kezha teke nda wəshi mbeli ke hɛ kava mahekene. Ma kwa sebe ta vəa shɛ ne, katedzembe slene ta ŋkɛ hɛ.","Wañ raw ngaä reege ne hara maga aà wo nen reege äe tum nen naw see reege mani äe wañ no, see yii maga se hay jooge äe mono nen maga se mo had ra nen kiñgi swa' day blam äe aà mo a wo pel wañ joñ peele ne hene. "
DAN.1.6,"Parmi ceux de la tribu de Juda qui furent choisis se trouvaient Daniel, Hanania, Michaël et Azaria. ","Among them from the sons of Judah were: Daniel, Hananiah, Mishael, and Azariah. ","Gurona vi yuda sa jarsin kayni mi Daniel, Hananiya, Mikayel hiɗi Azariya. ","Bendômane benyine ya bone be Yuda be mbe nsamba ya ba be nga toban be mbe môé na: Daniel, Anania, Mikaél a Azaria. ","A wuzla taŋ, dideˀ ngi Zudahay ada cah, i ti Daniyel, Hananiya, Mikayel waɗ Azariya. ","Woodi caka maɓɓe Yahuudu'en woɗɓe: Daniyel, Hananiya, Miisayel e Azariya. ","Woodi caka maɓɓe Yahuudu'en woɗɓe: Daniyel, Hananiya, Miisayel e Azariya. ","O bezaŋ Juda nɛ a̧a̧ so mgbara o be-ŋgaiwi nɔ‘i nɛ Daniɛl, Hanania, Misaɛl in Azaria. ","O bezaŋ Juda nɛ a̧a̧ so mgbara o be-ŋgaiwi nɔ‘i nɛ Daniɛl, Hanania, Misaɛl in Azaria. ","Hwa mbeli nyi tsehave mbeli ne, ka Zhəwda ya shɛ: Daniyɛl, Hananiya, Mishayɛl ba'a Azariya. ","Yoo jar sen wo ti äï¡ï¡ni mani Judan mono, Danyele, Hananiya, Mikayel wo de Asariya hay wo ni lay."
DAN.1.7,"Le chef du personnel royal leur donna de nouveaux noms : Daniel reçut le nom de Beltassar, Hanania celui de Chadrac, Michaël celui de Méchak, et Azaria celui d’Abed-Négo . ","The commander of the officials gave them [Babylonian] names: Daniel he named Belteshazzar, Hananiah  he named  Shadrach, Mishael  he named  Meshach, and Azariah  he named  Abed-nego.","Ma ŋolla vi sa patayna kaasi sem mara'a, Daniel nam kaam selem ala Belsasar, Hananiya mi Sadrak, Mikayel mi Mesak, Azariya mi Abed-Nego may.","Vʼévete biwôlô bebo bisaé é nga yôlé be mimfefé mi môé avale di: Daniel na Beltsazar, Anania ke na Sadrak; Mikaél nyeʼe na Mésak a Azaria na: Abéd Négô.","Madiɗa ngi migi slra ngi mamay buyo, a ca taŋ slimiɗ mekelemey. Daniyele, a zila Beltasar, Hananiya, a zila Sadrak, Mikayele, a zila Mesak waɗ Azariya, a zila Habet-Nego. ","Mawɗo saraaki'en hokki ɓe inɗe kese. O ewni Daniyel Beltesacar, Hananiya boo Sadarak, Miisayel boo Meesak, Azariya boo Abed-Nego.","Mawɗo saraaki'en hokki ɓe inɗe kese. O ewni Daniyel Beltesacar, Hananiya boo Sadarak, Miisayel boo Meesak, Azariya boo Abed-Nego.","Wi-duk-zu o wi-de-tom kɔ̧ tua ko wannu gɔna mbe nin ha̧ wa. Ko Daniɛl nɛ Bɛltasar, ko Hanania nɛ Sadrak, ko Misaɛl nɛ Mɛsak, ɓɛɛ ko Azaria nɛ Abɛd-Nɛgo.","Wi-duk-zu o wi-de-tom kɔ̧ tua ko wannu gɔna mbe nin ha̧ wa. Ko Daniɛl nɛ Bɛltasar, ko Hanania nɛ Sadrak, ko Misaɛl nɛ Mɛsak, ɓɛɛ ko Azaria nɛ Abɛd-Nɛgo.","Pa wəndə nya te ghəa ka mene slene hekate nda slə mɛnɛfɛ ke hɛ: Bɛltasar ŋa Daniyɛl, Shadrak ŋa Hananiya, Mɛshak ŋa Mishayɛl, Abɛd-Nɛgo ŋa Azariya. ","Wañ jar ma de ndar äayn raw coo ëu äaara go de wañ: Kañ ne Danyel ga Belsatsar, ne Hananiya ga Sadrag, ne Mikayel ga Mesag, ne Asariya ga Abed-Nego."
DAN.1.8,Daniel prit la ferme résolution de ne pas se rendre impur en consommant la nourriture et le vin de la table royale. Il demanda donc au chef du personnel de ne pas l’obliger à se rendre impur par de tels aliments. ,"But Daniel made up his mind that he would not defile (taint, dishonor) himself with the  king’s finest food or with the wine which the king drank; so he asked the commander of the officials that he might [be excused so that he would] not defile himself. ","May Daniel so'ot dikamu a nam min muɗ tuwam liwisi hiɗi tina ma jibetna vi mulla hiɗi dolayna ma mulla ka cumnaɗi, nala nam giɗel del ma ŋolla vi sa patayna kay nam ma muɗum liwisi hiɗi tin namnaɗi. ","Ve Daniel a nga tuʼa tyik e nleme wé été na a ye bo te ve émiene nsem a ndian avale bidi njô bôt a nga di di, nge a nyuan avale woon njô bôt a nga bo a nyaʼak. Nde a nga sili évete biwôlô bebo bisaé é bo te tindi nye na a ve émiene nsem a avale bidi te. ","Daniyel a juwa le a mevel naŋ, ɓa a zum gwat malla a si gwat misi kaɓa ngi buy na ta, vur naŋ masa ci ar dili. A cufuɗa madiɗa ngi migi slraˀahaya, ɓa a tikaŋ ˀay ngi zuma gwata ta, vur naŋ masa ci ar dili ti gwat ngi zumo. ",Daniyel annini taa o soɓna hoore maako bee nyaamdu e njaram laamiiɗo. Ngam man o tori mawɗo saraaki'en taa o doola mo soɓnugo hoore maako. ,Daniyel annini taa o soɓna hoore maako bee nyaamdu e njaram laamiiɗo. Ngam man o tori mawɗo saraaki'en taa o doola mo soɓnugo hoore maako. ,"Daniɛl taa mɔ nɛ kɔ̧ see'e, wi beka ɗaŋ war-tɛ-wi tɛ nyɔŋmɔ in tɛ dɔ̧ɔ̧ ko wannu na, ɓɛɛ a̧ kɔfi wi-duk-zu wa mɛ e a̧ wen ka a̧ tɛ ɗaŋ war-tɛ-a tɛ o nyɔŋmɔ nɔ‘i. ","Daniɛl taa mɔ nɛ kɔ̧ see'e, wi beka ɗaŋ war-tɛ-wi tɛ nyɔŋmɔ in tɛ dɔ̧ɔ̧ ko wannu na, ɓɛɛ a̧ kɔfi wi-duk-zu wa mɛ e a̧ wen ka a̧ tɛ ɗaŋ war-tɛ-a tɛ o nyɔŋmɔ nɔ‘i. ",Pa Daniyɛl kelete zəzə megela kezha ɗema kazhɛre ghəa ŋkɛ wale wale laka zeme wəsə kezeme ba'a sa wəsə kesa ta meghe. Pa ŋkɛ 'yɛwete va wəndə nya te ghəa ka mene slene kezha ɗema ŋkɛ katərənə ŋkɛ kazhɛre ghəa ŋkɛ wale wale. ,Danyel raw bag jag äe le go äil äe ga se mo gluä see se go de reege mani wañn wo de yii maga aà hay jooge äe mo wa. Se raw kem wañ jar ma de ndar äayn wo ga aà mo kañ wer se go glub see se äegde' wa. 
DAN.1.9,Dieu permit que sa requête soit accueillie avec faveur et bienveillance par le chef du personnel. ,"Now God granted Daniel favor and compassion in the sight of the commander of the officials, ",Wulini Lawna hin Daniel fi ŋaata hiɗi slugota vok ir ma ŋolla vi sa patayna. ,Zambe a nga bo na évete ji é nyoñe nsili Daniel a mevak a mbamba nlem . ,"Buymisemuŋ a ga mezle da Daniyele, ɓa madiɗa ngi migi slrahay a tiɓa cufuɗ naŋ. ",Allah heɓni mo mo'ere e hinnuye haa mawɗo saraaki'en oo. ,Allah heɓni mo mo'ere e hinnuye haa mawɗo saraaki'en oo. ,"Sɔ̧ dee ha̧ wi’ɛi mɛ kpa desee zu Daniɛl, ɓɛɛ kpɛk akamɔ kɔ̧-a̧‘i. ","Sɔ̧ dee ha̧ wi’ɛi mɛ kpa desee zu Daniɛl, ɓɛɛ kpɛk akamɔ kɔ̧-a̧‘i. ",Pa Shala pelave nda hweŋkwa ke wəndə nya te ghəa ka mene slene kezha yɛ 'yɛwe ta Daniyɛl le ganyɛa mehele ba'a zhɛ heli. ,Baa raw joñge nen maga Danyel mo coo jag wañ jar ma de ndar äayn wo day aà mo ko decoo äe lay. 
DAN.1.10,"Toutefois celui-ci répondit à Daniel : « C’est Sa Majesté le roi lui-même qui a prescrit ce que vous devez manger et boire. J’ai peur qu’il ne vous trouve pas aussi bonne mine qu’aux autres jeunes gens de votre âge ; ainsi, à cause de vous, le roi pourrait me faire couper la tête. »","and the commander of the officials said to Daniel, “I am afraid of my lord the king, who has prearranged your food and your drink; for why should he see your faces looking more haggard than the young men who are your own age? Then you would make me forfeit my head to the king.” ","Ma ŋolla vi sa patayna di tam Daniel: Nan li nari kay mulla bum-ziyna vanu, nam ma ɗekan kay slen ma nigi ma ti'e hiɗi ci'e. Kay hay li ma vokgiya ma ɗuw kiram joo'o suw nuroygin ɗawni, nan ma mar joot kanu vokom nam mulla! ","Vʼakôsa bo nalé, é nga yalane Daniel na: Ma ko masa wom njô bôte woñ, amu nye a nga telé jôm mia yiane di a nyu; woñ ô ne me na mesu menan me za bo te faé ane ma bendômane ya miaé wônan. Njô bôt a za tyiʼi me nlô amu mia. ","Madiɗa ngi migi slrahay a ɓa Daniyele: «Muɗuviy ɓi ngi gwat ngi zum ati gwat ngi si kum, ya mavulukum di na, i buy vuna ti haŋ naŋ. Zluwun ara giy vur naŋ masa lumuw zah zah a wuzla cil ɗikeye. Asi vur zih ɗik na, a sa bukiy hirnga ti maslalam.» ",Ammaa o wi'i Daniyel: “Mi ɗon hula jaagorɗo am laamiiɗo. Kaŋko umri ko on nyaamata e ko on njarata. Mi wonan nder joote maayde to o yi'i geese mooɗon mbooɗaay bana geese ngorgiraaɓe mooɗon.” ,Ammaa o wi'i Daniyel: “Mi ɗon hula jaagorɗo am laamiiɗo. Kaŋko umri ko on nyaamata e ko on njarata. Mi wonan nder joote maayde to o yi'i geese mooɗon mbooɗaay bana geese ngorgiraaɓe mooɗon.” ,"Mɔ kpɔk, wi-duk-zu o wi-de-tom tɔ̧ɔ̧ ha̧ Daniɛl: «Mɔ n'am yu nɛ́ dáà wannu, wen mɛ nɛ a̧ nɛ ha̧a̧ nú wen nyɔŋmɔ in dɔ̧ɔ̧ k’ɛ́nɛ́. A̧ be tɛ̀ɛ́ zɔk'e tɛ‘nɛ́ dak dak mgbara o gbama-ŋgai k’ɛ́nɛ́, wen tɛ tik zu'm, ɓɛɛ a̧ ɓira zu'm pi̧ nu wen zu'nɛ́.»","Mɔ kpɔk, wi-duk-zu o wi-de-tom tɔ̧ɔ̧ ha̧ Daniɛl: «Mɔ n'am yu nɛ́ dáà wannu, wen mɛ nɛ a̧ nɛ ha̧a̧ nú wen nyɔŋmɔ in dɔ̧ɔ̧ k’ɛ́nɛ́. A̧ be tɛ̀ɛ́ zɔk'e tɛ‘nɛ́ dak dak mgbara o gbama-ŋgai k’ɛ́nɛ́, wen tɛ tik zu'm, ɓɛɛ a̧ ɓira zu'm pi̧ nu wen zu'nɛ́.»","Ama ma ke wəndə nya te ghəa ka mene slene sha Daniyɛl: «Meghe le ghəa ŋkɛ nde gezete wəsə kezeme ta ŋayɛ ba'a wəsə kesa ta ŋayɛ. Kazhɛ ɗa ghazlənə yagha ŋkɛ tesləyi ŋayɛ sheŋwe sheŋwe hwa kweci ka mandalahɛ ŋayɛ. Tsagha ne, katesla ghə ŋkɛ te 'ya tewəmbəreke gheyɛ.»","Wañ jar ma de ndar äayn kal wii Danyel gano: Ndi joñ heçeçne na do wañ, je waçaç ree äi maga hay ngaä fen maga nday nen reege, nen jooge go mono. Gahaçyla, aà wo ge we ko nday de ngogre de dañ weere joçoçre maga kiñgi äay boñ mono, sen mo ta' kañ ge taw äi ge na kañge. "
