livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
DEU.1.1," Voici les paroles que Moïse adressa à tout Israël, de l'autre côté du Jourdain, dans le désert, dans l'Arabah, vis-à-vis de Souph, entre Pharan, Thophel, Laban, Haséroth et Di-Zahab. ","These be the words which Moses spake unto all Israel on this side Jordan in the wilderness, in the plain over against the Red sea, between Paran, and Tophel, and Laban, and Hazeroth, and Dizahab.","Kayni mi yoboyn ma Musus dum tam sa Israyel kafna; goy gal hena vi niy-lumna Yordan, hay fulda, hay Araba, ɗiger vok Suf, jar Paran, Tofel, Laban, Hatserot hiɗi Di-Zahab. ","Mana me ne mejô Môze a nga kobô Israél ase e Yordane yat, e nkôte si, Araba, zôsôôô a Suf, e zañe Parañ, Tôfel, Laban, Astérôt a Di-Zahab. ","Ɗerewol hana, a sluf di i ɓi Moyis miɓa da Israyeley gar ti taŋ misi tisi pas ngi miprik ngi mizaw Zurdeŋ, ar papala migweˀ avu walahay Suf, misi ar wala ngi Paraŋ, Tofel, Labaŋ, Haserot waɗ Di-Zahap. ",Ndaa bolle ɗe Muusa wolwani Isra'iila'en fuu haa fuunaaŋge maayo Urdun nder ladde haa Araba yeeso Suuf hakkunde Paran e Tofol e Laban e Haserot e Dizahab. ,Ndaa bolle ɗe Muusa wolwani Isra'iila'en fuu haa fuunaaŋge maayo Urdun nder ladde haa Araba yeeso Suuf hakkunde Paran e Tofol e Laban e Haserot e Dizahab. ,"Wen nɛ Moisɛ tɔ̧ɔ̧ ha̧ o be  Israɛl  sɛn kur Jurdɛn sɛn ŋga-gbárà kɔ̧ ɗɔŋgɔ Araba, tan nɛ ye Suf, mgbara Paraŋ, Tofɛl, Labaŋ, Haserot in Di-Zahad nɛ mɔ'ɔ. ","Wen nɛ Moisɛ tɔ̧ɔ̧ ha̧ o be  Israɛl  sɛn kur Jurdɛn sɛn ŋga-gbárà kɔ̧ ɗɔŋgɔ Araba, tan nɛ ye Suf, mgbara Paraŋ, Tofɛl, Labaŋ, Haserot in Di-Zahad nɛ mɔ'ɔ. ","Ma palepa nya ne, ghena nyi gezete nda Moyize ke pɛtɛa ka Israyɛl, vəa ŋkwa nya nza hɛ mba laka ŋkwa kesame ta veci yitea ŋwela ta Zhəwrdɛŋe, te ɓerama, mbe kema ta Səwf, kwelɛ yɛ Paran le Tofɛl, Laban, Hasɛrot ba'a Di-Zahab yageze ŋkɛ. ","Mokay diñ waçaçre maga Moyis fer ra ne jar Israyel wo äuy wo faale Jurdeçeç ma äañlan ti puuli no äil Araba, pel Suf ti holañ Paran, Tofel, Labañ, Hatserod wo de Di-Sahab mono. "
DEU.1.2," Il y a onze journées de marche depuis Horeb, par le chemin de la montagne de Séïr, jusqu'à Cadès-Barné. ",(There are eleven days' journey from Horeb by the way of mount Seir unto Kadesh–barnea.),"Fokay hay Horeb pa, jik hay hagata vi hiɗiyt Seyir kay kal hay Kades-Barneya kayni, tuɗ ir buur doogo yam kep. ","Ataté Hôréb a kui Kadés-Barnéa, dulu e ne melu awôm a da éyoñe wo tyii e zene minkôle ya Séyir. ","Zle a muwã Horep hã a Kades-Barneya, tir jiviɗ mabi tir muwã Seˀir na, sey gwat ngi hin kuruˀ ngaŋ kaˀ ar li ru. ","Jahaaŋgal diga hooseere Horeb haa Kaades-Barne'a gal laawol jahranŋgol haa lesdi kooseeje Se'ir, waɗi nyalɗe sappo e go'o. ","Jahaaŋgal diga hooseere Horeb haa Kaades-Barne'a gal laawol jahranŋgol haa lesdi kooseeje Se'ir, waɗi nyalɗe sappo e go'o. ","(Ka'i kur sɛn Hɔrɛb nɛ yuwar nɛ ɓir nɛ zaŋ kaya Sɛir, wi ɔ zɛ ɓu-zua-kpɔk sɛka'i hɔɔ sɛn Kadɛs-Barnɛa.) ","(Ka'i kur sɛn Hɔrɛb nɛ yuwar nɛ ɓir nɛ zaŋ kaya Sɛir, wi ɔ zɛ ɓu-zua-kpɔk sɛka'i hɔɔ sɛn Kadɛs-Barnɛa.) ","Slə pelɛ ghweme ta Horɛb hwa'a kwa Kadɛs-Barnɛya ne, hɛ meŋe kwetɛŋeghəmbe menete mbeli kadzeghwa sawa laka hweŋkwa ta ghweme ta Sɛyir. ","Faage maga ur le Horeb day hee go ti huuli ma Seyirn wo haçaç a go Kades-Barneya mono, nen seele siili hwal ti boñ. "
DEU.1.3," En la quarantième année, au onzième mois, le premier jour du mois, Moïse parla aux enfants d'Israël selon tout ce que Yahweh lui avait ordonné de leur dire: ","And it came to pass in the fortieth year, in the eleventh month, on the first day of the month, that Moses spake unto the children of Israel, according unto all that the  Lord  had given him in commandment unto them;","Hay buurta jewta vi til ma doogo yam kepna vi busata dok-fiɗit kayni, sle ma Ma-Vatɗin dumi mi Mususna nam dum tam sa Israyel kafe. ","E mbu mewôme nyini, e ngon awômô a jia é too alu da, Môze a nga kobô bone bʼIsraél avalʼése Nti a nga bendé nye ajô dap. ","Vi kukur mufaɗ a dirba Israyeley muboko ti ruwuy Ezipte, hin mudumbuŋ ngi kiya mukuruˀ ngaŋ kaˀ naŋ na, ɓi Bumbulvuŋ muɗuva da Moyis, ɓa a ɓa da Israyeley na, Moyis a sipa taŋ di tiɗeˀe. ","Nder nduuɓu cappanɗe nayaɓru ɓaawo gurtaaki maɓɓe lesdi Misra, lewru sappo e go'ooru, nyannde go'oore maaru, Muusa yecci Isra'iila'en ko Jawmiraawo umri mo wi'ugo ɓe fuu. ","Nder nduuɓu cappanɗe nayaɓru ɓaawo gurtaaki maɓɓe lesdi Misra, lewru sappo e go'ooru, nyannde go'oore maaru, Muusa yecci Isra'iila'en ko Jawmiraawo umri mo wi'ugo ɓe fuu. ","Tɛ ɓu-naar pɛ tɛ kuti ɔɔ-zɛ zaŋ ɓu-zua-kpɔk fio-zɛ, Moisɛ wee ɗoŋ mɔ ha̧ o be  Israɛl , hee mɔ'ɔ nɛ GASA WAN baa tɔ̧ so ha̧ a̧ nɛti ga. ","Tɛ ɓu-naar pɛ tɛ kuti ɔɔ-zɛ zaŋ ɓu-zua-kpɔk fio-zɛ, Moisɛ wee ɗoŋ mɔ ha̧ o be  Israɛl , hee mɔ'ɔ nɛ GASA WAN baa tɔ̧ so ha̧ a̧ nɛti ga. ","Ma te kwa ghate ta hɛa tere kwa meŋe kwetɛŋeghəmbe, mbe va kwa wəfaɗemsə kwa sebe ta shave ta nci mbe Ɛzhipte ne, tserame Moyize gezemte nda pɛtɛa ghena nyi gezave nda Mahwətə kageze nda ke ka Israyɛl. ","Ti kiñgi ma do naa nen naw ma tañgu äil few ma de hwal ti boñ mono, Moyis raw fer waçaçre ne jar Israyel wo do maga Manwur hay waçaç ne hen ga aà mo waçaç ne hara no äuy no. "
DEU.1.4," après qu'il eut battu Séhon, roi des Amorrhéens, qui habitait à Hésebon, et Og, roi de Basan, qui habitait à Astaroth et à Edraï. ","After he had slain Sihon the king of the Amorites, which dwelt in Heshbon, and Og the king of Bashan, which dwelt at Ashtaroth in Edrei:","Kayni bugol liyn ma nisi kol kay Sihon mulla vi sa Amoriyana, sa ka lakay ziy hay Hesbon, hiɗi Og, mulla vi Basan, ma ka musi hay Astarot hiɗi Edrey. ","Eyoñe te a maneya dañe Sihoñ njô bôte Beamorééñ a nga too Hesboñ, a Ôg njô bôte ya Basañ a nga too Astarôt a Edré. ","A gi kahana, a dirba Moyis mipa hirnga da Sihoŋ, buy ngi Amorihey misi a Heseboŋ, waɗ da Edreyi-Ok, buy ngi Basaŋ misi a Hasetarot. ","Ɗum laati ɓaawo Jawmiraawo jaali Sihon, laamiiɗo Amoori'en mo jooɗino nder berniwol Hesbon e Ook e laamiiɗo Baasan mo jooɗino nder berniiji Astarot e Edirey . ","Ɗum laati ɓaawo Jawmiraawo jaali Sihon, laamiiɗo Amoori'en mo jooɗino nder berniwol Hesbon e Ook e laamiiɗo Baasan mo jooɗino nder berniiji Astarot e Edirey . ",__Error__,__Error__,"Kwa sebe ta nya hərəte Sihon, meghea ka Amor nya mbe Hɛshebon ba'a Og, meghea ka Bashan nya mbe Ashetarot ba'a mbe Ɛdrɛyi Moyize menete geva ŋkɛ.",Sen na blam maga se taw Sihon wañ jar Amoridn maga hay de hayle Hesbon wo go de Og wañ Basañ maga hay de hayle Astarod wo de Edreyi mono. 
DEU.1.5," De l'autre côté du Jourdain, dans le pays de Moab, Moïse commença à expliquer cette loi, en disant: ","On this side Jordan, in the land of Moab, began Moses to declare this law, saying,","Goy gal hena vi Yordan, hay nagata vi Mowab, Musus tun caw visi caw gatta na'ta, nam ka di ala:","E Yordane yat e minjeʼese ya Môab, nye Môze a nga taté na a yeʼele metiñe me Zambe: ane a nga jô na:","Angi hirwuy Moˀap, tisi pas ngi miprik ngi Zurdeŋ na, Moyis a zla dubuna ɓimuɗuva ngi Buymisemuŋ da mizli, mingiɓi naŋ ani:","Haa fuunaaŋge maayo Urdun, nder lesdi Mo'ab, Muusa fuɗɗi faamtingo ɓe tawreeta ka'a. O wi'i: ","Haa fuunaaŋge maayo Urdun, nder lesdi Mo'ab, Muusa fuɗɗi faamtingo ɓe tawreeta ka'a. O wi'i: ",__Error__,__Error__,"Ma laka ŋkwa kesame ta veci yitea Zhəwrdɛŋe, te hɛɗia Mowab ne, pa Moyize ghate kateke nda wəsə mahalegəa Shala ke mbeli.","Wo faale Jurdeçeç ma äañlan äil sir Mowab mono, Moyis raw naa wer jag liñgi sen no, day gano:"
DEU.1.6," Yahweh, notre Dieu, nous a parlé à Horeb, en disant: «vous avez séjourné assez longtemps dans cette montagne; ","The  Lord  our God spake unto us in Horeb, saying, Ye have dwelt long enough in this mount:",Ma-Vatɗina Lawna vaya law taya hay Horeb ala: Hiɗiyt zawni nigi musawa ka' ŋolo. ,"Nti, e Zambe wongan, a nga kobô bia Hôréb a jô na: Mi tabeya ôbe ayap e fefele nkôle wu. ","Ti ndra misi zleˀe a muwã Horep na, Bumbulvuŋ Buymisemuŋ ndra a ɓa ndra ani: «Ani ki zikam le haɗa a muwã hana. ","“Saa'i en ɗonno haa hooseere Sina, Jawmiraawo, Allah meeɗen wi'i en: Faɓɓugo mooɗon haa hooseere nde'e he'i. ","“Saa'i en ɗonno haa hooseere Sina, Jawmiraawo, Allah meeɗen wi'i en: Faɓɓugo mooɗon haa hooseere nde'e he'i. ",A̧ tɔ̧a̧: «GASA WAN Sɔ̧ k’ɛɛ tɔ̧ɔ̧ wen h’ɛ́ɛ́ sɛn Hɔrɛb'e: ‹Zɛ‘nɛ́ dɔka zu kaya’ɛ kaɗi. ,A̧ tɔ̧a̧: «GASA WAN Sɔ̧ k’ɛɛ tɔ̧ɔ̧ wen h’ɛ́ɛ́ sɛn Hɔrɛb'e: ‹Zɛ‘nɛ́ dɔka zu kaya’ɛ kaɗi. ,"Ma ke sha hɛ: «Ma vəa ŋkwa nya se gheɓəmə pelɛ ghweme ta Horɛb ne, ma ke Shala Mahwətə ta ɓəmə sha gheɓəmə: ‹Nahe yɛ ketemə kwele kwele yitea ghweme nya. ","Manwuri, Baa naan hay waçaç waçaçre le ne naa Horeb gano: Nday ig we debañ ti jeñ huuli sen lam no. "
DEU.1.7," tournez-vous et partez; allez à la montagne des Amorrhéens et dans tous ses alentours: dans l'Arabah, dans la montagne, dans la Séphéla, dans le Négeb, sur la côte de la mer, au pays des Chananéens, et au Liban, jusqu'au grand fleuve, au fleuve de l'Euphrate.","Turn you, and take your journey, and go to the mount of the Amorites, and unto all the places nigh thereunto, in the plain, in the hills, and in the vale, and in the south, and by the sea side, to the land of the Canaanites, and unto Lebanon, unto the great river, the river Euphrates.","Hina' bugolgiya, tuɗgiya, tuɗgi kay hiɗiyta vi sa Amoriyana, hiɗi liyn ma gala'na kaf, hay Araba, kulo kay hiɗiyna, hay Sevelat hay Negeb hay galla vi niy-lumna, hay nagata vi sa Kanaaniyana, hay Libaŋ kaw, ta-ta kat niy-lum ma ŋolla, vun niy-lumna Eufrata. ","Ajô te tataʼane dulu éyoñe ji; mia ye ke e si minkô e vôme Beamorééñ be too a mevôme Bekananééñ be too: njeʼese Yordan, si minkô, mbiʼili, éfase si ya nké a ékôte mañ; kelan a kui e minkôle mi Libañ, a kui fe Efrat, beta ôsôé. ","Wurenna, zuɓam jiviɗ, a ram ng'ar vay muwã ngi Amorihey ati midigwi taŋ Kanaˀanaya, i li micay ngi Zurdeŋ, hirwuy vay muwã, hirwuy mikini ngir ti ruwuy, vay ɗigaray, vay ruwuy naŋ, li misilaɓɓa ngi ciki mubuliy, a ram sesẽŋ a muwã Libaŋ, yo sesẽŋ a Efrat mizaw madiɗaŋ. ","Umme, lorte dow laawol mon. Njehe haa lesdi kooseeje Amoori'en e haa heeddiɗɗiraaɓe maɓɓe fuu, haa Araba dow kooseeje e haa lesdi leesndi e haa Lesdi Fombina e haa sera mbeela, lesdi Kanaani'en e Libanon haa on njotto maayo maŋngo ngo Efratis. ","Umme, lorte dow laawol mon. Njehe haa lesdi kooseeje Amoori'en e haa heeddiɗɗiraaɓe maɓɓe fuu, haa Araba dow kooseeje e haa lesdi leesndi e haa Lesdi Fombina e haa sera mbeela, lesdi Kanaani'en e Libanon haa on njotto maayo maŋngo ngo Efratis. ","Ɛ̀nɛ̀ kúr, ɛ̀nɛ̀ yák si zu kaya ko o be Amɔr in sitɛ o wi nɛ ɔ zik wa, sɛn Araba, sɛn mgbara kaya, sɛn bɔkɔ-nù, sɛn mgbara Nɛgɛb, in ká̧ gasa nana-yì. Ɛ̀nɛ̀ nɛ́ɛ̀ bá nú Kanaŋ ba nɛ Libaŋ hɔ nɛnɛ ká̧ nana-yì Efrat. ","Ɛ̀nɛ̀ kúr, ɛ̀nɛ̀ yák si zu kaya ko o be Amɔr in sitɛ o wi nɛ ɔ zik wa, sɛn Araba, sɛn mgbara kaya, sɛn bɔkɔ-nù, sɛn mgbara Nɛgɛb, in ká̧ gasa nana-yì. Ɛ̀nɛ̀ nɛ́ɛ̀ bá nú Kanaŋ ba nɛ Libaŋ hɔ nɛnɛ ká̧ nana-yì Efrat. ","Zhɛrete mə geva, dzeme mə hwa ghweme ta ka Amor ba'a dzembe mə hɛɗi nyi dzeyi yite nyi nza nyi ka Kanan dzeyi mbe, geze ta ŋkɛ, ŋwela ta Zhəwrdɛŋe, ŋkwa nyi dzeyi pelɛ yɛ wəmbə, hɛɗi nya kwake kwake, Nɛgɛv, ŋkwa nya dzeyi mɛa ndərə. Dzeme mə hwa'a pelɛ yɛ ghweme ta Liban ba'a hwa'a mɛa Efrate, hələ nya wəba. ","Mbuë wee nen äay, see wee: Wo wee ti huuli mani jar Amoridn wo, äi sir ma ti äen wo äuy, äil Araba no, ti huulin wo, äi Sefela no, äil Negef no, ti jeñ Maarog no, äi sir mani jar Kanaann wo, wo Libañ haçaç wo go ti maarog ma de paçaçge ga diñ Efrad mono. "
DEU.1.8," Voici que je mets ce pays devant vous; allez et prenez possession du pays que Yahweh a juré à vos pères, Abraham, Isaac et Jacob, de leur donner, à eux et à leur postérité après eux.","Behold, I have set the land before you: go in and possess the land which the  Lord  sware unto your fathers, Abraham, Isaac, and Jacob, to give unto them and to their seed after them.","Humgiya, nan tun nagat vokgiya; tuɗgiya, sligi nagata ta Ma-Vatɗina yi va kalamu kay vula' mi sumaygiya, mi Abraham, mi Isaak, mi Yakub kaw, nam min vulsita, mi jafna visi sa bugolsina kaw.","Mi lôô me veya mia si éte. Kela nyoñane je, amu e si ma, Nti, me nga tiñeti na ma ye ve bimvame bienan Abraham, Izak a Yakob, a e mvoñe bôte jap éyoñ be maneya wu.","Puraka, yi vulukum hirwuy nah le. A ram, ara pam araŋ, i hirwuy ya Bumbulvuŋ miɓa ɗaˀ le da dideˀ kumoy, Abraham, Izak waɗ Zakop ati ziri taŋhay nga mbuŋ tuwa.»","Ndaare, mi jo'ini lesdi ndi'i yeeso mooɗon. Njehe kooce mare ndi, ɗum lesdi ndi min, Jawmiraawo, mi huni mi hokkan kaakiraaɓe mooɗon Ibrahiima e Isiyaaku e Yaakubu e danygol maɓɓe ɓaawo maɓɓe!”","Ndaare, mi jo'ini lesdi ndi'i yeeso mooɗon. Njehe kooce mare ndi, ɗum lesdi ndi min, Jawmiraawo, mi huni mi hokkan kaakiraaɓe mooɗon Ibrahiima e Isiyaaku e Yaakubu e danygol maɓɓe ɓaawo maɓɓe!”","Ɛ̀nɛ̀ zɔk, nù n'am ha̧a̧ h’ɛ́nɛ́ nɛ mɔ‘i. Ɛ̀nɛ̀ nɛ́ɛ̀ bá nù nɛ Sɔ̧ kana so mɔ mɛ ha̧ ha̧ o zɔmdáa k’ɛ́nɛ́ Abraham, Izak in Jakob in o bezaŋ wa mɛ ɗoŋ.›","Ɛ̀nɛ̀ zɔk, nù n'am ha̧a̧ h’ɛ́nɛ́ nɛ mɔ‘i. Ɛ̀nɛ̀ nɛ́ɛ̀ bá nù nɛ Sɔ̧ kana so mɔ mɛ ha̧ ha̧ o zɔmdáa k’ɛ́nɛ́ Abraham, Izak in Jakob in o bezaŋ wa mɛ ɗoŋ.›","Newe mə, 'ya kave ŋayɛ hɛɗia shɛ. Dzembe mə shɛ yɛ kelehwe hɛɗi nya zemete Mahwətə kafela kave nda ke ka shihɛ ŋayɛ Abraham, Izak ba'a Zhakob ba'a ke ka hwelefefia nci kwa sebe ta nci.›»","Ko wee, ndi haç sirn go wee, see wee, wo wee yaçaç sir maga Manwur hay haç' go ne paçaçre äay Abraham, Isag wo de Jakob ga se haçn go ne hara, ne weere äaara wo blam äaara mono."
DEU.1.9," Je vous parlai ainsi dans ce temps-là: «Je ne puis, à moi seul, vous porter.","And I spake unto you at that time, saying, I am not able to bear you myself alone:","Hay liy namna kayni, nan di tigi ala: Nan van kep as kay ziygiɗi, ",Nde me nga kate mia na: Me nji kômbô beta beʼe mbeʼe ya wulu mia étam. ,Moyis a ɓa taŋ na: I ɓukum di le zleˀe: «I ru ti kum pal ɗu gu ta. ,Muusa wi'i: “Saa'i man mi wi'i on: Mi waawataa ɗowugo on feere am. ,Muusa wi'i: “Saa'i man mi wi'i on: Mi waawataa ɗowugo on feere am. ,"«Mi tɔ̧ɔ̧ so h’ɛ́nɛ́, mi nyɛm mɛ mgbɔ‘nɛ́ ɛ̀n’ám na,  ","«Mi tɔ̧ɔ̧ so h’ɛ́nɛ́, mi nyɛm mɛ mgbɔ‘nɛ́ ɛ̀n’ám na,  ","Ma vəa ŋkwa shɛ ne, ma ke Moyize zhɛkwa: «Mba 'ya kaɗe kanza te ghəa ŋayɛ kwetɛŋe ɗa we. ",De kal sen ni ndi Moyis ndi hay wii wee we ga ndi kaçaç ma soë weege boñ gaè. 
DEU.1.10," Yahweh, votre Dieu vous a multipliés, et vous êtes aujourd'hui aussi nombreux que les étoiles du ciel.","The  Lord  your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.","Ma-Vatɗina Lawna vigiya biyagiyawa, vaydi kaw nigi muɗi ŋol dak-dak ki mislek ma dukalawn nala. ","Nti, e Zambe wônan a maneya fôlô mia abui, mi ntoo abui éyoñe ji fe vʼane ateté e ne yôp. ","Bumbulvuŋ Buymisemuŋ kumo a ga, ki sikam le haɗa. Ani dana, kum wenewene kaɓa wurzlaŋhay a muŋ. ","Jawmiraawo, Allah mooɗon ɗuɗɗini on, hannde on ɗuuɗɓe bana koode asama. ","Jawmiraawo, Allah mooɗon ɗuɗɗini on, hannde on ɗuuɗɓe bana koode asama. ",wen GASA WAN Sɔ̧ k’ɛ́nɛ́ dee so h’ɛ́nɛ́ mɛ dɔk hee o sɔra yiwese ga. ,wen GASA WAN Sɔ̧ k’ɛ́nɛ́ dee so h’ɛ́nɛ́ mɛ dɔk hee o sɔra yiwese ga. ,"Nahe Shala Mahwətə ta ŋayɛ keyate ŋayɛ kwele kwele, tsetsenya ne, kwele kwele yɛ kala saseregwa te ghweme. ","Manwuri, Baa äayn hay tes nday, nday wara ngaäa do ger ma ciñ wo no lay no. "
