livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
ECC.1.1,".Paroles de l'Écclésiaste, fils de David, roi dans Jérusalem. ","The words of the Preacher, the son of David, king in Jerusalem.","Kayni mi dita vi sa ma kusta, goora vi David, mulla vi Yerusalem. ","Mejô me Nkatefoé, e mone David a njô bôte ya Yérusalém.","Misi ani na, i mingiɓi ngi mbur misi sinmijileŋ, mangal ngi Davit, yo i buy Zeruzalem.","Ndaa bolle Gaazoowo ɓii Daawuda, laamiiɗo haa Urusaliima:","Ndaa bolle Gaazoowo ɓii Daawuda, laamiiɗo haa Urusaliima:","Wen nɛ wi-iŋ-mgbara-mɔ Ekleziastɛ,  bem ko David nɛ ɔɔ so wan Jerusalɛm tɔ̧ɔ̧ nɛ mɔ'ɔ: ","Wen nɛ wi-iŋ-mgbara-mɔ Ekleziastɛ,  bem ko David nɛ ɔɔ so wan Jerusalɛm tɔ̧ɔ̧ nɛ mɔ'ɔ: ","Ghena ta Nde ntsehwele ntsehwele, wəzege ta David ba'a meghe nya mbe Zhɛrəzalɛm.",Diñ waçaçre Eklesiyaste je ni Dafid wañ Jerusalem no. 
ECC.1.2,".Vanité des vanités! dit l'Écclésiaste, vanité des vanités, tout est vanité. ","Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.","Slen kaf mi va waa'a, din mi sa ma kusta, slen kaf mi va waa'a.","Momo ya bemomo, nalé Nkatefoé a jô, momo ya bemomo, mam mese me ne momo.","Mbur misi sinmijileŋ a ɓi na, i ngatara lambaˀ, gwat gar i ngatara lambaˀ.",Gaazoowo wi'i: Meereejum meere! Meere koros! Koo ɗume fuu woni meere. ,Gaazoowo wi'i: Meereejum meere! Meere koros! Koo ɗume fuu woni meere. ,Ŋma mɔ bo na! Mɔ lɛŋ nɛ́ geemɔ. ,Ŋma mɔ bo na! Mɔ lɛŋ nɛ́ geemɔ. ,"Ma ke Nde ntsehwele ntsehwele: Gəmə wəshi pɛtɛ, wəsə shɛ kaketekɛ ŋkwa we, gəmə wəshi pɛtɛ.","Eklesiyaste ga dekoëkoë ngeel dekoëkoëe, feçeçren wo äuy dekoëkoëe."
ECC.1.3,.Quel avantage revient-il à l'homme de toute la peine qu'il se donne sous le soleil?  Le perpétuel recommencement des choses. ,What profit hath a man of all his labour which he taketh under the sun?,Ŋaata ma san fum kuɗ makka vi lop ma nam lum gaa kuɗ fatta kafna mi mige? ,Mfi môt a bili mfaʼa yʼésaé ése a juʼu je e jôbe si va ô ne jé? ,"Mbur maga slra gǝr gǝr ar duniya misenna, a pulaŋ gir mi da naŋ vunaka?",Nafuuda kaye neɗɗo heɓata haa torra kuugal ngal o huuwata haa duniyaaru fuu? ,Nafuuda kaye neɗɗo heɓata haa torra kuugal ngal o huuwata haa duniyaaru fuu? ,"Tom nɛ bíí de ɗɔɔ yiwese’ɛ lɛŋ, nɛ́ ge a̧ a̧ kpa oi-aa ge? ","Tom nɛ bíí de ɗɔɔ yiwese’ɛ lɛŋ, nɛ́ ge a̧ a̧ kpa oi-aa ge? ",Wa wəsə nya ŋ'we wəndə ŋelɛ mbe slene nya mene ŋkɛ kwake te hɛɗi tse wa?,"Je tabay ti joñre äe maga aà joñ ra mo deñ äuy aà da' mayse wer äe ni la, joñre maga aà sii joñge äe nen ceege mo heçeç deñ äa? "
ECC.1.4,".Une génération passe, une génération vient, et la terre subsiste toujours. ","One generation passeth away, and another generation cometh: but the earth abideth for ever.","Jaf mara kala, jaf mara vurna'aya, may nagat ka dok-dok hay liya'na waŋ'. ","Miaé bôte wua wo ke, wu ôvok wo so, ve si jʼétoo avale da éyoñ ése. ","Vi a cuh, mekelem a ndilawa, amma hirwuyo naŋ da nga naŋ nga naŋ na si.","Yidere saalo, yidere woɗnde wara, ammaa duniyaaru ɗon tabiti haa foroy. ","Yidere saalo, yidere woɗnde wara, ammaa duniyaaru ɗon tabiti haa foroy. ","Pɛ duka-a ko o bíí yak ɓɛɛ wi koo o mbe bíí a oi wa woyo; mɔ kpɔk, nù duk kɔ‘i kpoo nɛ kpoo. ","Pɛ duka-a ko o bíí yak ɓɛɛ wi koo o mbe bíí a oi wa woyo; mɔ kpɔk, nù duk kɔ‘i kpoo nɛ kpoo. ","Kakiɗi vəa kweci mbeli, kase ŋa kweci, ama mba hɛɗi lema shanda.","Jar po naa wo, sen raw wora, jar ma tigriñ naa wo le, day tamsir mbe ti ngeel äen eñ ti' tumtum lay. "
ECC.1.5,".Le soleil se lève, le soleil se couche, et il se hâte de retourner à sa demeure, d'où il se lève de nouveau. ","The sun also ariseth, and the sun goeth down, and hasteth to his place where he arose.","Fatta day kulo'o, na' ɗig gaa'a; na' gar liyna ma na' dayay hay pana kay hot day mara lo. ","Jôp da tôô, da dim, ve beta jiʼa bulane vôm e nga tôô. ","Pas a bawa, a diɗi, a wus vu ngi mi ng'ar li naŋ mabo tiraˀa na a muŋ.","Naaŋge fuɗa, muta, yaawɗa loraago haa nokkuure nde nge fuɗata. ","Naaŋge fuɗa, muta, yaawɗa loraago haa nokkuure nde nge fuɗata. ","Wese daŋ ɓɛɛ yea; kà a̧ ye kaɗi, a̧ sii ɗoŋ nɛ haya-a si fara n'aa daŋ nɛnɛ‘i. ","Wese daŋ ɓɛɛ yea; kà a̧ ye kaɗi, a̧ sii ɗoŋ nɛ haya-a si fara n'aa daŋ nɛnɛ‘i. ","Kasame veci kwa ghɛ, kapəkwə ŋkɛ, kazhɛne geva ŋkɛ kahe kahe kadzawa ŋkwa nya same ŋkɛ kwa.","Wur naa le, wur le' go gesiñ, day se kal wo ferge ti ngeel maga se hay naa le go ni mo pa no. "
ECC.1.6,".Allant vers le midi, tournant vers le nord, le vent se retourne encore, et reprend les mêmes circuits. ","The wind goeth toward the south, and turneth about unto the north; it whirleth about continually, and the wind returneth again according to his circuits.","Simeɗna biw hay gal ma kayamna, hot biw hay gal ma gaana, gi duwli lo, hot gi duwli kayn hay liyam na kay'. ","Evuñulu ja ke mfaʼa ya nké a vuñ mfaʼa yʼakôé. Ja vuñ, ja tyiñelan a ke, a ja beta taté ntyiñelane wé. ","Himiɗ aru nga ruwuy, yo aru ng'aseˀeŋ, himiɗ a gi, a gi, a cuh, a zlo virzi hirik a muŋ ma.","Henndu yaha fombina, taaro haa woyla, ndu taaro taaro, ndu fuɗɗita taaraago. ","Henndu yaha fombina, taaro haa woyla, ndu taaro taaro, ndu fuɗɗita taaraago. ","Búk yu si ká̧-zan-mɛ́-ɗɔɔ, ɓɛɛ zika si ká̧-zan-mɛ́-ŋgɔn; búk ɓoɓi, yaka, ɓɛɛ zika pii ɗoŋ. ","Búk yu si ká̧-zan-mɛ́-ɗɔɔ, ɓɛɛ zika si ká̧-zan-mɛ́-ŋgɔn; búk ɓoɓi, yaka, ɓɛɛ zika pii ɗoŋ. ","Kavɛ sefə dzawa laka bela kwa zeme te kwete və, dzeme laka bela kwa gwela te kwete, kavɛ geva sefə, kazhɛre geva ŋkɛ zhɛne, kavɛ geva ŋkɛ jive laka ŋkwa nya shave ŋkɛ.","Raw wo nen äañ ni waçybane, fer go nen äañ gloñhwede, ngië mbe, ngië mbe. Leege kii na dosen no lay, kii mbe le, kii mbe le. "
ECC.1.7,".Tous les fleuves vont à la mer, et la mer n'est point remplie; vers le lieu où ils se dirigent, ils continuent  à aller. ","All the rivers run into the sea; yet the sea is not full; unto the place from whence the rivers come, thither they return again.","Niy-lum ma gurayna kaf jaŋ kayn hay niy-lum ma ŋolla, may niy-lum ma ŋolla hob noŋɗi, dok-dok niy-lum ma gurayna ka jaŋ malam na kay'. ",Asôé ese da suane mañ ve mañ teke jaé; da suane vôme wua éyoñ ése. ,"Mizaway gar na, a ram ng'ar mubuliy, amma ko mubuliy anta nih ta, li mizaway maɓulom ng'ara na, mizaway ara ɓulom ng'ara ava na si.","Maaje fuu ɗon ila haa mbeela, ammaa mbeela heewataa. Gal nokkuure maaje ilata, ton ɗe ilata fahin. ","Maaje fuu ɗon ila haa mbeela, ammaa mbeela heewataa. Gal nokkuure maaje ilata, ton ɗe ilata fahin. ","Nana-yì lɛŋ fok si ɗɔɔ gba-tɔp, ɓɛɛ gba-tɔp dun na mbɛt. Nana-yì fok kana nɛ́ foka-a si kpɔk fara. ","Nana-yì lɛŋ fok si ɗɔɔ gba-tɔp, ɓɛɛ gba-tɔp dun na mbɛt. Nana-yì fok kana nɛ́ foka-a si kpɔk fara. ","Kahwɛ pɛtɛa hələ kadzawa ndərə, ama kaviɗi ndərə tɛape we. Ma dzawa ŋkwa nya hwɛ yɛ hələ ne, nda hwɛ yahwɛ hɛ shanda.","Blam bii wo äuy wo wo nen maaroge, day maarog bay go bagge wa äuy. Ti ngeel maga aà raw wo wo nen ni mono, blam biin wo mbaara tum jag yuugi. "
ECC.1.8,".Toutes choses sont en travail, au-delà de ce qu'on peut dire; l'œil n'est pas rassasié de voir, et l'oreille ne  se lasse pas d'entendre. ","All things are full of labour; man cannot utter it: the eye is not satisfied with seeing, nor the ear filled with hearing.","Slen kaf ka mak tuwam kay li lopo, san as kay di kayn diy loɗi; ira fi mak kay ɗuwɗi, humda fi mak kay humɗi kaw. ","Ajô bivôle nde dina na: Dis te kate ñyenan, alo ki te kate ñwôʼan. ","A ɓaka ɓi le gar, a ɓi ɗaˀ ɗaˀa mata, hiri anta mbi ti pura gwata ta, yo slimiɗ anta mbi ti cine ɓi ta.","Kuuje fuu comnan haa ɓura tinndinoore. Yiitere somataa yi'ugo, nofru saftataa nanugo. ","Kuuje fuu comnan haa ɓura tinndinoore. Yiitere somataa yi'ugo, nofru saftataa nanugo. ","Wen nɛ‘i tɔ̧, dee gba̧‘a̧ mɔ kaɗi, wi kɔ̧ tɔ̧a̧-a̧ ɓɔna; mɔ nɛ yí-wi zɔka sur yí-wi na, mɔ nɛ zer-wi zia nyɛm a̧ na mbɛt. ","Wen nɛ‘i tɔ̧, dee gba̧‘a̧ mɔ kaɗi, wi kɔ̧ tɔ̧a̧-a̧ ɓɔna; mɔ nɛ yí-wi zɔka sur yí-wi na, mɔ nɛ zer-wi zia nyɛm a̧ na mbɛt. ","Kewənə wənə mbeli va pɛtɛa ghena, mba mbeli shɛ geze hɛ we. Kaleɓe ntsə va newe ŋkwa we, kabehe sleme va fa ghena we.","Feçeçren wo äuy jag joñre haçaç nen maga aè kol waçaçge ga, nen bay gayge do koge wa, sug bay gayge do laage wa lay. "
ECC.1.9,".Ce qui a été, c'est ce qui sera, et ce qui s'est fait, c'est ce qui se fera; et il n'y a rien de nouveau sous le  soleil. ","The thing that hath been, it is that which shall be; and that which is done is that which shall be done: and there is no new thing under the sun.","Va ma aya, mi va ma min co'o, va ma liyna mi va ma min li'e kaw, va ma ala kayni wuliya gaa kuɗ fatta mayɗi. ","Jam e mbe, nde fe da ye bo; jam e nga boban nde fe da ye beta boban: teke mfefé jam e jôbe si! ","Gwat misi ada zleˀe na, masa gi ada na i nah vuna, gwat migaka zleˀe na, a sa gam i nah vuna si, ko gwat nawaya loŋ magi ar duniya misenna anta.","Ko laati naane, kanjum laatoto. Ko waɗi naane, kanjum waɗoto fahin. Walaa kesum haa duniyaaru sam! ","Ko laati naane, kanjum laatoto. Ko waɗi naane, kanjum waɗoto fahin. Walaa kesum haa duniyaaru sam! ","Mɔ nɛ duka so nɛti kaɗi, nɛ́ kpɔk mɔ‘i a̧ tɛ duk woyo. Mɔ nɛ dee so nɛti kaɗi, nɛ́ mɔ‘i a̧ tɛ de kana woyo. Ŋma mbe mɔ beka de woyo ɗɔɔ yiwese na. ","Mɔ nɛ duka so nɛti kaɗi, nɛ́ kpɔk mɔ‘i a̧ tɛ duk woyo. Mɔ nɛ dee so nɛti kaɗi, nɛ́ mɔ‘i a̧ tɛ de kana woyo. Ŋma mbe mɔ beka de woyo ɗɔɔ yiwese na. ","Ma wəsə nya kese vəashi ne, katese ŋkɛ zhɛkwa. Ma wəsə nya kese kamene geva ne, katemene geva zhɛkwa. Wəsə mɛnɛfɛ shɛ kwake te hɛɗi lema we.","Fen maga hay le go ti wurpo mono, diñ fen maga joñ ge wo peel mono, fen maga hay joñ go mono, diñ fen maga joñ ge mono, fen maga naa waçaç ti sen ga aà defay nen ceege lam no baywa. "
ECC.1.10,".S'il est une chose dont on dise: ""Vois, c'est nouveau!"", cette chose a déjà existé dans les siècles qui  nous ont précédés. ","Is there any thing whereof it may be said, See, this is new? it hath been already of old time, which was before us.","La va mara ka'a ma nay di kalam ala van kayni wuliya ni, va namna ay liy hay busa ma kali ɓa-ɓan li'. ","Nge e ne jôban e be jam éziñe na: Dina e ne mfefé! Ve da e ne aso ayap, e biyoñe melu ya kôa. ","Da ko gwat ada zliv i ɓam vurˀe: «Puraka, hana i gwat nawaya» tekeɗe kwana, naɓa gwat nah, naŋ da zle misi ngadana ta ar vihey mucohom dumbuŋ ar ndra.","To woodi huunde nde ɓe mbi'ata: “Ndaa ɗum kesum”, asee boo ɗum aarti en laataago nder zamanuuji ɓooymaaji. ","To woodi huunde nde ɓe mbi'ata: “Ndaa ɗum kesum”, asee boo ɗum aarti en laataago nder zamanuuji ɓooymaaji. ","Kà ŋma mɔ nɛ́ dea, ɓɛɛ kà bíí tɔ̧: «Mɛ̀ zɔ́k mɔ'ɔ nɛ́ mbe mɔ!» wó, mɔ‘i bó nɛ́ mbe mɔ na. Mɔ‘i duka so kɔ‘i nɛti, ɓɛɛ ká wa tɛ ko ɛɛ hɔ̧ɔ̧ na. ","Kà ŋma mɔ nɛ́ dea, ɓɛɛ kà bíí tɔ̧: «Mɛ̀ zɔ́k mɔ'ɔ nɛ́ mbe mɔ!» wó, mɔ‘i bó nɛ́ mbe mɔ na. Mɔ‘i duka so kɔ‘i nɛti, ɓɛɛ ká wa tɛ ko ɛɛ hɔ̧ɔ̧ na. ","Wərə mbeli kageze te kwete wəsə: «Newema mə wəsə mɛnɛfɛ!», ke mbeli. Ndagwara nahe wəsəa shɛ kegha ka se vəashi, tewə gheɓəmə kenaka kaya.","Mopo yañ mbe nen maga aè waçaç ti sen ga: Ko mbo mo ma haç' ëa, aà defay mono yañ mbe? AÀ diñ mo maga hay joñ we le go nen kiñgi maga raw wo le go blam mono. "
