livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
EST.1.1,"L’histoire rapportée ici est arrivée au temps du roi Xerxès , celui qui régna sur cent vingt-sept provinces, de l’Inde jusqu’à l’Éthiopie. ","It was in the days of Ahasuerus ( Xerxes) who reigned from India to Ethiopia (Cush) over 127 provinces, ","Labara namna kayni li'e hay liyna vi Asuwerus, Asuwerus namna ma mulda valam fokay hay Indiya pa ta-ta hay Etiopiya. Nam ka ti mulda kay nagat kis kalam dok-ma' yam siɗiya. ","Jame di e nga boban melu njô bôt Asuérus a nga jôô bifuse bi si mewôm mebaé a zamgbwa, ataté Inde a kui Etiôpi. ","Ɓi mutohoko angi ɗerewol hana na, a cuh ti hin ngi buy mazilaka Zerses. Buy Zerses nah vuna, a wi buy miwi lihey wal wal skat ti kukur cuw nga tarnaˀ, zle a Eŋde hã sesẽŋ a Etiyopi. ","Ndaa ko laati nder zamanu Ahasuwerus: Wakkati man o laamani lesɗe teemerre e noogas e joweeɗiɗi (127), diga Indiya haa yotti Etiyopiya . ","Ndaa ko laati nder zamanu Ahasuwerus: Wakkati man o laamani lesɗe teemerre e noogas e joweeɗiɗi (127), diga Indiya haa yotti Etiyopiya . ","Duka so nɛ́ ŋgimbi nɛ̀ Zɛrzɛs ɔɔ so nɛ̀ wan zu o zika-nù gɔmŋmaa-nɛ-ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo, ku̧u̧naŋ-a nɛ̀ Indɛ hɔ nɛnɛ Etiopii mɛ.  ","Duka so nɛ́ ŋgimbi nɛ̀ Zɛrzɛs ɔɔ so nɛ̀ wan zu o zika-nù gɔmŋmaa-nɛ-ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-yiitoo, ku̧u̧naŋ-a nɛ̀ Indɛ hɔ nɛnɛ Etiopii mɛ.  ","Wa nya wəsə nya kemenete geva nya te vəa Sɛrsɛs. Gheŋkɛ ya kameghe te sla ta hɛɗi gwəmsə ba'a bakemsə mberefaŋeghəmbe, slə mbe Ɛnde hwa'a te hɛɗia Ɛtiyopi. ",Waçaçre sen joñ mokay diñ ti wur mani wañ Asuyerus no. AÀ suyerus sen diñ je maga hay waçaç waçaçre sir tië tië kis ti äe do äog ti renam. Tï¡ï¡ wer le Eñde ka' haçaç nduu go kañge Etiyopi. 
EST.1.2+EST.1.3,"Au cours de la troisième année de son règne, le roi, installé dans son palais royal de la citadelle de Suse, organisa un banquet pour tous ses hauts fonctionnaires et ses ministres ; il réunit auprès de lui les officiers de l’armée de Perse et de Médie, les gouverneurs et les chefs des provinces . ",__Error__,__Error__,__Error__,__Error__,__Error__,__Error__,__Error__,__Error__,"Ma mbe kwa maheke ta va ta ŋkɛ mbe meghe, kwa ntishɛ ŋkɛ pelɛ pasla meghe mbe ŋkwa nya berete mbe Səze ne, pa takɛ gəsəkə kezha ka mene slene ta ŋkɛ nyi jama jama pɛtɛa ba'a mbelia ŋkɛ nyi te ghə. Pa tsenete mbelia jama ta ka sewajɛ nyi mbe Pɛrse ba'a nyi mbe Mɛdi, ka ŋgwamna ba'a mbeli nyi te ghəa yɛ sla ta hɛɗi yitea ghəa ŋkɛ. ",__Error__
EST.1.4,"Il leur montra les richesses magnifiques et le luxe éclatant qui faisaient la gloire de son règne. Les festivités durèrent très longtemps, six mois au total. ","And he displayed the riches of his glorious kingdom and the splendor of his great majesty for many days, 180 days  in all .","Nam ɗek gajijita vi farayna vi mulda valam goyo, hiɗi wileta vi ŋolda valamu ta ira' may waaɗita. Kayni mus ir buur ŋolo. Buur kis kalam dok-glafandi. ","a nga liti be bitôtoʼo bi biôm ya nté nkôñ wé, a duma ya ngul éjôé jé. Dina ate a nga tabe melu ntet a mewôme muam. ","A gam kiya merkeɗe, angi hin nah gar na, buy a ro ar li biga taŋ zlili naŋ mihaɗa, naŋ muluma ar zumabuy naŋ, yo kuy ngi dudok naŋ mihaɗa mazli ta wãˀ na. ",Nyalɗe teemerre e cappanɗe joweetati (180) o holli ɓe risku laamu maako pantuŋgu e tedduŋgal maŋngu maako kaayeefiiwal. ,Nyalɗe teemerre e cappanɗe joweetati (180) o holli ɓe risku laamu maako pantuŋgu e tedduŋgal maŋngu maako kaayeefiiwal. ,A̧ usa dɔka mbɔi in gasa mɔɔ-wan kɔ̧-a̧ ha̧ wa tɛ ɔɔ-zɛ gɔmŋmaa-nɛ-ɓu-mɔɔrɔ-ɗoŋ-taar.,A̧ usa dɔka mbɔi in gasa mɔɔ-wan kɔ̧-a̧ ha̧ wa tɛ ɔɔ-zɛ gɔmŋmaa-nɛ-ɓu-mɔɔrɔ-ɗoŋ-taar.,"Ntake kancɛ nda zləvəa ŋkɛ nya kawəsə meŋele ke hɛ, tsema tsema kwelea meghea ŋkɛ. Hɛ kwele kwele menete gəsəkəa shɛ! Tere ŋkwaŋe pɛtɛa ŋkɛ. ","AÀ kal naa nen togodge horog äen wo go de kluu wañ äen nen naw kisi, ti äe do nenma'a. "
EST.1.5,"A la fin de cette période, le roi offrit également un banquet aux gens de toutes conditions, riches ou pauvres, qui se trouvaient dans la citadelle de Suse. Cette fête se déroula pendant une semaine dans les jardins du palais. ","When these days were completed, the king held a banquet for all the people who were present at the citadel in Susa [the capital], from the greatest [in importance] to the least, a seven-day feast in the courtyard of the garden of the king’s palace. ","Hay li ma buur namna vatawa, mulla kot tin kay sumun kaf goy jiy hay haraŋa, hay wur-daŋŋa vi mulda valamu, nam kot tin kay sumun kaf sa ka hay Susa, nagata vi mulda, nam kotom kay sa ŋulona hiɗi sa gurayna kaf. ","Eyoñe melu mete me maneya, njô bôt a nga beta bo dina mfe e minseñe ya nda njô bôt tañe melu zamgbwa asu bôte mevale mese be nga too tisone Suz, ataté bôbenen a kui bôbetok. ","A dirba hin nah ma na, buy tuwa, a di ɗaf ngi muguzlum, da mizli misi ar walahay Sus gar, zle avu mizli mugop gopoy hã avu misi murgahay gar. Muguzlum a zik hin tarnaˀ a mamay buyo. ","Nde wakkati man saali, o waɗi nyaamduuji feere ngam yimɓe nder laamorde Suuza fuu, mawɓe e leesɓe. Ɗum waɗi nyalɗe joweeɗiɗi haa daldal jarne laamorde. ","Nde wakkati man saali, o waɗi nyaamduuji feere ngam yimɓe nder laamorde Suuza fuu, mawɓe e leesɓe. Ɗum waɗi nyalɗe joweeɗiɗi haa daldal jarne laamorde. ","Ɗoŋ ŋgimbi'i, wannu dee mbe gbaŋa sɛn bee-gara tua-wan kɔ‘i ha̧ o bíí ŋgárá Suzɛ, mɔ nɛ̀ tɔ̧‘e o gasawi gú nɛ̀ o geɗek wi lɛŋ. Gbaŋa'i ɔɔ nɛ́ zɛ mɔɔrɔ-ɗoŋ-yiitoo. ","Ɗoŋ ŋgimbi'i, wannu dee mbe gbaŋa sɛn bee-gara tua-wan kɔ‘i ha̧ o bíí ŋgárá Suzɛ, mɔ nɛ̀ tɔ̧‘e o gasawi gú nɛ̀ o geɗek wi lɛŋ. Gbaŋa'i ɔɔ nɛ́ zɛ mɔɔrɔ-ɗoŋ-yiitoo. ","Ma kwa kiɗi vəa shɛ ne, pa ŋkɛ menete wəshi kezeme ke mbeli nyi mbe ŋkwa nya berete mbe Səze, ke mbelia jama le nyi ɓɛhwɛ pɛtɛ kwa ntsa nya yitea ghɛa meghe, kahɛ mberefaŋe menete geva ŋkɛ. ","De wur maga naw sen wo go baa jag mono, wañ kal joñ reege ne jar maga wo wursen ti meene sirn Sus ni mo äuy no, je kluu, weeklee. Reegen joñ naw renam. AÀ joñn äil pay sugnee äe ma äiñ tiñ wañ no. "
EST.1.6,"Des tentures de lin blanc ou violet étaient suspendues par des cordelettes blanches et rouges à des anneaux d’argent fixés sur des colonnes de marbre. On avait placé des divans d’or et d’argent sur le sol recouvert d’une mosaïque de dalles jaunes, blanches, nacrées et noires . ","There were curtains  (draperies) of fine white and violet linen fastened with cords of fine purple linen to silver rings and marble columns. The couches of gold and silver  rested  on a mosaic floor of  porphyry, marble, mother-of-pearl, and precious  colored  stones. ","Sligara ma tuwam ɗoy hiɗi barawna, baraw haɓna hiɗi ɗuŋus fok-dimina ma goɗayna ka meɗay goy tam zigew ma haɓna hiɗi ma purpella, kali hay jaɓna ma doorona, juni kat dolla ma koti hiɗi hiɗiy ma wilena, slen ma musta koti hiɗi ora hiɗi doorona, nam lakay kulo kay nagana ma yalam koray slawi, haɓi, ciliŋi hiɗi wura'a kaw. ","Bindelé bi too ndubane léñ, sut, évele mevule me ntômba, bi nga tii e minkol mi too éfumulu, angôô nsolan e bilondo bi argent a mekône me marbre. Binoñe yʼaba nda , mboone or a argent bi nga tele si bi too ñyañane porfir, marbre, nakre a évindi marbre.","Gabaga mislirkeɗey, babara, gagaza, yo miwitwitey, muluwa taŋ ti dangwa ngi ɓiri barahay avu zeweɗ miɓel ɓel babarahay, yo gagazahay, mujuwa taŋ kaˀ kaˀ avu ɓamtalay, ɓamtal mindira ti ɗugur ɗoro. Arngawo ngi ɓiri tapasl tapasl ati ngi ɓiri barahay ada ar li midirka le ti ɗugur micihhe, kalaf kalafay, babarahay, tapasl tapaslay waɗ titirahay ma. ",Wiirndallooji daneeji e carwinaaɗi ɗon ɓili bee kalagaaje cardi haa ɓoggi daneeji ɗigguɗi e boɗeeji caka daŋraŋge kaa'e daneeje. Leese kaŋŋeeri e cardi ɗon mbe'iti dow taŋkol baɗaaŋgol bee kaa'e cehaaɗe ɗelkooje e daneeje e oole e ɓaleeje. ,Wiirndallooji daneeji e carwinaaɗi ɗon ɓili bee kalagaaje cardi haa ɓoggi daneeji ɗigguɗi e boɗeeji caka daŋraŋge kaa'e daneeje. Leese kaŋŋeeri e cardi ɗon mbe'iti dow taŋkol baɗaaŋgol bee kaa'e cehaaɗe ɗelkooje e daneeje e oole e ɓaleeje. ,"Wa kuna o de yí-laa nɛtɛ nɛtɛ tɛ de toka gbɛ̧ nyak, ɓɛɛ wa ba kun tɛ o de káná nɛ̀‘i dee nɛ̀ bu-mbɔi, e tɛ o mbiŋ nɛ̀‘i dee nɛ̀ bu ta. Nɛ́ mɔ'ɔ nɛ̀ wa aa o gado nɛ̀‘i dee nɛ̀ lɔr in bu-mbɔi zu fara nɛ̀‘i yɔka nɛ̀ o de ta nɛtɛ nɛtɛ nɛ̀ kpaa-a ɔ ɓana. ","Wa kuna o de yí-laa nɛtɛ nɛtɛ tɛ de toka gbɛ̧ nyak, ɓɛɛ wa ba kun tɛ o de káná nɛ̀‘i dee nɛ̀ bu-mbɔi, e tɛ o mbiŋ nɛ̀‘i dee nɛ̀ bu ta. Nɛ́ mɔ'ɔ nɛ̀ wa aa o gado nɛ̀‘i dee nɛ̀ lɔr in bu-mbɔi zu fara nɛ̀‘i yɔka nɛ̀ o de ta nɛtɛ nɛtɛ nɛ̀ kpaa-a ɔ ɓana. ","Pa hwepeyi yɛ mayafe kwa tɛawetɛa le kwa ndereme ndereme te zewe kwa ɗeke gheme, le yɛ ŋgwedɛba mze kwa tɛawetɛa tendɛaŋe te yɛ selə nyi ŋate mbeli le kwacaregesla. Pa mbeli vɛsəyi mze kwa tere tere ba'a mze kwa tɛawetɛa te diɓere nya sleɓete mbeli le pelɛ nyi ketsehe tsehe, nyi kakwa rəghwə rəghwə, ghwaba ghwaba ba'a nyi nɛnɛa nɛnɛa ba'a nyi ɗɛkeɗɛa ɗɛkeɗɛa. ","Feçeçre ma de lag lar de piiri wo, ma waysaäwaysaäe, ma de tebere suääa, hay wo go de saëge de saale mbaraw ma depuy ceëceë, ma de seçeç burburi, de saëge jag boore maaway ma de gaëge deger deger wo, de saëge see mbal ma de guur see de piiri wo äuy deñ. Feçeçre suulin wo diñ de boo biñni wo, de boo maaway wo. AÀ hay wo de laage ti ngeel ma de da'ge go de guurgi de seçeç, depuy, de laa lare, de guurgi see ma de taabay. "
EST.1.7,"Les boissons étaient servies dans des coupes d’or, de différentes formes. Le vin coulait à flot et était offert avec une générosité toute royale. ","Drinks were served in various kinds of golden goblets, and the royal wine was plentiful, in accordance with the generosity of the king. ","Nisi ka ɓuraw sle ma cina hay kaway-ma-cina ma ora kuɗ jafam valamu valamu, vinna vi mulda ka ŋolo, kay gigekaw ci kuɗ minda valamu. ",Be nga nyuu bôte bilam e bilaé bi or mevale meval été. Woon a mbe bifôfôt a be nga ve nye bôt éneʼene. ,"A saka mbaazla ti skiɗ ngi ɓiri tapasl tapaslay, muvuɗa ti sukwi wal wal haɗa. A vula vul ngi buyo le, mbaazla a ɓul ka yam. ",Yimɓe njari njaram nder njardukoy kaŋŋeeri feere feere. Laamiiɗo hokki ɓe inaboojam nguykinoojam ɗuuɗɗam fodde caahaaki laamiiɓe. ,Yimɓe njari njaram nder njardukoy kaŋŋeeri feere feere. Laamiiɗo hokki ɓe inaboojam nguykinoojam ɗuuɗɗam fodde caahaaki laamiiɓe. ,"Wa a̧a̧ so nɛ́ o mɔɔ-nɔ-mɔ nɛ̀‘i dee nɛ̀ lɔr, yí-a  nɛtɛ nɛtɛ; dɔ̧ɔ̧ dɔka so gan kere, nyɛm nɛ̀ ɗoŋ yuwar ha̧a̧mɔ ko wannu.","Wa a̧a̧ so nɛ́ o mɔɔ-nɔ-mɔ nɛ̀‘i dee nɛ̀ lɔr, yí-a  nɛtɛ nɛtɛ; dɔ̧ɔ̧ dɔka so gan kere, nyɛm nɛ̀ ɗoŋ yuwar ha̧a̧mɔ ko wannu.",Kasa wəshi kesa mbeli kwa zlerekwe mze kwa tere tere nyi nza pa ta nci keghə keghə. Kwele kwele fəave nda tɛ meghe ke mbeli laka vele nya vele meghe ,"Haçaçre maga aè haç feçeçre ma jooge wo äil äaara mokay no, wo de joñge diñ de boo biñni wo wer sar sare, yii wañ hay mbe ëros ëros deñ koëe, sen diñ see do wañ mbe koë so. "
EST.1.8,"Chacun pouvait boire sans contrainte, car le roi avait ordonné à tous les serviteurs du palais de satisfaire les désirs de ses hôtes. ","The drinking was  carried on  in accordance with the law; no one was compelled [to drink], for the king had directed each official of his household to comply with each guest’s wishes. ","Sumun kaf ci kuɗ minda visiya, ki mulla di nala, sa may li sa hiɗi donoɗi. ","Ajô te môt ase a mbe nguleya nyu aval a kômbô, amu njô bôt a nga bendé bebo bisaé bese ya nda jé na be jalé minkômbane mi bôte bé a nga bañete. ","Mbur gar a si mbaazlaka naŋ mawuɗo. Vurˀe, buy a vula mingiɓi da gawla naŋhay gar mavulaka gwat ngi zum da mizli, ɓa anja mbur gar na, a lum gwat naŋ mawuɗo. ",Koo moy yari bana ɓernde muuɗum yiɗi. Laamiiɗo umruno wakiili'en saare mum ɓe mbaɗana ewnaaɗo fuu ko o yiɗi.,Koo moy yari bana ɓernde muuɗum yiɗi. Laamiiɗo umruno wakiili'en saare mum ɓe mbaɗana ewnaaɗo fuu ko o yiɗi.,Wannu tɔ̧ɔ̧ so ha̧ o bíí mɛ nɔ mɔ hee mɔ'ɔ nɛ̀ see-wa kɔ̧ɔ̧ ga. A̧ tɔ̧ɔ̧ ha̧ o wan-duk-zu nyɔŋmɔ mɛ ha̧ mɔ lɛŋ nɛ̀ o bíí kɔ̧a̧ ha̧ wa. ,Wannu tɔ̧ɔ̧ so ha̧ o bíí mɛ nɔ mɔ hee mɔ'ɔ nɛ̀ see-wa kɔ̧ɔ̧ ga. A̧ tɔ̧ɔ̧ ha̧ o wan-duk-zu nyɔŋmɔ mɛ ha̧ mɔ lɛŋ nɛ̀ o bíí kɔ̧a̧ ha̧ wa. ,"Pa meghe gezave nda ke mbeli nyi kemene slene ta wəshi kesa, yagha hɛ kaŋka mbeli yitea zeme wəsə ba'a sa wəsə kesa le berete, kala nya ɗe ŋkɛ yayata wəndə mene ŋkɛ. ","Wosela äuy joo diñ do ga äil äe da nono. Wañ hay siin go tañgu ne jar kluuri ma liñ ni äen wo na diñ do sen nono, ga joñ dole jobo de äe wa, ama aà mo hay diñ ti dage wosela. "
EST.1.9,"De son côté, la reine Vasti avait organisé un banquet pour les femmes à l’intérieur du palais de Xerxès.",Queen Vashti also held a [separate] banquet for the women in the palace of King Ahasuerus.,Ca-mulda Vasti kaw ka li yuldeta kay boyna kalaf hay ziyna vi mulla Asuwerus.,"Wôna e nda njô bôt été, Vasti, nga njô bôt Asuérus, nye fe a nga bo dina asu binga.","Maˀãy Vasti, naŋ kwana, a di ɗaf ngi muguzlum le da ngwasay a wazlaray buy Zersese.","Wasti, debbo laamiiɗo, kaŋko boo o waɗi nyaamduuji ngam rewɓe nder laamorde Ahasuwerus.","Wasti, debbo laamiiɗo, kaŋko boo o waɗi nyaamduuji ngam rewɓe nder laamorde Ahasuwerus.",Ko-wan Vasti dee war gbaŋa kɔ‘i in o okoo sɛn kɔ̧̀ kira ko wannu mbɛt.,Ko-wan Vasti dee war gbaŋa kɔ‘i in o okoo sɛn kɔ̧̀ kira ko wannu mbɛt.,"Ma Vasti nya kamale ta meghe perə ne, nahe ŋkɛ kemenete nda wəshi ke mi nyi ki ghɛ meghe Sɛrsɛs.","Fasti waçywañ lay, joñ reege ne naare wo äi feele tiñ wañ mani wañ Asuyerusn ni lay."
EST.1.10,"Le septième jour du banquet, le roi Xerxès était égayé par le vin. Il appela les sept eunuques spécialement attachés à son service : Mehouman, Bizta, Harbona, Bigta, Abagta, Zétar et Karkas. ","On the seventh day, when the king’s heart was joyful with wine (in high spirits), he commanded Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carkas, the seven  eunuchs who served in the presence of King Ahasuerus [as his attendants], ","Hay buurta siɗiyata, hay li ma mulla dikam hobawa hiɗi vinna, nam di tam Mekuman, Bista, Harbona, Bigta, Abagta, Zetar hiɗi Karkas, sum sa patayna sa siɗiyana sa ka lakay vunamu kay sunumu, ","E môse zamgbwale, valé njô bôt Asuérus a too njalan a mevak amu woon a nga nyu, a nga loone bekalane bilaé zamgbwa be mbe be saane nye môé na: Mewuman, Bizta, Arbôna, Bigta, Abagta, Zétar a Karkas ","Angi hin mitarnaˀ naŋ na, buy Zersese, hiri a ciraŋ le haɗa ti mbaazla tuwa. Gawla naŋ munguɗohoy ada tarnaˀ, i gawla migweˀ ngi vaˀahay, i ti: Mehumaŋ, Bista, Harbona, Bista, Abakta, Zetar waɗ Karkas. Buy a zila taŋ, a ɓa taŋ ","Nyannde joweeɗiɗawre, nde laamiiɗo yari, o seyi, o umri Mehuman e Bizzeta e Harbona e Bigeta e Abagata e Zetar e Karkas, sortaaɓe huuwanooɓe mo njoweeɗiɗo, ","Nyannde joweeɗiɗawre, nde laamiiɗo yari, o seyi, o umri Mehuman e Bizzeta e Harbona e Bigeta e Abagata e Zetar e Karkas, sortaaɓe huuwanooɓe mo njoweeɗiɗo, ","Sɛn tɛ mɔɔrɔ-ɗoŋ-yiitoo ɔɔ-zɛ, dɔ̧ɔ̧ pi̧i̧ wannu tɛ tortɛ, ɓɛɛ a̧ tɔ̧ ha̧ o kpàná kɔ̧-a̧ mɔɔrɔ-ɗoŋ-yiitoo nɛ̀ ya ɓɔn mgbák katɛ a̧; mɛ̀ nɛ́ Mɛhuman, Bizɛta, Harbona, Bigta, Abgata, Zɛtar ká bá nɛ̀ Karkas, ","Sɛn tɛ mɔɔrɔ-ɗoŋ-yiitoo ɔɔ-zɛ, dɔ̧ɔ̧ pi̧i̧ wannu tɛ tortɛ, ɓɛɛ a̧ tɔ̧ ha̧ o kpàná kɔ̧-a̧ mɔɔrɔ-ɗoŋ-yiitoo nɛ̀ ya ɓɔn mgbák katɛ a̧; mɛ̀ nɛ́ Mɛhuman, Bizɛta, Harbona, Bigta, Abgata, Zɛtar ká bá nɛ̀ Karkas, ","Ma te kwa mberefaŋe ta hɛ ne, fare fare wənəa meghe va tɛ, pa gezave nda ke Mɛhəwman, Bizta, Harbona, Bigta, Abagta, Zɛtar ba'a Karkas, ka mene nda slene mberefaŋe nyi ketsewe tsewe. ","Wur naw ma de renamn mono, yii kal fruy jiili wañ, aà raw wii Mehuman, Bista, Harbona, Bigta, Abagta, Setar wo de Karkas, jar ma renam ma de ndar äay maga wo ti peele pel wañ Asuyerus, ga aà mo ëe wo waçywañ Fasti le. "
EST.1.11,Il leur ordonna de lui amener la reine Vasti portant la couronne royale. Il désirait montrer à ses hauts fonctionnaires et aux autres gens présents combien la reine était belle. Elle était en effet d’une beauté remarquable. ,"to bring Queen Vashti before the king,  wearing her royal crown (high turban), to display her beauty before the people and the officials, for she was lovely to see. ","kay nisi ma mar ca-mulda Vasti vok iramu, hiɗi bogorayna vi mulda tuni ka'a, kay ɗek jifiyta va' goy tam sumuna hiɗi sa yerimana, kay na' jifiy ŋolo. ","a bendé be na be zuu nye Vasti, nga njô bôt, a beʼe ékate njô bôt. Asuérus a nga kômbô liti biwôlô bebo bisaé bié a e bôte bevoʼo be mbe valé, abim avé nga njô bôt a mbe abeñ, amu a mbe foʼo étua abeñ. ","ɓa a sakaŋ ti maˀãy Vasti nga mbuŋ naŋ. Anja a sawa na, hirnga tuwaɗ tuwaɗ ti loppol nga naŋ maˀãya, ɓa a so biga kuy naŋ mazli ta wãˀ na da mizli gar, waɗ da mizli madiɗa ngi slra ngi buyoyo. Vasti naŋ kuy teˀ gwaɗ naŋ, hiri a ɗuv ava ta wãˀ. ","ɓe ngadda Wasti debbo maako yeeso maako, meetiiɗo meetaleewol laamu. Laamiiɗo yiɗno hollugo ummaatooje e mawɓe no debbo oo wooɗiri, ngam o ŋarniiɗo masin. ","ɓe ngadda Wasti debbo maako yeeso maako, meetiiɗo meetaleewol laamu. Laamiiɗo yiɗno hollugo ummaatooje e mawɓe no debbo oo wooɗiri, ngam o ŋarniiɗo masin. ","ha̧ wa mɛ nɛ̀ɛ́ sa ko-wan Vasti tɛnɛ nɛ̀ oi mɔɔ-gu-zu ko ko-wan, mɛ usi déè kɔ̧-a̧ ha̧ o gasawi in o dukbíí nɛ̀ mɔi̧a, wen a̧ yora so zɔŋa nyɛmna. ","ha̧ wa mɛ nɛ̀ɛ́ sa ko-wan Vasti tɛnɛ nɛ̀ oi mɔɔ-gu-zu ko ko-wan, mɛ usi déè kɔ̧-a̧ ha̧ o gasawi in o dukbíí nɛ̀ mɔi̧a, wen a̧ yora so zɔŋa nyɛmna. ",Pa geze nda ke hɛ kezha hekake Vasti male ta meghe hɛ kase kwa kema ta mbelia jama le derə meghea nta mbe ghə. Meghe kaɗe kancɛ nda ke mbelia jama le kweci mbeli nyi tagha tsema tsema ndeɗea malea shɛ. Va nya nza nde kendeɗe nda tsape. ,"Ga aà mo aà le pel wañ de klañ wañ äen ti, ma kañ nen jar äuy, de wañren wo ti wore äe no, werga aà de wore debañ. "
