livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
EXO.1.2," Ruben, Siméon, Lévi, Juda, ","Reuben, Simeon, Levi, and Judah,","Ruben, Simeyon, Levi, Yuda, ","Ruben, Siméoñ, Lévi, Yuda, ","Ruben, Simeyoŋ, Levi ati Zuda, ","Ruben, Simeyon, Lewi e Yahuuda, ","Ruben, Simeyon, Lewi e Yahuuda, ","Rubɛn, Simɛɔŋ, Levii in Juda; ","Rubɛn, Simɛɔŋ, Levii in Juda; ","Rəbɛn, Simɛyon, Lɛvi ba'a Zhəwda,","AÀ wo diñ Ruben, Simeyoñ, Lefi wo de Juda. "
EXO.1.3," Issachar, Zabulon, Benjamin, ","Issachar, Zebulun, and Benjamin,","Isakar, Zabulon, Benyamin, ","Yisakar, Zabuloñ a Bényamin. ","Isakar, Zabuloŋ ati Benjameŋ, ","Issakar, Zabulon e Benyamin, ","Issakar, Zabulon e Benyamin, ","Isakar, Zabulɔŋ in Bɛnjamin; ","Isakar, Zabulɔŋ in Bɛnjamin; ","Isakar, Zabəlon ba'a Bɛnjamɛn,","Isakar, Sabuloñ wo de Benjame, "
EXO.1.4," Dan, Nephtali, Gad et Aser. ","Dan, and Naphtali, Gad, and Asher.","Dan, Neftali, Gad hiɗi Aser. ","Dañ a Naftali, Gad, Azér. ","Daŋ ati Neftali, Gat ati Aser. ","Dan e Neftali, Gada e Aser . ","Dan e Neftali, Gada e Aser . ","Dan in Nɛftalii, Gat in Asɛr. Kóó o nde nɛɛ in o bíí nutua kɔ‘i. ","Dan in Nɛftalii, Gat in Asɛr. Kóó o nde nɛɛ in o bíí nutua kɔ‘i. ","Dan ba'a Nɛftali, Gad ba'a Asɛr.","Dañ wo de Neftali, Gad wo de Aser. "
EXO.1.5," Toutes les personnes issues de Jacob étaient au nombre de soixante-dix, et Joseph était déjà en Egypte. ",And all the souls that came out of the loins of Jacob were seventy souls: for Joseph was in Egypt already.,Sum sa may goy hay Yakub pana nisi noŋ pet dok-siɗiya. Hay na'ta Yosef ka goy hay Egipte.,Abime bôt ese e nga bialé e be Yakob e mbe bôt mewôme zamgbwa; ve Yôsep a mbe Ejipte. ,"Ziri ngi Zakopoy a gam jom gar, mizli kukur tarnaˀ: Zozefe, naɓa naŋ a Ezipte si. ","Limgal danygol Yaakubu fuu, waɗi yimɓe cappanɗe njoweeɗiɗo (70). Yusufu kam ɗonno haa Misra ton. ","Limgal danygol Yaakubu fuu, waɗi yimɓe cappanɗe njoweeɗiɗo (70). Yusufu kam ɗonno haa Misra ton. ",O bezaŋ Jakob yaa so lɛŋ nɛ bíí ɓu-mɔɔrɔ-ɗoŋ-yiitoo. Ŋgimbi'i Jozɛf a̧a̧ so kɔ‘i sɛn Egiptɛ mɛ. ,O bezaŋ Jakob yaa so lɛŋ nɛ bíí ɓu-mɔɔrɔ-ɗoŋ-yiitoo. Ŋgimbi'i Jozɛf a̧a̧ so kɔ‘i sɛn Egiptɛ mɛ. ,"Pɛtɛa hwelefefia Zhakob ne, mbeli mberefaŋemsə: kwa Ɛzhipte wəzege ta ŋkɛ Zhozɛf le ŋa ŋkɛ. ",Jar maga biñ wo le go see Jakob hay wo äuy do renam. Josef hay wo go Ejipte pel ni so mono.
EXO.1.6," Joseph mourut, ainsi que tous ses frères et toute cette génération. ","And Joseph died, and all his brethren, and all that generation.","Yosef mita, guro-biyomna mit kaw. Sum sa hay liyn namna kaf mit goyo. ",Ane Yôsep a nga wu a bobenyañ bé bese a miaé bôte wé ôse. ,"A dirba nah, Zozef a mucu, sukum naŋhay gar waɗ mizli miram ti nah na gar, a micam le. ","Yusufu e deerɗiraaɓe muuɗum fuu maayi, non boo mooɓgal yidere maɓɓe fuu. ","Yusufu e deerɗiraaɓe muuɗum fuu maayi, non boo mooɓgal yidere maɓɓe fuu. ",Jozɛf fea so in o nya-wi gu nɛ o gbama-yari kɔ‘i lɛŋ. ,Jozɛf fea so in o nya-wi gu nɛ o gbama-yari kɔ‘i lɛŋ. ,"Kwa sebe ta ŋkɛ, pa Zhozɛf mtenyɛ, tsagha ka kesaka yitenyɛ ba'a mbeli nyi mbe vəa shɛ. ","Huli baa ge Josef go de heçeçre äen wo, de jar maga saara hay joñ de kaçaçra mo äuy no. "
EXO.1.7," Les enfants d'Israël furent féconds et multiplièrent; ils devinrent nombreux et très puissants, et le pays en fut rempli. ","And the children of Israel were fruitful, and increased abundantly, and multiplied, and waxed exceeding mighty; and the land was filled with them.","Gurona vi Israyel vuɗ ŋolo, nisi biya ŋolo, nisi muɗ ŋol suwa. Nagat hob hiɗi nisi cep-cep'.","Ane bôte yʼIsraél be nga biaé a fôé, a bo abui a dañe dañe bo ngu, a jaé si yʼEjipte. ","Israyeley ara yam haɗi, ziri taŋhay ara sikam fineˀ gidaŋ, a lumam gidaŋ nga mbuŋ nga mbuŋ: a nahaka hirwuyo wãˀ. ","Isra'iila'en ndanyndanytiri, ɓe ɗon ɓesdo, ɓe ɗon ɗuuɗa, baawɗe maɓɓe boo ɓesdi masin. Ɓe kebbini lesdi Misra .","Isra'iila'en ndanyndanytiri, ɓe ɗon ɓesdo, ɓe ɗon ɗuuɗa, baawɗe maɓɓe boo ɓesdi masin. Ɓe kebbini lesdi Misra .","O bezaŋ  Israɛl  duka so ko nɛnɛ nyɛmna, wa dɔka siti, wa kpaa ŋgai siti gan kuti-a woyo, ɓɛɛ wa dun nu.","O bezaŋ  Israɛl  duka so ko nɛnɛ nyɛmna, wa dɔka siti, wa kpaa ŋgai siti gan kuti-a woyo, ɓɛɛ wa dun nu.",Ama pa ka Israyɛl yate ya kwele kwele ba'a zhɛrenji kaka berete. Viɗi ŋkwa nya te hɛɗi va hɛ.,"Jar Israyel kal wo jawge, kal wo tesge, dus wo, kol wo ngaäa de eegre, haçaç sirn baa go de äaara."
EXO.1.8, Il s'éleva sur l'Egypte un nouveau roi qui ne connaissait pas Joseph. ,"Now there arose up a new king over Egypt, which knew not Joseph.","Bugol kayni mul ma wuliya musi kay Egipte, nam may wi Yosef noŋɗi. ",Mfefé njô bôt ô nga tebe Ejipte ô nji ke yeme Yôsep. ,"Akẽh na, a cam buy nawaya a Ezipte, a si na Zozefe sin le ta. ",Nden laamiiɗo keso laami dow lesdi Misra. Kaŋko o anndaa Yusufu . ,Nden laamiiɗo keso laami dow lesdi Misra. Kaŋko o anndaa Yusufu . ,Nɛ mɔ'ɔ nɛ ŋma mbe wannu nɛ iŋ kɔ‘i Jozɛf na baa wan sɛn nú Egiptɛ.  ,Nɛ mɔ'ɔ nɛ ŋma mbe wannu nɛ iŋ kɔ‘i Jozɛf na baa wan sɛn nú Egiptɛ.  ,Pa kwete meghe nya keɗepema Zhozɛf dzembe meghe mbe Ɛzhipte. ,Wañ ma tigriñ po defay maga hay bay de ko Josef wa kal kolge ti sir no. 
EXO.1.9," Il dit à son peuple : ""Voici que les enfants d'Israël forment un peuple plus nombreux et plus puissant que nous. ","And he said unto his people, Behold, the people of the children of Israel are more and mightier than we:","Nam di tam sumuna valamu: Humgiya, jafna vi Israyel muɗi ŋol suway naya, dono suway nay lay. ","Ane mfefé njô bôte ôte ô nga jô bôte ya si jé na: Mi lôô bôte yʼIsraél be ntoo abui a ngu a dañe bia, ","Buy tuwa, a ɓa mizli ngi hirwuy naŋhaya na: «Ani, sukwi ngi Israyeleye, a tiram le haɗa fineˀ gidaŋ, yo taŋ ti gidaŋ haɗa, a funam ndra le. ","O wi'i ummaatoore maako: “Ndaare, ummaatoore Isra'iila ɓurdi en ɗuuɗugo e semmbe. ","O wi'i ummaatoore maako: “Ndaare, ummaatoore Isra'iila ɓurdi en ɗuuɗugo e semmbe. ","A̧ tɔ̧ɔ̧ ha̧ o bíí kɔ̧-a̧: «Ɛ̀nɛ̀ zɔ́k kinii, o be  Israɛl  dɔka nyɛmna, in wa a̧a̧ nɛ ŋgai nyɛmna mbɛt. ","A̧ tɔ̧ɔ̧ ha̧ o bíí kɔ̧-a̧: «Ɛ̀nɛ̀ zɔ́k kinii, o be  Israɛl  dɔka nyɛmna, in wa a̧a̧ nɛ ŋgai nyɛmna mbɛt. ",Ma ke sha mbelia ŋkɛ: «Newe mə ka Israyɛl keyate ya kwele kwele ba'a kezhɛrenji berete ma ke gheɓəmə. ,"AÀ kal wii jar äen wo ga: Ko wee ëa, jar Israyel wo patala ngaäa debañ de dañ naa, wo de eegre de dañ naa lay. "
EXO.1.10," Allons ! Prenons des précautions contre lui, de peur qu'il ne s'accroisse, et que, une guerre survenant, il ne se joigne à nos ennemis pour nous combattre, et ne sorte ensuite du pays."" ","Come on, let us deal wisely with them; lest they multiply, and it come to pass, that, when there falleth out any war, they join also unto our enemies, and fight against us, and so get them up out of the land.","Tuɗaygiya, laygi law ma yal tisiya; nay ma hinsi biya ŋol nalaɗi, kay hay li ma duur coowana, nisi ɗawn ma gi dirsi kuɗ sa gawta, nisi ɗawn ma duraya, bugolda nisi ma kal goy hay nagata vaya. ","zakan bi bôndane feʼe ya séʼé tañ bôte jab é bo te beta bo abui. Amu nge bita bia kui, be ne lat a besiñ bangan a wosane bia, be suʼulane kôlô nge nyoñe si jangan. ","Anja i gam wer ɓa a yam kahana mata. Da ani vurum a gi le na, a sa jumom ng'avi mesene ndrahay, a sa kiɗam ndra, a sa pulaka hirwuy hana.» ","Sey en keɓa dabare ngam haɗugo nde ɗuuɗugo. Ngam to nde ɗuuɗi, to konu waɗi, nde hawtan bee konne'en meeɗen, nde haɓan bee meeɗen, nde wurtoto lesdi. ” ","Sey en keɓa dabare ngam haɗugo nde ɗuuɗugo. Ngam to nde ɗuuɗi, to konu waɗi, nde hawtan bee konne'en meeɗen, nde haɓan bee meeɗen, nde wurtoto lesdi. ” ","Wen hegɔ ɛ̀ɛ̀ kíí yuwar mɔ n’ɛɛ tɛ de in wa, ká wa tɛɛ dɔk siti. Sɛn tɛ ŋgimbi biro wen ka wa tɛɛ ndaɗi in o wisɛn k’ɛɛ bi nɛ ɛɛ, ɓɛɛ wa gboo tɛ nu k’ɛɛ yak.»  ","Wen hegɔ ɛ̀ɛ̀ kíí yuwar mɔ n’ɛɛ tɛ de in wa, ká wa tɛɛ dɔk siti. Sɛn tɛ ŋgimbi biro wen ka wa tɛɛ ndaɗi in o wisɛn k’ɛɛ bi nɛ ɛɛ, ɓɛɛ wa gboo tɛ nu k’ɛɛ yak.»  ","Megela ma zelete ntsehwele kefɛa hɛ keya mə. Ma kemenete geva mpa ne, katejikə geva hɛ le ka ghema ta ɓəmə yitea gheɓəmə ba'a kateslənji hɛ te hɛɗi nya.» ","Patala naa see, naa joñ wee ëeñ go see äaara pel bole. Naa dig faage jawge äaaran go, nen maga tiga durgi po ur wurpo laybla aà tay wo de jar hee naan wo ma dur naa, day blam äe saara laa ge go äil sir no. "
EXO.1.11," Les Egyptiens établirent donc sur Israël des chefs de corvée, afin de l'accabler par des travaux pénibles. C'est ainsi qu'il bâtit des villes pour servir de magasins à Pharaon, savoir Pithom et Ramsès. ","Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities, Pithom and Rameses.","Nisi tun sum sara kisiya kay lisi lasi, sum nisin tosi sutaysiya hiɗi lop ma nekŋa. Ki kayn nala nisi in hoyok-ziyn Pitom hiɗi Ramses, ki feera ma ŋom slena vi Farawn nala. ",Ane be nga telé be bivet bisaé bitibelaʼa na bi ve be bisaé bi ne ayaé ya bo. Ane be nga ve be ésaé ya lôñe Faraon bitisone ya naane akum e Pitom a e Ramzés. ,"Dar Eziptehey a vulaka taŋ buy ngi slrahay mitakˀay, ɓa a vusoko taŋ ti slra mitakˀay, Israyeley a ndiraka walahay Pitom ati Ramses ngi wi vu ti gwat ngi buy madiɗa ngi Eziptehey. ","Misra'en laatini Isra'iila'en maccuɓe, ndarni kaliifa'en dow maɓɓe ngam torrugo ɓe bee kuugal caatuŋgal. Isra'iila'en nyiɓani Firawna berniiji cigorɗi ɗi'i: Pitom e Ra'meses. ","Misra'en laatini Isra'iila'en maccuɓe, ndarni kaliifa'en dow maɓɓe ngam torrugo ɓe bee kuugal caatuŋgal. Isra'iila'en nyiɓani Firawna berniiji cigorɗi ɗi'i: Pitom e Ra'meses. ","Wa ee o ŋga wi-zɔk-tom zu o be  Israɛl , wen baa ŋgai kɔ-wa. Nɛ́ hegɔ a̧ wa mboo nɛ o gasa ye-a-mɔ wen wannu Egiptɛ. Nin o ye nɔ‘i nɛ Pitɔm in Ramsɛs. ","Wa ee o ŋga wi-zɔk-tom zu o be  Israɛl , wen baa ŋgai kɔ-wa. Nɛ́ hegɔ a̧ wa mboo nɛ o gasa ye-a-mɔ wen wannu Egiptɛ. Nin o ye nɔ‘i nɛ Pitɔm in Ramsɛs. ","Tagha gɛ, pa ka Ɛzhipte tsehave mbeli nyi te ghə kezha sa nda yaka ke ka Israyɛl le slene berete. Tsetse menete geva ŋkɛ nda ŋate yɛ meleme ta Pitom le Ramsɛs hɛ kezha bete wəshi kezeme ta Farawon. ","AÀ ko do kay no so mono, kal kañ wañre joñre ma de dole wo pel äaara, kañ joñre ma de gaali ne hara ti ma gay coo äaara de koëkoëe. Diñ do kay nono ga jar Israyel joñ wo nen boo äi leege ma Pitom wo de Ramses, ga hay diñ ngeel lag feçeçre ma Farawoñ mono. "
