livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
EZK.1.1," Et la trentième année, au quatrième mois, le cinquième jour du mois, comme j'étais parmi les captifs, près du fleuve Chobar, les cieux s'ouvrirent et je vis des visions de Dieu. ","Now it came to pass in the thirtieth year, in the fourth month, in the fifth day of the month, as I was among the captives by the river of Chebar, that the heavens were opened, and I saw visions of God.","Hay busata dok-ɦidita, hay buurta vaslta vi til ma fiɗina, nan ay colay zaw jar sa yaway goy gorvona, goboy hiɗi niy-lumna Kebar, hay na'ta dukalawn mal goyo. Lawna ɗekan slen kiranu. ","A nga bo na, mbu mewôm melale, ngone nyini é too melu metan, valé me too nsamba bekee minkôm, mfôm ôsôé Kébar, yôb e nga yombô a me nga yene miñyenane ya be Zambe. ","Ngi hin zlum, ngi kiya mumufaɗ naŋ, ngi vi mizli ngir makir naŋ na, naɓa ya Ezekiyele, i ro a mi mizaw Kebar, a wuzla mizli mijahay misi a ruwuy mulaka. Akẽh na, muŋ a wucuh wucah, i pur gwat ngi Buymisemuŋhoy ti kleŋ. ",__Error__,__Error__,"Tɛ ɓu-taar pɛ, tɛ naar fio-zɛ, tɛ mɔɔrɔ ɔɔ-zɛ, mi duka so mgbara o bara-biro ká̧ zaŋ Kebar mɛ. Yiwese hu̧i̧a̧, ɓɛɛ Sɔ̧ hɔ zu ha̧‘m.  ","Tɛ ɓu-taar pɛ, tɛ naar fio-zɛ, tɛ mɔɔrɔ ɔɔ-zɛ, mi duka so mgbara o bara-biro ká̧ zaŋ Kebar mɛ. Yiwese hu̧i̧a̧, ɓɛɛ Sɔ̧ hɔ zu ha̧‘m.  ","Ma mbe va kwa mahekenemsə, mbe tere kwa wəfaɗe, te hɛ kwa mcɛfe, vəa ŋkwa nya nza 'ya te tepe ta mbeli nyi fəhwe mbeli kaka mavashi mɛa hələa Kɛbar ne, pa ŋkwa kedzeme ghweme ghwenemte geva, pa Shala ncɛte ɗa geva. ","Nen kiñgi ma de do swa'no, nen naw dwee äil few ma de naan mono, ti ngeel sen ndi hay yoo jar maga aè hay hoo ra wo go dañgay jag maarog Kebarn mono. Ngeel ma ciñ kal bulgi go, Baa kal ndar nen feçeçre mbuëgi wo me nene. "
EZK.1.2," Le cinquième jour du mois, -- c'était la cinquième année de la captivité du roi Joachin, -- ","In the fifth day of the month, which was the fifth year of king Jehoiachin's captivity,","Hay buurta vaslta vi tilla, kayni hay busata vaslta ta nisi vi Yoyakin gorvo'o. ","Mbu tane ya nkeane minkôme njô bôte Yôyakin, ngon é too melu metan, ","Naɓa i vi muzlum naŋ, zle ti taŋ mijaka buy Zoˀakiŋ nga ruwuy mulak. ",__Error__,__Error__,"Ŋgimbi'i, ɓɛɛ ká wannu Jɔakim duka bara-biro pɛ mɔɔrɔ kaɗi; ɓɛɛ nɛ tɛ mɔɔrɔ ɔɔ-zɛ‘i,  ","Ŋgimbi'i, ɓɛɛ ká wannu Jɔakim duka bara-biro pɛ mɔɔrɔ kaɗi; ɓɛɛ nɛ tɛ mɔɔrɔ ɔɔ-zɛ‘i,  ",Va shɛ ya kakwa mcɛfe ta va ghala kwa kesehwe meghe Zhowakim mbeli. ,"Wur naw ma de dwee nen fewn mono, sen diñ kiñgi ma de dwee maga wañ Yoyakin wo go de baage mono. "
EZK.1.3," la parole de Yahweh fut adressée à Ezéchiel, fils de Buzi, prêtre, dans le pays des Chaldéens, prés du fleuve Chobar, et là, la main de Yahweh fut sur lui. ","The word of the  Lord  came expressly unto Ezekiel the priest, the son of Buzi, in the land of the Chaldeans by the river Chebar; and the hand of the  Lord  was there upon him.","Ma-Vatɗina di yoboyn tam Ezekiyel goora vi Buzi mul-ma-ɗifinna, hay nagata vi sa Kaldeena, goboy hiɗi niy-lumna Kebar. Kayni hay li ma Ma-Vatɗina kal donota valam hay Ezekiyel.","nde ajô Nti e nga litibane bʼEzékiél, e mone Buzi ntuni e si Bekaldééñ, mfôm ôsôé Kébar a valé nye wo Nti ô nga too be nye.","Naŋ kine, ya Ezekiyel, mangal ngi masay,Buzi, ya a mi mizaw Kebar, angi hirwuy ngi Babiloŋhoy, Bumbulvuŋ a ɓiy ɓi naŋ le da ya. Gidaŋ ngi Bumbulvuŋ a so angi ya a diga. ",__Error__,__Error__,"a̧ GASA WAN tɔ̧ɔ̧ nɛ wen ha̧‘m Ezekiɛl wi-ɗafi-sɔ̧, bem ko Buzi sɛn ká̧ zaŋ Kebar tɛ nu ko o be Kaldee. Nɛ fara'i a̧ GASA WAN Sɔ̧ yora nɛnɛ ɗoŋ-am.","a̧ GASA WAN tɔ̧ɔ̧ nɛ wen ha̧‘m Ezekiɛl wi-ɗafi-sɔ̧, bem ko Buzi sɛn ká̧ zaŋ Kebar tɛ nu ko o be Kaldee. Nɛ fara'i a̧ GASA WAN Sɔ̧ yora nɛnɛ ɗoŋ-am.","Pa Mahwətə gezete ɗa ghena, 'ya Ɛzɛkiyɛl, wəzege ta nde dzeghe Shala Bəwzi, mɛa hələa Kɛbar, te hɛɗia ka Babilone. Tagha ne, pa berete ta Mahwətə dzeghənyɛ kənəa 'ya.","Manwur kal sii waçaçre äen ne Esekiyel je ni Busi, je sië jag no, äi sir ni jar kalde wo jag maarog Kebare. Diñ ti ngeel sen ni, ga do Manwur kal joñge de äe."
EZK.1.4," Je vis, et voici qu'un vent de tempête venait du septentrion, et une grande nuée, et une masse de feu qui resplendissait alentour; et au milieu d'elle on voyait comme l'aspect d'un métal plongé dans le feu. ","And I looked, and, behold, a whirlwind came out of the north, a great cloud, and a fire infolding itself, and a brightness was about it, and out of the midst thereof as the colour of amber, out of the midst of the fire.","Nan ɗuw goy na kayni, simeɗ ma biw jiw-jiwna may hay gal ma gaan pa, ɗugul ma ŋolo hiɗi kuta ta moki tokolokka, na' ka fo haraŋa goy hay gala' kafe, jar-kuta na'ta ka wile'e ki wayta ta tuwa' goray wek-wekka nala, wileta ka kali goy jar kuta pa. ","Me mbe me fombôʼô a yene na: Évuñulu ôkôs é soʼo akôé é dutuʼu beta nkut , nduan é too wô zañ; éfufub é nga bômane nkute te ézezañ yʼété ki é boʼo ngeké anʼékpwembé ja faé. ","I ra pur hiri: keɗ na, burkataŋ ara so tir li vay muŋ, gazlavay misi vu njilim njilim hindiˀille aseˀeŋ, li ciɗak ciɗak, gun hirnga ngi gazlavay tuwa. Gwat kaɓa vu matiɓi a wuzla, jiriy jiriy kaɓa ɓiri mawucuɗu. ","Mi laari, ndaa henndu saatundu ɗon wara diga woyla, non boo ruulde mawnde bee yiite huɓɓanŋge. Jayŋgol taari ruulde man. Haa caka yiite, woodi ɗelkoojum bana ɗelko njamndi. ","Mi laari, ndaa henndu saatundu ɗon wara diga woyla, non boo ruulde mawnde bee yiite huɓɓanŋge. Jayŋgol taari ruulde man. Haa caka yiite, woodi ɗelkoojum bana ɗelko njamndi. ","Kà‘m tɛ zɔk mɔ wó, ɓɛɛ gba ŋga hara-búk nɛ mɔ'ɔ nɛ ɓoɓi nɛ war ŋgɔn mɛ‘i tɛnɛ'ɛ, in gba hama bu-zan in leɓe-wee nɛ sɔi in gba sa̧a̧mɔ nɛ duk kɔ‘i tok nɛnɛ lak-lak, ɓɛɛ ŋma mɔ hee yi wee-ndɛrɛ nɛ nɔ̧́í̧ ga, gbo nɛ see mɔ‘i daŋnɛ. ","Kà‘m tɛ zɔk mɔ wó, ɓɛɛ gba ŋga hara-búk nɛ mɔ'ɔ nɛ ɓoɓi nɛ war ŋgɔn mɛ‘i tɛnɛ'ɛ, in gba hama bu-zan in leɓe-wee nɛ sɔi in gba sa̧a̧mɔ nɛ duk kɔ‘i tok nɛnɛ lak-lak, ɓɛɛ ŋma mɔ hee yi wee-ndɛrɛ nɛ nɔ̧́í̧ ga, gbo nɛ see mɔ‘i daŋnɛ. ","Ma newe 'ya sha ŋkwa ne, dəkwə 'ya te sefə nya wəba nya kesawa laka bela kwa gwela le ləmbə nya wəba nya tse ghwə hwe. Dzasle ləmbəa shɛ kwa waŋe. Kala lɛ nya keta ta kwa ghwə ɓele ŋkwa nya te tepe ta ŋkɛ. ","Ndi de ko nene, kona diñ maga degurleege ma nen äañ gloñhwede kal naage le, swaare ma kluu le de gaëge day car wuu nen de tee ngeel go ti caw. Lerge ngeel po hay yañ sagge ni day kal le go nen wuu no. "
EZK.1.5," Et au milieu je vis la ressemblance de quatre êtres vivants, et voici quel était leur aspect: ils avaient une ressemblance humaine. ",Also out of the midst thereof came the likeness of four living creatures. And this was their appearance; they had the likeness of a man.,"Goy jar kuta pa muuriyan fiɗi kali goyo, nam sli sana nala.",Betite benyin be nga yené ézezañe ya nkut ôte be funaʼane bôt.,"Keɗ ma na, gwat kaɓa gwat misi titirihey mufaɗ a wuzla ma, a bam vu ati mizli titrahay. ","Haa caka cak woodi tagle geete nayi, ɗe nanndi bee neɗɗo . ","Haa caka cak woodi tagle geete nayi, ɗe nanndi bee neɗɗo . ",Ɓɛɛ nɛ mɔ'ɔ n'am zɔka ŋma mɔ naar nɛ gbo nɛ yi mɔ‘i tɛnɛ nɛ hɔɔ ŋmaa in bíí.  ,Ɓɛɛ nɛ mɔ'ɔ n'am zɔka ŋma mɔ naar nɛ gbo nɛ yi mɔ‘i tɛnɛ nɛ hɔɔ ŋmaa in bíí.  ,"Ma te tepe ta ŋkɛ ne, wəfaɗe kweci wəshi kala wəshi nyi nza mpi hwe. Kala pa ta wəndə ŋelɛ pa ta nci. ","Ti gisiëgi äe mo pa no, naèyre kal wo naa nen le ni naa. Ndo ko ra mono, saara de far jar tebere."
EZK.1.6," Chacun avait quatre faces, et chacun avait quatre ailes. ","And every one had four faces, and every one had four wings.",Muuriyan namna ka hiɗi vokom fiɗi fiɗi pet kaw. hiɗi glaŋatam fiɗi fiɗi pet kaw. ,Tit ése yʼété é mbe é beʼe mesu menyin a mefabe menyin. ,"Purla gar na, mihiri ava mufaɗ waɗ kirpasl mufaɗa. ",Tagdi fuu woodi geese nayi e bileeji nayi. ,Tagdi fuu woodi geese nayi e bileeji nayi. ,"Wa kpɔk kpɔk a̧a̧ nɛ saŋa-yí naar naar, in wɔr-ɓaa-wa naar naar mbɛt. ","Wa kpɔk kpɔk a̧a̧ nɛ saŋa-yí naar naar, in wɔr-ɓaa-wa naar naar mbɛt. ","Ma te yayata wəndəa nci ne, wəfaɗe kema ba'a wəfaɗe bidzə. ","Wosela äuy yoo äaara de äañ ma ko nen ti naa naa, de grañ ti ni naa naa lay. "
EZK.1.7," Leurs pieds étaient des pieds droits, et la plante de leurs pieds était comme la plante du pied d'un veau; ils étincelaient comme l'aspect de l'airain poli. ",And their feet were straight feet; and the sole of their feet was like the sole of a calf's foot: and they sparkled like the colour of burnished brass.,"Selem ma gaana lakay ja ɗiger, selem ma tun gaana ki sem goor-putta nala, nam ka wile'e ki wileta vi wayta ta tuwa' gori wek-wekka nala. ","Mebo mab me mbe zôsôô a abo si ya mebo mab é mbe ane di mone nyak, é faék ane nseʼane mvot. ","Sar taŋhaya cir cir. Sar taŋ ngi ɗuv taˀ taˀ a ruwuyo, taŋ kaɓa sar ngi zuŋ sla, a wucuɗam kaɓa ɓiri gaza mukuleɗ kuleɗe. ","Kosɗe maaje darnuɗe cir, jaaɓruɗe maaje laati bana ɗe nyalahol, ɗe ɗon ɗelka bana njamndi mboɗeeri. ","Kosɗe maaje darnuɗe cir, jaaɓruɗe maaje laati bana ɗe nyalahol, ɗe ɗon ɗelka bana njamndi mboɗeeri. ","Ɓɛɛ wa yor nɛ tana-a zeeŋ, sɔ̧ɔ̧ naŋ-wa duk hee sɔ̧ɔ̧ naŋ ndai ga nɛ̀ duk tok nɛnɛ ŋgol-ŋgol hee ndɛrɛ ga. ","Ɓɛɛ wa yor nɛ tana-a zeeŋ, sɔ̧ɔ̧ naŋ-wa duk hee sɔ̧ɔ̧ naŋ ndai ga nɛ̀ duk tok nɛnɛ ŋgol-ŋgol hee ndɛrɛ ga. ","Tiɗiɗia tiɗiɗia jajɛghwa ta nci, kala yɛ cɛpea leve ta sla seɗa ta nci, kaɓayɛ ɓayɛ kala mze kwa ghwə ghwə nya shɛanɛa. ","Äaale äaara de deele, äi coo äaale äaara do äaale weedaèy nono. Day saara car wuu go see do boo dob maga go de korge ceëceë nono. "
EZK.1.8," Des mains d'hommes sortaient de dessous leurs ailes, sur leurs quatre côtés; et tous les quatre avaient leurs faces et leurs ailes. ",And they had the hands of a man under their wings on their four sides; and they four had their faces and their wings.,"Ɓalam ka ki ɓam san nala gaa kuɗ gilaŋatamu, hay galam ma fiɗin pete, nam fiɗi pet ka hiɗi gilaŋatamu, hiɗi vokomu kaw. ","E mekuʼu mabe menyin, be nga beʼe mo me môt e mefabe si a benyini be nga beʼe mesu map a mefabe map. ","Haŋ ngi mbur asi kirpaslaya purla purla mufaɗ taŋ. Haŋ tayna, pulaˀ pulaˀ ngir tisi gazlavay mufaɗ taŋ, kaɓa mihiri taŋhay ati kirpasl taŋhay vuna ya. ",Ɗe ngoodi juuɗe bana ɗe yimɓe les bileeji maaje nayi haa buttuli maaje nayi. Tagle nayi fuu ngoodi geese e bileeji bana ni'i: ,Ɗe ngoodi juuɗe bana ɗe yimɓe les bileeji maaje nayi haa buttuli maaje nayi. Tagle nayi fuu ngoodi geese e bileeji bana ni'i: ,"O er-wa hee er bíí ga a̧a̧ ɗɔɔ wɔr-ɓaa-wa, ɓɛɛ er-wa in ɓaa-wa ká bá nɛ̀ sɔnti-wa naar lɛŋ zika zɔk mɔ tan ti wa dam mgbii-zan naar. ","O er-wa hee er bíí ga a̧a̧ ɗɔɔ wɔr-ɓaa-wa, ɓɛɛ er-wa in ɓaa-wa ká bá nɛ̀ sɔnti-wa naar lɛŋ zika zɔk mɔ tan ti wa dam mgbii-zan naar. ",Dzeve ta wəndə ŋelɛ ya mbeyitere yayata bidzəa nci. Jive laka bela nyi wəfaɗe zhɛreghe geva dzevea shɛhɛ kala yɛ kema ta nci ba'a yɛ bidzəa nci. ,"Do äaara hay diñ jar tebere wo, de toçëge wer grañ äaara ma naa naa wo no. AÀ wo naa äuy ma honla äuy hay de äañ ma ko nen äe, de grañ äe lay. "
EZK.1.9, Leurs ailes étaient jointes l'une à l'autre; ils ne tournaient point en marchant; chacun allait devant soi. ,Their wings were joined one to another; they turned not when they went; they went every one straight forward.,"Gilaŋatamu ka jaɓay vun tuwamu, hena tam hena, hay li ma nam ka tuɗa nam may cal goyɗi, marige kaw ka tuɗ vokom ɗigere. ",Mefabe map me mbe nlatan dina a di avok; tit ése yʼété é mbe é wuluʼu tetele ôsu vié te fombô li nge li. ,"Mi ngi kirpasl taŋhay ada zliram ar wala taŋ. Gwat misi titiri gar aru cir a mbuŋ naŋ si, manja a mbiɗi neˀ le. ","Bileeji maaje meemindiri. To ɗe ɗon njaha, walaa haaje ɗe ngaylito, tagdi fuu ɗon tiiti cir gal yeeso muuɗum. ","Bileeji maaje meemindiri. To ɗe ɗon njaha, walaa haaje ɗe ngaylito, tagdi fuu ɗon tiiti cir gal yeeso muuɗum. ","Nú wɔr-ɓaa-wa hɔŋ nɛ nu ŋmaa; kà wa kur mɛ nɛ nɔ, wa zik tɛ na, kóó o ndé nɛ nɔ tan sɔnti wi fara n'aa e zu si sɛnɛ‘i.","Nú wɔr-ɓaa-wa hɔŋ nɛ nu ŋmaa; kà wa kur mɛ nɛ nɔ, wa zik tɛ na, kóó o ndé nɛ nɔ tan sɔnti wi fara n'aa e zu si sɛnɛ‘i.",Kakwaɗe kwaɗe ghəa nci mɛa bidzəa nci. Tiɗiɗi dzeghwa yayata wəndəa nci te kema kaɗema kazhɛre geva te sebe. ,"Grañ äaara hay de yiñgi see kaçaçra. AÀ hay bay wo ngië nen ma seege wa, ama wosela äuy see wo pel äe de deele. "
EZK.1.10," Et voici quelle était la ressemblance de leurs faces: une face d'homme par devant, une face de lion à droite à tous les quatre, une face de taureau à gauche à tous les quatre, et une face d'aigle à tous les quatre. ","As for the likeness of their faces, they four had the face of a man, and the face of a lion, on the right side: and they four had the face of an ox on the left side; they four also had the face of an eagle.","Tam jifna vi vokom kayni, nam fiɗi pet ka hiɗi vokŋa vi sana, nam fiɗi pet vokom ki zlon nala hay gal ma jufna, nam fiɗi pet ka hiɗi vokŋa vi putna hay gal gulu, nam fiɗi pet ka hiɗi vokŋa vi bakŋa may. ",Mesu mabe mese me nga funane di môt; bese benyini be nga beʼe asu ngbwengbwem mbo nnôm di nyak mbo nga a asu ndôé e be benyini bese; ,"Mihiri taŋhaya, a bam vu ati ngi mbur titra. Gwat mumufaɗ tayna, purla gar na, tir vay hazumo, i mihiri ngi mobor, tir vay gula, i mihiri ngi gusoŋ, yo mufaɗ taŋ, taŋ ti mihiri ngi mulu. ","Geese maaje nanndi bee yeeso neɗɗo. Haa wakeere nyaamre, tagle nayi fuu ngoodi geese bana yeeso mbarooga, haa wakeere nannde boo, bana yeeso ngaari kalhaldi, ɗe nayi fuu ɗe ngoodi yeeso bana ngo dutal . ","Geese maaje nanndi bee yeeso neɗɗo. Haa wakeere nyaamre, tagle nayi fuu ngoodi geese bana yeeso mbarooga, haa wakeere nannde boo, bana yeeso ngaari kalhaldi, ɗe nayi fuu ɗe ngoodi yeeso bana ngo dutal . ","Saŋa yí-wa mɛ ti hɔɔ ŋmaa in saŋa-yí bíí, wan mɛ wiiko hɔɔ ŋmaa in saŋa-yí dila, wan mɛ gale hɔɔ kɔ‘i ŋmaa in saŋa-yí ndai, ɓɛɛ wan mɛ ɗoŋ hɔ ŋmaa in saŋa-yí zua.  ","Saŋa yí-wa mɛ ti hɔɔ ŋmaa in saŋa-yí bíí, wan mɛ wiiko hɔɔ ŋmaa in saŋa-yí dila, wan mɛ gale hɔɔ kɔ‘i ŋmaa in saŋa-yí ndai, ɓɛɛ wan mɛ ɗoŋ hɔ ŋmaa in saŋa-yí zua.  ","Kema ya wəfaɗe te yayata wəsə nya nza shɛ mpi hwe: kema ta wəndə ŋelɛ ya kwa kema, kema ta nivɛrə ya laka bela kwa zeme, kema ta mca ya laka bela kwa gwela ba'a kema ta zele ya kwetere wəmbə. ","Ama ma äañ ma ko nen äaara maga ndo kon wo haç' mono, saara hay äuy de nen de mañ je tabay. AÀ wo naa äuy nen ma de mañ mingir wo ti äañ ware, aà wo naa äuy nen ma de mañ daèy wo ti äañ guuri, aà wo naa äuy, nen ma lan wo do beg nono. "
