livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
EZR.1.1," La première année de Cyrus, roi de Perse, pour accomplir la parole de Yahweh, qu'il avait dite par la bouche de Jérémie, Yahweh excita l'esprit de Cyrus, roi de Perse, qui fit faire de vive voix et par écrit cette proclamation dans tout son royaume : ","Now in the first year of Cyrus king of Persia, that the word of the  Lord  by the mouth of Jeremiah might be fulfilled, the  Lord  stirred up the spirit of Cyrus king of Persia, that he made a proclamation throughout all his kingdom, and put it also in writing, saying,","Hay busata jewta vi Sirus mulla vi Persiya, kay hob vun yoboyna vi Ma-Vatɗina ma nam dum hay vun Yeremiyasna, Ma-Vatɗina zliy ŋusta vi Sirus mulla vi Persiya kulo'o, nam hin siwelda hiɗi ɗot tam sum sa hay mulda valam kafna ala: ","Mbu ôsu Sirus njô bôte ya Perse a nga taté jôô, nalé ate ajô Nti a nga jô a anyu Yérémi nkulu mejô da ye tôéban, Nti a nga fôʼô Sirus njô bôte ya Perse nleme ya lôme tyiñ a tili fe kalate éjôé jé ése été na: ","Ar vi mudumbuŋ ngi Sirus mazum buy a Perse na, ɓa gwat Bumbulvuŋ miɓa zleˀe ti balam mijiviɗ Zeremi a gi muduba na, Bumbulvuŋ a ca wuluk ani da Sirus, buy Perse, ɓa a til di mi, yo ɓa a toho ti tuh toh toh da mizli ngi si ruwuy naŋhay gar ma. ","Nder nduuɓu Koores, laamiiɗo Persiya, aranu, Jawmiraawo anniyi hebbitingo wolde muuɗum nde o wi'no bee hunnduko annabi Yeremiya, o ummini ɓernde Koores haa o neldi wooynaandu nder laamu maako, bee hunnduko e binndol fuu, wi'ugo : ","Nder nduuɓu Koores, laamiiɗo Persiya, aranu, Jawmiraawo anniyi hebbitingo wolde muuɗum nde o wi'no bee hunnduko annabi Yeremiya, o ummini ɓernde Koores haa o neldi wooynaandu nder laamu maako, bee hunnduko e binndol fuu, wi'ugo : ","Sirus ɔɔ so nɛ wan Pɛrsɛ, ɓɛɛ nɛ mɔ'ɔ nɛ Sɔ̧ ha̧a̧ taamɔ ha̧ a̧ mɛ yɔr wen’ɛ tɛ kuti pɛ ɔɔ-wan kɔ̧-a̧‘i ha̧ o bíí nù lɛŋ mɛ tɔr, ha̧ wen nɛ GASA WAN tɔ̧ɔ̧ so nɛ nú  wi-tɔ̧-wen  oi nú Sɔ̧ Jeremii mɛ hɔ gba̧a̧.  ","Sirus ɔɔ so nɛ wan Pɛrsɛ, ɓɛɛ nɛ mɔ'ɔ nɛ Sɔ̧ ha̧a̧ taamɔ ha̧ a̧ mɛ yɔr wen’ɛ tɛ kuti pɛ ɔɔ-wan kɔ̧-a̧‘i ha̧ o bíí nù lɛŋ mɛ tɔr, ha̧ wen nɛ GASA WAN tɔ̧ɔ̧ so nɛ nú  wi-tɔ̧-wen  oi nú Sɔ̧ Jeremii mɛ hɔ gba̧a̧.  ","Ma te kwa ghate ta va ta Sirəs, meghea ka Pɛrse mbe meghe ne, pa Mahwətə zəzəte kayipə ghena nya gezeke ŋkɛ laka mɛa nde mɛ ŋkwa Zhɛrɛmi kadzawa. Pa ŋkɛ vame zəzə mbe mehele ta Sirəs kezha zlapete ŋkɛ te hɛɗia ŋkɛ ba'a kezha rafete palepa kala nya: ","Ti kiñgi ma tañgu ga Sirus wañ Perse kol ti wañ mono, Manwur raw bag jag waçaçre äe maga se hay waçaçn ne Jermi jag go. Manwur raw buñ ti Sirus wañ Perse go, se raw waçaçge wo go äil sir äen äuy ga 'waa äay de jag lay, yer lay gano: "
EZR.1.2," ""Ainsi dit Cyrus, roi de Perse : Yahweh, le Dieu du ciel, m'a donné tous les royaumes de la terre, et il m'a dit de lui bâtir une maison à Jérusalem, qui est en Juda. ","Thus saith Cyrus king of Persia, The  Lord  God of heaven hath given me all the kingdoms of the earth; and he hath charged me to build him an house at Jerusalem, which is in Judah.","Kayni ti dita vi Sirus, mulla vi Persiya, Ma-Vatɗina Lawn ma dukalawna vulan mulda ta gaa kay nagatawa kafe, nam vulan lopna kay nan ma inim ziyna hay Yerusalem ta ka hay Yuda. ","Avale di nde Sirus njô bôte ya Perse a jô na: Nti, Zambe a ne yôp, a veya ma bijôé bise ya si a a veya ma ésaé ya lôñe nye nda e Yérusalém a ne e Yuda. ","Sirus, buy Perse, a ɓi ani: «Ya Siruso, zumabuy ngi si ruwuy gar na, Bumbulvuŋ, Buy muŋ, a vuliy di le da ya, yo naŋ ti hirnga naŋ vuna a ɓiy, ɓa i ra ndiraŋ hay a Zeruzalem, hirwuy Zuda. ","“Ndaa nii Koores, laamiiɗo Persiya wi'i: Jawmiraawo Allah mo asama, hokki yam laamuuji duniyaaru fuu. Kaŋko o umri yam mi nyiɓana mo haykaliiru haa Urusaliima nder lesdi Yahuuda . ","“Ndaa nii Koores, laamiiɗo Persiya wi'i: Jawmiraawo Allah mo asama, hokki yam laamuuji duniyaaru fuu. Kaŋko o umri yam mi nyiɓana mo haykaliiru haa Urusaliima nder lesdi Yahuuda . ","Wen ko Sirus wannu Pɛrsɛ nɛ mɔ'ɔ: «GASA WAN Sɔ̧ nɛ a̧a̧ yiwese ha̧a̧ mɔɔ-wan zu nù lɛŋ ha̧‘m. A̧ tɔ̧ɔ̧ a̧‘m mbó Tua ha'i sɛn Jerusalɛm, nù Juda.  ","Wen ko Sirus wannu Pɛrsɛ nɛ mɔ'ɔ: «GASA WAN Sɔ̧ nɛ a̧a̧ yiwese ha̧a̧ mɔɔ-wan zu nù lɛŋ ha̧‘m. A̧ tɔ̧ɔ̧ a̧‘m mbó Tua ha'i sɛn Jerusalɛm, nù Juda.  ","«Wa nya ghena nya gezete Sirəs, meghea ka Pɛrse nya: Nahe Shala Mahwətə nya pelɛ ghweme keveyi ka meghe nyi te hɛɗi pɛtɛ mbe dzeve ta ɗa. Nahe ŋkɛ kendeke ɗa hweŋkwa kaŋa nda ghɛ mbe Zhɛrəzalɛm, te hɛɗia Zhəwda. ","Mokay diñ fen maga Sirus wañ Perse waçaçn mono: Manwuri, Baa ma ciñn haç wañre ma ti tamsirn wo go ne ndi äuy, day se raw riñ ndi ga ndi mo boo tiñ ne se Jerusalem wo ti prog ma Juda no. "
EZR.1.3," Qui d'entre vous est de son peuple? Que son Dieu soit avec lui, et qu'il monte à Jérusalem, qui est en Juda, et bâtisse la maison de Yahweh, Dieu d'Israël! C'est le Dieu qui est à Jérusalem. ","Who is there among you of all his people? his God be with him, and let him go up to Jerusalem, which is in Judah, and build the house of the  Lord  God of Israel, (he is the God,) which is in Jerusalem.","Jargi tani sa ma ir vi sumuna valamu mi gige? la ka'a Ma-Vatɗina valamu li hiɗi namu, hinim tuɗ hay Yerusalem  ta ka hay Yuda, kay in ziyda vi Ma-Vatɗina, Lawna vi Israyel. Mi Lawna ma ka hay Yerusalem. ","Za ya be mia a ne môte ya e bôte béé? Zambe wé a tabeʼe e be nye a môt ate a ntoo ve bet e Yérusalém a ne e Yuda a lôñe ndaa Nti e Zambe Israél, e Zambe a ne e Yérusalém. ","Ko wa gar a wuzla kumo, mubo ti wuzla mizli naŋhay gar na, anja Buymisemuŋ naŋ a ndir ati naŋ, a mi nga Zeruzalem, hirwuy Zuda, nga ndira hay da Bumbulvuŋ Buymisemuŋ ngi Israyele. I Buymisemuŋ misi a Zeruzalem! ","Moy caka mooɗon ɗon nder ummaatoore Allah? Allah wonda bee maako. Sey o yaha Urusaliima nder lesdi Yahuuda, o nyiɓana Allah Jawmiraawo mo Isra'iila teddinta haykaliiru. Kaŋko woni Allah haa Urusaliima. ","Moy caka mooɗon ɗon nder ummaatoore Allah? Allah wonda bee maako. Sey o yaha Urusaliima nder lesdi Yahuuda, o nyiɓana Allah Jawmiraawo mo Isra'iila teddinta haykaliiru. Kaŋko woni Allah haa Urusaliima. ","GASA WAN a̧ dúk in'nɛ̀ɛ́ lɛŋ nɛ ya nɛ́ dukbíí kɔ̧-a̧. Ɛ̀nɛ̀ dáŋ si Jerusalɛm nù Juda, ɓɛɛ ɛ̀nɛ̀ mbó Tua ko GASA WAN Sɔ̧ ko  Israɛl , Sɔ̧ nɛ duk sɛn Jerusalɛm. ","GASA WAN a̧ dúk in'nɛ̀ɛ́ lɛŋ nɛ ya nɛ́ dukbíí kɔ̧-a̧. Ɛ̀nɛ̀ dáŋ si Jerusalɛm nù Juda, ɓɛɛ ɛ̀nɛ̀ mbó Tua ko GASA WAN Sɔ̧ ko  Israɛl , Sɔ̧ nɛ duk sɛn Jerusalɛm. ","Yayata wəndə nya kenza kawəndə ŋkɛ hwa gheyɛ ne, pa Shala ta ŋkɛ nza le, dzeme Zhɛrəzalɛm ŋkɛ te hɛɗia Zhəwda kazhɛne ŋa ghɛa Shala Mahwətə ta ka Israyɛl, gheŋkɛ Shala nya pelɛ Zhɛrəzalɛm. ","Wose yoo äay diñ je ma yoo jar äen wo la? Daga Baa äen mo hay de äe day aà mo raw wo Jerusalem maga wo ti prog Juda mono, mo wo boo tiñ mani Manwuri, Baa ma Israyel no. AÀ diñ Baa maga wo Jerusalem mono. "
EZR.1.4," Qu'à tous ceux qui restent de Juda, en tous les séjours où ils demeurent, les gens de ce séjour viennent en aide par de l'argent, de l'or, des effets et du bétail, avec des dons volontaires, pour la maison de Dieu qui est à Jérusalem."" ","And whosoever remaineth in any place where he sojourneth, let the men of his place help him with silver, and with gold, and with goods, and with beasts, beside the freewill offering for the house of God that is in Jerusalem.","Hay liyn kaf ma caw sumun ma hinina ka lakay hayna, sum sa hay liyna ma vulsi doorota, ora, slena hiɗi farayna, hiɗi vulda kuɗ minda kaw kay ziyda vi Lawna ta ka hay Yerusalem.","E vôm ase ba bese be ne mebukaʼa ya bôte bé be too, bôte ya valé ba ye ve be argent, or, akum, mimbam biyem a mimvean ane nlem wo nyeʼe asu nda Zambe é ne e Yérusalém.","Ar li misi Israyeley mindiram le ara a ra gar na, anja mizli ngi digahay a jinaka mizli mamam na, ti ɓiri bara, ɓiri tapasl tapasl, zlili mekelemey, ginew, waɗ gwat taŋ mavulaka ngi mongoy taŋ vur hay ngi Buymisemuŋ misi a Zeruzalem na!» ","Haa Yahuuduujo luttuɗo woni fuu, sey heeddiɗɗiraaɓe mum mballita mo bee cardi e kaŋŋeeri e jawdi e dabbaaji e caahuuji goɗɗi ngam haykaliiru Allah haa Urusaliima.”","Haa Yahuuduujo luttuɗo woni fuu, sey heeddiɗɗiraaɓe mum mballita mo bee cardi e kaŋŋeeri e jawdi e dabbaaji e caahuuji goɗɗi ngam haykaliiru Allah haa Urusaliima.”","Fara nɛ oi dukbíí ko GASA WAN a̧a̧ sɛnɛ lɛŋ, o bíí fara nɔ‘i a̧ há̧ kànà bu-mbɔi, lɔr, o de mɔ, o mɔ-dai, in ha̧a̧mɔ nɛ ta-tɛ wen Tua ko Sɔ̧ nɛ a̧a̧ Jerusalɛm.»","Fara nɛ oi dukbíí ko GASA WAN a̧a̧ sɛnɛ lɛŋ, o bíí fara nɔ‘i a̧ há̧ kànà bu-mbɔi, lɔr, o de mɔ, o mɔ-dai, in ha̧a̧mɔ nɛ ta-tɛ wen Tua ko Sɔ̧ nɛ a̧a̧ Jerusalɛm.»","Ma te ŋkwa nyi nza kweci ka Israyɛl ne, pa mbeli nyi te ŋkwa shɛ kakemane hɛ le mze kwa tɛawetɛa, mze kwa tere tere, kweci wəshi ba'a wəshi keseɗa. Pa hɛ ɗave nda kweci wəshi gəmə ke hɛ kezha ghɛa Shala nya mbe Zhɛrəzalɛm.»","Ti ngeel ma honla äuy maga jar äen wo de gwa'ge ni mono, jar ma ti ngeel sen ni mo haç wo solay, boo biñni, feçeçre ma de el wo de horog de fuçy wo de haçge de dage wo ne hara ma joñre tiñ mani Baa maga wo Jerusalem mono."
EZR.1.5," Les chefs de famille de Juda et de Benjamin, les prêtres et les lévites, tous ceux dont Dieu excita l'esprit, se levèrent pour aller bâtir la maison de Yahweh, qui est à Jérusalem. ","Then rose up the chief of the fathers of Judah and Benjamin, and the priests, and the Levites, with all them whose spirit God had raised, to go up to build the house of the  Lord  which is in Jerusalem.","Ki kayn nala, sa ŋulona vi jafna vi Yuda hiɗi Benyamin, muliyan-sa-ɗifinna hiɗi sa Levitna, nisi kaf sa Lawn zliy ŋusta visi kulona yaway kulo'o, kay kal hay nagata, kay in ziyda vi Ma-Vatɗina ta ka hay Yerusalem. ","Nde menda me bôte ya Yuda a Bényamin, betuni a bone be Lévi, ba bese Zambe a nga fôʼô minlem, be nga kôlô si na be ke lôñe nda Nti nje é ne Yérusalém. ","Akẽh na, buy ngi wuzla muyoy ar sukwi ngi Zuda ati ngi Benjameŋ, yo masayay ati levihey, waɗ mizli gar, Buymisemuŋ mica taŋ wuluk ngi ru nga ndira hay ngi Bumbulvuŋ a Zeruzaleme, a jaka jiviɗe, a ram so. ","Baaba-ci'e'en nder le'i Yahuuda e Benyamin e liman'en e Lewi'en, ɓe Allah ummini ɓerɗe maɓɓe fuu, puɗɗi yahugo, nyiɓtugo haykaliiru Jawmiraawo haa Urusaliima. ","Baaba-ci'e'en nder le'i Yahuuda e Benyamin e liman'en e Lewi'en, ɓe Allah ummini ɓerɗe maɓɓe fuu, puɗɗi yahugo, nyiɓtugo haykaliiru Jawmiraawo haa Urusaliima. ","O gasawi nutua ko Juda in o gasawi nù ko Bɛnjamin gú nɛ̀ o wi-ɗafi-sɔ̧ ká bá nɛ̀ o be Levii, ge bíí ge ndé nɛ Sɔ̧ ha̧a̧ taamɔ ha̧ a̧ kura yak mɛ nɛ̀ɛ́ mbo Tua ko GASA WAN nɛ duk sɛn Jerusalɛm. ","O gasawi nutua ko Juda in o gasawi nù ko Bɛnjamin gú nɛ̀ o wi-ɗafi-sɔ̧ ká bá nɛ̀ o be Levii, ge bíí ge ndé nɛ Sɔ̧ ha̧a̧ taamɔ ha̧ a̧ kura yak mɛ nɛ̀ɛ́ mbo Tua ko GASA WAN nɛ duk sɛn Jerusalɛm. ","Tagha gɛ, cape mbeli nyi te ghəa hwelefe ta Zhəwda le ŋa Bɛnjamɛn, ka dzeghe Shala ba'a ka Lɛvi, geze ta ŋkɛ, pɛtɛa mbeli nyi ndeke nda zəzə Shala ke hɛ kajive kaŋa ghɛa Mahwətə pelɛ Zhɛrəzalɛm zhɛkwa. ","Mo so no wañre ma ti äï¡ï¡ni mani Judan wo de Benjamen wo, jar sië jagn wo de jar Lefidn wo, jar maga Baa puçy ëiggi äaara go mo äuy raw wo hooge ma woge boo tiñ mani Manwur ma Jerusalem no. "
EZR.1.6," Tous leurs voisins les aidèrent avec des objets d'argent, de l'or, des effets, du bétail et des choses précieuses, sans compter toutes les offrandes volontaires. ","And all they that were about them strengthened their hands with vessels of silver, with gold, with goods, and with beasts, and with precious things, beside all that was willingly offered.","Sum sa ŋuyi tisina kaf marsi gutda hiɗi slen ma ki doorota hiɗi or nala, gurjuta hiɗi farayna, hiɗi vulda minda, vulda-ɦawata hen kaf may ŋaɓayɗi. ","Ba bese be nga bômane be be nga ve be mimvolan biôme mevale meva, argent a or, akum a mimbam biyem, biôm bi ne édima, te lañe biôm bise bi nga veban ane nlem wo nyeʼe.  ","Dar midigwi taŋhay gar, a jinaka taŋ haɗi, a vulaka taŋ gwat ngi ɓiri bara ati ngi ɓiri tapasl tapaslay, zlili mekelemey, ginew, gwat mupuɗaw puɗaway waɗ gwat muvula ngi mongoy taŋhaya gar. ",Heeddiɗɗiraaɓe maɓɓe mballiti ɓe bee kuuje cardi e kaŋŋeeri e jawdi e dabbaaji e kuuje ɗuuɗa-samanje e caahuuji goɗɗi boo.,Heeddiɗɗiraaɓe maɓɓe mballiti ɓe bee kuuje cardi e kaŋŋeeri e jawdi e dabbaaji e kuuje ɗuuɗa-samanje e caahuuji goɗɗi boo.,"O bíí nɛ a̧a̧ katɛ wa lɛŋ gbaka wa nɛ o mɔ nɛ‘i dee nɛ bu-mbɔi, lɔr, o demɔ, o mɔ-dai, ká bá nɛ̀ o mɔ nɛ gɛnɛ-a ɔ ŋgaya; wi tɔr o mɔ nɛ wa ha̧a̧ ha̧ wa nɛ ta-tɛ e zu-a na.","O bíí nɛ a̧a̧ katɛ wa lɛŋ gbaka wa nɛ o mɔ nɛ‘i dee nɛ bu-mbɔi, lɔr, o demɔ, o mɔ-dai, ká bá nɛ̀ o mɔ nɛ gɛnɛ-a ɔ ŋgaya; wi tɔr o mɔ nɛ wa ha̧a̧ ha̧ wa nɛ ta-tɛ e zu-a na.","Pɛtɛ ka ghedəkwəa nci kekemanakɛ hɛ le wəshi nyi le mze kwa tɛawetɛa ba'a nyi le mze kwa tere tere, le kweci wəshi ba'a wəshi keseɗa, le mama ta wəshi nyi nza zləvə te, kaɗema mbeli kese kaɓela wəshi nyi tseheke mbeli le ɗe ta nci kezha ghɛa Shala.","Jar leege äaara wo äuy raw wo kay rage, haç wo feçeçre ma de joñge de boo solay, de boo biñni wo de feçeçre ma de eln wo de horog de fuçy wo, haç wo feçeçre ma de wore wo ne hara debañ ciñ ti haçge de dagen wo ni pa. "
EZR.1.7," Le roi Cyrus enleva les ustensiles de la maison de Yahweh, que Nabuchodonosor avait enlevés de Jérusalem et placés dans la maison de son dieu. ","Also Cyrus the king brought forth the vessels of the house of the  Lord , which Nebuchadnezzar had brought forth out of Jerusalem, and had put them in the house of his gods;","Jakŋa ma mulla Nebukadnesar yawamay goy hay ziyda vi Ma-Vatɗina hay Yerusalem pa, hot lakam hay ziyda vi lawayna vamuna, mulla Sirus vulum goyo. ","Njô bôt Sirus a nga bulane fe biôm bise ya nda Nti mbie Nébukatnétzar a nga nyoñ e Yérusalém, a futi bie e ndaa zambe wé. ","Gwatay, Nabukodonozor mihila taŋ zleˀe ar hay ngi Buymisemuŋ a Zeruzalem, ara pa taŋ ar hay kuli naŋhay na, buy Siruso, a bo taŋ a muŋ. ","Laamiiɗo Koores wurtini kuuwruɗe haykaliiru Jawmiraawo ɗe Nabukodonosor hoocuno haa Urusaliima, sigino nder suudu ɗowanteeɗo muuɗum. ","Laamiiɗo Koores wurtini kuuwruɗe haykaliiru Jawmiraawo ɗe Nabukodonosor hoocuno haa Urusaliima, sigino nder suudu ɗowanteeɗo muuɗum. ",Wannu Sirus kaia o nyɛk Tua ko GASA WAN nɛ Nabukɔdɔnɔsɔr kaia so yaknɛ Jerusalɛm a kɔ̧ tua ko o sɔ̧ kɔ‘i gbonɛ. ,Wannu Sirus kaia o nyɛk Tua ko GASA WAN nɛ Nabukɔdɔnɔsɔr kaia so yaknɛ Jerusalɛm a kɔ̧ tua ko o sɔ̧ kɔ‘i gbonɛ. ,"Nahe meghe Sirəs le ghəa ŋkɛ kezhɛneke wəshi nyi nza zləvə te hɛ, nyi fəhwe Nabəkodonozor shave mbe ghɛa Mahwətə pelɛ Zhɛrəzalɛm kezha fəyi ki ghɛa yɛ shala ta ŋkɛ. ",Wañ Sirus raw fer feçeçre ma äil tiñ mani Manwur maga Nebukanetsar hay hoo ra le Jerusalem day hay laa ra go äil tiñ mani baa äen mono. 
EZR.1.8," Cyrus, roi de Perse, les confia aux mains de Mithridate, le trésorier, qui les transmit en les comptant à Sassabasar, le prince de Juda. ","Even those did Cyrus king of Persia bring forth by the hand of Mithredath the treasurer, and numbered them unto Sheshbazzar, the prince of Judah.","Sirus, mulla vi Persiya gi Midredat ma ŋom slena kay nam yawamay goyo, nam vulum hay ɓam Sesbatsar ma yerimana vi Yuda. ","Sirus njô bôte ya Perse a nga bo na Mitredat, mbaʼale nkop, a kuli bie atan a kalane bie Sésbatsar, évete ya Yuda. ","Sirus, buy Perse, a vula jiviɗ da Mitredat, mbur miji zlili, ɓa a pula gwat tayna asi haŋ ngi Sesebasar, yarama ngi ruwuy Zuda. ","Koores, laamiiɗo Persiya umri Mitiridat, kaliifaajo ndesaari, o wurtini ɗe, o limti ɗe, o hokkiti ɗe Sesbaccar, ardiiɗo Yahuuda. ","Koores, laamiiɗo Persiya umri Mitiridat, kaliifaajo ndesaari, o wurtini ɗe, o limti ɗe, o hokkiti ɗe Sesbaccar, ardiiɗo Yahuuda. ","Sirus wannu Pɛrsɛ ha̧a̧ nú ha̧ Mitredat wi-zɔk-mbɔi mɛ kai wa, ɓɛɛ Mitredat tɔ̧ ha̧ Sɛsbasar be-wan Juda mɛ tɔr tɔra-a. ","Sirus wannu Pɛrsɛ ha̧a̧ nú ha̧ Mitredat wi-zɔk-mbɔi mɛ kai wa, ɓɛɛ Mitredat tɔ̧ ha̧ Sɛsbasar be-wan Juda mɛ tɔr tɔra-a. ","Ma kwa gezete meghe ne, pa Mitrɛdat nya te ghəa mcɛlə dapate nda wəshia shɛhɛ te dzeve ke Shɛshebasar nya kawəndə nya te ghə mbe Zhəwda. ","Sirus wañ Perse raw wii Mitredad je ëaw horogn ga aà mo hoo ra le go siigi. Se raw kee rage go, haç ra ne Sekbasar, wañ ma pel jar Judan wo do. "
EZR.1.9," En voici le nombre: trente bassins d'or, mille bassins d'argent, vingt-neuf couteaux, ","And this is the number of them: thirty chargers of gold, a thousand chargers of silver, nine and twenty knives,","Kayni mi ŋaɓta valamu: Tasa ŋulona ma ora dok-ɦidi, tasa ma ŋulona ma doorona birim kep, kewn dok-ma' yam zleeŋe, ","Tañe ya biôm bite é mbe avale di: befandé be or mewôm mela, befandé be argent toyini awôm, atyeñ mewôm mela, ","Gwat tayna, a slufaka t'ani hĩ: taasa mipitikayya pitikayya ngi ɓiri tapasl tapasl, kukur makir, waɗ ngi ɓiri bara durmuk pal, sliwiɗ kukur cuw nga ngoltir, ",Ndaa limgal maaje: Taasaaje kaŋŋeeri cappanɗe tati (30) e taasaaje cardi ujineere (1.000) e laɓe noogas e joweenayi (29) ,Ndaa limgal maaje: Taasaaje kaŋŋeeri cappanɗe tati (30) e taasaaje cardi ujineere (1.000) e laɓe noogas e joweenayi (29) ,Mɔ nɛ wa tɔra nɛ mɔ'ɔ: nyɛk nɛ‘i dee nɛ lɔr ɓu-taar; nyɛk nɛ‘i dee nɛ bu-mbɔi booro; paa ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-naar; ,Mɔ nɛ wa tɔra nɛ mɔ'ɔ: nyɛk nɛ‘i dee nɛ lɔr ɓu-taar; nyɛk nɛ‘i dee nɛ bu-mbɔi booro; paa ɓu-yiitoo-zua-mɔɔrɔ-ɗoŋ-naar; ,"Wa nyi ɓela ta nci nyi: parantɛ nyi le mze kwa tere tere mahekenemsə, parantɛ nyi le mze kwa tɛawetɛa slibə, hwa bakemsə meslighəmbe, ","Mokay no diñ ngaäa feçeçre sen wo: Tasa boo biñni do swa'a, tasa boo solay ndare, mbegre wo do äog ti kaawa'a, "
EZR.1.10," trente coupes d'or, quatre cent dix coupes d'argent de second ordre, et mille autres ustensiles. ","Thirty basins of gold, silver basins of a second sort four hundred and ten, and other vessels a thousand.","kaway-ma-cina ma ora doogo, kaway-ma-cina ma doorona kis-fiɗi hiɗi diram doogo, sle hena birim ɗaw.","bilaé bi argent mewôm mela, fia bilaé bi argent mintet minyin a awôme da, biôm bife toyini jia. ","zuŋ skiɗ ngi ɓiri tapasl tapasl, kukur makir, waɗ ngi ɓiri bara, ngi gi slra ho gar, skat skat mufaɗ ti kuruˀu, waɗ gwat mekelemey, durmuk pal. ",e bulki kaŋŋeeri cappanɗe tati e bulki cardi teemeɗɗe nayi e sappo (410) e kuuwruɗe feere ujineere (1.000) . ,e bulki kaŋŋeeri cappanɗe tati e bulki cardi teemeɗɗe nayi e sappo (410) e kuuwruɗe feere ujineere (1.000) . ,mɔɔ-nɔ-mɔ nɛ‘i dee nɛ lɔr ɓu-taar; mɔɔ-nɔ-mɔ nɛ‘i dee nɛ bu-mbɔi gɔmŋmaa-naar-nɛ-ɓu; in o ŋma géé nyɛk booro.,mɔɔ-nɔ-mɔ nɛ‘i dee nɛ lɔr ɓu-taar; mɔɔ-nɔ-mɔ nɛ‘i dee nɛ bu-mbɔi gɔmŋmaa-naar-nɛ-ɓu; in o ŋma géé nyɛk booro.,"darawe nyi le mze kwa tere tere mahekenemsə, darawe nyi le mze kwa tɛawetɛa nya ɗema zləvə te ndeɗekə gwəmsə wəfaɗe ba'a meŋe ba'a kweci wəshia shɛhɛ slibə. ","kob boo biñni do swa'a, kob boo solay ma äil äogäog wo kiskis naa ti äe hwale, feçeçre ma tigriñ wo ni ndar lay. "
