livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
GEN.1.1, Au commencement Dieu créa le ciel et la terre.,In the beginning God created the heaven and the earth.,Hay cawa'ta tunita Lawna li wuralawna hiɗi nagata.,"Atataʼa, Zambe a nga té yôp a si.","Angi zli virzi ngi gwatay gar na, Buymisemuŋ a gi muŋ ati hirwuy waɗ gwat ngi raˀahay gar. ",Haa fuɗɗam Allah tagi asamanji e lesdi. ,Haa fuɗɗam Allah tagi asamanji e lesdi. ,"Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, ","Ŋgimbi nɛ̀ Sɔ̧ ku̧u̧ nɛ̀ naŋ dee yiwese in nù, ","Ma te gha ta və ne, pa Shala pate yɛ ghweme le hɛɗi. ",Le Ti tï¡ï¡gi wer mono Baa joñ ngeel ma ciñ wo de ma gesiñ. 
GEN.1.2," La terre était informe et vide ; les ténèbres couvraient l'abîme, et l'Esprit de Dieu se mouvait au-dessus des eaux.","And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.","Nagata ay mi liyn ma wiŋŋa, va may ka'ɗi. Jufunda ay kulo'o kay liyn ma zulla, Ŋusta vi Lawna ka geɗ kulo'o kay niyna.",Si é nji bi ngum éyekaʼa nalé fe teke jôm été; dibi é mbe atane beta yee; ve Nsisime Zambe ô mbe ô tyiñelaʼan e mendime yôp.,"Hirwuy ndra mapuraka wurenna, naŋ zleˀe bilyãˀ lambaˀ. Luvuŋ mitimbiɗim a sirta yam mijileŋ sirit wãˀ. ˀUf ngi Buymisemuŋ ara bul a hirnga yama. ","Lesdi ɗonno cookri, walaano koo ɗume dow maari, nyiɓre suddino ilamji lugguɗi. Ruuhu Allah ɗonno yiilo dow ndiyamji.","Lesdi ɗonno cookri, walaano koo ɗume dow maari, nyiɓre suddino ilamji lugguɗi. Ruuhu Allah ɗonno yiilo dow ndiyamji.","nù duka so gee, mɔ bo sɛnɛ na, tum kpee so zu  ɗuka-fara .  Ɔmi  ko Sɔ̧ bui̧a so nɛ zu yì nɛnɛ. ","nù duka so gee, mɔ bo sɛnɛ na, tum kpee so zu  ɗuka-fara .  Ɔmi  ko Sɔ̧ bui̧a so nɛ zu yì nɛnɛ. ","Pa shɛ kese va hɛɗi we, shalala se ŋkɛ. Ŋkwesle ya zhiɓə kənəa ndərə nya wəba. Sefəa Shala nde gavele dzeyi kənəa yɛ yɛmə. ","Ngeel ma gesiñ la hay mbe wo go lugudlugud ti'i, day äil koë lay. Suñgu hay go de äo'ge ti tu ma kuëum no.  Day Nenterse  Baa hay halge ti biin caw."
GEN.1.3," Dieu dit : "" Que la lumière soit! "" et la lumière fut.","And God said, Let there be light: and there was light.",Lawna di'e: haraŋa ma li'e: nam li kaw. ,Zambe nye na: Efufup é boʼok! A éfufup é nga bo. ,"Buymisemuŋ a ɓi: «Li, gi njahha!» Dar li a gi njahha. ",Nden Allah wi'i: “Annoora laato .” Ka laati. ,Nden Allah wi'i: “Annoora laato .” Ka laati. ,Sɔ̧ tɔ̧a̧: «Sa̧a̧mɔ a̧ de!» Ɓɛɛ sa̧a̧mɔ de.  ,Sɔ̧ tɔ̧a̧: «Sa̧a̧mɔ a̧ de!» Ɓɛɛ sa̧a̧mɔ de.  ,"Tagha gɛ, ma ke Shala: «Nza waŋe shɛ!» Pa waŋe menete geva. ",Baa day ga: Poëag mo joñ. Poëag kal joñge. 
GEN.1.4, Et Dieu vit que la lumière était bonne ; et Dieu sépara la lumière et les ténèbres.,"And God saw the light, that it was good: and God divided the light from the darkness.",Lawna wi ala haraŋa nam va ma ŋaa'a. Bugol kayni nam mun jar haraŋa goy hiɗi jufunda. ,"Zambe a nga yene na éfufup é ne mvaé, a Zambe a nga kandé éfufup baa dibi. ",Buymisemuŋ a pura li minjahha tuwa kuy. Dar Buymisemuŋ a wunka li minjahha ati luvuŋ. ,Allah yi'i ka wooɗi. Nden o senndi hakkunde annoora e nyiɓre. ,Allah yi'i ka wooɗi. Nden o senndi hakkunde annoora e nyiɓre. ,"Sɔ̧ zɔka sa̧a̧mɔ duk nɛ de-a, ɓɛɛ Sɔ̧ kɛ̧ mgbara sa̧a̧mɔ in tum. ","Sɔ̧ zɔka sa̧a̧mɔ duk nɛ de-a, ɓɛɛ Sɔ̧ kɛ̧ mgbara sa̧a̧mɔ in tum. ","Newe ke Shala ne, ganyɛke waŋea shɛ, pa ŋkɛ nehemte yɛ waŋe le ŋkwesle. ","Baa kal koge ga poëagn hay de ele, Baa kal caa äil poëagn wo go de suñgu no. "
GEN.1.5," Dieu appela la lumière jour, et les ténèbres Nuit. Et il y eut un soir, et il y eut un matin; ce fut le premier jour.","And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.","Liyn ma haraŋa Lawn tunum selem ala falayta, liyn ma jufunna nam tunum selem ala henjeta may. Ki kayn nala vulatita li'e, grawta li'e, buurta jewta laawa.",Zambe a nga loon éfufube na môs a dibi ke na alu. Ngôʼé jia a tyé jia: môs ôsu ñwô le.,"Buymisemuŋ a vula slimiɗ da li minjahha tuwa ‹papasa›, yo luvuŋ kwana ‹duvuɗu.› Hiikuɗ a ji, yo li a wun, hana i hin mudumbuŋ naŋ. ","O inndi annoora nyalawma, nyiɓre boo o inndi ɗum jemma. Hiiri, weeti, ɗum nyalaade aranndeere.","O inndi annoora nyalawma, nyiɓre boo o inndi ɗum jemma. Hiiri, weeti, ɗum nyalaade aranndeere.","Sɔ̧ saa sa̧a̧mɔ «wese», ɓɛɛ a̧ sa nin tum'e «zɛ». Hegɔ zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ kuti ɔɔ-zɛ.","Sɔ̧ saa sa̧a̧mɔ «wese», ɓɛɛ a̧ sa nin tum'e «zɛ». Hegɔ zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ kuti ɔɔ-zɛ.","Pa Shala hekate waŋe kaveci, pa ŋkɛ hekate ŋkwesle kaviɗi. Pa tɛhwɛɗi menete geva, ghwɛaɗɛaɗɛa ŋkwa kiɗinyɛ: kwa ghate ta hɛ ŋkɛ.","Baa kal ëe poëagn ga ngeel ceege, kal ëe suñgun ga ngeel suñ. Wur kal coñge go, ngeel raw teege go, sen diñ naw ma tañgu no."
GEN.1.6," Dieu dit : "" Qu'il y ait un firmament entre les eaux, et qu'il sépare les eaux d'avec les eaux. ""","And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.","Lawn di'e: Hin liyn ma wiŋŋa kal jar niyna, kay nam ma ɓuraw jar niyn goyo. ",Zambe nye na: E ñyem ô boʼok e zañe mendim asu ya kandé mendim a mendim. ,"Buymisemuŋ a ɓi ma: «Birngiŋ, gi hoɓoŋ kaɓa sikiɗ mitiɗeˀ, ɓa ngi wunka wala ngi yam, ɓa yam a wunuk taˀ taˀ cuw!» ","Allah wi'i: “Senndoode laato caka ndiyamji, ngam senndugo hakkunde maaji.” Non ɗum laatori. ","Allah wi'i: “Senndoode laato caka ndiyamji, ngam senndugo hakkunde maaji.” Non ɗum laatori. ",Sɔ̧ tɔ̧a̧: «Gba̧a̧-yí-zan a̧ duk mgbara o yì mɛ kɛ̧ mgbara wa!» Ɓɛɛ mɔ de hegɔ.  ,Sɔ̧ tɔ̧a̧: «Gba̧a̧-yí-zan a̧ duk mgbara o yì mɛ kɛ̧ mgbara wa!» Ɓɛɛ mɔ de hegɔ.  ,Ma ke Shala zhɛkwa: «Veyi geva ŋkwa kala kwalekwə nya medzəɓə kwelɛ tepe ta yɛ yɛmə kezha nehe hɛ bake mbe!» ,"Baa day ga: Holañ ngeel mo hay ti holañ bii no, ma caa äil biin wo go de bii no. "
GEN.1.7," Et Dieu fit le firmament, et il sépara les eaux qui sont au-dessous du firmament d'avec les eaux qui sont au-dessus du firmament. Et cela fut ainsi.","And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.","Lawn li liyn ma wiŋŋa, nam ɓuraw jar niyna ma ka gaa kuɗ liyn ma wiŋŋa hiɗi niyn ma ka kulo kalamna. Van kayni li nala may. ","Ane ñhe Zambe a nga bo e ñyeme te, a kandé mendim me ne e ñyeme si a ma me ne e ñyeme yôp. Nalé a nga boban. ","Buymisemuŋ a ga birngiŋ tuwa, ɓa ngi wunka yam vay ngi ruwuy avu vay ngi muŋ. Dar a gi kanah vuna si. ",Allah waɗi senndoode maajum. O senndiri ndiyamji les bee ndiyamji dow. ,Allah waɗi senndoode maajum. O senndiri ndiyamji les bee ndiyamji dow. ,"Sɔ̧ dee gba̧a̧-yí-zan, ɓɛɛ kɛ̧ mgbara yì mɛ ŋgɔn in yì mɛ ɗɔɔ. ","Sɔ̧ dee gba̧a̧-yí-zan, ɓɛɛ kɛ̧ mgbara yì mɛ ŋgɔn in yì mɛ ɗɔɔ. ",Pa Shala veyi ŋkwa nya kenehemte yɛ yɛmə nyi kwake kwake le nyi pelɛghə. ,"Baa kal joñ holañ ngeel seno, ma caa äil bii ma wer gesiñn go de ma ciñ no. Sen kal joñge go do sen nono. "
GEN.1.8, Dieu appela le firmament Ciel. Et il y eut un soir et il y eut un matin ; ce fut le second jour.,And God called the firmament Heaven. And the evening and the morning were the second day.,"Liyn ma wiŋŋa Lawn tunum selem ala dukalawna. Ki kayn nala vulatita li'e, grawta li'e, buurta ma'ta laawa.",Zambe a nga loone ñyeme na yôp. Ngôʼé jia a tyé jia: môse baa ñwô le.,"Buymisemuŋ a vula slimiɗ da birngiŋ tuwa ‹muŋ.› Dar hiikuɗ a ji, yo li a wun, hana i hin mucuw naŋ. ","Allah inndi senndoode maajum asama. Hiiri, weeti, ɗum nyalaade ɗiɗawre .","Allah inndi senndoode maajum asama. Hiiri, weeti, ɗum nyalaade ɗiɗawre .",Sɔ̧ saa nin gba̧a̧-yí-zan «yiwese». Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ yiitoo ɔɔ-zɛ.,Sɔ̧ saa nin gba̧a̧-yí-zan «yiwese». Zɛ dea ɓɛɛ mɔ sa̧; duka nɛ́ yiitoo ɔɔ-zɛ.,"Pa Shala ndeke nda slə ke ŋkwa nya te ghəa shɛ kaghweme. Pa tɛhwɛɗi menete geva, ghwɛaɗɛaɗɛa ŋkwa kiɗinyɛ: kwa bake ta hɛ ŋkɛ. ","Baa kal ëe holañ ngeel sen ga ngeel ma ciñ. Wur kal coñge go, ngeel raw teege go, sen diñ naw ma de äog no."
GEN.1.9," Dieu dit : "" Que les eaux qui sont au-dessous du ciel se rassemblent en un seul lieu, et que le sec paraisse. "" Et cela fut ainsi.","And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.","Lawn di'e: niyna ma gaa kuɗ dukalawna ma tap hay liyn kepe, kay yam liyn ma so goyo. Van kayni li nala may. ",Zambe nye na: Mendim me ne yôbe si me kôʼane vôme wua a na éfas é ne nkôt é yenéʼé. Nalé a nga boban. ,"Buymisemuŋ a ɓi ma: «Yam ngisi birngiŋ, cikil ar li purla, ɓa li mingbaŋngbaŋ a bawa!» Joˀ a gi kanah vuna si. ","Allah wi'i: “Ndiyam les asama mooɓo nokkuure woore, haa joorɗum waŋga.” Non ɗum laatori. ","Allah wi'i: “Ndiyam les asama mooɓo nokkuure woore, haa joorɗum waŋga.” Non ɗum laatori. ",Sɔ̧ tɔ̧a̧: «O yì mɛ́ ɗɔɔ yiwese a̧ mɔi̧ ŋmaa duk kpɔk fara ha̧ kora fara mɛ gbo!» Ɓɛɛ mɔ de hegɔ. ,Sɔ̧ tɔ̧a̧: «O yì mɛ́ ɗɔɔ yiwese a̧ mɔi̧ ŋmaa duk kpɔk fara ha̧ kora fara mɛ gbo!» Ɓɛɛ mɔ de hegɔ. ,Ma ke Shala zhɛkwa: «Tsenete geva yɛmə nyi kwake yitea ghweme te ŋkwa nya kwetɛŋe yitea ncake geva ŋkwa nya keghwele ghwele!» Pa wəsəa shɛ menete geva kala nyagha. ,Baa day ga: Bii ma wer ngeel ma ciñn ga go gesiñ la mo tay go ti ngeel po boñ nen maga ngeel ma de heeg mo naa nene. Sen kal joñge go do sen nono. 
GEN.1.10," Dieu appela le sec Terre, et il appela Mer l'amas des eaux. Et Dieu vit que cela était bon.",And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,"Liyn ma soy goyna Lawn tunum selem ala nagata, niyn ma tapayna nam tunum selem ala niy-lum ma ŋolla may. Lawna wi ala van kayni nam ŋaa'a. ","Zambe a nga loon éfas é ne nkôte na si, a éndendame mendime na mañ. Zambe a nga yene na nalé a mbe mvaé. ","Buymisemuŋ a vula slimiɗ da li mingbaŋngbaŋ tuwa ‹hirwuy›, yo yam micikil ar li purla kwana, a vulaŋ slimiɗe ‹mubuliy.› Buymisemuŋ a pura na, naŋ kuy. ","Allah inndi joorɗum lesdi, mooɓorde ndiyamji boo, o inndi ɗum mbeela. Allah laari ɗum wooɗi. ","Allah inndi joorɗum lesdi, mooɓorde ndiyamji boo, o inndi ɗum mbeela. Allah laari ɗum wooɗi. ","Sɔ̧ saa nin kora fara «nu», ɓɛɛ a̧ sa nin yì nɛ mɔi̧a ŋmaa'e «gba-tɔp». Sɔ̧ zɔka'e mɔ‘i ɔ dee. ","Sɔ̧ saa nin kora fara «nu», ɓɛɛ a̧ sa nin yì nɛ mɔi̧a ŋmaa'e «gba-tɔp». Sɔ̧ zɔka'e mɔ‘i ɔ dee. ","Pa Shala hekate nda slə ke ŋkwa nya keghwele ghwelea shɛ kahɛɗi, pa ŋkɛ hekate yɛmə nyi ketsenete geva kandərə. Ma kwa nakɛ Shala ne, ganyɛke ŋkɛ. ","Baa kal ëe ngeel ma de heegen ga siri, kal ëe tayge ti biin ga maaroge. Baa kal koge ga sen hay de ele. "
