livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
HAB.1.1," Sentence dont Habacuc, le prophète, eut la vision.",The burden which Habakkuk the prophet did see.,"Humgi labar kayni, ma Ma-Vatɗina ɗekem kir sa ma jobta-Lawna Habakuk.",Mbeʼe nkulu mejô Habakuk a nga yen.,"Hana i mingiɓi, Bumbulvuŋ minjika da mijiviɗ Habakuk, ɓa ara til di mi.",Ɗo woni koŋngol ngol Jawmiraawo wolwani annabi Habakuk nder wahayu mum.,Ɗo woni koŋngol ngol Jawmiraawo wolwani annabi Habakuk nder wahayu mum.,"Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Habakuk  wi-tɔ̧-wen  oi nú Sɔ̧, tɛ hɔɔ-zu nɛ́ mɔ'ɔ.","Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Habakuk  wi-tɔ̧-wen  oi nú Sɔ̧, tɛ hɔɔ-zu nɛ́ mɔ'ɔ.",Ghena nya ncɛte nda Shala ke nde mɛ ŋkwa Habakək laka kelɛŋə.,Mokay diñ ree poçoçre maga aè naa nen äe ne Habakug je ndar nen waçaçre Baa gon mono.
HAB.1.2," Jusques à quand, Yahweh, t'implorerai-je, sans que tu m'entendes, crierai-je vers toi à la violence, sans que tu me délivres ?","O  Lord , how long shall I cry, and thou wilt not hear! even cry out unto thee of violence, and thou wilt not save!","Ma-Vatɗina, nan min yaŋu kay naŋ ma gutanu, may naŋ human ɗawn citige? Nan ka siwel taŋ ala ɦawlat ɓa' suwiya, may naŋ min gutanɗi su?","Ma ye loon a kui éyoñ évé a Nti, wo teke wôk? A kui éyoñ évé ma ye yône na: Evô, wo teke nyii ma?","Aw Bumbulvuŋ ɗu, ya maziluw ɓa ki kilo widi ɗu na, a nduluw takwa? Ani ki cine ta. I ziluw asi mizli ara gikiy moˀore, ani k'anta lih vu ta ma.","Yaa Jawmiraawo, duuri mi ɗon toro ma ballal, ammaa a jaabaaki yam. Foroy mi ɗon wooka: Ndaa toonyaare! Ammaa a hisnaay min. ","Yaa Jawmiraawo, duuri mi ɗon toro ma ballal, ammaa a jaabaaki yam. Foroy mi ɗon wooka: Ndaa toonyaare! Ammaa a hisnaay min. ","GASA WAN, nɛ́ ge ŋgimbi ge, ɛ̀nɛ̀ tɛ́ zii nɛ̀ aia-nú kɔ‘m, mɛ gbak am ge? Mi saa'nɛ́ mɛ́ tɛ̀ɛ́ gbo yɛ yinɛ tɛ ŋgamɔ, ɓɛɛ ɛnɛ tɛ na wen ge?","GASA WAN, nɛ́ ge ŋgimbi ge, ɛ̀nɛ̀ tɛ́ zii nɛ̀ aia-nú kɔ‘m, mɛ gbak am ge? Mi saa'nɛ́ mɛ́ tɛ̀ɛ́ gbo yɛ yinɛ tɛ ŋgamɔ, ɓɛɛ ɛnɛ tɛ na wen ge?","Mahwətə yawe, pa te nyama və tetsa ŋa lewela 'ya kaɗema na kafa ɗa ŋa ɗa wa? Pa te nyama və tezlape ŋa 'ya va mene berete kaɗema na kambele ŋkwa wa?","Manwuri, sen na haçaç hun ga ndi ëe ndo, ndo laa yiñ jag gaa lay. Ndi 'waa war ga hun raw do, ndo bay le caa war äi wa lay la?"
HAB.1.3," Pourquoi me fais-tu voir l'iniquité, et contemples-tu la souffrance ? La dévastation et la violence sont devant moi, il y a des querelles et la discorde s'élève ;","Why dost thou shew me iniquity, and cause me to behold grievance? for spoiling and violence are before me: and there are that raise up strife and contention.","Naŋ min ala nan wi jiw-zlata vi sumun hiɗi iranu kay mige? Naŋ min sar bay-ɗigerta hiɗi iraŋu kay mige? ɦawlat hiɗi curo'da ka tuma dok-doko kay mige? Nefta ka'a, ci-wayt ka fok kulo dok-doko kaw.","Amu jé wo kañese na me yen abé ? A amu jé wo yen étibelaʼa vʼa mis? Endaman a évô bi ne ma ôsu, ntañete ô ne, a meluman ma boban.","Ki bigiy malambaˀ ɗu na, ɓa i pura vur mike? Ki wuɗ ki pura maguzuvuram vu na kwa? A ciki ɗu, sey i ngizla vu ati moˀore tewle, da ara gam kiita na, tiri a gi wuwwo.","Ngam ɗume a yi'natammi halleende yimɓe? Ngam ɗume a ɗon laara torraaji amin, ammaa a wallaay min: Jaɓtol e toonyaare ɗon yeeso am, jokkirgol waɗi, gaabotiral ɗon ummo. ","Ngam ɗume a yi'natammi halleende yimɓe? Ngam ɗume a ɗon laara torraaji amin, ammaa a wallaay min: Jaɓtol e toonyaare ɗon yeeso am, jokkirgol waɗi, gaabotiral ɗon ummo. ","Wen ge ɛnɛ de ha̧‘m mɛ zɔk ɗaŋmɔ hegɔ ge? Ɛnɛ tɛ zɔk o bíí tɛ dee ŋgamɔ nɛ gbaayí wen ge? Mɔ n'am zɔk katɛ‘m nɛ́ ɗaŋamɔ in dee ŋgamɔ; yí-tom ko bíí nɛ kpɛra-a in o ŋmaa, wa zii ger ŋmaa ɓɔna!","Wen ge ɛnɛ de ha̧‘m mɛ zɔk ɗaŋmɔ hegɔ ge? Ɛnɛ tɛ zɔk o bíí tɛ dee ŋgamɔ nɛ gbaayí wen ge? Mɔ n'am zɔk katɛ‘m nɛ́ ɗaŋamɔ in dee ŋgamɔ; yí-tom ko bíí nɛ kpɛra-a in o ŋmaa, wa zii ger ŋmaa ɓɔna!","Kezha wa sərə ɗa na kanewe wəsə kwa ndiremi wa? Kezha wa yɛ na kanewe yaka wa? Ma dzeyi yitea 'ya ne, deke beze ba'a mene berete ya shɛ, mene ghwə ba'a ghəpə ka kelehwe ŋkwa.","Wer mayse ga ndo joñ ga nen äi mo ko älagge, Ndo mbo de ko bon maga aè de ma joñjar de äe mo la? Frumgi feçeçre jar wo de hun wo mbaara de joñge nen äi, Wuy wo de leëge kaçaçra wo mbaara de joñge."
HAB.1.4," à cause de cela la loi se meurt, et la justice ne voit plus le jour ; car le méchant circonvient le juste ; c'est pourquoi le droit sort faussé.","Therefore the law is slacked, and judgment doth never go forth: for the wicked doth compass about the righteous; therefore wrong judgment proceedeth.","Vun-ma-gatna nisi muɗumawa dirlaya, ɗigerta donota va' may loɗi; kay sa ma bay-ɗigera kitata valam hot vi sa ma ɗigera, law ma ɗigera ŋolom muɗi goy kisi sin kaf.","Ajô te metiñ me ntoo atek, a nya ntyiʼane mejôô a nji fe bo, amu mbo abé a miate zôsôa môt, ajô te ékotekote ntyiʼane mejô é né.","Mbak ko a gam slra ti ɓimujuwa mata, ɓi mikaslsla anta bo mata wãˀ. Mbur misi moˀore a cici lak lak avu mbur mijeŋŋe, mbak a juwaka mbur mijeŋŋe kaˀ kaˀ laŋ ti kiita.","Ngam man tawreeta ɗowtanaaka, gooŋgaaku boo waŋgaay sam. Halluɓe ɗon ɓilla adili'en, ngam man kiita gooŋgaaha laati fewre.","Ngam man tawreeta ɗowtanaaka, gooŋgaaku boo waŋgaay sam. Halluɓe ɗon ɓilla adili'en, ngam man kiita gooŋgaaha laati fewre.","Wa kasi heembea ɓɔna, wa de mɔ nɛ yuwar-a ɓɔna mbɛt. Sɛn ti kita nɛ́ wen ko wi-ɗaŋ a̧ tik wi nɛ̀ wen kɔ̧-a̧ ɔ dee, ɓɛɛ gɔna kita nɛ̀ yuwar-a bo ɓɔna.","Wa kasi heembea ɓɔna, wa de mɔ nɛ yuwar-a ɓɔna mbɛt. Sɛn ti kita nɛ́ wen ko wi-ɗaŋ a̧ tik wi nɛ̀ wen kɔ̧-a̧ ɔ dee, ɓɛɛ gɔna kita nɛ̀ yuwar-a bo ɓɔna.","Kamene slene mbeli le wəsə mahalegə we, kameha ghwə nya tiɗiɗi mbeli we, kahərə wəndə nya tiɗiɗi nde 'yaghwa mehele ba'a ghwə ɗafa yameha ka meha ghwə.","AÈ sog jag liñgin go were, Jobo bay ooge ti fen ma de deelen wa so! Werga je älaggen kol go joñ bon je ma keëed no, Day aè kol go carge diñ kiida ma de gete'e."
HAB.1.5," Jetez les yeux sur les nations et regardez ; soyez étonnés, stupéfaits. Car  je  vais faire en vos jours une oeuvre, que vous ne croiriez pas si on vous la racontait.","Behold ye among the heathen, and regard, and wonder marvellously: for I will work a work in your days, which ye will not believe, though it be told you.","Duwgiya, cukgi irgi jar jaf-sumuna, sargi tige, lakgi kiliŋ, muɗgi ɦuyum', kay hay buur ma nigi hayamna lakŋi, nan ka li lop mara'a, law namna la vigit selem kaw, nigi as a vumɗi.","Fombaʼan e meyoñ me bôt été, yenan a kam beta nkaman, amu melu menane ma, môt éziñ a bo ésaé, ve mi se nguleya buni nge ba kate mia je.","Bumbulvuŋ a ɓi na: «Puraka gwat magi a wuzla sukwi ngi mizli, anja a gukum welele! Asi zle wurenna, mbur a wuɗ a gi gwat ti gi, ani da ara ɓukum di na, kum anta tiɓaka ɓi nah ta.","Jawmiraawo wi'i: “Ndaare caka ummaatooje, ngi'e. Kayɗine masin, ngam mi huuwan kuugal nder balɗe mooɗon. To goɗɗo yecci on habaru maajum, on nuɗɗintaa . ","Jawmiraawo wi'i: “Ndaare caka ummaatooje, ngi'e. Kayɗine masin, ngam mi huuwan kuugal nder balɗe mooɗon. To goɗɗo yecci on habaru maajum, on nuɗɗintaa . ","Ɓɛɛ GASA WAN tɔ̧: «Ɛ̀nɛ̀ zɔ́k mɔ nɛ de mgbara o tugun bíí, ɓɛɛ kíì a̧ dé‘nɛ́. Ɛnɛ tɛ zɔk ŋma gasamɔ nɛ tɛ de mgbara'nɛ́, ɓɛɛ kà bó ha̧ bíí mɛ tɔ̧ so nɛ nyɛrɛ mɔ‘i h’ɛ́nɛ́, ɛnɛ beka kpɛk so na.","Ɓɛɛ GASA WAN tɔ̧: «Ɛ̀nɛ̀ zɔ́k mɔ nɛ de mgbara o tugun bíí, ɓɛɛ kíì a̧ dé‘nɛ́. Ɛnɛ tɛ zɔk ŋma gasamɔ nɛ tɛ de mgbara'nɛ́, ɓɛɛ kà bó ha̧ bíí mɛ tɔ̧ so nɛ nyɛrɛ mɔ‘i h’ɛ́nɛ́, ɛnɛ beka kpɛk so na.","Ma ke Shala gezete: «Newema mə wəsə nya kemene geva hwa kweci hwelefefi, nza mə heheɓake ba'a bebenake. Kwa nza ŋkɛ ne, katemene geva kwete wəsə vəa ŋkwa nya nza yɛ teghweme. Ma vəa ŋkwa nya ɓelate ŋayɛ wəsəa shɛ mbeli ne, kateve ghə yɛ te we.","Ko wee nen äay, rañ wee nen äay yoo wer jar wo, Day ree sen mo ngris wee, mo caa heçeçne äay go. Gahaçyla jobo yañ joñ joñre po ti kal mani äayn la, Day se diñ fen po maga nday haçge äil ti äe gaa hayga aè mo siin baa wee yaw."
HAB.1.6," Car voici que je suscite les Chaldéens, peuple féroce et impétueux, qui s'avance vers les larges espaces de la terre, pour s'emparer de demeures qui ne sont pas à lui.","For, lo, I raise up the Chaldeans, that bitter and hasty nation, which shall march through the breadth of the land, to possess the dwellingplaces that are not theirs.","Humgiya, nan min hin sum sa Kaldeen kali jargiya, sum sa donosi suwiya, kir-hawt may haysi noŋɗi. Naga ma ginena nisi ŋuyi hayam kaf, liyna vi sum segen nisi yawam bay lopo kaw,","Mi lôô! Ma zu soo Bekaldééñ, e bôt be ne te éngôngo, ve be too njet, ba tyiʼilane mesi, a wôlé éza menda.","Puraka, y'ani i bo ti mizli Babiloŋhoyo le ɓuyoh, taŋ i mizli manja ircecehey, yo misi moˀorehey ma. A gunoko ruwuyo hã a ram kileŋ, ɓa ngi tiɓa li misi inga taŋ ta.","Ndaa, mi umminan Kaldiya'en ummaatoore nde walaa enɗam e munyal sam, nde ɗon waanca duniyaaru yaasndu ndu'u fuu ngam nyaamugo jooɗorɗe ɗe nde maraay . ","Ndaa, mi umminan Kaldiya'en ummaatoore nde walaa enɗam e munyal sam, nde ɗon waanca duniyaaru yaasndu ndu'u fuu ngam nyaamugo jooɗorɗe ɗe nde maraay . ","Kinii, mi tɛ ha̧ ŋgai ha̧ o be Babilɔŋ, ŋgazu dukbíí nɛ de ko na in nɛ kìì-wèn kɔ̧-a̧ nyɛmna'i, mɛ tɛ. Wa nɛ o bíí nɛ yar dam fara lɛŋ, bá nɛ̀ o nù nɛ̀ bó nɛ́ kɔ-wa na.","Kinii, mi tɛ ha̧ ŋgai ha̧ o be Babilɔŋ, ŋgazu dukbíí nɛ de ko na in nɛ kìì-wèn kɔ̧-a̧ nyɛmna'i, mɛ tɛ. Wa nɛ o bíí nɛ yar dam fara lɛŋ, bá nɛ̀ o nù nɛ̀ bó nɛ́ kɔ-wa na.","Katefə ka Babilone 'ya kase, ka ndiremia mehele ba'a ka zhɛma heli. Katedzeghwamte hɛɗi lema hɛ kezha fə hɛɗi nyi keɗema kaŋa nci.","Ko wee, ndi laa ge jar sir Kalde wo yañ le wee ti, Jar ma girgir ga ko wo decoo jobo gaa mono. AÀ cegaë ge wo sir yañ le kluuri buy buy ma age yaçë ngeel maga hay bay wo diñ äaara wa mono."
HAB.1.7," Il est terrible et formidable, et c'est de lui-même que vient son droit et sa grandeur.",They are terrible and dreadful: their judgment and their dignity shall proceed of themselves.,"Nisi as li sa ɦuyum', kay sa col digsiɗi, nisi col dita visi kayn kuɗ donota visi kay tuwsiya.","Ayoñe te e ne angôndô a éko woñ, ébien da tyik abime si da yiane nyoñ.","A gam zluwun, yo a muɗam didak da mbur ma. Ɓimujuwa taŋ ati gi madiɗa taŋ na, i taŋ maɗuvaka ti haŋ taŋ.",Ɓe kuleteeɓe e ruggotooɓe. Kamɓe ndarnata baawɗe maɓɓe e ko haandani ɓe. ,Ɓe kuleteeɓe e ruggotooɓe. Kamɓe ndarnata baawɗe maɓɓe e ko haandani ɓe. ,"Wa nɛ o wi-gɔn-hiɗi-wi, in o wi-pi̧-kíì tɛ-wi. Mɛ̀ nɛ́ wa nɛ zu-wa a̧ gɔn heembea kɔ-wa, nɛ́ wa a̧ de ha̧ nin-wa mɛ hu̧r.","Wa nɛ o wi-gɔn-hiɗi-wi, in o wi-pi̧-kíì tɛ-wi. Mɛ̀ nɛ́ wa nɛ zu-wa a̧ gɔn heembea kɔ-wa, nɛ́ wa a̧ de ha̧ nin-wa mɛ hu̧r.",Nahe hɛ kenza kaka dake ŋkwa ba'a kambeli nyi ghazlənə mbeli va hɛ. Katare wəshi nyi kehi kezha hɛ ba'a kwelea nci hɛ le ghəa nci.,"AÀ wo de tuu day joñ wo heçeçne ne jare. A joñ wo mbaara diñ fen ma nen äaaran tu, Äod wo mbaara jag liñgi äaaran de see äaara tu."
HAB.1.8," Ses chevaux sont plus légers que les léopards, plus ardents que les loups du soir. Ses cavaliers s'élancent, ses cavaliers viennent de loin, ils volent comme l'aigle pressé de dévorer.","Their horses also are swifter than the leopards, and are more fierce than the evening wolves: and their horsemen shall spread themselves, and their horsemen shall come from far; they shall fly as the eagle that hasteth to eat.","Kulumayna visi koloy ŋolo suw zinilla, hefteŋ ŋolo suw keŋŋa ma gar hay vulatita, sa ɓe kay kulumayna zlar goyo, nisi may goy gine pa, nam pir kulo gif-gif', ki bakŋa ma min ti sliwn vokom waŋ' nala.","Bikabela bié bia mate a dañe beze, ayoʼo fe a dañe mekamenyañ ya mamengôʼé. Bewulu bikabela bé ba sôʼôlô dulu ôsu, éyoñ ba zu ôyap, ba yele vʼane vôme ndôé ja bi jôm a ye di.","Pilis taŋhay a wusam vu fineˀ kokoytahay, a jam vu fineˀ kiriɓuhoy majam gwat ti pastaˀa. Mukukuro pilis taŋhay a gam slra teˀ. Mukukuro pilis taŋhaya, a soko tir li mikileŋ, a surom, kaɓa kurom masur nga vi gwat.","Pucci maɓɓe ɓuri paaɗaaji yaawugo, ɗi ɓuri caafaali ladde baawal. Wa'iiɓe pucci ɗon camna, ɗon ngara diga daayiiɗum, ɗon piira bana dutal jaawɗotooŋgal dow ko ngal yiɗi naŋngugo. ","Pucci maɓɓe ɓuri paaɗaaji yaawugo, ɗi ɓuri caafaali ladde baawal. Wa'iiɓe pucci ɗon camna, ɗon ngara diga daayiiɗum, ɗon piira bana dutal jaawɗotooŋgal dow ko ngal yiɗi naŋngugo. ","O nyaŋa kɔ-wa haya gan o gɔ̧, in o gboo mɛ ga̧a̧mɔ; o wi-daŋ-nyaŋa kɔ-wa tik nɛ biro; wa tɛ nɛ nyɛi̧a-a, ɓɛɛ wa ɔ haya hee zua nɛ ɗum mɛ ba saɗi ga.","O nyaŋa kɔ-wa haya gan o gɔ̧, in o gboo mɛ ga̧a̧mɔ; o wi-daŋ-nyaŋa kɔ-wa tik nɛ biro; wa tɛ nɛ nyɛi̧a-a, ɓɛɛ wa ɔ haya hee zua nɛ ɗum mɛ ba saɗi ga.","Nahe gədəwəa lɛməa nci kenza wɛrewɛ ma ke yɛ deghwava, wɛrewɛ ma hɛ ke kelɛa keti gamba nyi kepəli hetɛhwɛɗi. Se cakeɗake ne, kampereke ka zleɗe gədəwəa lɛməa nci, kazlə hɛ kala zele nya keme kənəa wəsə kezeme ta ŋkɛ.","Piiri äaaran ëee wo de dañ jwarga wo, Lor wo jar de dañ waybaa ma de lawn wo. Jar ya' piirin wo go de bud see äaara, Jar ya' piirin wo le de seege le haçaç ti'i. A pud wo do gebeg maga de cwaage ne naèy äe ti nono."
HAB.1.9, Tout ce  peuple  vient pour  exercer  la violence ; leurs regards avides se portent en avant ; il amasse les captifs comme du sable.,"They shall come all for violence: their faces shall sup up as the east wind, and they shall gather the captivity as the sand.","Sum nisin kaf co kayn hiɗi donota visiya, irsi cuki goy voksi ŋiresl', nisi mol sum sa nisi yawsin yam tuwsi ki ŋeslna nala.","Bôt bete bese ba zu asu évô; asu dap é dene vʼôsu, ba bo bôt ba bi minkôm, vʼane nselek.","Puraka, taŋ masoko hiri taˀ nga mbuŋ ɓa a sa gam moˀore, a kusoko dangayaya le kos kos kaɓa muyuŋ.",Yimɓe ummaatoore nde fuu ɗon ngara ngam toonyaago. Geese maɓɓe fuu ɗon tiito yeeso. Ɓe ɗon mooɓta dahaaɓe  ɗuuɗɓe bana njaareendi. ,Yimɓe ummaatoore nde fuu ɗon ngara ngam toonyaago. Geese maɓɓe fuu ɗon tiito yeeso. Ɓe ɗon mooɓta dahaaɓe  ɗuuɗɓe bana njaareendi. ,Wa tɛ́ nɛ wen ɗaŋamɔ; yí-wa ɓɔn siti mɛ̀; wa kai o bara hee nyɛmɛ ga.,Wa tɛ́ nɛ wen ɗaŋamɔ; yí-wa ɓɔn siti mɛ̀; wa kai o bara hee nyɛmɛ ga.,"Kase pɛtɛa nci kezha mene berete, le newe ŋkwa te kema va sla ntsə. Katsene ka mavashi hɛ kwele kwele kala ndaleghe.",Jar sen wo äuy aà wo na ma frum feçeçre. Nen äaara wo go de kañge peel äaara sog boñ. AÀ tay wo dañgay wo le see kaçaçra do duguëgi nono.
HAB.1.10," Lui, il se moque des rois, et les princes sont sa risée ; il se rit de toutes les forteresses, il entasse de la poussière et les prend.","And they shall scoff at the kings, and the princes shall be a scorn unto them: they shall deride every strong hold; for they shall heap dust, and take it.","Muliyan kirsi kayn mi va ma waa'a; Yeriman kirsi kayn mi va ma liw ɦawa, gulmun ma ŋuyi tam hoyok-ziyna nisi liw liwi hiɗi nam ɦawa, nisi mol nagan yam tuwamu, sli hoyok-ziyna.","Ba biasé bejô bôt, be lôô bone bejô bôt ve bivôé. Olem ôse ô ne fe be ve bivôé. Ba bo avise tyia a nyoñe de éyoñe jia.","A ra singiram ar buyoyo a puraka yaramahaya, kaɓa gwat ngi dunguroy. Li muguno ti mohol, anta muɗa taŋ didak ta, ɓa ngi tiɓi naŋ na, a ɗiyam li miɗingir.","Ɓe ɗon njanca laamiiɓe, ɓe ɗon pijira mawɓe, ɓe ɗon njala koo berniwol cemmbiɗŋgol ngole, ɓe mbaagan lesdi ɗakki mahol maagol, nden ɓe nyaaman ngol. ","Ɓe ɗon njanca laamiiɓe, ɓe ɗon pijira mawɓe, ɓe ɗon njala koo berniwol cemmbiɗŋgol ngole, ɓe mbaagan lesdi ɗakki mahol maagol, nden ɓe nyaaman ngol. ","Dukbíí‘i mam kɔ‘i o wannu mam, o be-wan nɛ mɔɔ-zɛkɛɗi kɔ-i. O ŋga garo nɛ geemɔ ti a̧; a̧ mbo nɛ nù hɔ zu-a ba nɛnɛ.","Dukbíí‘i mam kɔ‘i o wannu mam, o be-wan nɛ mɔɔ-zɛkɛɗi kɔ-i. O ŋga garo nɛ geemɔ ti a̧; a̧ mbo nɛ nù hɔ zu-a ba nɛnɛ.","Kaŋ'wəshi ka meghea kɛfi hɛ, kaɓela mbeli nyi te ghəa nci hɛ we. Katsakɛ hɛ meleme nyi berete berete we: katsene hɛɗi hɛ dzeyi yitea hɛ kezha fə hɛ.","Jar maga feg wo ti wañre wo na diñ saara, Joñ wo hragge go de weere wañre wo na diñ saara. Äo' fo äi leege ma de kor ma de eegre kiñkiñ tin wo go na diñ saara: AÀ hoor wo sir ciñ de äaale äaara day saara yaçaçn de wañ."
