livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
HAG.1.1," La deuxième année du roi Darius, au sixième mois, le premier jour du mois, la parole de Yahweh fut  adressée,  par l'intermédiaire d'Aggée, le prophète, à Zorobabel, fils de Salathiel, gouverneur de Juda, et à Jésus, fils de Josédec, le grand prêtre, en ces termes :","In the second year of Darius the king, in the sixth month, in the first day of the month, came the word of the  Lord  by Haggai the prophet unto Zerubbabel the son of Shealtiel, governor of Judah, and to Joshua the son of Jehozadak, the high priest, saying,","Hay busata ma'ta vi Dariyus hay mulda, hay buurta jewta vi til ma karkiyana, Ma-Vatɗina di yoboyn tam Haggeya ma jobta ala, nam di tam Zorobabel goora vi Seyaltiyel, guverner ma hay Yudana, tam Yosuwa goora vi Yotsadak mul ŋol ma-ɗifinna ala: ","Mbu baa Darius a nga jôô, valé ngone saman é too alu da, Nti a nga kobô nkulu mejô Agé. A nga bendé nye na a kate Zôrôbabél, ngovina ya Yuda, e mone Séaltiél a Yasua, ntuni nnen, e mone Yôsadak na: ","Ar vi mucuw naŋ ngi Dariyus mazum buyo, hin mudumbuŋ ngi kiya mimerkeɗ naŋ na, Zorobabel, mangal ngi Seyaltiyel, buy miwa hirwuy Zuda, yo Yesuwa, mangal ngi Yosadak, masay madiɗa na, Bumbulvuŋ a ɓa mijiviɗ naŋ Aze, ɓa a ɓa t'ani: ","Nder nduuɓu laamiiɗo Dariyus ɗiɗaɓu, lewru joweegooru, nyannde go'oore maaru, Jawmiraawo wolwani Zorobaabila ɓii Salatiyel, ngomna dow Yahuuda e Yosuwa ɓii Yocadak, hooreejo liman'en, bee hunnduko annabi Haggay. O wi'i :","Nder nduuɓu laamiiɗo Dariyus ɗiɗaɓu, lewru joweegooru, nyannde go'oore maaru, Jawmiraawo wolwani Zorobaabila ɓii Salatiyel, ngomna dow Yahuuda e Yosuwa ɓii Yocadak, hooreejo liman'en, bee hunnduko annabi Haggay. O wi'i :","Darius ɔɔ wan dee pɛ yiitoo, ɓɛɛ tɛ kuti wese zaŋ mɔɔrɔ-ɗoŋ-kpɔk fio-zɛ, Sɔ̧ toma Agee  wi-tɔ̧-wen  oi nú Sɔ̧ ha̧ Zorobabɛl, gasawi nù Juda, bem ko Saltiɛl. Agee tɛ tɔ̧ gba̧a̧ tom'i ha̧ gasa wan-ɗafi-sɔ̧ Josue bem ko Yosedɛk mbɛt. Gba̧a̧ wen'i a̧a̧:","Darius ɔɔ wan dee pɛ yiitoo, ɓɛɛ tɛ kuti wese zaŋ mɔɔrɔ-ɗoŋ-kpɔk fio-zɛ, Sɔ̧ toma Agee  wi-tɔ̧-wen  oi nú Sɔ̧ ha̧ Zorobabɛl, gasawi nù Juda, bem ko Saltiɛl. Agee tɛ tɔ̧ gba̧a̧ tom'i ha̧ gasa wan-ɗafi-sɔ̧ Josue bem ko Yosedɛk mbɛt. Gba̧a̧ wen'i a̧a̧:","Ma te kwa bake ta va ta Dariyəs mbe meghe, mbe hɛ kwetɛŋe te mbe tere kwa ŋkwaŋe ne, pa Mahwətə gezete nda ghena ke nde mɛ ŋkwa Azhɛ kezha geze nda ke Zorobabɛl, wəzege ta Shɛyaltiyɛl, ŋgwamna nya mbe Zhəwda ba'a ke Yɛshəwa, wəzege ta Yosadak, wəndə kwelea ka dzeghe Shala. ","Nen naw ma tañgu ti few ma de hira' nen kiñgi ma de äog maga Dariyus de joñ wañ mono, Manwur kal waçaç waçaçre ne ne Sorobabel je ni Seyaltiyel je waçaç ree prog ma Judan wo de Josuwe je ni Yehosadag je moobe ma sië jagn jag Aje je ndar nen waçaçre Baa gon gano: "
HAG.1.2," Ainsi parle Yahweh des armées : Ce peuple dit : "" Le temps n'est pas venu, le temps pour la maison de Yahweh d'être rebâtie. ""","Thus speaketh the  Lord  of hosts, saying, This people say, The time is not come, the time that the  Lord's  house should be built.",Humgi va ma Ma-Vatɗina Lawna vi vok-ma-duura di'e: Sum nisin di'e: Liyn ma in ziyna vi Ma-Vatɗin kulona bay co tuwa.,"avale di nde Nti a ne ngul ése a jô na: ayoñe di da jô na éyoñ é ngenane te kpwaan, éyoñe nda Nti ja yiane beta lôñeban. ","Ya Bumbulvuŋ misi gidaŋ wãˀa i ɓi na: «Mizli a ɓam: ‹Hin ngi ndira hay ngi Bumbulvuŋ hiri naŋ a muŋ, a ndila t'aruŋ.›» ","“Ndaa nii Jawmiraawo honooɓe asama wi'i: Ummaatoore nde'e ɗon wi'a, wakkati nyiɓtaago haykaliiru Jawmiraawo waɗaay tawon.” ","“Ndaa nii Jawmiraawo honooɓe asama wi'i: Ummaatoore nde'e ɗon wi'a, wakkati nyiɓtaago haykaliiru Jawmiraawo waɗaay tawon.” ","«Ɛ̀nɛ̀ zíí wen nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɛ tɔ̧‘i: O bíí nɔ'ɔ hee nde, ŋgimbi dee Tua ko GASA WAN woyo tɛ hɔ hɔ̧ɔ̧ na.» ","«Ɛ̀nɛ̀ zíí wen nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɛ tɔ̧‘i: O bíí nɔ'ɔ hee nde, ŋgimbi dee Tua ko GASA WAN woyo tɛ hɔ hɔ̧ɔ̧ na.» ",Ma ke Azhɛ gezete: «Wa nya ghena nya geze Mahwətə nde berete nya: Ma ke mbeli nyi sha geze: Kenaka və kezhɛne kaŋa ghɛa Shala kase we.» ,"Manwur Pantway waçaç do kay nono gana: Jar sen la waçë wo ga wur bay de age wa ëa, diñ wur maga aè hay nen ferge boo tiñ Baan nen äe mono. "
HAG.1.3," Et la parole de Yahweh se fit  entendre  par l'intermédiaire d'Aggée, le prophète, en ces termes :","Then came the word of the  Lord  by Haggai the prophet, saying,",Kuɗ kayni Ma-Vatɗina di Haggeya ma jobta kay nam ma di yoboyn tisi ala:,Ane Nti a nga kobô be anyu nkulu mejô Agé na: ,"Vurˀe Bumbulvuŋ a ɓo mijiviɗ naŋ Aze, ɓa a ɓi na: ",Nden Jawmiraawo wi'i bee hunnduko annabi Haggay: ,Nden Jawmiraawo wi'i bee hunnduko annabi Haggay: ,Nɛ́ mɔ'ɔ nɛ Agee wee ɗoŋ wen nɛ GASA WAN toma nɛ a̧‘i ha̧ wa hegɔ: ,Nɛ́ mɔ'ɔ nɛ Agee wee ɗoŋ wen nɛ GASA WAN toma nɛ a̧‘i ha̧ wa hegɔ: ,Ma ke Mahwətə gezete laka nde mɛ ŋkwa Azhɛ: ,Do kay no so no Manwur raw waçaç waçaçre jag Aje je ndar nen waçaçre Baa gon gano:
HAG.1.4," Est-il temps pour vous autres d'habiter vos maisons lambrissées, quand cette maison-là est en ruines?","Is it time for you, O ye, to dwell in your ceiled houses, and this house lie waste?","Wulin kayn nigi laki hay ziy ma koti ŋaana, may «ziyd» zawni ɓulakay goyo kayn litige?",ye e ne mvaé na mi tabe abeñe menda éyoñe nda jam é ne ntyaman? ,"«Hay ngi Bumbulvuŋ i mumbuzla le, ani a zlir le ɓa kumo, ki hinam ar hay kum miɗiyahay le ɗiyeˀ ɗiyeˀ kuy kuyo sukwani? ","“Ɗum saa'i ngam mooɗon haa njooɗooɗon nder cuuɗi ɓasaaɗi leɗɗe, asee boo haykaliiru am ɗon wili na? ","“Ɗum saa'i ngam mooɗon haa njooɗooɗon nder cuuɗi ɓasaaɗi leɗɗe, asee boo haykaliiru am ɗon wili na? ","«Ɛ́nɛ́ dúk k’ɛ́nɛ́ kɔ̧ de tua, ɓɛɛ nɛ mɔ'ɔ nɛ Tua ko GASA WAN ɓɔna kɔ‘i nɛ ɗaŋ-a’ɛ nde?» ","«Ɛ́nɛ́ dúk k’ɛ́nɛ́ kɔ̧ de tua, ɓɛɛ nɛ mɔ'ɔ nɛ Tua ko GASA WAN ɓɔna kɔ‘i nɛ ɗaŋ-a’ɛ nde?» ",«Nahe ŋkɛ kehi kanza yɛ ki ghɛ ganjia ŋayɛ vəa ŋkwa nya nza ghɛa ɗa kakwəfi na? ,"De maga tiñ mani Manwurn go de älagge mono, Wur yañ mbe maga nday na äil tiñ ma de 'wuçy äil wo go de wore an gaa pa yawla?"
HAG.1.5, Et maintenant ainsi parle Yahweh des armées : Considérez attentivement vos voies.,Now therefore thus saith the  Lord  of hosts; Consider your ways.,Humgi va ma Lawna vi vok-ma-duura ka di'e: Sargi baŋalgi ŋaa tige.,Nde éyoñe ji Nti a jô na: fasane mboone wônan!,"Wurenna, Bumbulvuŋ misi gidaŋ wãˀa, a ɓukum na: Wulkam kuy kuy ar gwat mindilo kum na kwaɗay ayɗi. ",Jonta ndaa nii Jawmiraawo honooɓe asama wi'i: Numte kuuɗe mon! ,Jonta ndaa nii Jawmiraawo honooɓe asama wi'i: Numte kuuɗe mon! ,"GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɔ̧a̧: «Kinii, ɛ̀nɛ̀ tá mɔ zu mɔ nɛ de in'nɛ̀ɛ́. ","GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɔ̧a̧: «Kinii, ɛ̀nɛ̀ tá mɔ zu mɔ nɛ de in'nɛ̀ɛ́. ","Ma tsetsenya gɛ, wa nya ghena nya geze Mahwətə nde berete nya: Cɛkəvə mə wəshi nyi kemene ŋayɛ geva. ",Manwur Pantway waçaç patala so gano: Ëig wee ti seele äayn de el ëa!
HAG.1.6," Vous avez semé beaucoup et recueilli peu; vous mangez, mais non jusqu'à être rassasiés; vous buvez, mais non jusqu'à votre soûl; vous êtes vêtus, mais non jusqu'à être réchauffés; et le salarié gagne son salaire pour une bourse trouée.","Ye have sown much, and bring in little; ye eat, but ye have not enough; ye drink, but ye are not filled with drink; ye clothe you, but there is none warm; and he that earneth wages earneth wages to put it into a bag with holes.","Nigi cuk jaf ŋolo, may nigi feɗ kiɗay ɦawa, nigi ti fuwa, may nigi may hobɗi, nigi ka ci niyo, may laata vigi may vatɗi, nigi cuki sligari, may tuwgi may gi kuɗi, wurak ma nigi fum kuɗ lop ma nigi lumna, cuk kayn hay birim ma diram coy goyo.","Mi béya abui, ve mi kôaneya tyôtyoé. Mia di ve teke jaé. Mia nyu, ve teke jaé. Mia jaé ngômesan ve teke wôʼayôñe nyô; mbo ésaé a nyoñe maʼane mé, ve ma ku e mfek ô ne ntuan.","Ki zligam gwat le haɗa, amma ki gam sifi ngi gwata keɗece, ki ra zumam, amma kum anta mbam ta, ki ra sam, amma anta pusukukum vu pusak ta, ki ra kam zana, amma anta gukum gippe ta, yo migir ngi mbur migi slra, a pi zuk kaɓa tir gabal misi mifiliw. ","On aawi ɗuuɗɗum, ammaa on codi pamarum. On nyaami, ammaa on kaaraay. On njari, ammaa ɗam ittaay suuno mooɗon. On ɗon ɓorni, ammaa on ɗon maata jaaŋgol. Kuuwanɗo ngam ngeenaari ɗon jaɓa rufa ndi nder booro sumpitaaŋgo. ","On aawi ɗuuɗɗum, ammaa on codi pamarum. On nyaami, ammaa on kaaraay. On njari, ammaa ɗam ittaay suuno mooɗon. On ɗon ɓorni, ammaa on ɗon maata jaaŋgol. Kuuwanɗo ngam ngeenaari ɗon jaɓa rufa ndi nder booro sumpitaaŋgo. ","Ɛnɛ guna nyɔnɔ nɛ dɔka-a, ɓɛɛ nyɔnɔ dɛm na; ɛnɛ nyɔŋ mɔ nyɔŋ, ɓɛɛ zaŋ‘nɛ́ sur na; ɛnɛ nɔ dɔ̧ɔ̧ nɔɔ, ɓɛɛ tɛ‘nɛ́ hai sɛnɛ na; ɛnɛ pi̧ laa pi̧i̧, ɓɛɛ tɛ‘nɛ́ ba wee na; o wi-de-tom a̧ ba mbɔi'i, ɓɛɛ mbɔi'i duk er-wa na.» ","Ɛnɛ guna nyɔnɔ nɛ dɔka-a, ɓɛɛ nyɔnɔ dɛm na; ɛnɛ nyɔŋ mɔ nyɔŋ, ɓɛɛ zaŋ‘nɛ́ sur na; ɛnɛ nɔ dɔ̧ɔ̧ nɔɔ, ɓɛɛ tɛ‘nɛ́ hai sɛnɛ na; ɛnɛ pi̧ laa pi̧i̧, ɓɛɛ tɛ‘nɛ́ ba wee na; o wi-de-tom a̧ ba mbɔi'i, ɓɛɛ mbɔi'i duk er-wa na.» ","Kwele kwele tsawete wəshi yɛ, ama ɓɛhwɛ meneke hɛ yɛ se te wəve. Kazeme wəshi kezeme yɛ, ama kabehe yɛ we. Kasa wəshi kesa yɛ, ama kakete yɛ we. Kaseɗe lekwesa yɛ, ama kazhɛ ŋayɛ ntasle. Kaŋ'we zhɛme yɛ, ama kadzawa slibə nya kentsa ntsa dzawa ŋkɛ. ","Nday hay jo' debañ day nday wee le me'eç. Nday ree mbay, ane nday bay wuëgi wa. Nday joo mbay, ane se bay go ii jwaale äay wa. Nday heer mbay oçoçbe wo see äay, ane see äay bag wuu gaè. Je yaçë solay ti fewn yaçaçn le äil ndar maga go tul were nono."
HAG.1.7, Ainsi parle Yahweh des armées : Considérez attentivement vos voies.,Thus saith the  Lord  of hosts; Consider your ways.,"Humgi va ma Lawna vi vok-ma-duura di'e: Sargi baŋalgi ŋaa tige,",Nti a ne Ngul ése a jô na: fasane mboone wônan!,"Ya Bumbulvuŋ misi gidaŋ wãˀa, i ɓukum ava: Wulkam kuy kuy ar gwat mindilo kum na kwaɗay ayɗi. ",Ndaa nii Jawmiraawo honooɓe asama wi'i: Numte kuuɗe mon! ,Ndaa nii Jawmiraawo honooɓe asama wi'i: Numte kuuɗe mon! ,GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɔ̧a̧: «Ɛ̀nɛ̀ tá mɔ zu mɔ nɛ de in'nɛ̀ɛ́‘i. ,GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ tɔ̧a̧: «Ɛ̀nɛ̀ tá mɔ zu mɔ nɛ de in'nɛ̀ɛ́‘i. ,"Ma 'ya sha gheyɛ zhɛkwa, 'ya Mahwətə nde berete: Cɛkəvə mə wəshi nyi kemene ŋayɛ geva. ",Manwur Pantway waçaç do kay nono gano: Ëig wee ti seele äayn de el ëa!
HAG.1.8," Allez à la montagne, apportez du bois, et bâtissez la maison; j'en aurai plaisir et gloire, dit Yahweh.","Go up to the mountain, and bring wood, and build the house; and I will take pleasure in it, and I will be glorified, saith the  Lord .","jikgi kulo kay hiɗiyna, margi guna, ingi ziyda, nan hayan ma firiya, semda van ma fi suburta, Din mi Ma-Vatɗina.","Betane nkôl, Zaʼane bilé a lôñe nda : ma ye yene je mvaé a ma ye nyoñe duma, nalé Nti a jô.","Jiɗam nga muwã, ngumoko dum, ɓa ki ɗiyaka hay ɗu hiri naŋ a muŋ. Kanah na, a sa ciriy hiri, yo i sa biga dudok ɗu ara. I ya Bumbulvuŋ maɓi. ","Mba'e dow hooseere, ngadde leɗɗe, nyiɓte haykaliiru. Kanjum seynatammi, ɗum teddintam boo. ","Mba'e dow hooseere, ngadde leɗɗe, nyiɓte haykaliiru. Kanjum seynatammi, ɗum teddintam boo. ","Ɛ̀nɛ̀ nɛ́ si zu kaya, ɛ̀nɛ̀ gɔ́m te piinɛ, ɛ̀nɛ̀ ɗáfí Tua kɔ‘m woyo. Mi tɛ kpa desee, ɓɛɛ gasamɔ kɔ‘m tɛ duk hi̧i̧. GASA WAN tɔ̧ɔ̧ hegɔ.","Ɛ̀nɛ̀ nɛ́ si zu kaya, ɛ̀nɛ̀ gɔ́m te piinɛ, ɛ̀nɛ̀ ɗáfí Tua kɔ‘m woyo. Mi tɛ kpa desee, ɓɛɛ gasamɔ kɔ‘m tɛ duk hi̧i̧. GASA WAN tɔ̧ɔ̧ hegɔ.","Dzeme mə ghweme, tsasle mə sheghwə ba'a ŋa mə ghɛa ɗa zhɛkwa. Tagha gɛ, katenza ŋkɛ zeɗehwe ɗa ba'a katencɛ zləvəa ɗa 'ya, 'ya Mahwətə nde gezete. ","Ëii wee ti huuli, wo wee le caa koo! Ni nday boo wee tiñ no. Äil äi fruy yañ go wer äe day ndi da' togoëge yañ wer äe lay. Waçaçn diñ Manwuri."
HAG.1.9," Vous comptiez sur beaucoup, et voici  que cela se réduit  à peu; vous aviez rentré  vos récoltes , et j'ai soufflé dessus. A cause de quoi – oracle de Yahweh des armées ? A cause de ma maison qui est en ruines, tandis que vous vous empressez chacun pour votre maison.","Ye looked for much, and, lo, it came to little; and when ye brought it home, I did blow upon it. Why? saith the  Lord  of hosts. Because of mine house that is waste, and ye run every man unto his own house.","Nigi varay ala nigi ma fi ŋolo. May sargi tige, nigi faawa ne' ɦawa. Nigi feɗemawa vo'o, may nan biwimawa goyo. Lawna vi vok-ma-duura di'e: Kay mige? Kay ziyda van ta ɦoy gaata, may gigekaw ka li tuwam koloyo kay kot ziyna valamu.","Mi nga yange abui bidi, ve tame yenan abime tyôtyoé mi kôaneya. Abime mi nga zuu de menda menan, me maneya mialane de a mvebe wom. Amu jé? Nalé Nti a ne Ngul ése a jô? Amu nda jam é ne ntyaman, ve môt ase ya be mia ki a boʼo vʼésaé ya nda jé.","Ki njaham hiri, anja ɓa ki lumam gwat ngi migama haɗa, amma kisa lumam neˀkini. Gwat ngi migam kumoy, kum miram taŋ le ngi haya na, i ˀufo himiɗ ara, a zliɗa hirnga naŋ mber mber. A gi kanah vur mike? Bumbulvuŋ misi gidaŋ wãˀa, a ɓukum: A gi kanah na, vur hay ɗu a tiri diŋ le, amma kumo so na, mbur gar na, ara wus vu ngi ɗiya hay nga naŋ nga naŋ. ","On tammi on keɓan ɗuuɗɗum, ammaa ndaa, on keɓi pamarum. Nde on koori ɗum haa saare, mi wifti ɗum. Ngam ɗume kuuwmi ɗum? Ngam haykaliiru am laatiindu bille, saa'i on ɗon cukli bee cuuɗi mooɗon. ","On tammi on keɓan ɗuuɗɗum, ammaa ndaa, on keɓi pamarum. Nde on koori ɗum haa saare, mi wifti ɗum. Ngam ɗume kuuwmi ɗum? Ngam haykaliiru am laatiindu bille, saa'i on ɗon cukli bee cuuɗi mooɗon. ","«Ɛnɛ taa so mɛ mɔi̧ nyɔnɔ nɛ dɔka-a, ɓɛɛ dɔk na. Ŋgimbi n’ɛnɛ kaia nyɔnɔ siɗoŋ, mi ufa a taŋ. Ɛnɛ ta k’ɛ́nɛ́‘e nɛ́ wen ge? Mɛ nɛ wen Tua kɔ‘m nɛ gbɔsa, ɓɛɛ war k’ɛ́nɛ́, kóó o nde ta nɛ wen tua kɔ‘i ɓɛɛ. Nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","«Ɛnɛ taa so mɛ mɔi̧ nyɔnɔ nɛ dɔka-a, ɓɛɛ dɔk na. Ŋgimbi n’ɛnɛ kaia nyɔnɔ siɗoŋ, mi ufa a taŋ. Ɛnɛ ta k’ɛ́nɛ́‘e nɛ́ wen ge? Mɛ nɛ wen Tua kɔ‘m nɛ gbɔsa, ɓɛɛ war k’ɛ́nɛ́, kóó o nde ta nɛ wen tua kɔ‘i ɓɛɛ. Nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","Nahe yɛ keveyi ghə kaŋ'we wəshi kwele kwele se te wəve, ama ɓɛhwɛ ŋ'wete yɛ. Ma wəshi nyi fəghe yɛ kadzeki ghɛa ŋayɛ ne, nahe 'ya ketsalemte hɛ le sefə. Va wa menete geva ŋkɛ kala nya wa, a 'ya sha gheyɛ, 'ya Mahwətə nde berete. Va nya nza ghɛa ɗa kakwəfi, vəa ŋkwa nya nza yayata wəndə kahi ghɛa ŋkɛ megela. ","Nday hay kañ ëiggi äay ti feçeçre debañ, koëa nday da' na me' tu. Nday hay a go de äe liñ, ama ndi raw fug leege go ne hen ti. Diñ wer mayla? Diñ wer maga tiñ mani äin go de älagge, Day wosela äuy de ëeege na diñ ti tiñ äe mono. Kay diñ jag Manwuri."
HAG.1.10," C'est pourquoi les cieux vous ont retenu la rosée, et la terre a retenu ses fruits.","Therefore the heaven over you is stayed from dew, and the earth is stayed from her fruit.","Kuɗ na'ta kayni dukalawn min vulgi maɗayn loɗi, nagat min hin jaf ma ka'na vuɗ loɗi.","Ajô te yôp da kame mia meloʼo mé, a bidi biziñ teke fe faa.","Vuŋ mago ti muŋ mata, yo hirwuy magi gwat mata na, vurˀeŋ. ","Ngam maajum asamanji njogitani on saawawre, lesdi boo jogitani on ƴaamle. ","Ngam maajum asamanji njogitani on saawawre, lesdi boo jogitani on ƴaamle. ","Mɛ̀ nɛ́ hegɔ sa'm dor kórò ká tɛɛ hɔ a zu nyɔnɔ k’ɛ́nɛ́, ɓɛɛ nù dɛm nyɔnɔ na. ","Mɛ̀ nɛ́ hegɔ sa'm dor kórò ká tɛɛ hɔ a zu nyɔnɔ k’ɛ́nɛ́, ɓɛɛ nù dɛm nyɔnɔ na. ","Vatse gɛ ne, kese va kame we, kese hɛɗi kapese wəshi we. ","Diñ wersen so ga ngeel ma ciñ laa ra baa ne nday gaa, Sir laa dayge joñ feçeçre wo gaa lay mono."
