livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
HOS.1.1," Parole de Yahweh qui fut adressée à Osée, fils de Béeri, dans les jours d'Ozias, de Joatham, d'Achaz, d'Ezéchias, rois de Juda, et dans les jours de Jéroboam, fils de Joas, roi d'Israël. ","The word of the  Lord  that came unto Hosea, the son of Beeri, in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah, and in the days of Jeroboam the son of Joash, king of Israel.","Ma-Vatɗina di yoboyn tam Hoseya goora vi Beeri, kayn hay liyna vi Oziyas, hiɗi Yotam, hiɗi Ahaz hiɗi Ezekiyas kaw, muliyana vi Yuda; kayn hay liyna vi Yerobowam goora vi Yowas, mul ma Israyella. ","Zambe a nga kobô Ozé, e mone Béri, melu Ozias, Yôtam, Akaz a Ezékias, bejô bôte ya Yuda, be nga too, melu fe Yérôbôam e mone Yôaz, njô bôte ya Israél, a nga too.","Ti Zoroboˀam, mangal ngi Zoˀas mazum buy a ruwuy Israyel na, Oze mangal ngi Beˀeri, Bumbulvuŋ a ɓaŋ ɓi le. Ti di nah, Oziyas, Yotam, Ahas waɗ Ezekiyas ara zumam buy ar ruwuy Zuda ma.","Ndaa wolde nde Jawmiraawo wolwani Hose'a ɓii Beeri nder zamanu Uzziya e Yotam e Akas e Hezekiya, laamiiɓe Yahuuda e nder zamanuuji Yerobo'am ɓii Yo'as, laamiiɗo Isra'iila .","Ndaa wolde nde Jawmiraawo wolwani Hose'a ɓii Beeri nder zamanu Uzziya e Yotam e Akas e Hezekiya, laamiiɓe Yahuuda e nder zamanuuji Yerobo'am ɓii Yo'as, laamiiɗo Isra'iila .","Mɔ nɛ a̧a̧ zaŋ kalata’ɛ nɛ wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Osee bem ko Beeri, ŋgimbi wan ko Ozias, Yotam, Ahaz in Ezɛkias nɛ ɔɔ so wan Juda. Tɛ ŋgimbi'i, nɛ́ Jeroboam bem ko Jɔas a̧ ɔ wan  Israɛl  mɛ.","Mɔ nɛ a̧a̧ zaŋ kalata’ɛ nɛ wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Osee bem ko Beeri, ŋgimbi wan ko Ozias, Yotam, Ahaz in Ezɛkias nɛ ɔɔ so wan Juda. Tɛ ŋgimbi'i, nɛ́ Jeroboam bem ko Jɔas a̧ ɔ wan  Israɛl  mɛ.","Ghena nya gezete nda Mahwətə ke Ozɛ, wəzege ta Bɛri, vəa ŋkwa nya nza Zhɛrobowam, wəzege ta Zhowas, kameghe mbe Israyɛl ba'a vəa ŋkwa nya se Oziyas, Yotam, Ahaz ba'a Ɛzɛkiyas mbe meghe kwa Zhəwda.","Waçaçre maga Manwur fern ne Ose je ni Beeri no, ti wur maga Osiyas wo de Yotam, Ahas wo de Esekiyas joñ wo wañre ma Judan mono, day ti wur maga Jerobowam je ni Jowasn ti wañ Israyel mono."
HOS.1.2," Lorsque Yahweh commença à parler à Osée, Yahweh dit à Osée: "" Va, prends une femme de prostitution et des enfants de prostitution, car le pays ne fait que se prostituer en abandonnant Yahweh. "" ","The beginning of the word of the  Lord  by Hosea. And the  Lord  said to Hosea, Go, take unto thee a wife of whoredoms and children of whoredoms: for the land hath committed great whoredom, departing from the  Lord .","Hay li ma Ma-Vatɗina di yoboyn tam Hoseya sem ma jewn kayni, Ma-Vatɗin di talam ala: Tuɗaŋu, slaŋ cat ta gawlaŋga a na' ma vuɗaŋ guron jar gawlaŋga, kay nagat muɗ tuwa'awa gawlaŋi. Lawn na' hinimawa goyo! ","Atataʼa nkobô wé, Zambe a nga belan Ozé a jô nye na: kelek a nyoñe womiene minga ébamba a bone mejian , amu bôte yʼIsraél ba nyiñ e mejian été éyoñ ba kandane Zambe.","Mingiɓi ngi Bumbulvuŋ miɓa ti balam Oze na, zli virzi naŋ n'ani. Bumbulvuŋ a ɓa Oze na: «Aru, zuɓ ngi ngwasa, i ngwas magi sulome vur Buymisemuŋ. Ziri kum masa ya ka taŋ ati naŋ na, i ziri ngi ngwas sulomehey, asi mike na, hirwuy taˀ gar a mbiɗa duba le da Bumbulvuŋ, ara gam sulome lambaˀ.»","Ndaa nii Jawmiraawo fuɗɗi wolwugo bee hunnduko Hose'a: O wi'i Hose'a: “Yah, te'u debbo daakaareejo, danydu ɓiɓɓe daakaareeku bee maako, ngam yimɓe lesdi am ɗon mbaɗa daakaareeku bee labbi, ɓe acci yam min Jawmiraawo.”","Ndaa nii Jawmiraawo fuɗɗi wolwugo bee hunnduko Hose'a: O wi'i Hose'a: “Yah, te'u debbo daakaareejo, danydu ɓiɓɓe daakaareeku bee maako, ngam yimɓe lesdi am ɗon mbaɗa daakaareeku bee labbi, ɓe acci yam min Jawmiraawo.”","Ɛ̧ɛ̧ nɛ ku̧u̧naŋ tɔ̧ɔ̧ wen ko GASA WAN, ŋgimbi n'aa ee nɛ wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Osee wen tɔ̧a̧-a̧ ha̧ dukbíí kɔ̧-a̧: «Mɛ̀ nɛ́ɛ̀ ba kó-dàlà  nɛ kóò, a̧ mɛ̀ kó be-dàlà in a̧; ɛ̧ɛ̧ kinii nù'ɛ ea'm duk hee mɔ'ɔ nɛ kó-dàlà e nɛ wíì kɔ‘i duk’ɛ ga.»","Ɛ̧ɛ̧ nɛ ku̧u̧naŋ tɔ̧ɔ̧ wen ko GASA WAN, ŋgimbi n'aa ee nɛ wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Osee wen tɔ̧a̧-a̧ ha̧ dukbíí kɔ̧-a̧: «Mɛ̀ nɛ́ɛ̀ ba kó-dàlà  nɛ kóò, a̧ mɛ̀ kó be-dàlà in a̧; ɛ̧ɛ̧ kinii nù'ɛ ea'm duk hee mɔ'ɔ nɛ kó-dàlà e nɛ wíì kɔ‘i duk’ɛ ga.»","Wa nya tsetse ghate geze nda ghena Mahwətə ke mbelia ŋkɛ laka Ozɛ. Ma ke Mahwətə sha Ozɛ: «Kwiɗi, wəmeve male nya kemene mefətekwə. Ma ŋwale nyi teya na hwe ne, kaŋwalea male nya kemene mefətekwə tenza hɛ. Kwa nza ŋkɛ ne, nahe mbeli nyi te hɛɗia ɗa kemenete mefətekwə nya kaganda, laka wəfəyite ɗa, 'ya Mahwətə.»","Tï¡ï¡gi wer waçaçre maga Manwur fern ne Ose mono: Manwur wii Ose ga: See, wo da waçy figliw, day weere maga ndo biñ gi ra mono joñ ge wo diñ weere ma äil figliw, werga sirn go de lengaçëge de figliw ti maga aà tob Manwur go!"
HOS.1.3," Il alla et prit Gomer, fille de Débelaïm ; elle conçut et lui enfanta un fils. ","So he went and took Gomer the daughter of Diblaim; which conceived, and bare him a son.","Nam tun iram ta, sli Gomer, goota vi Diblayim, na' sli haya vuɗum goor ma jufu. ","Nde Ozé a nga ke luʼu Gômer, ngone Diblayim, je ve nyoñ abum a biaé nye monafam. ","Joˀ Oze ara zuɓ ngi ngwasa i Gomer, zuŋ ngi Diblayim. Gomer a gi hur, a yaŋ mangal mizile. ","Hose'a yehi, ɓaŋgi Gomer ɓii Dibilayim. Debbo oo reedi, o danyani mo ɓiɗɗo gorko. ","Hose'a yehi, ɓaŋgi Gomer ɓii Dibilayim. Debbo oo reedi, o danyani mo ɓiɗɗo gorko. ","Nɛ mɔ'ɔ n'aa nɛ̀ɛ́ ba Gɔmɛr, boko-bem ko Diblayim nɛ kóò, ɓɛɛ Gɔmɛr ba zaŋ ko nɛ̀ be-wiwii ha̧ a̧; ","Nɛ mɔ'ɔ n'aa nɛ̀ɛ́ ba Gɔmɛr, boko-bem ko Diblayim nɛ kóò, ɓɛɛ Gɔmɛr ba zaŋ ko nɛ̀ be-wiwii ha̧ a̧; ","Tagha gɛ, cape Ozɛ lə kakelete Gomɛr, wəzha ta Diblayim kamale. Zlivə nde dzawa hwə, bawe nde yake nda wəzege teza. ","AÀ kal rawge, kal da Gomer may mani Diblayim no. Gomer kal mañ äiili, kal biñ weel ne hene. "
HOS.1.4," Et Yahweh lui dit : "" Nomme-le Jezrahel, car encore un peu de temps et je punirai le sang de Jezrahel sur la maison de Jéhu, et je mettrai fin à la royauté de la maison d'Israël. ","And the  Lord  said unto him, Call his name Jezreel; for yet a little while, and I will avenge the blood of Jezreel upon the house of Jehu, and will cause to cease the kingdom of the house of Israel.","Ma-Vatɗin di talamu: Naŋ ma tunum selem ala Yisreel, kay hini neeɗa ɦawa nan ma wat sum sa vo hay ziyna vi Yehuna, kay busuw ma nisi ɦokom goyo hay Yisreella, mulda vi Israyel nan min vata' goyo.","Zambe nye Ozé na: yôléʼé mon ate jôé na: Yizrél, amu a liʼiya ve tyôtyoé wôna ma ye kune metyi me nga kui Yizrél e nlô nda bôte Yéhu yôp, a ma ye tyame njôane nda bôt Israél. ","Dar Bumbulvuŋ a ɓa Oze: «Mangal ɗik na, caŋ slimiɗe Zizreyel, asi hin neˀ ng'aka, pumbus ngi mizli Zizreyel na, i sa cufuɗa ɓi naŋ avu dideˀ ngi Zehuhoy, yo zumabuy ngi Israyele, i sa kiɗa tay wãˀ avra.","Jawmiraawo wi'i Hose'a: “Inndu mo Yisre'el, ngam lutti wakkati seɗɗa, mi hiitoto saare Yehu, ngam ɓe ndufi ƴiiƴam haa Yisre'el . Mi nattinan laamu Isra'iila . ","Jawmiraawo wi'i Hose'a: “Inndu mo Yisre'el, ngam lutti wakkati seɗɗa, mi hiitoto saare Yehu, ngam ɓe ndufi ƴiiƴam haa Yisre'el . Mi nattinan laamu Isra'iila . ","ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin bem’ɛi nɛ Yizreɛl, wen dekpaa mi tɛ kundi ari ha̧ o bíí nutua ko Jɛhu wen o bíí nɛ wa gbɛɛ so saaye Yizreɛl, ɓɛɛ mi tɛ yai mɔɔ-wan ko  Israɛl  yinɛ mbɛt.","ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin bem’ɛi nɛ Yizreɛl, wen dekpaa mi tɛ kundi ari ha̧ o bíí nutua ko Jɛhu wen o bíí nɛ wa gbɛɛ so saaye Yizreɛl, ɓɛɛ mi tɛ yai mɔɔ-wan ko  Israɛl  yinɛ mbɛt.","Ma ke Mahwətə sha Ozɛ: «Hekate nda slə kaZhizrɛyɛl, kwa nza ŋkɛ temə vireɗi ne, kateme 'ya te hwelefe ta Zhɛhə tewəmbəreke mimi nya keshekeyi geva mbe Zhizrɛyɛl. Kateza sebe 'ya te meghe mbe Israyɛl.","Day Manwur kal wiigi äe ga: Kañ ëu ne hen ga Jisreyel, werga ig la me' mono, ndi ur gi yañ ciñ see tiñ mani Jehu no, ti ci maga aà kaan go äi leege ma Israyel mono, ndi taw ge wer wañ ma ti feele mani Israyeln ge go. "
HOS.1.5," En ce jour-là je briserai l'arc d'Israël dans la plaine de Jezrahel. "" ","And it shall come to pass at that day, that I will break the bow of Israel in the valley of Jezreel.","Hay buur namna ɗawni, ɓarawta vi Israyel ta duura nan min kusa' goyo hay liyn ma beɗna vi Yisreel.",A ye bo môs ôte na: ma ye buʼu élaé Israél e mbiʼili Yizrél été. ,"Hin a sa ndilawa, tapasa i sa vuso soje ngi Israyeley ar sozo ngi Zizreyel.»",Nyalaade man ngewanmi lagaawal Isra'iila nder yayre Yisre'el.”,Nyalaade man ngewanmi lagaawal Isra'iila nder yayre Yisre'el.”,"Wese'i, mi tɛ gbin kusaa-goo ko  Israɛl  a nù sɛn kɔ̧ ɗɔŋgɔ Yizreɛl.»","Wese'i, mi tɛ gbin kusaa-goo ko  Israɛl  a nù sɛn kɔ̧ ɗɔŋgɔ Yizreɛl.»","Ma te vecia shɛ ne, katehwəshi rəgia Israyɛl 'ya kwa zlərəa Zhizrɛyɛl.»","Ti wur sen mokay no, ndi harag ge toñwaa yañ go ne Israyel do äi ful ma Jisreyele."
HOS.1.6," Elle conçut encore et enfanta une fille; et Yahweh dit à Osée : "" Nomme-la Lô-Ruchama, car je n'aurai plus compassion de la maison d'Israël pour lui pardonner ses péchés. ","And she conceived again, and bare a daughter. And God said unto him, Call her name Lo–ruhamah: for I will no more have mercy upon the house of Israel; but I will utterly take them away.","Na' sli hay mara lo vuɗ goot-cat kepe. Ma-Vatɗin di tam Hoseya: Naŋ ma tuna' se' ala Lo-Ruhama, kay nan min wi hawta vi ziyna vi Israyel loɗi, nan min vulsi gid loɗi.","Gômer a nga beta nyoñ abum a biaé monaminga. Nde Nti a jô Ozé na: yôléʼé nye jôé na: bebene, amu ma ye bo te beta nyeʼe nda bôt Israél, nge jibi be a lôte nné. ","Gomer tuwa a gi hur ma, a yi zuŋ mongoso. Joˀ Bumbulvuŋ a ɓa Oze: «Ki sa zila Lo-Ruhama mbiɗe avra: ‹Mapurakaŋ ircece ta› asi y'anta sa pura ircece da Israyeleye mata, i sa pula pura taŋ ircece wãˀa.","Debbo go reedi fahin, o danyi ɓiɗɗo debbo. Jawmiraawo wi'i Hose'a: “Inndu mo Lo-Ruhama, waato Enɗaaka, ngam mi tokkataako enɗugo laamu Isra'iila fahin, mi yaafataako ɓe sam. ","Debbo go reedi fahin, o danyi ɓiɗɗo debbo. Jawmiraawo wi'i Hose'a: “Inndu mo Lo-Ruhama, waato Enɗaaka, ngam mi tokkataako enɗugo laamu Isra'iila fahin, mi yaafataako ɓe sam. ","Gɔmɛr baa zaŋ woyo, ko nɛ̀ be-okoo, ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin-a'e Pi̧i̧-Taŋ, wen mi beka usi  kɔ̧ɔ̧mɔ ha̧ nutua  Israɛl  ɓɔna, kà bó nɛ̀ ee ɗaŋmɔ ha̧ wa na mbɛt.","Gɔmɛr baa zaŋ woyo, ko nɛ̀ be-okoo, ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin-a'e Pi̧i̧-Taŋ, wen mi beka usi  kɔ̧ɔ̧mɔ ha̧ nutua  Israɛl  ɓɔna, kà bó nɛ̀ ee ɗaŋmɔ ha̧ wa na mbɛt.","Njihe Gomɛr le hwə ɓiyitsa, ferete nde yake wəzha makwa. Ma ke Mahwətə sha Ozɛ: «Hekate nda slə kaKwaɗema, kwa nza ŋkɛ kazhɛne 'ya kaɗe ka Israyɛl we. Katekele pɛtɛa ɗe ta ɗa 'ya seyi kənəa hɛ.","AÀ kal mañ äiili tigriñ pa, kal biñ may. Day Manwur wii Ose ga: Kañ ëu ne hen ga Lo-Ruhama, werga ndi ba ge wuu wo ko decoo tiñ mani Israyeln ni caw gaa, nen maga ndi mo hay mbi tum fug äil go ne hara ti ni caw gaa hase. "
HOS.1.7," Mais j'aurai compassion de la maison de Juda, et je les sauverai par Yahweh, leur Dieu ; je ne les sauverai ni par l'arc et l'épée, ni par le combat, ni par les chevaux et les cavaliers. "" ","But I will have mercy upon the house of Judah, and will save them by the  Lord  their God, and will not save them by bow, nor by sword, nor by battle, by horses, nor by horsemen.","May nan min wi hawta vi ziyna vi Yuda; Nan min suɗsi hiɗi ɓan nan Ma-Vatɗina, Ma-Vatɗina visiya, nan suɗsi ɗawn hiɗi ɓarawtɗi, hiɗi kew-gaferaŋa hiɗi duurɗi lay, hiɗi kulumayɗi lay, hidi sum sa ɓey kay kulumaynɗi lay.","Ve ma ye wôʼô nda bôte Yuda mintaé; ma ye nyii be, ma Nti, e Zambe wop; ma ye nyii be tekʼélaé nge nkpwaté mekôn, nge bita, nge bikabela nge bebebe bikabela. ","Amma, i sa pura ircece da hay ngi Zuda ɓula, yo ya Bumbulvuŋ Buymisemuŋ taŋ, i sa laha taŋ, y'anta sa laha taŋ ti lek ta, ti maslalam ta, ti gi vurum ta, ti pilisey ta, ti misi pilisey ta ma.»","Ammaa mi enɗan yimɓe laamu Yahuuda, min Jawmiraawo Allah maɓɓe, mi hisnan ɓe. Mi hisnataa ɓe bee lagaawal malla kaafahi malla haɓre malla pucci malla wa'iiɓe ɗi.”","Ammaa mi enɗan yimɓe laamu Yahuuda, min Jawmiraawo Allah maɓɓe, mi hisnan ɓe. Mi hisnataa ɓe bee lagaawal malla kaafahi malla haɓre malla pucci malla wa'iiɓe ɗi.”","«Ɓɛɛ war nutua ko Juda, mi tɛ usi  kɔ̧ɔ̧mɔ  ha̧ wa; mi GASA WAN Sɔ̧ kɔ-wa tɛ kpasi wa; ɓɛɛ bó nɛ́ biro a̧‘m tɛ de nɛ kusaa-goo, gba-paa, nyaŋa, kóó o wan-nyaŋa kpasi nɛ wa na.»","«Ɓɛɛ war nutua ko Juda, mi tɛ usi  kɔ̧ɔ̧mɔ  ha̧ wa; mi GASA WAN Sɔ̧ kɔ-wa tɛ kpasi wa; ɓɛɛ bó nɛ́ biro a̧‘m tɛ de nɛ kusaa-goo, gba-paa, nyaŋa, kóó o wan-nyaŋa kpasi nɛ wa na.»","Ama ka Zhəwda ne, kateɗe hɛ 'ya ba'a katembele hɛ 'ya, 'ya Shala Mahwətə ta nci. Katembele hɛ 'ya kaɗema le rəgi, ya kafayɛ, ya mpa, ya gədəwəa lɛmə keɗema ka zleɗe gədəwəa lɛmə.»","Ama, ndi ko ge decoo ti tiñ mani Juda no. Ndi yaçaç ge ra yañ go diñ ndi Manwuri, Baa äaara no. AÀma ndi yaçaç ge ra go bay diñ de toñwaa wa, bay diñ de moslam wa, bay de durgi wa, bay de piiri wo wa, bay de jar yaë piiri wo wa lay."
HOS.1.8, Elle sevra Lô-Ruchama ; puis elle conçut et enfanta un fils. ,"Now when she had weaned Lo–ruhamah, she conceived, and bare a son.","Hay li ma na' ka vun Lo-Ruhama goyo, na' kot sli hay lo, na' vuɗ goor juf mara lo. ","Eyoñe Gômer a tyiliya Bebene mebé, nde a beta nyoñ abum a biaé monafam. ","A dirba Lo-Ruhama mupula ɗuwa na, Gomer a gi hur, a yi mangal mizile. ","Ɓaawo debbo go enti Lo-Ruhama, o reedi kadiboo, o danyi ɓiɗɗo gorko. ","Ɓaawo debbo go enti Lo-Ruhama, o reedi kadiboo, o danyi ɓiɗɗo gorko. ","Pi̧i̧taŋ bɛ̧ɛ̧ bere, ɓɛɛ Gɔmɛr ba mbe zaŋ woyo ko nɛ̀ be-wiwii, ","Pi̧i̧taŋ bɛ̧ɛ̧ bere, ɓɛɛ Gɔmɛr ba mbe zaŋ woyo ko nɛ̀ be-wiwii, ","Ma kwa fɛamte nda ŋ'wa Gomɛr ke Kwaɗema ne, njihe nde le hwə zhɛkwa, bawe nde yake wəzege teza. ","AÀ kal mañ jag Lo-Ruhama go ti paçaç, blam äe kal mañ äiili ma tigriñ pa, kal biñ weele. "
HOS.1.9," Et Yahweh dit à Osée :""Nomme-le Lô-Ammi, car vous n'êtes pas mon peuple, et moi je ne serai pas votre Dieu. ""","Then said God, Call his name Lo–ammi: for ye are not my people, and I will not be your God.","Ma-Vatɗin di talamu: Naŋ ma tunum selem a la Lo-Ammi, kay nigi wulin kayn say sumuna van loɗi, nan kaw may mi Lawna vigi loɗi lay.","Nti nye Ozé na: yôléʼé mon ate jôé na: Lô-Ami, amu mi nji fe bo bôte bam, a ma ki me nji fe bo Zambe wônan.","Bumbulvuŋ a ɓaŋ na: «Caŋ slimiɗe Lo-Ami, mbiɗe avra: ‹Mizli ɗuwoy ta›, asi kum i mizli ɗuwoy ta, yo ya kwana, yi zliram neˀ le ati kumo ta.»","Jawmiraawo wi'i Hose'a: “Inndu mo Lo-Ammi, waato Naa-ummaatoore-am, ngam onon naa on ummaatoore am, min boo naa mi Allah mooɗon.”","Jawmiraawo wi'i Hose'a: “Inndu mo Lo-Ammi, waato Naa-ummaatoore-am, ngam onon naa on ummaatoore am, min boo naa mi Allah mooɗon.”","ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin-a'e, Bɛ̧ɛ̧-pi̧-nù; wen ɛnɛ bó nɛ́ dukbíí kɔ‘m ɓɔna, ɓɛɛ mi bó nɛ́ Sɔ̧ k’ɛ́nɛ́ ɓɔna mbɛt.»","ɓɛɛ GASA WAN tɔ̧ ha̧ Osee: «Mɛ̀ á nin-a'e, Bɛ̧ɛ̧-pi̧-nù; wen ɛnɛ bó nɛ́ dukbíí kɔ‘m ɓɔna, ɓɛɛ mi bó nɛ́ Sɔ̧ k’ɛ́nɛ́ ɓɔna mbɛt.»","Ma ke Mahwətə sha Ozɛ: «Hekate nda slə ‹kaKaɗema kahwelefe ta ɗa›, kwa nza ŋkɛ ma gheyɛ ka Israyɛl ne, kenza yɛ kahwelefe ta ɗa we, 'ya ne, kenza 'ya kawəsə sha gheyɛ we.»","Day Manwur kal wiigi äe ga: Kañ ëu ne hen ga: Lo-Ammi, werga nday bay diñ jar äi wa, day ndi de see äi ndi bay diñ jobo äay wa lay."
HOS.2.1," Le nombre des enfants d'Israël sera comme le sable de la mer, qui ne se mesure, ni ne se compte; et au lieu où on leur disait : "" Vous n'êtes pas mon peuple, "" on leur dira: "" Fils du Dieu vivant! "" ","Say ye unto your brethren, Ammi; and to your sisters, Ru–hamah.","May hiɗi kayn kaf Israyel ma biya ŋolo, ki ŋesl ma goloŋ kel niyn nala, muɗ ɗawn va mara ma ŋram hiɗi nisi mayɗi, sa fi a ŋaɓsiɗi lay, muɗ ɗawn sa ma disi ala nigi sumuna vi Lawnɗi may loɗi, may muɗ di kisi ɗawn ala gurona vi Lawn ma irina.","Ve tañe bone bʼIsraél ja ye bo ane nseleʼe ya mañ ñwô be se nguleya vek nge lañe tañ; a ye bo na vôme be nga jô be na: mi nji fe bo bôte bam, ba ye jô be na: mi ne bone be vevea Zambe.","Israyeley a sa sikam kaɓa muyuŋ a mi mubuliy, weˀ ti hiri, taŋ kini na, a wi ta, a slufam ta ma. Hin a sa ndilawa, ɓa Buymisemuŋ a sa ɓa taŋ: «Kum i mizli ɗuwoy ta» jak ma na, a sa zila taŋ: «Ziri ngi Buymisemuŋ misi ti siifahay» jaka.","“Ammaa saa'i waran haa limgal yimɓe Isra'iila laato bana njaareendi haa maayo, walaa baawanɗo foondugo e limugo ndi. Haa nokkuure nde goɗɗo wi'no ɓe: Naa on ummaatoore am! Yimɓe mbi'an ɓe: On ɓiɓɓe Allah geeto . ","“Ammaa saa'i waran haa limgal yimɓe Isra'iila laato bana njaareendi haa maayo, walaa baawanɗo foondugo e limugo ndi. Haa nokkuure nde goɗɗo wi'no ɓe: Naa on ummaatoore am! Yimɓe mbi'an ɓe: On ɓiɓɓe Allah geeto . ","Ɓɛɛ ŋma ŋgimbi, o be  Israɛl  tɛ dɔk hee nyɛmɛ ɗɔɔ gba tɔp ga, nɛ‘i beka we dɔka-a kà bó nɛ̀ tɔra-a pi̧ nù na. O bíí tɔ̧ɔ̧ so'e: «Ɛnɛ bo nɛ dukbíí kɔ‘m na.» Ɓɛɛ tɛ ŋgimbi'i, wa tɛ tɔ̧‘e: «Ɛnɛ nɛ o bem ko kpasa Sɔ̧.»","Ɓɛɛ ŋma ŋgimbi, o be  Israɛl  tɛ dɔk hee nyɛmɛ ɗɔɔ gba tɔp ga, nɛ‘i beka we dɔka-a kà bó nɛ̀ tɔra-a pi̧ nù na. O bíí tɔ̧ɔ̧ so'e: «Ɛnɛ bo nɛ dukbíí kɔ‘m na.» Ɓɛɛ tɛ ŋgimbi'i, wa tɛ tɔ̧‘e: «Ɛnɛ nɛ o bem ko kpasa Sɔ̧.»","Ma te kwete hɛ ne, katenza ka Israyɛl kwele kwele kala ndaleghe nya kwa hələ, kateɓelate hɛ mbeli we. Ma te ŋkwa nya se Shala kageze: Kenza yɛ kahwelefe ta ɗa we, ke sha hɛ ne, kateheka hɛ ŋkɛ “kaŊwalea Shala teghweme”.","Ama ti wurpo ngaäa jar Israyel joñ ge wo yañ do deguëgi ma jag maarog nono. Maga aè kaçaç ma ngaäge äe gaa, kaçaç ma keege äe gaè. Ti ngeel maga aè hay waçaçge ne hara ni gano: Nday bay diñ jar äi wa mono, AÈ waçaç ge yañ ne hara ni ga: Jar ni Baa ma tenen wo no!"
