livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
ISA.1.1," Vision d'Isaïe, fils d'Amos, qu'il a vue touchant Juda et Jérusalem, aux jours d'Osias, de Joatham, d'Achaz et d'Ezéchias, rois de Juda.","The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.","Slen ma Esaya goora vi Amos wi vokomu kay Yuda hiɗi Yerusalem, hay liyna vi Oziyas, Yotam, Ahaz hiɗi Ezekiyas muliyana vi Yuda.","Nkulane mejô Ezayi, e mone Amôs, ñwô a nga kulu asu Yuda a Yérusalém, melu Ozias, Yôtam, Akaz a Ezékias bejô bôte ya Yuda be nga too.","Izayi mangal ngi Amoto, a pur gwat ti kleŋ, i ɓi ngi zumabuy ngi Zuda ati ɓi ngi walahay Zeruzalem. Naɓa ti Oziyas, Yotam ati Ahas waɗ Ezekiyas, a zumam buy le asi cala asi cala a Zuda.","Ndaa wahayu mo Esaaya ɓii Amoosa heɓi dow Yahuuda e Urusaliima nder zamanu Uzziya e Yotam e Akas e Hezekiya, laamiiɓe Yahuuda .","Ndaa wahayu mo Esaaya ɓii Amoosa heɓi dow Yahuuda e Urusaliima nder zamanu Uzziya e Yotam e Akas e Hezekiya, laamiiɓe Yahuuda .","Mɔ nɛ Esaii bem ko Amɔs zɔka tɛ hɔɔ-zu nɛ Sɔ̧ hɔɔ ha̧ a̧ zu Juda in Jerusalɛm ŋgimbi ko o wannu Ozias, Yotam, Ahaz in Ezɛkias nɛ ɔɔ so wan zu Juda nɛ mɔ'ɔ.","Mɔ nɛ Esaii bem ko Amɔs zɔka tɛ hɔɔ-zu nɛ Sɔ̧ hɔɔ ha̧ a̧ zu Juda in Jerusalɛm ŋgimbi ko o wannu Ozias, Yotam, Ahaz in Ezɛkias nɛ ɔɔ so wan zu Juda nɛ mɔ'ɔ.","Wa nyi wəshi nyi nakɛ Ɛzayi, wəzege ta Amots, te ghəa yɛ hɛɗia Zhəwda le meleme Zhɛrəzalɛm laka kelɛŋə nyi. Vəa ŋkwa nya se Oziyas, Yotam, Ahaz ba'a Ɛzɛkiyas kaka meghea kɛfi mbe Zhəwda nakɛ wəshia shɛhɛ ŋkɛ.","Ree maga aè naa nen äe ne Esay je ni Amotsn ti Juda wo de Jerusalem ti kal mani Osiyas, Yotam, Akas, Esekiyas wañre ma Judan wo mono."
ISA.1.2," Cieux, écoutez, et toi, terre, prête l'oreille, car Yahweh parle: J'ai nourri des enfants et je les ai élevés, et eux se sont révoltés contre moi. ","Hear, O heavens, and give ear, O earth: for the  Lord  hath spoken, I have nourished and brought up children, and they have rebelled against me.","Dukalawna, humaŋu, nagata, jakag humagu, kay Ma-Vatɗina ka ɓaka. Nan vul tin mi gurona, nan wulsiyawa kulo'o kaw, may nisi yaw kulo katanu.","Vôʼôlôʼô, a yôp! Keʼe alo, a Si! Amu Nti Nye a kobô: me maneya naa bon , a bo na be yaé, ve be beneya njôane wom.","Ya Bumbulvuŋ i ɓi na: «Muŋ, cin! Hirwuy, jika slimiɗe! I gil ziri le, i sirka taŋ le, amma taŋ, a slikiɗam ɓi le avu ya.","“Asamanji, nane! Lesdi, heɗita! Ngam min Jawmiraawo wolwata. Mi mawnini ɓikkoy, mi wuurni koy, ammaa koy tuurtani yam. ","“Asamanji, nane! Lesdi, heɗita! Ngam min Jawmiraawo wolwata. Mi mawnini ɓikkoy, mi wuurni koy, ammaa koy tuurtani yam. ","Yiwese a̧ zii, ɓɛɛ nu a̧ yeŋ zer tɛ wen nɛ GASA WAN tɛ tɔ̧‘i. Gba̧a̧ wen-aa nɛ mɔ'ɔ: «Mi daia o bem gasi kaɗi, ɓɛɛ nɛ mɔ'ɔ nɛ wa zika tɛ tɛ́ɛ̀ de ŋgazu in am.","Yiwese a̧ zii, ɓɛɛ nu a̧ yeŋ zer tɛ wen nɛ GASA WAN tɛ tɔ̧‘i. Gba̧a̧ wen-aa nɛ mɔ'ɔ: «Mi daia o bem gasi kaɗi, ɓɛɛ nɛ mɔ'ɔ nɛ wa zika tɛ tɛ́ɛ̀ de ŋgazu in am.","Ghweme, fate! Hɛɗi, ghwene sleme! Ma ke Mahwətə gezete ghena: «Nahe 'ya kedəkwəte ŋwale kezha nza hɛ kambelia jama, ama nahe hɛ kefatema ɗa ghena.","Ngeel ma ciñ mo laa! Tamsir mo co' sugi! Gahaçyla Manwur de waçaç waçaçre gano: Ndi had weere wo day ndi geçeç ra go, Ama saara joñ ti grañ go see äi."
ISA.1.3," Le boeuf connaît son possesseur et l'âne la crèche de son maître ; mais Israël n'a point de connaissance, mon peuple n'a point d'intelligence. ","The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.","Putna wi mulamna, kuron wi jokŋa vi mulamna kaw; may sa Israyel hayɗin wi va noŋɗi, sumuna vanu min humɗi.","Nnôme nyak a yeme môt a nee nye, A éjakase ki éwolo bidi ésaa wé; Isaraél, a nji ke yeme jôm E bôte bam be ne asuk.","Ko sla kwana, a si na buy naŋ, yo zungu, a si na li zum naŋ nga hay buy naŋ le, amma Israyeley a sinam gwat ta. Mizli ɗuwoy anta slaka wala ngi ɓi ta.»","Ngaari anndi marɗo ɗum, wamnde boo anndi ngaɓaare haa jawmiire nyaamnata ɗum. Ammaa koo ko Isra'iila anndi, ummaatoore am faamataa sam.” ","Ngaari anndi marɗo ɗum, wamnde boo anndi ngaɓaare haa jawmiire nyaamnata ɗum. Ammaa koo ko Isra'iila anndi, ummaatoore am faamataa sam.” ","Ndai iŋa wan kɔ‘i, tuifuu mbɛt iŋa fara nɛ wan-dai-a a nyɔŋmɔ sɛnɛ ha̧ a̧, ɓɛɛ  Israɛl  iŋ wan kɔ‘i na; dukbíí kɔ‘m zii mɔ na.»","Ndai iŋa wan kɔ‘i, tuifuu mbɛt iŋa fara nɛ wan-dai-a a nyɔŋmɔ sɛnɛ ha̧ a̧, ɓɛɛ  Israɛl  iŋ wan kɔ‘i na; dukbíí kɔ‘m zii mɔ na.»","Nahe mca keɗepe wəndə ke gheŋkɛ, nahe kwara keɗepe dzebene nya ve nda wəsə kezeme nde sleke ŋkɛ kwa. Ama wəsə shɛ keɗepe ka Israyɛl we, wəsə shɛ kafave mbelia ɗa we.»","Blodaèy de ko je äe no, gerheçeç de ko ngeel maga jar waçaç waçaçre äen lag wo hoçoç ne hen ni mono, Ama Israyel bay de ko mopo wa hase jar mani äin bay wo laa wer mopo wa."
ISA.1.4," Ah! nation pécheresse, peuple chargé d'iniquité, race de méchants, fils criminels. Ils ont abandonné Yahweh, ils ont outragé le Saint d'Israël, ils se sont retirés en arrière. ","Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the  Lord , they have provoked the Holy One of Israel unto anger, they are gone away backward.","Joot kay jaf-sum sa sulukŋa, hiɗi sum sa hobi hiɗi ci-matta, joot kay jaf-sum sa li jiw-zlata, joot kay sum sa muɗi liwisna! Kay nisi noy Ma-Vatɗina goyo, ma Peldetna vi Israyel muɗawa kirsi bisi, nisi hot tuwsiyawa goy bugolo.","Bidim a ayoñ da bo abé , ayoñe bôt e beʼe adite mbeʼe ya bikobe biap, Mvoñe bôt ja bo mbia be mam, Bone yʼékotekot mbe mi né! Mi liʼiya Nti. Be biaséya Nyô ya Israél a nʼétyi, Mi lumeya nye mvus.","Sukwi migi mungrahay, kum ar bonoy, mizli migi mungra madiɗahay, sukwi ngi migi malambaˀay, kum i ziri mitikinahay le. Ki pulaka Bumbulvuŋ le, Buymisemuŋ mipal ngi Israyel na, ki hirsakaŋ, ki mbiɗakaŋ duba le.","Bone laatanto ummaatoore hakke'en nde'e, ummaatoore heewnde zunuuba, asŋgol halluɓe, ɓiɓɓe wonniiɓe! Ɓe ngudini Jawmiraawo, ɓe njawi Ceniiɗo Isra'iila, ɓe ndokkiti mo ɓaawo. ","Bone laatanto ummaatoore hakke'en nde'e, ummaatoore heewnde zunuuba, asŋgol halluɓe, ɓiɓɓe wonniiɓe! Ɓe ngudini Jawmiraawo, ɓe njawi Ceniiɗo Isra'iila, ɓe ndokkiti mo ɓaawo. ","Bɔnɛ a̧a̧ zu'nɛ́, ɛnɛ o tugun bíí de ɗaŋmɔ; yí-tom k’ɛ́nɛ́ nɛ gbɛɛ zu, ɔr nɛ o bíí nyɔŋ nɛ mɔ er-wa sɔɔ gee! GASA WAN nɛ duk nɛ Sa̧a̧ Wi ko  Israɛl , nɛ mɔ'ɔ nɛ wa ea a̧ duk, e a̧ tɛ geemɔ, ɓɛɛ zik ɗoŋ e ha̧ a̧.","Bɔnɛ a̧a̧ zu'nɛ́, ɛnɛ o tugun bíí de ɗaŋmɔ; yí-tom k’ɛ́nɛ́ nɛ gbɛɛ zu, ɔr nɛ o bíí nyɔŋ nɛ mɔ er-wa sɔɔ gee! GASA WAN nɛ duk nɛ Sa̧a̧ Wi ko  Israɛl , nɛ mɔ'ɔ nɛ wa ea a̧ duk, e a̧ tɛ geemɔ, ɓɛɛ zik ɗoŋ e ha̧ a̧.","Wa nya ndiremi te hwelefe ta ka jaɗafa, mbeli nyi bətə nyi mbe fete, hwelefe ta ka ndiremi ndiremia mehele, ŋwale nyi kebeze beze nyi gɛ! Nahe yɛ kewəfəyite Mahwətə, nahe yɛ keɓelama Shala ta Israyɛl nya keveyi geva tekeleke, nahe yɛ kezhɛrave nda wəmbə.","Ree ti wer jar ma de älaggen wo, Ti jar ma debaycoçoçren wo, Ti wer jar ma joñ älaggen wo, ti weere ma de glubgin wo! AÀ tob wo Manwur go, aà mbuë wo fo je ma bay ëag ma Israyeln go, Day mbuë wo faale go ne hene."
ISA.1.5," Où vous frapper encore, si vous continuez vos révoltes? Toute la tête est malade, et tout le coeur est languissant. ","Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.","Wulini nan watgi ɗawni hay galgi marige? Kay jiw-zlata vigiya jorawa voko. Yigi kaf kaay goy mili, dikgi kaf ka ci lasi.","Vôme mbé nye a beta bibi mia, mia mia yeme ngule ya bene njôan? Nlô ôse ô ne Nkôkon, A nlem ôse ô biliya atek.","Kum maslikiɗam ɓi ti gidaŋ vuna, ɓa a kuɗukum ar wana aruŋ maka? Hirnga taˀ i waˀa, mevele fuk ti jiji.","Haa toy ngiɗɗon goɗɗo fiya on fahin, onon tokkitinanɓe tuurtol? Hoore fuu heewi elooɗi, ɓernde fuu ɗon nder naawɗum. ","Haa toy ngiɗɗon goɗɗo fiya on fahin, onon tokkitinanɓe tuurtol? Hoore fuu heewi elooɗi, ɓernde fuu ɗon nder naawɗum. ","Ɛnɛ o yaa-ŋgazu nɔ'ɔ, gè tɛ‘nɛ́ ge a'i tɛ gusi ɓɔ ge? Wen zu'nɛ́ kpee nɛ da̧i̧, ŋgai bo yí-see'nɛ́ ɓɔna.","Ɛnɛ o yaa-ŋgazu nɔ'ɔ, gè tɛ‘nɛ́ ge a'i tɛ gusi ɓɔ ge? Wen zu'nɛ́ kpee nɛ da̧i̧, ŋgai bo yí-see'nɛ́ ɓɔna.","Te nyama ŋkwa hi mbeli kaɗa ŋayɛ zhɛkwa, gheyɛ nyi kentsə geva mbe fama ghena tse wa? Bətə ghə mbe zhi, pɛtɛa wənə shewə.","De maga nday yaë wer ti grañ äayn ciñ mono, A ma' nday na ti ngeel ma hon mo pa so la? Tin go äuy de ceege lay, Jiilin go äuy nen lawge lay."
ISA.1.6," De la plante des pieds au sommet de la tête, il n'y a en lui rien de sain: ce n'est que blessures, meurtrissures, plaies vives, qui n'ont pas été pansées, ni bandées, ni adoucies avec de l'huile. ","From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.","Gaa segi pa ta-ta kulo kigi dab', va ma hini ŋaa'a may loɗi; tuwgi ma kaay goy milla, vun libetna hiɗi mil ŋayakŋa kaf sa may junum vunamɗi, muzum vunam goyɗi, li va vunamɗi, ɦok mul vunamɗi kaw.","Ataté abo si a kui nlô, Teke vôm a ne mvoʼé; Meveñ, beduʼi, bevevee mefô be nji ke fimi nge tiñeti bie nge sôé mbon été na ényan é voé.","Zle a hur sar hã a hirnga na, gwat mukuy kuy anta mata. Ngurut ti ka, waˀa ti ka, vu pulot pulot, ko ki tukuɗaka taŋ ta, ki mbizaka taŋ ta, ki paka taŋ mal ta ma.","Teppere haa hoore fuu yamɗaay sam, sey naawne e ɓoostanɗe e kuuduuje. Ɗe lallaaka, ɗe kaɓɓaaka, ɗe ndufaaka nebbam. ","Teppere haa hoore fuu yamɗaay sam, sey naawne e ɓoostanɗe e kuuduuje. Ɗe lallaaka, ɗe kaɓɓaaka, ɗe ndufaaka nebbam. ","Nɛ̀ naŋ‘nɛ́ hɔ nɛnɛ bɛɗɛ zu'nɛ́ mɛ, ŋma oi tɛ‘nɛ́ duk na, kana nɛ da̧i̧ in o mɔ nɛ sui tɛ‘nɛ́ fok nɛnɛ nɛ mam in o gba-da̧i̧. Wi fɔr yi da̧i̧‘i na; wi hɛr na, kà bó nɛ̀ aa nɔ̧́ sɛnɛ na mbɛt.","Nɛ̀ naŋ‘nɛ́ hɔ nɛnɛ bɛɗɛ zu'nɛ́ mɛ, ŋma oi tɛ‘nɛ́ duk na, kana nɛ da̧i̧ in o mɔ nɛ sui tɛ‘nɛ́ fok nɛnɛ nɛ mam in o gba-da̧i̧. Wi fɔr yi da̧i̧‘i na; wi hɛr na, kà bó nɛ̀ aa nɔ̧́ sɛnɛ na mbɛt.","Slə mbe hwəa seɗa hwa'a kwa ghə ne, bela nya lɛŋe lɛŋe shɛ we. Ma dzeyi te yayata ŋkwa ne, zhi, ɓərə ɓərə ta ghweɗa, zhi nyi hanzayɛ nzanyɛ ya shɛ. Wəndə shɛ keyaɓemte hɛ we, wəndə shɛ kepeɗete hɛ we, wəndə shɛ kemenate n'yi te hɛ we.","Tï¡ï¡ le faale äaale haçaç le' go ti, Ngeel ma de el yweg ta' bay wa. AÀ go äuy diñ waçaçge, Diñ wuëgi see wo de gweçeç maga aè saë ra ti boñ gaa lay, AÈ kuë ra gaa lay hayba noo dra' aè kaa ni ma tañ jag äaara gaa lay."
ISA.1.7," Votre pays est un désert; vos villes sont consumées par le feu ; votre sol, des étrangers le dévorent sous vos yeux; la dévastation est comme le ravage fait par des étrangers. ","Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.","Nagata vigi hini goyo, hoyok-ziyna vigi ŋalay kay kuta, sum sa pulla ka ti nagata vigi vok irgiya. Nagat hini goy ɦawa'a, ki ɦo-gaata ta sum sa pulla mara' kigiya nala.",Si jenan é ntoo bilik. Bitisone bienan bi ntoo ndiʼan. Bejin ba di si jenan ôsu vienan: ane jôme bejin be maneya tyam.,"Hirwuy kum a ndir le daŋ daŋ, walahay kumoy i muwurahay le. Hirwuy kumo, mulakay ara zumaka a mbuŋ kumo. A ndir le daŋ daŋ kaɓa Buymisemuŋ a pula le asi haŋ ngi mulakay, ɓa a hiryakaŋ gwataya.","Lesdi mon laatake ladde meere, yiite nyaami berniiji mon. Jananɓe ɗon mbonna lesdi mon haa yeeso mooɗon, ɗum nattere nde jananɓe ukkani on. ","Lesdi mon laatake ladde meere, yiite nyaami berniiji mon. Jananɓe ɗon mbonna lesdi mon haa yeeso mooɗon, ɗum nattere nde jananɓe ukkani on. ","Nu k’ɛ́nɛ́ kifa bɛɛ-oi, o ye k’ɛ́nɛ́ bia wee. O gɛnɛ ɗaŋa nu k’ɛ́nɛ́ ɓɔn gbaayí‘nɛ́, gɔni bíí ɗaŋa nu k’ɛ́nɛ́ kifi geemɔ;","Nu k’ɛ́nɛ́ kifa bɛɛ-oi, o ye k’ɛ́nɛ́ bia wee. O gɛnɛ ɗaŋa nu k’ɛ́nɛ́ ɓɔn gbaayí‘nɛ́, gɔni bíí ɗaŋa nu k’ɛ́nɛ́ kifi geemɔ;","Kala ɓerama nya dɛrɛŋe rɛŋe hɛɗia ŋayɛ, hɛmɗɛke yɛ meleme ta ŋayɛ ketere tere. Kwa ntsə ta ŋayɛ ne, kafə wəshi nyi wəzate yɛ kweci hwelefefi. Nahe yɛ wəvea ŋayɛ kebezemte geva kala wəsə nya bezemte ka ghema.","Sir äayn go nen lawge so! Äi leege äayn wo go de roëge de wuu, Waare wo go de ree sir äayn nen äay. AÀ diñ coocoo de ba weege doga waare a go frum nday nono."
ISA.1.8," Et la fille de Sion est restée comme une cabane dans une vigne, comme une hutte dans un champ de concombres, comme une tour de garde. ","And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.","Goota vi Siyon muɗi ki ziy-coora goy jar sine gulda-guldana nala, ki guɗukŋa viy jar sinena vi kurdina nala, ki hoyok-ziy ma sumun may tom gaaɗi nala.","Ngone ya Sioñ ki é liʼiya ane ébem afube mindiʼi été, ane tison be diliya a bita.","Sey Siyoŋ walahay madiɗa mindir pal naŋ kaɓa mazlaɓ ar guva ngi gudubun, kaɓa guɗuk ar guva ngi tatiyak, kaɓa walahay mindaha le.","Urusaliima warti bana daŋki nder ngesa inabooje, bana daŋgel nder ngesa kurciije, bana berniwol kippaaŋgol. ","Urusaliima warti bana daŋki nder ngesa inabooje, bana daŋgel nder ngesa kurciije, bana berniwol kippaaŋgol. ","ɓɛɛ ye Jerusalɛm tɛ duk hee ŋma be tua-pɛm-mɔ sɛn kpɛɛfɔ-nyak-dɔ̧ɔ̧ ga, kóó hee ŋma gbáksák sɛn kpɛɛfɔ-gala ga; a̧ tɛ duk hee ŋma ye nɛ biro kɛra ga.","ɓɛɛ ye Jerusalɛm tɛ duk hee ŋma be tua-pɛm-mɔ sɛn kpɛɛfɔ-nyak-dɔ̧ɔ̧ ga, kóó hee ŋma gbáksák sɛn kpɛɛfɔ-gala ga; a̧ tɛ duk hee ŋma ye nɛ biro kɛra ga.","Deke meleme ta Siyon ya mba kala ghwəli nya mbe wəvea rɛzɛŋe, kala ŋkwa kewəfərə nya mbe wəvea hɛremɛɗɛ, kala meleme nya dzaslete ka sewajɛa ka ghema.","May ma Siyoñ gwa' go Do duuli ma äil pay tlalum nono, Do mburyug ma äi pay ngurgudu nono, Do äi leege po maga jar hee wo go de cir ti äe mono!"
ISA.1.9," Si Yahweh des armées ne nous eût pas laissé un faible reste, nous serions comme Sodome, nous ressemblerions à Gomorrhe. ","Except the  Lord  of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.","Lali Ma-Vatɗina hinay caw sum segen hiniɗi, nay muɗ ɗawn ki Sodoma nala, nay li ɗawn ki Gomora nala.","nge Nti ya minsamba mewosan a too ye bo te liʼi bia bone mebukaʼa me bôt, bi nga ye bo ane Sodom, bi nga ye funane Gomor!","Da Bumbulvuŋ, misi gidaŋ wãˀa, a pula mizli ndraˀahaya zleˀe, a laham cah ta na, anja ndra kaɓa walahay Sodom, rak rak ati walahay Gomor.","To Jawmiraawo honooɓe asama luttanaayno en yeeɗɓe seɗɗa, en laatotono bana Sodoma, en nanndanno bee Gomorra .","To Jawmiraawo honooɓe asama luttanaayno en yeeɗɓe seɗɗa, en laatotono bana Sodoma, en nanndanno bee Gomorra .","Kà GASA WAN nɛ̀ a̧a̧ nɛ ŋgayamɔ lɛŋ nɛ́ kpasa so o ŋma bíí na, ɛɛ tɛ̀ɛ́ hɔ ŋmaa in o bíí Sɔdɔm in Gɔmɔr.","Kà GASA WAN nɛ̀ a̧a̧ nɛ ŋgayamɔ lɛŋ nɛ́ kpasa so o ŋma bíí na, ɛɛ tɛ̀ɛ́ hɔ ŋmaa in o bíí Sɔdɔm in Gɔmɔr.","Ma ya kaɗema Mahwətə nde berete kesərəakɛ kweci mbeli teghweme hwa gheɓəmə ne, nza kala meleme ta Sodome tenza gheɓəmə, yipə yipə le Gomore tenza gheɓəmə.","Hayga Manwur Pantway de men jar po we ne naa yemeg gaa no, Naa de hay go do Sodom nono, Naa de hay go de mañ Gomore!"
ISA.1.10," Ecoutez la parole de Yahweh, juges de Sodome ; prêtez l'oreille à la loi de notre Dieu, peuple de Gomorrhe. ","Hear the word of the  Lord , ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.","Humgi yoboyna vi Ma-Vatɗina, nigi sa ŋulona vi Sodoma, jakgi humgi tam gatta vi Lawna vaya, nigi sum sa hay Gomora.",Vôʼôlaʼane nkobô Nti A mia bingoʼo ya Sodom! Keʼane melo menan e metiñ me Zambe wongan A mia bôte ya Gomor!,"Kum misi ka madiɗa ngi Sodomoy, cinam mingiɓi ngi Bumbulvuŋ. Kum misi ka mizli Gomoroy, jikam slimiɗ ar gwat Buymisemuŋ ndra madubuna ndra di na.","Nane wolde Jawmiraawo, onon ardiiɓe Sodoma ! Heɗita tawreeta Allah, an Gomorra! ","Nane wolde Jawmiraawo, onon ardiiɓe Sodoma ! Heɗita tawreeta Allah, an Gomorra! ","Ɛ̀nɛ̀ zíí wen ko GASA WAN, ɛnɛ o gasawi Sɔdɔm; ɛ̀nɛ̀ yeŋ zer'nɛ́ tɛ usamɔ ko Sɔ̧ k’ɛɛ, ɛnɛ o bíí Gɔmɔr.","Ɛ̀nɛ̀ zíí wen ko GASA WAN, ɛnɛ o gasawi Sɔdɔm; ɛ̀nɛ̀ yeŋ zer'nɛ́ tɛ usamɔ ko Sɔ̧ k’ɛɛ, ɛnɛ o bíí Gɔmɔr.","Fa mə ghena ta Mahwətə, gheyɛ mbeli nyi te ghə nyi kala ka Sodome! Ve mə sleme yitea ghena nya geze Shala ta ɓəmə, gheyɛ mbeli nyi kala ka Gomore!","Laa wee waçaçre Manwuri, Nday wañre Sodom no! Co' wee sug jag liñgi mani Baa naa no, Nday jar Gomor no!"
