livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JDG.1.1," Après la mort de Josué, les enfants d'Israël consultèrent Yahweh, en disant : ""Qui de nous montera le premier contre les Chananéens pour les combattre?"" ","Now after the death of Joshua it came to pass, that the children of Israel asked the  Lord , saying, Who shall go up for us against the Canaanites first, to fight against them?","Bugol mitta vi Yosuwa, gurona vi Israyel job tam Ma-Vatɗina di'e: Ma-Vatɗina, jarma lakŋi, jaf ma naŋ min ala nam tun vok jewe kay tuɗ dur sum sa Kanaaniyana mi jaf marige? ","Eyoñe Yasua a wuya, bone bʼIsraél be nga yemelane nkômbane Nti a sili nye na: za ya be bia a ye taté bet a wosane bôte ya Kanaañ? ","A dirba Zozuwe mumuc na, Israyeley ara puraka Bumbulvuŋ, a ɓakaŋ na: «Masa ru dumbuŋ nga kiɗa Kanaˀanay na, i sukwi wana asi ndra ka?» ","Ɓaawo maayde Yosuwa, Isra'iila'en ƴami Jawmiraawo: “Lenyol ngole nder le'i amin aartata yahugo haa Kanaani'en ngam haɓugo bee maɓɓe?” ","Ɓaawo maayde Yosuwa, Isra'iila'en ƴami Jawmiraawo: “Lenyol ngole nder le'i amin aartata yahugo haa Kanaani'en ngam haɓugo bee maɓɓe?” ","Ɗoŋ fio ko Josue, o be  Israɛl  aka mɔ in GASA WAN hee mɔ'ɔ ga: «Nɛ́ ge zuduk ge mgbara yɛ a̧ tɛ yak ti wen bíí biro in o be Kanaŋ ge?»","Ɗoŋ fio ko Josue, o be  Israɛl  aka mɔ in GASA WAN hee mɔ'ɔ ga: «Nɛ́ ge zuduk ge mgbara yɛ a̧ tɛ yak ti wen bíí biro in o be Kanaŋ ge?»","Ma kwa sebe ta mte ta Zhozəwɛ ne, pa ka Israyɛl 'yɛwakɛ ghena va Mahwətə ma ke hɛ shɛ: «Wa hwelefe nya kelə te kema kezha mpa le ka Kanan wa?» ","Blam huli Josuwe mono, jar Israyel kal wo wii Manwur gano: Wose wo ge tañgu dur jar Kanaan wo mo la? "
JDG.1.2," Yahweh répondit : ""Juda montera ; voici que j'ai livré le pays entre ses mains."" ","And the  Lord  said, Judah shall go up: behold, I have delivered the land into his hand.","Ma-Vatɗin hot dita disiya: Jafna vi Yuda ma tuɗ vok jewe. Ɗuwgiya, nagat na'ta nan vulsitawa hay bisiya. ",Ane Nti a nga yalane na: Yuda e nye a ye bet amu me veya si éte e mo mé. ,"Bumbulvuŋ a mbiɗa taŋ di: «I sukwi ngi Zuda masa ru, asi i vula hirwuyo le asi haŋ naŋ.» ",Jawmiraawo jaabi: “Lenyol Yahuuda aarta yahugo. Mi hokki ngol lesdi man.”,Jawmiraawo jaabi: “Lenyol Yahuuda aarta yahugo. Mi hokki ngol lesdi man.”,"GASA WAN kifa nú: «Nɛ́ zuduk ko Juda a̧ tɛ yak ti, mi ee nú kɔ̧ er-wa kaɗi.»","GASA WAN kifa nú: «Nɛ́ zuduk ko Juda a̧ tɛ yak ti, mi ee nú kɔ̧ er-wa kaɗi.»","Ma ke Mahwətə zhɛnete: «Hwelefe ta Zhəwda, kave hɛɗia shɛ 'ya mbeyitere berete ta ŋkɛ.» ",Manwur kal gano: Wo ge na diñ Juda werga ndi go de haç sirn ne hen äi coo do. 
JDG.1.3," Et Juda dit à Siméon, son frère : ""Monte avec moi dans le pays que le sort m'a assigné, et nous combattrons les Chananéens; j'irai aussi avec toi dans le pays que le sort t'a assigné."" Et Siméon alla avec lui. ","And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.","Jafna vi Yuda di tam jafna vi Simeyon ɓasum Yudana ala: Nay tuɗay hay nagata ta vuli muma'ta, nay duray sum sa Kanaaniyana, bugolda numa ma tapis hiɗi nigiya kay dur kuɗgiya hay nagata ta vuli ir migita. Nala jafna vi Simeyon tap kuɗsiya. ","Nde Yuda a nga jô Siméoñ, monyañe wé na: zaʼa bia wo bi ke éfase si be nga ve ma a wosane Bekananééñ; bia wo fe bia ye ke éfase si be nga ve wo. Ane ba Siméoñ be nga ke. ","Sukwi ngi Zuda a ɓa dideˀ ngi Simeyoŋ, sukum naŋhaya na: «Soko asi ya nga hirwuy muvulikiy di, ɓa i ra kiɗaka Kanaˀanaya. A dirba nah, ya kwana, i sa ru asi ka nga hirwuy muvulukuw di.» Dar dideˀ ngi Simeyoŋhoy tuwa, a ram aseˀeˀ. ","Yimɓe Yahuuda mbi'i yimɓe Simeyon banndiraaɓe muuɗum'en: “En njahda haa geɗal lesdi ngal laatani min, en kaɓa bee Kanaani'en. Nden minin boo min njahdan bee mooɗon haa geɗal mon.” Nden yimɓe lenyol Simeyon kawti bee lenyol Yahuuda. ","Yimɓe Yahuuda mbi'i yimɓe Simeyon banndiraaɓe muuɗum'en: “En njahda haa geɗal lesdi ngal laatani min, en kaɓa bee Kanaani'en. Nden minin boo min njahdan bee mooɗon haa geɗal mon.” Nden yimɓe lenyol Simeyon kawti bee lenyol Yahuuda. ","Zuduk ko Juda tɔ̧ɔ̧ ha̧ o nya-wi o bezaŋ Simɛɔŋ: «Ɛ̀nɛ̀ dáŋ in yɛɛ pii tɛ nù k’ɛɛ, ɛ̀ɛ̀ bí o be Kanaŋ; ɓɛɛ ɛ́ɛ́ mbɛt, ɛɛ tɛ nɛ in'nɛ̀ɛ́ sitɛ nù k’ɛ́nɛ́.» Ɓɛɛ o bezaŋ Simɛɔŋ nɛ in wa. ","Zuduk ko Juda tɔ̧ɔ̧ ha̧ o nya-wi o bezaŋ Simɛɔŋ: «Ɛ̀nɛ̀ dáŋ in yɛɛ pii tɛ nù k’ɛɛ, ɛ̀ɛ̀ bí o be Kanaŋ; ɓɛɛ ɛ́ɛ́ mbɛt, ɛɛ tɛ nɛ in'nɛ̀ɛ́ sitɛ nù k’ɛ́nɛ́.» Ɓɛɛ o bezaŋ Simɛɔŋ nɛ in wa. ","Ma ke mbelia Zhəwda sha hwelefe ta Simɛyon wəza meghekɛa Zhəwda: «Mbi ɓəmə le ghen'yɛ kakele hɛɗi nya keveyi geva kaŋa ɓəmə. Ve nda ɓəmə mpa kanya kwetɛŋe ke ka Kanan! Ma kwa sebe ta ŋkɛ nda lə mə le gheyɛ zlaɓe kakele ŋayɛ ŋa ŋayɛ hɛɗi.» Cape hwelefe ta Simɛyon le hwelefe ta Zhəwda, ","Juda kal wii hen äe Simeyoñ gano: Wo kañ mege ma yaçaç sir maga go de haçge me tway äi mono, maga naa wo dur jar Kanaan wo. Ndi wo ge yañ kay ndo ti sir maga sen go de haçge mo tway äo mo lay no. Simeyoñ kal rawge wer äe. "
JDG.1.4," Juda monta, et Yahweh livra entre leurs mains les Chananéens et les Phérézéens; ils battirent dix mille hommes à Bézec. ",And Judah went up; and the  Lord  delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.,Jafna vi Yuda tun irsi vun duura. Ma-Vatɗina vul sum sa Kanaaniyana hiɗi sum sa Feresiyena kaf hay ɓisiya. Nisi ci sumun birim doogo hay Bezek. ,"Ane Yuda a nga ke, a Nti a nga ve Bekananééñ a Beférézieñ e mo map. Nde be nga bôé bôte toyini awôme ya be be e Bézék. ","Sukwi ngi Zuda tuwa, aru nga kiɗa vu so, Bumbulvuŋ a vula taŋ Kanaˀanay ati Perizihey asi haŋ taŋ. A kiɗam asi taŋ, mizli durmuk kuruˀ a Bezeke. ",Nden ɓe ndilli haɓoygo bee maɓɓe. Jawmiraawo hokki ɓe Kanaani'en e Perezzi'en. Ɓe mbari worɓe ujine sappo (10.000) haa Bezek. ,Nden ɓe ndilli haɓoygo bee maɓɓe. Jawmiraawo hokki ɓe Kanaani'en e Perezzi'en. Ɓe mbari worɓe ujine sappo (10.000) haa Bezek. ,"Zuduk ko Juda daŋa in zuduk ko Simɛɔŋ, ɓɛɛ GASA WAN e o be Kanaŋ in o be Periz kɔ̧ er-wa; wa gbɛɛ o bíí booro-ɓu sɛn Bezɛk. ","Zuduk ko Juda daŋa in zuduk ko Simɛɔŋ, ɓɛɛ GASA WAN e o be Kanaŋ in o be Periz kɔ̧ er-wa; wa gbɛɛ o bíí booro-ɓu sɛn Bezɛk. ","cape hɛ yitea mpa. Pa Mahwətə ndeke nda ka Kanan ba'a ka Pɛrɛs ke hɛ, pa hɛ mpəmte Zhili 10.000 mbe Bɛzɛk. ","Juda kal wo rawge, day Manwur kal haç jar Kanaan wo de jar Feresid wo go ne hara äi coo do. Saara kal ii jar go wer äaara ndar hwal äi leege Besege. "
JDG.1.5," Ayant trouvé à Bézec Adoni-Bésec, ils l'attaquèrent et ils battirent les Chananéens et les Phérézéens. ","And they found Adoni–bezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.","Adoni-Bezek nisi fum hay Bezek, nisi mokomu, nisi kol kay sum sa Kanaaniyana hiɗi sum sa Feresiyena. ",Be nga koone Adoni-Bézék e Bézék a wosane nye. Nde be nga bôé Bekananééñ a Beférézieñ. ,"Naŋ kine, ara lumaka buy Adoni-Bezek ar walahay Bezeke. A zlaka kiɗa vu, a lumam bugawla ar Kanaˀanay ati Periziheye. ","Nder berniwol ngo'ol, ɓe tawi Adoni-Bezek, ɓe kaɓi bee maako, ɓe njaali Kanaani'en e Perezzi'en. ","Nder berniwol ngo'ol, ɓe tawi Adoni-Bezek, ɓe kaɓi bee maako, ɓe njaali Kanaani'en e Perezzi'en. ","Wa kpaa Adonibezɛk sɛn saaye Bezɛk, ɓɛɛ wa bi a̧; wa bìì o be Kanaŋ in o be Periz. ","Wa kpaa Adonibezɛk sɛn saaye Bezɛk, ɓɛɛ wa bi a̧; wa bìì o be Kanaŋ in o be Periz. ","Mbe melemea shɛ ne, pa ŋkɛ sləyi meghe Adoni-Bɛzɛk ba'a have nda mpa. Pa hɛ ɗate ka Kanan ba'a ka Pɛrɛs. ","Saara da' Adoni-Beseg äi leege Beseg ni, saara le'n durgi. Diñ do kay no so no, saara taw jar Kanaan wo go de jar Feresidn wo mono. "
JDG.1.6," Adoni-Bésec prit la fuite, mais ils le poursuivirent et, l'ayant saisi, ils lui coupèrent les pouces des mains et des pieds. ","But Adoni–bezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.",Adoni-Bezek pira; nisi jaŋ kuɗumu ta-ta nisi vumu. Nisi kaam cita-ɓalam hiɗi cita-selem goyo. ,Ane Adoni-Bézék a nga tup; ve be nga tôñe nye a bi nye. Nde be nga tyiʼi nye beyôm bʼanyu ya mo a mebo. ,"Buy Adoni-Bezek tuwa, a kil, amma a ɓulakaŋ, ara jakaŋ is, dar a bukokoŋ muzuŋ haŋ madiɗahay ati muzuŋ sar madiɗahaya. ","Adoni-Bezek doggi, ammaa ɓe taasni mo, ɓe naŋngi mo, ɓe ta'i mo kooli gorɗi, juuɗe e kosɗe fuu. ","Adoni-Bezek doggi, ammaa ɓe taasni mo, ɓe naŋngi mo, ɓe ta'i mo kooli gorɗi, juuɗe e kosɗe fuu. ","Adonibezɛk yuu mɔ yak, ɓɛɛ wa ndak a̧ ba a̧, ɓir gbokoto er-a in o gbokoto naŋ-a yinɛ. ","Adonibezɛk yuu mɔ yak, ɓɛɛ wa ndak a̧ ba a̧, ɓir gbokoto er-a in o gbokoto naŋ-a yinɛ. ","Ntəŋə Adoni-Bɛzɛk yitea hwɛ. Tereŋe ka Israyɛl yite, pa hɛ keseve ŋkɛ ba'a slamte gweŋəa dzeve ba'a gweŋəa seɗa te. ",Adoni-Beseg raw dañge ama saara hoo ëeere wer äe kal wo bage äe. Saara kal car wañ do äe wo go de wañ äaale äe wo. 
JDG.1.7," Adoni-Bésec dit : ""Soixante-dix rois, ayant les pouces des pieds et des mains coupés, ramassaient les miettes sous ma table; ce que j'ai fait, Dieu me le rend."" On l'emmena à Jérusalem, et il y mourut. ","And Adoni–bezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered their meat under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.","Adoni-Bezek di'e: Muliyan dok-siɗiya nan kaasi cita-ɓisi goyo, kaasi cita-sesi goy lay, nisi ti gaa kuɗ tablena vanu; wulin kayn Lawn hot wurakan joo ta nan la'tawa. Nisi kalam kulo hay Yerusalem, ɗawni nam mita.","Ane Adoni-Bézék a nga jô na: Bejô bôte mewôme zañgbwa, beyôm bʼanyu ya mo a mebo ntyiʼan, be mbe be tokéʼé mebukaʼa bidi e tawôlô wome si; Zambe a bulane ma e jam me nga bo. Nde be nga kee nye e Yérusalem, vôm ate a nga wu.","Akẽh na, buy Adoni-Bezek tuwa, a ɓi: «Buyoy kukur tarnaˀ mubukoko taŋ muzuŋ haŋ madiɗahay ati muzuŋ sar madiɗahay na, a guɗumam ngi zumo i misimi ɗu. Gwat ya miga na, Bumbulvuŋ a miy di le nga hirnga ɗu.» A ram ti Adoni-Bezeke nga Zeruzalem, a muc a diga.","Nden o wi'i: “Laamiiɓe cappanɗe njoweeɗiɗo ta'aaɓe kooli gorɗi, juuɗe e kosɗe ɗonno cuɓta piccite colɗe les taabal am. Jonta Allah waatani yam bana kuuwmi ɓe!” Kadiboo ɓe njahri laamiiɗo oo haa Urusaliima haa o maayi ton.","Nden o wi'i: “Laamiiɓe cappanɗe njoweeɗiɗo ta'aaɓe kooli gorɗi, juuɗe e kosɗe ɗonno cuɓta piccite colɗe les taabal am. Jonta Allah waatani yam bana kuuwmi ɓe!” Kadiboo ɓe njahri laamiiɗo oo haa Urusaliima haa o maayi ton.","Nɛ mɔ'ɔ nɛ Adonibezɛk tɔ̧a̧: «O wannu ɓu-mɔɔrɔ-ɗoŋ-yiitoo nɛ‘i ɓira so o gbokoto er-wa in o gbokoto naŋ-wa yinɛ dɔr só nɛ́ oi nyɔŋmɔ nɛ̀ tik nù er-am; nɛ́ mɔ n'am dea, á̧ Sɔ̧ kifi er-a ha̧‘m.» Wa mgbɔɔ a̧ si Jerusalɛm ɓɛɛ a̧ fe hi̧i̧.","Nɛ mɔ'ɔ nɛ Adonibezɛk tɔ̧a̧: «O wannu ɓu-mɔɔrɔ-ɗoŋ-yiitoo nɛ‘i ɓira so o gbokoto er-wa in o gbokoto naŋ-wa yinɛ dɔr só nɛ́ oi nyɔŋmɔ nɛ̀ tik nù er-am; nɛ́ mɔ n'am dea, á̧ Sɔ̧ kifi er-a ha̧‘m.» Wa mgbɔɔ a̧ si Jerusalɛm ɓɛɛ a̧ fe hi̧i̧.","Tagha gɛ, ma ke meghe sha hɛ: «Mberefaŋemsə ka meghea kɛfi nyi ketseha kwetiɓəa ɗafa yitea tabelea ɗa, nahe mbeli keslamte gweŋəa dzeve ba'a gweŋəa seɗa te hɛ. Nahe Shala kemenete ɗa wəsə nya menete nda 'ya ke kweci!» Pa ka Israyɛl keleghe Adoni-Bɛzɛk kadzembe Zhɛrəzalɛm, kwagha mtenyɛ ŋkɛ.",Adoni-Beseg kal waçaçge gana: Wañre wo do renam ga wañ do äaara wo de wañ äaale äaara wo go de carge hay wo hoor besgem hole pel äi. Baa joñ me mo haç' diñ de fen maga ndi hay joñ jar de äe mono. AÀ raw woge de Adoni-Beseg Jerusalem se kal hugi wo go ni.
JDG.1.8," Les fils de Juda attaquèrent Jérusalem et, l'ayant prise, ils la frappèrent du tranchant de l'épée et mirent le feu à la ville. ","Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.","Gurona vi Yuda dur Yerusalem, nisi sla'a, sum sa haya'na nisi calsi goy hiɗi kew-gaferaŋa, nisi tun kut kuɗ hoyok-ziyna. ",Ane bone be Yuda be nga wosane Yérusalem a nyoñe nye; be nga wôé bôte yʼété a meyo me nkpwaté mekôn a diʼi tison a nduan. ,"Mizli Zudahay a zlaka Zeruzaleme ngi kiɗa vu, a tiɓakaŋ. A kiɗaka mizli sunok sunok ti maslalam, a wuraka walahaya. ","Yimɓe Yahuuda kippi berniwol Urusaliima, ɓe nyaami ngol, ɓe mbari wonɓe ton bee kaafahi, ɓe nguli ngol. ","Yimɓe Yahuuda kippi berniwol Urusaliima, ɓe nyaami ngol, ɓe mbari wonɓe ton bee kaafahi, ɓe nguli ngol. ","Zuduk ko Juda tika zu Jerusalɛm, ɓɛɛ wa ba; wa gbɛɛ o bíí saaye nɛ̀ gba-paa, ɓɛɛ wa pi̧ wee tɛ ye. ","Zuduk ko Juda tika zu Jerusalɛm, ɓɛɛ wa ba; wa gbɛɛ o bíí saaye nɛ̀ gba-paa, ɓɛɛ wa pi̧ wee tɛ ye. ","Pa ka Zhəwda have nda mpa ke Zhɛrəzalɛm ba'a kelehwe ŋkɛ. Pa hɛ mpəmte mbeli nyi mbe, pa hɛ ndəmte melemea shɛ le ghwə. ","Jar ni Juda le' wo Jerusalem, saara kal yaçaçge äe. Saara car jar ma äil äen wo go de mosalamre wo, day hee wo wuu go ne äi leege no. "
JDG.1.9," Ensuite les fils de Juda descendirent pour combattre les Chananéens qui habitaient la montagne, le Négéb et la Séphéla. ","And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.","Gurona vi Yuda kalis voksi lo kay dur hiɗi sum sa Kanaaniyana sa kulo kay hiɗiyna, sa hay gal ma kayamna hiɗi sa gaa hay liyn ma beɗna.","Akôlô ya valé, nde bone be Yuda be nga ke ôsu a wosane Bekananééñ be nga too e nkôle yôp, ba be nga too e Négéb a ba be nga too njeʼese si ya éwome mañ. ","A dirba nah ma na, Zudahay a ram nga kiɗa Kanaˀan misi tir vay muwã ati misi tir Ayzaw waɗ misi tir vay zugudumo. ","Ɓaawo man ɓe ndiirti haa lesdi kooseeje, Lesdi Fombina e haa lesdi towndiije ngam haɓugo bee Kanaani'en. ","Ɓaawo man ɓe ndiirti haa lesdi kooseeje, Lesdi Fombina e haa lesdi towndiije ngam haɓugo bee Kanaani'en. ","Ɗoŋ mɔ‘i, wa zira mɛ bi o be Kanaŋ nɛ̀ ɔ zu kaya, ŋga-gbárà Nɛgɛb, in hira-nù. ","Ɗoŋ mɔ‘i, wa zira mɛ bi o be Kanaŋ nɛ̀ ɔ zu kaya, ŋga-gbárà Nɛgɛb, in hira-nù. ","Ma kwa sebe, cape hwelefe ta Zhəwda kampa le ka Kanan nyi nza meleme ta nci hwa ghweme, kwete bela ta hɛɗi nya laka bela kwa zeme ba'a meleme nyi kwake te ŋwela.","Jar ni Juda kal wo woge blam äe dur jar Kanaan ma ti huulin wo, ma äil Negefn wo de ma äil Sefelan wo."
JDG.1.10," Juda marcha contre les Chananéens qui habitaient à Hébron, appelée autrefois Cariath-Arbé, et il battit Sésaï, Ahiman et Tholmaï. ","And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before was Kirjath–arba:) and they slew Sheshai, and Ahiman, and Talmai.","Jafna vi Yuda dur hiɗi sum sa Kanaaniyana sa ka lakay ziy hay Hebron. Hebron ya' jew ala Kiryat-Arba; nisi kol kay Sesay, Ahinam hiɗi Talmay. ","Ane bone be Yuda be nga wosane Bekananééñ be nga too Ebroñ; melu mvus Ebroñ a mbe jôé na Kiryat-Arba; ane be nga wôé Sésayi, Ahiman a Talmayi. ","A dirba nah ma na, Zudahay ara kiɗaka Kanaˀan ngi Hebroŋhoyo, a zilaka Hebroŋ vuna zleˀe Kiriyat-Arba, a kiɗaka mizli Sesayay ati Ahimaŋhay waɗ Talmayaya. ","Ɓe ummini konu dow jooɗiiɓe haa Heburuun, ɓooyma ɓe ɗonno mbi'a berniwol ngol: Kiriyat-Arba. Ton ɓe mbari Sesay e Akiman e Talmay.","Ɓe ummini konu dow jooɗiiɓe haa Heburuun, ɓooyma ɓe ɗonno mbi'a berniwol ngol: Kiriyat-Arba. Ton ɓe mbari Sesay e Akiman e Talmay.","Wa nɛɛ bi o be Kanaŋ nɛ̀ dee so ye sɛn nú Hebrɔŋ nɛ‘i sa so nɛti'e Kiriat-Arba. Wa bìí Sesai, Aiman in Talmai mbɛt.","Wa nɛɛ bi o be Kanaŋ nɛ̀ dee so ye sɛn nú Hebrɔŋ nɛ‘i sa so nɛti'e Kiriat-Arba. Wa bìí Sesai, Aiman in Talmai mbɛt.","Ntake hɛ kampa le mbeli nyi mbe meleme ta Hɛbron, nya nza sləa ŋkɛ kaKiriyat-Arba. Pa hɛ ɗate yɛ peləa Shɛshay, Ahiman ba'a Talmay. ","Juda kal wo woge dur jar Kanaan maga hay wo Hebroñ maga aè hay äaa ëege äe ga Kiryat-Arba mono, saara kal taw Sesay, Ahiman wo de Talmay wo go. "
