livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JER.1.1," Paroles de Jérémie, fils d'Helcias, un des prêtres qui habitaient à Anathoth, au pays de Benjamin.","The words of Jeremiah the son of Hilkiah, of the priests that were in Anathoth in the land of Benjamin:","Dita vi Yeremiyas, goora vi Hilkiya, kep jar muliyan-sa-ɗifinna hay Anatot, hay nagata vi Benyamin. ","Mejô me Yérémi, e mone Hilkiya, wua ya betuni yʼAnatot, sii Bényamin.","Ɗerewol hana, a ɓi di i ɓi ngi Zeremi, mangal ngi Hilkiya. Zeremi i dideˀ ngi masayay, taŋ a Anatot, hirwuy Benjameŋ. ","Ndaa bolle Yeremiya ɓii Hilkiyya, gooto caka liman'en Anatot nder lesdi Benyamin. ","Ndaa bolle Yeremiya ɓii Hilkiyya, gooto caka liman'en Anatot nder lesdi Benyamin. ","Wen’ɛ nɛ́ wen ko Jeremii, bem ko Hilkia, ŋma wi-ɗafi-sɔ̧ nɛ̀ duka so saaye Anatot, nù ko Bɛnjamin. ","Wen’ɛ nɛ́ wen ko Jeremii, bem ko Hilkia, ŋma wi-ɗafi-sɔ̧ nɛ̀ duka so saaye Anatot, nù ko Bɛnjamin. ","Ma palepa nya ne, ghena nyi gezete ba'a wəshi nyi menete Zhɛrɛmi, wəzege ta Hilkiya, kwete wəndəa ka dzeghe Shala nyi mbe Anatot, te hɛɗia Bɛnjamɛn yageze ŋkɛ. ",Waçaçre mani Jermi je ni Hilkiyahu no. AÀ hay diñ jobo yoo jar sië jag ma äi leege Anatodn wo ti sir Benjame. 
JER.1.2," La parole de Yahweh lui fut adressée aux jours de Josias, fils d'Amon, roi de Juda, la treizième année de son règne;","To whom the word of the  Lord  came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign.","Ma-Vatɗina di yoboyn talamu hay liyna vi Yosiyas, goora vi Amon, mulla vi Yuda, hay busata doogo yam ɦidita vi mulda valamu. ","Nti a nga kobô nye melu ya mbu awôm a lale Yôzias, njô bôte ya Yuda a nga jôô. ","Bumbulvuŋ miɓa ɓi da Zeremi na, naɓa Zoziyas mangal ngi Amoŋ i buy Zuda, a ɓul di i vi mukuruˀ nga makir naŋ angi zuma buyo. ","Jawmiraawo wolwani Yeremiya nder zamanu Yusiya ɓii Amon, laamiiɗo Yahuuda, nder nduuɓu laamu maako sappo e tataɓu . ","Jawmiraawo wolwani Yeremiya nder zamanu Yusiya ɓii Amon, laamiiɗo Yahuuda, nder nduuɓu laamu maako sappo e tataɓu . ","GASA WAN tɔ̧ɔ̧ wen ha̧ Jeremii ŋgimbi wan ko Josias, bem ko Amɔŋ wannu Juda tɛ ɓu-zua-taar pɛ-wan kɔ̧-a̧.  ","GASA WAN tɔ̧ɔ̧ wen ha̧ Jeremii ŋgimbi wan ko Josias, bem ko Amɔŋ wannu Juda tɛ ɓu-zua-taar pɛ-wan kɔ̧-a̧.  ","Pa ghena ta Mahwətə gezeke nda geva ke Zhɛrɛmi te vəa Zhoziyas, wəzege ta Amon, meghea ka Zhəwda te kwa meŋe mahekeneghəmbe ta va ta ŋkɛ mbe meghe. ",Manwur raw waçaç waçaçre ne hen ti wur mani Josiyas je ni Amoñ wañ Judan nen kiñgi ma de hwal ti swa' de maga Josiyas ti wañ mono. 
JER.1.3," et elle le fut aux jours de Joakim, fils de Josias, roi de Juda, jusqu'à la fin de la onzième année de Sédécias, fils de Josias, roi de Juda, jusqu'à la déportation de Jérusalem au cinquième mois.","It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month.","Van li ki kayn nala, hay liyna vi Yoyakim goora vi Yoziyas mulla vi Yuda, ta-ta hay vatta vi busata doogo yam kepta vi Sedekiyas, goora vi Yoziyas, mulla vi Yuda, ta-ta hay liy ma sum sa hay Yerusalem kalis goy gorvo'o, hay til ma vaslna.","Nalé fe melu Yehôyakin, e mone Yôzias, njô bôte ya Yuda a nga jôô, a kui fe amané mbu awôm a wua ya njôane Sédékias, e mone Yôzias, e Yuda, jaʼana a kui ngone tane ya mbu Yérusalém a nga ke minkôm.","Buymisemuŋ a ɓaŋ le ma, hirak ti Zoˀakim mangal ngi Zoziyas mazum buy a Zuda, hã ar kiɗa mi ngi vi mukuruˀ ngaŋ kaˀ ngi Sedekiyas, mangal ngi Zoziyas vuna mazum buy a Zuda, hã ar kiya muzlum naŋ, mijam di Zeruzalemey nga hirwuy mulak.","Jawmiraawo wolwani mo fahin nder zamanu Yooyakim ɓii Yusiya, laamiiɗo Yahuuda, haa wargo timmoode nduuɓu sappo e go'oowu nder laamu Sedekiya ɓii Yusiya, laamiiɗo Yahuuda, haa konne'en ndahi yimɓe Urusaliima, nder lewru jowaɓru .","Jawmiraawo wolwani mo fahin nder zamanu Yooyakim ɓii Yusiya, laamiiɗo Yahuuda, haa wargo timmoode nduuɓu sappo e go'oowu nder laamu Sedekiya ɓii Yusiya, laamiiɗo Yahuuda, haa konne'en ndahi yimɓe Urusaliima, nder lewru jowaɓru .","GASA WAN tɔ̧ɔ̧ wen ha̧ a̧ woyo tɛ ŋgimbi ko Joakim, bem ko Josias wannu Juda, hɔ nɛnɛ tɛ mɔɔrɔ fio-zɛ tɛ ɓu-zua-kpɔk pɛ-wan ko Sedesias, ŋma ɓii bem ko Josias wannu Juda. Nɛ́ ŋgimbi'i a̧ wa kaia nɛ̀ o bíí Jerusalɛm yaknɛ nɛ̀ bara-biro.","GASA WAN tɔ̧ɔ̧ wen ha̧ a̧ woyo tɛ ŋgimbi ko Joakim, bem ko Josias wannu Juda, hɔ nɛnɛ tɛ mɔɔrɔ fio-zɛ tɛ ɓu-zua-kpɔk pɛ-wan ko Sedesias, ŋma ɓii bem ko Josias wannu Juda. Nɛ́ ŋgimbi'i a̧ wa kaia nɛ̀ o bíí Jerusalɛm yaknɛ nɛ̀ bara-biro.","Pa zhɛne kagezete nda geva te vəa Zhowakim, wəzege ta Zhoziyas, meghea ka Zhəwda, pa te kwa keɗaŋe ta va kwa meŋe kwetɛŋeghəmbe ta Sɛdɛsiyas, wəzege ta Zhoziyas, meghea ka Zhəwda, te tere kwa mcɛfe nya fəhwe ka Zhɛrəzalɛm mbeli.","A waçaç waçaçre ne hen ti kal mani Yehoyakim je ni Josiyas wañ Judan haçaç wo ti tawge kiñgi ma de hwal ti boñ maga Sedesiyas je ni Josiyas wañ Judan ti wañ mono, haçaç wo go ti wur maga aè hoo jar Jerusalem wo wo go ti dañgay nen few ma de dween mono."
JER.1.4, La parole de Yahweh me fut adressée en ces termes:,"Then the word of the  Lord  came unto me, saying,",Ma-Vatɗina ka di yoboyn tan ala:,Nti a nga kobô me na:,Bumbulvuŋ a ɓiy ani:,"Jawmiraawo wolwani yam, wi'i: ","Jawmiraawo wolwani yam, wi'i: ",Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧‘m nɛ mɔ'ɔ: ,Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧‘m nɛ mɔ'ɔ: ,Ma ke Mahwətə sha 'ya:,Manwur raw waçaç waçaçre ne ndi do kay nono gano: 
JER.1.5," ""Avant de te former dans le ventre de ta mère, je t'ai connu, et avant que tu sortisses de son sein, je t'ai consacré; je t'ai établi prophète pour les nations.""","Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.","Jew a nan tunaŋ hereŋ hay suŋ kalafi, nan ay waŋu, jew a naŋ kali goy haya' pa, naŋ ay giy ɗifin kan vatiya, naŋ ay tuni sa ma jobta vi jaf-sumuna hay jew ɓa-ɓa.","te na me kôme wo abume be nyua, me nga yeme wo, a te na ô bialé, a kooé na me teléya wo étyi, a kooé na me teléya wo nkulu mejô ya meyoñ .","«Ya misa kicuwuw a kwacay munuk na, naɓa i sinuw le si. Ka misa bo tikeˀe ti kwacay naŋ na, naɓa i guhuw le gwah pal vur slra ɗu si. I tiri ti ka mijiviɗ le ng'avu sukwi ngi mizli.»","“Hiddeko mi waɗe nder reedu daada ma, mi anndi ma. Hiddeko a danye, mi seni ma, mi darni ma a annabiijo ngam ummaatooje.” ","“Hiddeko mi waɗe nder reedu daada ma, mi anndi ma. Hiddeko a danye, mi seni ma, mi darni ma a annabiijo ngam ummaatooje.” ","«Nɛti ká nàà kɔ-mɛ tɛ ba zaŋ mɛ hɔ̧ɔ̧ na, mi iŋa so mɛ kaɗi. Nɛti ha̧ wa mɛ ko mɛ, mi hoka so mɛ kaɗi mbɛt; mi ee mɛ nɛ̀  wi-tɔ̧-wen  oi nú‘m zu o tugun bíí.»","«Nɛti ká nàà kɔ-mɛ tɛ ba zaŋ mɛ hɔ̧ɔ̧ na, mi iŋa so mɛ kaɗi. Nɛti ha̧ wa mɛ ko mɛ, mi hoka so mɛ kaɗi mbɛt; mi ee mɛ nɛ̀  wi-tɔ̧-wen  oi nú‘m zu o tugun bíí.»","«Ma nda tepate ŋa 'ya kwa hwə va meyɛ ŋa ne, nahe 'ya keɗepete ŋa. Tewə na kenaka kaya ne, nahe 'ya keveyi ŋa tekeleke. Nahe 'ya kentave ŋa kande mɛ ŋkwa kezha hwelefefi.»","Tañgu maga ndi bay 'wuçy ndo le äil man äo ëa, ndi hay go de ko moge. Tañgu maga ndo bay kalge le go äil man äo ëa, ndi hay go de ba ndo sagsag ma äi, ndi hay go de kañ ndo diñ je ndar nen waçaçre äin go ne wer jar wo ra."
JER.1.6," Et je dis: ""Ah ! Seigneur Yahweh, je ne sais point parler, car je suis un enfant!""","Then said I, Ah, Lord  God ! behold, I cannot speak: for I am a child.","Nan hot dita: Hih! Bum-Sumuna, Ma-Vatɗina, saraŋ tige, nan may wi dit noŋɗi, kay nanu mi goor-gooro.","Nde me nga yalane na: Éé! A Nti, nyô a ne Zambe, me nji yeme kobô, amu me nʼésoé ndôman.","Yi mbiɗaŋ di: «Aw Bumbulvuŋ Buymisemuŋ ɗu, i si na ɓi ɓi a wuzla mizli ta, yi zuŋ aruŋ takwa.» ","Ammaa min mi wi'i: “Kayya, yaa Jawmiraawo Allah! Mi anndaa wolwugo, ngam mi derkeejo!” ","Ammaa min mi wi'i: “Kayya, yaa Jawmiraawo Allah! Mi anndaa wolwugo, ngam mi derkeejo!” ","Ɓɛɛ mi kifi nú: «Ho! Gasa Wan Sɔ̧, mi tɛ iŋ yuwar tɔ̧ɔ̧-wen hɔ̧ɔ̧ na, wen mi ɓɔna nɛ́ obem!»","Ɓɛɛ mi kifi nú: «Ho! Gasa Wan Sɔ̧, mi tɛ iŋ yuwar tɔ̧ɔ̧-wen hɔ̧ɔ̧ na, wen mi ɓɔna nɛ́ obem!»","Ma 'ya zhɛnete nda: «Aya! Shala Mahwətə, keɗepe geze ghena 'ya we, mba 'ya kadɛgwə.»",Ndi kal yiñ jag gano: Hi! Wañkluu Manwuri! Ndi bay de ko waçaçre wa werga ndi diñ weel ma klee. 
JER.1.7," Et Yahweh me dit: ""Ne dis pas: Je suis un enfant, car tu iras vers tous ceux à qui je t'enverrai, et tu diras tout ce que je t'ordonnerai.","But the  Lord  said unto me, Say not, I am a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak.","Ma-Vatɗina hot di tanu: Naŋ ma di ala naŋ mi goor-gooroɗi, Kay naŋ tuɗ ɗawni kat sum sa nan min gaŋ tisina, slen ma nan daŋgi kafna naŋ ma disita.","Nde Nti a jô me na: te jô na me ne mongô. Amu wo ye ke be ba bese ma ye lôme wo na ô wosane be. Wo ye kobô mam mese ma ye bendé wo na, ô kobô.","Bumbulvuŋ a ɓiy: «Ki ɓi ki zuŋ aruŋ ta. Ar li ya maslinuw gar na, a ru, ɓi ya muɓuw di le ɗaˀ le gar na, ɓaŋ.","Jawmiraawo jaabi yam: “Taa wi': Mi derkeejo. Ammaa yah haa yimɓe ɓe mi nelete haa muuɗum'en fuu, wi' ɓe ko mi umrete fuu. ","Jawmiraawo jaabi yam: “Taa wi': Mi derkeejo. Ammaa yah haa yimɓe ɓe mi nelete haa muuɗum'en fuu, wi' ɓe ko mi umrete fuu. ","Ɓɛɛ GASA WAN tɔ̧ ha̧‘m: «Ká mɛ́ tɔ̧‘e, mɛ́ ɓɔna nɛ́ obem na! Fara lɛŋ n'am tɛ tom mɛ si sɛnɛ, kɔ-mɛ nɛ́ nɛa-a; mɔ lɛŋ n'am tɛ tɔ̧ ha̧ mɛ, kɔ-mɛ nɛ tɔ̧a-a ɓɛɛ mbɛt. ","Ɓɛɛ GASA WAN tɔ̧ ha̧‘m: «Ká mɛ́ tɔ̧‘e, mɛ́ ɓɔna nɛ́ obem na! Fara lɛŋ n'am tɛ tom mɛ si sɛnɛ, kɔ-mɛ nɛ́ nɛa-a; mɔ lɛŋ n'am tɛ tɔ̧ ha̧ mɛ, kɔ-mɛ nɛ tɔ̧a-a ɓɛɛ mbɛt. ","Ama ma ke Mahwətə sha 'ya: «Gezema na dɛgwə 'ya, pa ma. Ya tema tema ghwene ŋa 'ya, lə yalə na, yayata ghena nya geze ŋa 'ya ne, pɛtɛ tegeze na.",Manwur day riñ me gano: Waçaç ga ndo diñ weel ma klee wa. Gahaçyla ndo wo yañ see wosela äuy maga ndi äo' ge ndo wo ne hen ti mono day ndo waçaç ge fen maga ndi fern ge ne ndo yañ go äuy. 
JER.1.8," Sois sans crainte devant eux, car je suis avec toi pour te délivrer, - oracle de Yahweh.""","Be not afraid of their faces: for I am with thee to deliver thee, saith the  Lord .","Naŋ ma li nar kisiɗi, kay nan ka hiɗi naŋu kay butaŋ goyo, din mi Ma-Vatɗina.",Te ko be woñ; amu me ne be wo na me kôté wo nalé Nti a jô.,"Ki zluwun ti mbur ko loŋ ta, y'ada ati ka, i sa lihuw. I ya Bumbulvuŋ maɓi.»","Taa hul ɓe, ngam mi ɗon wondi bee ma ngam hisnugo ma.” Non Jawmiraawo wi'i. ","Taa hul ɓe, ngam mi ɗon wondi bee ma ngam hisnugo ma.” Non Jawmiraawo wi'i. ","Ká mɛ́ de kíí bíí na. Mi tɛ yor ɗoŋ mɛ, wen kpasa mɛ. GASA WAN tɔ̧ɔ̧ hegɔ!»","Ká mɛ́ de kíí bíí na. Mi tɛ yor ɗoŋ mɛ, wen kpasa mɛ. GASA WAN tɔ̧ɔ̧ hegɔ!»","Ghazlənəma na va mbeli ma, kwa nza ŋkɛ le gha 'ya kezha tembele ŋa.» Wa'a ke Mahwətə sha 'ya. ",Joñ heçeçne do äaara wa werga ndi yañ de äo ma yaçaç moge go. Kay diñ jag Manwuri. 
JER.1.9," Puis Yahweh étendit sa main et toucha ma bouche, et Yahweh me dit: ""Voici que je mets mes paroles dans ta bouche;","Then the  Lord  put forth his hand, and touched my mouth. And the  Lord  said unto me, Behold, I have put my words in thy mouth.","Bugol kayni Ma-Vatɗina meɗ ɓalam goyo, jon vunanu, nam di tanu: humaŋu, naŋ tun yoboyna vanu hay vunaŋu.","Wôna Nti a nga same wo wé, a nambe anyu dam; nde a jô me na: Ô lôô, ma futi mejô mam anyu dôé.","Bumbulvuŋ a tilo haŋ til, a wusiy avu mi, a ɓiy: «I ca mingiɓi ɗu le a balam ɗike.","Nden o forti juŋngo maako, o meemi hunnduko am, o wi'i yam: “Ndaa, mi waɗi bolle am nder hunnduko maaɗa. ","Nden o forti juŋngo maako, o meemi hunnduko am, o wi'i yam: “Ndaa, mi waɗi bolle am nder hunnduko maaɗa. ","GASA WAN nyɛi̧a er, tam nú‘m, ɓɛɛ tɔ̧ ha̧‘m: «Mi ee wen kɔ‘m sɛn kɔ̧̀ nú-mɛ́. ","GASA WAN nyɛi̧a er, tam nú‘m, ɓɛɛ tɔ̧ ha̧‘m: «Mi ee wen kɔ‘m sɛn kɔ̧̀ nú-mɛ́. ","Kwa sebe ta ŋkɛ, pa Mahwətə hake dzeve ta ŋkɛ kakwaɗakɛ mɛa ɗa, ma ke sha 'ya: «Nahe 'ya keveyi ghena ta ɗa kwa mɛa ŋa.","Blam äe Manwur kal coñ do äe, raw du' jag äi. Manwur day riñ me gano: Ko so, ndi haç waçaçre äin mo jage. "
JER.1.10," vois, je t'établis en ce jour sur les nations et sur les royaumes, pour arracher et pour abattre, et pour perdre et pour détruire, et pour planter et pour bâtir.","See, I have this day set thee over the nations and over the kingdoms, to root out, and to pull down, and to destroy, and to throw down, to build, and to plant.","Ɗuwaŋ tige, vaydi nan tunaŋ mulu kay jaf-sumuna hiɗi muliyana, kay naŋ ma pat sle hen kulo'o, kay naŋ ma ka sle hen gaa'a, kay naŋ ma ɓulak slena, kay naŋ ma ɦo sle hen gaa'a, kay naŋ ma in sle hegen kulo'o, kay naŋ ma pi sle hegen gaa'a.","Tame yen, ma telé wo den njôô meyoñ a bijôé na: ô té, ô kpwé, ô wôé, ô tyam, ô lôñ a ô bé.","Sina sin le dana, i slinuw le nga gi slra a wuzla sukwi ngi mizli waɗ ar zuma buyoyo, ɓa ngi muɗa gwataya muroh muroh, ngi putukuso taŋ putukos putukos, ngi hirya taŋ, waɗ ngi waha taŋ, yo ngi ndira taŋ waɗ ngi hirva taŋ a muŋ.»","Hanndeere nde'e mi darni ma dow ummaatooje e laamuuji ngam ɗoofugo e fe'ugo, ngam halkugo e yibbingo, ngam nyiɓtaago e jubaago.”","Hanndeere nde'e mi darni ma dow ummaatooje e laamuuji ngam ɗoofugo e fe'ugo, ngam halkugo e yibbingo, ngam nyiɓtaago e jubaago.”","Mɛ̀ íŋ sɔsɔɔ‘i'e mi ha̧a̧ ŋgai ha̧ mɛ zu o tugun bíí in o mɔɔ-wan, wen zuɗa mɔ yinɛ in ira mɔ a nù, wen gbina mɔ in ɗaŋa-a, wen mboo mɔ in guna mɔ mbɛt.»","Mɛ̀ íŋ sɔsɔɔ‘i'e mi ha̧a̧ ŋgai ha̧ mɛ zu o tugun bíí in o mɔɔ-wan, wen zuɗa mɔ yinɛ in ira mɔ a nù, wen gbina mɔ in ɗaŋa-a, wen mboo mɔ in guna mɔ mbɛt.»","Ɗepete nahe 'ya kendeke ŋa berete ɓeshi, te ghəa yɛ hwelefe le yɛ hɛɗi, kezha nteɗemte ba'a welemte, kezha zamte sebe te ba'a kampəmte, kezha ŋate ba'a kamɓete.»","Ko ga ndi de kañ ndo wara ti wer jar wo, ndi äo' mo ne sir wañre wo ti maga ndo mo ndar ra go, ndo mo car ra go, ndo mo taw jar go, ndo mo älag jar go, ndo mo boo day ndo mo peëe."
