livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JOB.1.1," Il y avait dans le pays de Hus un homme nommé Job; cet homme était intègre, droit, craignant Dieu et éloigné du mal. ","There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.","San kep ay hay nagata vi Us, yum ala Job. Namu mi sa ma gasiya, ɗigere kaw; nam li nar kuɗ Lawna, tun ɓalam tam jootɗi kaw. ",Môt éziñ a nga too si ya Uts jôé na Yob. Môt ate a mbe nya mvoʼé a zôsôô; a mbe a ko Zambe woñ a saʼale fe abé . ,"Mbur ada asi ruwuy Us, a zilaka Jop. I mbur mikaslsla, miteŋteŋ, a zluwun ti Buymisemuŋ, a kirih kileŋ avu gwat malambaˀa. ","Woodino goɗɗo haa lesdi Uus, innde maako Ayuba. Goɗɗo oo o timmuɗo, gooŋgaajo, o kulɗo Allah, o daayiiɗo halleende. ","Woodino goɗɗo haa lesdi Uus, innde maako Ayuba. Goɗɗo oo o timmuɗo, gooŋgaajo, o kulɗo Allah, o daayiiɗo halleende. ","Ŋma bíí duka so sɛn nù Us, nin-a nɛ Job. A̧ nɛ de bíí in wi-de-mɔ nɛ yuwar-a mbɛt. A̧ nɛ wi-yu-kíí Sɔ̧ nɛ duk kɔ‘i nyɛi̧ nɛ ɗaŋmɔ. ","Ŋma bíí duka so sɛn nù Us, nin-a nɛ Job. A̧ nɛ de bíí in wi-de-mɔ nɛ yuwar-a mbɛt. A̧ nɛ wi-yu-kíí Sɔ̧ nɛ duk kɔ‘i nyɛi̧ nɛ ɗaŋmɔ. ",Nahe kwete wəndə nya nza sləa ŋkɛ kaJob kese te hɛɗia Əws. Kawəndə nya ganyɛ ba'a nya tiɗiɗi se ŋkɛ. Kahawe ŋkɛ va Shala ba'a kahwɛ va wəsə kwa ndiremi. ,"Jobo hay we äil sir Uts, ëu äe hay ga Jobe. Blo sen hay keëed lay, hay de deele lay. AÀ hay joñ heçeçne do Baa, hay bay da ree älagge see äe wa lay. "
JOB.1.2, Il lui naquit sept fils et trois filles. ,And there were born unto him seven sons and three daughters.,"Nam vuɗ guro-jufayn siɗiya, guro-boyn ɦidi. ",A nga biaé bobefame zamgbwa a bobebinga belaa. ,A yi ziri mizilehey tarnaˀ waɗ mongosohoy makir. ,O danyanaama ɓiɓɓe worɓe njoweeɗiɗo e ɓiɓɓe rewɓe tato. ,O danyanaama ɓiɓɓe worɓe njoweeɗiɗo e ɓiɓɓe rewɓe tato. ,"A̧ koo bem, be-wiwii mɔɔrɔ-ɗoŋ-yiitoo in be-okoo taar. ","A̧ koo bem, be-wiwii mɔɔrɔ-ɗoŋ-yiitoo in be-okoo taar. ",Kayitenyɛa ŋwale tezhili mberefaŋe ba'a ŋwalea kwɛ mahekene se ŋkɛ. ,"AÀ hay biñ twerpiiri renam, mayre swa' lay. "
JOB.1.3," Il possédait sept mille brebis, trois mille chameaux, cinq cents paires de boeufs, cinq cent ânesses et un très grand nombre de serviteurs; et cet homme était le plus grand de tous les fils de l'Orient. ","His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east.","Farayna valam ka ŋolo: Fok-dimin birim siɗiya, lamgan birim ɦidi, luway-jufayn jub-jub' kis vasl, kuro ma boyn kis-vasl, sum sa sunumna ka ŋolo kaw. San kayni selem tiy ŋolo suw sum sa hay nagata kuɗuwta.","Mbame biyeme wé ô nga bili mintômba toyini zamgbwa, bekamel toyini éla, benyak toyini, beyale bijakas mintete mitan, nalé fe abui bebo bisaé. Môt ate nye a nga dañ éwôlô ézezañe bôte bese ya jôp da tôô.","Naŋ ti tumuŋ durmuk tarnaˀ, zlogomo durmuk makir, sla ngi hufoy, gam skat skat zlum, zungu madiya skat skat zlum waɗ gawlahay kweslekwesle. Asi ruwuy Palestin vay ngi si pas ngi miprike, ko mbur mindilaŋ anta.",O mari dammooji ujine joweeɗiɗi e geelooɗi ujine tati e ga'i cindaaɗi ɗiɗi ɗiɗi nde teemeɗɗe jowi e bamɗe debbe teemeɗɗe jowi e jeyaaɓe ɗuuɗɓe masin nder saare. Goɗɗo oo ɓuri yimɓe fuunaaŋge fuu maŋngu.,O mari dammooji ujine joweeɗiɗi e geelooɗi ujine tati e ga'i cindaaɗi ɗiɗi ɗiɗi nde teemeɗɗe jowi e bamɗe debbe teemeɗɗe jowi e jeyaaɓe ɗuuɗɓe masin nder saare. Goɗɗo oo ɓuri yimɓe fuunaaŋge fuu maŋngu.,"A̧ a̧a̧ so nɛ sami booro-mɔɔrɔ-ɗoŋ-yiitoo, ŋgeloba booro-taar, ndai-de-tom booro, nana tuifuu gɔmŋmaa-mɔɔrɔ in o wi-de-tom nɛ dɔka-a. A̧ nɛ wi nɛ kpaa mɔ gan o bíí mɛ si daŋa-wese lɛŋ.","A̧ a̧a̧ so nɛ sami booro-mɔɔrɔ-ɗoŋ-yiitoo, ŋgeloba booro-taar, ndai-de-tom booro, nana tuifuu gɔmŋmaa-mɔɔrɔ in o wi-de-tom nɛ dɔka-a. A̧ nɛ wi nɛ kpaa mɔ gan o bíí mɛ si daŋa-wese lɛŋ.","Timɛti 7.000, zlegweməa lɛmə 3.000, sla kewəza slibə, ŋemia kwara gwəmsə mcɛfe, ka mene slene ba'a ka kwaterashi kwele kwele ka se ve. Kawəndə nya nza zləvə te se ŋkɛ hwa pɛtɛa mbeli nyi laka ŋkwa kesame ta veci.","Äil kaw horog äen mono, saçaçre hay wo ni ndar renam, yoñyoñ hay wo ndar swa'a, blore dere jag jag kiskis dwee, maare gerheçeçre kiskis dweedaèy jar joñre ma liñ ni äen hay wo ngaäa debañ lay. Blo sen hay diñ je kluu maga aè hoo sug ti äe de dañ jar ma nen wur bo toñn wo äuy."
JOB.1.4," Ses fils avaient coutume d'aller les uns chez les autres et de se donner un festin, chacun à leur tour, et ils envoyaient inviter leurs trois soeurs à venir manger et boire avec eux. ","And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.","Gurona valam ka tuɗ kuɗ tuwsi hay ziyna visiya visiya kay li yuldeta, nisi ka vul yit mi ɓosiyosi sa boyna sa ɦidina kaw kay co ti tin hiɗi nisiya. ","Bobefame bé be nga bili fulu ya ke bo ésulane bidi e nda be môt ase yʼété, môt ase éyoñe jé, be mbe be bañeteʼe bekale bab belale na ba be be be di a nyu. ","Ziri naŋ mizileheye, a gam muguzlum a hay mburo, a hay mburo, a tislam di tiɗeˀe, a zilaka sukum taŋ mongoso mimakirey tuwa, ɓa ara zumam, a sam bummoˀ. ","Ɓiɓɓe maako worɓe ɗonno mbeernindira haa ci'e  muuɗum'en ngam nyaamugo, koo moy nde nyalaade mum yaalti. Ɓe ɗonno ewna deerɗiraaɓe maɓɓe rewɓe tato, haa ɓe nyaamda, ɓe njarda bee maɓɓe. ","Ɓiɓɓe maako worɓe ɗonno mbeernindira haa ci'e  muuɗum'en ngam nyaamugo, koo moy nde nyalaade mum yaalti. Ɓe ɗonno ewna deerɗiraaɓe maɓɓe rewɓe tato, haa ɓe nyaamda, ɓe njarda bee maɓɓe. ","O bem kɔ̧-a̧ duka so nɛ́ tɛ ko o ŋmaa, de nɛ be gbaŋa, ɓɛɛ toma sa o boko nya-wa taar mɛ tɛ̀ɛ́ nyɔŋ mɔ, nɔ nɛ mɔ in wa mbɛt. ","O bem kɔ̧-a̧ duka so nɛ́ tɛ ko o ŋmaa, de nɛ be gbaŋa, ɓɛɛ toma sa o boko nya-wa taar mɛ tɛ̀ɛ́ nyɔŋ mɔ, nɔ nɛ mɔ in wa mbɛt. ","Kevə kevə ne, kaheheka ghəa nci ŋwalea Job kezha zeme wəshi kezeme. Kaheheka ŋwalea kwɛa yiteyɛa nci hɛ kezha zeme wəshi kezeme ba'a kezha sa wəshi kesa le hɛ. ","Weere äen hay wo woge ni kaçaçra, toñ ni je la, toñ ni je la ma joñ few, day saara hay ëe ma tnaare äaara ma swa'n wo le ma age reege, jooge de äaara lay. "
JOB.1.5," Et, quand le cercle des festins était fini, Job envoyait chercher ses fils et les purifiait; puis il se levait de bon matin et offrait un holocauste pour chacun d'eux, car il se disait: « Peut-être mes fils ont-ils péché et offensé Dieu dans leur coeur!... » Et Job faisait ainsi chaque fois.  --Première série d'épreuves.-- ","And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually.","Hay li ma buura vi yuldeta vatawana, Job gi sunda kay gar gurona valam aya, nam porsiya, bugolda nam fok kulo graw culum culum, nam li ɗifin ma ŋal-goyna kay gige gige jarsi kafe, kay Job di'e: La li ŋalɗi, gurona van li suluku lebo nisi ka ŋul Lawna hay diksi klasige. Job ka li ki kayn nala dok-doko.","Eyoñ melu ya ésulan bidi me lôteya, Yob a mbe a loʼone bobefame bé a tune be. Wôna ndibe tyé a nga kôlô si a ve metunaʼa ma diʼibane ngumba asu môt ase yʼété, amu Yob a mbe a simesaʼane na: Ndôʼôtô bobefame bam be maneya bo abé a ndôʼôtô be maneya kobô Zambe ébiasé e minleme miab été.","Da a zliram le tiɗeˀe ngi gi muguzlum a hay taŋhaya na, Jop a zilo taŋ, ɓa a zuɓa taŋ dili avra. A slikiɗ ti li, a gi mikuli mizlamzlam wãˀ vur hirnga taŋ tiɗeˀe, asi a ɓi ti kwacay naŋ na: «Asinta, ziri ɗuwoy na, a gam mungra le, yo a zaka Buymisemuŋ le a mevel taŋ kwani? Jop a ga kanah ndrehhe»","To nyalɗe man timmi, Ayuba ɗonno ewna ɓiɓɓe muuɗum ngam senugo ɓe. O ɗonno dawa cub, o lii'ana Allah guleteeɗi ngam kawtal koo moy maɓɓe bee Allah. Ngam o ɗonno numa: “Teema ɓiɓɓe am mbaɗi hakke, kuɗi Allah nder ɓerɗe muuɗum'en.” Bana nii Ayuba ɗonno waɗa foroy.","To nyalɗe man timmi, Ayuba ɗonno ewna ɓiɓɓe muuɗum ngam senugo ɓe. O ɗonno dawa cub, o lii'ana Allah guleteeɗi ngam kawtal koo moy maɓɓe bee Allah. Ngam o ɗonno numa: “Teema ɓiɓɓe am mbaɗi hakke, kuɗi Allah nder ɓerɗe muuɗum'en.” Bana nii Ayuba ɗonno waɗa foroy.","Kà wa dé yɔyɛ dam wa lɛŋ kaɗi, ɓɛɛ Job saa o bem kɔ‘i lɛŋ ha̧ a̧ mɛ  ɗafi  war-tɛ-wa. Kà a̧ kúr mɛ tutuyɛ, ɓɛɛ a̧ dɔɔ kpoo ɗafi nɛ sɔ̧ wen wa kpɔk kpɔk. Taamɔ ko Job'e, ŋmafara o bem kɔ‘i dee ɗaŋmɔ, da̧ nɛ Sɔ̧ nɛ kɔ̧ see-wa. Tom-dee ko Job nɛ mɔ‘i ɓɔnsɛnɛ.","Kà wa dé yɔyɛ dam wa lɛŋ kaɗi, ɓɛɛ Job saa o bem kɔ‘i lɛŋ ha̧ a̧ mɛ  ɗafi  war-tɛ-wa. Kà a̧ kúr mɛ tutuyɛ, ɓɛɛ a̧ dɔɔ kpoo ɗafi nɛ sɔ̧ wen wa kpɔk kpɔk. Taamɔ ko Job'e, ŋmafara o bem kɔ‘i dee ɗaŋmɔ, da̧ nɛ Sɔ̧ nɛ kɔ̧ see-wa. Tom-dee ko Job nɛ mɔ‘i ɓɔnsɛnɛ.","Ma kiɗima ta gəsəkə ne, kaheka ŋwalea ŋkɛ Job kase kapɛ hɛ wɛŋe. Ma te hendɛ ta ŋkwa ne, kafeɗeghe ŋkɛ mba ŋkwa ba'a kadzeghe melɛ kwa tere tere kezha yayata wəndəa nci, ma ke sha ghəa ŋkɛ: «Ya kwete nahe ŋwalea ɗa kemenete jaɗafa ba'a keŋelekɛ Shala kwa wənəa nci.» Tsagha mene Job kevə kevə.","De maga naw fewn mañ jag kiigi we go ti äaara äuy no, Job raw äo' jobo wer weere äen wo day façaç ra go. AÀ hay go urgi ciñ de jag toñ tum ma sii siigi jag maga aè roë mo äen go äuy ti weere äen wo boñ boñ äuy, werga Job hay ëiggi gana: Tiga weere äin joñ wo älagge, day ëar wo Baa le jiili äaara laybla' no. Job hay joñge tum tum dosen nono."
JOB.1.6," Il arriva un jour que, les fils de Dieu étant venus se présenter devant Yahweh, Satan vint aussi au milieu d'eux. ","Now there was a day when the sons of God came to present themselves before the  Lord , and Satan came also among them.","Van li nala, hay buur kep gurona vi Lawna co'o vok ir Ma-Vatɗina, Satan kaw co jarsi zaw. ","Môs éziñ bone be Zambe be nga zu tebe asu Zambe, nde satane fe a nga suan e zañe jap. ","Ti di numuŋ ada na, modro ngi Buymisemuŋhoy a ram nga mbuŋ Bumbulvuŋ. Satan mukupa ɓi aru a wuzla taŋ ya. ",Nyannde feere ɓiɓɓe Allah  ngari haa ndaro yeeso Jawmiraawo. Sayɗaanu boo wari caka maɓɓe. ,Nyannde feere ɓiɓɓe Allah  ngari haa ndaro yeeso Jawmiraawo. Sayɗaanu boo wari caka maɓɓe. ,"Ŋma wese, o betom  ko GASA WAN tɛɛ tɛ a̧ mɛ we ɗoŋ tom kɔ-wa, ɓɛɛ Satan wi-ba-wen zu bíí tɛ kànà in wa mbɛt. ","Ŋma wese, o betom  ko GASA WAN tɛɛ tɛ a̧ mɛ we ɗoŋ tom kɔ-wa, ɓɛɛ Satan wi-ba-wen zu bíí tɛ kànà in wa mbɛt. ","Ma te kwete hɛ kwa senji ka ghwene ta Shala kadzawa kema ta Shala ne, pa Gətəli, nde ghema senyɛ hwa hɛ perə. ","Day ti wurpo, weere mani Baan raw wo age lagge pel Manwuri, Manhuli kal age yoo äaara ni lay. "
JOB.1.7, Et Yahweh dit à Satan: « D'où viens-tu? » Satan répondit à Yahweh et dit: « De parcourir le monde et de m'y promener. » ,"And the  Lord  said unto Satan, Whence comest thou? Then Satan answered the  Lord , and said, From going to and fro in the earth, and from walking up and down in it.","Ma-Vatɗina di tam Satan: Naŋ may arige pa? Satan hot dit tam Ma-Vatɗina: Kay ŋuy yam nagata, kay poy haya'a kaw. ","Zambe a nga sili Satane na: Wo so vé? Satane nye Zambe na: A so ma ndeñendeñe si nyô, a wulu li a li été. ","Bumbulvuŋ a cufuɗaŋ: «Ki so ti damaka?» Mukupa ɓi a mbiɗa da Bumbulvuŋ: «I ro ti liˀi asi ruwuyo zleˀe, gun gun zlar.» ",Jawmiraawo ƴami mo: “Diga toy ngarɗa?” Sayɗaanu jaabi: “Mi yiiloyi koo toy haa duniyaaru.” ,Jawmiraawo ƴami mo: “Diga toy ngarɗa?” Sayɗaanu jaabi: “Mi yiiloyi koo toy haa duniyaaru.” ,GASA WAN aka a̧: «Mɛ tɛ nɛ déè?» Wi-ɓir-wen e nú-wi kifa nú: «Mi yara so zɔk nɛ nù nɛnɛ.»,GASA WAN aka a̧: «Mɛ tɛ nɛ déè?» Wi-ɓir-wen e nú-wi kifa nú: «Mi yara so zɔk nɛ nù nɛnɛ.»,Ma ke Mahwətə 'yɛwete: «Tema se na wa?» Ma ke Gətəli zhɛnete nda: «'Ya se kantəslə hɛɗi lema.» ,Manwur day riñ Manhuli gana: Ndo a le genla? Manhuli raw ferge ne Manwur gana: Ndi hay mbi go kiigi rañge ti tamsir caw caw. 
JOB.1.8," Yahweh dit à Satan: « As-tu remarqué mon serviteur Job? Il n'y a pas d'homme comme lui sur la terre, intègre, droit, craignant Dieu et éloigné du mal. » ","And the  Lord  said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?","Ma-Vatɗina di tam Satan: Naŋ wi Job sa ma sunda vanawa su? Sa ma ki nam nala may kay nagatɗi, kay namu mi sa ma gasiya, ɗigere kaw, kay nam li nar kuɗ Lawna, tun ɓalam tam jootɗi kaw. ","Zambe a nga sili Satane na: Ye ô yeneya foʼo mbo ésaé wom Yob? E si nyô môte mfe a nji bo ane nye; nyô a ne nya mvoʼé a zôsôô , a ko Zambe woñ, a saʼaleʼe abé . ","Dar Bumbulvuŋ a cufuɗaŋ: «Ki pura gawla ɗu Jop na le kwa? Ko mbur ngi wi ti naŋ anta asi ruwuyo ta. I mbur mikaslsla, miteŋteŋ, a zluwun ti ya Buymisemuŋ, yo a kirih kileŋ avu gwat malambaˀa.» ","Jawmiraawo ƴami mo: “A hakkilani jaggiiɗo am Ayuba na? Irin maako walaa haa duniyaaru, o goɗɗo timmuɗo, gooŋgaajo, kulɗo yam, daayiiɗo halleende.” ","Jawmiraawo ƴami mo: “A hakkilani jaggiiɗo am Ayuba na? Irin maako walaa haa duniyaaru, o goɗɗo timmuɗo, gooŋgaajo, kulɗo yam, daayiiɗo halleende.” ","Nɛ mɔ'ɔ nɛ GASA WAN aka a̧ woyo: «Mɛ zɔka wi-de-tom kɔ‘m Job nde? Ŋma bíí hee a̧ ga zu nù bo na. A̧ nɛ́ de bíí in wi-de-mɔ nɛ yuwar-a, nɛ yu kíí Sɔ̧, in nɛ duk kɔ‘i nyɛi̧ nɛ ɗaŋmɔ.»","Nɛ mɔ'ɔ nɛ GASA WAN aka a̧ woyo: «Mɛ zɔka wi-de-tom kɔ‘m Job nde? Ŋma bíí hee a̧ ga zu nù bo na. A̧ nɛ́ de bíí in wi-de-mɔ nɛ yuwar-a, nɛ yu kíí Sɔ̧, in nɛ duk kɔ‘i nyɛi̧ nɛ ɗaŋmɔ.»",Ma ke Mahwətə shɛ: «Nahe na keneweve nde mene slene ta ɗa Job tse na? Wəndə shɛ kala gheŋkɛ te hɛɗi we. Wəndə nya ganyɛ ba'a nya tiɗiɗi ŋkɛ. Kahawe ŋkɛ va 'ya ba'a kahwɛ ŋkɛ va wəsə kwa ndiremi.» ,"Manwur kal riñ Manhuli gano: Nen äo ba weejoçoç äi Job gaa yawla? Jobo bay do se nono ti tamsir wa, aà diñ jobo ma keëed lay de deele lay. AÀ joñ heçeçne do Baa, bay da ree älagge see äe wa lay. "
JOB.1.9, Satan répondit à Yahweh: « Est-ce gratuitement que Job craint Dieu? ,"Then Satan answered the  Lord , and said, Doth Job fear God for nought?",Satan hot dit tam Ma-Vatɗina: Job li nar kuɗaŋ kayni goy ɦawa'a su? ,Satan a nga yalane Zambe na: Ye Yob a ko Zambe woñe zezé? ,"Amma mukupaɓi tuwa, a mbiɗa da Bumbulvuŋ: «Jop mazluwun ti ka Buymisemuŋ vuna, i ngatara kwa? ",Sayɗaanu jaabi: “Kadi Ayuba ɗon hule meere na?  ,Sayɗaanu jaabi: “Kadi Ayuba ɗon hule meere na?  ,Wi-ɓir-wen e nú-wi kifa nú ha̧ GASA WAN: «Job yu so kíí GASA WAN géè nde?  ,Wi-ɓir-wen e nú-wi kifa nú ha̧ GASA WAN: «Job yu so kíí GASA WAN géè nde?  ,Ma ke Gətəli zhɛnete nda ke Mahwətə: «Gəmə hawe Job va gha pa sha ŋa ŋa na? ,Manhuli kal ferge ne Manwur gana: Job joñ heçeçne do Baa na de koë so yaw! 
JOB.1.10," Ne l'as-tu pas entouré comme une clôture, lui, sa maison et tout ce qui lui appartient? Tu as béni l'oeuvre de ses mains, et ses troupeaux couvrent le pays. ","Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land.","Naŋ may ŋomomu hiɗi ziyna valamu hiɗi slena valam kaf ɗisu? Naŋ gi bolawa kay lopna vi ɓalamu, farayna valamu ka biya goy hay nagata kaw. ","Ye ô nji lôñe nye nkaʼalé, émien, nda bôte jé, a biôm bise a bili? Ô maneya botan ésaé ya mo mé, a mbame biyeme wé wo fôé a mialane si nyô. ","Naŋ vuna ati hay naŋ waɗ gwat naŋhay gar na, ki ra jigina taŋ gun gun kaɓa gezleŋ a hirnga ginewey takwa? Ki ɗuwulaŋ mi le vur gwat naŋ maga gar, yo ginew naŋhay a roko suɓulak asi ruwuyo. ","Naa a howi mo kowaagol, kaŋko e saare maako e ko o mari fuu? A barkiɗini kuugal juuɗe maako, tokke maako ɗuuɗi haa lesdi. ","Naa a howi mo kowaagol, kaŋko e saare maako e ko o mari fuu? A barkiɗini kuugal juuɗe maako, tokke maako ɗuuɗi haa lesdi. ","Bó nɛ́ wen n’ɛnɛ dee kira ɓor nɛ ɗoŋ tua kɔ̧-a̧ in o mɔ kɔ̧-a̧ lɛŋ na nde? O mɔ kɔ̧-a̧ n'aa dee lɛŋ, ɛnɛ toka de yoŋgo zu a̧, ɓɛɛ o mɔ-dai kɔ̧-a̧ to nɛnɛ hukɛ-hukɛ. ","Bó nɛ́ wen n’ɛnɛ dee kira ɓor nɛ ɗoŋ tua kɔ̧-a̧ in o mɔ kɔ̧-a̧ lɛŋ na nde? O mɔ kɔ̧-a̧ n'aa dee lɛŋ, ɛnɛ toka de yoŋgo zu a̧, ɓɛɛ o mɔ-dai kɔ̧-a̧ to nɛnɛ hukɛ-hukɛ. ","Ashɛ gha ŋeyite zli yitea Job, mbeli nyi ki ghɛa ŋkɛ ba'a pɛtɛa wəshi nyi ve wəka? Nahe na kewəpikɛ yayata wəsə nya mene ŋkɛ, rayɛ ŋkwa nya te hɛɗi va wəshi keseɗa ta ŋkɛ. ","Äa ndo bay go de ma' laä ne hara ti de tiñ äe de feçeçre mani äen wo äuy wa ge? Ndo kañ bosa' go ne joñre ma do äen wo äuy ti, day horog de fuçy äen yaçaç wo sirn wo go lid ti' pa. "
