livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JOL.1.1," Parole de Yahweh qui fut  adressée  à Joël, fils de Phatuel.",The word of the  Lord  that came to Joel the son of Pethuel.,"Ma-Vatɗina di yoboyn tam Jowel, goora vi Petuwel ala:","Nkobô Nti wu ô nga kui be Yôél, e mone Pétuél.","Bumbulvuŋ miɓa ɓi da Zowel, mangal ngi Petuwel.","Jawmiraawo wolwani Yo'el ɓii Petuwel, wi'i:","Jawmiraawo wolwani Yo'el ɓii Petuwel, wi'i:",Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Jɔɛl bem ko Pɛtuɛl nɛ mɔ'ɔ.,Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Jɔɛl bem ko Pɛtuɛl nɛ mɔ'ɔ.,"Ghena nya gezete nda Mahwətə ke Zhowɛl, wəzege ta Petəwɛl.",Waçaçre maga Manwur waçaç ne Jowel je ni Petuweln mono.
JOL.1.2," Écoutez ceci, vieillards ; prêtez l'oreille,  vous  tous habitants du pays ! Pareille chose est-elle arrivée de vos jours, ou bien dans les jours de vos pères ?","Hear this, ye old men, and give ear, all ye inhabitants of the land. Hath this been in your days, or even in the days of your fathers?","Humgi dit kayni nigi sa maariyana, jakgi humgiya, nigi sum sa hay nagat kafna, law ta ki kayn nala li kir sumaygi ka li su? Lebo li kirgi nigi ka li su?","Vôʼôlaʼane jame dina, a mia bemvendé be bôt kuʼane melo menane mese a mia bôt mi too Yuda! Ye avale jame di e tameya boban nté mi nyiñeya, nge melu benyô mvam ?","Kum mizli micawwahay, cinam ɗagay, kum mizli ngi si ruwuy Zudahay gar, jikaka slimiɗe. Gwat misi kahana a gi le ɗaˀ mur kumo malla mur dideˀ kumoyo kwa?","Onon ndotti'en, nane ko mbi'anmi! Onon jooɗiiɓe lesdi Yahuuda fuu, keɗite! Irin ɗu'um meeɗi laataago nder nyalɗe mooɗon koo nder nyalɗe kaakiraaɓe mooɗon na? ","Onon ndotti'en, nane ko mbi'anmi! Onon jooɗiiɓe lesdi Yahuuda fuu, keɗite! Irin ɗu'um meeɗi laataago nder nyalɗe mooɗon koo nder nyalɗe kaakiraaɓe mooɗon na? ","Ɛnɛ o  kuti-wi , ɛ̀nɛ̀ zíí wen’ɛ; ɛnɛ o bíí nu Juda lɛŋ, ɛ̀nɛ̀ yéŋ zer'nɛ́. Pɛrti mɔ hegɔ hɔɔ tɛ ŋgimbi k’ɛ́nɛ́, kóó tɛ ŋgimbi ko o zɔmdáa k’ɛ́nɛ́ nɛti kaɗi?","Ɛnɛ o  kuti-wi , ɛ̀nɛ̀ zíí wen’ɛ; ɛnɛ o bíí nu Juda lɛŋ, ɛ̀nɛ̀ yéŋ zer'nɛ́. Pɛrti mɔ hegɔ hɔɔ tɛ ŋgimbi k’ɛ́nɛ́, kóó tɛ ŋgimbi ko o zɔmdáa k’ɛ́nɛ́ nɛti kaɗi?","Gheyɛ mbelia jama, fa mə ghena nya, gheyɛ pɛtɛa ka Zhəwda, ghwene mə sleme. Nahe wəsə nya kala nya kegha kamenete geva te vəa ŋayɛ keɗema te vəa ka shihɛ ŋayɛ na?","Laa wee waçaçre ma kay no, nday jar kluuri no! Co' wee sug äay, nday äuy jar ma äi sir Juda no! Ree ma dosen no kay joñ mbe we ti boñ nen äay, Noga nen paçaçre äay wo yawla?"
JOL.1.3," Faites-en le récit à vos enfants, et vos enfants à leurs enfants, et leurs enfants à une autre génération.","Tell ye your children of it, and let your children tell their children, and their children another generation.","Nigi ma vi labar namna mi gurona vigiya, gurona vigi ma vi labar namna tam guro-misina. guro-misina ma vi labar namna tam jafsi voksi ɗaw.","Kañetaʼane jame te e be bone benan, a bone benane ki e be bone bap a bone bap e be miaé wo tôñe valé!","Slufaka ɓi nah da ziri kumoy, ziri kumoy a sa slufaka da ziri taŋhay, yo taŋ kwana, a sa slufaka da tizer taŋ nga mbuŋ ya.","Ngecce ɗum ɓiɓɓe mooɗon, ɓiɓɓe mooɗon boo ngecca ɗum ɓiɓɓe muuɗum'en. Kamɓe fahin ngecca ɗum yidere warannde ɓaawoɗon. ","Ngecce ɗum ɓiɓɓe mooɗon, ɓiɓɓe mooɗon boo ngecca ɗum ɓiɓɓe muuɗum'en. Kamɓe fahin ngecca ɗum yidere warannde ɓaawoɗon. ","Ɛ̀nɛ̀ tɔ̧́ nyɛrɛ mɔ'ɔ ha̧ o bem k’ɛ́nɛ́, ɓɛɛ o bem k’ɛ́nɛ́ tɔ̧ɔ̧ kɔ‘i ha̧ o bezaŋ-wa, ɓɛɛ o bezaŋ tɔ̧ɔ̧ ha̧ o bezaŋ mɛ ɗoŋ.","Ɛ̀nɛ̀ tɔ̧́ nyɛrɛ mɔ'ɔ ha̧ o bem k’ɛ́nɛ́, ɓɛɛ o bem k’ɛ́nɛ́ tɔ̧ɔ̧ kɔ‘i ha̧ o bezaŋ-wa, ɓɛɛ o bezaŋ tɔ̧ɔ̧ ha̧ o bezaŋ mɛ ɗoŋ.","Ɓela nda mə ghena shɛ ke ŋwalea ŋayɛ, kateɓela nda ŋkɛ hɛ ke ŋwalea nci, kezha ɓela nda ŋkɛ ŋwalea nci ke mbeli nyi keteya kwa sebe ta nci.","Fern wee ne weere äay wo nen maga aà mo fern wo ne weere äaara wo, Day weere äaara mo siin wo ne jar ni äaara wo lay."
JOL.1.4," Ce qu'a laissé le gazam, la sauterelle l'a dévoré ; ce qu'a laissé la sauterelle, le yéleq l'a dévoré ; ce qu'a laissé le yéleq, le chasil l'a dévoré.",That which the palmerworm hath left hath the locust eaten; and that which the locust hath left hath the cankerworm eaten; and that which the cankerworm hath left hath the caterpiller eaten.,"Wa ma hin kuɗ bar ɓok-ɓokona, baar-jeren tumawa, wa ma hin kuɗ baar-jerena, girim-girim tumawa, wa ma hin kuɗ girim-girimna, baar-bobon tumawa.","Jôme nkôñ ô nga lik, étandak é mineya je, a jôm étandak é liʼiya, aselek é diya je; jôm aselek é nga lik, mbaʼa a diya je.","Gwat ngi migam, misi mi ngi mumuyuŋ na, yuk a zuma le tirneˀ, yo misi mi ngi yuko, tuˀuf a zuma le tirneˀ, waɗ misi mi ngi tuˀufo, jaray a zuma le leɗeɗ.","Ko nyaamoowu acci, mbaɓɓattu nyaami ɗum. Ko mbaɓɓattu acci, ngilŋgu maagu nyaami ɗum. Ko ngilŋgu acci, ndo'u nyaami ɗum.","Ko nyaamoowu acci, mbaɓɓattu nyaami ɗum. Ko mbaɓɓattu acci, ngilŋgu maagu nyaami ɗum. Ko ngilŋgu acci, ndo'u nyaami ɗum.","Mɔ nɛ nàá-dɔɔsɔ̧ɔ̧ ea, nàá-wazala nyɔŋa. Mɔ nɛ nàá-wazala ea, nɛ́ gba-dɔya a̧ nyɔŋa; mɔ nɛ gba-dɔya ea, nɛ́ ndondo-gba-dɔya a̧ nyɔŋa yinɛ lɛŋ.","Mɔ nɛ nàá-dɔɔsɔ̧ɔ̧ ea, nàá-wazala nyɔŋa. Mɔ nɛ nàá-wazala ea, nɛ́ gba-dɔya a̧ nyɔŋa; mɔ nɛ gba-dɔya ea, nɛ́ ndondo-gba-dɔya a̧ nyɔŋa yinɛ lɛŋ.","Ma wəshi nyi ketene yitea mɛa yɛ geteɗə te wəve ne, nahe yɛ dzale kezehwe hɛ. Ma nyi ketene yitea mɛa yɛ dzale ne, nahe yɛ zhamaya kezehwe hɛ. Ma nyi ketene yitea mɛa yɛ zhamaya ne, nahe yɛ jagha kezehwe hɛ.","Coore maga gwa' jag degornog ni mono, magalga reen go. Maga gwa' jag magalga ni mono, gejer reen go lay. Maga gwa' jag gejer ni mono, mapoë reen go äuy lay."
JOL.1.5," Réveillez-vous, ivrognes, et pleurez ;  vous  tous, buveurs de vin, lamentez-vous, à cause du vin nouveau ; car il vous est retiré de la bouche.","Awake, ye drunkards, and weep; and howl, all ye drinkers of wine, because of the new wine; for it is cut off from your mouth.","Zliygi kulo'o, nigi sum sa hiwiri kay dolayna, tiygiya. Kay vuɗ gulda-guldana ma li vin ma jibetna hiɗi namna, nigi ma fum loɗi.","Veʼan ayo, mia besoʼo bilam, mi yôn! Mia benyuu bilam, yônane mia bese; mia ye bo teke mfefé woon amu bibuma bi ndiʼi woone momo.","Kum muwam le, puɗkam, tuwam, kum misi mbaazlahay gar, tuwam kaɗam kaɗam, asi kum anta sa lumam mbaazla si mata.","Onon wuykooɓe, pine, mboye! Onon yarooɓe inaboojam, mboye, ngam inaboojam kesam ittaama e kunnduɗe mooɗon! ","Onon wuykooɓe, pine, mboye! Onon yarooɓe inaboojam, mboye, ngam inaboojam kesam ittaama e kunnduɗe mooɗon! ","Ɛ̀nɛ̀ tún, o wi-gbɛ-dɔ̧ɔ̧, ɛ̀nɛ̀ hí̧í̧ kɔ̧a̧; ɛnɛ o wi-nɔ-dɔ̧ɔ̧ lɛŋ, ɛ̀nɛ̀ áí nú‘nɛ́ wen nɛ̀ mbe dɔ̧ɔ̧ bo h’ɛ́nɛ́ mɛ nɔ ɓɔna.","Ɛ̀nɛ̀ tún, o wi-gbɛ-dɔ̧ɔ̧, ɛ̀nɛ̀ hí̧í̧ kɔ̧a̧; ɛnɛ o wi-nɔ-dɔ̧ɔ̧ lɛŋ, ɛ̀nɛ̀ áí nú‘nɛ́ wen nɛ̀ mbe dɔ̧ɔ̧ bo h’ɛ́nɛ́ mɛ nɔ ɓɔna.","Ka ghwəyi ghwəyi, feɗeghe mə ba'a nehwene mə! Gheyɛ pɛtɛa ka sa tɛ, ŋgaɗe mə ghəa ŋayɛ, katezhɛne tɛ mɛnɛfɛ kadzete mɛa ŋayɛ we.","Puçy wee go, nday jar taëge de yii no, laa wee ro! Law wee see äay, nday jar joo yii no! Gahaçyla, aè naa ge yii yañ go wee jage!"
JOL.1.6," Car un peuple est monté sur mon pays, puissant et innombrable ; ses dents sont des dents de lion, et il a des mâchoires de lionne.","For a nation is come up upon my land, strong, and without number, whose teeth are the teeth of a lion, and he hath the cheek teeth of a great lion.","Kay sum sa dono'o coyawa, nisi mok nagata vanawa, nisi dono ŋolo, sa as ŋaɓsiɗi, siysi ki siy zlon nala, Gaŋsi ki gaŋ zlo-tancat nala.","Nkane bitandak ô yianeya si jangan. Bi nʼayok, tekʼalañé, bia jiane jôm ése ane mesôñe me ngbwengbwem nge minkekeʼe mi ngale ngbwengbwem.","Mizli a zlaka hirwuy ɗu le ngi kiɗa vu, taŋ gidaŋ haɗi, yo a slufam ta. Taŋ ti sliŋ kaɓa ngi mobor, mi taŋhayakaɓa ngi madiya moboroy.","Ummaatoore semmbiɗnde, nde walaa limgal, ukkani lesdi am. Nyii'e maare nanndi bee nyii'e barooɗe, ƴakkirɗe maare bana ɗe mbarooga ndewa . ","Ummaatoore semmbiɗnde, nde walaa limgal, ukkani lesdi am. Nyii'e maare nanndi bee nyii'e barooɗe, ƴakkirɗe maare bana ɗe mbarooga ndewa . ","O gii gba-dɔya bi nɛ nu kɔ‘m, wa ɔ ŋgaya, wi nyɛm mɛ tɔr wa na; gba̧a̧-nin-wa nɛ́ nin dila, o goko-wa nɛ́ goko nana dila.","O gii gba-dɔya bi nɛ nu kɔ‘m, wa ɔ ŋgaya, wi nyɛm mɛ tɔr wa na; gba̧a̧-nin-wa nɛ́ nin dila, o goko-wa nɛ́ goko nana dila.","Nahe ləmbəa yɛ dzale kepesleyi geva te hɛɗia n'yɛ. Nahe hɛ kenza keberete beretenji, kaɓelate hɛ mbeli we. Nahe yɛ slene ta nci kenza kala ŋa nivɛrə, nahe yɛ ghweleme ta nci kenza kala ŋa ŋemalea nivɛrə.","Jar po wo de le' Israyel sir mani äi no. AÀ wo de eegre debañ, wo ngaäa debañ lay. Sañ äaara do sañ mingir nono. Way äaara do ma man mingir no lay."
JOL.1.7," Il a dévasté ma vigne, et mis en morceaux mon figuier ; il les a pelés complètement et abattus ; les rameaux sont devenus tout blancs.","He hath laid my vine waste, and barked my fig tree: he hath made it clean bare, and cast it away; the branches thereof are made white.","Nisi ɓulak sinena van ma gulda-guldanawa; gu-gumna vanu nisi kaam iramawa goy ne; ne', hom ɓulokomawa goyo, kaamawa goy gaa'a, hum gulda-guldana ɓoy goy haɓi.","Nkane te ô maneya di mefube mindiʼi miangan, a mane ndamane befigié bangan ne meñ. Ba mane kpwele be, a mane soé be bikôbe biap a liʼi ve bifumulu mintyaé.","A tiram ti guva ngi gudubun ɗu kirɗak kirɗak, a hiryaka guva ngi uruf ɗu liɓasl liɓasl wãˀ, a kurɗoko duba taŋhaya kuruɗ kuruɗ, a paka taŋ haŋ saɓaɓaɓa a ruwuy, mbak mihaŋ taŋhaya babara faw.","Nde wili inabohi am, nde yewi ibbi am, nde ɓolti ki fuu, lice maaki fuu purɗi.","Nde wili inabohi am, nde yewi ibbi am, nde ɓolti ki fuu, lice maaki fuu purɗi.","Wa dee ha̧ fɔ-nyak-dɔ̧ɔ̧ kɔ‘m mɛ kifi geemɔ, wa ɓira o te-mbɔra kɔ‘m a nu sɛ́kɛ́ɗɛ́-sɛ́kɛ́ɗɛ́. Wa ɗaŋa mɔ hús-hús, ɓɛɛ gbaa-er-te fɛŋ buu.","Wa dee ha̧ fɔ-nyak-dɔ̧ɔ̧ kɔ‘m mɛ kifi geemɔ, wa ɓira o te-mbɔra kɔ‘m a nu sɛ́kɛ́ɗɛ́-sɛ́kɛ́ɗɛ́. Wa ɗaŋa mɔ hús-hús, ɓɛɛ gbaa-er-te fɛŋ buu.","Nahe hɛ kezhɛrete yɛ rɛzɛŋea n'yɛ kaɓerama, nahe ŋkɛ kezamte sebe te yɛ dasekwa ta n'yɛ. Nahe hɛ kezehwe hɛ, nahe hɛ kempeɗehwe zlapələa nci ba'a nahe hɛ kezhɛrete yɛ dzeve ta nci tɛzlɛzlɛ.","AÀ älag wo pay tlalum äin go, AÀ caa wo koo hoçoç mani äin go, geëeb wo nen äe go lay. Jag do tlalumn hig wo go äuy lay."
JOL.1.8," Désole-toi comme une vierge revêtue du sac, pour  pleurer  l'époux de sa jeunesse.",Lament like a virgin girded with sackcloth for the husband of her youth.,"Yorgi tuwgiya, ki goot-cat ta darayta cuk sligar-bolla ta'a, kay tiy bana' na ma min sla' wulin nala.",Yônan anʼésoé minga é bili ôlun a yônôk nnôme wé a ndôme luk.,"Hislikam tuwuy, kaɓa zuŋ diili muzuɓ zil le wureˀ, matuwuy vagay ngi zil naŋ, naŋ muzuɓa paɗ ngi diili naŋ.","Onon yimɓe, sey on mboya bana derkeejo debbo ɓorniiɗo limce buhuuje  boyanɗo gorum kowɗo ɗum. ","Onon yimɓe, sey on mboya bana derkeejo debbo ɓorniiɗo limce buhuuje  boyanɗo gorum kowɗo ɗum. ",Ɛ̀nɛ̀ pɛ́ see'nɛ́ hee be-zɔŋa nɛ pi̧i̧ laa-zim-fio hi̧i̧ nɛ fio wii-zɔŋa kɔ̧-a̧ ga.,Ɛ̀nɛ̀ pɛ́ see'nɛ́ hee be-zɔŋa nɛ pi̧i̧ laa-zim-fio hi̧i̧ nɛ fio wii-zɔŋa kɔ̧-a̧ ga.,Ŋgaɗe mə ghə kala makwa nya nza wəsə hwa hwə ve kezha nehwene za makwa nta.,Law see äe do may tigli maga lag taçy oçoçbe go ti äe Ma ra je maga hay go de yaçaçge äe nono.
JOL.1.9," Offrandes et libations ont été retranchées de la maison de Yahweh ; ils sont dans le deuil les prêtres, ministres de Yahweh !","The meat offering and the drink offering is cut off from the house of the  Lord ; the priests, the  Lord's  ministers, mourn.","Slen ma vulda hiɗi slen ma yamam goy tam Lawna may ma hay ziyna valam loɗi; muliyan-sa-ɗifinna sa sun Ma-Vatɗina, nisi ka hay godoora.","Mimveane mi fôn nge mi mi woon mi nji fe beta kui nda Zambe. Ajô te betuni be ne meyeb été, mbe be ne ntelane ya saane Nti.","Hapa ngi vul ati mbaazla ngi puslo, anta sa ram di ng'ar hay ngi Bumbulvuŋ mata. Migi mikuli, mizli ngi slra ngi Bumbulvuŋhoyo, a roko ti tuwuy ngi vagay.",Dokke nyaamdu e dokke dufeteeɗe ngoodaa haa suudu Jawmiraawo. Liman'en jagganooɓe Jawmiraawo ɗon cuno. ,Dokke nyaamdu e dokke dufeteeɗe ngoodaa haa suudu Jawmiraawo. Liman'en jagganooɓe Jawmiraawo ɗon cuno. ,"Aa-zɛzɛ nu in ha̧a̧mɔ kɔ̧ Tua ko GASA WAN bo ɓɔna, ɓɛɛ o wi-ɗafi-sɔ̧ nɛ ya nɛ o wi-de-tom ko GASA WAN hi̧i̧ nɛ fio.","Aa-zɛzɛ nu in ha̧a̧mɔ kɔ̧ Tua ko GASA WAN bo ɓɔna, ɓɛɛ o wi-ɗafi-sɔ̧ nɛ ya nɛ o wi-de-tom ko GASA WAN hi̧i̧ nɛ fio.","Kezhɛne mbeli kafəke ha ba'a tɛ kadzembe ghɛa Shala we. Vatse nza ka dzeghe Shala mbe nehwene, ghenci nyi kaka mene slene ta Mahwətə.",Jobo bay age de feçeçre haçge noga de yii ma sii jag äil tiñ mani Manwurn wa so. Jar sië jag maga wo de joñ peele ne Manwur wo go nen lawge.
JOL.1.10," Les champs sont ravagés, le sol est dans le deuil ; car le blé est détruit, le vin nouveau est dans la confusion, l'huile languit.","The field is wasted, the land mourneth; for the corn is wasted: the new wine is dried up, the oil languisheth.","Sle ma hay sinen tiy goy kafe, yam nagat hini goy ɦawa'a kay alkamaren vati goy kafe. vin ma jibetna may loɗi, mula soy goyo.","Mefup me maneya diban, si ébien é nyoñeya ôlun été. Te ke fe fôn, teke fe mendime ya ébuma ndik, teke fe atoé mbon ô ne mfefé.","Guvahaya, i mumusukuɗohoy le tir tir, hirwuy a ro ti tuwuy ngi vagay. Alkamari i mitirnaˀa le, mbaazla dedeɗeke anta mata, zuŋ mal muɗuco wureˀ anta ɗek mata.","Gese mbonni, lesdi ɗon suno, alkamaari natti, inaboojam kesam e nebbam kesam boo jinni. ","Gese mbonni, lesdi ɗon suno, alkamaari natti, inaboojam kesam e nebbam kesam boo jinni. ","Wa ɗaŋa o fɔ lɛŋ, nù hí̧í̧ nɛ́ fio. Wa ɗaŋa alkamaari, mbe dɔ̧ɔ̧ bo ɓɔna, mbe nɔ bo ɓɔna mbɛt.","Wa ɗaŋa o fɔ lɛŋ, nù hí̧í̧ nɛ́ fio. Wa ɗaŋa alkamaari, mbe dɔ̧ɔ̧ bo ɓɔna, mbe nɔ bo ɓɔna mbɛt.","Nahe yɛ wəve kebezemte geva, nahe hɛɗi kenza helaŋe helaŋe. Nahe ha kebezemte geva, nahe tɛ mɛnɛfɛ kekiɗi ba'a nahe n'yi nya lɛnɛa kehase.","Payren älag wo go, sirn go nen lawge. Coore bay wa, coore blen hig go. Yii ma defayn taw go, noo dra' caa wer go lay."
