livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JON.1.1," La parole de Yahweh fut  adressée  à Jonas, fils d'Amathi, en ces termes :","Now the word of the  Lord  came unto Jonah the son of Amittai, saying,",Ma-Vatɗina ka di Yonas goora vi Amittay ala: ,"Nti a nga kobô Yôna, mone Amitaé na: ","Ti di numuŋ ada na, Zonas, mangal ngi Amitaya, Bumbulvuŋ a ɓaŋ ɗaˀ ani: ","Jawmiraawo wolwani Yonas ɓii Amittay, wi'i mo : ","Jawmiraawo wolwani Yonas ɓii Amittay, wi'i mo : ","Ŋma wese, GASA WAN tɔ̧ɔ̧ ha̧ Jɔnas, bem ko Amitai:  ","Ŋma wese, GASA WAN tɔ̧ɔ̧ ha̧ Jɔnas, bem ko Amitai:  ","Ma te kwete veci, ma ke ghena ta Mahwətə gezeke nda geva ke Zhonas, wəzege ta Amitay: ",Manwur kal waçaç waçaçre ne Jonas je ni Amitayn gano: 
JON.1.2," "" Lève-toi, va à Ninive, la grande ville, et prêche contre elle ; car leur méchanceté est montée jusqu'à moi. ""","Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.","Yonas, fokaŋ kulo'o, tuɗaŋ hay Ninive  hoyok-ziyn ma ŋolla, Siwelaŋ tam sum sa hayamna. Kay jiw-zlata visi coowa kulo katan goŋ'. ","Kôlôʼô si, kele Ninive, beta tison ate; kobôʼô be na: Mbia mimboon miap mi beteya a kui ma e nsoé dis. ","«Aru kutum nga Niniv, walahay madiɗaŋ. Ki sa buca mizli ngi digahaya, asi moˀore taŋ na, a mbiy kwacay le muduba.»","“Umma, yah Niniwe, berniwol maŋngol. Waaza ngol kiita am, ngam halleende yimɓe maagol tullitake, mi safti laarugo nde.”","“Umma, yah Niniwe, berniwol maŋngol. Waaza ngol kiita am, ngam halleende yimɓe maagol tullitake, mi safti laarugo nde.”","«Mɛ̀ kúr, mɛ̀ nɛ́ sɛn Ninivɛ, gasa ye’ɛ; mɛ̀ tɔ̧́ ha̧ o bíí saaye'i'e, ɗaŋmɔ kɔ-wa daŋa hɔ tɛ‘m.»","«Mɛ̀ kúr, mɛ̀ nɛ́ sɛn Ninivɛ, gasa ye’ɛ; mɛ̀ tɔ̧́ ha̧ o bíí saaye'i'e, ɗaŋmɔ kɔ-wa daŋa hɔ tɛ‘m.»","«Sate, kwiɗi kadzawa Ninive, meleme nya wəba. Zlapave nda ke mbeli nyi mbe, kwa nza nde nahe 'yaghwa mehele ta nci kesame sha 'ya.»","Ur go ciñ, see, ni ndo wo äi leege ma Ninife, äi leege ma kluu no, ni ndo 'waa war ne ne ti werga älagge äen ëii le go ciñ see äi la haçaç. "
JON.1.3," Et Jonas se leva pour s'enfuir à Tharsis,  loin  de la face de Yahweh. Il descendit à Joppé, et trouva un vaisseau qui allait à Tharsis et, ayant payé son passage, il y descendit pour aller avec eux à Tharsis, loin de la face de Yahweh.","But Jonah rose up to flee unto Tarshish from the presence of the  Lord , and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the  Lord .","Ki kayn nala Yonas fokay kulo'o kay pir hay Tarsis, goy gine vok ir Ma-Vatɗina. Nam kal hay Yaffa. Ɗawni nam fi lumna kepe ma min kal hay Tarsis; nam wurak kay lumna, ɓe hayamu kay kal hay Tarsis, goy gine'e vok ir Ma-Vatɗina.","Ane Yôna a nga kôlô si a tube mise me Nti a ke e tison Tarsis. Ane a nga siliki e tison Yafô, a koone sitima a kele e Tarsis. Nde a nga yaʼane moné dulu, a dañ e sitima na ba be be be ke Tarsis a tube Nti.","Amma Zonas a slikiɗ nga naŋ, ɓa a kil nga Tarsis, kileŋ avu Bumbulvuŋ. A pi sar nga Zafa, a lum palalam a diga maru nga Tarsis. A wurka dala ngi palalama, a ci asi migi slra ngir palalamaya, ɓa aru nga Tarsis, kileŋ avu Bumbulvuŋ. ","Ammaa Yonas ummi, waɗi anniya doggugo haa Tarsis daayiiɗum e Jawmiraawo. O yehi Yafo, ton o heɓi koommbowal maŋngal jahanŋgal Tarsis. O yoɓi ceede jahaaŋgal, nden o nasti ngal ngam haa o yahda bee yimɓe maagal haa Tarsis, o dogga daayiiɗum e Jawmiraawo.","Ammaa Yonas ummi, waɗi anniya doggugo haa Tarsis daayiiɗum e Jawmiraawo. O yehi Yafo, ton o heɓi koommbowal maŋngal jahanŋgal Tarsis. O yoɓi ceede jahaaŋgal, nden o nasti ngal ngam haa o yahda bee yimɓe maagal haa Tarsis, o dogga daayiiɗum e Jawmiraawo.","Ɓɛɛ Jɔnas bɛ̧, kur kɔ‘i mɛ yu mɔ yak si Tarsis mɛ, nyɛi̧ nɛ GASA WAN. A̧ zira hɔ Jope, ɓɛɛ a̧ kpa ŋma gasa kombon nɛ de mɛ nɛ si Tarsis. A̧ yoɓa mɛ nɛ in wa wen yuu mɔ yak nyɛi̧ nɛ GASA WAN.","Ɓɛɛ Jɔnas bɛ̧, kur kɔ‘i mɛ yu mɔ yak si Tarsis mɛ, nyɛi̧ nɛ GASA WAN. A̧ zira hɔ Jope, ɓɛɛ a̧ kpa ŋma gasa kombon nɛ de mɛ nɛ si Tarsis. A̧ yoɓa mɛ nɛ in wa wen yuu mɔ yak nyɛi̧ nɛ GASA WAN.","Ama pa Zhonas sate te ŋkwa, kezha hwɛnyɛ kadzawa Tarsis, cakeɗake va Mahwətə. Cape ŋkɛ kadzawa Zhafa kasepa kwambelə nya kejive Tarsis, pa ŋkikɛ, shilimə ŋkɛ kwa yitea slə le ka zleɗe kwambelə kajive, cakeɗake va Mahwətə.","Day Jonas raw urgi ma dañge äi leege ma Tarsis wo go haçaç see Manwuri. Se raw woge äi leege ma Jafa, se kal da' daage ma kluu maga hay woge äi leege ma Tarsis ni. Se raw poëge äe day raw ëiigi de jar ma äil äen wo ma woge äi leege ma Tarsis wo go haçaç see Manwuri. "
JON.1.4," Mais Yahweh fit souffler un grand vent sur la mer, et il y eut sur la mer une grande tempête ; le vaisseau menaçait de se briser.","But the  Lord  sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.","May Ma-Vatɗina hin birina ma ŋolla ma biw kay niy-lumna biw ŋolo, bil ŋolla fok kulo'o kay niyna, lumna tun caw sir gaa'a. ",Ve Nti a nga bo na beta évuñulu a vuñ e mañe yôp; sitima a nga liʼi tyôtyoé ya kubu. ,"Amma Bumbulvuŋ a go burkataŋ gambara ar mubuliye. Neˀ na, yam ngir mubuliy a slikiɗ jirif jirif, hã a ndir mata wãˀ ngi waha palalama. ","Ammaa Jawmiraawo ummini henndu saatundu dow mbeela. Naargewol cemmbiɗŋgol wifi dow maaga, haa koommbowal ɓadake fusugo. ","Ammaa Jawmiraawo ummini henndu saatundu dow mbeela. Naargewol cemmbiɗŋgol wifi dow maaga, haa koommbowal ɓadake fusugo. ","Nɛ́ mɔ'ɔ nɛ GASA WAN toma ŋma ŋga hara-búk pi̧ zu wa, ɓɛɛ yi ɓoɓi kombon hee tɛ mbaŋ mbaŋ a nu ga. ","Nɛ́ mɔ'ɔ nɛ GASA WAN toma ŋma ŋga hara-búk pi̧ zu wa, ɓɛɛ yi ɓoɓi kombon hee tɛ mbaŋ mbaŋ a nu ga. ",Ama pa Mahwətə menete sefə kavɛ kwele kwele te ndərə. Pa masefafele nya wəba menete geva yare kepesle kwambelə. ,"Ane Manwur raw joñge ga leege ma de eegre mo fid ciñ ti maarog ni, day leege ma kluun raw fidgi ciñ ti maarogn ni. Daagen hay kos go mbañ ma le' bii. "
JON.1.5," Les mariniers eurent peur ; ils crièrent chacun à leur dieu, et jetèrent à la mer les objets qui étaient sur le vaisseau, pour s'alléger. Et Jonas était descendu au fond du navire ; il s'était couché et dormait profondément.","Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that were in the ship into the sea, to lighten it of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.","Sa sumay lumna muɗ nar ŋolo. Gige gige jarsiya tun caw siɗaw Lawna valamu valamu. Jakŋa ma hay lumna nisi tun caw cukum goloŋo, kay lumna ma muɗ hefteŋe klasige. May Yonas ka buri hay lumna, kali sen to-to'. ","Ane bôt ba wulu sitima be nga ko woñ; nde môt ase a nga yeʼelan e zambe wé; ane be nga wua biôm bi mbe sitima e mañ été na sitima a bo éveves. Ve Yôna a nga sis e sitima si, ve bômbô si a ke ôyo melom. ","Migi slra ngir palalamaya, zluwun a ga taŋ le haɗi. Mbur gar a zil kuli naŋ kuli naŋ, ɓa a kilo widi taŋ. A zliɗaka gwat ngir palalamaya gar ng'ar yam, ɓa a ga palalama kefeke. Naɓa Zonasa, a pi sar le sesẽŋ ng'asi virzi ngi palalam zleˀe, a ro tup, a hinje le ɗokɗok. ","Laanyooɓe koommbowal kultori, mboyi, koo moy heedi ɗowanteeɗo mum. Ɓe ngudini doŋgle maɓɓe nder mbeela ngam hoynugo teddeeŋga koommbowal. Ammaa Yonas jippino nder reedu maagal, waali, ɗon ɗaano ɗoyŋgol lugguŋgol. ","Laanyooɓe koommbowal kultori, mboyi, koo moy heedi ɗowanteeɗo mum. Ɓe ngudini doŋgle maɓɓe nder mbeela ngam hoynugo teddeeŋga koommbowal. Ammaa Yonas jippino nder reedu maagal, waali, ɗon ɗaano ɗoyŋgol lugguŋgol. ","Kíì dee o wi-ba-kombon nyɛmna ɓɛɛ kóó o ndé ai nɛ nú ha̧ sɔ̧ kɔ‘i. Wa pɛɛ tui a ɗɔɔ yi wen ka kombon diti. Ŋgimbi'i, Jɔnas zira so kɔ‘i si ndaa kombon ɓɛɛ tik kɔ‘i ya mɛ kat.","Kíì dee o wi-ba-kombon nyɛmna ɓɛɛ kóó o ndé ai nɛ nú ha̧ sɔ̧ kɔ‘i. Wa pɛɛ tui a ɗɔɔ yi wen ka kombon diti. Ŋgimbi'i, Jɔnas zira so kɔ‘i si ndaa kombon ɓɛɛ tik kɔ‘i ya mɛ kat.","Pa ghazlənə zhɛte nda ke mbeli nyi kwa kwambelə, ntake hɛ katsa lewela le səkwə, yayata wəndə yitea kemane shala ta ŋkɛ. Kwetere wəmbəa ŋkɛ, pa hɛ beteyi wəshi nyi kwa kwambelə kwa yɛmə yitea nza ŋkɛ kɛfe kɛfe. Ma Zhonas le ŋa ŋkɛ, pa dzawanyɛ kwa zeweve ta kwambelə ba'a ɓelahenyɛ, shelɛŋe yitea hɛ. ","Heçeçne raw caa jar ma tuñ daagen wo no, wosela äuy yoo äaara raw tos baa äe no, day saara raw laa feçeçre ma äi daagen wo go nen maarog maga daagen mo kol go gofoñ. Jonas raw ëiigi wo äi daagen gesiñ, kal suugi day taa naa plañ dañ. "
JON.1.6," Alors le chef de l'équipage s'approcha de lui et lui dit : "" Qu'as-tu à dormir ? Lève-toi, invoque ton Dieu ; peut-être Dieu pensera-t-il à nous, et nous ne périrons point ! ""","So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.","Sa ma ɗiger-lumna ma talamu, zliyim kulo'o, ka dum ala: Naŋ kal sene kay mige? Fokaŋ kulo'o, jobaŋ Lawna vaŋ lay tige, nam ma var kaya klasige, kay a nay ma baɗi! ",Ane ntebʼôsu bewulu sitima a nga subu nye bebé a sili nye na: Amu jé wo ke ôyo? Kôlôʼô si a loone Zambe wôé! Ndôʼôtô na Zambe ate a ye ko bia éngôngo ane bi ne bo te wu. ,"Mbur miwa palalama, a kirih ng'avaŋ, a ɓaŋ: «Haya! Joˀ ka ki hinje sukwa! Slikiɗ, zila kuli ɗike. Asinta kuli ɗik a sa wuluk ar ndra, ɓa i zizam ta kwani.» ","Mawɗo koommbowal wari haa maako, wi'i mo: “Ko waɗi ma, ɗoyɗiijo? Umma, tora ɗowanteeɗo maaɗa! Teema o yurminan en ngam taa en kalka.”","Mawɗo koommbowal wari haa maako, wi'i mo: “Ko waɗi ma, ɗoyɗiijo? Umma, tora ɗowanteeɗo maaɗa! Teema o yurminan en ngam taa en kalka.”",Wan-kombon hɔɔ kpa a ɓɛɛ tuɓi in a̧: «Nɛ́ ya ge a̧ mɛ ɔ kɔ-mɛ hegɔ'ɛ ge? Mɛ kur! Mɛ̀ áí nú ha̧ sɔ̧ kɔ-mɛ gbakna a̧ kpasa yɛ!» ,Wan-kombon hɔɔ kpa a ɓɛɛ tuɓi in a̧: «Nɛ́ ya ge a̧ mɛ ɔ kɔ-mɛ hegɔ'ɛ ge? Mɛ kur! Mɛ̀ áí nú ha̧ sɔ̧ kɔ-mɛ gbakna a̧ kpasa yɛ!» ,"Pa wəndə nya te ghəa mbeli nyi kezleɗe kwambelə hendave nda geva, ma ke shɛ: «Wa yamene na wa wəndə? Hɛ yahɛ na na? Sate, səkwə shala ta ŋa nda kwete kazəzəte ɓə ŋkɛ yagha mə kaza.» ","Wañ jar tuñ daagen raw ya'ge le see äe, day wiin gana: Ndo le' naa ma äon le la? Ur go ciñ tos Baa äo no. Tiga Baa ma sen ëig ti yañ ti naa maga naa mo bas go wa laybla' no. "
JON.1.7," Et ils se dirent les uns aux autres : "" Venez, jetons les sorts, afin que nous sachions de qui nous  vient  ce mal. "" Ils jetèrent les sorts, et le sort tomba sur Jonas.","And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.","Bugolda nisi di jar tuwsiya: Nigiyaya, laygi ŋaɓta kuɗ ɦayta, kay nay ma wi sa namna ma maray zlat kayna. Nisi li ŋaɓta kuɗ ɦayta, ŋaɓta nig kay Yonas.","Ane môt ase a nga jô nyô mboʼo na: Zaʼan bi bo asimba , bi yem za ya be bia a dutu bia njuʼu wu. Nde be nga bo asimba : ane é nga bi Yôna. ","Dar migi slra ngir palalamay a ɓam ar wala taŋ: «Soko i gam ceregezleŋ, ɓa i sinaka mbur muso ndra ti bonoy hana.» A gaka ceregezleŋ tuwa na, a diɗ ar Zonas. ","Laanyooɓe koommbowal mbi'mbi'tiri: “Sey en mbaɗa kur'u ngam heɓtugo moy waddani en sarru ngu'u.” Ɓe mbaɗi kur'u, ngu waŋgini Yonas. ","Laanyooɓe koommbowal mbi'mbi'tiri: “Sey en mbaɗa kur'u ngam heɓtugo moy waddani en sarru ngu'u.” Ɓe mbaɗi kur'u, ngu waŋgini Yonas. ","Ɓɛɛ o wi-ba-kombon tɔ̧ ha̧ o ŋmaa: «Ɛ̀ɛ̀ pí̧ tani, ɛ̀ɛ̀ zɔ́k wi nɛ ŋgamɔ'ɛ tɛ wen zu a̧!» Wa tana mɔ ɓɛɛ tani ba nɛ Jɔnas. ","Ɓɛɛ o wi-ba-kombon tɔ̧ ha̧ o ŋmaa: «Ɛ̀ɛ̀ pí̧ tani, ɛ̀ɛ̀ zɔ́k wi nɛ ŋgamɔ'ɛ tɛ wen zu a̧!» Wa tana mɔ ɓɛɛ tani ba nɛ Jɔnas. ","Ma ke hɛ kwelɛ ghəa nci: «Nde ɓəmə kasla kwasheghediɗi yitea ɗepete wəndə nya kekeleke ɓə wəsə kwa ndiremi nya kənəa gheɓə nya.» Pa hɛ slate kwasheghediɗi, pa vate geva te Zhonas. ","Day saara raw wii kaçaçra gana: AÀ wee le, naa naa wee waçywaàale ma ko je maga a de gayri sen ne naa ti mono. Saara raw naa waçywaàale day waçywaàalen kal le'ge ne Jonas ti."
JON.1.8," Alors ils lui dirent : "" Dis-nous donc à cause de qui nous arrive ce mal ; quelle est ta profession, d'où viens-tu, quel est ton pays et de quel peuple es-tu ?","Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; What is thine occupation? and whence comest thou? what is thy country? and of what people art thou?","Nala nisi jobomu: Sana, duma'ay kay joota vaŋ ta mar lawt kuma'ta. Lopna vaŋ mi mige? Naŋ may arige pa? Naŋ hay naga tarige? Naŋ mi jaf-sum sarige? ",Ane be nga jô nye na: Kate bia ye sa wo wo dutu bidim bi e be bia? Wo bo jé? Wo so vé? Ô ne môte ya si fé? Ô ne mone za ayoñ? ,"Akẽh a ɓaka Zonasa: «Ki gi slra mike, inga ɓa ndra di? Ki so ti damaka? Ki mbur ngi damaka? A yukuw angi hirwuy wanaka?» ","Ɓe mbi'i mo: “Yeccu min, ngam daliila moy sarru ngu'u ukkani en? Kuugal ngale kuuwata? Diga toy ngarɗaa? Toy lesdi ma e ummaatoore ma?” ","Ɓe mbi'i mo: “Yeccu min, ngam daliila moy sarru ngu'u ukkani en? Kuugal ngale kuuwata? Diga toy ngarɗaa? Toy lesdi ma e ummaatoore ma?” ",Ɓɛɛ wa tɔ̧ ha̧ a̧: «Mɛ̀ tɔ̧́ mgbara-a h’ɛ́ɛ́ zii! Mɛ tɛ nɛ de? Ye kɔ-mɛ a̧a̧ de? Mɛ nɛ ge duk ge?» ,Ɓɛɛ wa tɔ̧ ha̧ a̧: «Mɛ̀ tɔ̧́ mgbara-a h’ɛ́ɛ́ zii! Mɛ tɛ nɛ de? Ye kɔ-mɛ a̧a̧ de? Mɛ nɛ ge duk ge?» ,Ma ke hɛ shɛ ɓiyitsa: «Gha nde keleke ghena nya kadzete ghen'yɛ. Gezete n'yɛ wəsə nya mene na teke. Se tema se na wa? Wa hɛɗi nya se na te wa? Wa hwelefe ta ŋa wa?» ,"Saara raw wiigi äe gana: Naa wer je maga a de gayri ma sen ne naa ti ne wuur ëala. Joñre äo diñ mayla, day ndo a le genla? Sir äo gen la, day ndo ti wer jar may la? "
JON.1.9," Il leur répondit : "" Je suis un Hébreu et j'adore Yahweh, le Dieu du ciel, qui a fait la mer et la terre. ""","And he said unto them, I am an Hebrew; and I fear the  Lord , the God of heaven, which hath made the sea and the dry land.","Nam hotsi dita: Nanu mi sa ma Hebrena, nan mi sa ma li nar kuɗ Ma-Vatɗina Lawn ma wuralawna, nam ma li niy-lumna hiɗi nagat kafna. ","Ane a nga yalane na: Me ne mone Beyude ma ko Nti woñ, Zambe ya yôp, nyô a nga té mañ a si. ","Zonas a mbiɗa taŋ di: «Yi mbur Heber, yi huruk huruk nga ya a mbuŋ Bumbulvuŋ, Buymuŋ, miga mubuliy ati hirwuyoy na.» ","O jaabi ɓe: “Mi Ibraniŋkeejo, mi kulɗo Allah Jawmiraawo mo asama, mo tagi mbeela e lesdi.” ","O jaabi ɓe: “Mi Ibraniŋkeejo, mi kulɗo Allah Jawmiraawo mo asama, mo tagi mbeela e lesdi.” ",Ɓɛɛ a̧ kifi nú ha̧ wa: «Mi nɛ be hébreu; ɓɛɛ Sɔ̧ kɔ‘m n'am gasi nɛ GASA WAN mɛ yiwese nɛ dee yì in nù.» ,Ɓɛɛ a̧ kifi nú ha̧ wa: «Mi nɛ be hébreu; ɓɛɛ Sɔ̧ kɔ‘m n'am gasi nɛ GASA WAN mɛ yiwese nɛ dee yì in nù.» ,"Ma ke Zhonas zhɛnete nda ke hɛ: «Nde Ɛbrə 'ya, Mahwətə yahawe 'ya ve, Shala nya pelɛ ghweme, nya kepate yɛ ndərə le hɛɗi.» ","Se raw ferge ne hara gano: Ndi diñ je Hebre day ndi joñ heçeçne do Manwuri, Baa ma ciñ maga joñ maarog wo de tamsir mono. "
JON.1.10," Les hommes furent saisis d'une grande crainte, et ils lui dirent : "" Qu'as-tu fait ! "" Car les hommes savaient qu'il s'enfuyait  loin  de la face de Yahweh, parce qu'il  le  leur avait déclaré.","Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the  Lord , because he had told them.","Sum nisina tuwsi cuk nar ŋolo, nisi dum ala: Hih! Naŋ li slen nala kay mige? Kay sumun kayni wiy ala nam pir kayn kay Ma-Vatɗina, ki nam kay tuwam di goy tisi nala. ",Ane bôt bete be nga dañe ko woñ a sili nye na: Zʼavale jam ô nga bo le! Amu be nga yeme na a nga tub asu Nti: amu émien a nga kate be nalé. ,"Zluwun a ga mizli tuwa haɗa, a cufuɗakaŋ ‹Ki gi gwat mike?› Mizli micinam, naŋ muslufa taŋ ɓi naŋ tuwa na, a sinaka le muduba, dambalaka a kil na ti kil ti Bumbulvuŋ. ","Nden laanyooɓe koommbowal kuli masin, mbi'i mo: “Kayya! Ɗume mbaɗɗa?” Ngam ɓe anndi o ɗon dogga diga yeeso Jawmiraawo, bana o anndiniri ɓe. ","Nden laanyooɓe koommbowal kuli masin, mbi'i mo: “Kayya! Ɗume mbaɗɗa?” Ngam ɓe anndi o ɗon dogga diga yeeso Jawmiraawo, bana o anndiniri ɓe. ","Ŋga kíì baa o wi-ba-kombon ɓɛɛ wa ak a̧: «Mɛ dee bɔɔ nɛ ge?» Ɓɛɛ nyɛm nɛ ɗoŋ mɔ n'aa wee ɗoŋ-aa ha̧ wa, wa iŋa'e a̧ yu nɛ mɔ nyɛi̧ nɛ GASA WAN. ","Ŋga kíì baa o wi-ba-kombon ɓɛɛ wa ak a̧: «Mɛ dee bɔɔ nɛ ge?» Ɓɛɛ nyɛm nɛ ɗoŋ mɔ n'aa wee ɗoŋ-aa ha̧ wa, wa iŋa'e a̧ yu nɛ mɔ nyɛi̧ nɛ GASA WAN. ","Kwetere wəmbəa ŋkɛ, pa gezete nda ghena ta ŋkɛ ke hɛ. Ntake mbeli nyighɛ kaghazlənə kwele kwele, ma ke hɛ shɛ: «Yitea wa menete na kala nya wa?» Kwa nza ŋkɛ ne, nahe hɛ keɗepete hwɛ yahwɛ ŋkɛ va Mahwətə. Ma ke hɛ shɛ: ","Heçeçne raw caa jar sen wo debañ day saara raw wiigi äe gana: Ndo hay joñ sen diñ mayla? Werga jar sen hay wo go de koge ga aà hay ëee mo na ëeege ma dañge wo go haçaç see Manwuri, wer maga a hay naa wer äe ne hara dosen nono. "
