livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
JOS.1.1," Après la mort de Moïse, serviteur de Yahweh, Yahweh parla à Josué, fils de Nun, serviteur de Moïse, en ces termes: ","Now after the death of Moses the servant of the  Lord  it came to pass, that the  Lord  spake unto Joshua the son of Nun, Moses' minister, saying,","Bugol mitta vi Musus sa ma sunda vi Ma-Vatɗina, Ma-Vatɗina di tam Yosuwa goora vi Nun ma sunda vi Musus ala: ","Eyoñe Môze mbo ésaé Nti a wuya, Nti a nga jô Yasua mona Nun a mongô bisaé Môze na: ","Moyis, gawla ngi Bumbulvuŋ a muc le. A dirba nah na, Zozuwe, mangal ngi Nun, gawla ngi Moyise, Bumbulvuŋ a ɓaŋ na: ","Ɓaawo maayde Muusa, jaggiiɗo Jawmiraawo, Jawmiraawo wolwani Yosuwa ɓii Nuuna, balloowo Muusa, wi'i: ","Ɓaawo maayde Muusa, jaggiiɗo Jawmiraawo, Jawmiraawo wolwani Yosuwa ɓii Nuuna, balloowo Muusa, wi'i: ","Moisɛ wi-de-tom ko GASA WAN fea, ɓɛɛ GASA WAN tɔ̧ ha̧ Josue bem ko Nun, wi-gbak Moisɛ: ","Moisɛ wi-de-tom ko GASA WAN fea, ɓɛɛ GASA WAN tɔ̧ ha̧ Josue bem ko Nun, wi-gbak Moisɛ: ","Ma kwa sebe ta mte ta Moyize, nde mene slene ta Mahwətə ne, ma ke Mahwətə sha Zhozəwɛ, wəzege ta Nəwn, nde kemane Moyize: ","Blam huli Moyis weejoçoç Manwur mono, Manwur kal wii Josuwe je ni Nun je kay Moyisn gano: "
JOS.1.2," «Moïse, mon serviteur, est mort; maintenant lève-toi, passe ce Jourdain, toi et tout ce peuple, pour entrer dans le pays que je donne aux enfants d'Israël. ","Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, even to the children of Israel.","Musus sa ma sunda vanu mitawa, wulin kayni, fokaŋ kulo'o, niy-lumna Yordan waŋŋi naŋ ma ɦawam kulo'o, naŋu hiɗi sumun kaf, kay kal hay nagata ta nan vula' mi sum sa Israyella. ","Mbo ésaé wom Môze a wuya, ajô te éyoñe ji, kôlôʼô si a dañe Yordan nyô, womien a bôte bana bese mi ke e si me nga ve be. ","«Ani gawla ɗu Moyis a muc le so. Wurenna, ka Zozuwe, slikiɗi, tuwuɗaka dubazaw Zurdeŋ ati mizli hanayna gar nga hirwuy ya mavula da Israyeleye. ","“Jaggiiɗo am Muusa maayi. Kadi umma, eera maayo Urdun ngo, an e ummaatoore nde'e fuu, haa on nasta lesdi ndi ndokkanmi Isra'iila'en. ","“Jaggiiɗo am Muusa maayi. Kadi umma, eera maayo Urdun ngo, an e ummaatoore nde'e fuu, haa on nasta lesdi ndi ndokkanmi Isra'iila'en. ","«Moisɛ, wi-de-tom kɔ‘m fea; kinii mɛ̀ kúr, mɛ́ in o dukbíí nɔ'ɔ lɛŋ, ɛ̀nɛ̀ kú Jurdɛn h’ɛ́nɛ́ mɛ ye nù n'am ha̧ ha̧ o be  Israɛl . ","«Moisɛ, wi-de-tom kɔ‘m fea; kinii mɛ̀ kúr, mɛ́ in o dukbíí nɔ'ɔ lɛŋ, ɛ̀nɛ̀ kú Jurdɛn h’ɛ́nɛ́ mɛ ye nù n'am ha̧ ha̧ o be  Israɛl . ","«Nahe Moyize nde mene slene ta ɗa kemte. Tsetsenya gɛ, sate kezha jive te kema ta hələa Zhəwrdɛŋe nya, gha le mbeli pɛtɛ kadzembe hɛɗi nya ve nda 'ya ke ka Israyɛl. ","Moyis weejoçoç äin go de huli, patala ur go ciñ, cegaë wee Jurdeçeç mo ti'i go, nday de jar Israyel wo äuy ma laage äil sir maga ndi haçn go ne jar Israyel wo mono. "
JOS.1.3," Tout lieu que foulera la plante de votre pied, je vous l'ai donné, comme je l'ai dit à Moïse. ","Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.","Liyn pet ma wur-segi tun hayamna, nan min vulgita, ki nan di tam Musus nala. ","Vôm ase abo si denan da ye tibi, me veya mia nye, avale me nga tiñeti Môze. ","Li, kum muɗuvaka sar le taˀ ara gar na, yi vulukm di le, kaɓa ya miɓa ɓi nah ɗaˀ le zleˀe da Moyis tuwa. ","Nokkuure nde kosɗe mon njaaɓata fuu, mi hokki on nde bana mbi'mi Muusa. ","Nokkuure nde kosɗe mon njaaɓata fuu, mi hokki on nde bana mbi'mi Muusa. ","Fara lɛŋ nɛ naŋ‘nɛ́ tɛ yar sɛnɛ, mi ha̧a̧ h’ɛ́nɛ́ hee mi tɔ̧ɔ̧ so ha̧ Moisɛ ga.  ","Fara lɛŋ nɛ naŋ‘nɛ́ tɛ yar sɛnɛ, mi ha̧a̧ h’ɛ́nɛ́ hee mi tɔ̧ɔ̧ so ha̧ Moisɛ ga.  ","Yayata ŋkwa nya teŋkeɗe seɗa ta ŋayɛ ne, kave ŋayɛ ŋkɛ 'ya kala nya gezete nda 'ya ke Moyize. ","Ngeel maga äaale äo kañ ge go ni mo äuy no, ndi haçn go wee doga ndi hay waçaçn ne Moyis nono. "
JOS.1.4," Depuis le désert et depuis ce Liban jusqu'au grand fleuve, le fleuve d'Euphrate, -- tout le pays des Héthéens, -- et jusqu'à la grande mer vers le soleil couchant, tout cela sera votre territoire. ","From the wilderness and this Lebanon even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your coast.","Vun nagata vigi ma fokis hay fulda vi Libaŋ ta naŋ ka wa' zawni pa, ta-ta tam niy-lum ma ŋolla, niy-lumna Eufrata, tam nagata vi sa Hititna pa ta-ta tam niy-lum ma ŋolla, hay liyn ma fatta ɗig hayna. ","Minné mienan mia ye bo avale di: Ataté nkôte si mfaʼa ya nké, a kui minkôle mi Libañ mfaʼa ya akôé, si Behétieñ ése, ataté fe e beta ôsôé ba loone Efrat mfaʼa jôp da tôô, a kui e beta mañ ba loone Méditérané, mfaʼa jôp da dim. ","Maakway ngi ruwuy kumo, a zlo zle a wuzlaɓuh mikirɗak kirɗak, hã sesẽŋ a muwã Libaŋ, hã a ndila mizaw madiɗa ngi Efrat, hirwuy ngi Hitihey gar waɗ sesẽŋ a Mubuliy Mediterane, kini tisi pas ngi pastaˀ naŋ. ","Diga ladde e Libanon ɗo yahugo fuunaaŋge haa yotto maayo maŋngo wi'eteeŋgo Efratis, waato lesdi Heti'en fuu, yahugo hiirnaaŋge boo haa yotto mbeela, ɗum fuu ɗum laato maral mooɗon. ","Diga ladde e Libanon ɗo yahugo fuunaaŋge haa yotto maayo maŋngo wi'eteeŋgo Efratis, waato lesdi Heti'en fuu, yahugo hiirnaaŋge boo haa yotto mbeela, ɗum fuu ɗum laato maral mooɗon. ",Nù k’ɛ́nɛ́ tɛ ku̧ naŋ-a tɛ ŋga-gbárà nɛ war ká̧-zan-mɛ́-ɗɔɔ hɔ Libaŋ nɛ war ŋgɔn hɔ sɛn tɛ gasa nana-yì nɛ‘i sa'e Efrat kpa nɛ̀ nù ko o be Hit hɔ nɛnɛ tɛ Gba-tɔp nɛ a̧a̧ nɛ war yee-wese. ,Nù k’ɛ́nɛ́ tɛ ku̧ naŋ-a tɛ ŋga-gbárà nɛ war ká̧-zan-mɛ́-ɗɔɔ hɔ Libaŋ nɛ war ŋgɔn hɔ sɛn tɛ gasa nana-yì nɛ‘i sa'e Efrat kpa nɛ̀ nù ko o be Hit hɔ nɛnɛ tɛ Gba-tɔp nɛ a̧a̧ nɛ war yee-wese. ,"Ma ghala ta ŋayɛ ne, se vare ɓerama hwa'a yitea ghweme ta Liban nya, hwa'a kwa hələ nya wəba, hələa Efrate, pɛtɛa hɛɗia ka Hɛt ba'a hwa'a kwa ndərə nya wəba laka ŋkwa kepəkwə ta veci. ","Hagu sir äayn mañ ge jag le ti puulin haçaç le go ti huuli Libañ haçaç go ti Effrad maarog ma de paçaçge no, de sir mani jar Hitidn wo haçaç le' go jag maarog ma kluu ma nen wur bo law no. "
JOS.1.5," Nul ne tiendra devant toi pendant tous les jours de ta vie; comme j'ai été avec Moïse, je serai avec toi; je ne te délaisserai, ni ne t'abandonnerai. ","There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee, nor forsake thee.","Hay buura vi irita vaŋ kaf sa as col vokaŋ mayɗi, nan ka hiɗi naŋu ki nan li ay hiɗi Musus nala, nan ma noyaŋ goyɗi, nan ma hinaŋ goyɗi kaw. ","Nté ôse wo ye nyiñ, teke môt a ye dañe wo e ngu. Ma ye bo te liʼi wo nge kandane wo. ","Angi hin ngi siifa ɗik gar na, ko mbur macici gu a mbuŋ ɗik anta wãˀ. I sa ndir ati kakaɓa ya mindir zleˀe ati Moyis na ya. Ko y'anta sa puluw fuk ta, yo y'anta sa hiziguw avra ta. ","Balɗe ma fuu walaa dartantooɗo ma. Bana mi wonduno bee Muusa, bana non ngondiranmi bee maaɗa boo. Mi accataa ma e mi wudintaa ma sam . ","Balɗe ma fuu walaa dartantooɗo ma. Bana mi wonduno bee Muusa, bana non ngondiranmi bee maaɗa boo. Mi accataa ma e mi wudintaa ma sam . ","Tɛ ŋgimbi nɛ mɛ duk kpasa, ŋma bíí kpɔk beka yor ti mɛ na; mi tɛ duk in mɛɛ hee mɔ'ɔ n'am duka so nɛnɛ in Moisɛ ga. Mi beka e mɛ duk na, mi beka e gbaka mɛ duk na mbɛt.  ","Tɛ ŋgimbi nɛ mɛ duk kpasa, ŋma bíí kpɔk beka yor ti mɛ na; mi tɛ duk in mɛɛ hee mɔ'ɔ n'am duka so nɛnɛ in Moisɛ ga. Mi beka e mɛ duk na, mi beka e gbaka mɛ duk na mbɛt.  ","Wəndə shɛ kateghereŋe kwa kema ta ŋa mbe nza ta ŋa we, kwa nza ŋkɛ ne, katenza 'ya le gha kala nya se 'ya le Moyize. Katewəfə ŋa 'ya tɛape we, katesərə ŋa 'ya tɛape we. ","Jobo oo ge pel äo ti wur maga ndo yañ tenen ëa gaa hase. Ndi yañ de äo do maga ndi hay joñ de Moyis no pa no. Ndi men ge ndo go gaa lay, ndi tob ge ndo go gaa lay. "
JOS.1.6, Fortifie-toi et prends courage; car c'est toi qui mettras ce peuple en possession du pays que j'ai juré à leurs pères de leur donner. ,"Be strong and of a good courage: for unto this people shalt thou divide for an inheritance the land, which I sware unto their fathers to give them.","Laŋ tuwaŋ dono'o, laŋ kursulita kaw, kay sumun tani, nagata ta nan yi va kanu kay vula' mi sumaysiya, cuksi haya' ɗawni mi naŋu.  ","Yeme ngu a bo ayok, amu wo ye bo na e bôte ba be nyoñe si me nga kane ngana e be bʼésaa babe na ja ye bo énjap. ","Mbur mbar, tum vu tam, asi hirwuy ya miɓa ɓi naŋ ti hudum da dideˀ taŋhay, yi sa vula taŋ di tuwa na, masa vula da mizli hanayna i kaha. ","Semmbiɗiɗ, laata cuusɗo, ngam an ronnata yimɓe ummaatoore nde'e lesdi ndi kunaniimi kaakiraaɓe maɓɓe mi hokkan ɓe . ","Semmbiɗiɗ, laata cuusɗo, ngam an ronnata yimɓe ummaatoore nde'e lesdi ndi kunaniimi kaakiraaɓe maɓɓe mi hokkan ɓe . ","Mɛ̀ ŋgáí tɛ-mɛ in mɛ̀ nɔ́ ŋgiɗi wen nɛ́ mɛ'ɛ tɛ mgbɔ dukbíí'ɛ ye nɛ̀ nù nɛ tɛ duk nɛ mɔɔ-oi kɔ-wa; nɛ́ nù‘i a̧‘m kana so mɔ ha̧ dáà kɔ-wa ndé, mi tɛ ha̧ ha̧ wa.  ","Mɛ̀ ŋgáí tɛ-mɛ in mɛ̀ nɔ́ ŋgiɗi wen nɛ́ mɛ'ɛ tɛ mgbɔ dukbíí'ɛ ye nɛ̀ nù nɛ tɛ duk nɛ mɔɔ-oi kɔ-wa; nɛ́ nù‘i a̧‘m kana so mɔ ha̧ dáà kɔ-wa ndé, mi tɛ ha̧ ha̧ wa.  ","Nza bereteke ba'a hwepete ghə, kwa nza ŋkɛ gha nde teve nda hɛɗi nya meɗeyi nda 'ya gheci gheci ke ka shihɛ nci ke mbelia shɛhɛ. ","Teñ nen äo day ni ndo coä see äo, werga jar Israyel wo ge wo da' sir maga ndi hay ha' go ne paçaçre äaara wo ga ndi haçn ne hara na nen do äo. "
JOS.1.7," Seulement fortifie-toi et aie bon courage, en t'appliquant à agir selon toute la loi que Moïse, mon serviteur, t'a prescrite. Ne t'en détourne ni à droite ni à gauche, afin que tu réussisses en tout ce que tu entreprendras. ","Only be thou strong and very courageous, that thou mayest observe to do according to all the law, which Moses my servant commanded thee: turn not from it to the right hand or to the left, that thou mayest prosper whithersoever thou goest.","May suw pet kayni naŋ ma li tuwaŋ dono'o, laŋ kursulita ŋolo, vun-ma-gatna ma sa ma sunda van Musus vulaŋgina naŋ ma ŋomomu, li kuɗum kaw, naŋ ma cal goy gal jufɗi, gal gulɗi kaw, kay naŋ ma fi ŋaata hay liyn kaf ma naŋ ma tuɗ hayna. ","Ve jame da na, yeme ngu a dañe bo mbane ya baʼale mam mese ya metiñe Môze, mbo ésaé wom, a nga bendé wo; te saʼale me e mbo nnôm nge e mbo ngal: nalé wo ye wulu a fek e vôm ase wo ke. ","Naŋ kanah, sey ki mbur mbar, tum vu tam. Ɓimujuwa, gawla ɗu Moyis muɓuw di ɗaˀ le gar na, ki slimiɗ ar taŋ cineˀe, ko ki ngizli ava ta ndiɗaˀ. Naɓa ko da ka amaka gar na, gwat ka mawuɗ gi naŋ gara, ki ga gu. ","Sey a semmbiɗa, a laato cuusɗo masin, a ɗowtano tawreeta ka Muusa jaggiiɗo am umri ma fuu. Taa sel laawol maaka, koo haa nyaamo koo haa nano, ngam keɓa hayru koo toy njahata fuu. ","Sey a semmbiɗa, a laato cuusɗo masin, a ɗowtano tawreeta ka Muusa jaggiiɗo am umri ma fuu. Taa sel laawol maaka, koo haa nyaamo koo haa nano, ngam keɓa hayru koo toy njahata fuu. ","Ɓɛɛ kɔ-mɛ, mɛ̀ yór nɛ̀ nɔa-a, mɛ̀ nɔ́ ŋgiɗi; mɛ̀ dé mɔ nyɛm nɛ ɗoŋ Heembea lɛŋ nɛ Moisɛ wi-de-tom kɔ‘m yɔra ha̧ mɛ. Ká mɛ́ a̧r si war gale, kóó si war wiiko na, wen ha̧ mɛ mɛ kpa de sɔnti tɛ mɔ lɛŋ nɛ̀ mɛ tɛ de. ","Ɓɛɛ kɔ-mɛ, mɛ̀ yór nɛ̀ nɔa-a, mɛ̀ nɔ́ ŋgiɗi; mɛ̀ dé mɔ nyɛm nɛ ɗoŋ Heembea lɛŋ nɛ Moisɛ wi-de-tom kɔ‘m yɔra ha̧ mɛ. Ká mɛ́ a̧r si war gale, kóó si war wiiko na, wen ha̧ mɛ mɛ kpa de sɔnti tɛ mɔ lɛŋ nɛ̀ mɛ tɛ de. ","Ma gɛ ne, nza bereteke ba'a hwepete ghə. Ntsəte geva kahawe va pɛtɛa wəsə mahalegə nya ndeke ŋa Moyize, nde mene slene ta ɗa. Sləma na yite ya jive te kwa zeme keɗema jive te kwa gwela, yitea jive na mbe kema te yayata ŋkwa nya telə na ma. ","Ane teñ nen äo day oo ngiñ. Hoo sug ti jag liñgi maga Moyis weejoçoç äin hay yern mono, see ti äe. Cel go ti do war wa lay, go ti do gur wa lay nen maga ndo mo sii ti ti ngeel maga ndo wo ge ni mo äuy no. "
JOS.1.8," Que ce livre de la loi ne s'éloigne pas de ta bouche; médite-le jour et nuit, en t'appliquant à agir selon tout ce qui y est écrit; car alors tu prospéreras dans tes voies et tu réussiras. ","This book of the law shall not depart out of thy mouth; but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success.","Ɗerwelda vi gatta na'ta kayn hin jaraŋ ja goy hiɗi na'ɗi, naŋ ma var ka'a falayta hiɗi henjeta kaf, kay sle ma ɗoy hayna kaf, naŋ ma ŋomomu, li kuɗumu kaw, ki kayn nala lopna vaŋu ma li hay liyamu, nala naŋ ma fi ŋaata kaw. ","Kalate metiñe nyô a ye bo te kôlô anyu dôé, ve wo ye yéʼé nye môs baa alu, nalé wo ye baʼale a bo e mam mese me ne ntilan été: éyoñe te e mame môé ma ye wulu mvoʼé , a wo ye ke ke ve ôsu.  ","Ɗerewol ngi ɓimujuwa hana, kisa ndir di teˀ a mevel ɗiki, ngek avu mi, duvuɗ ati papas gar, ɓa gwat gar na, kisa gakasl kasl kaɓa mutohoko ɓi naŋ ara na. Naɓa gwat ka mawuɗ gi naŋ gar na, kisa ga kuy kuy, yo kisa ga gu ma kini. ","Tokka jaŋngugo deftere tawreeta nde'e tum, numtu nde jemma bee nyalawma fuu, ngam haa a ɗowtano ko winnda nder maare. Nden kam nufayeeje ma kiɓɓoto, a heɓan hayru. ","Tokka jaŋngugo deftere tawreeta nde'e tum, numtu nde jemma bee nyalawma fuu, ngam haa a ɗowtano ko winnda nder maare. Nden kam nufayeeje ma kiɓɓoto, a heɓan hayru. ","Wen nɛ̀ yɔra zaŋ kalata Heembea'i beka yu nú-mɛ na; mɛ̀ yámbí a̧ nɛ ɗɔɔ nú-mɛ, mɛ zɛ in mɛ wese wen ha̧ mɛ mɛ de mɔ nɛ yɔra zaŋ-aa lɛŋ; mɛ tɛ kpa de sɔnti, ɓɛɛ hegɔ, mɛ tɛ kpa mɔ nɛ mɛ kii. ","Wen nɛ̀ yɔra zaŋ kalata Heembea'i beka yu nú-mɛ na; mɛ̀ yámbí a̧ nɛ ɗɔɔ nú-mɛ, mɛ zɛ in mɛ wese wen ha̧ mɛ mɛ de mɔ nɛ yɔra zaŋ-aa lɛŋ; mɛ tɛ kpa de sɔnti, ɓɛɛ hegɔ, mɛ tɛ kpa mɔ nɛ mɛ kii. ","Nza ghena nyi mbe palepa ta wəsə mahalegə nya kwa mɛa ŋa ba'a ve nda mehele veci le viɗi kezha mene slene le ghena nyi kerafete geva mbe. Ma tsagha ne, kateyipə wəshi nyi zəzə na na kadzawa ba'a katejive hɛ te kema. ","Kefder se ma de jag liñgi äiln joñ ge go see äo haçaç gaè. Ndo ëig gi wer äe yañ de suñ lay, de ceeg lay. Ndo hoo ge sug yañ ti äe, ndo see ge yañ ti fen maga de yerge äil äe ni mo äuy no. Ni mokay so no, ndo äo' ge jag joñre äon wo yañ go de ele, ndo sii gi ti yañ lay. "
JOS.1.9," Ne te l'ai-je pas commandé: Fortifie-toi et prends courage? Sois sans crainte et sans peur, car Yahweh, ton Dieu, est avec toi partout où tu iras.» ","Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the  Lord  thy God is with thee whithersoever thou goest.","Nan hinaŋ dit ala naŋ ma li tuwaŋ dono'o, li kursuliya kaw ɗisu? Naŋ ma li narɗi, dikaŋ ma ɓiraŋɗi, kay Bum-Sumuna Lawna vaŋu ka hiɗi naŋu hay liyn kaf ma naŋ min tuɗ hayna.","Ke me bendéya wo na ô yeme ngu a bo ayok, te ko woñ, nalé fe te fôʼôban? Amu Nti, e Zambe wôé, a ne e be wo, vôm ase wo ke.","Na yi ɓuw le ɗaˀ le: Mbur mbar, tum vu tam kini. Ko ki jijik ta, yo ki hĩhĩy ta so tuwaŋ. Asi mike na, li ka masa ru anga anga gar na, Bumbulvuŋ Buymisemuŋ ɗike, naŋ da ati ka.»","Naa mi umri ma na? Sey a semmbiɗa, a laato cuusɗo. Taa hul, taa diwtora sam, ngam min, Allah Jawmiraawo maaɗa mi ɗon wondi bee maaɗa haa njahata fuu.”","Naa mi umri ma na? Sey a semmbiɗa, a laato cuusɗo. Taa hul, taa diwtora sam, ngam min, Allah Jawmiraawo maaɗa mi ɗon wondi bee maaɗa haa njahata fuu.”","Bó nɛ́ mi tɔ̧ɔ̧ ha̧ mɛ ndé, mɛ̀ yór nɛ̀ nɔa-a in mɛ̀ nɔ́ ŋgiɗi na nde? Ká tɛ-mɛ nak na, ká kíì dé mɛ na, wen GASA WAN Sɔ̧ kɔ-mɛ tɛ duk in mɛɛ fara lɛŋ nɛ mɛ tɛ nɛ.»","Bó nɛ́ mi tɔ̧ɔ̧ ha̧ mɛ ndé, mɛ̀ yór nɛ̀ nɔa-a in mɛ̀ nɔ́ ŋgiɗi na nde? Ká tɛ-mɛ nak na, ká kíì dé mɛ na, wen GASA WAN Sɔ̧ kɔ-mɛ tɛ duk in mɛɛ fara lɛŋ nɛ mɛ tɛ nɛ.»","Zaghəma na nahe 'ya kegezete ŋa kanza bereteke ba'a kande hwepe ghə ma. Bare barema na ma, ghazlənəma na ma, kwa nza ŋkɛ ma 'ya, 'ya Shala Mahwətə ta ŋa ne, katenza 'ya le gha te yayata ŋkwa nya telə na.»","Ndi yañ de wii ndo ga teñ nen äo day coä see äo. Daë wa, joñ heçeçne wa lay. Gahaçyla, Manwuri, Baa äon yañ de äo ti ngeel maga ndo wo ge ni mo äuy no."
JOS.1.10, Josué donna cet ordre aux officiers du peuple: ,"Then Joshua commanded the officers of the people, saying,",Yosuwa vul dit tam soje sa ŋulona ala: ,Ajô te Yasua a nga bendé betebʼôsu ya ayoñ a jô be na: ,"Akẽh na, Zozuwe a ɓa buyɓi ngi wuzla mizli ɗaˀ: ",Yosuwa umri kaliifa'en ummaatoore: ,Yosuwa umri kaliifa'en ummaatoore: ,Nɛ mɔ'ɔ nɛ Josue tɔ̧ɔ̧ ha̧ o gasawi nɛ duk zu o bíí hee mɔ'ɔ ga: ,Nɛ mɔ'ɔ nɛ Josue tɔ̧ɔ̧ ha̧ o gasawi nɛ duk zu o bíí hee mɔ'ɔ ga: ,Ma ke Zhozəwɛ gezete nda ghena ke mbelia jama nyi te ghəa mbeli: ,Josuwe kal wii jar kluuri sode ma yoo jar Israyeln wo gano: 
