livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
LEV.1.1," YAHWEH appela Moïse, et lui parla de la tente de réunion, en disant : ","And the  Lord  called unto Moses, and spake unto him out of the tabernacle of the congregation, saying,","Ma-Vatɗina yi Musus, goy hay guɗuk ma fi-tuwn pa, nam di talamu: ","Ane Nti a nga loone Môze a kobô nye, tyiñ é soʼo e nda éndelé bendôbaʼan na: ","Bumbulvuŋ a zila Moyise zle ar guɗuk ngi zlir ti naŋ, a ɓaŋ na: ","Jawmiraawo ewni Muusa, wolwani mo nder laymaaru fottirde, wi'i mo: ","Jawmiraawo ewni Muusa, wolwani mo nder laymaaru fottirde, wi'i mo: ","GASA WAN saa Moisɛ tɛnɛ, ɓɛɛ tɔ̧ ha̧ a̧ nɛ kɔ̧  Tua-kpa-ŋmaa  mɛ‘e: ","GASA WAN saa Moisɛ tɛnɛ, ɓɛɛ tɔ̧ ha̧ a̧ nɛ kɔ̧  Tua-kpa-ŋmaa  mɛ‘e: ","Daŋe Mahwətə hekakɛ Moyize. Shave mbe cɛ lekwesa kebegeme geva ne, ma ke shɛ: ","Manwur ëe Moyis le haçaç jag Tiñ Yiñgi de Baa no, kal fer waçaçre ne hene, day wiin ga: "
LEV.1.2," "" Parle aux enfants d'Israël et dis-leur :  Lorsque quelqu'un d'entre vous fera à Yahweh une offrande, ce sera du bétail que vous offrirez, du gros ou du menu bétail. ","Speak unto the children of Israel, and say unto them, If any man of you bring an offering unto the  Lord , ye shall bring your offering of the cattle, even of the herd, and of the flock.","Naŋ ma di tam gurona vi Israyel ala: Hay li ma sa jargiya min mar va ma ɗifini tam Ma-Vatɗina, nam as vul putu lebo ɦuwa.","Kobôʼô bone bʼIsraél a jô be na: Éyoñe môte wua ya be mia a kômbô ve Nti mvean éziñ, a ye ve wô ô soʼo mbame benyak nge mbame mintômba a bikela été.","«Ɓa Israyeleye na: da kaɓa mbur muwuɗ le ɓa a vuliy gwat da ya Bumbulvuŋ ngi giy di mikuli na, sey a so di i tumuŋ, ˀaw malla sla. ","“Umru Isra'iila'en umrooje dow kirseteeɗi maɓɓe, wi'ɓe: To goɗɗo yiɗi lii'anaago Jawmiraawo dokkal, sey o hoo'a ngal haa na'i maako malla dammooji maako. ","“Umru Isra'iila'en umrooje dow kirseteeɗi maɓɓe, wi'ɓe: To goɗɗo yiɗi lii'anaago Jawmiraawo dokkal, sey o hoo'a ngal haa na'i maako malla dammooji maako. ","«Mɛ̀ tɔ̧́ wen ha̧ o be  Israɛl  hee mɔ'ɔ ga; mɛ̀ tɔ̧: Kà ŋma bíí mgbara'nɛ́ ba ha̧a̧mɔ tɛnɛ ha̧ GASA WAN, ha̧a̧mɔ‘i a̧ duk nɛ gasa mɔ-dai, kóó geɗek-a. ","«Mɛ̀ tɔ̧́ wen ha̧ o be  Israɛl  hee mɔ'ɔ ga; mɛ̀ tɔ̧: Kà ŋma bíí mgbara'nɛ́ ba ha̧a̧mɔ tɛnɛ ha̧ GASA WAN, ha̧a̧mɔ‘i a̧ duk nɛ gasa mɔ-dai, kóó geɗek-a. ","«Geze nda ghena ke ka Israyɛl, ma pa na sha tegeze nda ke hɛ: Ma keɗe kwete wəndəa ŋayɛ kadzeghe nda melɛ ke Mahwətə ne, katekese wəsə ŋkɛ hwa wəshi keseɗa nyi jama jama keɗema nyi ɓɛhwɛ ɓɛhwɛ. ","Fer waçaçre ne jar ni Israyel wo, wii ra ga: De maga jobo le' joñ siigi jag we ne Manwur yoo äay no, aà joñn ge de horog ma kluu noga de ma klee."
LEV.1.3," Si son offrande est un holocauste de gros bétail, il offrira un mâle sans défaut ; il l'offrira à l'entrée de la tente de réunion, pour être agréé devant Yahweh. ","If his offering be a burnt sacrifice of the herd, let him offer a male without blemish: he shall offer it of his own voluntary will at the door of the tabernacle of the congregation before the  Lord .","La nam min vulum a ŋal goy ɗifin mi putu, nam as vulum mi put guju'u, ma moy may talamɗi, nam as vulum goy hay vun guɗuk ma fi-tuwna, goy vok ir Ma-Vatɗina kay nam ma muɗ kir Ma-Vatɗin ŋaa'a. ","Nge mveane wé ô ne étyiʼa ja diʼibane ngumba ô soʼo mbame benyak, a ye ve nnôm a ne mvoʼé ne selem; a ye ve nye anyiine nda éndelé bendôbaʼan, nalé étyiʼa te ja ye nyoñebane be Nti. ","Da mbur a wuɗ le, ɓa a gi mikuli mizlam zlam wãˀ ti sla na, sey a jo di i sla mizile, manja hereweɗ ava. Aru di nga mizlingre guɗuk ngi zlir ti ya, ɓa i tiɓaŋ. ","To o yiɗi lii'aago nguleteeŋga nder na'i maako, sey o hoo'a ngaari kalhaldi ndi walaa aybe. Sey o lii'o ndi haa dammugal laymaaru fottirde, ngam haa Jawmiraawo yerdo ndi. ","To o yiɗi lii'aago nguleteeŋga nder na'i maako, sey o hoo'a ngaari kalhaldi ndi walaa aybe. Sey o lii'o ndi haa dammugal laymaaru fottirde, ngam haa Jawmiraawo yerdo ndi. ","Kà dɔɔ-kpoo-sɔ̧‘i nɛ́ bòò nɛ́ gasa mɔ-dai, wi’ɛi tɛ ha̧ nɛ wiwii-a nɛ ŋma mɔ ɗaŋ tɛ-a na, ɓɛɛ a̧ baa a̧ nɛnɛ e nú  Tua-kpa-ŋmaa , wen ha̧ GASA WAN mɛ kpɛk ha̧a̧mɔ‘i. ","Kà dɔɔ-kpoo-sɔ̧‘i nɛ́ bòò nɛ́ gasa mɔ-dai, wi’ɛi tɛ ha̧ nɛ wiwii-a nɛ ŋma mɔ ɗaŋ tɛ-a na, ɓɛɛ a̧ baa a̧ nɛnɛ e nú  Tua-kpa-ŋmaa , wen ha̧ GASA WAN mɛ kpɛk ha̧a̧mɔ‘i. ","Ma kenza ŋkɛ wəsə keseɗa nya wəba yaɗe ŋkɛ kadzeghe melɛ kwa tere tere le ne, mca nya ɗema beze te yakese ŋkɛ. Kateŋka ŋkɛ ŋkɛ kase kadzemɛa cɛ lekwesa kebegeme geva kezha nza nde zeɗehwe nda ke Mahwətə. ","Hayga aà joñ we diñ siigi jag maga aè roë mo äen go äuy de horog ma kluu no, aà nga'ge diñ blo daèy ma bay ëarge see. AÀ nga'gejag Tiñ Yiñgi de Baa no, maga aè mo joñ de wore pel Manwuri. "
LEV.1.4," Il posera sa main sur la tête de l'holocauste, et il sera accepté en sa faveur pour faire expiation pour lui. ",And he shall put his hand upon the head of the burnt offering; and it shall be accepted for him to make atonement for him.,"Nam as tun ɓalam kay put namna, kay nam ma muɗ kir Ma-Vatɗin ŋaa'a, kay nam ma por tuwam hiɗi namu. ",Môt ate a ye beté wo wé e nlô étyiʼa Nti a maneya kañese asu njaman abé dé. ,"Mbur tuwa, a buca haŋ bac a hirnga ginewe, ginew nah na, kite i mitiɓa le ti haŋ mbur muso di ngi gi mezegwel ngi vula jiviɗ ngi pula mungra. ","O yowa juuɗe maako dow hoore maari, Jawmiraawo boo jaɓan ndi ngam o yaafo hakkeeji goɗɗo oo. ","O yowa juuɗe maako dow hoore maari, Jawmiraawo boo jaɓan ndi ngam o yaafo hakkeeji goɗɗo oo. ","Wi’ɛi tɛ e er zu saɗi'i, ha̧ GASA WAN mɛ kpɛk wen bíí ɗaŋmɔ kɔ̧-a̧ yinɛ. ","Wi’ɛi tɛ e er zu saɗi'i, ha̧ GASA WAN mɛ kpɛk wen bíí ɗaŋmɔ kɔ̧-a̧ yinɛ. ","Katedape dzeve ŋkɛ kwa ghəa wəsə keseɗa shɛ. Ma tsagha ne, kateyɛ melɛa ŋkɛ ŋkɛ ba'a katekelemte jaɗafa ta ŋkɛ ŋkɛ te wənə. ","AÀ kañ ge do äe ti mo siigi jag äe maga aè roë mo äen go äuy ga de wore nen Manwuri, maporge go ti see äe. "
LEV.1.5," Il égorgera le jeune taureau devant Yahweh, et les prêtres, fils d'Aaron, offriront le sang et le répandront tout autour sur l'autel qui est à l'entrée de la tente de réunion. ","And he shall kill the bullock before the  Lord : and the priests, Aaron's sons, shall bring the blood, and sprinkle the blood round about upon the altar that is by the door of the tabernacle of the congregation.","Nam ma ŋat goor-put namna vok ir Ma-Vatɗina, muliyan-sa-ɗifinna, gurona vi Aaron, ma li ɗifin hiɗi busuwna, nisi ma yamam goy tam giwin-ma-ɗifinna ma ka ɗiger hay vun guɗuk ma fi-tuwna. ","A ye tyiʼi étoñe nyaʼa tyiñ asu Nti; betuni, bone bʼAron, ba ye ve metyi a miame me mbômaʼan a ataʼa metunaʼa e ne anyiine nda éndelé bendôbaʼan. ","A slaka ˀay ngi ginewe daˀ a mbuŋ ɗu. Akẽh, masay, ziri ngi Aroŋhoy, a tiɓaka pumbus ngi ginew tuwa, a bigikiy di. Li gi mikuli mikaˀ a mizlingre guɗuk ngi zlir ti ya Bumbulvuŋ na, masayay a kucaka ciki naŋ gun gun zlar ti pumbus tuwa. ","O hirsa ngaari man ton yeeso Jawmiraawo. Liman'en danygol Haruna koo'a ƴiiƴam maari, mbicca ɗam haa hirsirde dariinde yeeso laymaaru fottirde, haa bakeeje maare nayi fuu. ","O hirsa ngaari man ton yeeso Jawmiraawo. Liman'en danygol Haruna koo'a ƴiiƴam maari, mbicca ɗam haa hirsirde dariinde yeeso laymaaru fottirde, haa bakeeje maare nayi fuu. ","Wi tɛ gɔn saɗi'i ti GASA WAN, ɓɛɛ o wi-ɗafi-sɔ̧ nɛ duk nɛ o bem ko Arɔŋ tɛ ba tɔk-aa ha̧ ha̧ GASA WAN, ɓɛɛ wa misa̧ a ɗoŋ  fara-ɗafi-sɔ̧  nɛ duk nú  Tua-kpa-ŋmaa ‘i. ","Wi tɛ gɔn saɗi'i ti GASA WAN, ɓɛɛ o wi-ɗafi-sɔ̧ nɛ duk nɛ o bem ko Arɔŋ tɛ ba tɔk-aa ha̧ ha̧ GASA WAN, ɓɛɛ wa misa̧ a ɗoŋ  fara-ɗafi-sɔ̧  nɛ duk nú  Tua-kpa-ŋmaa ‘i. ","Katesla ghə ŋkɛ te mca shɛ mɛa cɛ lekwesa kebegeme geva. Tagha gɛ, kateve nda mimia ŋkɛ ka dzeghe Shala nyi kaŋwale tezhilia Aron ke Mahwətə, kwa sebe ta ŋkɛ, kateyisə mimia shɛ hɛ dzeyi vare yɛ bela ta reghwetɛ nya mɛa ŋkwa kedzembe cɛ lekwesa kebegeme geva. ","AÀ nga'ge weedaèyn pel Manwuri, day jar sië jag jar ni AÈron wo, ëaa ge wo ci no, jwedn wo go ti ngeel sië jag maga jag Tiñ Yiñgi de Baan degarra äuy. 3 "
LEV.1.6, On dépouillera l'holocauste et on le découpera en ses morceaux. ,"And he shall flay the burnt offering, and cut it into his pieces.","Nam ma zi put ma ɗifin namna goyo, kaam sliwam goy ne' ne'. ",A ye soé étyiʼa ja diʼibane ngumba ékôp a ba je mefuse mefus. ,"A suwutaka ginewe, waɗ a puwaka ti sila ti sila. ","Nden o ɓola ndi, o sennda ndi geɓe geɓe. ","Nden o ɓola ndi, o sennda ndi geɓe geɓe. ","Kà‘i ɓa saɗi'i kaɗi, ɓɛɛ wi a̧ka̧. ","Kà‘i ɓa saɗi'i kaɗi, ɓɛɛ wi a̧ka̧. ",Katekwaɓe hweta wəndəa shɛ seyi te mca shɛ ba'a katesla ŋkɛ ŋkɛ kezhɛzhi kezhɛzhi. ,"AÀ soo ge day ma joñ siigi jag maga aè roën mo äen go äuy go, day car ge nen äe go me' me'e. "
LEV.1.7, Les fils du prêtre Aaron mettront du feu sur l'autel et disposeront du bois sur le feu ; ,"And the sons of Aaron the priest shall put fire upon the altar, and lay the wood in order upon the fire:","Muliyan-sa-ɗifinna, gurona vi Aaron, ma ŋal kut kay giwin-ma-ɗifinna, nisi ma cuk gun kulo kay kuna. ",Bone bʼAron Ntuni ba ye futi nduan ataʼa metunaʼa a wua njaʼa e nduan été. ,"Akẽh na, masay Aroŋ, ziri naŋhay a bulam vu ar li gi mikuli waɗ a pam dumoy ar vu tuwa. ","Liman'en danygol Haruna kuɓɓa yiite dow hirsirde, njowndindira leɗɗe dow maage. ","Liman'en danygol Haruna kuɓɓa yiite dow hirsirde, njowndindira leɗɗe dow maage. ","O wi-ɗafi-sɔ̧ nɛ duk nɛ o bem ko Arɔŋ tɛ ye wee  fara-ɗafi-sɔ̧ , ɓɛɛ wa aa gua zu-a. ","O wi-ɗafi-sɔ̧ nɛ duk nɛ o bem ko Arɔŋ tɛ ye wee  fara-ɗafi-sɔ̧ , ɓɛɛ wa aa gua zu-a. ",Katemeha ghwə ka dzeghe Shala te reghwetɛ ba'a katebete sheghwə hɛ mɛ. ,"Jar ni je sië jag AÈron ngal ge wo wuu ti ngeel sië jag no, day ëegal ge wo haçaçre ni. "
LEV.1.8," puis les prêtres, fils d'Aaron, arrangeront les morceaux, avec la tête et la fressure, sur le bois placé sur le feu de l'autel. ","And the priests, Aaron's sons, shall lay the parts, the head, and the fat, in order upon the wood that is on the fire which is upon the altar:","Sliw ma kay goy ne'ne'na, yamna, mul-sliwna kaf, gurona vi Aaron ma lakam kulo kay guna ma jakay kulo kay kuta, kay giwin-ma-ɗifinna. ","Betuni, bone bʼAron, ba ye bôé mefus, nlô a avoñ e njaʼa é ne mfutane nduan ya ataʼa metunaʼa yôp. ","Useˀ mupuwaka ti sila ti sila, jom ati hirnga, mungul naŋ, ziri ngi Aroŋhoy a paka taŋ ng'ar dum miɗiyam di vu ar li gi mikuli tuwaŋ. ","Nden ɓe koo'a geɓe ngaari hawtaade bee hoore maari e ɓellere maari, ɓe mballina ɗe dow yiite hirsirde. ","Nden ɓe koo'a geɓe ngaari hawtaade bee hoore maari e ɓellere maari, ɓe mballina ɗe dow yiite hirsirde. ","Wa tɛ kai zu saɗi, in nɔ̧́-a̧, gu nɛ oi kpoo-aa lɛŋ a yí wee fara-ɗafi-sɔ̧‘i. ","Wa tɛ kai zu saɗi, in nɔ̧́-a̧, gu nɛ oi kpoo-aa lɛŋ a yí wee fara-ɗafi-sɔ̧‘i. ",Katebete zhɛzhi nyighɛ hɛ te sheghwə nyi mɛa ghwə nya te reghwetɛ zlaɓe le ghə ba'a merege. ,"Jar sië jag jar ni AÈron äod ge wo naèy ma de car nenn ti haçaçre ma ti wuu no, ti äen wo de noo äen äuy. "
LEV.1.9," On lavera avec de l'eau les entrailles et les jambes, et le prêtre fera fumer le tout sur l'autel. C'est un holocauste, un sacrifice par le feu, d'une agréable odeur à Yahweh. ","But his inwards and his legs shall he wash in water: and the priest shall burn all on the altar, to be a burnt sacrifice, an offering made by fire, of a sweet savour unto the  Lord .","Ruwatna hiɗi gayna nam ma muzum goy hay niyna; muliyan-sa-ɗifinna ma ŋalam goyo kaf, kulo kay giwin-ma-ɗifinna. Kayni mi ɗifinna ma ŋali goy hay kuta, hista valam ŋaa'a ŋolo kir Ma-Vatɗina.","Ba ye sôbe miñya a mimbiaé mi tit, a wua ya betuni a ye diʼi biôm bite bise ataʼa metunaʼa yôp: étyiʼa ja diʼibane ngumba e nduan nje le é too fe mbamba menyum e be Nti. ","A bunaka gwat ngi kwacay naŋhay ati poprokoyo, joˀ masay a wura taŋ gar ar vu, ar li gi mikuli. Hana i gwat ngi zum mizlam zlam wãˀ, misi zĩˀĩ naŋ a tisliy mevel da ya Bumbulvuŋ. ",Sey goɗɗo go loota teteki maari e kolce maari cakitiiɗe bee ndiyam. Nden limanjo wula ɗum fuu dow hirsirde. Kanjum woni nguleteeŋga. Uureeŋgol maaga belŋgol fottanan Jawmiraawo .,Sey goɗɗo go loota teteki maari e kolce maari cakitiiɗe bee ndiyam. Nden limanjo wula ɗum fuu dow hirsirde. Kanjum woni nguleteeŋga. Uureeŋgol maaga belŋgol fottanan Jawmiraawo .,"Wa tɛ fɔr zaŋ-aa gu nɛ o mbayo-a nɛ yì, ɓɛɛ wi-ɗafi-sɔ̧ dɔɔ o mɔɔ nɔ‘i lɛŋ zu  fara-ɗafi-sɔ̧ . Mɔ‘i nɛ́  dɔɔ-kpoo-sɔ̧  nɛ̀ duk nɛ́ de pɛr nyama tɛ GASA WAN.","Wa tɛ fɔr zaŋ-aa gu nɛ o mbayo-a nɛ yì, ɓɛɛ wi-ɗafi-sɔ̧ dɔɔ o mɔɔ nɔ‘i lɛŋ zu  fara-ɗafi-sɔ̧ . Mɔ‘i nɛ́  dɔɔ-kpoo-sɔ̧  nɛ̀ duk nɛ́ de pɛr nyama tɛ GASA WAN.","Kateyaɓe yɛ heli ba'a yɛ jajɛghwa ta wəsə keseɗa shɛ wəndəa shɛ. Katetere pɛtɛa wəshia shɛhɛ nde dzeghe Shala te reghwetɛ. Kamelɛ kwa tere tere, wəsə nya nza zəŋwəa ŋkɛ zeɗehwe nda ke Mahwətə tenza ŋkɛ.","Weere äiiri äen wo de koyor äen wo mono se yog ra go de bii. Je sië jagn roë ra go äuy ti ngeel sië jag no. AÀ diñ siigi jag maga aè roë mo äen go äuy ti wuu, ga foçoçre no äe de coçoçre jag Manwuri."
LEV.1.10," Si son offrande est de menu bétail, un holocauste d'agneaux ou de chèvres, Il offrira un mâle sans défaut. ","And if his offering be of the flocks, namely, of the sheep, or of the goats, for a burnt sacrifice; he shall bring it a male without blemish.","La ɗifin ma nam maram kay ŋal goyna mi ɦuwa, la mi goor ɦu-dimiya lebo goor ɦu-mee kaw, nam ma maram mi ma jufu ma moy may talamɗina. ","Nge mvean ô nʼétyiʼa ja diʼibane ngumba wo so e mone mbame biyem, mintômba nge bikela, a ye ve nnôm a ne mvoʼé ne selem, ","Da mbur a wuɗ le a gi mikuli mizlam zlam wãˀ ti tumuŋ malla ˀaw na, sey a jo di i ginew mizileŋ, manja hereweɗ ava. ","To goɗɗo yiɗi lii'aago nguleteeŋga nder baali mum malla be'i mum, sey o hoo'a njawdiri ndi walaa aybe. ","To goɗɗo yiɗi lii'aago nguleteeŋga nder baali mum malla be'i mum, sey o hoo'a njawdiri ndi walaa aybe. ","«Kà  dɔɔ-kpoo-sɔ̧  ko wi’ɛi nɛ́ bòò nɛ́ geɗek mɔ-dai hee  be-sami , kóó be gbadua ga, ɓɛɛ a̧ tɛ ha̧ nɛ vala-a nɛ ŋma mɔ ɗaŋ tɛ-a na. ","«Kà  dɔɔ-kpoo-sɔ̧  ko wi’ɛi nɛ́ bòò nɛ́ geɗek mɔ-dai hee  be-sami , kóó be gbadua ga, ɓɛɛ a̧ tɛ ha̧ nɛ vala-a nɛ ŋma mɔ ɗaŋ tɛ-a na. ","Ma keɗe ŋkɛ kadzeghe melɛ kwa tere tere le wəsə keseɗa nya ɓɛhwɛ ne, game keɗema zhɛfa nya ɗema beze te yakese ŋkɛ. ","Hayga fen siigi jag äe maga aè roë mo äen go äuy yañ diñ horog ma klee no, weesam noga weelfii no, aà nga'ge diñ ma twar ma bay ëarge see. "
