livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
MAL.1.1, Sentence. Parole de Yahweh à Israël par l'intermédiaire de Malachie.,The burden of the word of the  Lord  to Israel by Malachi.,Yoboyna vi Ma-Vatɗina ma nam dum kat sa Israyella hay vun Malakiya:,Nkulane mejô Nti a nga Kobô Israél e be Malaki.,Bumbulvuŋ a ɓa Malasi ɓa a ɓa mingiɓi naŋ da Israyeley. ,Ndaa koŋngol ngol Jawmiraawo wolwi bee hunnduko Malakiya :,Ndaa koŋngol ngol Jawmiraawo wolwi bee hunnduko Malakiya :,Wen ko GASA WAN nɛ tɔ̧ɔ̧ ha̧ Malachii  mɛ tɔ̧ ha̧ o be  Israɛl  nɛ mɔ'ɔ.,Wen ko GASA WAN nɛ tɔ̧ɔ̧ ha̧ Malachii  mɛ tɔ̧ ha̧ o be  Israɛl  nɛ mɔ'ɔ.,Ghena nya gezete nda Mahwətə ke ka Israyɛl laka Malashi.,Ree poçoçre maga Manwur hay waçaçn ne Malasi maga a mo waçaçn ne jar Israyel wo mono.
MAL.1.2," Je vous ai aimés, dit Yahweh; et vous dites : "" En quoi nous as-tu aimés ? "" – Esaü n'est-il pas frère de Jacob ? – oracle de Yahweh; et j'ai aimé Jacob, mais j'ai haï Esaü;","I have loved you, saith the  Lord . Yet ye say, Wherein hast thou loved us? Was not Esau Jacob's brother? saith the  Lord : yet I loved Jacob,","Ma-Vatɗin di'e: Nan mingiyawa, may nigi di'e: Naŋ minma hiɗi mige? Esaw may mi ɓasum Yakubna ɗisu? Din mi Ma-Vatɗina. Yakub nan minimu,","Ma nyeʼe mia, nalé Nti a jô. Ve mia jô na: Jé ja liti na wo nyeʼe bia? Ye Esô a nji bo monyañe Yakob? Nalé Nti a jô; ve me nga nyeʼe Yakob, ","Bumbulvuŋ a ɓi na: «I ra wuɗukum», amma kumo, ki ɓam: «Mabiga ki ra wuɗa ndra vuna i mike?» Bumbulvuŋ a mbiɗa taŋ di: «Esaw i sukum ngi Zakop takwa? Amma yi wuɗ di i Zakop. I ya Bumbulvuŋ maɓi. ","Jawmiraawo wi'i: “Mi yiɗi on.” Ammaa onon on ɗon ƴama: “Ɗume hollata a yiɗi min?” Jawmiraawo ɗon jaabo: “Naa Isuwa woni deerɗu Yaakubu? Ammaa Yaakubu ngiɗmi, ","Jawmiraawo wi'i: “Mi yiɗi on.” Ammaa onon on ɗon ƴama: “Ɗume hollata a yiɗi min?” Jawmiraawo ɗon jaabo: “Naa Isuwa woni deerɗu Yaakubu? Ammaa Yaakubu ngiɗmi, ",__Error__,__Error__,"Ma ke Mahwətə sha mbelia ŋkɛ: «Kaɗe ŋayɛ 'ya.» Ama gheyɛ ne, ma pe yɛ sha 'yɛwe: «Wa wəsə nya kencɛ ɗe ta ŋa wa?» Ma ke Mahwətə zhɛnete: «Ashɛ wəza meghekɛa Zhakob Ɛzawə wəka? Ndagwara nahe 'ya keɗehwe Zhakob ",Manwur gano: Ndi hay da nday. Ama nday kal gana: Ndo da wuur de mayla? Esaw bay diñ weegeman Jakob wa yawla? Kay diñ jag Manwuri. Ba laybla' ndi hay da Jakobe.
MAL.1.3," j'ai fait de ses montagnes une solitude, et  livré  son héritage aux chacals du désert.","And I hated Esau, and laid his mountains and his heritage waste for the dragons of the wilderness.","may Esaw nan ka gaw hiɗi namu, Hiɗiyna valamu nan muɗum mi liyn ma sa mus hayɗi, vocota valamu nan vula' goy mi cekemna ma hay fulda.","a ben Esô; me nga bo minkôle mié ne sangaññ, a ve e ngabe si jé betit ya fé. ","Dar yi hirsa Esawa. Yi pula muwã ngi Esawaya mbak, a tiram daŋ daŋ, yo hirwuy naŋ a ndir da kiriɓuh ngi wuzlaɓuh mikirɗak kirɗakay. ","Isuwa kam mi wanyi ɗum. Mi wartiri kooseeje maako bille meere, mi hokki cuuli maral maako .” ","Isuwa kam mi wanyi ɗum. Mi wartiri kooseeje maako bille meere, mi hokki cuuli maral maako .” ",__Error__,__Error__,ba'a keɗema Ɛzawə. Nahe 'ya kebezemte yɛ ghweme ta Ɛzawə ba'a nahe 'ya kendeke nda hɛɗia ŋkɛ ke kelɛ gamba nyi te ɓerama. ,Ane ndi hay da Esaw gaè. Ndi hay kol huuli äe maga a hay de hayle ti äaara go diñ ngeel ma poëag poëage. Ndi hay haç feçeçre äen wo go ne weà ma äi puuli wo.
MAL.1.4," Si Edom dit : "" Nous avons été détruits, mais nous rebâtirons les ruines, "" – ainsi parle Yahweh des armées : Eux, ils bâtiront, et moi, je renverserai; et l'on dira d'eux : "" Territoire d'iniquité, peuple contre lequel Yahweh est irrité pour toujours. ""","Whereas Edom saith, We are impoverished, but we will return and build the desolate places; thus saith the  Lord  of hosts, They shall build, but I will throw down; and they shall call them, The border of wickedness, and, The people against whom the  Lord  hath indignation for ever.","La sum sa hay Edom di ala: Ziyna vay ɦo gaa kaw, nay hot kotom kulo'o, Ma-Vatɗina vi vok-ma-duura ka disi ala: Makgi tuwgi a inim kulo'o, nan ma ɦom gaa'a. Ma muɗ yisi ɗawn ala nagata vi sum sa joona, sum sa muɗ dik Ma-Vatɗina tisi ɦiy dok-dokŋa.","Nge bon bʼEdom ba ye jô na: Be maneya bôé bia; ve bia ye beta lôñe mevôm me ne ntyaman. Nti ya minsamba mewosan a jô na: Be tame lôñ, ve me ma ye tyam, a ba ye loone be na: Si ya mbia be mam, e bôte Nti a yaa be nnôm éto. ","Da Edomoy ara ɓam: «Mesene ndrahay a waham ndra walahayaya le, amma ndra, sey i ndiraka hiri taŋ a muŋ» na, ya Bumbulvuŋ misi gidaŋ wãˀa, i ɓa taŋ na: «Taŋ, anja a ndiraka taŋ a muŋ ɓula, na ya i sa waha taŋ avra na si. Dar mizli a sa caka taŋ slimiɗe: ‹Hirwuy ngi moˀore.› waɗ ‹Mizli misi Bumbulvuŋ mambiɗa taŋ hirnga, ko mbak le ta›. ","To Edoomi'en mbi'i: “Ɓe mbili min gure, ammaa min mahititto bille amin”, nden kam Jawmiraawo honooɓe asama wi'an: “Booɗɗum, kamɓe ɓe mahan, ammaa min mi yibbinan ɗum.” Ngam maajum yimɓe ewnoto Edoom lesdi halleende e ummaatoore nde Jawmiraawo tikkani haa foroy. ","To Edoomi'en mbi'i: “Ɓe mbili min gure, ammaa min mahititto bille amin”, nden kam Jawmiraawo honooɓe asama wi'an: “Booɗɗum, kamɓe ɓe mahan, ammaa min mi yibbinan ɗum.” Ngam maajum yimɓe ewnoto Edoom lesdi halleende e ummaatoore nde Jawmiraawo tikkani haa foroy. ","O be Edɔm nɔ‘i nyɛma mɛ tɔ̧‘e: «Wa ɗaŋa ɛɛ, ɓɛɛ ɛɛ tɛ mbo o ye k’ɛɛ nɛ ɗaŋa so'i woyo.» Ɓɛɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ kifi nú: «Wa a̧ mbó o ye nɔ‘i woyo, mi tɛ gbin a nù lɛŋ. Wi tɛ gɔn nin a zu wa'e, ‹Nù ko o wi-ɗaŋ nɛ nyimsea ko Sɔ̧ duk zu wa kpoo nɛ kpoo.›","O be Edɔm nɔ‘i nyɛma mɛ tɔ̧‘e: «Wa ɗaŋa ɛɛ, ɓɛɛ ɛɛ tɛ mbo o ye k’ɛɛ nɛ ɗaŋa so'i woyo.» Ɓɛɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ kifi nú: «Wa a̧ mbó o ye nɔ‘i woyo, mi tɛ gbin a nù lɛŋ. Wi tɛ gɔn nin a zu wa'e, ‹Nù ko o wi-ɗaŋ nɛ nyimsea ko Sɔ̧ duk zu wa kpoo nɛ kpoo.›","Ma kegeze ka Ɛdom: ‹Nahe mbeli keŋzlakawa n'yɛ, ama katezhɛne ghen'yɛ kaŋa meleme ta n'yɛ nyi kakwəfi›, ke hɛ ne, wa nya ghena nya geze 'ya, 'ya Mahwətə nde berete nya: Ŋate hɛ hɛ, ama kateŋzla hɛ 'ya. Kateheka nda slə mbeli ke hɛ ‹kaHɛɗia ka 'yaghwa mehele› ba'a ‹kaMbeli nyi nza hwepe wənəa Mahwətə kənəa hɛ kevə kevə.› ","Jar Edom mo waçaç ba wo ga: AÈ hay älag wuur go, ama wuur fer yañ mbe boor feçeçre wuur wo ciñ ni no. Manwur Pantway gano: AÀ mo boor wo mbaara, day ndi mbugn yañ mbi go pa. AÈ kol yañ ëe sir äaaran ga sir jar ma debaycoçoçre wo, Sir jar maga äil Manwur de soçoçge ne hara ti ma tum mono."
MAL.1.5," Vos yeux le verront, et vous vous direz : "" Que Yahweh soit glorifié sur le territoire d'Israël ! ""","And your eyes shall see, and ye shall say, The  Lord  will be magnified from the border of Israel.","Irgi ma cuk kalamu, nigi kay tuwgi ma di ala: Ŋolda vi Ma-Vatɗina ɓa' jiki goy ŋor vun-nagata vi sa Israyella.","Mise menan ma ye yene de, a mia ye jô na: Anene Nti da lôte minné yʼIsraél!","Ki sa puraka ti hiri kumo, joˀ kisa ɓam: «Bumbulvuŋ i madiɗa asi ruwuy Israyele gar.»","Gite mooɗon ngi'an ɗum. Nden on mbi'an: “Jawmiraawo woni mawɗo, koo gaɗa keeri Isra'iila boo .”","Gite mooɗon ngi'an ɗum. Nden on mbi'an: “Jawmiraawo woni mawɗo, koo gaɗa keeri Isra'iila boo .”","«Ɛnɛ o be  Israɛl , ɛnɛ tɛ zɔk mɔ‘i, ɓɛɛ ɛnɛ tɛ tɔ̧‘e: ‹GASA WAN usa ŋgai kɔ‘i yak zu  gbìsí-nù  ko o be  Israɛl .› »","«Ɛnɛ o be  Israɛl , ɛnɛ tɛ zɔk mɔ‘i, ɓɛɛ ɛnɛ tɛ tɔ̧‘e: ‹GASA WAN usa ŋgai kɔ‘i yak zu  gbìsí-nù  ko o be  Israɛl .› »","Ma gheyɛ ka Israyɛl ne, katenewe wəsəa shɛ yɛ, ma pe yɛ sha tegeze: ‹Nahe Mahwətə kenza wəbake zlake ke hɛɗia Israyɛl.›»",Nday kon yañ de nen äay day nday waçaç ge yañ de jag äay gano: Kluu mani Manwur cegaë hagu sir ma Israyel go.
MAL.1.6," Un fils honore son père, et un serviteur son maître. Or, si je suis père, moi, où est l'honneur qui m' appartient  ? Et si je suis Seigneur, où est la crainte qui m' est due ?  dit Yahweh des armées, à vous, prêtres, qui méprisez mon nom. Vous dites :","A son honoureth his father, and a servant his master: if then I be a father, where is mine honour? and if I be a master, where is my fear? saith the  Lord  of hosts unto you, O priests, that despise my name. And ye say, Wherein have we despised thy name?","Goora nam sli yam bulum kulo'o, gorvon kaw sli yam mulamna kulo'o, la nan mi bugiya, sli-yamda ta nigi slan yan kulo hiɗi na'ta ka arige? La nan mi mulgina, narta ta nigi li nar kuɗan hiɗi na'ta ka arige? Din mi Ma-Vatɗina vi vok-ma-duuura, di tigi nigi muliyan-sa-ɗifinna, nigi sa ɗuw semda van ki va ma liw nalana, nigi sa di ala: numa muɗaŋ semda vaŋ bis muɗtige?","Mona fam a wumu ésaa, a mbo ésaé a wumu masa wé. Nge me ne ésaa, duma dam e ne vé? Nge me ne masa, ésemé jam é ne vé? Nalé Nti ya minsamba mewosan a jô mia betuni mia biasé jôé dam. Ve mia jô na: Jé ja liti na bia biasé jôé dôé? ","Mangal a cika hirnga da cine, yo gawla ngi mbur a cika hirnga da buy naŋ takwa! Na, da yi cine kum na, ama ani kum macikikiy hirnga vuna ska? Yo da yi buy kum na, ama ani kum macinikiy mi vuna ska? I ya Bumbulvuŋ misi gidaŋ wãˀ maɓi da kum masayay, kum maburɗaka slimiɗ ɗu na. Joˀ ki ɓam jak ma na: «I burɗaka slimiɗ ɗike ar wanaka» kini ma mbrike? ","Jawmiraawo honooɓe asama wi'i liman'en: “Ɓiɗɗo teddinan baaba mum, maccuɗo boo teddinan jawmum. Nde nii mi Baabiraawo, toy tedduŋgal ngal haandani yam? Nde nii mi Jawmiraawo, toy teddinoore nde haandani yam? Onon liman'en, on ɗon njawo innde am. Ammaa on ɗon mbi'a: Bee ɗume min njawri nde? ","Jawmiraawo honooɓe asama wi'i liman'en: “Ɓiɗɗo teddinan baaba mum, maccuɗo boo teddinan jawmum. Nde nii mi Baabiraawo, toy tedduŋgal ngal haandani yam? Nde nii mi Jawmiraawo, toy teddinoore nde haandani yam? Onon liman'en, on ɗon njawo innde am. Ammaa on ɗon mbi'a: Bee ɗume min njawri nde? ","«Bem tu̧ nɛ tɛ dáà kɔ‘i; wi-de-tom yu nɛ wan kɔ‘i mbɛt. Ɓɛɛ kà‘m duk nɛ dáà k’ɛ́nɛ́, tu̧u̧-tɛ-mɔ k’ɛ́nɛ́ pii tɛ‘m a̧a̧ de? Kà‘m duk nɛ wan k’ɛ́nɛ́, ɓɛɛ yuu kíí tɛ‘m a̧a̧ de? Nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ ha̧ o wi-ɗafi-sɔ̧. Ɛ́nɛ́ e nin-am tɛ geemɔ, ɓɛɛ ɛnɛ tɛɛ tɔ̧‘e: ‹Nɛ tɛ ge mɔ ge ɛ̀ɛ̀ e nɛ nin'nɛ́ tɛ geemɔ ge?› ","«Bem tu̧ nɛ tɛ dáà kɔ‘i; wi-de-tom yu nɛ wan kɔ‘i mbɛt. Ɓɛɛ kà‘m duk nɛ dáà k’ɛ́nɛ́, tu̧u̧-tɛ-mɔ k’ɛ́nɛ́ pii tɛ‘m a̧a̧ de? Kà‘m duk nɛ wan k’ɛ́nɛ́, ɓɛɛ yuu kíí tɛ‘m a̧a̧ de? Nɛ GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ ha̧ o wi-ɗafi-sɔ̧. Ɛ́nɛ́ e nin-am tɛ geemɔ, ɓɛɛ ɛnɛ tɛɛ tɔ̧‘e: ‹Nɛ tɛ ge mɔ ge ɛ̀ɛ̀ e nɛ nin'nɛ́ tɛ geemɔ ge?› ","Ma ke Mahwətə nde berete sha ka dzeghe Shala: «Kahawe wəzege va yitenyɛ ba'a kayɛ nda ghena nde mene slene ke nde sleke ŋkɛ. Kenza yiteyɛ ŋayɛ 'ya ne, tema zləvə nya ve yɛ te 'ya wa? Kenza ŋkɛ nde sleke ŋayɛ 'ya ne, tema hawe nya hawe yɛ va 'ya wa? Kaɓela ɗa ma yɛ, ama ma pe yɛ sha 'yɛwe: ‹Laka wa ɓelama ŋa n'yɛ wa?› ","Weel hoo sug ti pan äe, gebe hoo sug ti je maga se gebe äe mono. Hayga ndi diñ Paçaçbe no, hooge sug maga aè nen hooge äe ti äi gen yawla? Hayga ndi diñ Wañ no, heçeçge maga aè nen heçeç ndi mo na gen yawla? Manwur Pantway wii jag äay nday jar sië jag maga nday mbuë fo ëu äi mono. Nday gano: Wuur hay mbuë fo ëu äo de mayla?"
MAL.1.7," "" En quoi avons-nous méprisé ton nom? ""  En ce que  vous apportez sur mon autel un pain souillé. Et vous dites : "" En quoi t'avons-nous souillé ? "" En ce que vous dites : "" La table de Yahweh est chose vile. ""","Ye offer polluted bread upon mine altar; and ye say, Wherein have we polluted thee? In that ye say, The table of the  Lord  is contemptible.","Nigi li ɗifin tanu hiɗi tin ma liwisna, bugolda nigi hot di ala, nigi muɗaŋ semda van liwis muɗtige. Nigi di lo ala tablena vi Bum-Sumuna nagay a muɗum goy bisi.","Mia zuu bidi bi ne te mfuban ataʼa metunaʼa dame yôp, ve mia jô na: Bi veya wo mvine nyôl a jé? Eyoñe mia jô na: Tawôlô Nti a ne jôme ya biasé! ",Ki hiryaka ti kum masoko ti gwat ngi zum misi dili ng'ar li gi mikuli ɗu. Na ki ɓam: «I hiryukuw vuna mbri mbrike?» kini ma. Ki hiryaka ti kum maɓam zlahzlah: «Li gi mikuli ngi Bumbulvuŋ naŋ puɗaw ta na.» ,Bee lii'aago nyaamdu soɓndu dow hirsirde am. Ammaa on ɗon mbi'a: Bee ɗume min coɓniri ma? Bee numugo: Taabal Jawmiraawo  woni huunde meere. ,Bee lii'aago nyaamdu soɓndu dow hirsirde am. Ammaa on ɗon mbi'a: Bee ɗume min coɓniri ma? Bee numugo: Taabal Jawmiraawo  woni huunde meere. ,Mɛ nɛ wen n’ɛnɛ ba nɛ o ndiŋ nyɔŋmɔ e fara-ɗaf'am. Ɓɛɛ ɛnɛ tɔ̧ɔ̧ woyo'e: ‹Ɛɛ ɗaŋa bɔɔ nin'nɛ́ tɛ ge mɔ ge?› Nɛ tɛ tɔ̧a̧-a̧‘e: ‹Fara-e-nyɔŋmɔ ha̧ GASA WAN nɛ́ geemɔ.› ,Mɛ nɛ wen n’ɛnɛ ba nɛ o ndiŋ nyɔŋmɔ e fara-ɗaf'am. Ɓɛɛ ɛnɛ tɔ̧ɔ̧ woyo'e: ‹Ɛɛ ɗaŋa bɔɔ nin'nɛ́ tɛ ge mɔ ge?› Nɛ tɛ tɔ̧a̧-a̧‘e: ‹Fara-e-nyɔŋmɔ ha̧ GASA WAN nɛ́ geemɔ.› ,"Kafə wəshi nyi wale wale yɛ kase kadzete reghwetɛa ɗa, ama ma pe yɛ sha 'yɛwe: ‹Laka wa zhɛrete ŋa n'yɛ wale wale wa?› Yawa, ma pe yɛ gezete: Zləvə shɛ te reghwetɛa Mahwətə we. ","Nday a de reege ma de ëag ti ngeel sië jag äi no, Day nday fer ga: Wuur hay joñ ëag mo see de mayla? Diñ wer maga nday waçaç gana: Ngeel reege mani Manwurn mbe nen maga aè mbuë fo äe mono."
MAL.1.8," Quand vous présentez une  bête  aveugle pour  la  sacrifier, il n'y a pas de mal ! Et quand vous  en  amenez une boiteuse et malade, il n'y a pas de mal ! Va donc l'offrir à ton gouverneur ? T'agréera-t-il ? Te sera-t-il favorable ? dit Yahweh des armées.","And if ye offer the blind for sacrifice, is it not evil? and if ye offer the lame and sick, is it not evil? offer it now unto thy governor; will he be pleased with thee, or accept thy person? saith the  Lord  of hosts.","Hay li ma nigi li ɗifin tanu hiɗi faray ma iram dukina, kayn may jooɗi su? Hay li ma nigi li ɗifin hiɗi faray ma dirlayna, lebo ma galam moyna kayn may jooɗi su? Faray ma ki kayn nalana vulgit mi guvernera vigi tige, nam as vigi hiɗi firit su? Din mi Ma-Vatɗina vi vok-ma-duura.","Eyoñe mia soo éyem é ne ntuane dis, ye nalé a nji bo abé ? Eyoñe mia soo éyem ja feñke nge ji ja kon, ye nalé a nji bo abé ? Tame ñhe ve je njôô bôte wôé, ye a ye yene nalé mvaé a nyoñe wo a mevak? Nalé Nti ya minsamba mewosan a jô. ","Da kum masoko di ngi gi mikuli i ginew dangar na, i gwat malambaˀ takwa? Yo da ki soko di i ginew mikiciɗek sar malla misi jiji na, i gwat malambaˀ takwa? Ani inga vulaka ginew misi kanah vuna da buy kum miwi li so. Ada sa ciraŋ hiri kwa? N'ada sa tuɓukum di ti mevel mezle kwa? I ya Bumbulvuŋ misi gidaŋ wãˀ maɓi. ","To on lii'anake yam dabbaaji bumɗi kirseteeɗi, naa ɗum kalluɗum na? To on lii'ani yam dabbaaji boosɗi e nyaawɗi, naa ɗum kalluɗum na? Sey on njaha, on ndokka ɗum ngomna mooɗon. On tammi ɗum fottanan mo na? Koo o yerdoto on na?” Non Jawmiraawo honooɓe asama wi'i .","To on lii'anake yam dabbaaji bumɗi kirseteeɗi, naa ɗum kalluɗum na? To on lii'ani yam dabbaaji boosɗi e nyaawɗi, naa ɗum kalluɗum na? Sey on njaha, on ndokka ɗum ngomna mooɗon. On tammi ɗum fottanan mo na? Koo o yerdoto on na?” Non Jawmiraawo honooɓe asama wi'i .","O saɗi nɛ yí bo na, o wan nɛ nɛ́ kum, in o wan nɛ ɔ nɛ zɛɛ n’ɛnɛ ba nɛnɛ si  fara-ɗafi-sɔ̧ , bo nɛ ɗaŋmɔ na? K’ɛ̀nɛ̀ ba wa nɛnɛ mɛ ha̧ ha̧ gasawi zu nù k’ɛ́nɛ́, a̧ tɛ kpɛk'nɛ́ nɛ desee nde? GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ.","O saɗi nɛ yí bo na, o wan nɛ nɛ́ kum, in o wan nɛ ɔ nɛ zɛɛ n’ɛnɛ ba nɛnɛ si  fara-ɗafi-sɔ̧ , bo nɛ ɗaŋmɔ na? K’ɛ̀nɛ̀ ba wa nɛnɛ mɛ ha̧ ha̧ gasawi zu nù k’ɛ́nɛ́, a̧ tɛ kpɛk'nɛ́ nɛ desee nde? GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ.","Ma kwa keleke wəsə keseɗa nya kaghwələ, nya ketseheɗe keɗema nya shewə yɛ kezha dzeghe ɗa melɛ ne, wəsə ganyɛ yamenete yɛ zəzə yɛ na? Ma kendeke nda wəsə keseɗa nya kala nyagha yɛ ke ŋgwamna ne, katenza ŋkɛ fare fare ba'a katemene ŋayɛ ganyɛ ŋkɛ zəzə yɛ na? Ka'yɛwe 'ya va gheyɛ, 'ya Mahwətə nde berete. ","De maga nday a sii jag ne ndi de horog ma reçw mono, Sen bay diñ älagge wa yawla? De maga nday a pel äi de horog ma leñ noga ma de ceege mono, Sen bay diñ älagge wa yawla? Wo de äe haçge ne wañ äon ëala? AÀ yaçaç mbe waare äo yañ de el yawla? Waçaçn diñ Manwur Pantway."
MAL.1.9," Et maintenant, suppliez donc Dieu d'avoir pitié de vous ! C'est par votre main que cela s'est fait; sera-t-il amené par vous à avoir des égards ? dit Yahweh des armées.","And now, I pray you, beseech God that he will be gracious unto us: this hath been by your means: will he regard your persons? saith the  Lord  of hosts.","Siɗawgi Lawn wulini, kay nam li slugot kaya. Van kayni may goy vigi pa, nam ma vigi hiɗi firita klasige. Din mi Ma-Vatɗina vi vok-ma-duura.","Eyoñe ji, yeʼelaʼane ñhe Zambe na a mvamane mia! Jame te da so be mia, ye mia buni na ma ye yene mia mvaé? Nalé Nti ya minsamba mewosan a jô. ","A dirba nah so na, ki tumbulikiy ya Buymisemuŋ, ɓa i purukum ircece. Magaka kahana gar na i kum. Y'ada i sa tuɓukum ti mevel purla sukwani? Macufuɗ kahana i ya Bumbulvuŋ misi gidaŋ wãˀa? ","Jonta tore Allah haa o mo'ana en. Nde nii on lii'anake mo dokke bana nii, kaŋko o yerdoto on na? Non Jawmiraawo honooɓe asama wi'i. ","Jonta tore Allah haa o mo'ana en. Nde nii on lii'anake mo dokke bana nii, kaŋko o yerdoto on na? Non Jawmiraawo honooɓe asama wi'i. ","«Kinii, ɛ̀nɛ̀ áí nú ha̧ Sɔ̧ mɛ de ko h’ɛnɛ; ɓɛɛ k’ɛ̀nɛ̀ ha̧ o pɛrti mɔɔ nɔ‘i ha̧ a̧, a̧ tɛ kpɛk so ɛnɛ nde? GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","«Kinii, ɛ̀nɛ̀ áí nú ha̧ Sɔ̧ mɛ de ko h’ɛnɛ; ɓɛɛ k’ɛ̀nɛ̀ ha̧ o pɛrti mɔɔ nɔ‘i ha̧ a̧, a̧ tɛ kpɛk so ɛnɛ nde? GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","Ma tsetsenya ne, dzare mə kampi ɗa dzeve, 'ya Shala ta ŋayɛ, kezha zhɛ heli 'ya yitea gheyɛ. Ma zəzə yɛ ne, katemene ŋayɛ ganyɛ 'ya kwa sebe ta wəsə nya menete yɛ na? Ka'yɛwe 'ya va gheyɛ, 'ya Mahwətə nde berete. ","Patala puë wee ciñ dosen nono ma tos Baa, Maga aà mo ko decoo naa ëa so la! Joñ sen na diñ nday tu so mono. AÀ yaçaç mbe jag äay yañ de el yawla? Waçaçn diñ Manwur Pantway no."
MAL.1.10," Que l'un d'entre vous ne ferme-t-il plutôt les portes, pour que vous n'embrasiez pas mon autel en pure perte ! Je ne prends pas plaisir en vous, dit Yahweh des armées, et je n'agrée pas d'offrande de votre main.","Who is there even among you that would shut the doors for nought? neither do ye kindle fire on mine altar for nought. I have no pleasure in you, saith the  Lord  of hosts, neither will I accept an offering at your hand.","Tuɗaygiya! Sa jargiya ma min duk vun-ziyna, kay nigi ma ŋal kut kuɗ giwin-ma-ɗifinna van waaɗi mi gige? Nigi may kiran ŋaa'a noŋɗi, din mi Ma-Vatɗina vi vok-ma-duura. sle ma nigi vulum tanu hiɗi ɓigiya nam kiran bisi.","Ngoʼé nge môt éziñ ya be mia a ye dibe mbé nda Zambe, nalé mia ye bo te boʼé nduane ya ataʼa metunaʼa dam e zesé! Me nji yene mia mvaé, nalé Nti ya minsamba mewosan a jô, a me nji kômbô nyoñe mvean éziñ e mo menan! ","Anja ɓa kisa ra bulam vu ar li gi mikuli ɗu lambaˀ ta na, a wuzla kumo, zliv mbur ada ngi gica mizlingre muduba sukwa? I ya Bumbulvuŋ misi gidaŋ wãˀ maɓi. Gwat maciriy hiri neˀ avu kum anta. Gwat kum mavulikiy di angi mikuli na, y'anta hĩyã ta ani! ","“Ayye! Ɓuranno to gooto mon maɓɓi dammuɗe haykaliiru, ngam taa on kuɓɓa yiite meere dow hirsirde am! Mi seyoraaki on sam, mi jaɓataa dokkal diga juuɗe mooɗon. Non Jawmiraawo honooɓe asama wi'i. ","“Ayye! Ɓuranno to gooto mon maɓɓi dammuɗe haykaliiru, ngam taa on kuɓɓa yiite meere dow hirsirde am! Mi seyoraaki on sam, mi jaɓataa dokkal diga juuɗe mooɗon. Non Jawmiraawo honooɓe asama wi'i. ","Nyɛma so ha̧ ŋma bíí mgbara'nɛ́ mɛ kpe nú tua  fara-ɗafi-sɔ̧  wen k’ɛ́nɛ́ tɛɛ ye wee zu fara-ɗaf'am sɔɔ gee. Mi kpa desee zu'nɛ́ na, kóó tikiɗi; in ha̧a̧mɔ mɛ er'nɛ́ de tɛ‘m ɓɔna mbɛt. GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","Nyɛma so ha̧ ŋma bíí mgbara'nɛ́ mɛ kpe nú tua  fara-ɗafi-sɔ̧  wen k’ɛ́nɛ́ tɛɛ ye wee zu fara-ɗaf'am sɔɔ gee. Mi kpa desee zu'nɛ́ na, kóó tikiɗi; in ha̧a̧mɔ mɛ er'nɛ́ de tɛ‘m ɓɔna mbɛt. GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ a̧ tɔ̧ wen’ɛ. ","Ganyɛ ma ŋzlemte gelembe nyi mɛa ghɛa ɗa kwete wəndəa ŋayɛ. Tagha gɛ, katezhɛne yɛ kalə kameha ghwə te reghwetɛa ɗa gəmə we. Kwa nza ŋkɛ ma 'ya Mahwətə nde berete ne, ndeɗehwe ɗa newe ŋayɛ we, zeɗehwe ɗa wəshi nyi fə ɗa yɛ kase we. ","Naa see ëala! Wose yoo äay ga teçg jag tiñn wo yañ go, Nen maga nday mo ngal wuu de koëkoë ti ngeel sië jag äin wa so mo la? Nday bay de coçoçre jag äi me' wa has äuy. Manwur Pantway waçaç dosen nono. Feçeçre maga nday haç ra me mono, Ndi bay da yaçaç rage go ne nday do wa."
