livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
MIC.1.1," Parole de Yahweh qui fut  adressée  à Michée de Moréseth, dans les jours de Joathan, d'Achaz et d'Ezéchias, rois de Juda, dont il eut la vision touchant Samarie et Jérusalem.","The word of the  Lord  that came to Micah the Morasthite in the days of Jotham, Ahaz, and Hezekiah, kings of Judah, which he saw concerning Samaria and Jerusalem.","Kayni mi yoboyna vi Ma-Vatɗina ma nam di'e tam Mikka, sa ma hay nagat Moreset, kayni hay liyna vi Yotam, hiɗi Ahaz, hiɗi Ezekiyas, muliyana vi Yuda, nam wi ɗekka kay Samariya hiɗi Yerusalem.","Nkobô Nti ô nga kui be Miké, môte ya Morését, melu Yôtam, e ma me Akaz a ma me Ezékias, bejô bôte ya Yuda be nga too, nkobô te ô too ajô bitison: Samari a Yérusalém.","Ti hin ngi Yotam ati Ahas waɗ Ezekiyas, buy Zudahaya, Mise, mbur ngi ruwuy Moresete, Bumbulvuŋ a ɓaŋ ɓi. A pur ɓi ani ti kleŋ vur walahay Samari ati Zeruzalem.","Jawmiraawo wolwani Mika mo Moraset nder zamanu Yotam e Akas e Hezekiya, laamiiɓe Yahuuda. Ndaa ko Mika yi'i dow Samariya e Urusaliima :","Jawmiraawo wolwani Mika mo Moraset nder zamanu Yotam e Akas e Hezekiya, laamiiɓe Yahuuda. Ndaa ko Mika yi'i dow Samariya e Urusaliima :","Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Michee be Mɔrɛsɛt, ŋgimbi wan ko Yotam, Ahaz in Ezɛkias wannu Juda nɛ mɔ'ɔ. A̧ hɔɔ so zu ha̧ a̧ wen zu Samarii in Jerusalɛm.","Wen nɛ GASA WAN tɔ̧ɔ̧ ha̧ Michee be Mɔrɛsɛt, ŋgimbi wan ko Yotam, Ahaz in Ezɛkias wannu Juda nɛ mɔ'ɔ. A̧ hɔɔ so zu ha̧ a̧ wen zu Samarii in Jerusalɛm.","Ghena nya gezete nda Mahwətə ke Mishɛ nya kande Morɛshɛt, te vəa Yotam, Ahaz ba'a Ɛzɛkiyas, ka meghea kɛfia ka Zhəwda. Wa nyi wəshi nyi ncɛte nda ŋkɛ te ghəa yɛ Samari le Zhɛrəzalɛm nyi.","Waçaçre maga Manwur hay waçaçn ne Mise je Moresetn ti kal mani Yotam, Akas wo de Esekiyas wañre ma Judan wo mono. AÀ diñ ree maga aè naa nen äe ne hen ti Samari wo de Jerusalem mono."
MIC.1.2," Ecoutez,  vous  tous, peuples ! Sois attentive, terre, avec ce qui te remplit ! Le Seigneur Yahweh va témoigner contre vous, le Seigneur, du palais de sa sainteté !","Hear, all ye people; hearken, O earth, and all that therein is: and let the Lord  God  be witness against you, the Lord from his holy temple.","Humgiya nigi sumun kaf, tun ŋalda vagu, nak nagata hiɗi sum sa hayag kafna. Hin Bum-Sumuna Ma-Vatɗina wi va ma nigi lumna, Bum-Sumuna may goy hay Tempella valam ma peldetna pa,","Mia meyoñ mese vôʼôlaʼan! Keʼe alo a si, a jôm ése ô bili! Nti Emien a zu bo ngaa ya boʼolô wo, Nti, Nyô a so étabaʼa jé é nʼétyi!","Kum mizli gar, cinam! Hirwuy ati mizli ngi raˀahay gar, jikaka slimiɗe. Bumbulvuŋ, Buymisemuŋ a wuɗ a gi sedewo ar kum zle ar hay naŋ mipala.","Nane, onon ummaatooje fuu! Heɗita, an lesdi e ko hebbini ma! Allah Jawmiraawo wulloto on diga haykaliiru muuɗum seniindu! ","Nane, onon ummaatooje fuu! Heɗita, an lesdi e ko hebbini ma! Allah Jawmiraawo wulloto on diga haykaliiru muuɗum seniindu! ","Ɛ́nɛ́ o dukbíí lɛŋ ɛ̀nɛ̀ zii, nù, mɛ̀ dúk keɗeŋ in o mɔ nɛ ya zaŋ-mɛ lɛŋ. GASA WAN Sɔ̧ tɛ gbo nɛ kɔ̧ sa̧a̧ Tua kɔ‘i, mɛ gɔn kita zu'nɛ́.","Ɛ́nɛ́ o dukbíí lɛŋ ɛ̀nɛ̀ zii, nù, mɛ̀ dúk keɗeŋ in o mɔ nɛ ya zaŋ-mɛ lɛŋ. GASA WAN Sɔ̧ tɛ gbo nɛ kɔ̧ sa̧a̧ Tua kɔ‘i, mɛ gɔn kita zu'nɛ́.","Fa mə, gheyɛ mbeli pɛtɛ. Ntsehwele mə, gha hɛɗi le wəshi nyi te gha. Shala Mahwətə katesla ghena te gheyɛ sawa pelɛ ŋkwa nya keveyi nda geva tekeleke.","Laa wee ne, nday wer jar wo äuy! Tamsir de feçeçre ma äil äen wo äuy mo co' wo sugi! Wañkluu Manwur de 'waa war ne nday ti pel kiida, A ur gi le na ti ngeel äe ma bay ëagn haçaç!"
MIC.1.3," Car voici que Yahweh va sortir de sa demeure ; il descendra, il marchera sur les hauteurs de la terre.","For, behold, the  Lord  cometh forth out of his place, and will come down, and tread upon the high places of the earth.","kay ɗuwgiya, Ma-Vatɗina min kali goy hay liyna valam ma musta pa, nam ka jik gaa'a, nam ka poy kulo kay liyn ma jiŋiliŋŋa vi nagata.","Amu ô lôô Nti a so étabaʼa jé, a sis, a wulu e mevôme ya si nyô me nʼôyabe yôp.","Bumbulvuŋ n'ani ara bo tir hay naŋ. A ra po sar, ara ru ar li miɗingir ɗingirey ngi si ruwuyo.","Ndaa, Jawmiraawo ɗon wurto nokkuure muuɗum, ɗon jippo, ɗon yaaɓa dow towndiije duniyaaru. ","Ndaa, Jawmiraawo ɗon wurto nokkuure muuɗum, ɗon jippo, ɗon yaaɓa dow towndiije duniyaaru. ","Ɛ̀nɛ̀ zɔ́k GASA WAN a̧ gbo nɛ kɔ̧ sa̧a̧ fara kɔ‘i'i; a̧ zira, ɓɛɛ nɛ mɔ'ɔ n'aa nɛ nɔ nɛ zu o kusa kaya.","Ɛ̀nɛ̀ zɔ́k GASA WAN a̧ gbo nɛ kɔ̧ sa̧a̧ fara kɔ‘i'i; a̧ zira, ɓɛɛ nɛ mɔ'ɔ n'aa nɛ nɔ nɛ zu o kusa kaya.","Kaganda ne, wa nya Mahwətə keshave mbe ŋkwa kenza ta ŋkɛ. Kasawa ŋkɛ, kadzeghwa ŋkɛ pelɛ ghəa wəmbə nyi te hɛɗi.","Gahaçyla Manwur le go de men ngeel hayle äe no. AÀ le de cwage, le de seege ne ngeel ma de geçeçre ma ti tamsirn wo ti."
MIC.1.4," Les montagnes se fondront sous ses  pas , les vallées se fendront, comme la cire devant le feu, comme l'eau versée sur une pente.","And the mountains shall be molten under him, and the valleys shall be cleft, as wax before the fire, and as the waters that are poured down a steep place.","hiɗiyn ma gaa kuɗ selemna ka mun goyo, hor-ɦuɗukŋa ka mal goy kay tuwamu, ki diyakŋa vok kuta nala, ki niyn jaŋ hay liy ma beɗna nala.","Minkô mia nyemé e mebo mé si, mimbiʼili mia kandeban ane éko é ne fefele nduan, ane mendim ma lôt avô ayo nkô.","Muwãhay ara luwuslam asi sar naŋ, si virzi ngi sozohoy ara ndislam, kaɓa tebeɗ a ciki vu, kaɓa yam maɓul ar misirnene.","Kooseeje ɗon ɓolwa les paalanɗe maako, waadiiji ɗon ceeka bana taari nder yiite, bana ndiyam ilanɗam haa diirtorde. ","Kooseeje ɗon ɓolwa les paalanɗe maako, waadiiji ɗon ceeka bana taari nder yiite, bana ndiyam ilanɗam haa diirtorde. ","O kaya yela ɗɔɔ naŋ-a; o kɔ̧ ɗɔŋgɔ pɛsa hee ndíá a̧ yela tɛ wee ga, kóó hee yì a'i gbaia a zu kaya ga.","O kaya yela ɗɔɔ naŋ-a; o kɔ̧ ɗɔŋgɔ pɛsa hee ndíá a̧ yela tɛ wee ga, kóó hee yì a'i gbaia a zu kaya ga.","Kadedase yɛ ghweme mbe hwə seɗa ta ŋkɛ, kanɛnɛa ŋkwa nyi kwelɛ yɛ zlərə kala ɗəkə va ghwə, kala yɛmə nya kehwɛ dzawa vare wəmbə.","Huuli ngroä wo go äaale äe, Log tos wo go do keaçy pel wuu nono, Do bii maga ëe le ti ngeel ma de solge nono."
MIC.1.5," Tout cela, à cause du crime de Jacob, et à cause des péchés de la maison d'Israël. Quel est le crime de Jacob ? n'est-ce pas Samarie ? Et quels sont les hauts lieux de Juda ? n'est-ce pas Jérusalem ?","For the transgression of Jacob is all this, and for the sins of the house of Israel. What is the transgression of Jacob? is it not Samaria? and what are the high places of Judah? are they not Jerusalem?","Slen zawni kaf li'e kuɗ jiw-zlata vi Yakub, kuɗ sulukŋa vi sum sa hay ziyna vi Israyel. Jiw-zlata vi Yakub mi mige? May mi Samariya ɗisu? Liyn ma ɗiŋiriŋŋa Yuda mi mige? May ti Yerusalem ɗisu?","Jame te ese da boban amu mbia mboone Yakob, amu mam abé ya nda Israél! Mbia mboone Yakob a ne jé? Ye sa Samari, nlô tison Israél? Bito bikôndôʼô yôbe ya Yuda bi ne jé? Ye sa Yérusalém, nlô tison Yuda?","Hana a gi gar na, vur dideˀ ngi Zakopoy mislikiɗam ɓi, yo vur Israyeley migam mungra. Slikiɗa ɓi ngi dideˀ ngi Zakopoy vuna i wanaka? I walahay Samari takwa? Li miɗingir ɗingir ngi Zudahay vuna i wanahay ka? I walahay Zeruzalem takwa?",Ɗum fuu ɗum laati daliila tuurtol Yaakubu e hakkeeji ummaatoore Isra'iila. Ɗume woni tuurtol Yaakubu? Naa ɗum Samariya? E ɗeye ngoni nokkuuje Yahuuda towɗe? Naa ɗum Urusaliima?,Ɗum fuu ɗum laati daliila tuurtol Yaakubu e hakkeeji ummaatoore Isra'iila. Ɗume woni tuurtol Yaakubu? Naa ɗum Samariya? E ɗeye ngoni nokkuuje Yahuuda towɗe? Naa ɗum Urusaliima?,Mɔ‘i lɛŋ wen zu ŋgazu ko Jakob; wen zu ɗaŋmɔ ko o bíí nutua ko  Israɛl . Ŋgazu ko Jakob nɛ ge? Bo nɛ o bíí Samarii na? O kusa-fara ko Juda nɛ ge? Bo nɛ Jerusalɛm na?,Mɔ‘i lɛŋ wen zu ŋgazu ko Jakob; wen zu ɗaŋmɔ ko o bíí nutua ko  Israɛl . Ŋgazu ko Jakob nɛ ge? Bo nɛ o bíí Samarii na? O kusa-fara ko Juda nɛ ge? Bo nɛ Jerusalɛm na?,"Ma nda mene geva wəshi nyi pɛtɛ ne, va fama ghena ta hwelefe ta Zhakob, va jaɗafa ta ka Israyɛl. Wa nde tsəkwə Zhakob yitea fama ghena wa? Ashɛ Samari wəka? Wa nde tsəkwə Zhəwda kahawe va kweci shala wa? Ashɛ Zhɛrəzalɛm wəka?","Sen mo äuy na wer debay yaçaçge jag mani Jakob no, Wer älagge jar ma liñ ni Israyeln wo! De bay yaçaçge jag mani Jakobn a le na bay Samari wa yawla? Ngeel ma de farge ciñ ma cor soçoçren bay wo na Jerusalem wa yawla?"
MIC.1.6," Je ferai de Samarie un tas de pierres dans un champ, un lieu à planter la vigne ; je ferai rouler ses pierres dans la vallée, et je mettrai à nu ses fondements.","Therefore I will make Samaria as an heap of the field, and as plantings of a vineyard: and I will pour down the stones thereof into the valley, and I will discover the foundations thereof.","Samariya nan muɗa ɗawni, ki sine ma goorhoyon dakay hayamna nala, ki sine ma pi gulda-guldan haya nala, hiɗiyn ma hayamna, nan ma zutum gaa hay liyn ma wiŋŋa, baga' ma viy gaana nan ma patam kulo'o.","Ajô te Nti a jô na: Ma ye kôñelane Samari a bo avise mekok e nʼafan asu ya bé afube ndiʼi woon; ma ye sôʼôlô mekoʼo mé mbiʼili si, a ma ye bo mimbôkaʼa mié mi yené atan.","Vurˀe, hirwuy Samari, i sa tiri di diŋ, i sa tiri di hirwuy ngi hufa gudubun anga. Ɗugur naŋhaya, i sa gidigila taŋ ng'ar hurjijiŋ, virzi naŋ muɗuvaka na, i sa ŋhuko avra.","Jawmiraawo wi'i: “Mi laatinan Samariya waagaare kaa'e haa ngesa e nokkuure ngam jubaago inabooje. Mi wuboto kaa'e berniwol Samariya haa les nder waadiwol, mi waŋginan caɓɓaaje maagol. ","Jawmiraawo wi'i: “Mi laatinan Samariya waagaare kaa'e haa ngesa e nokkuure ngam jubaago inabooje. Mi wuboto kaa'e berniwol Samariya haa les nder waadiwol, mi waŋginan caɓɓaaje maagol. ","GASA WAN tɔ̧a̧: «Mi tɛ de ha̧ Samarii mɛ duk nɛ́ bɛɛ-oi, ha̧ a̧ mɛ duk nɛ́ fara nɛ‘i tɛ gun nyak-dɔ̧ɔ̧ sɛnɛ. Mi tɛ de ha̧ o tua kɔ̧-a̧ mɛ kin a kɔ̧ gboŋgo; mi tɛ gbin o naŋ-tua a nù lɛŋ.","GASA WAN tɔ̧a̧: «Mi tɛ de ha̧ Samarii mɛ duk nɛ́ bɛɛ-oi, ha̧ a̧ mɛ duk nɛ́ fara nɛ‘i tɛ gun nyak-dɔ̧ɔ̧ sɛnɛ. Mi tɛ de ha̧ o tua kɔ̧-a̧ mɛ kin a kɔ̧ gboŋgo; mi tɛ gbin o naŋ-tua a nù lɛŋ.","Ma ke Shala: «Tewəmbəreke wəsə nya ne, 'ya katezhɛre Samari kakwəfi, kawəve nya temɓe rɛzɛŋe mbeli te. Katetsetsəkwə yɛ pelɛa ŋkɛ 'ya kadzawa zlərə, dedeghərə teve yɛ shihəa ŋkɛ 'ya te ŋwela.","Ndi kol ge Samari yañ go diñ huuli ma de cor ëugul ne keçeç ti wo go äil pay wo, Ndi peë ge tlalum yañ go ni. Ndi tor ge huuli äen wo yañ wo go äil loge, Day ndi men ge wer tiñ äe ma de äodgen yañ wo go de koëe."
MIC.1.7," Toutes ses statues seront brisées ; et tous ses salaires consumés par le feu ; de toutes ses idoles je ferai une ruine, car elle les a amassées avec le salaire de la prostitution, et elles redeviendront un salaire de prostitution.","And all the graven images thereof shall be beaten to pieces, and all the hires thereof shall be burned with the fire, and all the idols thereof will I lay desolate: for she gathered it of the hire of an harlot, and they shall return to the hire of an harlot.","Lawayna visi kaf nan ma tom goyo, faray ma nisi fum hiɗi hagat ta liwista kut ma tumu, Lawayna ma waana visi kaf nan ma vatam goyo, wurakŋa ma nisi fum kuɗ jiw-zlata visi kaf, nam ma hot ɗawn hay liyam ma wurakŋa vi viyuwta.","Bengunemelane bé bese ba ye buʼubane bifus, a memvaka a nga nyoñ ma ye diʼibane nduan, biveʼelaʼa bezambe bié, ma ye bo bie bifus, amu a nga kuse biôm bite bise a tañ ja so ébamba jé, a bia ye fe volô asu ya yaʼane bebo ébamba befe.","Kuli naŋ miciɗa ti ciɗeye, i sa ngurfo taŋ cek avra, gwat ngi lum naŋ gar na, i sa pa taŋ ng'ar vu. I sa waha kuli naŋhaya meɗ meɗ, asi a cikila gwat tayna gar na ti lum naŋ ngi madama, a sa tiram lum ngi madama a muŋ ma.","Ɓe pusan labbi maagol cehaaɗi fuu. Ngeenaari maagol fuu wulete bee yiite e mi yibbinan labbi maagol fuu, ngam ngol heɓri ɗi bee ngeenaari daakaareeku , ɗi ngartan boo ngeenaari daakaareeku.”","Ɓe pusan labbi maagol cehaaɗi fuu. Ngeenaari maagol fuu wulete bee yiite e mi yibbinan labbi maagol fuu, ngam ngol heɓri ɗi bee ngeenaari daakaareeku , ɗi ngartan boo ngeenaari daakaareeku.”","Mi tɛ gbin o sɛka sɔ̧ kɔ-wa a nù lɛŋ; mi tɛ kai o kpaamɔ kɔ-wa lɛŋ a tɛ wee. Mi tɛ gbin o géé-sɔ̧ kɔ-wa lɛŋ a nù mutu-mutu. Hee o kpaamɔ nɔ‘i nɛ́ mɔɔ-oi-tom ko o kó-de-mɔ nɛ mbɔɗɔnu nɛ ya kɔ̧ tua ko o géé-sɔ̧ ga, wi tɛ kai wa yoɓi nɛ o kó-de-mɔ nɛ mbɔɗɔnu nɛ ya kɔ̧ tua ko o géé-sɔ̧ tɛ ŋma nù.»","Mi tɛ gbin o sɛka sɔ̧ kɔ-wa a nù lɛŋ; mi tɛ kai o kpaamɔ kɔ-wa lɛŋ a tɛ wee. Mi tɛ gbin o géé-sɔ̧ kɔ-wa lɛŋ a nù mutu-mutu. Hee o kpaamɔ nɔ‘i nɛ́ mɔɔ-oi-tom ko o kó-de-mɔ nɛ mbɔɗɔnu nɛ ya kɔ̧ tua ko o géé-sɔ̧ ga, wi tɛ kai wa yoɓi nɛ o kó-de-mɔ nɛ mbɔɗɔnu nɛ ya kɔ̧ tua ko o géé-sɔ̧ tɛ ŋma nù.»","Pɛtɛ tempəmte geva wəshi nyi zhɛrete ŋkɛ kashala, pɛtɛ tebete geva wəshi gəmə nyi kemave ŋkɛ mbe ghwə. Katenzenzere wəshi nyi zhɛrete ŋkɛ kashala 'ya. Ma kwa nza ŋkɛ le meleɓe ta yɛ mene mefətekwəa ŋkɛ tsenete wəshia shɛhɛ ŋkɛ ne, kameleɓe ta mene mefətekwə tenza hɛ perə.»","AÈ hrag ge fodo äe ma de ceëgen wo yañ go äuy. AÈ roë ge feçeçre äe maga aà da' ra le de figliw äen wo yañ go de wuu, Day ndi älag ge soçoçre äen wo yañ go äuy. AÀ hay yeeë ra le de solay figliw day saara kol ge yañ Go diñ fen ma joñ figliw tigriñ pa."
MIC.1.8," A cause de cela, je me lamenterai et je hurlerai, je marcherai dépouillé et nu ; je répandrai une lamentation comme le chacal, et une plainte comme l'autruche.","Therefore I will wail and howl, I will go stripped and naked: I will make a wailing like the dragons, and mourning as the owls.","Kuɗ kayni nan ma tiya, nan ma yor tuwanu, nan ma poy nala'a bay cuk tuguru senu, nan ma buw ki turlon nala, nan ma ciriya ki rigetna nala.","Ajô te, ma Miké, ma zu yi a yôn, ma zu wulu minsoé mebo a nyôle nsoé, ma zu yôn ane benyôk, a yi ane beéngutu.","Ya Mise, i sa kuɗuma tuwuy, yo i sa widi ti gidaŋ ya. I sa ru manja tarak a sar, waɗ vu gulndiŋ kine. I sa zlo kuɗma tuwuyo kaɓa kiriɓuh. I sa zli dimis ngi vagay kaɓa tuwuy ngi maduuli.","Ngam maajum mboyanmi, ngookanmi, njahanmi mi temmbo, bilaa paɗe. Mi waɗan gookaali bana cuuli, mi waɗan bojji bana dabbi. ","Ngam maajum mboyanmi, ngookanmi, njahanmi mi temmbo, bilaa paɗe. Mi waɗan gookaali bana cuuli, mi waɗan bojji bana dabbi. ","Ɓɛɛ Michee tɔ̧: «Mi tɛ ai nú‘m, ɓɛɛ mi tɛ hi̧i̧ kɔ̧a̧ mbɛt; mi tɛ yar nɛ géé naŋ-am in nɛ mgbii. Mi tɛ ai nú‘m hee o gbóò ga, mi tɛ ŋma nú‘m hiɗi nɛ mɔ-fio hee o ndao ga,","Ɓɛɛ Michee tɔ̧: «Mi tɛ ai nú‘m, ɓɛɛ mi tɛ hi̧i̧ kɔ̧a̧ mbɛt; mi tɛ yar nɛ géé naŋ-am in nɛ mgbii. Mi tɛ ai nú‘m hee o gbóò ga, mi tɛ ŋma nú‘m hiɗi nɛ mɔ-fio hee o ndao ga,","'Ya Mishɛ ne, 'ya kateŋgaɗe ghə ba'a kateŋələvə. 'Ya katedzeghwa kaɗema tsahwa mbe seɗa ba'a mederelaŋe. Kala kelɛ gamba tembɛahwɛ 'ya, kala zhenɛgə tenehwene 'ya.","Diñ wersen ndirage yañ, ndi law ge yañ. Ndi see ge yañ go bay taarag äaale, go äaale koëe. Ndirage yañ do weà nono, ndi ndum gi yañ do gii wo nono."
MIC.1.9," Car sa plaie est mortelle ; car elle vient jusqu'à Juda, elle arrive jusqu'à la porte de mon peuple, jusqu'à Jérusalem.","For her wound is incurable; for it is come unto Judah; he is come unto the gate of my people, even to Jerusalem.","Kay mil ma ta'na nam may citɗi, vunam co ta-ta hay Yuda. Bum-Sumuna coowa hay vun-ziyna vanu ta-ta hay Yerusalem.","Amu be se nguleya saé aveñe Samari, e ne anen a kui e Yuda. Ntyaman ô keya kui e Yérusalém émien, e tison ényiñe ya bôte bam é tii.","Kay, waˀa ngi walahay Samari na, slalak naŋ anta mata. A ra ndih sesẽŋ nga Zuda, hã duk mizlingre ngi mizli ɗuwoy a Zeruzalem.","Ngam huuduure maagol hurgataako, nde layi haa Yahuuda, nde yottake haa dammugal ummaatoore am, haa Urusaliima!","Ngam huuduure maagol hurgataako, nde layi haa Yahuuda, nde yottake haa dammugal ummaatoore am, haa Urusaliima!","wen nyimmɔ-fio nɛ duk tɛ Samarii kaɗi na.   Hiɗimɔ ‘i hɔɔ Juda, a̧ kɔna nú tua ko o bíí kɔ‘m hɔ Jerusalɛm mbɛt.","wen nyimmɔ-fio nɛ duk tɛ Samarii kaɗi na.   Hiɗimɔ ‘i hɔɔ Juda, a̧ kɔna nú tua ko o bíí kɔ‘m hɔ Jerusalɛm mbɛt.","Kwa nza ŋkɛ kampi zhi nya te Samari we, pa te Zhəwda dzete ŋkɛ, pa te mɛ degha nyi te Zhɛrəzalɛm nya nza mbelia ɗa ntsehe ŋkɛ.","Gahaçyla waçaçge ma de caa Samarin go diñ ma tawge äe day se go de ya' Juda lay. Wañkluu go de kañ äaw ne jar mani äin wo jag jiñ, se le' wo go Jerusalem tem tem."
MIC.1.10, Ne l'annoncez pas dans Geth ; ne pleurez pas dans Acco ! A Beth-Aphra je me roule dans la poussière.,"Declare ye it not at Gath, weep ye not at all: in the house of Aphrah roll thyself in the dust.","Nigi ma vi labar namna hay nagat Gat noŋɗi, nigi ma tiy hay Akko noŋɗi kaw. Rugusgi tuwgi gaa hay nagata hay Bet-Lefra.","Te katane foé éte e tisone Gat, môt éziñ a boʼo te kuli miliʼi mis ne tya! E Bét-Léafra, ma bume mbuluʼu été.","Ki tilam mi ti ɓi nah asi ruwuy Gata ta, ki tuwam ta. Asi ruwuy Bet-Leˀafra na, putukulom ar mereɓ.","Taa ngooyne ɗum haa Gaat , taa mboye sam. Talle nder mbulwuldi haa Bayti-Le'afra . ","Taa ngooyne ɗum haa Gaat , taa mboye sam. Talle nder mbulwuldi haa Bayti-Le'afra . ","«K’ɛ́nɛ́ tɔ̧ wen bɔnɛ k’ɛɛ nɛ ŋgɔn ha̧ o wi Gat na, ɓɛɛ ɛ̀nɛ̀ kín tɛ‘nɛ́ nɛ nù sɛn Bɛt-Leafra.","«K’ɛ́nɛ́ tɔ̧ wen bɔnɛ k’ɛɛ nɛ ŋgɔn ha̧ o wi Gat na, ɓɛɛ ɛ̀nɛ̀ kín tɛ‘nɛ́ nɛ nù sɛn Bɛt-Leafra.","Mba yɛ kezlape mbe Gat. Mba yɛ kenehwene mbe Ako. Mbe Bɛt-Lɛyafra ne, devələ mə geva dzate hwa keləwə.","Wo wee sii ree sen äi leege Gad wa, wo wee rage äi leege Ako wa! Wo mbo blulgi go nen sir äi leege Bet-Leafra so!"
