livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
NEH.1.1," Paroles de Néhémie, fils de Helchias. Au mois de Casleu, la vingtième année, comme j'étais à Suse, dans le château, ","The words of Nehemiah the son of Hachaliah. And it came to pass in the month Chisleu, in the twentieth year, as I was in Shushan the palace,","Yoboyna vi Nehemiya, goora vi Hakaliya. Hay tilla vi Kisilev*, hay busata dok-ma'ta, hay li ma nan ay hay Susa, hoyok-ziy ŋolla, ","Mejô me Néhémie mon Akalia. E ngone Kisle, mbu mewôme baa, valé me too e nlô tison ba loone Suz, ","Hana i ɓi ati slra ngi Nehemi, mangal ngi Hakaliya. Angi kiya  Kisilew   ngi vi mizli ngir cuw ngi zumabuy ngi Artakzerses na, naɓa ya Nehemi, ya a Sus, walahay muguno ti mohol. ","Ndaa haala Nehemiya ɓii Hakaliya: Nder lewru Kislew, nduuɓu laamiiɗo Artahasta noogaswu, mi ɗonno haa Suuza, laamorde Suuza. ","Ndaa haala Nehemiya ɓii Hakaliya: Nder lewru Kislew, nduuɓu laamiiɗo Artahasta noogaswu, mi ɗonno haa Suuza, laamorde Suuza. ","Ɛ̧ɛ̧ hɛ̧ɛ̧ nɛ́ wee ɗoŋ mɔ ko Nehemii, bem ko Hakalia. Tɛ kuti zɛ Kislɛu,  tɛ ɓu-yiitoo pɛ nɛ Artazɛrzɛs duka so nɛ́ wannu Pɛrsɛ, mi Nehemii duka so tɛ gasa ye-ŋgárá Suzɛ. ","Ɛ̧ɛ̧ hɛ̧ɛ̧ nɛ́ wee ɗoŋ mɔ ko Nehemii, bem ko Hakalia. Tɛ kuti zɛ Kislɛu,  tɛ ɓu-yiitoo pɛ nɛ Artazɛrzɛs duka so nɛ́ wannu Pɛrsɛ, mi Nehemii duka so tɛ gasa ye-ŋgárá Suzɛ. ","Ghena ta Nɛhɛmi, wəzege ta Hakaliya. Ma mbe va kwa bakemsə ta meghe Artasɛrsɛs te tere Kisləw, kwa nza 'ya mbe Səze, meleme kwa berete, ","Waçaçre Nehemi je ni Hakaliya no. Nen few Kislef nen kiñgi ma de do äog maga Artagserses ti wañ mono, ndi hay Suse äi leege ma kluu no. "
NEH.1.2," arriva Hanani, l'un de mes frères, avec des hommes de Juda. Je les questionnai au sujet des Juifs délivrés, qui avaient échappé à la captivité, et au sujet de Jérusalem. ","That Hanani, one of my brethren, came, he and certain men of Judah; and I asked them concerning the Jews that had escaped, which were left of the captivity, and concerning Jerusalem.","Hanani, kep jar sa ɓosiyonna hiɗi sum sara'a may goy hay Yuda pa. Nan jobsiya kay caw Yudiyana sa pir goyna sa hin bay kal gorvona, kay Yerusalem kaw. ","Anani, wua ya bobejañ, a bôte befe bʼéziñ valé, be nga so Yuda. Nde me nga sili be minsili ajô Beyude be nga fam nkeane minkôm, a ajô Yérusalém. ","Akẽh na, Hanani, mbur ngi wuzla sukum ɗuwoyo a ndilawa baɗ ti ruwuy Zuda waɗ mizli njiraˀ aseˀe. Joˀ yi cufuɗa taŋ vur ɓi ngi zude mijahay, mumoko ti ruwuy mulak, mindiram ti siifa waɗ vur ɓi ngi Zeruzaleme ma. ","Saa'i man Hanani, gooto caka deerɗiraaɓe am wardi bee woɗɓe diga Yahuuda. Mi ƴami ɓe haala Yahuudu'en hisɓe, luttuɓe dahaaɓeno  e haala Urusaliima. ","Saa'i man Hanani, gooto caka deerɗiraaɓe am wardi bee woɗɓe diga Yahuuda. Mi ƴami ɓe haala Yahuudu'en hisɓe, luttuɓe dahaaɓeno  e haala Urusaliima. ","Hanani, ŋma nya'm tɛɛ in o ŋma bíí nɛ Juda, ɓɛɛ mi ak mɔ wen oi o be Juif nɛ ɓɔna ɓɛɛ nɛ̀ sii ɗoŋ Jerusalɛm, in wen zu ye'i mbɛt. ","Hanani, ŋma nya'm tɛɛ in o ŋma bíí nɛ Juda, ɓɛɛ mi ak mɔ wen oi o be Juif nɛ ɓɔna ɓɛɛ nɛ̀ sii ɗoŋ Jerusalɛm, in wen zu ye'i mbɛt. ","pa yɛ Hanani, kwete wəndə hwa ka menəhɛ ɗa le kweci mbeli se te hɛɗia Zhəwda. Pa 'ya 'yɛwakɛ nza ta ka Zhəwif nyi ketene te ghweme kwa sebe ta fə nya fəhwe ŋkwa mbeli ba'a nza ta Zhɛrəzalɛm va hɛ. ","Hanani, diñ jobo yoo heçeçre äin wo de jar po wo mbag raw wo a ge le ti sir Juda. Ndi raw wii jag äaara ti jar Jwif maga hay yaçaç wo le go jag dañgay day gwa' wo mono, ti Jerusalem lay. "
NEH.1.3," Ils me répondirent : ""Les réchappés, ceux qui ont échappé à la captivité, là-bas dans la province, sont dans une grande misère et dans l'opprobre ; les murailles de Jérusalem sont démolies et ses portes consumées par le feu."" ","And they said unto me, The remnant that are left of the captivity there in the province are in great affliction and reproach: the wall of Jerusalem also is broken down, and the gates thereof are burned with fire.","Nisi hotan dita: Sum sa kal gorvoɗina ka hay nagat lak', nisi ka hay lasta ŋolda, sumun ka cen kuɗsiya; gulmunna vi Yerusalem ɦoy gaa'a, vun-galana va' ŋalay kay kuta kaw.","Ane be nga yalane me na: Ba be nga liʼi te ke minkôm, be nʼéfase si éte wé, be too e mbia njuʼu été a ôson été: mfine mekok wo bômane Yérusalém ô maneya ke wo buʼi, a mimbé yʼété mi maneya diʼiban a nduan.","Taŋ a mbiɗikiy di: «Mizli mumoko ti ruwuy mulak, nga ruwuy buy Zuda miwa a diga, a roko ti bonoy madiɗa waɗ ar mesem. Asi mike na, a slinaka mohol ngi Zeruzaleme le njoŋ njoŋ, yo ma na, a wuraka miviŋ ngi mizlingreheye le.»","Ɓe njaabi yam: “Luttuɓe ton nder lesdi, hisɓe daheeki ɗon bee boneeji naawɗi e toskaare. Gibbe ngaɗaama haa mahol taariiŋgol Urusaliima , dammuɗe maagol ngulaama bee yiite.”","Ɓe njaabi yam: “Luttuɓe ton nder lesdi, hisɓe daheeki ɗon bee boneeji naawɗi e toskaare. Gibbe ngaɗaama haa mahol taariiŋgol Urusaliima , dammuɗe maagol ngulaama bee yiite.”","Wa tɔ̧ɔ̧ ha̧‘m: «O wi nɛ pia ɗoŋ nɛ tɛ bara pii nù kɔ-wa sɛn Palɛstin a̧a̧ ɗɔɔ bɔnɛ in foe. Garo Jerusalɛm ɔ ɗɛsɛ-ɗɛsɛ, ɓɛɛ o kpar-nú-a bia wee lɛŋ.»","Wa tɔ̧ɔ̧ ha̧‘m: «O wi nɛ pia ɗoŋ nɛ tɛ bara pii nù kɔ-wa sɛn Palɛstin a̧a̧ ɗɔɔ bɔnɛ in foe. Garo Jerusalɛm ɔ ɗɛsɛ-ɗɛsɛ, ɓɛɛ o kpar-nú-a bia wee lɛŋ.»","Ma ke hɛ zhɛnete ɗa: «Ma mbeli nyi kembele va fə nya fəhwe ŋkwa mbeli ne, mbe sla ta hɛɗia Zhəwda nzanji hɛ, ama mbe yaka nya wəba ba'a mbe hawe hɛ. Ma Zhɛrəzalɛm le ŋa ŋkɛ ne, keŋzla ŋzla kweci bela ta zlia ŋkɛ ba'a nahe gelembe nyi mɛ keteremte geva.»","Saara kal ferge ne ndi gano: Jar maga yaçaç wo le go jag dañgayn yañ mbaara wo ti prog ma Judan ni, aà wo nen ree ma kluu, soçoçre go de wuu ti ne hara lay. Kor ma ti Jerusalem go de nduë ywaale, day jag tiñn wo go de roëge de wuu lay."
NEH.1.4," Lorsque j'entendis ces choses, je m'assis et je pleurai, et je fus plusieurs jours dans le deuil. Je jeûnais et je priais devant le Dieu du ciel, en disant : ","And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,","Hay li ma nan hum yoboyn kayni, nan mus gaa'a, nan tiya, ir buur ŋolo nan ka hay yorta. Nan li laata, siɗaw vok ir Lawn ma dukalawn kaw. ","Eyoñe me nga wôʼô mejô mete, me nga tabe si a yôn, a tabʼéyôé abe melu. Me nga tyi bidi a yeʼelan asu Zambe ya yôp, ","Ya micina mingiɓi hana tuwa cin na, ya joˀ nga ruwuy ti tuwuy, hã i zik ar li like, hin mbeˀ mbeˀe. Yo i ra gi dalyam, i ra dir dibiɗ a mbuŋ Buymisemuŋ misi ar birngiŋ. ","Nde mi nani haala ka mi jooɗi, mi woyi, mi cuniiɗo nyalɗe ɗuuɗɗe, mi suumi, mi tori Allah mo asama, ","Nde mi nani haala ka mi jooɗi, mi woyi, mi cuniiɗo nyalɗe ɗuuɗɗe, mi suumi, mi tori Allah mo asama, ",__Error__,__Error__,"Ma kwa fate ghena nyighɛ 'ya ne, ntishɛ 'ya kanehwene. Kala wəndə nya mte wəndə ve 'ya kahɛ kwele kwele, kamene səwəmayɛ. Ntake 'ya kasəkwə Shala nya pelɛ ghweme, ","De maga ndi laa waçaçre sen wo mono, ndi raw hayge gesiñ, ndi ra, day ndi raw joñ naw pur nen lawge. Ndi raw heçeç bii, ndi raw tosge pel Baa ma ciñ no. "
NEH.1.5," ""Ah ! Yahweh, Dieu du ciel, Dieu grand et redoutable, vous qui gardez l'alliance et la miséricorde à l'égard de ceux qui vous aiment et qui observent vos commandements, ","And said, I beseech thee, O  Lord  God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:","Nan di'e: Hih! Ma-Vatɗina, Lawn ma dukalawna, Lawn ma ŋolla ma narta kuɗaŋ ŋolla, naŋ ma ŋom bonota hiɗi ŋaata vaŋu tam nisi sa minaŋu, sa ŋom vun-ma-gatna vaŋu,","a jô na: Héé, A Nti! Zambe ya yôp, Zambe a nʼanen a éko woñ, wo wo baʼale élat a liti mvam e be ba ba nyeʼe wo a baʼale mebendé môé! ","Yi ɓaŋ: «Aw Bumbulvuŋ, Buymisemuŋ ngir birngiŋ, ki Buymisemuŋ madiɗa, yo ki Buymisemuŋ magi zluwun da mburu. Mizli mawuɗokuw, yo majaka ɓimuɗuva ɗikey a hirnga na, ka Buymisemuŋ, ki ro ti jumoˀay ati taŋ, yo k'ada teŋteŋ avu taŋ. ","mi wi'i: “Yaa Allah Jawmiraawo mo asama, Allah mawɗo kulniiɗo! A ɗon hakkilana alkawal ma e a ɗon waɗana yiɗɓe ma e ɗowtaniiɓe umrooje ma mbooɗeeŋga. ","mi wi'i: “Yaa Allah Jawmiraawo mo asama, Allah mawɗo kulniiɗo! A ɗon hakkilana alkawal ma e a ɗon waɗana yiɗɓe ma e ɗowtaniiɓe umrooje ma mbooɗeeŋga. ",__Error__,__Error__,"ma 'ya shɛ: «Mahwətə yawe, Shala nya pelɛ ghweme, Shala nya wəba ba'a nya ghazlənə mbeli ve, nya keya jikə geva ta ŋa ba'a ganyɛa ŋa laka mbeli nyi keɗe ŋa ba'a nyi keyɛ fete yitea ghena nyi gezete na. ","Ndi day gano: O Manwuri, Baa ma ciñ no, Baa ma kluu maga aè nen heçeç moge mono, ndo maga ndo oo ti tayge jagge day ndo ko decoo jar maga da wo ndo day ëaw wo jag liñgi äon wo mono!"
NEH.1.6," que votre oreille soit attentive et que vos yeux soient ouverts, pour que vous entendiez la prière de votre serviteur, celle que je vous adresse maintenant, nuit et jour, pour vos serviteurs, les enfants d'Israël, en confessant les péchés des enfants d'Israël, ceux que nous avons commis contre vous ; car moi et la maison de mon père, nous avons péché. ","Let thine ear now be attentive, and thine eyes open, that thou mayest hear the prayer of thy servant, which I pray before thee now, day and night, for the children of Israel thy servants, and confess the sins of the children of Israel, which we have sinned against thee: both I and my father's house have sinned.","jakaŋ humaŋ jakge, mal humaŋ goy mali kaw kaw hum siɗawta vi sa ma sunda vaŋu. Nan ka siɗaw vok iraŋu wulini, falayta hiɗi henjeta, kay sa sunda sa Israyella, kay ham sulukŋa vi sa Israyella, suluk ma numa lum kataŋŋa, nanu hiɗi jafna vanu, numa li sulukawa. ","Alo dôé e tame vôʼôlô, a mise môé me tame kuiban a yalane meyeʼelan me mbo ésaé wôé. Eyoñe ji ma yeʼelan asu dôé môs baa alu, asu bone bʼIsraél, bebo bisaé bôé, a mem abé bone bʼIsraél, abé dangan bi boya wo; ma a nda bôte jam bi boya abé . ","Anja ki jiko slimiɗ, yo ki ɗuvo hiri ng'ar ya, ɓa ki cine diradibiɗ nga ya gawla ɗike takwa! Wurenna, duvuɗ ti papas gar na, i ra dir dibiɗ a mbuŋ ɗike, vur gawla ɗik Israyeleye. Mungra, ndra Israyeley mugukuw di gar na, i ra njukuw di. Ya ati dideˀ ɗuwoyo i gam mungra le avu ka. ","Useni, laar, heɗita, jaɓ tornde maccuɗo ma nde mi toroto ma hannde jemma e naaŋge ngam Isra'iila'en maccuɓe ma. Mi ɗon waŋgina hakkeeji Isra'iila'en yeeso ma. Min mbaɗi hakke dow maaɗa, min bee hoore am e yimɓe saare baaba am boo. ","Useni, laar, heɗita, jaɓ tornde maccuɗo ma nde mi toroto ma hannde jemma e naaŋge ngam Isra'iila'en maccuɓe ma. Mi ɗon waŋgina hakkeeji Isra'iila'en yeeso ma. Min mbaɗi hakke dow maaɗa, min bee hoore am e yimɓe saare baaba am boo. ","Ɛ̀nɛ̀ yéŋ zer'nɛ́, ɛ̀nɛ̀ hú̧í̧ yí‘nɛ́, ɓɛɛ ɛ̀nɛ̀ zíí kɔfa-sɔ̧ ko wi-de-tom k’ɛ́nɛ́. Zɛ nɛ wese mi ai nɛ nú h’ɛ́nɛ́ wen zu o be  Israɛl , o wi-de-tom k’ɛ́nɛ́. Mi gbar nɛ ɗaŋmɔ kɔ-wa nɛ wa dee in'nɛ̀ɛ́. Mi in o bíí nutua ko dáà kɔ‘m, ɛɛ dee ɗaŋmɔ. ","Ɛ̀nɛ̀ yéŋ zer'nɛ́, ɛ̀nɛ̀ hú̧í̧ yí‘nɛ́, ɓɛɛ ɛ̀nɛ̀ zíí kɔfa-sɔ̧ ko wi-de-tom k’ɛ́nɛ́. Zɛ nɛ wese mi ai nɛ nú h’ɛ́nɛ́ wen zu o be  Israɛl , o wi-de-tom k’ɛ́nɛ́. Mi gbar nɛ ɗaŋmɔ kɔ-wa nɛ wa dee in'nɛ̀ɛ́. Mi in o bíí nutua ko dáà kɔ‘m, ɛɛ dee ɗaŋmɔ. ","Zhɛrete kema ta ŋa laka 'ya, fate ndeɗekə, fa səkwə nya səkwə ŋa 'ya tsetsenya, 'ya nya kande mene ŋa slene. Veci le viɗi səkwə ŋa 'ya yitea ghen'yɛ ka Israyɛl, ka mene ŋa slene. Kasəkwə 'ya va gha kezha kelemte fete nyi menete ŋa ghen'yɛ na te wənə. E'e, 'ya le ghəa ɗa le ka shihɛ ɗa, nahe ghen'yɛ kemenete jaɗafa. ","Daga ndo mo co'o sugi, day nen äo mo bul wo go ma yiñ jag ti tosge mani weejoçoç äo no. Ndi tos patala pel äo de suñ lay, de ceeg lay ti jar Israyel weere joçoçre äon wo, ndi de wii fuggi äil ti älagge jar Israyeln wo, ti älagge wuur maga wuur joñ ra see äo mono, wuur de jar ni äi wuur hay joñ älagge. "
NEH.1.7," Nous avons très mal agi envers vous, nous n'avons pas observé les commandements, les lois et les ordonnances que vous avez prescrits à Moïse, votre serviteur. ","We have dealt very corruptly against thee, and have not kept the commandments, nor the statutes, nor the judgments, which thou commandedst thy servant Moses.","Numa li law joowa kataŋu gasiya, vun-ma-gatna hiɗi ɗota, hiɗi dita vaŋu ta naŋ vulmat hay ɓam Musus sa ma sunda vaŋu numa min li kuɗa'ɗi. ","Bi boya foʼo wo abé , a bi nji ke baʼale mebendé, memvinda a minjôan ô nga ve Môze, mbo ésaé wôé. ","Kay, i gukuw gwat ngi ji mevel le gisiŋ gisiŋ, yo ɓimuɗuva ati ɓimujuwa waɗ ɓi ngi sirik ɗikey, ka muvula taŋ da gawla ɗik Moyis na, ko i jaka taŋ kaw le a hirnga ta. ","Min mbaɗi kalluɗum masin dow maaɗa, min ɗowtanaaki farillaaji e umrooje e kiitaaji ɗi umruɗa jaggiiɗo ma Muusa. ","Min mbaɗi kalluɗum masin dow maaɗa, min ɗowtanaaki farillaaji e umrooje e kiitaaji ɗi umruɗa jaggiiɗo ma Muusa. ","Nɛ mbetɛ, ɛɛ tu̧u̧ see'nɛ́, ɓɛɛ ɛɛ kasi o  ha̧a̧nú , o geŋa in o yuwar duka-a k’ɛ́nɛ́ n’ɛnɛ ha̧a̧ so ha̧ wi-de-tom k’ɛ́nɛ́ Moisɛ na. ","Nɛ mbetɛ, ɛɛ tu̧u̧ see'nɛ́, ɓɛɛ ɛɛ kasi o  ha̧a̧nú , o geŋa in o yuwar duka-a k’ɛ́nɛ́ n’ɛnɛ ha̧a̧ so ha̧ wi-de-tom k’ɛ́nɛ́ Moisɛ na. ","Nahe ghen'yɛ kebezemte ŋa ghena le yɛma fete yitea ghena nyi gezete na, yitea wəshi mahalegə ba'a wəshi keshi nyi ndeke n'yɛ na laka nde mene slene ta ŋa Moyize. ","Cwaçy, wuur joñ fen ma bay ngar go see äo, day wuur hoo sug ti jag liñgi äon wo gaa, ti waçaçre ma de yergen wo de jag liñgi ma äod faage waçaçre maga ndo hay haç ra ne Moyis weejoçoç äon wo mo gaa lay. "
NEH.1.8," Souvenez-vous de la parole que vous avez ordonné à Moïse, votre serviteur, de prononcer, en disant : Si vous transgressez mes préceptes, je vous disperserai parmi les peuples ; ","Remember, I beseech thee, the word that thou commandedst thy servant Moses, saying, If ye transgress, I will scatter you abroad among the nations:","Humaŋ ma gaŋ kay yoboy namna ma naŋ ɗom hay ɓam Musus sa ma sunda vaŋu ala: La nigi muɗawa bay-ɗigere, nan ma mergi goy jar jaf-sumuna; ","Simesaʼane mejô ô nga kobô Môze, mbo ésaé wôé na: Eyoñe mia ye bo bijabô, ma ye mialane mia e meyoñ été. ","Mingiɓi ɗik, ka mupula jiviɗ naŋ da gawla ɗik Moyis miɓa na, wulka keŋ takwa, asi a ɓi zleˀe na: ‹Da ki cifam teŋteŋ avu ya ta na, naɓa yi sa zliɗukum hirnga mber mber nga wuzla sukwi ngi mizli. ","Useni, siftor wolde nde umruɗa jaggiiɗo ma Muusa. A wi'i mo: To on zammbake yam, mi saŋkitan on nder ummaatooje . ","Useni, siftor wolde nde umruɗa jaggiiɗo ma Muusa. A wi'i mo: To on zammbake yam, mi saŋkitan on nder ummaatooje . ","Tɛ‘nɛ́ a̧ mbáŋ ɗoŋ wen nɛ Moisɛ wi-de-tom k’ɛ́nɛ́ tɔ̧ɔ̧ so nɛ ɗoŋ  ha̧a̧nú  k’ɛ́nɛ́ hee mɔ'ɔ ga’ɛ: ‹K’ɛ̀nɛ̀ dé ŋgazu, mi tɛ pɛsi'nɛ́ dam mgbara o dukbíí.  ","Tɛ‘nɛ́ a̧ mbáŋ ɗoŋ wen nɛ Moisɛ wi-de-tom k’ɛ́nɛ́ tɔ̧ɔ̧ so nɛ ɗoŋ  ha̧a̧nú  k’ɛ́nɛ́ hee mɔ'ɔ ga’ɛ: ‹K’ɛ̀nɛ̀ dé ŋgazu, mi tɛ pɛsi'nɛ́ dam mgbara o dukbíí.  ","Zəzəte ghena nyi kese va gha nyi gezave n'yɛ Moyize: Ma keɗema yɛ fa ɗa ghena ne, katetaze ŋayɛ 'ya dzeyi hwa kweci hwelefefi. ","Fer ëig ti ti waçaçre maga ndo hay yern go ne Moyis weejoçoç äon mono, ndo hay waçaç ne wuur gano: Hayga nday see wee de deele gaa no, ndi dus gi nday yañ wo go yoo wer jar wo ra. "
NEH.1.9," mais si vous revenez à moi, et si vous observez mes commandements et les mettez en pratique, alors même que vos exilés seraient à l'extrémité du ciel, de là je les rassemblerai et je les ramènerai dans le lieu que j'ai choisi pour y faire habiter mon nom. ","But if ye turn unto me, and keep my commandments, and do them; though there were of you cast out unto the uttermost part of the heaven, yet will I gather them from thence, and will bring them unto the place that I have chosen to set my name there.","may la nigi hotay katanu, la nigi ŋom vun-ma-gatna vanu li kuɗumu kaw, hay na'ta la nigi digiɗiys goyo hay vun dabaŋ-gu'ta vi nagata pa kaw, ɗawni pa nan ma tokgi yigiya, nan ma hotgiyaya hay liyn ma nan tun semda van hayna. ","Ve nge mia beta bulan e be ma, a baʼale mebendé mam, a bo me, éyoñe te ñhe ma ye kôane mia, jaʼana mi nga wuaban e fé a kui e susuʼa yôp, a ma ye bulane mia e vôme nyô me nga tobe na jôé dam da ye tabe. ","Amma da ki ra moko ng'avi ya, ɓimuɗuvahay, ki ra jaka taŋ a hirnga, ki ra gam taŋ slra na, naɓa ko da a hilaka mizli kumoyo le nga ruwuy mulak, a ram taŋ le nga ruwuy mira kiɗo mi tekede kwana, yi sa cikilo hirnga taŋ, i sa mo taŋ cummo ng'ar li ya muwuna, ɓa i ndir a diga na si.› ","Ammaa to on lortake haa am, to on ɗowtanake umrooje am, nden kam mi mooɓtan saŋkitaaɓe mooɗon koo haa keeri duniyaaru fuu, mi hooran ɓe haa nokkuure nde cuɓmi ngam tabitingo innde am ton. – ","Ammaa to on lortake haa am, to on ɗowtanake umrooje am, nden kam mi mooɓtan saŋkitaaɓe mooɗon koo haa keeri duniyaaru fuu, mi hooran ɓe haa nokkuure nde cuɓmi ngam tabitingo innde am ton. – ","Ɓɛɛ k’ɛ̀nɛ̀ píí ɗoŋ tɛ‘m, k’ɛ̀nɛ̀ kásí o geŋa kɔ‘m de nɛ tom, kóó wa kaia so'nɛ́ nɛ̀ bara hɔ ndaa-zan, mi tɛ mɔi̧‘nɛ pii ɗoŋ sɛn fara n'am hoka so ha̧ nin-am mɛ duk sɛnɛ.›","Ɓɛɛ k’ɛ̀nɛ̀ píí ɗoŋ tɛ‘m, k’ɛ̀nɛ̀ kásí o geŋa kɔ‘m de nɛ tom, kóó wa kaia so'nɛ́ nɛ̀ bara hɔ ndaa-zan, mi tɛ mɔi̧‘nɛ pii ɗoŋ sɛn fara n'am hoka so ha̧ nin-am mɛ duk sɛnɛ.›","Ama kwa sebe ta ŋkɛ, kezhɛreke geva yɛ kase sha 'ya, kayate ghena nyi gezete 'ya yɛ ba'a kemenete slene le hɛ ne, katelə 'ya kazele ŋayɛ ba'a katezhɛne ŋayɛ 'ya kase kadzete ŋkwa nya ntave 'ya kezha ncɛ nza ta ɗa, ya tsemanyɛ fəghe ŋayɛ mbeli pa te ŋkwa nya zhigə hɛɗi. ","Ama, hayga nday fer we le see äi, nday ëaw jag liñgi äin wo we, day nday joñ joñre we de äaara no, ko nday mo hay ba wo go de welge ti jag sir tawge yaw, ndi tay ge ti äay yañ le ni, day ndi fer yañ le de äay ti ngeel maga ndi hay ban ma ra ëu äi ni mono. "
NEH.1.10," Ils sont vos serviteurs et votre peuple, que vous avez rachetés par votre grande puissance et par votre main forte. ","Now these are thy servants and thy people, whom thou hast redeemed by thy great power, and by thy strong hand.","Nisiya si sa sunda vaŋu hiɗi sumuna vaŋu, sa naŋ butsiyay goyo hiɗi donota vaŋ ta nolda, hiɗi ɓaŋ ma donona. ","Be ne bebo bisaé bôé a e bôte bôé ô nga kôté a beta ngule wôé, a wo wôé ô nʼéwôlô. ","Taŋ i gawla ɗikey, yo i sukwi ɗik ka mumbuɗo hirnga taŋ ti gidaŋ ɗik mihaɗa waɗ ti haŋ ɗik musolok na. ",Ɓe maccuɓe ma e ummaatoore ma. A sootti ɓe bee baawɗe ma mawɗe e juŋngo ma semmbiɗŋgo. ,Ɓe maccuɓe ma e ummaatoore ma. A sootti ɓe bee baawɗe ma mawɗe e juŋngo ma semmbiɗŋgo. ,«Wa nɛ́ o wi-de-tom k’ɛ́nɛ́ in dukbíí k’ɛ́nɛ́ n’ɛnɛ gɔna zu wa nɛ gasa ŋgai k’ɛ́nɛ́ in ŋgai mɛ te-er'nɛ́. ,«Wa nɛ́ o wi-de-tom k’ɛ́nɛ́ in dukbíí k’ɛ́nɛ́ n’ɛnɛ gɔna zu wa nɛ gasa ŋgai k’ɛ́nɛ́ in ŋgai mɛ te-er'nɛ́. ,"Mahwətə, ka mene slene ta ŋa ghen'yɛ, mbelia ŋa n'yɛ! Ghen'yɛ yambeleke na laka berete ta ŋa nya wəba ba'a laka berete ta dzeve ta ŋa. ","Jar Israyel wo diñ weere joçoçre äo, aà wo diñ jar mani äo maga ndo hay yaçaç ra le go de eegre äo ma debañ no, de do äo ma de eegren mono. "
