livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
NUM.1.1," Yahweh parla à Moïse au désert de Sinaï, dans la tente de réunion, le premier jour du second mois, la deuxième année après leur sortie du pays d’Égypte, en disant : ","And the  Lord  spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,","Ma-Vatɗina di tam Musus hay fulda vi Sinay, hay guɗuk ma fi-tuwna, hay buurta jewta vi til ma ma'na, hay busata ma'ta bugol kalta visi ay goy hay Egipte. ","Nti a nga kobô Môze e nkôte si ya Sinayi, e nda éndelé bendôbaʼan été, e ngone baa alu da ya nkôlane wobe yʼEjipte, a jô nye na: ","A wuzlaɓuh mikirɗak kirɗaka, Bumbulvuŋ a ɓa ɓi da Moyis ar guɗuk ngi zlir ti naŋ. Tapasa i hin mudumbuŋ ngi kiya mucuw naŋ, naɓa Israyeley muboko ti ruwuy Ezipte na, a gam le vi cuw si. Bumbulvuŋ a ɓaŋ na: ","Nder nduuɓu ɗiɗaɓu ɓaawo gurtaaki Isra'iila'en diga lesdi Misra, lewru ɗiɗaɓru, nyannde go'oore maaru, Jawmiraawo wolwani Muusa nder laymaaru fottirde haa ladde hamaadaare Sina. O wi'i: ","Nder nduuɓu ɗiɗaɓu ɓaawo gurtaaki Isra'iila'en diga lesdi Misra, lewru ɗiɗaɓru, nyannde go'oore maaru, Jawmiraawo wolwani Muusa nder laymaaru fottirde haa ladde hamaadaare Sina. O wi'i: ","GASA WAN tɔ̧ɔ̧ wen ha̧ Moisɛ sɛn ŋga-gbárà Sinai kɔ̧  Tua-kpa-ŋmaa  tɛ kuti wese tɛ yiitoo fio-zɛ ɗoŋ gboa-a nɛ Egiptɛ, ká dee pɛ yiitoo kaɗi. A̧ tɔ̧a̧:  ","GASA WAN tɔ̧ɔ̧ wen ha̧ Moisɛ sɛn ŋga-gbárà Sinai kɔ̧  Tua-kpa-ŋmaa  tɛ kuti wese tɛ yiitoo fio-zɛ ɗoŋ gboa-a nɛ Egiptɛ, ká dee pɛ yiitoo kaɗi. A̧ tɔ̧a̧:  ","Pa Mahwətə gezete nda ghena ke Moyize mbe cɛ lekwesa kebegeme geva, te ɓerama ta Sinay te kwa ghate ta hɛ mbe tere kwa bake, mbe kwa bake ta va kwa sebe ta shave ta nci mbe Ɛzhipte. Ma ke shɛ: ","Manwur kal fer waçaçre ne Moyis ti puuli ma Sinay äil Tiñ Yiñgi de Baan wur naw ma tañgun nen few ma de äog no, nen kiñgi ma de äogn blam laage äaara le go Ejipte mono. "
NUM.1.2," « Faites le compte de toute l’assemblée des enfants d’Israël, selon leurs familles, selon leurs maisons patriarcales, en comptant par tête le nom de tous les mâles ","Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;","Nam di'e: Nigi ma li ŋaɓta vi vokŋa vi gurona vi Israyel kafe, kuɗ vuɗna visiya visiya, kuɗ ziyna vi sumaysiya, ŋaɓ semda vi sa jufayn goy kisi kafe. ",Boʼok élañe bôte bese yʼIsraél avale meyoñ a menda me bôte map me né; bôte bese ba ye lañeban wua wua. ,"«Kum ati Aroŋ, kisa slufaka jum ngi Israyeleye vur sukwi vur sukwi, vur wazlaray vur wazlaray. Ki sa slufaka slimiɗ ngi mizli mizileheye purla purla gar. ",__Error__,__Error__,«Ɛ̀nɛ̀ tɔ́r nin o wiwii dam lɛŋ. ,«Ɛ̀nɛ̀ tɔ́r nin o wiwii dam lɛŋ. ,"«Ma gha le Aron ne, ɓelate mə pɛtɛa ka Israyɛl, keyita keyita ba'a keghɛ keghɛ. Katerafe sləa zhili yɛ pɛtɛ, kwetɛ kwetɛ. ","AÀ ga: Kee wee ngaäa tayge weere Israyel wo ti moobe äaara, liñ ni pan äaara, wosela äuy maga tware day go caw nen durgi mono. "
NUM.1.3," depuis l’âge de vingt ans et au-dessus, tous les hommes aptes à porter les armes en Israël ; vous en ferez le dénombrement selon leurs troupes, toi et Aaron. ","From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.","Tun caw tam busat dok-ma' ta-ta kulo kalam ɗaw, sum sa Israyel kaf sa asay kay ziy sle ma duura; naŋu hiɗi Aaron nigi ma li ŋaɓta visi kuɗ vokŋa visiya visiya. ","Mia Aron mia ye lañe bôte bese yʼIsraél be ne nyoñe biôme mewosan, ataté ba be ne mimbu mewôm mebaé a kui ba ba lôte valé, avalʼane minkane bita miap mi né. ","Slufaka ziley misi vi kukur cuw hã nga mbuŋ, mindilaka le ngi gi soje asi ruwuy Israyele. Slufaka taŋ ti ngay taŋ ti ngay taŋ. ",__Error__,__Error__,"Ɛ̀nɛ̀ tɔ́r o be  Israɛl  nɛ a̧a̧ nɛ pɛ ɓu-yiitoo in wan nɛ gana pɛ ɓu-yiitoo mbɛt nɛ nyɛma mɛ bi biro nyɛm nɛ ɗoŋ duk-wi-biro. Ɛ̀nɛ̀ tɔ́r wa, mɛ in Arɔŋ. ","Ɛ̀nɛ̀ tɔ́r o be  Israɛl  nɛ a̧a̧ nɛ pɛ ɓu-yiitoo in wan nɛ gana pɛ ɓu-yiitoo mbɛt nɛ nyɛma mɛ bi biro nyɛm nɛ ɗoŋ duk-wi-biro. Ɛ̀nɛ̀ tɔ́r wa, mɛ in Arɔŋ. ","Ɓelate mə pɛtɛa zhili nyi nza va ta nci se te va bakemsə kajive mbe kema, nyi kenza wərə kadzemte mpa hwa ka sewajɛa ka Israyɛl. Ma gha le Aron ne, rafete mə sləa nci kewəvəsə kewəvəsəa ka sewajɛ. ","Tï¡ï¡ wer ti kiñgi kaawa' raw wo ciñ, je Israyel maga go nen durgi mono, nday joñ ge nen kee rage de AÈron go ti carge äil äaara taë taëe. "
NUM.1.4," Il y aura avec vous un homme de chaque tribu, chef de sa maison patriarcale. ",And with you there shall be a man of every tribe; every one head of the house of his fathers.,Vuɗn kaf nigi ma tap sa ma ŋolla valam kuɗgi kep kep. Sa ma ŋol kuɗ jafna vi bulumna. ,"Mia be môte wua ya ayoñ ese mia ye bo ésaé, môt ate a too évete ya nda bôte jé. ",Wuɗam buy ngi hay pal angi sukwi tiɗeˀe gar ngi jini kumo. ,Haa lenyol fuu baaba-saare gooto wallan on. ,Haa lenyol fuu baaba-saare gooto wallan on. ,Gasawi tɛ zuduk kpɔk kpɔk nɛ̀ dúk nɛ́ gasawi nutua tɛ duk in'nɛ̀ɛ́. ,Gasawi tɛ zuduk kpɔk kpɔk nɛ̀ dúk nɛ́ gasawi nutua tɛ duk in'nɛ̀ɛ́. ,Katenza wəndə nya te ghəa yayata yita yitea gheyɛ. ,"Nday baa ge jobo boñ ti äï¡ï¡ni ma honla äuy, je ma pel ti feele mani paçaçre äaaran wo no."
NUM.1.5," Voici les noms de ceux qui se tiendront avec vous : Pour Ruben : Elisur, fils de Sédéur ; ",And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,"Kayni mi semda vi sum sa tap hiɗi nigin ɗawni: Hay jafna vi Ruben: Elisur, goora vi Sedewur,",Biyôlé ya bôte mia be be mia ye bo ésaé mbie bi: mfaʼa Ruben: Elisur e mone Sédéur;,"Slimiɗ ngi mizli masa junukumo, t'ani: Ar sukwi ngi Rubene, i Elisur mangal ngi Sedewur. ","Ndaa inɗe wallanɓe on: Nder lenyol Ruben, Elicuru ɓii Sedewur. ","Ndaa inɗe wallanɓe on: Nder lenyol Ruben, Elicuru ɓii Sedewur. ","Nin o wi nɛ tɛ gbak'nɛ́ nɛ mɔ'ɔ: zuduk ko Rubɛn nɛ Elisur, bem ko Sedeur. ","Nin o wi nɛ tɛ gbak'nɛ́ nɛ mɔ'ɔ: zuduk ko Rubɛn nɛ Elisur, bem ko Sedeur. ","Wa nyi sləa mbeli nyi ketenza yitea gheyɛ nyi: ma kwa yita ta Rəbɛn ne, Ɛlisəwr, wəzege ta Shedɛwər.","Mokay diñ ëu jar maga lag ge wo see äay ni mono. Ma Ruben: Diñ Elitsur, je ni Sedewur no,"
NUM.1.6," pour Siméon, Salamiel, fils de Surisaddaï ; ",Of Simeon; Shelumiel the son of Zurishaddai.,"hay jafna vi Simeyon: Selumiyel, goora vi Suriskaday;","Mfaʼa Siméon: Selumiél, e mone Surisadayi;","Ar sukwi ngi Simeyoŋ: i Selumiyel mangal ngi Surisaday, ","Nder lenyol Simeyon, Selumiyel ɓii Curisadday. ","Nder lenyol Simeyon, Selumiyel ɓii Curisadday. ","Ko Simɛɔŋ nɛ Selumiɛl, bem ko Surisadai. ","Ko Simɛɔŋ nɛ Selumiɛl, bem ko Surisadai. ","Ma kwa yita ta Simɛyon ne, Sheləwmiyɛl, wəzege ta Səwrishaday.","Ma Simeyoñ: Diñ Selumiyel, je ni Surisadday no,"
NUM.1.7," pour Juda : Nahasson, fils d’Aminadab ; ",Of Judah; Nahshon the son of Amminadab.,"hay jafna vi Yuda: Nahson, goora vi Aminadab;",Mfaʼa Yuda: Nason e mone Aminadab;,"ar sukwi ngi Zuda: i Nasoŋ mangal ngi Aminadap, ","Nder lenyol Yahuuda, Nahasunu ɓii Amminadabu. ","Nder lenyol Yahuuda, Nahasunu ɓii Amminadabu. ","Ko Juda nɛ Nasɔŋ, bem ko Aminadab. ","Ko Juda nɛ Nasɔŋ, bem ko Aminadab. ","Ma kwa yita ta Zhəwda ne, Nashon, wəzege ta Aminadab.","Ma Juda: Diñ Nakson, je ni Amminadab no,"
NUM.1.8," pour Issachar : Nathanaël, fils de Suar ; ",Of Issachar; Nethaneel the son of Zuar.,hay jafna vi Isakar: Netaneel goora vi Suwar:,"Mfaʼa Isakar: Netaniél, e mone Suar;","ar sukwi ngi Isakara: i Netaneyel mangal ngi Suwar, ","Nder lenyol Issakar, Netaneyel ɓii Cu'ar. ","Nder lenyol Issakar, Netaneyel ɓii Cu'ar. ","Ko Isakar nɛ Nɛtanɛl, bem ko Suar. ","Ko Isakar nɛ Nɛtanɛl, bem ko Suar. ","Ma kwa yita ta Isakar ne, Netanɛyɛl, wəzege ta Səwar.","Ma Isakar: Diñ Netanaeel, je ni Suwar no,"
NUM.1.9," pour Zabulon : Eliab, fils de Hélon ; ",Of Zebulun; Eliab the son of Helon.,"Hay jafna vi Zabulon: Eliyab, goora vi Helon;",Mfaʼa Zabuloñ: Eliab e mone Elôn;,"ar sukwi ngi Zabuloŋ: i Eliyap mangal ngi Heloŋ, ","Nder lenyol Zabulon, Eliyabu ɓii Helon. ","Nder lenyol Zabulon, Eliyabu ɓii Helon. ","Ko Zabulɔŋ nɛ Eliab, bem ko Elɔŋ. ","Ko Zabulɔŋ nɛ Eliab, bem ko Elɔŋ. ","Ma kwa yita ta Zabəlon ne, Ɛliyab, wəzege ta Hɛlon.","Ma Sabulon: Diñ Eliyab, je ni Helon no,"
NUM.1.10," pour les fils de Joseph, pour Ephraïm : Elisama, fils d’Ammiud ; pour Manassé : Gamaliel, fils de Phadassur ; ",Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,"hay jafna vi gurona vi Yosef, hiɗi gurona vi Efrayim: Elisama, goora vi Amihud; hay jafna vi Manase: Gamliyel, goora vi Pedatsur;","Mfaʼa bone be Yôsep: e be Efrayim: Elisama, e mone Amihud; e be Manasé: Gamliél e mone Rédasur;","ar sukwi ngi Efrayime, mangal ngi Zozef: i Elisama, mangal ngi Amihuɗ, ar sukwi ngi Manase mangal ngi Zozefe: i Gamliyel mangal ngi Pedasur, ","Nder lenyol Efrayim ɓii Yusufu, Eliisama ɓii Ammihudu e haa lenyol Manassa boo, Gamaliyel ɓii Pedacuru. ","Nder lenyol Efrayim ɓii Yusufu, Eliisama ɓii Ammihudu e haa lenyol Manassa boo, Gamaliyel ɓii Pedacuru. ","Ko o bem ko Jozɛf in o bem ko Efraim nɛ Elisama, bem ko Amihud; ko bem ko Manase nɛ Gamaliɛl, bem ko Pedasur. ","Ko o bem ko Jozɛf in o bem ko Efraim nɛ Elisama, bem ko Amihud; ko bem ko Manase nɛ Gamaliɛl, bem ko Pedasur. ","Ma kwa yita ta Ɛfrayim, wəzege ta Zhozɛf ne, Ɛlishama, wəzege ta Amihəwd. Ma kwa yita ta Manasɛ, wəzege ta Zhozɛf ne, Gamliyɛl, wəzege ta pedasəwr.","Ma jar ni Josef wo, ma Efrayim: Diñ Elisama, je ni Ammihud no. Ma Manase: Diñ Gamliyel, je ni Pedatsur no,"
