livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
OBA.1.1," Vision d'Abdias. Ainsi a dit le Seigneur Yahweh à Edom : – Nous avons reçu de Yahweh un message, et un héraut a été envoyé parmi les nations : "" Debout ! Levons-nous contre lui pour combattre ! "" –","The vision of Obadiah. Thus saith the Lord  God  concerning Edom; We have heard a rumour from the  Lord , and an ambassador is sent among the heathen, Arise ye, and let us rise up against her in battle.","Abdiyas di kay slen ma min li'e: Kayni mi va ma Bum-Sumuna Lawna di'e tam nagata Edom: Numa hum labara ma may goy vi Ma-Vatɗina pa, sa ma sunda nam gumi jar sumuna; nam di'e: Fokgi kulo'o, yaway kulo'o! Tuɗay mokay nagata Edom kay dura'a!","Nyenane Abdias. Avale di nde Zambe, Nyô a ne Nti, a kobô Edom: bi nyoñeya foé é soʼo be Nti, nlôman ô lômbaneya be meyoñ : kôlaʼane si! Nkôlaʼane si, bi tebe Edom e ngame yat, asu ya wosane nye!","Abdiyas mupur gwat ti kleŋ. Bumbulvuŋ, Buymisemuŋ a ɓi ani vur hirwuy Edomo: I cinam labara le, i labara muso ti vu Bumbulvuŋ. Asi a slin le ng'avu sukwi ngi mizli, a ɓi: «Akum kutum, i ra zlaka hirwuy Edomo ngi kiɗa vu!»","Ndaa ko Jawmiraawo Allah waŋginani Obadiya dow Edoom. Min nani koŋngol iwŋgol haa Jawmiraawo, nelaaɗo boo nelaama ngam yahrango ngol ummaatooje goɗɗe: “Umme, en kaɓa bee Edoom!” ","Ndaa ko Jawmiraawo Allah waŋginani Obadiya dow Edoom. Min nani koŋngol iwŋgol haa Jawmiraawo, nelaaɗo boo nelaama ngam yahrango ngol ummaatooje goɗɗe: “Umme, en kaɓa bee Edoom!” ","Ɛ̧ɛ̧ nɛ hɔɔ-zu nɛ GASA WAN hɔɔ ha̧ Abdias, tɔ̧ nɛ ŋga wen a zu dukbíí Edɔm. Tom nɛ tɛ̀ɛ́ nɛ tɛ GASA WAN, nɛ ŋma betom baa tɛnɛ ha̧ o tugun bíí n’ɛɛ zia nɛ mɔ'ɔ: «Ɛ̀nɛ̀ kúr ɛ̀nɛ̀ tík ye Edɔm nɛ biro!","Ɛ̧ɛ̧ nɛ hɔɔ-zu nɛ GASA WAN hɔɔ ha̧ Abdias, tɔ̧ nɛ ŋga wen a zu dukbíí Edɔm. Tom nɛ tɛ̀ɛ́ nɛ tɛ GASA WAN, nɛ ŋma betom baa tɛnɛ ha̧ o tugun bíí n’ɛɛ zia nɛ mɔ'ɔ: «Ɛ̀nɛ̀ kúr ɛ̀nɛ̀ tík ye Edɔm nɛ biro!","Wəsə nya nakɛ Abdiyas laka kelɛŋə. Ma ke Shala Mahwətə gezete n'yɛ ghena nya keleghe nda nde ghwene ta Mahwətə ke hwelefefi te ghəa Ɛdom: «Sate mə te ŋkwa, have nda ɓəmə mpa ke Ɛdom!»","Waçaçre mani Abdiyas mokayn diñ waçaçre maga Wañkluu Manwur waçaçn ti Edom mono: Wuur hay laa waçaçre po maga a le jag Manwuri, day aè hay äo' jobo rañ wer jar wo ra. Pud wee go ciñ! Naa see wee ma woge dur Edom."
OBA.1.2," Voici que je t'ai rendu petit parmi les nations, tu es l'objet du plus grand mépris.","Behold, I have made thee small among the heathen: thou art greatly despised.","Duwgiya nan min muɗgi guroyo jar jaf-sumuna, nigi ma muɗ ɗawn kir sumun bisi.","Tame yen, me boya wo tyôtyoé meyoñ été, o ntoo jôme ékpweʼele ja dañ.","Buymisemuŋ a ɓi: «Yawwa Edom, i wuɗ i tiri ti ka sukwi meciɗek a wuzla sukwi mekelemeye. Mizli a sa hirsukuw putuk wãˀ.","Jawmiraawo wi'i yimɓe Edoom: “Mi leestinan on caka ummaatooje, on laatoto meeriɗinaaɓe masin. ","Jawmiraawo wi'i yimɓe Edoom: “Mi leestinan on caka ummaatooje, on laatoto meeriɗinaaɓe masin. ","Edɔm, mi tɛ de ha̧ mɛ mɛ duk nɛ ziɓa-wi mgbara o tugun bíí lɛŋ; o bíí tɛ zɔk mɛ hee geemɔ ga.","Edɔm, mi tɛ de ha̧ mɛ mɛ duk nɛ ziɓa-wi mgbara o tugun bíí lɛŋ; o bíí tɛ zɔk mɛ hee geemɔ ga.","Ma ke Shala gezete: «Ɛdom, 'ya katezhɛre ŋa ɓɛhwɛ hwa hwelefefi. Pɛtɛa mbeli kateɓelama ŋa.","Koëa la, ndi kol ge ndo yañ go klee yoo wer jar wo ra, ndo kol ge yañ diñ fen feg ti debañ."
OBA.1.3," La fierté de ton coeur t'a égaré ! Lui qui habite dans des creux de rochers, dont les hauteurs sont la demeure, il dit dans son coeur : "" Qui me fera descendre à terre ? ""","The pride of thine heart hath deceived thee, thou that dwellest in the clefts of the rock, whose habitation is high; that saith in his heart, Who shall bring me down to the ground?","Subur-tuwta vi dikgi viygiyawa goyo, nigi ma li ziy jar holokŋa vi hiɗiyna, sa lakay kulo kay yam-hiɗiyna, sa di jar-tuwgi ala zutma gaa ɗawn gigena.","Mebune ya nleme wôé me duʼuya wo, wo ô too e mimbane ya mekoʼo été, wo étabaʼa jôé é ne mbetane yôp, a jô womiene na: za a ye sili ma a kui si?","Maguw gilaw i huhumo vu ɗik na, ki ndir kulaˀ ar butumoy, yo ki hin tup ar li miɗingirey, joˀ ki wuluk, ki ɓi na: «Masa pi ti ya sar nga ruwuy i wa maka?»","Mawnitaare ɓerɗe mon zammbake on, onon jooɗiiɓe nder gaaruuji kooseeje e haa nokkuuje towɗe. Ngam man mbi'oton: Moy jippinta min haa lesdi? ","Mawnitaare ɓerɗe mon zammbake on, onon jooɗiiɓe nder gaaruuji kooseeje e haa nokkuuje towɗe. Ngam man mbi'oton: Moy jippinta min haa lesdi? ","Nɛ́ ŋmaŋa-tɛ kɔ-mɛ a̧ ɔra mɛ, mɛ wi ɔ kɔ̧ ta’ɛ. Mɛ́ nɛ̀ ɔ nɛ zu o gasa kaya, ɓɛɛ nɛ̀ ta nɛ kɔ̧ see-mɛ‘e, nɛ́ o'o tɛ fo wi pi̧ mbɔɗɔnu o nde’ɛ.","Nɛ́ ŋmaŋa-tɛ kɔ-mɛ a̧ ɔra mɛ, mɛ wi ɔ kɔ̧ ta’ɛ. Mɛ́ nɛ̀ ɔ nɛ zu o gasa kaya, ɓɛɛ nɛ̀ ta nɛ kɔ̧ see-mɛ‘e, nɛ́ o'o tɛ fo wi pi̧ mbɔɗɔnu o nde’ɛ.","Kele ghə ta ŋa nde ghwete ŋa, gha nya kenza kwelɛ perawe ta gela ba'a nya kenza pelɛ ghəa ŋkwa. Ma pa na sha zəzə: ‹Wa nde nza kakelakawa ɗa wa?›","Ma'ge jag jiili äon hay yee mo go, ndo maga ndo le äi rum huuli, ndo maga le de hayle ciñ haçaç, ndo maga ndo de ëiggi ga wose srog ge ndo yañ le go gesiñ la mono."
OBA.1.4," Quand tu t'élèverais aussi haut que l'aigle, que tu placerais ton aire parmi les étoiles, je t'en ferais descendre, – oracle de Yahweh.","Though thou exalt thyself as the eagle, and though thou set thy nest among the stars, thence will I bring thee down, saith the  Lord .","La nigi tun ziyna vigi kulo gine'e suw tokosayna vi bakŋa kaw, la tunum migi kulo jar mislekŋa kaw, nan ma zutgi gaa'a. Din mi Ma-Vatɗina.","Toʼo wo bete yôp ane ndôé, toʼo dumbaʼa dôé e ne nlôñan e vôm ateté e né, ma ye koé wo wé, nalé Nti a jô.","Ko da ki ru le sindik nga muŋ kaɓa kurom, ɓa ki ɗiya hay ɗik ngi ki tesle a wuzla wurzlaŋhay tekeɗe kwana, yi sa pu haŋ nga ruwuy na si. I ya Bumbulvuŋ maɓi.","Koo to on towti bana dutal, koo to saɓɓo mooɗon ɗon caka koode, mi jippinan on diga ton.” Nii Jawmiraawo wi'i.","Koo to on towti bana dutal, koo to saɓɓo mooɗon ɗon caka koode, mi jippinan on diga ton.” Nii Jawmiraawo wi'i.","Kóó mɛ bu̧i̧a so nɛ kusa-a hee zua ga, ha̧ mɛ mɛ e yaa kɔ-mɛ mgbara o sɔra ŋgɔn mɛ, mi tɛ fo mɛ pi̧ mbɔɗɔnu. Nɛ GASA WAN a̧ tɔ̧ wen’ɛ.","Kóó mɛ bu̧i̧a so nɛ kusa-a hee zua ga, ha̧ mɛ mɛ e yaa kɔ-mɛ mgbara o sɔra ŋgɔn mɛ, mi tɛ fo mɛ pi̧ mbɔɗɔnu. Nɛ GASA WAN a̧ tɔ̧ wen’ɛ.","Ya gha dzeme ŋa pelɛ ghweme kala zele ba'a pate ghɛa ŋa hwa yɛ saseregwa ne, katekele ŋa 'ya sawa pelɛagha. 'Ya Mahwətə nde gezete.","Ndo mo wo ba ciñ haçaç do gebeg nono, ndo mo kañ ba tiñ äon le go yoo ger wo ra, le ti ngeel sen ni haçaç, ndi srog mo yañ le go gesiñ. Kay diñ jag Manwuri."
OBA.1.5," Si des voleurs étaient entrés chez toi, des pillards de nuit, – comme te voilà dévasté ! – n'auraient-ils pas emporté que ce qui leur suffisait ? Si des vendangeurs étaient entrés chez toi, n'auraient-ils rien laissé à grappiller ?","If thieves came to thee, if robbers by night, (how art thou cut off!) would they not have stolen till they had enough? if the grapegatherers came to thee, would they not leave some grapes?","La sum sa kuliyana hiɗi sum sa vurum slen co kigi henjet kaw, nisi ma fi slen ɓulakay goy kafe, nala nisi as yaw slen ki nisi min nala lo su? La sum sa ja gulda-guldana co hay sinena vigi kaw, nisi ma fum ɗawn mi ɦele ɦawa'a ɗisu?","Nge miñwuwup, besa biôm yʼalu, ba zu be wo, tame yen ane wo ye liʼi teke jôm! Ye ba ye bo te wube jôm ja volô be? Nge bekolé bibuma bi ndik ba zu be wo, ye ba ye liʼi jôm éfe, vengevenge ve bisañeté bibuma?","Pura ɗi: da muhuloy a coko le ngi hay ɗike, yo da mivi vuhoy a soko le ngi hay ɗike ti duvuɗu na, a pulukuw mbak k'ada setette kwa! A huloko gwat ngi hay ɗikeye cek ta kwa? Yo da muhuva gudubunoy a ngilaka yi ngi gudubuno le na, a pulam miya naŋ ngi ngile neˀkini si takwa?","“To wuyɓe koo jaɓtooɓe ngari haa mooɗon jemma, ɓe koocan ko ɓe mbaawi hoocugo fuu, nden on nattan fuu! To teɓooɓe ɓiɓɓe inabooje nasti gese mooɗon, bukki seɗɗa tan ɓe accata. ","“To wuyɓe koo jaɓtooɓe ngari haa mooɗon jemma, ɓe koocan ko ɓe mbaawi hoocugo fuu, nden on nattan fuu! To teɓooɓe ɓiɓɓe inabooje nasti gese mooɗon, bukki seɗɗa tan ɓe accata. ","Kà o wi-zu̧zu̧ nɛ ɓar mɔ er-wi mɛ zɛ tɛ tɛ kɔ-mɛ, kà mɛ̀ fo tɛ-mɛ na, ɓɛɛ bó nɛ wa tɛ kai mɔ nyɛm wa na nde? Kà o wi ɓi waya-nyak-dɔ̧ɔ̧ tɛ kpɛɛfɔ kɔ-mɛ, wa beka ɓi waya-nyak-dɔ̧ɔ̧ ɓɛɛ wa ee be oi-aa ha̧ mɛ na nde?","Kà o wi-zu̧zu̧ nɛ ɓar mɔ er-wi mɛ zɛ tɛ tɛ kɔ-mɛ, kà mɛ̀ fo tɛ-mɛ na, ɓɛɛ bó nɛ wa tɛ kai mɔ nyɛm wa na nde? Kà o wi ɓi waya-nyak-dɔ̧ɔ̧ tɛ kpɛɛfɔ kɔ-mɛ, wa beka ɓi waya-nyak-dɔ̧ɔ̧ ɓɛɛ wa ee be oi-aa ha̧ mɛ na nde?","Ma kedzeki ghɛa ŋa ka ghərəa kɛfi keɗema ka fə wəshia mbeli heviɗi ne, katefə pɛtɛa wəshi nyi nza hɛ kafəte hɛ ba'a katenza na tɛarɛŋe rɛŋe. Ma kedzembe wəvea rɛzɛŋea ŋa ka nda rɛzɛŋe ne, deke yɛ ghwedzekwe ta rɛzɛŋe ɓɛhwɛ yatesərə hɛ.","Hayga jar freñ wo noga jar frum jar laa wo we liñ ni äo de suñ no, a men wo ndo go de gefafge na gefafge la! Ba laybla' a hoo wo feçeçre yañ de dañ maga saara kaçaç ma hooge mo yawla? Hayga jar wee coore a wo we ni äo no, a men wo nen coore go blam äaara gaa yawla?"
OBA.1.6," Comme Esaü a été fouillé,  comme  On a cherché ses trésors cachés !",How are the things of Esau searched out! how are his hidden things sought up!,"Haha! Esaw sumun vurumumawa, farayna valam diram patawa goyo.","Ngoʼo Esô, be maneya tyase nye! Be maneya kulane mesoé mé mese!","Naŋ kanah ya, ka dideˀ ngi Esaw, gwat ɗikey i mupura taŋ le bleŋ bleŋ wãˀ! Zlili ɗik muɗumohoyo i mubo taŋ le ngbay ar li babara.","Bana non ɓe linyiri Isuwa , ndesaaji muuɗum njuppaama fuu. ","Bana non ɓe linyiri Isuwa , ndesaaji muuɗum njuppaama fuu. ",Ɓɛɛ ho! Wa sara mɔ ko o bezaŋ Esau kpáŋgálá kpáŋgálá; o mbɔi kɔ-wa nɛ hu̧sa̧ so aa zan.,Ɓɛɛ ho! Wa sara mɔ ko o bezaŋ Esau kpáŋgálá kpáŋgálá; o mbɔi kɔ-wa nɛ hu̧sa̧ so aa zan.,"Tsagha fəhwe wəshia ŋayɛ, gheyɛ hwelefefia Ɛzawə mbeli. Nahe mcɛləa ŋayɛ nyi tewəfərə kencɛte geva.",Ko wee aè njegad Esaw go ëala! Ko wee aè frug ngeel yoñre äen wo go ëala!
OBA.1.7," Ils t'ont chassé jusqu'à la frontière, tous tes alliés ; ils t'ont joué, ils ont prévalu sur toi, ceux qui jouissaient de ton amitié ;  ceux qui mangeaient  ton pain ont mis un piège sous tes pas. Il n'y a point en lui d'intelligence !","All the men of thy confederacy have brought thee even to the border: the men that were at peace with thee have deceived thee, and prevailed against thee; they that eat thy bread have laid a wound under thee: there is none understanding in him.","Sum sa dirsi kuɗgin kaf, digiɗgiyawa goy bugol vun-nagata, boniyogina liwawa hiɗi nigiya, ti muldawa kigi yo. Sa ti funa vigin gan jawtawa vokgiya. May nigi may gar kay wi yal noŋ ne'ɗi.","Bôt ba be be be nga bo élat be maneya tindi nye a kui nné si. Be nga duʼu nye, bemvôé bôé be dañeya wo. Be nga belane bidi biôé asu dôé anʼôlam; ba jô na: fek é ne nye momo!","Mizli mujuwam ɓi ati ka, ara ɓulukuw tisi ruwuy ɗik avra, ara tukunukuw. Ngama ɗikey ara jukuw, mizli, kum mazumam ar sikiɗ purla, a ɗuɗukuw le ng'ar kwar taŋ. A ɓam ar ka na: «Ko lesl anta avu ka mata.»","Haɓɓuɓe alkawal bee mooɗon ɗon ndiiwa on diga lesɗe mooɗon, ɗon zammbo on, soobiraaɓe mon njaaloto on, sulhotirɓe bee mooɗon tuufanto on tuuforgol bee nyaamdu mooɗon, ɓe mbi'an: Ɓe ngalaa hakkiilo.”","Haɓɓuɓe alkawal bee mooɗon ɗon ndiiwa on diga lesɗe mooɗon, ɗon zammbo on, soobiraaɓe mon njaaloto on, sulhotirɓe bee mooɗon tuufanto on tuuforgol bee nyaamdu mooɗon, ɓe mbi'an: Ɓe ngalaa hakkiilo.”","Wa ndaka'nɛ́ tɛ nu k’ɛ́nɛ́ yinɛ; o wi-yor-ɗoŋ‘nɛ́ tɛ biro ɔr nɛ ɛnɛ. O sɛm k’ɛ́nɛ́ e nɛ ɗɔra tɛ‘nɛ́; o wi nɛ nyɔŋa so mɔ in'nɛ̀ɛ́ pi̧ nɛ ndɔra h’ɛ́nɛ́ tɔ̧ nɛnɛ‘e, ‹Ɛnɛ iŋ mɔ ɓɔna.›","Wa ndaka'nɛ́ tɛ nu k’ɛ́nɛ́ yinɛ; o wi-yor-ɗoŋ‘nɛ́ tɛ biro ɔr nɛ ɛnɛ. O sɛm k’ɛ́nɛ́ e nɛ ɗɔra tɛ‘nɛ́; o wi nɛ nyɔŋa so mɔ in'nɛ̀ɛ́ pi̧ nɛ ndɔra h’ɛ́nɛ́ tɔ̧ nɛnɛ‘e, ‹Ɛnɛ iŋ mɔ ɓɔna.›","Kaŋka ŋayɛ mbeli se te hɛɗia ŋayɛ, kaghwete ŋayɛ pɛtɛa mbeli nyi yitea gheyɛ, kahərə ŋayɛ ka mcɛhɛ ŋayɛ, kaŋa ŋayɛ keleŋa ka zeme ɗafa le gheyɛ. Ma ke mbeli sha geze te gheyɛ: ‹Kezhɛne mehele kanza va hɛ we.›","Jar maga ndo hay de tay jag de äaara mo äuy hay haw wo nen äo le go, kañ wo wer äo wo go ti hagu. Bar äon hay jaçaç wo ndo, day kol wo go waçaç ree äo, jar maga hay wo ree hole äon fer wo laa gu ne ndo ciñ jag äe ni. Ndo hay da' faage ma ko wer go ne sen señ gaa so."
OBA.1.8," Est-ce qu'en ce jour-là, – oracle de Yahweh, je n'ôterai pas d'Edom les sages, et de la montagne d'Esaü l'intelligence ?","Shall I not in that day, saith the  Lord , even destroy the wise men out of Edom, and understanding out of the mount of Esau?","Ma-Vatɗina ka di'e: Hay buur namna ɗawni, sum sa yalla hay Edom kaf nan ma vatsi goyo, sum sa wida kulo kay hiɗiyta vi Esaw kaw ma vat goy lay.","Ye sa môs ôte, nalé Nti a jô, ñwô ma ye vaa Mimfefeʼe yʼEdom, a vaa ñyeman e nkôl Esô?","Ya Bumbulvuŋ i ɓi na: Na gisiŋ takwa? «Ti hin mevel misa jiy le na, misi sinmijileŋhey misi a Edom, yo misi lesley misi a muwã Esaw na, i sa ngizla taŋ avra pay kini takwa?","Jawmiraawo wi'i: “Nyalaade kiita, mi nattinan hikma'en Edoom e marɓe faamu dow kooseeje Isuwa. ","Jawmiraawo wi'i: “Nyalaade kiita, mi nattinan hikma'en Edoom e marɓe faamu dow kooseeje Isuwa. ","Bo nɛ wese nyimsea kɔ‘m'i, mi tɛ ɗaŋ o wi-iŋ-mgbara-mɔ sɛn Edɔm in o wi-iŋ-mɔ sɛn zu kaya ko Esau na nde? Nɛ GASA WAN a̧ tɔ̧ wen’ɛ.","Bo nɛ wese nyimsea kɔ‘m'i, mi tɛ ɗaŋ o wi-iŋ-mgbara-mɔ sɛn Edɔm in o wi-iŋ-mɔ sɛn zu kaya ko Esau na nde? Nɛ GASA WAN a̧ tɔ̧ wen’ɛ.","Kaganda ne, ma 'ya gezete, 'ya Mahwətə: Ma te vecia hwepe wənəa ɗa ne, kateza sebe 'ya te ka ntsehwele ntsehwele nyi te hɛɗia Ɛdom, nde ɗepe wəshi shɛ katesərə 'ya hwa ghweme ta Ɛzawə we.",Manwur gano: Ndi dus ge jar ko ree ma äi sir Edom wo go na wur sen gaa yawla? Ndi nii gi nday ge go ti huuli mani Esaw na wur sen lay gaa yawla?
OBA.1.9," Tes guerriers, ô Théman, seront dans l'épouvante, afin que tout homme soit retranché de la montagne d'Esaü.","And thy mighty men, O Teman, shall be dismayed, to the end that every one of the mount of Esau may be cut off by slaughter.","Hoyok-ziyn Teman, sum sa wi duura sa hayaŋŋa tuwsi ma muɗ visi bat-bat', sum sa kulo kay hiɗiyna vi Esaw kaf ma cim goyo.","Biwôlô bi bôte biôé, a Téman, bia ye kumetane minlem, nalé ate ba ye vaa môt ase nkôl Edom, amu mewôé me bôt!","Ka walahay Temaŋ, soje bugawla ɗikeye, didak a sa muɗa taŋ haɗi, hã mbur gar misi a muwã Esaw na, a sa kiɗakaŋ vagay, asi kiɗa hirnga a gi le haɗi.","Honooɓe semmbiɗɓe nder berniwol Teman ndiwtoran, haa worɓe fuu kalka dow kooseeje Isuwa, ngam konne'en mbardan ɓe.”","Honooɓe semmbiɗɓe nder berniwol Teman ndiwtoran, haa worɓe fuu kalka dow kooseeje Isuwa, ngam konne'en mbardan ɓe.”","Ye Teman, tɛ o ŋgaŋa-wi kɔ-mɛ tɛ nak, ɓɛɛ o bíí tɛ kum zu kaya ko Esau mbɔlɔlɔ.","Ye Teman, tɛ o ŋgaŋa-wi kɔ-mɛ tɛ nak, ɓɛɛ o bíí tɛ kum zu kaya ko Esau mbɔlɔlɔ.","Meleme ta Tɛman, kedake dake tenza ka sewajɛa ŋa. Tagha gɛ, katenza pɛtɛa mbeli nyi hwa ghweme ta Ɛzawə kempə mpə.","Ndo äon mono Teman, sode äo ma de eegren kol wo yañ go joñ heçeçne wer maga aè id gi jar ma ti huuli mani Esawn wo yañ go äuy ti wur durgi sen no."
OBA.1.10," A cause du massacre, à cause de la violence contre ton frère Jacob, la honte te couvrira, et tu seras retranché à jamais.","For thy violence against thy brother Jacob shame shall cover thee, and thou shalt be cut off for ever.","Kuɗ joo ma nigi lum tam guro-biyogina sa gurona vi Yakub, zulot ma vigiya kuɗ kayni. Nigi ma hosis goyo kay dok-doko.","Amu abé ô nga bo monyoñ Yakob, ôson wo ye jaé wo nyô. a ba ye jiane wo nnôm éto,","Kum masa pam mesem, yo taŋ masa ngizlukum pay wãˀ na, asi moˀore kum migaka da sukum kum, dideˀ ngi Zakopoy na.","“On toonyi deerɗiraaɓe mon yimɓe Yaakubu. Ngam man toskaare waran dow mooɗon, konne'en nattinan on haa foroy. ","“On toonyi deerɗiraaɓe mon yimɓe Yaakubu. Ngam man toskaare waran dow mooɗon, konne'en nattinan on haa foroy. ","«Ɛnɛ fee ɓɔn sɔɔ, ziimɔ baa'nɛ, wen zu ŋgamɔ n’ɛnɛ dee so in o nya'nɛ́ bezaŋ Jakob.","«Ɛnɛ fee ɓɔn sɔɔ, ziimɔ baa'nɛ, wen zu ŋgamɔ n’ɛnɛ dee so in o nya'nɛ́ bezaŋ Jakob.","Ma va berete nya menete yɛ te hwelefefia Zhakob ne, katenza yɛ shewə va hawe ba'a kateza sebe te gheyɛ kaghala ghala.","Wer hun maga ndo hay joñ see heçn äo Jakob mono, soçoçre ba ge ndo yañ wurpo, day aè älag ge ndo yañ go ma tum."
