livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
PRO.1.1," Proverbes de Salomon, fils de David, roi d'Israël: ","The proverbs of Solomon the son of David, king of Israel;","Law ma nir-niramna vi Salomon, goora vi David, mulla vi Israyel.","Minkana mi Solômon, e mone David, njô bôte ya Israél,","Mikicuwuloy,   Salomoŋ mangal ngi Davit, buy Israyel miɓa taŋ.","Ndaa balndi Suleymaanu ɓii Daawuda, laamiiɗo Isra'iila ,","Ndaa balndi Suleymaanu ɓii Daawuda, laamiiɗo Isra'iila ,","Mɔɔ nɔ'ɔ nɛ o tua-wen ko Salomɔŋ, bem ko David, wannu  Israɛl .  ","Mɔɔ nɔ'ɔ nɛ o tua-wen ko Salomɔŋ, bem ko David, wannu  Israɛl .  ","Yɛ ghena ŋela ta Salomon, wəzege ta David, meghea ka Israyɛl.",Jag joçoç mani Salomoñ je ni Dafid wañ Israyeln wo.
PRO.1.2, pour connaître la sagesse et l'instruction; pour comprendre les discours sensés; ,To know wisdom and instruction; to perceive the words of understanding;,"Kay wi yalda hiɗi hatta, kay hum yoboyna vi yamda-wida;",mfaʼa ya ve fek a mbamba ñyeʼelan mfaʼa ya volô ñwôʼane ya zôsôô ntyiʼane mejô a bili ôsimesan ô nʼédok a mvaé,"Ɗerewol mikicuwul misenna, naŋ hĩˀĩ ngi biga sinmijileŋ da mburu, ngi sirkaŋ, yo ngi sli wala ngi si na cifi ngi mbur, ","ngam anndugo hikma e ne'aare, ngam faamugo bolle kakkilɗe,","ngam anndugo hikma e ne'aare, ngam faamugo bolle kakkilɗe,","Wa tɛ gbak bíí wen iŋa mgbara mɔ, wen ha̧a̧ mboozu in wen iŋa gba̧a̧ ɗuka mbɔrɔ; ","Wa tɛ gbak bíí wen iŋa mgbara mɔ, wen ha̧a̧ mboozu in wen iŋa gba̧a̧ ɗuka mbɔrɔ; ","Ma ghena ŋela nyi ne, ntsehwele ba'a yɛ ɓene yateke nda hɛ ke wəndə. Kave nda ve sleme yitea ghena ganji hɛ ke wəndə. ","A wo diñ ma kañ nen jar ti koge ree, ma had jare, Ma haç ti ne jar ma laë wer waçaçre ma ti ngeel äen wo."
PRO.1.3," pour acquérir une instruction éclairée, la justice, l'équité et la droiture; ","To receive the instruction of wisdom, justice, and judgment, and equity;","kay fi hatta vi varta ŋaata vi gasita, vi kitata ta hay liya'ta hiɗi ɗigerta;","mfaʼa ya yeʼele ane môt a ne nyiñ atyeñ, ane a ne bo zôsôô mfaʼa ya ntaban, ntyiʼane mejô a mbaʼalane metiñ.","ngi sirka cifi ti lesl, ɓa mbur a ndir ti gi gwat mijeŋŋe, mizlir le, yo mikaslsla, ","ngam heɓugo anndal laaɓŋgal, ngam waɗugo ko fotti, ko gooŋɗi, ko wooɗi,","ngam heɓugo anndal laaɓŋgal, ngam waɗugo ko fotti, ko gooŋɗi, ko wooɗi,","wa tɛ gbak bíí mɛ yambi mɔ nɛ nyɛma sɛnɛ ha'i mɛ iŋ deemɔ nɛ yuwar-a, in dee tu̧u̧-tɛ-mɔ ká bá nɛ̀ deemɔ nɛ de-a. ","wa tɛ gbak bíí mɛ yambi mɔ nɛ nyɛma sɛnɛ ha'i mɛ iŋ deemɔ nɛ yuwar-a, in dee tu̧u̧-tɛ-mɔ ká bá nɛ̀ deemɔ nɛ de-a. ","Kateke nda nza le ntsehwele, nza tiɗiɗi, nza le hweŋkwa ta ŋkɛ ba'a nza le kaganda hɛ ke wəndə. ","Maga jar mo had wo ëeñ waçaçre wo de mo ma keëed no, De mo ma ti ngeel äe no, de mo ma de deele no."
PRO.1.4, pour donner aux simples le discernement; au jeune homme la connaissance et la réflexion. ,"To give subtilty to the simple, to the young man knowledge and discretion.",kay vul yalda mi sa bay yalla; kay vul wida hiɗi varta mi sa joriyona.,Mfaʼa ya ve bôt be ngenane te yem ényiñ ntye a ve ésoé ndôman ñyeman a nsisime ya yeme fas.,"ngi vula wer mezle da mizli manja si na ɓihey, yo ngi vula sin ati wuluk ngi sli wala ngi ɓi da ziri ziri aruŋ.","ngam hokkugo humaki'en hakkiilo, derke'en boo anndal e kirseeku.","ngam hokkugo humaki'en hakkiilo, derke'en boo anndal e kirseeku.",Wa tɛ usi yuwar-kasa-zu ha̧ o wi nɛ taamɔ tɛ ɗuk hɔ̧ɔ̧ na; wa tɛ usi iŋamɔ in kɛ̧ɛ̧-mgbara-mɔ ha̧ o be-ŋgaiwi. ,Wa tɛ usi yuwar-kasa-zu ha̧ o wi nɛ taamɔ tɛ ɗuk hɔ̧ɔ̧ na; wa tɛ usi iŋamɔ in kɛ̧ɛ̧-mgbara-mɔ ha̧ o be-ŋgaiwi. ,"Kancɛ nda ntsehwele hɛ ke ka dewə mehele, kave nda ɗepe wəshi ba'a zəzə ghena hɛ ke ka mempɛhwetɛti. ","A wo diñ ma yar jar ma bay ko reen wo go, Ma haç koge wo de ëiggi wer feçeçre ne weel ma joçoç no."
PRO.1.5," Que le sage écoute, et il gagnera en savoir; l'homme intelligent connaîtra les conseils prudents, ","A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:","Hin sa ma yalla huma, nala nam ma jor wida valamu, sa ma ka hiɗi yamda-wida ma jor wida valam vok suwa,",mfefeʼe môt wo ye vôʼôlô a kôʼôlane ñyemane wé a ntyetyeñ wo ye bi ntabane ntye.,"Ko mizli misi sinmijileŋhey, masa slufaka kwana, sin taŋ mijileŋ a sa ru nga mbuŋ, yo mizli misi lesleye, a sa sinaka jigina mizli.","Sey hikmaajo heɗito, ɓesda anndal, bolle ɗe'e ɗowa marɗo anndal,","Sey hikmaajo heɗito, ɓesda anndal, bolle ɗe'e ɗowa marɗo anndal,","Wi-iŋ-mgbara-mɔ nɛ́ kia mɔ sɛnɛ, ɓɛɛ mɔ n'aa tɛ kpa sɛnɛ‘i tɛ dɔk siti: wi-iŋ-mɔ nɛ́ kia mɔ sɛnɛ, ɓɛɛ a̧ tɛ iŋ yuwar-mgbɔɔ-bíí.  ","Wi-iŋ-mgbara-mɔ nɛ́ kia mɔ sɛnɛ, ɓɛɛ mɔ n'aa tɛ kpa sɛnɛ‘i tɛ dɔk siti: wi-iŋ-mɔ nɛ́ kia mɔ sɛnɛ, ɓɛɛ a̧ tɛ iŋ yuwar-mgbɔɔ-bíí.  ","Ya ka ntsehwele ntsehwele ne, wərə hɛ kakemave zhɛme mbe, ya ka ɗepe wəshi ne, wərə hɛ kasləyi ghena ganji mbe. ","Daga je ma de ko reen mo co' sugi ni se ya' koge äen yañ ciñ, Day je ma de tin da' ge ëeñ ma koë see äe yañ ni lay."
PRO.1.6," il comprendra les proverbes et les sens mystérieux, les maximes des sages et leurs énigmes. ","To understand a proverb, and the interpretation; the words of the wise, and their dark sayings.","kay hum caw law ma nir niramna hiɗi vanbona, kay hum yoboyna vi sa yalla hiɗi law ma guɗulina.","A mfaʼa ya yeme nkana a atinane yʼété, mejô mimfefeʼe beyeme mam a mesoé me ba.","Mizli a sa sinaka pulaˀvra ngi mikucucwl mekelemey, ɓi mumbuza ati ɓi muguno ngi mizli madubunaka sinmijileŋ da mizli na.","ngam haa o faama balndi e haala lugguka, bolle hikma'en e annditanamji maɓɓe.","ngam haa o faama balndi e haala lugguka, bolle hikma'en e annditanamji maɓɓe.","O tua-wen nɔ'ɔ duk wen ha̧a̧ iŋa-mgbara o ŋma tua-wen in o sumgba, o ee-zu-mɔ ko o wi-iŋ-mgbara-mɔ in o sumgba kɔ-wa mbɛt. ","O tua-wen nɔ'ɔ duk wen ha̧a̧ iŋa-mgbara o ŋma tua-wen in o sumgba, o ee-zu-mɔ ko o wi-iŋ-mgbara-mɔ in o sumgba kɔ-wa mbɛt. ",Katefave ghena nya tewəfərə mbe kweci ghena ŋela ba'a ghena nya dzawe mbe ghena nyi geze ka ntsehwele ntsehwele hɛ.,"A kol yañ go laë wer jag joçoç wo de waçaçre ma kuëum kuëum wo, Laë wer waçaçre mani jar ko reen wo de waçaçre äaara ma de yoñren wo."
PRO.1.7, La crainte de Yahweh est le commencement de la sagesse; les insensés méprisent la sagesse et l'instruction.  PREMIÈRE PARTIE.  AVERTISSEMENTS GÉNÉRAUX DE LA SAGESSE.  --Ne pas s'associer aux hommes de violence.-- ,The fear of the  Lord  is the beginning of knowledge: but fools despise wisdom and instruction.,Narta kuɗ Ma-Vatɗina kayni tun cawta vi yalla; sum sa ɦay-ɦayna ɗuw yalla hiɗi ɗek-yalda birek-ceke.,Nkoone Zambe woñ ñwô ô ne tin ya ñyemane mam. Ve mekute me bôt ma biasé fek a ñyeʼelan.,"Zluwun ti Bumbulvuŋ na, i zli virzi ngi sinmijileŋ. Sinmijileŋ ati sirika vu na, sey mapuraka hiris le i gilaway.","Kulol Jawmiraawo woni fuɗɗam anndal, ammaa faataaɓe ɗon njawo hikma e ne'aare .","Kulol Jawmiraawo woni fuɗɗam anndal, ammaa faataaɓe ɗon njawo hikma e ne'aare .",Yuu kíí GASA WAN nɛ́ ku̧u̧ naŋ iŋa-mgbara-mɔ; nɛ́ o wi nɛ̀ bó nɛ̀ kpasa taamɔ na a̧ mam iŋa-mgbara-mɔ in yambamɔ.,Yuu kíí GASA WAN nɛ́ ku̧u̧ naŋ iŋa-mgbara-mɔ; nɛ́ o wi nɛ̀ bó nɛ̀ kpasa taamɔ na a̧ mam iŋa-mgbara-mɔ in yambamɔ.,Hawe va Mahwətə ya kagha ta ntsehwele. Deke ka gezhia kɛfi ka ɓelama ntsehwele ba'a yɛ ɓene.,"Joñge heçeçne do Manwur diñ tï¡ï¡gi wer koge no, Äo' fo koge reen wo go de hadge na diñ jar ma de loëgen wo."
PRO.1.8," Ecoute, mon fils, l'instruction de ton père, et ne rejette pas l'enseignement de ta mère; ","My son, hear the instruction of thy father, and forsake not the law of thy mother:","Goora vanu, humaŋ sle ma buŋ ka hataŋgina, hatta ta suŋ hataŋu naŋ ma ga' goyɗi.","A mone wom, vôʼôlôʼô meleb mʼésoo a te wua ñyeʼelane nyua fé.","Mangal ɗu, bunuk matukuw ˀay ngi gi gwat na, ja a hirnga, yo munuk madubunuw gwat na, ki pura ka sefel ta.","Ɓiŋngel am, nan elto baaba ma, taa sala wasuyeeji daada ma.","Ɓiŋngel am, nan elto baaba ma, taa sala wasuyeeji daada ma.","Bem kɔ‘m, mɛ̀ mbó zu tɛ mbɔrɔ ko dáà kɔ-mɛ, ká mɛ e usamɔ ko naa kɔ-mɛ tɛ geemɔ na mbɛt, ","Bem kɔ‘m, mɛ̀ mbó zu tɛ mbɔrɔ ko dáà kɔ-mɛ, ká mɛ e usamɔ ko naa kɔ-mɛ tɛ geemɔ na mbɛt, ","Wəzege ta ɗa, fa ghena nyi geze ŋa yiteyɛ ŋa, betakɛma ghena nyi geze meyɛ ŋa na ma. ","Weel äi, laa waçaçre maga pan äo bag ra ne ndo mono, Tob hadge ma jag man äon go wa."
PRO.1.9," car c'est une couronne de grâce pour ta tête, et une parure pour ton cou. ","For they shall be an ornament of grace unto thy head, and chains about thy neck.","kay kayni mi bogorayna vi slugota ma tuni kaŋŋa, mi komona ma giy delaŋu.","Amu bia ye bo nyanga ébôbot e nlô wôé, a minsanga asu tyiñe jôé.","Asi naŋ kaɓa i loppol mezle mutuwaɗ tuwaɗ a hirnga ɗike, yo i virzle muluwa le denjek asi ˀay ɗike.","Anndinol maɓɓe mo'inte bana meetaleewol dow hoore ma, bana koɗoy haa daande ma.","Anndinol maɓɓe mo'inte bana meetaleewol dow hoore ma, bana koɗoy haa daande ma.","wen mɔɔ nɔ‘i nɛ de  laasɔ̧i̧-wan  nɛ tɛ duk zu-mɛ, in o gba de kísí sɛn ger-mɛ.","wen mɔɔ nɔ‘i nɛ de  laasɔ̧i̧-wan  nɛ tɛ duk zu-mɛ, in o gba de kísí sɛn ger-mɛ.",Katenza hɛ mbe ghəa ŋa kala derə meghe nya ndeɗe ba'a kala zhɛɗa kwa welɛa ŋa. ,"Gahaçyla, a diñ mblaaga ma de wore ma kaage ti äo, Diñ redew ma heege soole äo."
PRO.1.10," Mon fils, si des pécheurs veulent te séduire, ne donne pas ton acquiescement. ","My son, if sinners entice thee, consent thou not.","Goora vanu, la sum sa sulukŋa min ɗutaŋu, naŋ ma tap kuɗsiɗi,","A mone wom, nge bebo abé ba kômbô wone wo, te kañese.","Mangal ɗu, da ziri gawla malambaˀhay ara wuɗam a sirkukuw ngi gi gwat malambaˀ na, ki ngum ta.","Ɓiŋngel am, to waɗooɓe hakke esti ma, taa tokka ɓe.","Ɓiŋngel am, to waɗooɓe hakke esti ma, taa tokka ɓe.","Bem kɔ‘m, kà o wi-de-ɗaŋmɔ nɛ́ kɔ̧ɔ̧ mɛ ɔr mɛ, ká mɛ kpɛk na. ","Bem kɔ‘m, kà o wi-de-ɗaŋmɔ nɛ́ kɔ̧ɔ̧ mɛ ɔr mɛ, ká mɛ kpɛk na. ","Wəzege ta ɗa, ma keɗe ŋwale tezhili nyi ndiremi ndiremia mehele kaghwete ŋa ne, yɛma na ma. ","Weel äi, hayga jar älagge le' wo we go haçy ndo no, ni ndo yaçaç ni wa."
