livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
PSA.1.1," Heureux l'homme qui ne marche pas dans le conseil des impies,  qui ne se tient pas dans la voie des pécheurs  et qui ne s'assied pas dans la compagnie des moqueurs, ","Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.","Sle'ta ka kay sa ma tuɗ hay ŋra-vunda vi sa jiw-zlatɗi, col hay hagata vi sa sulukɗi, mus hay liyn ma lakka vi sa burahtaɗi kaw.","Ebotan a môt a bo te tôñe melebe bikotekote bi bôt nge tebe zene bebo abé , nge tabe éto bekpweʼele bôt.","Mamumulo, i mbur masipa ɓi ngi mizli misi moˀorehey ta, macici zar avu jiviɗ ngi mizli migi malambaˀhay, yo mizli masingiram angi Buymisemuŋ na, a cifi a wuzla taŋ ta.","Barka laatanto goɗɗo mo jaɓataa sawari halluɓe, mo tokkataako laawol hakke'en, mo jooɗodottaako bee jancooɓe,","Barka laatanto goɗɗo mo jaɓataa sawari halluɓe, mo tokkataako laawol hakke'en, mo jooɗodottaako bee jancooɓe,",Wi nɛ̀ kpe zer tɛ tɔ̧ɔ̧ mbɔrɔ ko o wi-ɗaŋ nɛ kɔ‘i nɔ̀ nɛ̀ desee. Wi’ɛi yor gba-war ko o wi-de-ɗaŋmɔ na; a̧ duk nù kpɔk in o wi-zɛkɛɗi Sɔ̧ na.,Wi nɛ̀ kpe zer tɛ tɔ̧ɔ̧ mbɔrɔ ko o wi-ɗaŋ nɛ kɔ‘i nɔ̀ nɛ̀ desee. Wi’ɛi yor gba-war ko o wi-de-ɗaŋmɔ na; a̧ duk nù kpɔk in o wi-zɛkɛɗi Sɔ̧ na.,"Zlama ya va wəndə nya keɗema kazele zəzə ta ka 'yaghwa mehele, nya keɗema kaghereŋe kwa hweŋkwa ta ka jaɗafa ba'a nya keɗema kantishɛ hwa ka ŋ'wəshi ŋkwa,","De da' see äe diñ je maga bay seege wer yañ jar debaycoçoçre wo wa, Ga bay mañ blam jar älagge wo wa, Day bay tayge ti ngeel lagge de jar feg ti jar wo wa mono."
PSA.1.2," mais qui a son plaisir dans la loi de Yahweh,  et qui la médite jour et nuit. ",But his delight is in the law of the  Lord ; and in his law doth he meditate day and night.,"May firita valamu ka hay vun-ma-gatna vi Ma-Vatɗina, vara kay vun-ma-gatna valamu falayta hiɗi henjeta kaw.","Vʼa yene mvaé jé e metiñ me Zambe été, a bindi me nlem môs ba alu.","Amma maciraŋ hiri da naŋ i ɓimujuwa ngi Bumbulvuŋ, yo duvuɗ ti papas gar na, a ndir ti ɓimujuwa ngi Bumbulvuŋ ngek avu mi.","ammaa mo seyorto tawreeta Jawmiraawo, mo numtata ka jemma e naaŋge fuu.","ammaa mo seyorto tawreeta Jawmiraawo, mo numtata ka jemma e naaŋge fuu.","Desee kɔ̧-a̧ kànà nɛ́ kasa heembea ko GASA WAN, kii nɛ gba̧a̧-a̧ zɛ nɛ wese.","Desee kɔ̧-a̧ kànà nɛ́ kasa heembea ko GASA WAN, kii nɛ gba̧a̧-a̧ zɛ nɛ wese.",ama nya kezlama yitea wəsə mahalegəa Mahwətə ba'a nya keve zəzə te veci le viɗi!,"Werga aà da' fruygi ma äen diñ äil jag liñgi mani Manwur no, ëig ti jag liñgi äen de ceeg de suñ lay!"
PSA.1.3," Il est comme un arbre planté près d'un cours d'eau,  qui donne son fruit en son temps,  et dont le feuillage ne se flétrit pas :  tout ce qu'il fait réussit. ","And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.","Nam ŋray ca hiɗi gu ma piy kel niy-ma-riŋŋa, ma vuɗ vuɗna valamu hay liyamu, ma humam may so goyɗi, slen pet ma nam lumna halalda ka kuɗumu.","Môt ate a funan élé é ne mbéan e fefel ôsôé, é wumu bibuma bié éyoñe ja yian, mekaé mé me too fe teke viele, a jam ese a bo da wulu ve mvoʼé .","Mbur nah na, naŋ kaɓa widis mikaˀ a mi mizaw: angi hin ngi yi naŋ gar na, ara yi, yo kalaf naŋ anta ɓut ta. Gwat naŋ maga gar na, a gi kasl kasl.","O nanndi bee lekki jubaaki baŋnge maayo ilanŋgo, dimanki ɓiɓɓe mum to saa'i man waɗi, haakooji maaki njoorataa. Goɗɗo oo heɓan hayru nder ko o waɗata fuu .","O nanndi bee lekki jubaaki baŋnge maayo ilanŋgo, dimanki ɓiɓɓe mum to saa'i man waɗi, haakooji maaki njoorataa. Goɗɗo oo heɓan hayru nder ko o waɗata fuu .","Wi’ɛi hɔɔ ŋmaa in ŋma te nɛ wa guna ká̧ yì nɛ̀ wai tɛ ŋgimbi-a, nɛ̀ wa̧a̧-a̧ kor na. Mɔ n'aa de lɛŋ hɔ gba̧a̧ hɔɔ.","Wi’ɛi hɔɔ ŋmaa in ŋma te nɛ wa guna ká̧ yì nɛ̀ wai tɛ ŋgimbi-a, nɛ̀ wa̧a̧-a̧ kor na. Mɔ n'aa de lɛŋ hɔ gba̧a̧ hɔɔ.","Yipə yipə ŋkɛ le wəfe nya kemɓete geva mɛa hələ, kaya ŋkɛ te vəa ŋkɛ ba'a katebete slekea ŋkɛ we. Mbe kema mbe kema jive wəndəa shɛ mbe yayata wəsə nya mene ŋkɛ.","Je ma sen do koo maga de peëge ti jeñ blam bii nono, Maga le' le'ge äen ti wur äe, Day sug äe lwaë go gaa hase. Fen maga aà joñ ne äuy mono, mo sen see ne hen were."
PSA.1.4, Il n'en est pas ainsi des impies :  ils sont comme la paille que chasse le vent. ,The ungodly are not so: but are like the chaff which the wind driveth away.,"Sa jiw-zlatna may naɗi, nisi ki burana ma simeɗna dolom goyo nala.","Bikotekote bi bôt bi nji bo nalé, bia funan mbuan ñwô ôte évuñulu ja tyamelan.","Amma misi moˀoreheye, taŋ kanah ta: taŋ kaɓa cici, himiɗ mazliɗa hirnga naŋ.",Ammaa halluɓe mba'aay bana non. Kamɓe ɓe ɗon bana nyaande nde henndu ruuynata.,Ammaa halluɓe mba'aay bana non. Kamɓe ɓe ɗon bana nyaande nde henndu ruuynata.,Ko wi-ɗaŋ bo hegɔ na kòò tikiɗi. A̧ duk hee pumyulu sunu nɛ̀ búk pɛsi dam fara lɛŋ'ɛ ga.,Ko wi-ɗaŋ bo hegɔ na kòò tikiɗi. A̧ duk hee pumyulu sunu nɛ̀ búk pɛsi dam fara lɛŋ'ɛ ga.,Kenza nza ta ka 'yaghwa mehele tsagha we: yipə yipə hɛ le cɛkəvə nyi fə sefə.,"Ama, ma jar debaycoçoçren wo mono, äaaran bay dosen no wa, AÀ wo do hoole maga leege dus äil äaara go nono."
PSA.1.5," Aussi les impies ne resteront-ils pas debout au jour du jugement,  ni les pécheurs dans l'assemblée des justes. ","Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.","Kay mige sa jiw-zlata fi lak kulo'o vun kitatɗi, sa sulukŋa as lak hay tapna vi sa ɗigeraɗi kaw.","Ajô te bikotekote bi bôt bia ye bo te tebe mvoʼé e môse ntyiʼane mejô, nalé fe bebo abé ékôane bôt be ne zôsôô;","Tapas gi kiita na, migi moˀoreheye, t'anta sa cicam gu ta. Ar kus ngi mizli mijeŋŋeheye, ko migi mungraˀahaya, anta sa cicam gu ta ya.","Ngam man halluɓe mbaawataa dartaago nyalaade kiita, hakke'en ngalaa pellel nder mooɓtorde adili'en.","Ngam man halluɓe mbaawataa dartaago nyalaade kiita, hakke'en ngalaa pellel nder mooɓtorde adili'en.","Wese-gɔna-kita, wen ko o wi-ɗaŋ beka yor na, o wi-de-ɗaŋmɔ beka ya mgbara o wi-de-mɔ nɛ yuwar-a na mbɛt,","Wese-gɔna-kita, wen ko o wi-ɗaŋ beka yor na, o wi-de-ɗaŋmɔ beka ya mgbara o wi-de-mɔ nɛ yuwar-a na mbɛt,","Vatse teshɛma ka 'yaghwa mehele kaghereŋe te ghwə, ya ka jaɗafa hwa tsene ta mbeli nyi tiɗiɗi.",Diñ wersen so ga jar debaycoçoçren lag ge wo ngiñ ti wur kiidan gaè. Jar älaggen lag ge wo ngiñ yoo tayge jar ma keëedn wo gaa lay.
PSA.1.6," Car Yahweh connaît la voie du juste,  mais la voie des pécheurs mène à la ruine. ",For the  Lord  knoweth the way of the righteous: but the way of the ungodly shall perish.,"Kay Ma-Vatɗina wi hagata vi sa ɗigera, may hagata vi sa jiw-zlata ma narsi hay bata-goyta.","Amu Nti a yeme zene bezôsôô be bôt, ve nyô bebo abé ja ke njañ.","Asi Bumbulvuŋ a si na gi gwat ngi mizli mijeŋŋeheye le. Amma gi gwat ngi misi moˀoreheye, a zizi vu.","Ngam Jawmiraawo anndi laawol adili'en, ammaa ngol halluɓe yahran haa halkere.","Ngam Jawmiraawo anndi laawol adili'en, ammaa ngol halluɓe yahran haa halkere.","wen GASA WAN iŋa yuwar deemɔ ko wi-de-mɔ nɛ yuwar-a, ɓɛɛ war deemɔ ko o wi-ɗaŋ nɛ́ yɔɔ-war.","wen GASA WAN iŋa yuwar deemɔ ko wi-de-mɔ nɛ yuwar-a, ɓɛɛ war deemɔ ko o wi-ɗaŋ nɛ́ yɔɔ-war.","Kwa nza ŋkɛ nahe Mahwətə keɗepe hweŋkwa ta mbeli nyi tiɗiɗi, ama kateza hweŋkwa ta ka 'yaghwa mehele.","Werga Manwur de ko faage jar ma keëedn wo no, Ama faage ma jar joñ älaggen wo go de äaara basge."
PSA.2.1, Pourquoi les nations s'agitent-elles en tumulte  et les peuples méditent-ils de vains projets? ,"Why do the heathen rage, and the people imagine a vain thing?",Jaf-sumun law gijum-gijum kay mige? Sumuna ka var kay sle ma waa ɦawana kaw kay mige?,Amu jé meyoñe bikuu ma ngômelan a amu jé bôt be bili momo asimesan?,Mizli a wusam haɓar haɓar vur mike? Sukwi ngi mizli a gam gidiɓi lambaˀ vur mike?,"Koni ummaatooje umminta haala, koni jama'aaje nufoto numooji meereeji?","Koni ummaatooje umminta haala, koni jama'aaje nufoto numooji meereeji?",Wen ge sa o dukbíí dik gɛrɛm zu ŋmaa in o ŋmaa ge? Wen ge sa o tugun bíí tuɓi da̧ a zu ŋmaa ge?,Wen ge sa o dukbíí dik gɛrɛm zu ŋmaa in o ŋmaa ge? Wen ge sa o tugun bíí tuɓi da̧ a zu ŋmaa ge?,Yitea wa ɗəkwə ɗəkwə mbeli tse wa? Yitea wa tsa ghena hwelefefi gəmə tse wa?,"Diñ wer may ga wer sir gijig wo mo deñ, Day jar ëig wo mo deñ bay blam diñ ëiggi mayla?"
PSA.2.2," Les rois de la terre se soulèvent,  et les princes tiennent conseil ensemble,  contre Yahweh et contre son Oint. ","The kings of the earth set themselves, and the rulers take counsel together, against the  Lord , and against his anointed, saying,","Muliyan sa kay nagatna ka yaw kulo'o, sa ŋulona kaw ka ŋra vun tuwsiya kat Ma-Vatɗina hiɗi falamna ma mul hoki kalamna.",Bejô bôte ya si nyô ba tebe tetele a bivet bia vute ngame ya wosane Nti a éñwé a ne ñwoʼone mbon:,"Buy madiɗa ngi si ruwuyoyo, ara slikiɗam ɓi ngi gi vurum. yo mizli micawwahaya, ara gam gidiɓi ar Bumbulvuŋ waɗ ar mbur naŋ muwunaŋ na.","Laamiiɓe duniyaaru ɗon taaski waɗugo fitina, tedduɓe boo ɗon kaɓɓa dabare dow Jawmiraawo e laamiiɗo mum mo o moyti .","Laamiiɓe duniyaaru ɗon taaski waɗugo fitina, tedduɓe boo ɗon kaɓɓa dabare dow Jawmiraawo e laamiiɗo mum mo o moyti .",Wen ge sa o wannu zu nù'ɛ kur zu GASA WAN ge? Wen ge sa o be-wan e nú mɛ bɛ̧ GASA WAN in wi n'aa tɛna nɔ̧́ a zu a̧ ge nde?,Wen ge sa o wannu zu nù'ɛ kur zu GASA WAN ge? Wen ge sa o be-wan e nú mɛ bɛ̧ GASA WAN in wi n'aa tɛna nɔ̧́ a zu a̧ ge nde?,"Kahi geva ka meghe nyi te hɛɗi lema yitea mpa, katsa ghena mbeli nyi te ghə yitea Mahwətə ba'a yitea meghe nya ntave ŋkɛ.","Wañre ma ti tamsirn bag wo jag see äaara go, Day jar kluurin tay wo jag go wer keçeç boñ Ti Manwuri, day ti mesi äen lay."
PSA.2.3," "" Brisons leurs liens, disent-ils,  et jetons loin de nous leurs chaînes "" ","Let us break their bands asunder, and cast away their cords from us.","Nay ma wilet jaɓna visi goy wilet, nay ma ja jaɓna visi goy tam tuway ja kaw.","bi tame té mengataʼa map, a bi tame wua bengôkobe bap ôyab a bia!","A ɓam: «Gwat majumo ndra ati taŋ na, mburcukum di, purtukum dambla taŋhay na, huzugukum taŋ avra.»","Ɓe ɗon mbi'a: “Sey en ta'a kaɓɓorli maɓɓe, en cakkina ɓoggi maɓɓe daayiiɗum!”","Ɓe ɗon mbi'a: “Sey en ta'a kaɓɓorli maɓɓe, en cakkina ɓoggi maɓɓe daayiiɗum!”","Ɛ̀ɛ̀ kúr, ɛ̀ɛ̀ ŋmán nyak-zɔɓɔ kɔ-wa tɛ yɛ yinɛ, ɛ̀ɛ̀ kpɔ̧́í̧ kpáŋá kɔ-wa ger yɛ pi̧ taŋ.","Ɛ̀ɛ̀ kúr, ɛ̀ɛ̀ ŋmán nyak-zɔɓɔ kɔ-wa tɛ yɛ yinɛ, ɛ̀ɛ̀ kpɔ̧́í̧ kpáŋá kɔ-wa ger yɛ pi̧ taŋ.","Ma ke hɛ sha geze: «Ŋslemte ɓəmə yɛ zewe ta nci, Betemte ɓəmə yɛ zewe lɛa nci.»",Naa älag tayge äaaran go Naa laa gyam äaaran wo go see naa haçaç!
PSA.2.4," Celui qui est assis dans les cieux sourit,  le Seigneur se moque d'eux. ",He that sitteth in the heavens shall laugh: the Lord shall have them in derision.,"Nam ma musi hay wuralawna ka cena, Bum-Sumuna ka cen kuɗsiya.","Nyô a too yôp a woé, Nti a kpweʼele be","Buymisemuŋ mua muŋ, ara singir, Bumbulvuŋ ara singir ar taŋ.","Ammaa jooɗiiɗo haa asama ɗon jala ɓe, Jawmiraawo ɗon janca ɓe.","Ammaa jooɗiiɗo haa asama ɗon jala ɓe, Jawmiraawo ɗon janca ɓe.","Wi nɛ duk kɔ‘i yiwese mɛ‘i mam kɔ‘i nɛ wa; wi-mam wa'i nɛ́ GASA WAN,","Wi nɛ duk kɔ‘i yiwese mɛ‘i mam kɔ‘i nɛ wa; wi-mam wa'i nɛ́ GASA WAN,","Ama ntake Mahwətə kaŋ'wəshi, ghenci yaŋ'wəshi wəndə nya nza pasla ta ŋkɛ pelɛ ghweme.","Je maga le go de hayle ciñ ti fege, Wañkluu ti feg ti äaara."
