livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
RUT.1.1," Au temps où les Juges gouvernaient, il y eut une famine dans le pays. Un homme de Bethléem de Juda s'en alla, avec sa femme et ses deux fils, séjourner dans les champs de Moab.","Now it came to pass in the days when the judges ruled, that there was a famine in the land. And a certain man of Beth–lehem–judah went to sojourn in the country of Moab, he, and his wife, and his two sons.","Hay li ma ŋomda vi nagata ka hay ɓam sa ka kitana, mayta li hay nagata. Sa mara hay Betlehem vi Yudiya kep kali kay mus ɗawni hay Mowab, namu hiɗi cata valamu hiɗi gurona valam sa jufayna sa ma'na, kay mus ɗawni hay fulda vi Mowab. ","Melu betyiʼi mejô be nga jôô, mfumbale zaé a nga kui Israél. Nde môt éziñ ya Bétléhém, si ya Yuda, a nga kôlô baa ngal a bobefam bé bebaé; nalé be nga ke tabe nté éziñ mebôta me si me ne nteʼan e si ya Môab. ","Hirak ti migi kiytahay miwaka Israyel na, may a gi asi ruwuyo. Mbur Beteleyem ada a ruwuy Zuda, a slikiɗ kutum ng'ar prok ngi Moˀap ati ngwas naŋ waɗ ziri naŋ mizilehey cuw. ","Zamanu alkaali'en ɗonno ɗowa Isra'iila, weelo waɗi. Ngam maajum goɗɗo iwɗo Baytilaama nder lesdi Yahuuda yehi ngam faɓɓoygo nder lesdi Mo'ab, kaŋko e debbo mum e ɓiɓɓe mum worɓe ɗiɗo. ","Zamanu alkaali'en ɗonno ɗowa Isra'iila, weelo waɗi. Ngam maajum goɗɗo iwɗo Baytilaama nder lesdi Yahuuda yehi ngam faɓɓoygo nder lesdi Mo'ab, kaŋko e debbo mum e ɓiɓɓe mum worɓe ɗiɗo. ","Ŋma gasa kaɓa tika nù sɛn nú  Israɛl  ŋgimbi wan ko o wi-gɔn-kita, ɓɛɛ ŋma bíí Bɛtlɛhɛm, nù Juda in kóò ká bá nɛ̀ o bem kɔ̧-a̧ yiitoo yak mɛ ɔ ye sɛn nú Mɔab. ","Ŋma gasa kaɓa tika nù sɛn nú  Israɛl  ŋgimbi wan ko o wi-gɔn-kita, ɓɛɛ ŋma bíí Bɛtlɛhɛm, nù Juda in kóò ká bá nɛ̀ o bem kɔ̧-a̧ yiitoo yak mɛ ɔ ye sɛn nú Mɔab. ","Ma te və nya nza ka meha ghwə te ghə mbe Israyɛl ne, pa ma menete geva te hɛɗi. Vatse nda slə kwete wəndə mbe meleme ta Bɛtelɛhɛm mbe hwelefe ta Bɛnjamɛn te hɛɗia ka Zhəwda, le male ta ŋkɛ ba'a ŋwale tezhilia ŋkɛ bake kadzembe hɛɗia Mowab. ","Ti wur maga jar car kiidan hay wo waçaç waçaçre sir Israyel mono, koñne raw le'ge go äi sir Israyele. Wer seno, blo po ma Betlehem ti äañ Juda, kal wo pudgi de jar ni äe, waçy äe, de weere äe ma äogn wo no. AÀ pud wo mokay la wo wo lagge ti prog po ni jar Mowab wo. "
RUT.1.2," Le nom de cet homme était Elimélech, le nom de sa femme était Noémi, et les noms de ses deux fils étaient Mahalon et Cheljon;  ils étaient  Ephratéens, de Bethléem de Juda. Ils allèrent aux champs de Moab, et s'y établirent.","And the name of the man was Elimelech, and the name of his wife Naomi, and the name of his two sons Mahlon and Chilion, Ephrathites of Beth–lehem–judah. And they came into the country of Moab, and continued there.","San kayni semda valam ala Elimelek, cata valamu semda va' ala Noomi. Gurona visi sa ma'na, yisi ala Makiliyon hiɗi Kiliyon. Nisin jaf Efratana, hay hoyok-ziyn Betlehem hay Yuda. Nisi co hay fulda vi Mowab, nisi lak ziy ɗawni.","Môt ate a mbe jôé na, Elimélék, minga wé ke jôé na Naômi; môé me bobefam bé bebaé ke na: Maklôn a Kiliôn. Be mbe bôte ya nda bôte Yuda é mbe é too Bétléhém be loʼone je na Efrata. Be ngenan be too e Môab, ","A zilaka mbur vuna Elimelek, ngwas naŋ i Noˀemi waɗ ziri naŋ mizilehey cuw, i ti: Maloŋ ati Kiliyoŋ, i mizli Efrata ngi Beteleyem hirwuy Zuda. A ndilam ar prok ngi Moˀapa, a cifam a diga so. ","Innde gorko oo, Elimelek. Innde debbo maako, Na'omi. Inɗe ɓiɓɓe maako boo, Mahalon e Kiliyon. Ɓe Efrati'en iwɓe Baytilaama nder lesdi Yahuuda. Ɓe njotti lesdi Mo'ab, ɓe ɗon njooɗi ton. ","Innde gorko oo, Elimelek. Innde debbo maako, Na'omi. Inɗe ɓiɓɓe maako boo, Mahalon e Kiliyon. Ɓe Efrati'en iwɓe Baytilaama nder lesdi Yahuuda. Ɓe njotti lesdi Mo'ab, ɓe ɗon njooɗi ton. ","Nin wi’ɛi nɛ́ Elimɛlɛk, nin kóò kɔ̧-a̧ nɛ́ Naɔmi, nin o bem kɔ̧-a̧ nɛ́ Malɔŋ in Kiliɔŋ. Wa nɛ́ o be Efrat saaye Bɛtlɛhɛm, nù Juda. Wa hɔa nú Mɔab, ɓɛɛ wa de ye hi̧i̧. ","Nin wi’ɛi nɛ́ Elimɛlɛk, nin kóò kɔ̧-a̧ nɛ́ Naɔmi, nin o bem kɔ̧-a̧ nɛ́ Malɔŋ in Kiliɔŋ. Wa nɛ́ o be Efrat saaye Bɛtlɛhɛm, nù Juda. Wa hɔa nú Mɔab, ɓɛɛ wa de ye hi̧i̧. ","Ma sləa wəndəa shɛ ne, Ɛlimɛlɛk, sləa male ta ŋkɛ ne, Nowɛmi, sləa ŋwale tezhilia ŋkɛ nyi bakea shɛhɛ ne, Malon ba'a Kiliyon, ka Ɛfrata nyi keshave mbe meleme ta Bɛtelɛhɛm te hɛɗia Zhəwda. Pa hɛ se kanzakɛ nza mbe Mowab. ","AÈ ëe blo sen ga Elimeleg, ëu waçy äen ga Nawmi. AÈ ëe weere äe ma äogn wo ga Mahlon wo de Kilyon. AÀ wo ti moobe ma Efrata ma Betlehem ti äañ Juda no. De maga saara wo ni jar Mowab wo ni mono, "
RUT.1.3," Elimélech mari de Noémi, mourut, et elle resta seule avec ses deux fils,","And Elimelech Naomi's husband died; and she was left, and her two sons.","Bugol kayni Elimelek juf Noomi mitawa, na' mus hiɗi gurona va' sa ma'na. ","nde Elimélék a wu, Naômi ve liʼi étam a bobefam bé bebaé. ","Elimelek zil ngi Noˀemi tuwa, a mucu, Noˀemi a ndiram pal taŋ ati ziri naŋ mizilehey mucuw tuwa. ","Nden Elimelek, gorko Na'omi, maayi. Na'omi luttidi bee ɓiɓɓe muuɗum ɗiɗo. ","Nden Elimelek, gorko Na'omi, maayi. Na'omi luttidi bee ɓiɓɓe muuɗum ɗiɗo. ","Elimɛlɛk, wíì ko Naɔmi fea, ɓɛɛ e kóò in o bem yiitoo. ","Elimɛlɛk, wíì ko Naɔmi fea, ɓɛɛ e kóò in o bem yiitoo. ","Pa Ɛlimɛlɛk za Nowɛmi mtenyɛ, mba nde le ŋwalea nta nyi bake. ",Elimeleg raw hugi go. Nawmi raw gwa'ge go de weere äe ma äog wo no. 
RUT.1.4," Il prirent des femmes moabites, dont l'une se nommait Orpha et l'autre se nommait Ruth, et ils demeurèrent là environ dix ans.","And they took them wives of the women of Moab; the name of the one was Orpah, and the name of the other Ruth: and they dwelled there about ten years.","Nisi yaw boy sa Mowabna ma' pete. Ta jewta ya' Orpa, heta ya' Rut may. Nisi lakay ɗawni ir ki busat doogo nala. ","Ane be nga luʼu bengone ya Môab: ngone jia jôé na Orpa, nyô foʼo ke jôé na Rut. Mimbu awôm mi lôteya, nde ","Ziri naŋhay tuwa, a zuɓam ngwasaya, i ziri Moˀapay, zuŋ numuŋ a zilaka Orpa, mucuw naŋ i Rut. A gam gwat ngi vi kuruˀ a diga. ","Kamɓe ɓe te'i ɓiɓɓe rewɓe mo'abi'en. Innde oo, Orpa, innde oya boo, Ruut. Ɓe njooɗi ton baakin duuɓi sappo. ","Kamɓe ɓe te'i ɓiɓɓe rewɓe mo'abi'en. Innde oo, Orpa, innde oya boo, Ruut. Ɓe njooɗi ton baakin duuɓi sappo. ","O bem nɔ‘i baa o zɔŋa Mɔab nɛ̀ kóò; nin ŋma kpɔk nɛ́ Orpa, nin ɓii-aa nɛ́ Ruth. Wa yaa hi̧i̧ hee pɛ ɓu ga. ","O bem nɔ‘i baa o zɔŋa Mɔab nɛ̀ kóò; nin ŋma kpɔk nɛ́ Orpa, nin ɓii-aa nɛ́ Ruth. Wa yaa hi̧i̧ hee pɛ ɓu ga. ","Pa hɛ wəmeve ŋwalea kwɛa ka Mowab, sləa kwa ghate Orpa, nde bake Rət, nahe hɛ kemenete va gare meŋe mbe. ","Weeren la raw wo da mayre mani jar Mowab wo wo ni. Ma po boñ aè ëe sen ga Orpa, aè ëe ma lan ga Rudi. "
RUT.1.5," Mahalon et Cheljon moururent aussi tous deux, et la femme resta  privée  de ses deux fils et de son mari.",And Mahlon and Chilion died also both of them; and the woman was left of her two sons and her husband.,"Makiliyon hiɗi Kiliyon ma' pete mitiya, cata hini kuyu'u va' kepe, gurona va'a hiɗi jufa' kaw say loɗi.",Maklôn a Kiliôn be nga wu. Ane Naômi a nga liʼi étam étam teke fe nnôm nge bobefam bé bebaé.,"A dirba nah, Maloŋ ati Kiliyoŋ tuwa, a micam cuw taŋ, Noˀemi a ndir pal naŋ, ziri naŋ mucuwoy ta, zil ta.","Nden Mahalon e Kiliyon maayi, ɓe ɗiɗo fuu. Na'omi lutti feere muuɗum, o sooyi goriiko, o sooyi boo ɓiɓɓe maako ɗiɗo.","Nden Mahalon e Kiliyon maayi, ɓe ɗiɗo fuu. Na'omi lutti feere muuɗum, o sooyi goriiko, o sooyi boo ɓiɓɓe maako ɗiɗo.","Malɔŋ in Kiliɔŋ fea mbɛt e Naɔmi ɛ̀nɛ̀, wíì bo na, o bem yiitoo bo na mbɛt.","Malɔŋ in Kiliɔŋ fea mbɛt e Naɔmi ɛ̀nɛ̀, wíì bo na, o bem yiitoo bo na mbɛt.","Pa yɛ Malon le Kiliyon mpənji bake pɛtɛ. Mba Nowɛmi tsagha, za shɛ we, ŋwale shɛ we.","Kiñgi wo mañge blam sen hwal boñ mono, Mahloñ hu wo go de Kilyoñ äog äuy lay. Nawmi raw gwa'ge go boñ, warn gaa lay, weeren wo gaa lay."
RUT.1.6," Alors, s'étant levée, elle et ses belles-filles, elle quitta les champs de Moab, car elle avait appris dans la campagne de Moab que Yahweh avait visité son peuple et lui avait donné du pain.","Then she arose with her daughters in law, that she might return from the country of Moab: for she had heard in the country of Moab how that the  Lord  had visited his people in giving them bread.","Hay na'ta Noomi hiɗi kuniya' sa boyna fokaya kay na' min hin fulda vi Mowab, kay na' humi hay fulda vi Mowab ala Ma-vatɗina humam gumawa kay sumuna valamu, kay nam vulsi va ma tinawa. ","A ngenan e si ya Môab, nde Naômi a nga nyoñe foé na Nti a maneya botane bôte ya si jé a ve be bidi. Ajô te a nga bo ngômesan ya bulan e si ya Yuda baa be mimbom mié mibaé. ","Akẽh na, Noˀemi a slikiɗam baɗ a Moˀapa ati ngwas ngi ziri naŋhay mucuwoy tuwa, asi ti naŋ misi ar Prok ngi Moˀapa, a cine na, Bumbulvuŋ ara ki slimiɗ ar mizli naŋhaya, ara vula taŋ gwat ngi mi gama kuy kuy. ","Na'omi ummi lesdi Mo'ab bee esiraaɓe muuɗum, warti lesdi Yahuuda ngam o nanino Jawmiraawo woonani yimɓe mum, hokki ɓe nyaamdu. ","Na'omi ummi lesdi Mo'ab bee esiraaɓe muuɗum, warti lesdi Yahuuda ngam o nanino Jawmiraawo woonani yimɓe mum, hokki ɓe nyaamdu. ","Hegɔ Naɔmi in o be-for yiitoo ɗafa mɔ mɛ e nú Mɔab duk wen a̧ zia so'e GASA WAN dee so ko ha̧ dukbíí kɔ‘i, ɓɛɛ ha̧ nyɔŋmɔ ha̧ wa. ","Hegɔ Naɔmi in o be-for yiitoo ɗafa mɔ mɛ e nú Mɔab duk wen a̧ zia so'e GASA WAN dee so ko ha̧ dukbíí kɔ‘i, ɓɛɛ ha̧ nyɔŋmɔ ha̧ wa. ","Ma kwa sebe ta ŋkɛ, cape hɛ le ka makwashia nta nyighɛ bake slə se mbe Mowab, kwa fate nde nahe Shala kekemanakɛ mbelia nta kandeke nda wəshi kezeme ke hɛ. ","Le äi sir ni jar Mowab wo ni mono, Nawmi raw laage ga Manwur fer we ko de el jar äen wo no, werga aà fer wo we daë reege. Do sen no mono, aà raw baa jag feçeçre äe ma ferge äi sir Juda de kaare äen wo no. "
RUT.1.7," Elle sortit  donc  du lieu où elle s'était  établie,  avec ses deux belles-filles et elles se mirent en route pour retourner au pays de Juda.","Wherefore she went forth out of the place where she was, and her two daughters in law with her; and they went on the way to return unto the land of Judah.","Na' kali goyo hay liyn ma musta va'a, kuniya'na ma' pet ay hiɗi na'a, nisi tun goy hay hagata kay hot hay nagata vi Yuda.","Ane be nga ke nsamba. Be ngenan e zen , ","A slikiɗam ati dideˀ naŋ mongosohoy mucuw tuwa, baɗ ar li taŋ misi anga. A mam nga ruwuy Zuda a muŋ. ","Ngam maajum ɓe acci nokkuure haa ɓe ngonno, kaŋko e esiraaɓe maako ɗiɗo fuu, ɓe naŋngi laawol lortugo lesdi Yahuuda. ","Ngam maajum ɓe acci nokkuure haa ɓe ngonno, kaŋko e esiraaɓe maako ɗiɗo fuu, ɓe naŋngi laawol lortugo lesdi Yahuuda. ","Naɔmi ee nú Mɔab duk. A̧ kura in o be-for-aa, ɓɛɛ wa ba war mɛ si ɗoŋ si Juda. ","Naɔmi ee nú Mɔab duk. A̧ kura in o be-for-aa, ɓɛɛ wa ba war mɛ si ɗoŋ si Juda. ",Pa slə te ŋkwa nya nza hɛ le makwashia nta nyi bake nyighɛ kezha zhɛne geva kadzete hɛɗia ka Zhəwda. ,"AÀ kal wo mbaara rawge äuy, ama wo dayge ti faage mono,"
RUT.1.8," Noémi dit à ses deux belles-filles : "" Allez, retournez chacune dans la maison de votre mère. Que Yahweh use de bonté envers vous, comme vous l'avez fait envers ceux qui sont morts et envers moi!","And Naomi said unto her two daughters in law, Go, return each to her mother's house: the  Lord  deal kindly with you, as ye have dealt with the dead, and with me.","Noomi di tam kuniya' sa ma'na: Tuɗgiya, gigekaw hot hay ziyna vi sulumu sulumu. Hin Ma-vatɗina li ŋaat katgi lige, ki nigi li ŋaata tam nisi sa mitina hiɗi nanu nala kaw. ","nde Naômi a nga jô mimbom mié mibaé na: Bulaʼan éyoñe ji, môt ase e nda nyia wé, Nti a boʼo mia mvaé avale fe mi nga bo ma a bôt be nga mane wu.  ","Amma Noˀemi a ɓa dideˀ naŋhay mucuw tuwa: «Cohom, mbur gar aru ng'avu mumuŋ. Anja Bumbulvuŋ a gukum mezle, kaɓa kum migaka mezle da vagay ziri ɗuwoy waɗ da ya na ya. ","Nden Na'omi wi'i esiraaɓe mum: “Ndille, lorte koo moy mooɗon haa saare daada  mum. Jawmiraawo woonana on, bana ko on ngaɗani maayɓe e ko on ngaɗani yam. ","Nden Na'omi wi'i esiraaɓe mum: “Ndille, lorte koo moy mooɗon haa saare daada  mum. Jawmiraawo woonana on, bana ko on ngaɗani maayɓe e ko on ngaɗani yam. ","Naɔmi tɔ̧ɔ̧ ha̧ o be-for yiitoo: «Ɛ̀nɛ̀ yák mɔ k’ɛ́nɛ́, kóó o ndé a̧ sí ɗoŋ tɛ nàà kɔ‘i. Ɓɛɛ GASA WAN a̧ dé demɔ in'nɛ̀ɛ́ hee mɔ'ɔ n’ɛnɛ dee so in o wan-fio nɛti, in hee mɔ'ɔ n’ɛnɛ dee so in am ga. ","Naɔmi tɔ̧ɔ̧ ha̧ o be-for yiitoo: «Ɛ̀nɛ̀ yák mɔ k’ɛ́nɛ́, kóó o ndé a̧ sí ɗoŋ tɛ nàà kɔ‘i. Ɓɛɛ GASA WAN a̧ dé demɔ in'nɛ̀ɛ́ hee mɔ'ɔ n’ɛnɛ dee so in o wan-fio nɛti, in hee mɔ'ɔ n’ɛnɛ dee so in am ga. ","Ma ke Nowɛmi sha ka makwashia nta nyi bake nyighɛ kwa hweŋkwa: «Zhɛneghe mə geva kalə sha mbelia ŋayɛ, yayata wəndə kalə sha meghekɛ! Pa Mahwətə menete ŋayɛ ganyɛ kala nya menete nda yɛ ke ŋwale tezhilia ɗa nyi kempə ba'a ke 'ya perə. ","Nawmi wii kaare äen wo ga: Fer wee mbay ni äay patala so, wosela yoo äay mo see mbe ni man äe so. Daga Manwur mo joñ äil de el see äay do maga nday hay joñ see jar hulin wo no lay no, mo joñn see äi lay. "
RUT.1.9," Que Yahweh vous fasse trouver à chacune du repos dans la maison d'un époux! "" Et elle les baisa. Elles élevèrent la voix et pleurèrent,","The  Lord  grant you that ye may find rest, each of you in the house of her husband. Then she kissed them; and they lifted up their voice, and wept.","Hin Ma-vatɗina vul mi gige jargi ma' pete kay nigi ma fi tun-sukka hay li ma nigi yaw jufay sara'a. Na' bowsiya, may nisi tun caw tiy hiɗi zimiyn ŋolo. ","Nti a boʼo na mi bi awoʼon, môt ase e nda be nnôme wé: ane a nga wubane be. Nde mimbom mi nga bete metyiñe yôp a yôn. ","Anja Bumbulvuŋ a ga, ki lumam zil mezlehey, mbur gar a cifi ar wuya a hay zil naŋ.» Dar a ja taŋ kuɓuy kuɓuy. Joˀ dideˀ naŋhay tuwa, a tuwam kaɗam kaɗam. ","Jawmiraawo hokka koo moy mooɗon siwtaare haa saare gorko mum.” Nden o jaɓɓiti ɓe. Ɓe mboyi masin, ","Jawmiraawo hokka koo moy mooɗon siwtaare haa saare gorko mum.” Nden o jaɓɓiti ɓe. Ɓe mboyi masin, ",GASA WAN a̧ dé h’ɛ́nɛ́ mɛ kpa de fara sɛn kɔ̧ tua ko ŋma mbe wíì n’ɛnɛ tɛ ba.» Ɓɛɛ wa hɛr ŋmaa. O be-for-aa hi̧a̧ kɔ̧a̧ nɛ̀ dɔka-a. ,GASA WAN a̧ dé h’ɛ́nɛ́ mɛ kpa de fara sɛn kɔ̧ tua ko ŋma mbe wíì n’ɛnɛ tɛ ba.» Ɓɛɛ wa hɛr ŋmaa. O be-for-aa hi̧a̧ kɔ̧a̧ nɛ̀ dɔka-a. ,Pa Mahwətə ndeke nda zhɛne mpi ke yayata ŋayɛ ki ghɛa zhilia ŋayɛ.» Pa həməwəve hɛ. Ntake hɛ kanehwene kwele kwele. ,"Daga aà mo haç war ne wosela yoo äay ma hayge liñ ni äe de fruygi. Blam äe aà raw klew kaare äen wo, ma joñ gwa' so ne hara. AÀ raw wo du' ro ne hen ti geë geëe, "
RUT.1.10," et elles lui dirent : "" Non; nous retournerons avec toi vers ton peuple. ""","And they said unto her, Surely we will return with thee unto thy people.","Nisi di ta'a: A'a, may naɗi, numa min tuɗ hiɗi naku hay jafna vagu. ","Ane mi nga jô Naômi na: Bi nji ke kômbô liʼi wo, bia be wo bia ye ke e be bôte ya ayoñe dôé. ","Akẽh na, a ɓakaŋ: «Ĩˀĩ! I mam bummoˀ nga wuzla mizli ɗikeye!» ","ɓe mbi'i mo: “Naa non, min njahdan bee maaɗa haa yimɓe ma.” ","ɓe mbi'i mo: “Naa non, min njahdan bee maaɗa haa yimɓe ma.” ","Wa tɔ̧ɔ̧ ha̧ a̧: «Weyaa, ɛɛ tɛ si in'nɛ̀ɛ́ si fara ko dukbíí k’ɛ́nɛ́.»","Wa tɔ̧ɔ̧ ha̧ a̧: «Weyaa, ɛɛ tɛ si in'nɛ̀ɛ́ si fara ko dukbíí k’ɛ́nɛ́.»",Ma ke hɛ shɛ: «Ewə ghen'yɛ kalə yitea gha sha mbelia ŋa.» ,day wiin wo ga: Bay wa wuur wo kañ moge äi sir äo. 
