livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
SNG.1.1," Cantique des Cantiques, de Salomon.","The song of songs, which is Solomon's.","Nul ma suw nulla, vi Salomon","E jia ja dañ abeñ, jia Solômon.",Hana i dimis mimezle wãˀ ngi Salomoŋ.,Ndaa yimre Suleymaanu ɓurnde wooɗugo nder gime fuu .,Ndaa yimre Suleymaanu ɓurnde wooɗugo nder gime fuu .,Ɛ̧ɛ̧ nɛ gba de ɔ̧ɔ̧ nyɔ̧ɔ̧ gima ko Salomɔŋ nɛ gana o dɔka gima lɛŋ.,Ɛ̧ɛ̧ nɛ gba de ɔ̧ɔ̧ nyɔ̧ɔ̧ gima ko Salomɔŋ nɛ gana o dɔka gima lɛŋ.,Cimə nya zeɗe ma hwa pɛtɛa yɛ cimə. Nahe nde kenza hwa wəshi nyi rafete Salomon.,Siñ mani Salomoñ ma de dañ siñn wo no!
SNG.1.2, Qu'il me baise des baisers de sa bouche !  Car ton amour est meilleur que le vin ;,Let him kiss me with the kisses of his mouth: for thy love is better than wine.,"Hinim ŋaf vunam hiɗi nanu, coɗan hiɗi vunam noŋo, kay darta vaŋu na' kiran ŋaa'a suw vinna.","A tame wubane ma a nlatane yʼanyu dé! Amu nyeñelane wôé ô ne mvaé a dañe woon,","Jiy kuɓuy so, curɓiy mi ko mbak le ta, asi wuɗa vu ɗike, a wiy duwlak fineˀ mbaazla,",Hebbam kebbaaɗe bee hunnduko! Yiide ma ɓuri inaboojam welugo.,Hebbam kebbaaɗe bee hunnduko! Yiide ma ɓuri inaboojam welugo.,"Mɛ ɗɔ́ŋ pii ti mɛ dúí nú‘m! Mɛ tɛ́ɛ̀ hɛr am a'i, wɔ-mɛ gbɛa'm gan dɔ̧ɔ̧,","Mɛ ɗɔ́ŋ pii ti mɛ dúí nú‘m! Mɛ tɛ́ɛ̀ hɛr am a'i, wɔ-mɛ gbɛa'm gan dɔ̧ɔ̧,","Həməwəve ɗa, həməwəve ɗa gi! Nahe ɗe ta ŋa keghwəyimte ɗa za ma ke tɛ,",Daga a mo soä jag äi! Dage äon de dañ yii.
SNG.1.3," tes parfums ont une odeur suave, ton nom est une huile épandue ; c'est pourquoi les jeunes filles t'aiment.","Because of the savour of thy good ointments thy name is as ointment poured forth, therefore do the virgins love thee.","Urdina vaŋu his ŋaa'a ŋolo, semda vaŋu ki urdin ma yamam goyo nala; kuɗ na'ta kayni guro-boyna ka minaŋu.",a dañ ényume ya mimbone mi ôlobinda miôé. Womien ô ne ôlobinda a ne mbamba nkôman. Ajô te nde bengo be binga ba nyeʼe wo.,"i mezle fineˀ zĩˀĩ ngi urdi ɗikey na. Deŋ ɗike, naŋ ka urdi mipal naŋ kine mazĩˀĩ ndum. Diilihey mawuɗokuw haɗa na vurˀe.","Uureeŋgol uurle maaɗa weli masin, innde maaɗa woni uurdi ilanndi, ngam daliila man faanyɓe fuu ngiɗi ma.","Uureeŋgol uurle maaɗa weli masin, innde maaɗa woni uurdi ilanndi, ngam daliila man faanyɓe fuu ngiɗi ma.",gana gan de pɛr nɔ̧́-nyama nɛ mɛ sɔ̧a̧. Wɔ-mɛ gbɛ wi hee de pɛr nɔ̧́-nyama ga; nɛ mɔ‘i a̧ o be-zɔŋa tɛ gbɛ nɛ tɛ wen zu mɛ‘i!,gana gan de pɛr nɔ̧́-nyama nɛ mɛ sɔ̧a̧. Wɔ-mɛ gbɛ wi hee de pɛr nɔ̧́-nyama ga; nɛ mɔ‘i a̧ o be-zɔŋa tɛ gbɛ nɛ tɛ wen zu mɛ‘i!,za ma ke zəŋwəa yɛ 'wərdəa ŋa. Kala 'wərdə ganyɛ na. Vatse ɗehwe ŋa deghelɛshi.,Foçoçre trusa äon raw de ele. Ëu äon do trusa maga yaçaç ngeel go nono. Diñ wersen so ga mayre tigliiri da wo ndo mono.
SNG.1.4," Entraîne-moi après toi ; courons ! Le roi m'a fait entrer dans ses appartements ; nous tressaillirons, nous nous réjouirons en toi : nous célébrerons ton amour plus que le vin. Qu'on a raison de t'aimer ! L'ÉPOUSE.","Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee.","Tapanis kuɗaŋu, numa min jaŋis kuɗaŋu. Mulla kalanawa kulo hay ziyda valamu, numa ma kal hay firita ŋolda kuɗag naku; numa ma li firi kay darta vagu suw firita vi vinna. Nisi minag kayn hay liyamu.","Dutuʼu ma e mvuse jôé, e mateʼe mbil. Njô bôt a boʼo ma me nyiin étune nda jé été, bia bebaane bese bi tame muñ a vak ane mekut; Bi tame fône nyeʼane wôé wo bian a dañe woon. Bengo be binga ba nyeʼe wo ba bele!","Jiy haŋ kaw, kulukum cuwa. Buy ɗu ci ti ya nga viŋ ɗiki. Juɗukum mececẽleŋ, mumulukum asi mezle ɗik na. Gukum muguzlum ngi wuɗa vu ɗik mundum fineˀ mbaazla na. Ziri mongosohoy mawuɗam ka haɗa na, naŋ kaslsla.","Fooɗam ɓaawo ma, njaawen bee pargal! Laamiiɗo nastini yam nder cuuɗi mum. En ngonan nder welwelo e seyo ngam barka maaɗa, en maŋgtan yiide ma ko ɓuri inaboojam. Bee daliila laaɓka rewɓe fuu ngiɗi ma.","Fooɗam ɓaawo ma, njaawen bee pargal! Laamiiɗo nastini yam nder cuuɗi mum. En ngonan nder welwelo e seyo ngam barka maaɗa, en maŋgtan yiide ma ko ɓuri inaboojam. Bee daliila laaɓka rewɓe fuu ngiɗi ma.","Mɛ kasi er-am, ɛɛ ma yi! Mɛ nɛ wannu kɔ‘m, mɛ mgbɔ‘m si kɔ̧ gɔna-bɛr-tua kɔ-mɛ h’ɛ́ɛ́ de tortɛ de nɛ nyɛŋɛ tɛ ŋmaa, ɛɛ yiitoo lɛŋ. Ɛɛ de tortɛ  kɔ̧ɔ̧mɔ  kɔ-mɛ nɛ gbɛ wi gan dɔ̧ɔ̧; nyɛma-a a̧ nyɛm na ɓɛɛ sa o be-zɔŋa tɛ gbɛ tɛ wen zu mɛ!","Mɛ kasi er-am, ɛɛ ma yi! Mɛ nɛ wannu kɔ‘m, mɛ mgbɔ‘m si kɔ̧ gɔna-bɛr-tua kɔ-mɛ h’ɛ́ɛ́ de tortɛ de nɛ nyɛŋɛ tɛ ŋmaa, ɛɛ yiitoo lɛŋ. Ɛɛ de tortɛ  kɔ̧ɔ̧mɔ  kɔ-mɛ nɛ gbɛ wi gan dɔ̧ɔ̧; nyɛma-a a̧ nyɛm na ɓɛɛ sa o be-zɔŋa tɛ gbɛ tɛ wen zu mɛ!","Ntsehe ɗa kwa sebe ta ŋa, hwɛ ɓə kanya kwetɛŋe. Meghea ɗa, keleghe ɗa kadzembe cɛa ŋa. Ma te zlaɓa ta ŋa gɛ ne, katezlama gheɓə kwele kwele. Katefa deme gheɓə te yɛ saɗe ta ŋa nyi zeɗe zeɗe ma ke tɛ. Kaganda ya va deghelɛshi nyi keɗe ŋa.","Kog ndi wer äo, naa ëee de kaçaçra! Wañ hay kal wo de äi äil tiñ äen wo. Wuur fruy, wuur joñ äil go feh na wer äo. Wuur sena' dagen de dañ yii. Jar da wo ndo na diñ ti ngeel äe mbe."
SNG.1.5," Je suis noire, mais belle, filles de Jérusalem, comme les tentes de Cédar, comme les pavillons de Salomon.","I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.","Nan wura nil', may nan jifiya, guro-boyna vi Yerusalem, nan ki guɗukŋa vi Kedar nala, ki tapina vi Salomon nala.","A bengone ya Yérusalém, me nʼévindi, ve me too abeñ ane menda bindelé me ne mboon a mimvote mi nʼékukut, avale fe ane bitôtoʼo bindelé ba tyelé mimbé a bevundi.","Kum diili Zeruzalemey, ya kakayak kakayak ɓula, amma yi diili mukuy, ya kakayak kakayak kaɓa guɗuk a Kedar, kaɓa godo hirngahay.","Ndaa, mi ɓalwi, ammaa mi ŋarniiɗo boo, onon faanyɓe rewɓe nder Urusaliima fuu. Bana laymaaji haa Keedar mi ɓalwiri, bana wiirndallooji Suleymaanu mi wooɗiri.","Ndaa, mi ɓalwi, ammaa mi ŋarniiɗo boo, onon faanyɓe rewɓe nder Urusaliima fuu. Bana laymaaji haa Keedar mi ɓalwiri, bana wiirndallooji Suleymaanu mi wooɗiri.","O boko-be Jerusalɛm, kɔ‘m, ndàrá-tɛ‘m nɛ̀ tu̧-a̧, ɓɛɛ mi nɛ gba de be-zɔŋa; ndàrá-tɛ‘m ɔ ɓɔ́í̧ɔ̧m hee tua-laa ko o be Kedar ga, nɛ de-a hee laa-kpe-nú tua ko Salomɔŋ ga.","O boko-be Jerusalɛm, kɔ‘m, ndàrá-tɛ‘m nɛ̀ tu̧-a̧, ɓɛɛ mi nɛ gba de be-zɔŋa; ndàrá-tɛ‘m ɔ ɓɔ́í̧ɔ̧m hee tua-laa ko o be Kedar ga, nɛ de-a hee laa-kpe-nú tua ko Salomɔŋ ga.","Yawa, ŋwalea kwɛ nyi mbe Zhɛrəzalɛm, ɗɛke ɗɛke 'ya, ama kendeɗe ɗa 'ya kala cɛ lekwesa nyi mbe Kɛdar, kala mayafe nyi ganji ganji.","Nday mayre Jerusalem no, Ndi mbi diñ may ma de corge, Ane ndi mbi de wore do tiñ oçoçbe ma ti sir Kedarn wo nono, Do rido ma de wore mani Salomoñ wo nono."
SNG.1.6," Ne prenez pas garde à mon teint noir, c'est le soleil qui m'a brûlée ; les fils de ma mère se sont irrités contre moi ; ils m'ont mise à garder des vignes ; ma vigne, à moi, je ne l'ai pas gardée.","Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.","Nigi ma muɗ ɦuyum' kay wurata vanɗi, muɗan wura kayn ti fatta, gurona vi sunu diksi ɓulakay katanu, nisi musan goy ŋom gulda-guldana, gulda-guldana van kay tuwanu nan may ŋomomɗi.","Te fombane ma nge me nʼévindi, vian ñwô ô nga bo me nalé. Bone be nane be nga yaa ma; ane be nga telé ma mbaʼale mefube mindik. Vʼafube mindiʼi dame mamien nde me nji baʼale.","Ki jam lesl vur ya mikakayak kakayak na ta, i pas mulusiy kanah. Sukum ɗuwoy a jam mevel le ar ya, a cifikiy ɓa yi jigin guva ngi gudubun, amma kuy ngi vu ɗu, yi jigina ta.","Taa ɓalwal ɓanndu am sukla on, ɗum naaŋge ɓalwini yam! Deerɗiraaɓe am tikkani yam, ɓe ndooli yam aynugo gese inabooje, ngesa inabooje am kam, mi aynaay ka.","Taa ɓalwal ɓanndu am sukla on, ɗum naaŋge ɓalwini yam! Deerɗiraaɓe am tikkani yam, ɓe ndooli yam aynugo gese inabooje, ngesa inabooje am kam, mi aynaay ka.","K’ɛ́nɛ́ zɔk nɛ tu̧ tɛ‘m na, wen nɛ wese a̧ dɔɔ am. Nɛ o nya'm a̧ dee ha̧ tɛ‘m mɛ tu̧; wa ee am mɛ pɛm nyak-dɔ̧ɔ̧. Ɓɛɛ war nyak-dɔ̧ɔ̧ kɔ‘m mi pɛm na.","K’ɛ́nɛ́ zɔk nɛ tu̧ tɛ‘m na, wen nɛ wese a̧ dɔɔ am. Nɛ o nya'm a̧ dee ha̧ tɛ‘m mɛ tu̧; wa ee am mɛ pɛm nyak-dɔ̧ɔ̧. Ɓɛɛ war nyak-dɔ̧ɔ̧ kɔ‘m mi pɛm na.","Mare ɗa ma yɛ kala nya va nya nza 'ya ɗɛke ɗɛke ma, veci nde zhɛrete ɗa ɗɛke ɗɛke. Nahe wənəa ka kesaka meyɛ ɗa kebezenyɛ va 'ya, nahe hɛ keveyi ɗa kakwa ya rɛzɛŋe. Ama kaŋa rɛzɛŋea ɗa ne, kese 'ya kaya ŋkɛ we.","Ko wee diñ corge äin wa, ceeg cor ndi go. Weere geman äin soçoç wo äil ne ndi ti, Day saara kal kañ ndi gor payre tlalum wo. Pay tlalum ma äin de see äi gor ti do äi gaa so."
SNG.1.7," Dis-moi, ô toi que mon coeur aime, où tu  mènes  paître  tes brebis , où tu  les  fais reposer à midi, pour que je ne sois pas comme une égarée, autour des troupeaux de tes compagnons. LE CHOEUR.","Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?","Daniya, naŋu ma dikan minaŋŋa, danay kay liyn ma naŋ ŋom farayna vaŋ hayna, danay kay fara ma naŋ molom haya kay tun sukan hay falayta, a nan ma viy goy tiŋ-tiŋ' jar farayna vi nuriyoŋŋa kayni kay mige?","Kate ma, a wo nleme wom wo nyeʼe, e vôme wo ve mbame wôé bidi, e vôme wo ve wô awoʼone zañe môs . Amu na amu jé ma ye yené ane nyô a ke ndeñ e fefele mimbame biyeme bemvôé bôé?","Ka mbur ngi si mevel ɗu wãˀ, inga bigiy li ka majigina ginew ɗik mitaˀ gezleŋ, li ka mamusuk vu ti taŋ ti wuzla papas na. ɓa y'anta rudigi kiŋkiŋ lambaˀ ngir ti ciki ginew ngi ngama ɗikey ta.","An mo ɓernde am yiɗi ɗum, anndinam: Toy a durata tokkere baali ma? Toy a siwtinta ɗi caka naaŋge boo? Ngam taa mi laato bana debbo nootoowo haa kommbi tokke ngorgiraaɓe ma.","An mo ɓernde am yiɗi ɗum, anndinam: Toy a durata tokkere baali ma? Toy a siwtinta ɗi caka naaŋge boo? Ngam taa mi laato bana debbo nootoowo haa kommbi tokke ngorgiraaɓe ma.","Mɛ yaa-dua-see-am’ɛ, mɛ̀ tɔ̧́ ha̧‘m; mɛ tɛ dai o mɔ-dai kɔ-mɛ si dee? Mɛ tɛ a wa mɛ ɔm tɛ wese-see-zu’ɛ si dee? Mɛ tɛ dai o mɔ-dai kɔ-mɛ si dee? Wen ka'm tɛ̀ɛ́ yambali nɛ ɗoŋ o mɔ-dai ko o sɛm kɔ-mɛ.","Mɛ yaa-dua-see-am’ɛ, mɛ̀ tɔ̧́ ha̧‘m; mɛ tɛ dai o mɔ-dai kɔ-mɛ si dee? Mɛ tɛ a wa mɛ ɔm tɛ wese-see-zu’ɛ si dee? Mɛ tɛ dai o mɔ-dai kɔ-mɛ si dee? Wen ka'm tɛ̀ɛ́ yambali nɛ ɗoŋ o mɔ-dai ko o sɛm kɔ-mɛ.","Ma gha nya ɗe 'ya ne, gezete ɗa ŋkwa nya ya wəshi keseɗa ta ŋa na te, ŋkwa nya tsa beke na te ke hɛ kwa ghə veci. Ma tsagha ne, katendeŋe 'ya dzeyi hwa wəshi keseɗa ta ka mandalahɛ ŋa we.","Ndo maga äil äi da mo mono, Kañ nen äi ti ngeel maga ndo le de koë horog wo ni mono, Ti ngeel maga ndo lag ra iggi de wur ëeger ni mono, Nen maga ndi mo hay go de welge do waçy po Maga go caw kiigi ti jeñ horog maga kaçaçra äon wo de koë rage no wa."
SNG.1.8," Si tu ne le sais pas, ô la plus belle des femmes, sors sur les traces de  ton  troupeau, et  mène  paître tes chevreaux près des huttes des bergers. L'ÉPOUX.","If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents.","Nak ta jifiy suw boyn kafta, la nak may wiɗi na, kalag ay goy hay sem fukunayna, ŋomag guro fok-meena vagu goboy tam gurona vi sa ŋom fok-dimina.","Nge ô ne te yem de, a wo wo dañe binga bese abeñ, tôñe mezene me bone mimbam, a ve bone bikela biôé bidi bebé e bibeme bebaʼale mintômba.","Ka mukuy teˀ ngi wuzla ngwasay, da ka, ki si na ta na, bi, sipa baraf ngi tumuŋhoy, pula ziri ˀaw ɗikey a zumam aciki hay ngi mijigineye.","To a anndaa nokkuure man sam, an boo, an mo ɓuri rewɓe fuu wooɗugo, nden kam tokka batte dammooji non, mbe'oy maaɗa ndehoy, a yahra koy durugo ton, haa nokkuure waynaaɓe fuu njooɗoto.","To a anndaa nokkuure man sam, an boo, an mo ɓuri rewɓe fuu wooɗugo, nden kam tokka batte dammooji non, mbe'oy maaɗa ndehoy, a yahra koy durugo ton, haa nokkuure waynaaɓe fuu njooɗoto.","Daŋ-ká-wese-bia kɔ‘m, kà mɛ nɛ iŋa fara'i na, ɓɛɛ mɛ ɓa nɛ ɗoŋ o mɔ-dai nɛnɛ; mɛ kai o be gbadua kɔ-mɛ nɛnɛ ha̧ wa mɛ nyɔŋ mɔ ká̧ ɓoramɔ ko o wan-dai-mɔ.","Daŋ-ká-wese-bia kɔ‘m, kà mɛ nɛ iŋa fara'i na, ɓɛɛ mɛ ɓa nɛ ɗoŋ o mɔ-dai nɛnɛ; mɛ kai o be gbadua kɔ-mɛ nɛnɛ ha̧ wa mɛ nyɔŋ mɔ ká̧ ɓoramɔ ko o wan-dai-mɔ.","Male nya ganyɛ ma hwa mi, ma keɗepema ŋkwa shɛ na ne, zelete yɛ ŋkwa seɗa ta timɛti, ya zhɛgwəa lɛməa kwia ŋa dzeyi vare ghwəlia ka ya wəshi.","O, ndo waçy ma de dañ kaçaç wore no, Hayga ndo kon gaa ëa no, Ni ndo kal go mañ blam fiiri wo, Day ni ndo wo koë weere fiiri äon wo ti jeñ ngeel Maga jar koë horogn wo wo de tiñ ni mono."
SNG.1.9," A ma cavale,  quand elle est attelée  aux chars de Pharaon, je te compare, ô mon amie.","I have compared thee, O my love, to a company of horses in Pharaoh's chariots.","Nak bananta, nan ŋirag hiɗi kulum ta cata ta ka tam kekena vi Farawn.","A édiñe mvôé jam, ma funane wo ane abeñ ékabela é tii e bevagoñ bita be Faraoñ.","Ka yeme ɗu, ka njikimaˀ ka jagara pilis mujuwa le da mota ngi vurum ngi buy madiɗa ngi Ezipte.","Bee puccu ndewu haa moota Firawna, bana nii nanndinmaami, giɗaaɗo am.","Bee puccu ndewu haa moota Firawna, bana nii nanndinmaami, giɗaaɗo am.","Sɛm kɔ‘m, tɛ zɔkamɔ kɔ‘m, mɛ duk hee gba de nyaŋa ko Faraɔŋ ga.","Sɛm kɔ‘m, tɛ zɔkamɔ kɔ‘m, mɛ duk hee gba de nyaŋa ko Faraɔŋ ga.","Meghwate ɗa, kala gədəwə nya ganyɛ, nya kentsehe wəmata ta Farawon newe ŋa 'ya.","O, ndo may gom äi no, ndi ngaä ndo na de manpir Maga pus durgi mani Farawoñ de jagge wer äe mono."
SNG.1.10," Tes joues sont belles au milieu des colliers, ton cou  est beau  au milieu des rangées de perles.","Thy cheeks are comely with rows of jewels, thy neck with chains of gold.","Geliyag jifiy ŋolo jar kermena, dekdelag jifiy ŋolo jar dif ma kella.",Bimvônga bia ndeñe wo melo bia ve memañe môé abeñ Metabé ma ve fe tyiñe jôé abeñ.,"Kwala ɗik a pur fetek fetek tisi ngwic hirnga ɗik muslupa na, ˀay ɗike ndat ti virzle ɗikeye.","Gole maaɗa ɗe mbooɗi bee yeri ma, non boo daande ma caka koɗoy ma.","Gole maaɗa ɗe mbooɗi bee yeri ma, non boo daande ma caka koɗoy ma.","Mɔɔ-a-zer-mɛ baa nɛ mɛ, mɛ yaa ger-ba-nɛ-kisi’ɛ.","Mɔɔ-a-zer-mɛ baa nɛ mɛ, mɛ yaa ger-ba-nɛ-kisi’ɛ.","Nahe yɛ ghweleme ta ŋa kenza kendeɗe ndeɗenji, jive kwelɛ wəshi nyi mbe sleme ta ŋa. Nahe welɛa ŋa kenza kendeɗenyɛ va livə nyi kwa.",Haw äo ndar wo le ka' ka' yoo feçeçre ma de wore ma de heerge see äon wo. Soole äo ko de wore wer redewn wo.
