livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
ZEC.1.1," Le huitième mois, en la deuxième année de Darius, la parole de Yahweh fut  adressée  à Zacharie, fils de Barachie,  petit- fils d'Addo, le prophète, en ces termes :","In the eighth month, in the second year of Darius, came the word of the  Lord  unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,","Hay til ma glafandina vi busata ma'ta vi mulla Dariyus, Ma-Vatɗina di yoboyn tam Zakariya goora vi Berekiya goor-ŋolona vi Iddo, Ma-Vatɗin ka dum ala: ","E ngone muame ya mbu baa Darius a nga jôô, ñwô Nti a nga kobô nkulu mejô Zakari, e mone Bérékia, e mone Iddô na:","Ar kiya midangafaɗ naŋ, naɓa Dariyus a ɓul di i vi mucuw naŋ ar zumabuy naŋ na, Bumbulvuŋ a ɓa mijiviɗ Zakari, mangal ngi Berekiya, dideˀ ngi Ido: ","Nder nduuɓu Dariyus laamiiɗo Persiya ɗiɗaɓu, nder lewru joweetataɓru, Jawmiraawo wolwani annabi Zekariya ɓii Berekiya, taaniraawo Iddo ni'i : ","Nder nduuɓu Dariyus laamiiɗo Persiya ɗiɗaɓu, nder lewru joweetataɓru, Jawmiraawo wolwani annabi Zekariya ɓii Berekiya, taaniraawo Iddo ni'i : ","Darius ɔɔ wan pɛ yiitoo, ɓɛɛ tɛ mɔɔrɔ-ɗoŋ-taar fio-zɛ, GASA WAN ee wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Zakarii bem ko Berekia, be-koo Ido,  ","Darius ɔɔ wan pɛ yiitoo, ɓɛɛ tɛ mɔɔrɔ-ɗoŋ-taar fio-zɛ, GASA WAN ee wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Zakarii bem ko Berekia, be-koo Ido,  ","Ma te kwa deghese ta tere, mbe kwa bake ta va ta Dariyəs te meghe ne, ma ke Mahwətə sha nde mɛ ŋkwa Zakari, wəzege ta Bɛrɛkiya ba'a shia Ido:","Nen few ma de nenma' no, nen kiñgi ma de äog maga Dariyus ti wañ mono, Manwur kal fer waçaçre ne Sakari je ni Berekiya no, je ni Iddon do kay nono ga: "
ZEC.1.2, Yahweh a été dans un grand courroux contre vos pères.,The  Lord  hath been sore displeased with your fathers.,Nanu dikan bulak ŋolo kat sumaygiya. ,Nti a nga wôʼô bʼésoo bôé ôlun abui. ,«Ya Bumbulvuŋ i ji mevel le haɗa ar dideˀ kumoyo.» ,“Min Jawmiraawo mi tikkani kaakiraaɓe mooɗon masin. ,“Min Jawmiraawo mi tikkani kaakiraaɓe mooɗon masin. ,__Error__,__Error__,«Nahe 'ya Mahwətə kehwepete wənə kwele kwele va ka shihɛ ŋayɛ.,Manwur hay car jiili le go ne paçaçre äay wo ti debañ. 
ZEC.1.3," Et tu leur diras : Ainsi parle Yahweh des armées : Revenez à moi, – oracle de Yahweh des armées, et je reviendrai à vous, – dit Yahweh des armées.","Therefore say thou unto them, Thus saith the  Lord  of hosts; Turn ye unto me, saith the  Lord  of hosts, and I will turn unto you, saith the  Lord  of hosts.","Naŋ ma di tisi ala: Ma-Vatɗina vi vok-ma-duura ka di ala: Hotgiyay tanu, -- din mi Ma-Vatɗina vi vok-ma-duura -- nan ma hotis kirgi kaw, din mi Ma-Vatɗina vi vok-ma-duura. ","Ajô te jôʼô be na: avale di nde Nti a ne ngul ése a jô na: Bulaʼane be ma, nalé Nti a ne ngul ése a jô, a ma ma ye bulane be mia, nalé Nti a ne ngul ése a jô.","Ɓa taŋ na: «Ya Bumbulvuŋ misi gidaŋ wãˀ a, i ɓi ani: Moko ng'avi ya. Yo ya Bumbulvuŋ misi gidaŋ wãˀa, i ɓukum na, i sa mo ng'avu kumo. I ya Bumbulvuŋ, misi gidaŋ wãˀ maɓi. ","Wi' ɓe, ndaa ko Jawmiraawo honooɓe asama wi'i: Lorte haa am, nden min boo mi lortoto haa mooɗon. ","Wi' ɓe, ndaa ko Jawmiraawo honooɓe asama wi'i: Lorte haa am, nden min boo mi lortoto haa mooɗon. ",__Error__,__Error__,"Ma pa na sha geze nda ke ka Israyɛl: Wa nya ghena nya geze Mahwətə nde berete nya: Zhɛne mə geva kase sha 'ya Mahwətə nde berete, katezhɛne geva 'ya kase sha gheyɛ. 'Ya Mahwətə nde berete nde gezete.","Ndo waçaç ge ne hara ga: Manwur Pantway waçaç do kay nono: Ga fer wee le see äi, kay diñ jag Manwur Pantway, day ni ndi fer yañ le see äay, Manwur Pantway waçaç dosen nono. "
ZEC.1.4," Ne soyez pas comme vos pères, auxquels ont prêché les premiers prophètes en disant : "" Ainsi parle Yahweh des armées : Revenez donc de vos mauvaises voies, et de vos mauvaises actions ! "" et qui n'ont pas écouté et ne m'ont pas prêté attention, – oracle de Yahweh.","Be ye not as your fathers, unto whom the former prophets have cried, saying, Thus saith the  Lord  of hosts; Turn ye now from your evil ways, and from your evil doings: but they did not hear, nor hearken unto me, saith the  Lord .","Nigi ma li tuwgi ki sumaygi naɗi, nisiya, sa jobta sa jewn kus yoboyn tisi ala: «Humgi va ma Ma-Vatɗina vi vok-ma-duura di'e, hotgiyay bugolgiya tam hagata vigi ta joota pa, hingi law ta joota vigi goyo». May nisi min humɗi, nisi min tun ŋalda visi kanɗi. Din mi Ma-Vatɗina. ","Te mia vu bʼésoo benan mbe bete bekulu mejô be nga kobô be melu mvus na: avale di nde Nti a ne ngul ése a jô na: bulaʼan a bene mbia mezene menan a mbia mimboone benan, ve be nji wôk nge nyoñe me ngap, nalé Nti a jô. ","Ki sipaka sar ngi dideˀ kumoyo ta. Mijiviɗ mudumbuŋhoyo, a tilaka taŋ mi le zleˀe, a ɓaka t'ani: ‹Bumbulvuŋ misi gidaŋ wãˀa, a ɓi na: Moko so, jiviɗ malambaˀ kum masipaka ati gwat ngi gi kum malambaˀ na, pulaka›, amma a cinam mi ta, yo a kam slimiɗ ar ya ta. I ya Bumbulvuŋ maɓi. ","Taa laate bana kaakiraaɓe mon. Annabi'en ɓooyma ngooynani ɓe: Ndaa nii Jawmiraawo honooɓe asama wi'i: Lorte e laabi mooɗon kalluɗi, tuube, acce kuuɗe mooɗon kalluɗe! Ammaa ɓe nanaay, ɓe kakkilanaay wolde am. ","Taa laate bana kaakiraaɓe mon. Annabi'en ɓooyma ngooynani ɓe: Ndaa nii Jawmiraawo honooɓe asama wi'i: Lorte e laabi mooɗon kalluɗi, tuube, acce kuuɗe mooɗon kalluɗe! Ammaa ɓe nanaay, ɓe kakkilanaay wolde am. ","K’ɛ́nɛ́ zɔk ɗoŋ mɔ ko o zɔmdáa k’ɛ́nɛ́ na. O  wi-tɔ̧-wen  oi nú Sɔ̧ tɔ̧ɔ̧ so ha̧ wa'e: ‹Mi GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ saa'nɛ́ mɛ pii ɗoŋ, wen ee ɗaŋ yuwar in ɗaŋ deemɔ k’ɛ́nɛ́ duk,› ɓɛɛ wa kɔ̧ mɛ zii wen'i mɛ mbo zu sɛnɛ ha̧‘m na. GASA WAN a̧ tɔ̧ wen’ɛ. ","K’ɛ́nɛ́ zɔk ɗoŋ mɔ ko o zɔmdáa k’ɛ́nɛ́ na. O  wi-tɔ̧-wen  oi nú Sɔ̧ tɔ̧ɔ̧ so ha̧ wa'e: ‹Mi GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ saa'nɛ́ mɛ pii ɗoŋ, wen ee ɗaŋ yuwar in ɗaŋ deemɔ k’ɛ́nɛ́ duk,› ɓɛɛ wa kɔ̧ mɛ zii wen'i mɛ mbo zu sɛnɛ ha̧‘m na. GASA WAN a̧ tɔ̧ wen’ɛ. ","Tekema ka shihɛ ŋayɛ yɛ ma. Ma vəashi ne, nahe ka mɛ ŋkwa kese kafɛa hɛ yitea hweŋkwa kwa ndiremi ba'a slene nyi ndiremi ndiremi te sləa ɗa, ama kese hɛ kaɗe kafa ɗa ba'a kantsehwele yitea 'ya we. 'Ya Mahwətə nde gezete. ","Hay wee do paçaçre äay wo no wa so, maga jar ndar nen waçaçre ma jag Baa ma tañgun hay wo wii rage gano: Manwur Pantway waçaç do kay nono: Ga fer wee le de faage äay ma de älaggen wo no, de joñre äay ma de älaggen wo no. Ama aà laa wo dayge kañ ëiggi ti äi gaa, kay diñ jag Manwuri. "
ZEC.1.5," Vos pères, où sont-ils? Et les prophètes, pouvaient-ils vivre éternellement?","Your fathers, where are they? and the prophets, do they live for ever?",Wulini sumaygi ka arige? Nigi var ala sa jobta vigi ma fot kulo su? ,"Ve be, bʼésoo benan, be ne vé den? Bekulu mejô ki ye be ngenane be vee? ",Taŋ ama ani dideˀ kumoy vuna ska? Yo mijiviɗey vuna t'ada aruŋ kwa? ,Toy kaakiraaɓe mooɗon? Annabi'en boo ɗon ngeeɗa haa foroy na? ,Toy kaakiraaɓe mooɗon? Annabi'en boo ɗon ngeeɗa haa foroy na? ,"Ɓɛɛ kinii, o zɔmdáa k’ɛ́nɛ́ a̧a̧ dee? O  wi-tɔ̧-wen  oi nú Sɔ̧ k’ɛ́nɛ́ nɔ‘i a̧ duk kpasa'i? ","Ɓɛɛ kinii, o zɔmdáa k’ɛ́nɛ́ a̧a̧ dee? O  wi-tɔ̧-wen  oi nú Sɔ̧ k’ɛ́nɛ́ nɔ‘i a̧ duk kpasa'i? ",Tema ka shihɛ ŋayɛ tse wa? Kaghala ghala nzanji ka mɛ ŋkwa teghweme na? ,Paçaçre äayn wo äa! AÀ wo na gen so la ga page? Day jar ndar nen waçaçre ma jag Baan de hay joñ wo ma tum sug yawla? 
ZEC.1.6," Mais mes paroles et mes décrets, dont j'avais chargé mes serviteurs les prophètes, n'ont-ils pas atteint vos pères, si bien qu'ils se sont convertis et ont dit : "" Comme Yahweh des armées avait résolu d'agir à notre égard, selon nos voies et selon nos actions, ainsi il a agi envers nous. ""","But my words and my statutes, which I commanded my servants the prophets, did they not take hold of your fathers? and they returned and said, Like as the  Lord  of hosts thought to do unto us, according to our ways, and according to our doings, so hath he dealt with us.","May yoboyna vanu hiɗi gatta ta nan vula' hay vun sa sunda vanu sa jobta, yoboy namna may co tam sumaygiɗi su? Nisi muɗ varta visiya, nisi di'e: Lawna vi vok-ma-duura gatayawa, nam vilek kay lay joo'o kayn kuɗ hagat joo'o ta nay sla'ta hiɗi lop ma joona vaya.","Ve minkobô miam a mintyiʼane miam me nga kalane bebo bisaé bam, bekulu mejô, ye mi nji kui e be bʼésoo benan? Eyoñe te be nga bulan a meme na: Nti a ne ngul ése a nga tyiʼi na a bo bia avalʼane mezene mangan me né, a avalʼane mboone wongan ô né, a avale te foʼo a nga bo bia.","Dambalaka ɓi ɗuwoy, ya miɓa taŋ ɗaˀ le, yo ɓi ya mujuwa taŋ a mevel ɗu, ya muvula asi haŋ ngi mijiviɗ, gawla ɗuwoy na, a ci le avu dideˀ kumoyo kwa? Dar a moko, taŋ ti balam taŋ a njikaka le, a ɓam: ‹Bumbulvuŋ misi gidaŋ wãˀa, a juwa le a mevele, a gi ti ndra le weˀe avu jiviɗ ndra masipakaŋ ati gwat ngi gi ndra, yo naŋ migi ti ndrakanah vuna, naŋ kaslsla gwaɗ naŋ.","Ammaa mi ukkani kaakiraaɓe mooɗon naalooje fodde bolle am e farillaaji am ɗum umrumi sukaaɓe am annabi'en. Nden ɓe lorti, ɓe mbi'i: Jawmiraawo honooɓe asama anninino waɗugo min fodde laabi amin e kuuɗe amin, non o waɗi boo.”","Ammaa mi ukkani kaakiraaɓe mooɗon naalooje fodde bolle am e farillaaji am ɗum umrumi sukaaɓe am annabi'en. Nden ɓe lorti, ɓe mbi'i: Jawmiraawo honooɓe asama anninino waɗugo min fodde laabi amin e kuuɗe amin, non o waɗi boo.”","Zu-a'i, o zɔmdáa k’ɛ́nɛ́ zia kana o wen in o  ha̧a̧nú  n'am ha̧a̧ so ha̧ o wi-de-tom kɔ‘m, o  wi-tɔ̧-wen  oi nú Sɔ̧. Nɛ mɔ'ɔ nɛ wa pia ɗoŋ ɓɛɛ wa kpɛk'e, mi GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ ha̧a̧ so nú mɛ de mɔ in wa nyɛm nɛ ɗoŋ naŋanɔ in deemɔ kɔ-wa, ɓɛɛ nɛ mɔ‘i a̧‘m dea.»","Zu-a'i, o zɔmdáa k’ɛ́nɛ́ zia kana o wen in o  ha̧a̧nú  n'am ha̧a̧ so ha̧ o wi-de-tom kɔ‘m, o  wi-tɔ̧-wen  oi nú Sɔ̧. Nɛ mɔ'ɔ nɛ wa pia ɗoŋ ɓɛɛ wa kpɛk'e, mi GASA WAN nɛ a̧a̧ nɛ ŋgayamɔ lɛŋ ha̧a̧ so nú mɛ de mɔ in wa nyɛm nɛ ɗoŋ naŋanɔ in deemɔ kɔ-wa, ɓɛɛ nɛ mɔ‘i a̧‘m dea.»","Ndagwara ma ghena ba'a wəshi nyi gezave nda 'ya ke ka mene slene ta ɗa nyi kaka mɛ ŋkwa ne, nahe hɛ kekeseke mehele ta ka shihɛ ŋayɛ. Pa hɛ zhɛrete nza ta nci, ma ke hɛ: ‹Nahe Mahwətə nde berete ketarete kamene ɓəmə kala dzeghwa ta ɓəmə ba'a slene ta ɓəmə, tsagha shɛ menete ɓəmə ŋkɛ.›»","Ti ngeel sen waçaçre äin wo de yerge äi maga ndi hay haç ra go ne weere joçoçre äi jar ndar nen waçaçre ma jag Baan wo mono, sen joñ wo mbaara we nen dayge see paçaçre äay wo an ga yawla? AÀ fer wo le, day saara kal waçaçge ga: Manwur Pantway joñ naa do maga aà hay go de waçaçge ga se koë ge naa yañ diñ see seele naan wo de joñre naan wo mo so no."
ZEC.1.7," Le vingt-quatrième jour du onzième mois, qui est le mois de Sabath, en la deuxième année de Darius, la parole de Dieu fut  adressée  à Zacharie, fils de Barachie,  petit- fils d'Addo, le prophète, en ces termes :","Upon the four and twentieth day of the eleventh month, which is the month Sebat, in the second year of Darius, came the word of the  Lord  unto Zechariah, the son of Berechiah, the son of Iddo the prophet, saying,","Hay buurta dok-ma' yam fiɗita vi til ma doogo yam kepna, ma yum ala tilla vi Sebat*, kayn ti busata ma'ta vi mulla Dariyus, Lawna di yoboyn tam Zakariya ma jobta, goora vi Berekiya, goor-ŋolona vi Iddo, nam di'e:","E mbu baa Darius a nga jôô, e ngon awôm a jia ba loone Sebat é too melu mewôm mebaé a menyin, nje Nti a nga kobô nkulu mejô Zakari, e mone Bérékia, e mon Iddô na:","Ngi hin mizli ngir cuw nga mufaɗ, ngi kiya mukuruˀ ngaŋ kaˀ mazilaka  Sevat  , ngi vi mucuw naŋ ngi zumabuy ngi Dariyus vuna ma na, Bumbulvuŋ a ɓa mingiɓi naŋ ani da mijiviɗ Zakari, mangal ngi Berekiya, dideˀ ngi Ido:  Mingiɓi ngi Zakari ani: ","Nyalaade noogas e nayaɓre nder lewru sappo e go'ooru, waato lewru Sebat, nder nduuɓu Dariyus ɗiɗaɓu dow laamu, Jawmiraawo wolwani annabi Zekariya ɓii Berekiya, taaniraawo Iddo bana ni'i: ","Nyalaade noogas e nayaɓre nder lewru sappo e go'ooru, waato lewru Sebat, nder nduuɓu Dariyus ɗiɗaɓu dow laamu, Jawmiraawo wolwani annabi Zekariya ɓii Berekiya, taaniraawo Iddo bana ni'i: ","Darius ɔɔ wan pɛ yiitoo, ɓɛɛ tɛ ɓu-yiitoo-zua-naar ɔɔ-zɛ tɛ ɓu-zua-kpɔk fio-zɛ, GASA WAN ee wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Zakarii bem ko Berekia, be-koo Ido. Duka nɛ zɛ Sebat. Wen-aa nɛ mɔ'ɔ: ","Darius ɔɔ wan pɛ yiitoo, ɓɛɛ tɛ ɓu-yiitoo-zua-naar ɔɔ-zɛ tɛ ɓu-zua-kpɔk fio-zɛ, GASA WAN ee wen nú  wi-tɔ̧-wen  oi nú Sɔ̧ Zakarii bem ko Berekia, be-koo Ido. Duka nɛ zɛ Sebat. Wen-aa nɛ mɔ'ɔ: ","Ma te kwa bake ta va ta Dariyəs mbe meghe, mbe hɛ bakemsə wəfaɗeghəmbe te tere kwa meŋe kwetɛŋeghəmbe, geze ta ŋkɛ terea Shebat ne, pa Mahwətə gezete nda ghena ke nde mɛ ŋkwa Zakari, wəzege ta Bɛrɛkiya ba'a shia Ido. Wa nya ghena nya ɓelate Zakari nya: ","Wur naw ma de do äog ti naan äil few ma de hwal ti boñ maga diñ few Sebad de maga kiñgi Dariyus ti wañ äog mono, Manwur kal fer waçaçre ne Sakari je ni Berekiya no, je ni Iddon do kay nono:"
ZEC.1.8," J'ai eu une vision pendant la nuit : Voici qu'un homme était monté sur un cheval roux, et il se tenait entre des myrtes dans un lieu ombragé, et  il y avait  derrière lui des chevaux roux, alezans et blancs.","I saw by night, and behold a man riding upon a red horse, and he stood among the myrtle trees that were in the bottom; and behind him were there red horses, speckled, and white.","Hay henjeta va vul tuwam kiranu, Duwgiya, san kep ka ɓey kay kulum ma bufna, nam ka coli jar warana  gaa hay liyn ma beɗna, kulumay ma bufna hiɗi ma slawna hiɗi ma haɓayna ay kaw. ","Alu di, me yeneya jame dina na: môt a bete évele ékabela yôp, a tele e zañe bone bilé, e mbiʼili si. Bikabela bife bi too nye mvus, nyôl évele, angôô a éfumulu. ","Ngi duvuɗ nah na, i pur gwata: mbur gilaˀ ar pilis muvurziŋŋe. Naŋ deŋ a wuzlakalaf miɗiɗahay tukuf tukuf ar sozo. Ti dirba naŋ na, pilis mivirziŋŋe, birfikke waɗ babarahay. ",Haŋki ngi'mi kayɗiniiɗum: Goɗɗo ba'iiɗo puccu mboɗeewu ɗon dari caka leɗɗe asuraaje  nder luggere. Ɓaawo maako woodi pucci boɗeeji e puri e daneeji . ,Haŋki ngi'mi kayɗiniiɗum: Goɗɗo ba'iiɗo puccu mboɗeewu ɗon dari caka leɗɗe asuraaje  nder luggere. Ɓaawo maako woodi pucci boɗeeji e puri e daneeji . ,"Mɛ zɛ'ɛ, GASA WAN hɔɔ zu ha̧‘m, ɓɛɛ mi zɔk ŋma bíí nɛ daŋa ŋma gbɛ̧ nyaŋa. A̧ duk so mgbara o be te nɛ pɛr-aa ɔ dee  sɛn kɔ̧ ɗɔŋgɔ; ɓɛɛ o gbɛ̧ nyaŋa in o tu̧-a̧ gu nɛ o bu-a ya nɛ ɗoŋ-aa. ","Mɛ zɛ'ɛ, GASA WAN hɔɔ zu ha̧‘m, ɓɛɛ mi zɔk ŋma bíí nɛ daŋa ŋma gbɛ̧ nyaŋa. A̧ duk so mgbara o be te nɛ pɛr-aa ɔ dee  sɛn kɔ̧ ɗɔŋgɔ; ɓɛɛ o gbɛ̧ nyaŋa in o tu̧-a̧ gu nɛ o bu-a ya nɛ ɗoŋ-aa. ","Ma heviɗia shɛ ne, pa 'ya nakɛ wəndə pelɛ gədəwə kwa gheme. Meghereŋe ŋkɛ hwa sewahe nyi kwa zlərə. Kwa sebe ta ŋkɛ ne, kweci gədəwə nyi ghemea ghemea, nyi mede mede ba'a nyi ghwaba ghwaba ya shɛ. ","Ndi kal ko mbuëgi nen ma kay de suñ. Blo po hay de ëiigi ti pir ma de seçeç day de oole ti holañ koore mirte wo deñ, ti ngeel ma busumbusum. Le nen faale äe mono, piiri ma de seçeçre wo, ma cugwuu wo de ma de piiri wo. "
ZEC.1.9," Je dis : "" Que sont ceux-ci, mon seigneur? "" Et l'ange qui parlait avec moi me dit : "" Je te ferai voir ce que sont ceux-ci. ""","Then said I, O my lord, what are these? And the angel that talked with me said unto me, I will shew thee what these be.","Nan ka job ala mulanna, nisi kayn si sarige? Sunda-wuralawna ma ka kus yoboyn hiɗi nanu di tam ala: Nan ma ɗekaŋ kay sum nisina. ","Nde ma sili nye na: a Nti, bikabela bi bia liti jé? Engele a mbe na a yiane kobô a nga yalane me na: ma zu kate wo jame te. ","I cufuɗa mbur tuwa: «Buy ɗu, hanayna i mihey ka?» Dar modro maɓiy tuwa a mbiɗiy di: «I sa buguw taŋ i gwat kahana kahana.» ","Mi ƴami malaa'ikaajo bolidanɗo bee am: “Pucci ɗi'i ɗum ɗume, barkaama?” O jaabi yam: “Mi faamtinte haala maaji.” ","Mi ƴami malaa'ikaajo bolidanɗo bee am: “Pucci ɗi'i ɗum ɗume, barkaama?” O jaabi yam: “Mi faamtinte haala maaji.” ",Nɛ mɔ'ɔ n'am aka GASA WAN: «O nyaŋa nɔ'ɔ usi nɛ ge?» Ɓɛɛ betom nɛ tɛ kifi nú ha̧‘m'i tɔ̧: «Mi tɛ tɔ̧ gba̧a̧-a̧ ha̧ mɛ.» ,Nɛ mɔ'ɔ n'am aka GASA WAN: «O nyaŋa nɔ'ɔ usi nɛ ge?» Ɓɛɛ betom nɛ tɛ kifi nú ha̧‘m'i tɔ̧: «Mi tɛ tɔ̧ gba̧a̧-a̧ ha̧ mɛ.» ,Ma 'ya 'yɛwete va wəndə nya pelɛ gədəwə: «Wa wəsə nya ɗe gədəwə nyi kancɛ wa nde sleke ɗa?» Ma ke nde ghwene ta Shala nya kegeze ɗa ghena zhɛnete ɗa: «Katencɛ ŋa 'ya.» ,Ndi day ga: AÀ diñ may wo la Wañkluu äi no. Day je peele Baa maga hay ti waçaçre de äi mono kal wii mege ga: Ndi kañ ge nen äo yañ ti maga aà wo na no kay mono. 
ZEC.1.10," Et l'homme qui se tenait entre les myrtes prit la parole et dit : "" Ce sont ceux que Yahweh a envoyés pour parcourir la terre. ""","And the man that stood among the myrtle trees answered and said, These are they whom the  Lord  hath sent to walk to and fro through the earth.",San ma coli jar warana sli ditiya di'e: Lakŋi si sum sa Ma-Vatɗin cuksiyay kay ŋuy nagatna. ,Ve môt a nga tele e zañe bone bilé a nga kobô na: e bikabela Nti a lômeya na bi wulu vôm ase e si nyô mbie le. ,"Mbur mideŋ a wuzlakalaf miɗiɗa tukuf tukufoy tuwa a sla, a ɓi: «I Bumbulvuŋ mislino taŋ ngi so bula hirwuy.» ",Ba'iiɗo puccu caka asuraaje go wi'i: “Wa'iiɓe ɗi ngoni ɓe Jawmiraawo neli ngam ɓe taaroya duniyaaru.” ,Ba'iiɗo puccu caka asuraaje go wi'i: “Wa'iiɓe ɗi ngoni ɓe Jawmiraawo neli ngam ɓe taaroya duniyaaru.” ,Ɓɛɛ wi nɛ duka poo o be te nɔ‘i tɔ̧‘e: «Nɛ́ o wi nɛ GASA WAN toma so mɛ yar zɔk nɛ nù.»,Ɓɛɛ wi nɛ duka poo o be te nɔ‘i tɔ̧‘e: «Nɛ́ o wi nɛ GASA WAN toma so mɛ yar zɔk nɛ nù.»,Ma ke wəndə nya hwa yɛ sewahe sha 'ya: «Mahwətə nde ghwenakɛ hɛ kezha dzedzeghwamte hɛɗi.» ,Blo maga hay de oole ti holañ koore mirte wo la kal mañ waçaçre day ga: AÀ diñ jar maga Manwur laa ra le ma rañ tamsiri. 
