livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
ZEP.1.1," La parole de Yahweh qui fut  adressée  à Sophonie, fils de Chusi, fils de Godolias, fils d'Amarias, fils d'Ezéchias, dans les jours de Josias, fils d'Amon, roi de Juda.","The word of the  Lord  which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.","Ma-Vatɗina di yoboyn tam Sofoniya goora vi Kusi, goora vi Gedaliya, goora vi Amariya, goora vi Ezekiyas, kayni hay buura vi Yosiyas, goora vi Amon, mulla vi Yuda.","Ajô Nti, di e nga katebane be Sôfôni, mone Kusi, mone Gedalia, mone Amaria, mone Ezékias, melu Yôzias mone Amon a nga too njô bôt e Yuda:","Sofoni i mangal ngi Kusi, Kusi vuna i mangal ngi Gedaliya, dideˀ ngi Amariya, yo dideˀ ngi poprok ngi Ezekiyasa. Ar vi ngi Zoziyas mangal ngi Amoŋ mazum buy a ruwuy Zuda na, Bumbulvuŋ a vula mingiɓi naŋ ani da Sofoni.","Jawmiraawo wolwani Sefaniya ɓii Kusi ɓii Gedaliya ɓii Amariya ɓii Hezekiya, nder zamanu Yusiya ɓii Amon, laamiiɗo Yahuuda, wi'i :","Jawmiraawo wolwani Sefaniya ɓii Kusi ɓii Gedaliya ɓii Amariya ɓii Hezekiya, nder zamanu Yusiya ɓii Amon, laamiiɗo Yahuuda, wi'i :","Wen ko GASA WAN nɛ ee nú Sofonii, bem ko Kusi be-koo Gedalia, bezaŋ Amaria, nutua ko Ezɛkias, ŋgimbi wan ko Josias, wannu Juda, bem ko Amɔŋ, nɛ mɔ'ɔ.","Wen ko GASA WAN nɛ ee nú Sofonii, bem ko Kusi be-koo Gedalia, bezaŋ Amaria, nutua ko Ezɛkias, ŋgimbi wan ko Josias, wannu Juda, bem ko Amɔŋ, nɛ mɔ'ɔ.","Ghena nya gezete nda Mahwətə ke Sofoni, wəzege ta Kəwshi, wəzege ta Gedaliya, wəzege ta Amariya, wəzege ta Ɛzɛkiyas, vəa ŋkwa nya nza Zhoziyas, wəzege ta Amon kameghe mbe Zhəwda.","Waçaçre maga Manwur waçaçn ne Sofoni je ni Kusi, je ni Gedaliya, je ni Amariya, je ni Esekiyas ti kal mani Josiyas je ni Amon wañ sir Judan mono."
ZEP.1.2," J'enlèverai tout de dessus la face de la terre, – oracle de Yahweh;","I will utterly consume all things from off the land, saith the  Lord .",Ma-Vatɗina di'e: Slen ma kay nagat kafna nan min bulakam goyo.,"Ma ye jiane biôm bise ne meñ e si nyô, nalé Nti a jô;","«Hirwuy micay na, i sa ngizla gwat ngi raˀahaya gar. I ya Bumbulvuŋ maɓi.",“Mi nattinan ko woni dow lesdi fuu. ,“Mi nattinan ko woni dow lesdi fuu. ,GASA WAN'e: «Mi tɛ ɗaŋ mɔ zu nù'ɛ yinɛ lɛŋ.,GASA WAN'e: «Mi tɛ ɗaŋ mɔ zu nù'ɛ yinɛ lɛŋ.,Ma ke Mahwətə: «Kateza sebe 'ya te pɛtɛa wəshi nyi te hɛɗi lema.,Ndi caa ge wer feçeçre ma ciñ ti sir la wo go äuy. Kay diñ jag Manwuri.
ZEP.1.3," j'enlèverai les hommes et les bêtes, j'enlèverai les oiseaux du ciel et les poissons de la mer, et les scandales avec les impies, et j'exterminerai l'homme de dessus la face de la terre, – oracle de Yahweh.","I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumblingblocks with the wicked; and I will cut off man from off the land, saith the  Lord .","Sumuna hiɗi farayna nan min ɓulaksi goyo, layayn ma dukalawna hiɗi kuluf ma goloŋŋa kaw, nan min ɓulakam goyo, slen ma dab sem sana hiɗi sum sa joona; sum sa kay nagatna nan min vatsi goyo, Din mi Ma-Vatɗina.","ma ye jiane bôt a betit, ma ye jian anone ya yôp a kose ya mañ, mam ma kolé bôt ôbak a e bôt be nʼabé, ma ye jiane jôm ése é ne môta binam e si nyô, nalé Nti a jô.","I sa ngizla mizli ati gineweye, ɗiyuwoy maslikiɗam a muŋ ati kilif ngir yamaya. Mizli misi moˀoreheye, i sa ngizla taŋ ati gwat ngi gi taŋ ngi hizigiɗa mizli ng'ar mungra na. I sa susuyumo mizli tisi ruwuyo leɗeɗ avra. I ya Bumbulvuŋ maɓi.","Mi nattinan yimɓe e dabbaaji, mi nattinan colli non boo liɗɗi nder maayo. Mi nattinan halluɓe e ko fergata ɓe, mi nattinan boo yimɓe dow lesdi. ","Mi nattinan yimɓe e dabbaaji, mi nattinan colli non boo liɗɗi nder maayo. Mi nattinan halluɓe e ko fergata ɓe, mi nattinan boo yimɓe dow lesdi. ","Mi tɛ kum o bíí in o saɗi, o nɔ̧́í̧ gu nɛ o zoro, mi tɛ kum o ɗaŋ bíí nɛ oi ɗaŋ deemɔ kɔ-wa. Ŋma oi ndaa bíí kpɔk n'am tɛ e zu nù'ɛ bo na. Ɛ mi GASA WAN a̧ tɔ̧ wen’ɛ.","Mi tɛ kum o bíí in o saɗi, o nɔ̧́í̧ gu nɛ o zoro, mi tɛ kum o ɗaŋ bíí nɛ oi ɗaŋ deemɔ kɔ-wa. Ŋma oi ndaa bíí kpɔk n'am tɛ e zu nù'ɛ bo na. Ɛ mi GASA WAN a̧ tɔ̧ wen’ɛ.","Kateza sebe 'ya te mbeli ba'a wəshi keseɗa, 'yɛ nyi yitea ghweme ba'a kelepe nyi kwa ndərə, kateza sebe 'ya te ka 'yaghwa mehele ba'a slene ta nci nyi ndiremi ndiremi. Wəndə shɛ katesərə 'ya te hɛɗi lema we. 'Ya Mahwətə nde gezete.",Ndi caa ge wer jar tabay wo de nayre wo go. Ndi caa ge wer dweere ma ciñ wo de ceçeç ma nen maarog Wo go de feçeçre ma mbar äaale jarn wo de jar älaggen wo. Ndi caa ge wer jar tebere wo go ciñ ti sir la. Kay diñ jag Manwuri.
ZEP.1.4," Et j'étendrai ma main sur Juda, et sur tous les habitants de Jérusalem, et j'exterminerai de ce lieu le reste de Baal, le nom de  ses  ministres en même temps que les prêtres ;","I will also stretch out mine hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarims with the priests;","Sum sa hay Yudana nan min meɗ ɓan goy kisiya, sum sa hay Yerusalem kaf kaw. Caw slen ma hin hay liy namna, ma ir vi Baal kaf nan min vatam goyo. Sum sa li ɗifin mi Baal hay liy namna kaf, nan min vatsi goyo,","Ma ye same wo wom a liti Yuda njuk avale te fe ma ye bo e bôt bese be too Yérusalém; ma ye vaa jôm ése é liʼiya vôme nyô é too asu Baal. Jôé betuni ba saane nye, ba be bevee metunaʼa,","Bumbulvuŋ a ɓi: «I sa zuɓa haŋ ng'ar mizli ngi si ruwuy Zuda waɗ ng'ar mizli Zeruzalemey gar. Yo is ngi gwat magam di mikuli da  Baˀal  , slimiɗ ngi masay naŋhay ati masay naŋhay vuna, i sa susuyumo taŋ ti ruwuy tayna pay avra.","Mi fortan juŋngo am ngam honugo Yahuuda e jooɗiiɓe haa Urusaliima. Mi nattinan luttuɗum diina Ba'al haa nokkuure nde'e, mi halkan inɗe liman'en lawru ndu'u. ","Mi fortan juŋngo am ngam honugo Yahuuda e jooɗiiɓe haa Urusaliima. Mi nattinan luttuɗum diina Ba'al haa nokkuure nde'e, mi halkan inɗe liman'en lawru ndu'u. ","Mi tɛ de ŋmaa in Juda, si kpa nɛ o bíí Jerusalɛm lɛŋ. Mi tɛ bi nin Bal yinɛ fara’ɛ gu nɛ o gasa wi-de-tom kɔ̧-a̧ in o wi-ɗaf'a mbɛt.","Mi tɛ de ŋmaa in Juda, si kpa nɛ o bíí Jerusalɛm lɛŋ. Mi tɛ bi nin Bal yinɛ fara’ɛ gu nɛ o gasa wi-de-tom kɔ̧-a̧ in o wi-ɗaf'a mbɛt.",'Ya kateɗa Zhəwda ba'a pɛtɛa mbeli nyi mbe Zhɛrəzalɛm. 'Ya kateza sebe te wəshi nyi ketene yitea dzeghe nda melɛ ke Ba'al te ŋkwa nya ba'a sləa ka dzeghe nda melɛ ke shala shɛ.,Ndi mañ ge do äi yañ ciñ see sir Juda wo de jar ma äi leege Jerusalem wo. Ndi taw ge te soçoç Baal maga gwa' wo yañ go ti ngeel lam go De ëu jar cor ge äen wo de jar sië jag ne hen wo.
ZEP.1.5," et ceux qui se prosternent sur les toits, devant l'armée des cieux; et ceux qui se prosternent en faisant serment à Yahweh, tout en jurant par leur roi;","And them that worship the host of heaven upon the housetops; and them that worship and that swear by the  Lord , and that swear by Malcham;","sum sa dab voksi gaa hiɗi sem Lawna, may yum vunsi mi sem mulla visiyana, nan min vatsi goy lay.","ba ba kute meboñe si e mendil, Ôsu ya ateté ya yôp, ba ba kute meboñe si a kalane Nti, be kalaʼane fe njô bôte wop.","Mizli majiɗam ng'ar gbale ɓa ngi huruk a mbuŋ wurzlaŋhay, mizli mahurkom a mbuŋ Bumbulvuŋ yo a hudumom ti slimiɗ ngi kuli taŋ Milkom,",Mi halkan wa'otooɓe dow soorowol ngam sujidango jayli asamanji e sujidanooɓe hunortooɓe ndego bee innde Jawmiraawo e ndego boo bee innde lawru Milkom. ,Mi halkan wa'otooɓe dow soorowol ngam sujidango jayli asamanji e sujidanooɓe hunortooɓe ndego bee innde Jawmiraawo e ndego boo bee innde lawru Milkom. ,"Mi tɛ kum o wi-daŋ-zu tua gasi nɛ o sɔra, gu nɛ o bíí nɛ gu nù ti GASA WAN, ɓɛɛ tɛ̀ɛ̀ kan mɔ nɛ nin sɔ̧ kɔ-wa Milkɔm mbɛt.","Mi tɛ kum o wi-daŋ-zu tua gasi nɛ o sɔra, gu nɛ o bíí nɛ gu nù ti GASA WAN, ɓɛɛ tɛ̀ɛ̀ kan mɔ nɛ nin sɔ̧ kɔ-wa Milkɔm mbɛt.","'Ya kateza sebe te ka dzeme dɛɓere nyi kənəa cɛ kezha hawe va yɛ saseregwa, te ka gwəɗəŋə kwa kema ta Mahwətə le zeme fela te sləa shala Molɛk.","Jar se maga leë wo mondra ciñ ti tiñ ne feçeçre ma nen ngeel ma ciñ wo, Leë wo mondra day ha' wo de Manwuri, Ni paga saara de ha'ge de wañ äaara lay mono,"
ZEP.1.6," et ceux qui se détournent de Yahweh, qui ne cherchent pas Yahweh, et ne se soucient pas de lui.","And them that are turned back from the  Lord ; and those that have not sought the  Lord , nor enquired for him.","Nisi sa muɗ ŋorsi tam Ma-Vatɗina, nisi sa may gar Ma-Vatɗinɗina, sa min jobomɗina nan ma vatsiya.","Ba be nga lume Nti mvus a ba be nji jeñe Nti, nge sili nye mam.","mizli mambuɗikiy duba da ya Bumbulvuŋ, masipikiy ta, yo macufuɗikiy ngi gi gwat taŋhaya ta na, i sa ngizla taŋ avra.","Mi halkan loriiɓe, accuɓe yam, ngam ɓe ngiɗaa ɗakkotirgo bee am, ɓe ngiɗaa sarwaago yam sam.”","Mi halkan loriiɓe, accuɓe yam, ngam ɓe ngiɗaa ɗakkotirgo bee am, ɓe ngiɗaa sarwaago yam sam.”","Mi tɛ kum o wi nɛ e GASA WAN duk, nɛ pii ɗoŋ tɛ a̧ mɛ ai nú ha̧ a̧ na mbɛt.»","Mi tɛ kum o wi nɛ e GASA WAN duk, nɛ pii ɗoŋ tɛ a̧ mɛ ai nú ha̧ a̧ na mbɛt.»","Ma 'ya Mahwətə ne, 'ya kateza sebe te ka zhɛre ɗa wəmbə nyi keɗema kazele ɗa ba'a nyi keɗema kafa ghena va 'ya.»","Jar se maga hay mbuë wo faale go ne Manwuri, Bay wo kië Manwur wa, day bay wo wii jag äe ti mo po wa lay mono."
ZEP.1.7," Silence devant le Seigneur Yahweh ! Car le jour de Yahweh est proche; car Yahweh a préparé un sacrifice, il a consacré ses invités.","Hold thy peace at the presence of the Lord  God : for the day of the  Lord  is at hand: for the  Lord  hath prepared a sacrifice, he hath bid his guests.","Lakgi ŋal kiliŋ vok Bum-Sumuna, Ma-Vatɗina, kay buura valam ka goboyo, kay Ma-Vatɗina kot ɗifinna valamawa, sa yiyna valamu nam porsiyawa.","Evô asu be Nti a too nnôm éto! Amu môse Nti ô ntoo bebé. Amu Nti a maneya kômesane metunaʼa, a maneya tun e bôt a nga bañete.","Taˀaka mi a mbuŋ ya Bumbulvuŋ, asi hin nga ya Bumbulvuŋ naŋ gweˀe. ya Bumbulvuŋ i ra juw vu ngi gi mikuli, mizli naŋ mizilo taŋ, a ɗuwula taŋ mi le, ɓa a ndiram taŋ pal.","Cirwe yeeso Jawmiraawo Allah! Ngam nyalaade maako ɓaditake. O taaskitini kirseteeŋga, o seni ewnaaɓe maako. ","Cirwe yeeso Jawmiraawo Allah! Ngam nyalaade maako ɓaditake. O taaskitini kirseteeŋga, o seni ewnaaɓe maako. ","Ɛ̀nɛ̀ dúk nɛ oi nú ti GASA WAN Sɔ̧, wen wese kita ko GASA WAN hɛɗa kaɗi. GASA WAN ɗafa mɔɔ-ɗafi-sɔ̧, ɓɛɛ a̧ ɗafi war-tɛ o wi n'aa saa.","Ɛ̀nɛ̀ dúk nɛ oi nú ti GASA WAN Sɔ̧, wen wese kita ko GASA WAN hɛɗa kaɗi. GASA WAN ɗafa mɔɔ-ɗafi-sɔ̧, ɓɛɛ a̧ ɗafi war-tɛ o wi n'aa saa.","Nza mə tikə tikə kwa kema ta Shala Mahwətə, kwa nza ŋkɛ takwa takwa vecia Mahwətə kase. Nahe Mahwətə kehite melɛ, nahe ŋkɛ keveyi mbeli nyi hekakɛ ŋkɛ tekeleke.","Lag wee seëem pel Wañkluu Manwuri! Gahaçyla wur mani Manwurn go de kosge, Manwur go de 'wuçy siigi jag äe no, AÀ go de façaç jar maga se de ëe rage mono."
ZEP.1.8," Et il arrivera : Au jour du sacrifice de Yahweh, je châtierai les princes, et les fils de roi, et tous ceux qui revêtent des vêtements étrangers.","And it shall come to pass in the day of the  Lord's  sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with strange apparel.","May hay buur ma li ɗifinna van ɗawni, nan ma ka kitat kay muliyana hiɗi gurona visiya, hiɗi nisi kaf sa cuk sligar ma pulla.","Ve e môse metunaʼa Nti, ma ye tebe bivet a bone be njô bôt e ngame yat. Nalé fe ma ye bo ba bese be beʼe mengômesan ya meyoñ mefe.","Ya Bumbulvuŋ i ɓi: «Yawwa, ti hin ngi mikuli da Bumbulvuŋ, buyoy ati yaramahaya, i sa kuta taŋ ti bonoy, waɗ mizli maka ka zanahaya kaɓa sirik ngi mulakay na, i sa kuta taŋ ya.","Jawmiraawo wi'i: “Nyalaade nde lii'otoomi kirseteeŋga, mi hiitoto saraaki'en e yerima'en e ɓorniiɓe limce jananne fuu. ","Jawmiraawo wi'i: “Nyalaade nde lii'otoomi kirseteeŋga, mi hiitoto saraaki'en e yerima'en e ɓorniiɓe limce jananne fuu. ","GASA WAN tɔ̧a̧: «Wese-ɗafa-sɔ̧ kɔ‘m, mi tɛ de ŋmaa in o gasawi, o be-wan ká bá nɛ̀ oi wi nɛ ba nɛ yuwar deemɔ ko o gɔni-duk.","GASA WAN tɔ̧a̧: «Wese-ɗafa-sɔ̧ kɔ‘m, mi tɛ de ŋmaa in o gasawi, o be-wan ká bá nɛ̀ oi wi nɛ ba nɛ yuwar deemɔ ko o gɔni-duk.","Ma ke Mahwətə gezete: «Ma te vecia melɛa ɗa ne, kateɗa mbeli nyi te ghə, ŋwalea meghe ba'a pɛtɛa ka seɗe lekwesa kala ka se se 'ya.","Ane ti wur siigi jag mani Manwurn mono, Ndi ur gi de wañren wo de weere wañren wo, De jar maga heer wo oçoçbe ma waare wo ti mo äuy."
ZEP.1.9," Et je châtierai en ce jour-là tous ceux qui sautent par-dessus le seuil, qui remplissent de violence et de fraude la maison de leur maître.","In the same day also will I punish all those that leap on the threshold, which fill their masters' houses with violence and deceit.","Hay buur namna ɗawni, nan ma ka kitat kay nisi sa pir goy kay vun-ziyna, nisi sa hob ziyna vi mulaysina hiɗi ɦawlata, hiɗi sle ma ɗutna.","Môs ôte, ma ye tebe môt ase a yôô mbé ya Nda Zambe yôp e ngame yat, nalé fe mfaʼa ba jalé Nda Nti wop a évô a mvô.","Ti hin nana, mizli matuwuɗam mohol, manahaka hay ngi kuli taŋ ti gwat mitiɓa ti gidaŋ waɗ ti gi gilaw da mizli na, i sa kuta taŋ ti bonoy.»","Nyalaade man kiitotoomi diwanɓe les dammugal , hebbinanɓe saare jaagorɗo muuɗum'en bee kuuje toonyaare e rikici.”","Nyalaade man kiitotoomi diwanɓe les dammugal , hebbinanɓe saare jaagorɗo muuɗum'en bee kuuje toonyaare e rikici.”","Wese'i, mi tɛ de ŋmaa in o wi nɛ kpíɗí nú dadaa nú tua ko sɔ̧ kɔ-wa, ká bá nɛ̀ o wi nɛ ɔr mɔ, ɓar nɛ mɔ er o bíí si kɔ̧ tua ko sɔ̧ kɔ-wa.»","Wese'i, mi tɛ de ŋmaa in o wi nɛ kpíɗí nú dadaa nú tua ko sɔ̧ kɔ-wa, ká bá nɛ̀ o wi nɛ ɔr mɔ, ɓar nɛ mɔ er o bíí si kɔ̧ tua ko sɔ̧ kɔ-wa.»","Ma te vecia shɛ ne, 'ya kateɗa pɛtɛa ka ŋsle bale dzawa kənəa ŋkwa nya mɛa ghɛa Shala, pɛtɛa ka viɗi ghɛa nde sleke hɛ le wəshi nyi fəke hɛ le berete ba'a mbəɗəkwə.»","Ti wur sen mono, ndi ur gi yañ de wosela äuy Maga yoor wo go ne diñdiñ jag tiñn ti mo äuy, De jar maga bag wo tiñ mani je waçaç ree äaaran go de debaycoçoçre wo de hram mono."
ZEP.1.10," Et il arrivera en ce jour-là, – oracle de Yahweh : De la porte des poissons retentiront des cris, de la seconde  ville  des gémissements, et des collines un grand fracas.","And it shall come to pass in that day, saith the  Lord , that there shall be the noise of a cry from the fish gate, and an howling from the second, and a great crashing from the hills.","Ma-Vatɗina di'e: Hay buur namna ɗawni, ciriyn ma li ŋolo, ma tun caway hay vun-galana vi kulufna pa, tiyn ma li ŋolo goy hay gal ma hena vi hoyok-ziyna. Boŋoloŋŋa ma ɦo gaa ŋolo.","Môs ôte, nalé Nti a jô, Minyôn mia ye wôʼé ataté mbé bekos, a mintat mfaʼa tison ôvok, a beta éduñ mfaʼa ya minkô.","«Yawwa, ti hin nana, a sa cinam majam salalay a Miviŋ ngi Kilifey, mawudam ˀay kaˀ ar Walahay Nawaya, hurum a sa gi ti gidaŋ a hirnga muwãhaya. I ya Bumbulvuŋ maɓi.",Jawmiraawo wi'i: “Nyalaade man gookaali mbaɗan haa dammugal bi'eteeŋgal Dammugal Liɗɗi e bojji haa Fattude Hesre e haraka dow towndiije. ,Jawmiraawo wi'i: “Nyalaade man gookaali mbaɗan haa dammugal bi'eteeŋgal Dammugal Liɗɗi e bojji haa Fattude Hesre e haraka dow towndiije. ,"GASA WAN tɔ̧a̧: «Wese'i, wi tɛ zii  hiɗimɔ  sɛn nú garo Zoro, in gɔfamɔ ko o bíí tɛ mbe ye, ká bá nɛ̀ gasa giti mɔ zu kaya mɛ.","GASA WAN tɔ̧a̧: «Wese'i, wi tɛ zii  hiɗimɔ  sɛn nú garo Zoro, in gɔfamɔ ko o bíí tɛ mbe ye, ká bá nɛ̀ gasa giti mɔ zu kaya mɛ.","Ma ke Mahwətə: «Ma te vecia shɛ mbe Zhɛrəzalɛm ne, katekwaɗe yɛ lewela mɛa mɛ degha ta yɛ Kelepe, yɛ ŋgaɗe ghə mbe Meleme Mɛnɛfɛ ba'a gaka nya wəba dzeyi pelɛ yɛ wəmbə.","Kay diñ jag Manwuri: Ti wur sen mono, aè laa ge ro yañ le jag faage ceçeçn wo. AÈ 'wad ge war yañ äi leege ma defay no, Ree ma kluu caa ge huuli ma lublubn wo yañ."
